40-10801,http://tshop.r10s.jp/biccamera/cabinet/product/1687/00000003181714_a01.jpg?fitin=700:700,1969.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＴＮ G　ベアリングユニット 　UCFC205D1,,<!-- -->●軸受箱の取り付け面に円筒状の印ろうを設け、フレームにはめ込む形式になっており、取り付けの際に偏芯が少なく、位置決めも正確です。<BR><BR>【用途】<BR>●ドラムプーリなどに。<BR><BR>【仕様】<BR>●軸径(mm)：25●全長(mm)：115●全高(mm)：115●取付ピッチ(mm)：90●取付ねじ：M10●質量(kg)：1<BR>●給油式印ろう付き丸フランジ形●止めねじ式●使用温度範囲：-15～100℃<BR><BR>【材質/仕上】<BR>●軸受：高炭素クロム軸受鋼●軸受箱：鋳鉄<BR><BR>【原産国】<BR>日本,ＮＴＮ G　ベアリングユニット 　UCFC205D1：ビックカメラ楽天市場店,ＮＴＮ G　ベアリングユニット 　UCFC205D1,ＮＴＮ G　ベアリングユニット 　UCFC205D1[rn]
40-10871,http://tshop.r10s.jp/biccamera/cabinet/product/1943/00000003129039_a01.jpg?fitin=700:700,31527.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 鶴見製作所 樹脂製汚物用水中ハイスピンポンプ　50HZ　40PU2.25S,,<!-- -->■異物通過径は35mmです。<BR><BR>■一般社団法人　公共建築協会の水中モーターポンプ評価品です。<BR><BR>■汚物が通過しやすいハイスピン（渦流）形羽根車を採用しています。<BR><BR>■異物通過径が大きいので多様な異物を含んだ液に対応できます。<BR><BR>■独自のオイルリフター採用でメカニカルシールの長寿命を実現しました。<BR><BR>【用途】<BR>・浄化槽の原水移送用。<BR>・汚物槽・厨房の排水用。<BR><BR>【仕様】<BR>吐出量(L/min)：140、全揚程(m)：4．0、周波数(Hz)：50、口径(mm)：40、電源(V)：単相100、電流(A)：6．10、出力(kW)：0．25、質量(kg)：7．1<BR>電源コード長さ：6m、非自動運転形、異物通過径：35mm<BR><BR>【原産国】<BR>日本,【送料無料】 鶴見製作所 樹脂製汚物用水中ハイスピンポンプ　50HZ　40PU2.25S：ビックカメラ楽天市場店,【送料無料】 鶴見製作所 樹脂製汚物用水中ハイスピンポンプ　50HZ　40PU2.25S,【送料無料】 鶴見製作所 樹脂製汚物用水中ハイスピンポンプ　50HZ　40PU2.25S[rn]
40-10872,http://tshop.r10s.jp/biccamera/cabinet/product/2546/00000003562874_a01.jpg?fitin=700:700,1364.8000,,花・ガーデン・DIY > DIY・工具 > その他,アカツキ製作所 KOD　プロテクトアーマー（ブラック） PA-BN,,<!-- -->■超強力マグネットを搭載した、ポケットサイズ水平器の進化版です。<BR><BR>■見易いデカ気泡管です。<BR><BR>■高所での作業に。<BR><BR>■鉄管組立、工事に。<BR><BR><B>画像はイメージです。実際の商品とは色やサイズなどが異なる場合がございます。</B><div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■長さ(mm):100<BR>■高さ(mm):42<BR>■厚み(mm):18<BR>■マグネット:1ヵ所<BR>■色:黒<BR>■精度:±1.5mm/m=±0.0859°以内<BR>■感度:0.5mm/m=0.0286°<BR>■落下防止コード取付可<BR>■【材質／仕上げ】　本体:アルミ　気泡管：アクリル樹脂(PMMA)  <BR>■原産国:日本<BR>■質量:80G</td></tr></table></div>,アカツキ製作所 KOD　プロテクトアーマー（ブラック） PA-BN：ビックカメラ楽天市場店,アカツキ製作所 KOD　プロテクトアーマー（ブラック） PA-BN,アカツキ製作所 KOD　プロテクトアーマー（ブラック） PA-BN[rn]
40-10873,http://tshop.r10s.jp/biccamera/cabinet/product/0464/00000001641386_a01.jpg?fitin=700:700,6064.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 ラウンドスリング（JIS規格品）　1.0tX4.0m　TRJ1040,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■強力ポリエステル原糸の束を耐摩耗性に優れたナイロン素材の表面布で包んだ構造のスリングです。<BR><BR>■柔軟であらゆる吊り荷に優しくフィットします。またしっかりとなじむので荷の安定性に優れています。<BR><BR>■折り曲げてもワイヤなどのように癖がつかず、また軽量で扱いやすいため作業性に優れています。<BR><BR>【用途】<BR>・庭石・植木・石材加工品・彫刻用品などの運搬。<BR>・メッキ鋼材・塗装鋼材・パイプその他表面加工された製品の運搬。<BR><BR>【仕様】<BR>最大使用荷重(t)：1．0、全長(m)：4．0、ベルト寸法(mm)幅×厚み：37×5、質量(kg)：1．03<BR>JIS　B　8811規格品、表面布カラー：紫、使用温度：100℃以下<BR><BR>【材質/仕上】<BR>■芯：ポリエステル■表面布：ナイロン<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 ラウンドスリング（JIS規格品）　1.0tX4.0m　TRJ1040：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 ラウンドスリング（JIS規格品）　1.0tX4.0m　TRJ1040,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 ラウンドスリング（JIS規格品）　1.0tX4.0m　TRJ1040[rn]
40-10874,http://tshop.r10s.jp/biccamera/cabinet/product/1843/00000003263893_a01.jpg?fitin=700:700,576.8000,,花・ガーデン・DIY > DIY・工具 > その他,因幡電機産業 因幡電工 ＩＮＡＢＡ ＤＥＮＫＯ ひねりエルボ ＬＤＮ－７０－Ｂ,,<!-- -->■家庭用エアコンに多いエアコン配管サイズに限定したラインナップでコストパフォーマンスに優れた配管化粧カバーです。<BR><BR>【用途】<BR>・ひねり90°曲り。<BR><BR>【仕様】<BR>質量(g):200、色:ブラウン<BR><BR>【材質/仕上】<BR>■ポリ塩化ビニール(PVC)<BR><BR>【原産国】<BR>ベトナム,因幡電機産業 因幡電工 ＩＮＡＢＡ ＤＥＮＫＯ ひねりエルボ ＬＤＮ&minus;７０&minus;Ｂ：ビックカメラ楽天市場店,因幡電機産業 因幡電工 ＩＮＡＢＡ ＤＥＮＫＯ ひねりエルボ ＬＤＮ&minus;７０&minus;Ｂ,因幡電機産業 因幡電工 ＩＮＡＢＡ ＤＥＮＫＯ ひねりエルボ ＬＤＮ&minus;７０&minus;Ｂ[rn]
40-10875,http://tshop.r10s.jp/biccamera/cabinet/product/1955/00000003133438_a01.jpg?fitin=700:700,3994.4000,,花・ガーデン・DIY > DIY・工具 > その他,フローバル SUS304 10K 閉止フランジ 14100577 SUS10KBLFF80A,,<!-- -->■溶接性・強度に優れた鍛造製のフランジです。<BR><BR>■フランジシール両面（フランジフェイス両面）は、両面シール使用可能です。<BR><BR>■JISB2220に準拠しています。<BR><BR>【用途】<BR>・パイプの末端の閉止に。<BR><BR>【仕様】<BR>呼び径(A)：80A、外径(mm)：185、厚み(mm)：18、ボルト穴数：8、ボルト穴径(mm)：19、呼び径(B)：3、使用圧力(k)：10、質量(kg)：3．48<BR><BR>【材質/仕上】<BR>■ステンレス(SUS304)<BR><BR>【原産国】<BR>中国,フローバル SUS304 10K 閉止フランジ 14100577 SUS10KBLFF80A：ビックカメラ楽天市場店,フローバル SUS304 10K 閉止フランジ 14100577 SUS10KBLFF80A,フローバル SUS304 10K 閉止フランジ 14100577 SUS10KBLFF80A[rn]
40-10876,http://tshop.r10s.jp/biccamera/cabinet/product/1926/00000003126543_a01.jpg?fitin=700:700,179.2000,,花・ガーデン・DIY > DIY・工具 > その他,三宅化学 耐酸BD型ポンプ　TP056,,<!-- -->■薬品、食品用に最適な耐酸性のポンプです。<BR><BR>■中がよく見え、衛生的です。<BR><BR>【用途】<BR>・液体薬品、液体食用品用。<BR><BR>【仕様】<BR>全長(mm)：630、吐出量(L/min)：約6．5、摘要：ポリ缶用、質量(g)：65<BR>吐出ホース(mm)：約550<BR><BR>【材質/仕上】<BR>■本体：ポリエチレン（PE）■ホース：ポリエチレン（PE）<BR><BR>【原産国】<BR>日本,三宅化学 耐酸BD型ポンプ　TP056：ビックカメラ楽天市場店,三宅化学 耐酸BD型ポンプ　TP056,三宅化学 耐酸BD型ポンプ　TP056[rn]
40-10877,http://tshop.r10s.jp/biccamera/cabinet/product/1249/00000002104339_a01.jpg?fitin=700:700,2400.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 SUSメイルランティ　適用チューブ径6X4　ねじR1／4　TS602RT,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■フッ素樹脂チューブと接続します。<BR><BR>【用途】<BR>・クリーンエアや純水配管、薬品、腐食性ガス配管に最適。<BR>・食品・化学・医療・半導体製造など。<BR>・シール部がなく、シール部分から腐食することがありません。<BR><BR>【仕様】<BR>適用チューブ(mm)外径×内径：6×4、寸法A(mm)：21.5、ねじT：R1/4、質量(g)：53.7<BR>使用流体：クリーンエア、純水（腐食性流体）、流体温度：水0～100℃、空気-65～260℃、使用圧力：水0.3MPa、空気1MPa<BR><BR>【材質／仕上】<BR>■ステンレス（SUS316）<BR><BR>【注意】<BR>・仕様については、チューブの使用条件に準じます。<BR><BR>【原産国】<BR>日本,トラスコ中山 SUSメイルランティ　適用チューブ径6X4　ねじR1／4　TS602RT：ビックカメラ楽天市場店,トラスコ中山 SUSメイルランティ　適用チューブ径6X4　ねじR1／4　TS602RT,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 SUSメイルランティ　適用チューブ径6X4　ねじR1／4　TS602RT[rn]
40-10878,http://tshop.r10s.jp/biccamera/cabinet/product/2597/00000003579516_a01.jpg?fitin=700:700,60471.2000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 アイリスオーヤマ IRIS 高天井照明 HX160シリーズ 22000lm ビーム角110° HX160-200N-W-B,,<!-- -->■水銀灯に代わる高天井用LEDランプです。(屋内用) <BR><BR>■消費電力を最大約76％カットを実現しコスト削減に貢献します。<div id='sp15'><table bgcolor='#FFFFFF' border='0' cellpadding='0' cellspacing='2'><tr><td class='subtitle' colspan='2'>機能項目</td></tr><tr><td class='stitle'>仕様</td><td class='sdata'>■明るさ(lm):22000<BR>■消費電力(W):137<BR>■標準消費電力料金:3.7円/h<BR>■幅(mm):260<BR>■高さ(mm):167<BR>■長さ(mm):521<BR>■定格電圧:100～242V<BR>■電源ユニット内蔵<BR>■光源色:昼白色相当<BR>■電圧:100～242V<BR>■演色性:80<BR>■定格寿命:60000時間<BR>■動作環境温度:-20℃～40℃<BR>■電源ユニット内蔵  <BR>■注意・取り付けには別途工事が必要です。・鉛直下向き方向以外では使用できません。<BR>■原産国:中国<BR>■質量:8.8KG</td></tr></table></div>,【送料無料】 アイリスオーヤマ IRIS 高天井照明 HX160シリーズ 22000lm ビーム角110&deg; HX160-200N-W-B：ビックカメラ楽天市場店,【送料無料】 アイリスオーヤマ IRIS 高天井照明 HX160シリーズ 22000lm ビーム角110&deg; HX160-200N-W-B,【送料無料】 アイリスオーヤマ IRIS 高天井照明 HX160シリーズ 22000lm ビーム角110&deg; HX160-200N-W-B[rn]
40-10879,http://tshop.r10s.jp/biccamera/cabinet/product/1781/00000003178114_a01.jpg?fitin=700:700,464.8000,,花・ガーデン・DIY > DIY・工具 > その他,千代田通商 ファイブシングルバンジョー　8mm・R3／8　F803S1,,<!-- -->●PBT樹脂を採用し、スパッタ等の延焼事故を防止。<BR>●空気圧汎用型継手では初の軽量化を実現。<BR><BR>【仕様】<BR>●適合チューブ外径D(mm)：8●接続口径：R3/8●質量(g)：29.0<BR>●使用流体：空気、水●流体温度：-5～60℃(空気)、5～40℃(水)●使用圧力：1MPa(空気)、0.3MPa(水)<BR><BR>【材質/仕上】<BR>●本体：難燃性ポリブチレンテレフタレート（PBT）●シールゴム：ニトリルゴム（NBR）<BR><BR>【原産国】<BR>日本,千代田通商 ファイブシングルバンジョー　8mm・R3／8　F803S1：ビックカメラ楽天市場店,千代田通商 ファイブシングルバンジョー　8mm・R3／8　F803S1,千代田通商 ファイブシングルバンジョー　8mm・R3／8　F803S1[rn]
40-10880,http://tshop.r10s.jp/biccamera/cabinet/product/0784/00000001828461_a01.jpg?fitin=700:700,2444.0000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ソフトウレタンブレードホース　6．5X10mm　カップリング付　SUB6.55,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■柔軟性が高く、巻き癖が少ないです。<BR><BR>■樹脂ジョイント：ワンタッチロック式です。<BR><BR>■耐圧性が高く、跳ね上がりが少ないです。<BR><BR>■一般カップリングと互換性があります。<BR><BR>【仕様】<BR>内径(mm)：6.5、色：オレンジ、外径(mm)：10、全長(m)：5、肉厚(mm)：1.75、質量(kg)：0.3<BR>使用流体：空気、流体温度：-20～60℃（凍結なきこと）、使用圧力：1.4MPa、許容曲半径：40mm、<BR>接続継手：JN-6.5N/TN-6.5NR<BR><BR>【材質/仕上】<BR>■ホース：ポリウレタン樹脂■ソケット：ポリフェニレンエテール（PPE）+ナイロン（PA）■プラグ：ポリアセタール（POM）<BR><BR>【原産国】<BR>日本,トラスコ中山 ソフトウレタンブレードホース　6．5X10mm　カップリング付　SUB6.55：ビックカメラ楽天市場店,トラスコ中山 ソフトウレタンブレードホース　6．5X10mm　カップリング付　SUB6.55,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ソフトウレタンブレードホース　6．5X10mm　カップリング付　SUB6.55[rn]
40-10881,http://tshop.r10s.jp/biccamera/cabinet/product/0311/00000001550589_a01.jpg?fitin=700:700,599.2000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 クイックシール継手　チーズ　φ12X8　呼びR3／8　TS12X803T,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■ねじ部にシール加工を施しています。<BR><BR>■耐圧、耐震動性に優れます。<BR><BR>【用途】<BR>・空圧、油圧、水圧用。<BR><BR>【仕様】<BR>呼び径：R3/8、適合チューブサイズ外径×内径(mm)：12×8.0、質量(g)：76<BR>使用流体：空気、油、水、液体温度：0～70℃、使用圧力：5MPa<BR><BR>【材質/仕上】<BR>■黄銅（C3771）<BR><BR>【原産国】<BR>日本,トラスコ中山 クイックシール継手　チーズ　φ12X8　呼びR3／8　TS12X803T：ビックカメラ楽天市場店,トラスコ中山 クイックシール継手　チーズ　φ12X8　呼びR3／8　TS12X803T,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 クイックシール継手　チーズ　φ12X8　呼びR3／8　TS12X803T[rn]
40-10882,http://tshop.r10s.jp/biccamera/cabinet/product/1781/00000003178687_a01.jpg?fitin=700:700,127.2000,,花・ガーデン・DIY > DIY・工具 > その他,千代田通商 ファイブジョイント　W（白）12mm用　FR1212JW,,<!-- -->【仕様】<BR>●質量(g)：2.6●ジョイント径E(mm)：12×12<BR>●使用流体：空気、水●流体温度：-5～60℃(空気)、5～40℃(水)●使用圧力：1MPa(空気)、0.3MPa(水)<BR><BR>【材質/仕上】<BR>●本体：難燃性ポリブチレンテレフタレート（PBT）●シールゴム：ニトリルゴム（NBR）<BR><BR>【原産国】<BR>日本,千代田通商 ファイブジョイント　W（白）12mm用　FR1212JW：ビックカメラ楽天市場店,千代田通商 ファイブジョイント　W（白）12mm用　FR1212JW,千代田通商 ファイブジョイント　W（白）12mm用　FR1212JW[rn]
40-10883,http://tshop.r10s.jp/biccamera/cabinet/product/1683/00000003179789_a01.jpg?fitin=700:700,2128.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＫＤ ニュージョイントステンレスタイプ（FY形R付）　ZWFY610P4,,<!-- -->●ボディ、プッシュリングは難燃性樹脂を採用●金属部品は、すべてステンレス標準採用<BR><BR>【用途】<BR>●チューブの接続<BR><BR>【仕様】<BR>●適合チューブ外径D(mm)：6●接続口径：R3/8●質量(g)：37<BR>●使用圧力範囲：-100kPa～1.0MPa●流体温度：0～60℃(凍結なきこと)<BR><BR>【材質/仕上】<BR>●本体：ステンレス（SUS304）+ポリブチレンテレフタレート（PBT）●シールゴム：ニトリルゴム<BR><BR>【原産国】<BR>日本,ＣＫＤ ニュージョイントステンレスタイプ（FY形R付）　ZWFY610P4：ビックカメラ楽天市場店,ＣＫＤ ニュージョイントステンレスタイプ（FY形R付）　ZWFY610P4,ＣＫＤ ニュージョイントステンレスタイプ（FY形R付）　ZWFY610P4[rn]
40-10884,http://tshop.r10s.jp/biccamera/cabinet/product/0780/00000001827181_a01.jpg?fitin=700:700,762.4000,,花・ガーデン・DIY > DIY・工具 > その他,長堀工業 クイックカップリング　AL20型　ステンレス製　オネジ取付用　CAL23PF3,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■材質・サイズ・取付形状が豊富で汎用性が優れています。<BR><BR>【用途】<BR>・工場内のエアー配管や空気工具用。<BR><BR>【仕様】<BR>最高使用圧力(MPa)：1.5、最大衝撃圧力(MPa)：2.0、適用接続サイズ(インチ)：R3/8、質量(g)：39<BR>使用流体：空気・水他、使用温度範囲：-20～80℃、片バルブ用プラグ<BR><BR>【材質/仕上】<BR>■本体：ステンレス（SUS304）<BR><BR>【注意】<BR>・流体はソケット側からプラグ側に流すようにして下さい。<BR><BR>【原産国】<BR>日本,長堀工業 クイックカップリング　AL20型　ステンレス製　オネジ取付用　CAL23PF3：ビックカメラ楽天市場店,長堀工業 クイックカップリング　AL20型　ステンレス製　オネジ取付用　CAL23PF3,AppStore/AndroidMarketでビック楽天を検索。長堀工業 クイックカップリング　AL20型　ステンレス製　オネジ取付用　CAL23PF3[rn]
40-10885,http://tshop.r10s.jp/biccamera/cabinet/product/0626/00000001735626_a01.jpg?fitin=700:700,814.4000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 ウレタンブレード　ロック式チューブ用カップリング　6．5mm用　TL20065SN,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■安全性を追求したロック式チューブ用カップリング（ワンタッチ接続）です。<BR><BR>■スリーブロック構造で安全です。<BR><BR>■プレス加工、切削加工、自動装置、製品スクラップの吹飛ばし、吹付けなどに、安全基準に適合した作業ができます。<BR><BR>【用途】<BR>・プレス加工、切削加工、自動装置、製品スクラップの吹き飛ばし、吹き付けなどに安全基準に適合した作業ができます。<BR><BR>【仕様】<BR>相手側ホースサイズ(mm)：6.5×10.0、質量(g)：107<BR><BR>【原産国】<BR>日本,トラスコ中山 ウレタンブレード　ロック式チューブ用カップリング　6．5mm用　TL20065SN：ビックカメラ楽天市場店,トラスコ中山 ウレタンブレード　ロック式チューブ用カップリング　6．5mm用　TL20065SN,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 ウレタンブレード　ロック式チューブ用カップリング　6．5mm用　TL20065SN[rn]
40-10886,http://tshop.r10s.jp/biccamera/cabinet/product/1691/00000003180548_a01.jpg?fitin=700:700,18549.6000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 十川産業 スーパーエアーホース　SA950,,<!-- -->●ゴムホースと比べ軽く抜群の作業性があり、耐候性に優れヒビ割れしにくいです。<BR><BR>【用途】<BR>●コンプレッサー・自動車整備・板金塗装・採石など。<BR><BR>【仕様】<BR>●色：黒●外径(mm)：16.5●内径(mm)：9.5●使用圧力(MPa)：1.0●長さ(m)：50●質量(kg)：8.5<BR>●使用温度範囲：-5～60℃●使用圧力：1.0MPa<BR><BR>【材質/仕上】<BR>●軟質塩化ビニール（PVC）<BR><BR>【原産国】<BR>日本,【送料無料】 十川産業 スーパーエアーホース　SA950：ビックカメラ楽天市場店,【送料無料】 十川産業 スーパーエアーホース　SA950,【送料無料】 十川産業 スーパーエアーホース　SA950[rn]
40-10887,http://tshop.r10s.jp/biccamera/cabinet/product/1781/00000003180240_a01.jpg?fitin=700:700,136.0000,,花・ガーデン・DIY > DIY・工具 > その他,千代田通商 ニップル　R1／8・R1／8　N1M1M,,<!-- -->●コンパクト設計です。<BR>●シール加工（Rねじ部）。<BR><BR>【仕様】<BR>●接続口径D：R1/8×R1/8●質量(g)：8.9<BR>●使用流体：空気・水●流体温度：-5～60℃●使用圧力：1MPa●シール：ねじシール付<BR><BR>【材質/仕上】<BR>●本体：黄銅<BR><BR>【原産国】<BR>日本,千代田通商 ニップル　R1／8・R1／8　N1M1M：ビックカメラ楽天市場店,千代田通商 ニップル　R1／8・R1／8　N1M1M,千代田通商 ニップル　R1／8・R1／8　N1M1M[rn]
40-10888,http://tshop.r10s.jp/biccamera/cabinet/product/1722/00000003180538_a01.jpg?fitin=700:700,6116.8000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 十川産業 スーパーエアーホース　SA720,,<!-- -->●ゴムホースと比べ軽く抜群の作業性があり、耐候性に優れヒビ割れしにくいです。<BR><BR>【用途】<BR>●コンプレッサー・自動車整備・板金塗装・採石など。<BR><BR>【仕様】<BR>●色：黒●外径(mm)：13.5●内径(mm)：7●使用圧力(MPa)：1.0●長さ(m)：20●質量(kg)：2.5<BR>●使用温度範囲：-5～60℃●使用圧力：1.0MPa<BR><BR>【材質/仕上】<BR>●軟質塩化ビニール（PVC）<BR><BR>【原産国】<BR>日本,【送料無料】 十川産業 スーパーエアーホース　SA720：ビックカメラ楽天市場店,【送料無料】 十川産業 スーパーエアーホース　SA720,【送料無料】 十川産業 スーパーエアーホース　SA720[rn]
40-10889,http://tshop.r10s.jp/biccamera/cabinet/product/1781/00000003178599_a01.jpg?fitin=700:700,775.2000,,花・ガーデン・DIY > DIY・工具 > その他,千代田通商 タッチコネクターエルボコネクターHタイプ（金属）　CKL1202H,,<!-- -->●ストッパー部分への溶接スパッタの付着を防止するスリーブ付溶接治具専用です。<BR>●耐スパッタチューブのはく離後の内管と継手の接続部にスパッタが付着することもありません。<BR>●樹脂製取り外しリングを装備した継手はスパッタの付着により、動作不良が頻繁に発生しますが、Hタイプは機能で貢献します。<BR><BR>【用途】<BR>●溶接治具などの配管。<BR><BR>【仕様】<BR>●適合チューブ外径D(mm)：12●接続口径：R1/4●質量(g)：103.2<BR>●使用流体：空気●流体温度：-5～60℃●使用圧力：1MPa<BR><BR>【材質/仕上】<BR>●本体：黄銅●シールゴム：ニトリルゴム（NBR）<BR><BR>【原産国】<BR>日本,千代田通商 タッチコネクターエルボコネクターHタイプ（金属）　CKL1202H：ビックカメラ楽天市場店,千代田通商 タッチコネクターエルボコネクターHタイプ（金属）　CKL1202H,千代田通商 タッチコネクターエルボコネクターHタイプ（金属）　CKL1202H[rn]
40-10890,http://tshop.r10s.jp/biccamera/cabinet/product/0936/00000001919381_a01.jpg?fitin=700:700,10022.4000,,花・ガーデン・DIY > DIY・工具 > その他,【送料無料】 トラスコ中山 C型エアリール高圧用　本体のみ　TAHPD,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■転倒しにくい回転台付で優れた安定感です。<BR><BR>■巻き取りハンドルは折りたたみ式収納タイプです。<BR><BR>■高圧空気専用リールです。<BR><BR>【仕様】<BR>幅(mm)：242、奥行(mm)：282、高さ(mm)：289、取付二次側：高圧用オートロックソケット、取付一次側：高圧用プラグ22HPP、内径×外径×全長ホースサイズ：-、質量(kg)：4．5<BR>一次側ホース：長さ1m、使用流体：圧縮空気、使用温度範囲：－10~60℃、使用圧力：3．0MPa<BR><BR>【材質/仕上】<BR>■リール本体：スチール■ホース：塩ビ系エラストマー<BR><BR>【注意】<BR>・一般エアホース、エア継手との誤接続を防止するため特殊専用継手となっています。<BR><BR>【原産国】<BR>日本,【送料無料】 トラスコ中山 C型エアリール高圧用　本体のみ　TAHPD：ビックカメラ楽天市場店,【送料無料】 トラスコ中山 C型エアリール高圧用　本体のみ　TAHPD,AppStore/AndroidMarketでビック楽天を検索。【送料無料】 トラスコ中山 C型エアリール高圧用　本体のみ　TAHPD[rn]
40-10891,http://tshop.r10s.jp/biccamera/cabinet/product/1775/00000003179835_a01.jpg?fitin=700:700,551.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＣＫＤ ニュージョイントステンレスタイプ（プラグレジューサ）　ZWS46PP4,,<!-- -->●ボディ、プッシュリングは難燃性樹脂を採用●金属部品は、すべてステンレス標準採用<BR><BR>【用途】<BR>●使用圧力範囲：－100kPa～1.0MPa●流体温度：0～60℃(凍結なきこと)●チューブの接続<BR><BR>【仕様】<BR>●適合チューブ外径D(mm)：4●質量(g)：2.9●接続継手径：6mmプラグ<BR><BR>【材質/仕上】<BR>●本体：ステンレス（SUS304）+ポリブチレンテレフタレート（PBT）●シールゴム：ニトリルゴム<BR><BR>【原産国】<BR>日本,ＣＫＤ ニュージョイントステンレスタイプ（プラグレジューサ）　ZWS46PP4：ビックカメラ楽天市場店,ＣＫＤ ニュージョイントステンレスタイプ（プラグレジューサ）　ZWS46PP4,ＣＫＤ ニュージョイントステンレスタイプ（プラグレジューサ）　ZWS46PP4[rn]
40-10892,http://tshop.r10s.jp/biccamera/cabinet/product/0311/00000001550592_a01.jpg?fitin=700:700,510.4000,,花・ガーデン・DIY > DIY・工具 > その他,トラスコ中山 クイックシール継手　チーズ　φ8X6　呼びR1／4　TS8X602T,AppStore/AndroidMarketでビック楽天を検索,<!-- -->■ねじ部にシール加工を施しています。<BR><BR>■耐圧、耐震動性に優れます。<BR><BR>【用途】<BR>・空圧、油圧、水圧用。<BR><BR>【仕様】<BR>呼び径：R1/4、適合チューブサイズ外径×内径(mm)：8×6.0、質量(g)：40<BR>使用流体：空気、油、水、液体温度：0～70℃、使用圧力：5MPa<BR><BR>【材質/仕上】<BR>■黄銅（C3771）<BR><BR>【原産国】<BR>日本,トラスコ中山 クイックシール継手　チーズ　φ8X6　呼びR1／4　TS8X602T：ビックカメラ楽天市場店,トラスコ中山 クイックシール継手　チーズ　φ8X6　呼びR1／4　TS8X602T,AppStore/AndroidMarketでビック楽天を検索。トラスコ中山 クイックシール継手　チーズ　φ8X6　呼びR1／4　TS8X602T[rn]
40-10893,http://tshop.r10s.jp/biccamera/cabinet/product/1848/00000003257743_a01.jpg?fitin=700:700,1451.2000,,花・ガーデン・DIY > DIY・工具 > その他,タブチ ＴＢＣ ライトエアー メスチーズ ＡＩＲ２５－１／２ＦＴ,,<!-- -->■パイプが軽量です。<BR>■パイプの切断が簡単、ねじ切り不要ならくらく施工。<BR>■パイプは曲げることが出来、その形状を保持出来ます。<BR>■耐食性に優れた配管です。<BR><BR>【用途】<BR>・圧縮空気（低圧用）<BR><BR>【仕様】<BR>呼び径：25、接続口径D：Rc1/2、質量(g)：265、適合パイプ呼び径(mm)：25<BR>使用流体：圧縮空気（低圧用）、使用温度：0～60℃、最高使用圧力：1.0MPa未満<BR><BR>【材質/仕上】<BR>■ポリアセタール(POM)<BR><BR>【原産国】<BR>日本,タブチ ＴＢＣ ライトエアー メスチーズ ＡＩＲ２５&minus;１／２ＦＴ：ビックカメラ楽天市場店,タブチ ＴＢＣ ライトエアー メスチーズ ＡＩＲ２５&minus;１／２ＦＴ,タブチ ＴＢＣ ライトエアー メスチーズ ＡＩＲ２５&minus;１／２ＦＴ[rn]
