15-134801,http://tshop.r10s.jp/craftkei/cabinet/itemphoto/item2/h1602.jpg?fitin=700:700,719.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】,★おまかせ★手あみ糸　Rich More（最高級手あみ糸）,"※この商品は、ご注文から約2～3営業日後に出荷をさせていただきます。
<br><br>
※この商品は、「メール便対応」ではございません。通常の宅配便をご指定ください。
<br><br>
●見た目のインパクトも豪華な、上質のアンゴラ糸です。<br>
●フワフワの風合いのアンゴラうさぎの毛を、贅沢に80%使用。<br>
●イタリア製
<br><br>
<font color=""#993333"">
■構成…毛80%（アンゴラ）・ナイロン20%<br>
■仕立て…20g玉巻（約65m）<br>
■適正針・適正ゲージ…棒針7～8号・22目26段<br>
■婦人プルオーバー14～15玉、婦人半袖セーター9～10玉
</font>
<br><br>
<font color=""#FF0000"" size=""2"">
※メーカー在庫状況により、まれに品切れの場合がございます。<br>
その時はメールにてご連絡をさせていただきます。
<br>
※写真で見る商品と実物では色が違って見えることがございます。</font><br><br><img src=""http://www.rakuten.ne.jp/gold/craftkei/images/packet.jpg"">
<br><br>",リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】：クラフトケイ,毛糸ハマナカ生地フェルト羊毛羊毛フェルトダイロンルシアンローワン手芸キット手芸糸手あみ糸あみぐるみエコアンダリヤボニーエコタワシ手あみ針リッチモア特価毛糸アクリル毛糸フェルトリッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】,★おまかせ★手あみ糸　Rich More（最高級手あみ糸）。リッチモア【アンゴラ エイティー】アンゴラ80（Angora80）　毛糸    【毛糸】[rn]
15-134812,http://tshop.r10s.jp/shugale/cabinet/knit_item/903001_a.jpg?fitin=700:700,552.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　リッチモア毛糸　エクセレントモヘア＜カウント10＞ 【モヘア】,エクセレントモヘア＜カウント10＞｜毛糸｜リッチモア｜手編み,"※2016年8月1日（月）より、価格を改訂しました。<br><br>

生後半年目に刈り取った子ヤギの産毛（スーパーキッドモヘア）を使用。アンゴラタッチでチクチク肌を刺しにくいモヘアです。非常に軽く作品が仕上がるのも魅力。リッチモアの定番モヘアです。引き揃えにも最適です。<br><br>

【 重量・形状・糸長（m） 】 20g玉巻（約200m）<br>
【 品質構成 】 毛76％（スーパーキッドモヘヤ71％・ラムウール5％）・ナイロン24％<br>
【 棒針の号数 】 棒針4～5号（1本どり）　6～8号（2本どり）<br>
【 メリヤス編みの標準ゲージ 】 25目・36段（1本どり）　19目・28段（2本どり）<br><br>

***　メリヤス編み標準使用量（玉）　***<br>
婦人プル　8～9玉<br>
婦人ベスト　4～5玉<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/903001_1_b.jpg"" width=""100%"">",編み物　毛糸　リッチモア毛糸　エクセレントモヘア＜カウント10＞ 【モヘア】：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　リッチモア毛糸　エクセレントモヘア＜カウント10＞ 【モヘア】,エクセレントモヘア＜カウント10＞｜毛糸｜リッチモア｜手編み。編み物　毛糸　リッチモア毛糸　エクセレントモヘア＜カウント10＞ 【モヘア】[rn]
15-134813,http://tshop.r10s.jp/shugale/cabinet/knit_item/947601_a.jpg?fitin=700:700,207.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　ハマナカ手あみ糸　コロポックル,コロポックル｜ハマナカ手あみ糸｜手編み｜,"靴下・手袋などの小物ニットに最適な手あみ糸です。編みやすさを考えた中細よりやや太めの仕立てです。また、ナイロンを加えることで摩擦にも耐える強度を、持たせています。配色を意識した色数豊富な単色と、表情豊かなマルチカラーをご用意。もちろん、ウエア作品にもご使用いただけます。日本製。<br><br>

【 重量・形状・糸長（m） 】 25g玉巻（約92m）<br>
【 品質構成 】 ウール40％・アクリル30％・ナイロン30％<br>
【 棒針の号数 】 棒針3～4号<br>
【 かぎ針の号数 】 かぎ針3/0号<br>
【 メリヤス編み標準ゲージ 】 25～26目・30～31段<br>
【 長編み標準ゲージ 】 25目・11段<br><br>

*** 標準使用量（玉） ***<br>
婦人ベスト　7～8玉<br>
婦人セーター　12～13玉<br>
婦人カーディガン　13～14玉<br>
紳士セーター　16～17玉<br>
子供セーター（5～6才）　6～7玉<br><br>

※一部在庫のない商品はお取寄せになります｡<br>
※糸は1玉のご注文でも宅配便での発送となります｡<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/947601_b.jpg"" width=""100%"">",編み物　毛糸　ハマナカ手あみ糸　コロポックル：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　ハマナカ手あみ糸　コロポックル,コロポックル｜ハマナカ手あみ糸｜手編み｜。編み物　毛糸　ハマナカ手あみ糸　コロポックル[rn]
15-134814,http://tshop.r10s.jp/shugale/cabinet/knit_item/809050_a.jpg?fitin=700:700,428.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　パピー毛糸　シェットランド 【並太】 【ウール】 【純毛】,シェットランド｜毛糸｜パピー｜puppy｜手編み｜通販｜,"シェットランドウールはハーシーなイメージですが、実際は軽くソフトでその風合いは独特です。地模様、編み込みともに使える並太で、素晴らしい伝統のセーターをお楽しみいただけます。手洗いOK。<br><br>

【 重量・形状・糸長（m） 】 40g玉巻（約90m）<br>
【 品質構成 】 ウール100％（英国羊毛100％使用）<br>
【 棒針の号数 】 棒針5～7号<br>
【 かぎ針の号数 】 かぎ針5/0～7/0号<br>
【 メリヤス編みの標準ゲージ 】 21～22目・29～30段<br><br>

*** メリヤス編み標準使用量 ***<br>
婦人プル　440g<br>
婦人カーディガン　480g<br>
紳士プル　560g<br>
紳士カーディガン　600g<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/809050_1_b.jpg"" width=""100%"">",編み物　毛糸　パピー毛糸　シェットランド 【並太】 【ウール】 【純毛】：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　パピー毛糸　シェットランド 【並太】 【ウール】 【純毛】,シェットランド｜毛糸｜パピー｜puppy｜手編み｜通販｜。編み物　毛糸　パピー毛糸　シェットランド 【並太】 【ウール】 【純毛】[rn]
15-134815,http://tshop.r10s.jp/shugale/cabinet/knit_item/807802_a.jpg?fitin=700:700,448.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　パピー毛糸　クイーンアニー 【並太】puppy｜ 【純毛】,クイーンアニー｜毛糸｜パピー｜puppy｜手編み｜通販｜,"フランス・アニーブラッド社とのライセンス商品として誕生した使いやすい並太糸。原料の羊毛も編みやすさを追求した手編み毛糸の基本であるコシのある雑種系と柔らかさを出すためのメリノ種をブレンドして編み込み・地模様とも美しく仕上がるように作成しました。手洗いOK。<br><br>

【 重量･形状･糸長（m） 】 50g玉巻（約97m）<br>
【 品質構成 】 ウール100％<br>
【 棒針の号数 】 棒針6～7号<br>
【 かぎ針の号数 】 かぎ針6/0～8/0号<br>
【 メリヤス編み標準ゲージ 】 19～20目・27～28段<br><br>

*** メリヤス編み標準使用量 ***<br>
婦人プル　450g<br>
婦人カーディガン　500g<br>
紳士プル　550g<br>
紳士カーディガン　650g<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/807802_1_b.jpg"" width=""100%"">",編み物　毛糸　パピー毛糸　クイーンアニー 【並太】puppy｜ 【純毛】：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　パピー毛糸　クイーンアニー 【並太】puppy｜ 【純毛】,クイーンアニー｜毛糸｜パピー｜puppy｜手編み｜通販｜。編み物　毛糸　パピー毛糸　クイーンアニー 【並太】puppy｜ 【純毛】[rn]
15-134816,http://tshop.r10s.jp/shugale/cabinet/knit_item/933101_a.jpg?fitin=700:700,207.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　ハマナカ手あみ糸　ラブボニー,ラブボニー｜毛糸｜ハマナカ｜,"アクリルタワシに最適な「ハマナカボニー」と同じ原料構成の並太タイプが新登場！<br>
色数豊富なボニーの中からタワシづくりに人気のある色をセレクトしました。日本製。<br><br>

【 重量・形状・糸長（m） 】 40g玉巻（約70m）<br>
【 品質構成 】 アクリル100％<br>
【 棒針の号数 】 棒針7～8号<br>
【 かぎ針の号数 】 かぎ針5/0号<br>
【 メリヤス編み標準ゲージ 】 15～16目・22～23段<br>
【 長編み標準ゲージ 】 16目・7段<br><br>

※一部在庫のない商品はお取寄せになります｡<br>
※糸は1玉のご注文でも宅配便での発送となります｡<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/933101_1_b.jpg"" width=""100%"">",編み物　毛糸　ハマナカ手あみ糸　ラブボニー：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　ハマナカ手あみ糸　ラブボニー,ラブボニー｜毛糸｜ハマナカ｜。編み物　毛糸　ハマナカ手あみ糸　ラブボニー[rn]
15-134817,http://tshop.r10s.jp/shugale/cabinet/knit_item/974301_a.jpg?fitin=700:700,407.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　ハマナカ手あみ糸　エクシードウールＬ＜並太＞,エクシードウールＬ＜並太＞｜ハマナカ毛糸｜編物｜,"メンズ、レディース共に、ウエア～ウエア小物まで幅広く使用できる汎用性に富んだ並太タイプ。<br>
着やすさと配色を意識した色展開です。日本製。<br><br>

【 重量・形状・糸長（m） 】 40g玉巻（約80m）<br>
【 品質構成 】 ウール100％（エクストラファインメリノ使用）<br>
【 棒針の号数 】 棒針6～8号<br>
【 かぎ針の号数 】 かぎ針5/0号<br>
【 メリヤス編み標準ゲージ 】 18～19目・25～26段<br>
【 長編み標準ゲージ 】 17目・9段<br><br>

*** 標準使用量（玉） ***<br>
婦人ベスト　8～9玉<br>
婦人セーター　12～13玉<br>
婦人カーディガン　12～13玉<br>
紳士セーター　14～15玉<br>
子供セーター（5～6才）　7玉<br><br>

※一部在庫のない商品はお取寄せになります｡<br>
※糸は1玉のご注文でも宅配便での発送となります｡<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/974301_1_b.jpg"" width=""100%"">",編み物　毛糸　ハマナカ手あみ糸　エクシードウールＬ＜並太＞：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　ハマナカ手あみ糸　エクシードウールＬ＜並太＞,エクシードウールＬ＜並太＞｜ハマナカ毛糸｜編物｜。編み物　毛糸　ハマナカ手あみ糸　エクシードウールＬ＜並太＞[rn]
15-134818,http://tshop.r10s.jp/shugale/cabinet/knit_item/903301_a.jpg?fitin=700:700,400.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　リッチモア毛糸　スペクトルモデム＜ファイン＞ 【並太】｜手編み｜通販｜編み物｜あみもの｜ニット｜,スペクトルモデム＜ファイン＞｜毛糸｜リッチモア｜手編み,"★糸見本は＜画像２＞をご覧ください<br><br>

【　重量・形状・糸長（約）　】　４０ｇ玉巻（約９５ｍ）<br>
【　品質構成　】　毛１００％<br>
【　棒針の号数　】　棒針６～８号<br>
【　メリヤス編みの標準ゲージ　】　２０目・２８段<br><br>

30色展開のストレート。スペクトルモデムより一回り細く、棒針編みに適した太さです。レディースサイズのプルならほぼ10玉で仕上がります。<br><br>
※2014年7月1日（火）より、価格を改訂しました。<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/903301_1_b.jpg"" width=""100%"">",編み物　毛糸　リッチモア毛糸　スペクトルモデム＜ファイン＞ 【並太】｜手編み｜通販｜編み物｜あみもの｜ニット｜：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　リッチモア毛糸　スペクトルモデム＜ファイン＞ 【並太】｜手編み｜通販｜編み物｜あみもの｜ニット｜,スペクトルモデム＜ファイン＞｜毛糸｜リッチモア｜手編み。編み物　毛糸　リッチモア毛糸　スペクトルモデム＜ファイン＞ 【並太】｜手編み｜通販｜編み物｜あみもの｜ニット｜[rn]
15-134819,http://tshop.r10s.jp/shugale/cabinet/knit_item/978001_a.jpg?fitin=700:700,324.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　ハマナカ手あみ糸　純毛中細,毛糸｜手編み｜通販｜編み物｜ハマナカ｜,"人気のかぎ針編み作品や機械編み作品に適したポピュラーな中細タイプ。<br>
多色使いのモチーフ作品にも配色しやすい色目を揃えた色展開です。日本製。<br><br>

【 重量・形状・糸長（m） 】 40g玉巻（約160m）<br>
【 品質構成 】 ウール100％<br>
【 棒針の号数 】 棒針3号<br>
【 かぎ針の号数 】 かぎ針3/0号<br>
【 長編み標準ゲージ 】 25～26目・12～12.5段<br><br>

*** 標準使用量（玉） ***<br>
婦人ベスト　5～6玉<br>
婦人セーター　8～9玉<br>
婦人カーディガン　8～9玉<br>
紳士セーター　10～11玉<br>
子供セーター（5～6才）　4～5玉<br><br>

※一部在庫のない商品はお取寄せになります｡<br>
※糸は1玉のご注文でも宅配便での発送となります｡<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/978001_1_b.jpg"" width=""100%"">",編み物　毛糸　ハマナカ手あみ糸　純毛中細：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　ハマナカ手あみ糸　純毛中細,毛糸｜手編み｜通販｜編み物｜ハマナカ｜。編み物　毛糸　ハマナカ手あみ糸　純毛中細[rn]
15-134820,http://tshop.r10s.jp/shugale/cabinet/knit_item/904001_a.jpg?fitin=700:700,365.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　リッチモア毛糸　パーセント｜手編み｜通販｜編み物｜あみもの｜ニット｜,パーセント｜毛糸｜リッチモア｜手編み,"※2016年8月1日（月）より、価格を改訂しました。<br><br>

100色展開の並合太ストレート。<br>
使いやすいスタンダードな太さと豊富な色数であらゆるニーズにお応えします。<br>
棒針編みからカギ針編み、多色編み込みまで。<br><br>

【 重量・形状・糸長（m） 】 40g玉巻（約120m）<br>
【 品質構成 】 毛100％<br>
【 棒針の号数 】 棒針5～7号<br>
【 メリヤス編みの標準ゲージ 】 22目・30段<br><br>

***　メリヤス編み標準使用量（玉）　***<br>
紳士プル　12～14玉<br>
婦人プル　9～10玉<br>
婦人半袖プル　6～7玉<br>
婦人ベスト　5～6玉<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/904001_1_b.jpg"" width=""100%"">",編み物　毛糸　リッチモア毛糸　パーセント｜手編み｜通販｜編み物｜あみもの｜ニット｜：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　リッチモア毛糸　パーセント｜手編み｜通販｜編み物｜あみもの｜ニット｜,パーセント｜毛糸｜リッチモア｜手編み。編み物　毛糸　リッチモア毛糸　パーセント｜手編み｜通販｜編み物｜あみもの｜ニット｜[rn]
15-134821,http://tshop.r10s.jp/shugale/cabinet/knit_item/751801_a.jpg?fitin=700:700,104.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　ダルマ手あみ糸　小巻Ｃａｆｅデミ　【メール便可】,毛糸｜編物｜ダルマ｜,"5gカード巻でカラーも豊富。小さな編み物や毛糸刺しゅうはもちろん、ラッピングコードにも。<br>
多色使いにも使い切りサイズのお手頃価格です。<br><br>

【 重量・形状・糸長（m） 】 5g巻（約19m）<br>
【 品質構成 】 アクリル70％・ウール30％<br>
【 棒針の号数 】 棒針2～3号<br>
【 かぎ針の号数 】 かぎ針2/0～3/0号<br><br>

※メール便可能です。<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/751801_1_b.jpg"" width=""100%"">",編み物　毛糸　ダルマ手あみ糸　小巻Ｃａｆｅデミ　【メール便可】：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　ダルマ手あみ糸　小巻Ｃａｆｅデミ　【メール便可】,毛糸｜編物｜ダルマ｜。編み物　毛糸　ダルマ手あみ糸　小巻Ｃａｆｅデミ　【メール便可】[rn]
15-134822,http://tshop.r10s.jp/shugale/cabinet/knit_item/859001_a.jpg?fitin=700:700,276.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　ダルマ手あみ糸　やわらかラム,ダルマ｜毛糸｜やわらかラム｜ラム｜,"「ラムウール」に超ソフト・ニューアクリルをブレンド。<br>
ソフトで軽くスポンディッシュ、色数豊富なベビー・キッズ向きの定番手編糸。<br><br>

【 重量・形状・糸長（m）】 30g玉巻(約103m）<br>
【 品質構成 】 アクリル60％・ウール（ラムウール）40％<br>
【 棒針の号数 】 棒針4～6号<br>
【 かぎ針の号数 】 かぎ針5/0～6/0号<br><br>

***　メリヤス編み標準使用量（玉）　***<br>
ベビーベスト　3玉<br>
ベビーマフラー　1玉<br>
子供ベスト（7～8才）　4～5玉<br>
子供プル（7～8才）　6玉<br><br>

※一部在庫のない商品はお取寄せになります。<br>※糸は１玉のご注文でも宅配便での発送となります。
<br><br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/859001_1_b.jpg"" width=""100%"">",編み物　毛糸　ダルマ手あみ糸　やわらかラム：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　ダルマ手あみ糸　やわらかラム,ダルマ｜毛糸｜やわらかラム｜ラム｜。編み物　毛糸　ダルマ手あみ糸　やわらかラム[rn]
15-134823,http://tshop.r10s.jp/shugale/cabinet/knit_item/933401_a.jpg?fitin=700:700,400.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,編み物　毛糸　ハマナカ手あみ糸　アメリー,アメリー｜ハマナカ手あみ糸｜手編み｜,"ソフトで強いクリンプ（繊維の縮れ）を持つニュージーランドメリノウールに、バルキー性（膨らむ性質）に富むアクリルを程よくブレンドすることで、肌触りが良く、抜群の弾力性と保温性にも優れた手あみ糸ができました。ふくらみがありますので、見た目より軽い作品に仕上がります。<br>
汎用性のある並太タイプで、棒針・かぎ針ともに糸割れが少なく、非常に編みやすい仕立てです。
日本製。<br><br>

【 重量・形状・糸長（m） 】 40g玉巻（約110m）<br>
【 品質構成 】 ウール70％（ニュージーランドメリノウール）・アクリル30％<br>
【 棒針の号数 】 棒針6～7号<br>
【 かぎ針の号数 】 かぎ針5/0～6/0号<br>
【 メリヤス編み標準ゲージ 】 19～20目・27～28段<br>
【 長編み標準ゲージ 】 20～21目・9～9.5段<br><br>

*** 標準使用量（玉） ***<br>
婦人ベスト　5～6玉<br>
婦人セーター　8～9玉<br>
婦人カーディガン　9～10玉<br>
紳士セーター　10～11玉<br>
子供セーター（5～6才）　5玉<br><br>

※一部在庫のない商品はお取寄せになります｡<br>
※糸は1玉のご注文でも宅配便での発送となります｡<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/933401_1_b.jpg"" width=""100%"">",編み物　毛糸　ハマナカ手あみ糸　アメリー：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ編み物　毛糸　ハマナカ手あみ糸　アメリー,アメリー｜ハマナカ手あみ糸｜手編み｜。編み物　毛糸　ハマナカ手あみ糸　アメリー[rn]
15-134824,http://tshop.r10s.jp/shugale/cabinet/knit_item/942401_a.jpg?fitin=700:700,241.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,【毛糸】【極太】【ハマナカ】ボニー　編み物　ハマナカ手あみ糸　ボニー,ボニー｜ハマナカ手あみ糸｜手編み｜,"ハマナカボニー＆ジャンボニーは、トップ染めで作られています。アクリルを原料段階で染色した後、紡績とバルキー加工（ふくらむ加工）を施していますので、ソフトでふっくらしたボリューム感ある糸に仕上がっています。たわし、円座、角座、あみぐるみに最適です。<br>
洗濯しても縮まず、乾燥が速く、「ふくらみ」の復元性は抜群です。<br>
しかも、抗菌・防臭加工でとっても清潔！日本製。<br><br>

【 重量・形状・糸長（m） 】 50g玉巻（約60m）<br>
【 品質構成 】 アクリル100％<br>
【 棒針の号数 】 棒針8～10号<br>
【 かぎ針の号数 】 かぎ針8/0号<br>
【 メリヤス編み標準ゲージ 】 15目・20段<br>
【 長編み標準ゲージ 】 13目・6段<br><br>

*** メリヤス編み標準使用量（玉） ***<br>
円座・角座<br>
棒針　5～6玉<br>
かぎ針　7～10玉<br><br>

※一部在庫のない商品はお取寄せになります。<br>
※糸は1玉のご注文でも宅配便での発送となります。<br><img src=""http://image.rakuten.co.jp/shugale/cabinet/knit_item/942401_1_b.jpg"" width=""100%"">",【毛糸】【極太】【ハマナカ】ボニー　編み物　ハマナカ手あみ糸　ボニー：手芸材料の通信販売　シュゲール,毛糸　通販編み物　通販編物　通販手編み　通販シュゲールハマナカ　毛糸ダイヤ　毛糸レザークラフトソーイングセット通園　通学　準備レジン手作り野呂英作入園刺繍ミシン粘土生地裁縫箱ビーズ【毛糸】【極太】【ハマナカ】ボニー　編み物　ハマナカ手あみ糸　ボニー,ボニー｜ハマナカ手あみ糸｜手編み｜。【毛糸】【極太】【ハマナカ】ボニー　編み物　ハマナカ手あみ糸　ボニー[rn]
