15-72201,http://tshop.r10s.jp/auc-ainetshop/cabinet/tool/23795-a2_001.jpg?fitin=700:700,376.8000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,【Aebs[エービス]】 汎用 L型 スタンダード エアバルブ 2個セット 【安心の6ヶ月保証】【aiNET[アイネット]】,,"<img src=""http://image.rakuten.co.jp/auc-ainetshop/cabinet/tool/23795-a2_002.jpg""  width=""100%""border=""0""><br>
<img src=""http://image.rakuten.co.jp/auc-ainetshop/cabinet/tool/23795-a2_003.jpg""  width=""100%""border=""0""><br>
<hr>
| おすすめポイント<br>弊社提携ショップ店様で長期にわたるテスト期間を経て耐久性の確認を行った自信を持ってオススメできる商品です。<br><br>※取り付け時は専用工具ご使用の上、交換作業を行ってください。プライヤーなどで無理に作業した場合破損する恐れがあります。<br><br>| 対応車種<br>チューブレスタイヤ仕様のホイール車両<br><br>| 商品詳細<br>L型エアバルブ 2個セット<br>JAN:4571460855685 <br>6ヶ月保証",【Aebs[エービス]】 汎用 L型 スタンダード エアバルブ 2個セット 【安心の6ヶ月保証】【aiNET[アイネット]】：アイネットＳＨＯＰ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得バイクタイヤバイクバッテリーバイクチェーンブレーキパッドケンダデューロスクリーンボアアップキットリアボックスヘッドライトシートミラーモンキ-PCXグロムマジェスティシグナスXアドレスV125コールマン coleman アウトドア小川テント キャンパルジャパン ロゴス LOGOS【Aebs[エービス]】 汎用 L型 スタンダード エアバルブ 2個セット 【安心の6ヶ月保証】【aiNET[アイネット]】,メール便可 エアーバルブ タイヤバルブ L型。【Aebs[エービス]】 汎用 L型 スタンダード エアバルブ 2個セット 【安心の6ヶ月保証】【aiNET[アイネット]】[rn]
15-72212,http://tshop.r10s.jp/cityliner/cabinet/0005/07237781.jpg?fitin=700:700,10320.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,富士電機 標準形電磁接触器(ケースカバーなし)SC-N3 コイルAC200V 2a2b 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】国際規格(IEC規格)に対応するグローバルスタンダード製品。補助接点は、高接触信頼性の双接点を標準装備。<br>【型式】SC-N3<br>【質量(kg)】1.1<br>【コイル定格電圧(V)】AC200<br>【規格】海外規格：IEC、EN、VDE、BS、UL、CSA認定<br>【定格通電電流】100A<br>【外形寸法(幅W×高さH×奥行D)(mm)】88×110×111<br>【取付ねじ】2-M4<br>【補助接点】2a2b<br>【主回路電圧(V)】AC200<br>【適合レール幅(mm)】35<br>【機械的耐久性】500万回<br>【電気的耐久性】200万回(AC-3)<br>【開閉ひん度(回/時)】1200<br>【閉路電流(A)】三相かご形モータ(AC-3)220V：780 440V：780<br>【遮断電流(A)】三相かご形モータ(AC-3)220V：650 440V：650<br>【電磁石容量(VA)/投入時】200V 50Hz：180<br>200-220V 60Hz：190<br>【電磁石容量(VA)/保存時】200V 50Hz：13.3<br>200-220V 60Hz：13.4<br>【損失(W)】200V 50Hz：4.5<br>220V 60Hz：5<br>【閉路電圧(V)】50Hz：115～13560Hz：130～150<br>【開放電圧(V)】50Hz：85～11060Hz：100～125<br>",富士電機 標準形電磁接触器(ケースカバーなし)SC-N3 コイルAC200V 2a2b 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル富士電機 標準形電磁接触器(ケースカバーなし)SC-N3 コイルAC200V 2a2b 1個,3240円以上ご購入で送料無料！。富士電機 標準形電磁接触器(ケースカバーなし)SC-N3 コイルAC200V 2a2b 1個[rn]
15-72213,http://tshop.r10s.jp/cityliner/cabinet/0005/02490266.jpg?fitin=700:700,3120.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,オムロン(omron) ソリッドステート・タイマ H3CR-AH3CR-A8 AC100-240/DC100-125 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】時間レンジ、動作モードのマルチ化。高圧、低圧二種類のAC/DCフリー電源。DIN48×48mmのフルマルチタイマ。消費電流を抑えたエコロジー設計。0設定瞬時出力により、シーケンスチェックが容易。UL、CSA、NK、LR取得。EN61812-1適合。CEマーク対応。<br>【注意】※インバータの出力を電源として使用しないでください。※突入電流がありますので、センサなどの無接点出力でタイマ本体の電源を開閉するときには注意が必要です。<br>【種別】5動作マルチ<br>【質量(g)】約90<br>【形式】H3CR-A8<br>【使用温度範囲(℃)】-10～+55(ただし、氷結しないこと)<br>【保護構造】IP40(パネル表面部)<br>【時間仕様】0.05s～300h<br>【最大目盛時間】30×10hrs<br>【耐電圧】充電金属部と非充電金属部間：AC2000V 50/60Hz 1min制御出力と操作回路間：AC2000V 50/60Hz 1min異極接点間：AC2000V 50/60Hz 1min非連続接点間：AC1000V 50/60Hz 1min<br>【消費電力】リレーON時/約2VA(1.6W)リレーOFF時/約1.3VA(1.1W)(AC240V 60Hz時)<br>【入力】-<br>",オムロン(omron) ソリッドステート・タイマ H3CR-AH3CR-A8 AC100-240/DC100-125 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルオムロン(omron) ソリッドステート・タイマ H3CR-AH3CR-A8 AC100-240/DC100-125 1個,3240円以上ご購入で送料無料！。オムロン(omron) ソリッドステート・タイマ H3CR-AH3CR-A8 AC100-240/DC100-125 1個[rn]
15-72214,http://tshop.r10s.jp/cityliner/cabinet/0190/08589874.jpg?fitin=700:700,5585.6000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,オムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NFV 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【付属品】防水パッキン、埋込み取りつけ用アダプタ、単位シール<br>【質量(g)】約60<br>【取付方式】埋込み取りつけ<br>【保護構造】IEC規格IP66、米国NEMA規格タイプ4(屋内)ただし、パネル表面のみ<br>【電源】外部電源/不要(電池内蔵)<br>【時間仕様】(表示)0.0h～999999.9h/0.0h～3999d23.9h(スイッチ切替)<br>【耐電圧】AC3700V 50/60Hz 1min計時入力端子と露出した非充電金属部間AC2200V 50/60Hz 1minリセット端子と露出した非充電金属部間計時入力端子とリセット端子間<br>【精度】時間：±100ppm(25℃)<br>【動作方式】加算<br>【桁数】7<br>【表示方式】LCD(液晶による数字表示)(ゼロサプレスで表示)<br>【ケース色】ライトグレー<br>【入力】(計数入力)「H」レベル：AC/DC24～240V「L」レベル：AC/DC0～2.4V(リセット入力)短絡時最大インピーダンス10kΩ以下でON短絡時残留電圧0.5V以下(実力1.0V)開放時最小インピーダンス750kΩ以上でOFF<br>【文字高(mm)】8.6<br>【保存温度(℃)】-25～+65(ただし、結露、氷結しないこと)<br>",オムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NFV 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルオムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NFV 1個,3240円以上ご購入で送料無料！。オムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NFV 1個[rn]
15-72215,http://tshop.r10s.jp/cityliner/cabinet/0190/08589892.jpg?fitin=700:700,5739.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,オムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NFV1 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【付属品】防水パッキン、埋込み取りつけ用アダプタ、単位シール<br>【質量(g)】約60<br>【取付方式】埋込み取りつけ<br>【保護構造】IEC規格IP66、米国NEMA規格タイプ4(屋内)ただし、パネル表面のみ<br>【電源】外部電源/不要(電池内蔵)<br>【時間仕様】(表示)0s～999h59min59s/0.0min～9999h59.9min(スイッチ切替)<br>【耐電圧】AC3700V 50/60Hz 1min計時入力端子と露出した非充電金属部間AC2200V 50/60Hz 1minリセット端子と露出した非充電金属部間計時入力端子とリセット端子間<br>【精度】時間：±100ppm(25℃)<br>【動作方式】加算<br>【桁数】7<br>【表示方式】LCD(液晶による数字表示)(ゼロサプレスで表示)<br>【ケース色】ライトグレー<br>【入力】(計数入力)「H」レベル：AC/DC24～240V「L」レベル：AC/DC0～2.4V(リセット入力)短絡時最大インピーダンス10kΩ以下でON短絡時残留電圧0.5V以下(実力1.0V)開放時最小インピーダンス750kΩ以上でOFF<br>【文字高(mm)】8.6<br>【保存温度(℃)】-25～+65(ただし、結露、氷結しないこと)<br>",オムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NFV1 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルオムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NFV1 1個,3240円以上ご購入で送料無料！。オムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NFV1 1個[rn]
15-72216,http://tshop.r10s.jp/cityliner/cabinet/0089/03787384.jpg?fitin=700:700,5316.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,オムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NV 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【付属品】防水パッキン、埋込み取りつけ用アダプタ、単位シール<br>【質量(g)】約60<br>【取付方式】埋込み取りつけ<br>【保護構造】IEC規格IP66、米国NEMA規格タイプ4(屋内)ただし、パネル表面のみ<br>【電源】外部電源/不要(電池内蔵)<br>【時間仕様】(表示)0.0h～999999.9h/0.0h～3999d23.9h(スイッチ切替)<br>【耐電圧】AC1000V 50/60Hz 1min導電部端子と露出した非充電金属部間<br>【精度】時間：±100ppm(25℃)<br>【動作方式】加算<br>【桁数】7<br>【表示方式】LCD(液晶による数字表示)(ゼロサプレスで表示)<br>【ケース色】ライトグレー<br>【入力】計数入力/リセット入力「H」レベル：DC4.5～30V「L」レベル：DC0～2V(入力インピーダンス約4.7kΩ)<br>【文字高(mm)】8.6<br>【保存温度(℃)】-25～+65(ただし、結露、氷結しないこと)<br>【絶縁抵抗(MΩ)】100以上(DC500Vメガにて)導電部端子と露出した非充電金属部間<br>【使用周囲温度(℃)】-10～+55(ただし、結露、氷結しないこと)<br>【計数入力】電圧入力<br>",オムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NV 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルオムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NV 1個,3240円以上ご購入で送料無料！。オムロン(omron) 小型タイムカウンタ H7ET-NH7ET-NV 1個[rn]
15-72217,http://tshop.r10s.jp/cityliner/cabinet/0442/39036541.jpg?fitin=700:700,143.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,オムロン(omron) 小形基本スイッチ D2MVD2MV-01-1C1 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】超低荷重動作ながら高信頼性を実現した小形基本スイッチ<br>ツインクロスバ接点を採用し、すぐれた接触信頼性を実現。<br>独自の内部機構により、超低荷重動作でも高い接点接触力を確保。軽い物体の検出などの用途に使用可能。<br>【保護構造】IEC IP40<br>【アクチュエータの種類】ピン押ボタン形<br>【定格】DC30V 0.1A<br>【耐電圧】同極端子間：AC1000V 50/60Hz 1min充電金属部とアース間、各端子と非充電金属部間：AC1500V 50/60Hz 1min(セパレータ(を使用した時の数値)<br>【端子の種類】はんだづけ端子<br>【接点間隔】0.5mm<br>【絶縁抵抗(MΩ)】100以上(DC500V絶縁抵抗計にて)<br>【使用周囲温度(℃)】-25～+80(ただし、、氷結、結露しないこと)<br>【接触抵抗(mΩ)】50以下<br>【耐衝撃(耐久)】1000万回以上(60回/min)<br>【使用周囲湿度】85%RH以下(+5～+35℃にて)<br>【耐振動(誤動作)】周波数10～55Hz 複振幅1.5mm(自由位置と動作限度位置)<br>【耐衝撃(誤動作)】100万回以上(30回/min)<br>【接点仕様】ツインクロスバ<br>",オムロン(omron) 小形基本スイッチ D2MVD2MV-01-1C1 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルオムロン(omron) 小形基本スイッチ D2MVD2MV-01-1C1 1個,3240円以上ご購入で送料無料！。オムロン(omron) 小形基本スイッチ D2MVD2MV-01-1C1 1個[rn]
15-72218,http://tshop.r10s.jp/cityliner/cabinet/0761/39037896.jpg?fitin=700:700,3432.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,オムロン(omron) セーフティ・ドアスイッチ D4BSD4BS-4AFS 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>9営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>返品不可<br>【特長】工作機械などの防護扉を開けた時、専用操作キーにより接点を直接開路し、制御回路をしゃ断<br>CEマーキング適合に対応するEN規格取得。<br>UL、CSAの認証を取得。<br>直接開路動作機構(NC接点側のみ)により、防護カバー開扉時にスイッチの接点を開離。EN規格の直接開路動作認証はスイッチにマークで表示。<br>専用操作キーにより、誤操作や偽操作を防止。<br>-40～+80℃と広範囲な温度仕様。<br>スイッチボックス部の保護構造はIP67認証(EN60947-5-1)<br>【仕様】接点ギャップ：最小2×2mm直接開路動作までの動き：最小20mm(EN60947-5-1)<br>【保護構造】IP67(EN60947-5-1)<br>【定格絶縁電圧(V)】(Ui)600(EN60947-5-1)<br>【定格周波数(Hz)】50/60<br>【動作力】(直接開路)最小19.61N(EN60947-5-1)<br>【絶縁抵抗(MΩ)】同極および異極端子間、各端子とアース間、各端子と非充電金属部間：100以上(DC500Vメガにて)<br>【使用周囲温度(℃)】-40～+80(ただし、氷結しないこと)<br>【接触抵抗(mΩ)】25以下<br>",オムロン(omron) セーフティ・ドアスイッチ D4BSD4BS-4AFS 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルオムロン(omron) セーフティ・ドアスイッチ D4BSD4BS-4AFS 1個,3240円以上ご購入で送料無料！。オムロン(omron) セーフティ・ドアスイッチ D4BSD4BS-4AFS 1個[rn]
15-72219,http://tshop.r10s.jp/cityliner/cabinet/34870/40344972.jpg?fitin=700:700,1460.0000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,阪神電線 可動信号用ケーブル 30V UL・CSA規格 シールド付MRC UL20276SB 4P×24AWG×2 1巻,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>6営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>返品不可<br>【特長】UL規格、CSA規格対応の可動部用ツイストペアケーブルです。<br>電子機器内の信号伝達用ケーブルとしてお使い頂けます。<br>柔軟性、耐油性に優れています。<br>EMI対策として、編組シールドを施しております。<br>【注意】対数(P)の商品は2芯を撚り合せておりますので、芯数は倍になります。<br>【サイズ】24AWG<br>【定格電圧(V)】30<br>【全長(m)】2<br>【許容電流(A)】2.7<br>【耐電圧】500<br>【識別】色別<br>【色(絶縁体)】1空、2桃、3草、4橙<br>【絶縁体厚さ(mm)】0.25<br>【概算質量(kg/km)】78<br>【導体抵抗(Ω/km)(20℃)】105<br>【シース厚(mm)】1.0<br>【シース色】黒<br>【導体構成(本/mm)】6/18/0.05<br>【導体外径(mm)】0.7<br>【絶縁体外径(mm)】1.2<br>【シース外径(Φmm)】7.5<br>【対数(P)】4<br>【絶縁抵抗20℃(MΩ-km)】5<br>【定格温度(℃)】80<br>",阪神電線 可動信号用ケーブル 30V UL・CSA規格 シールド付MRC UL20276SB 4P&times;24AWG&times;2 1巻：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル阪神電線 可動信号用ケーブル 30V UL・CSA規格 シールド付MRC UL20276SB 4P&times;24AWG&times;2 1巻,3240円以上ご購入で送料無料！。阪神電線 可動信号用ケーブル 30V UL・CSA規格 シールド付MRC UL20276SB 4P&times;24AWG&times;2 1巻[rn]
15-72220,http://tshop.r10s.jp/cityliner/cabinet/0388/08557035.jpg?fitin=700:700,871.2000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,七星科学研究所 NJCシリーズJIS規格中型メタルコネクタ 中継アダプタNJC-244-AdM 1個,,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>6営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【特長】ダイカスト製の堅牢なシェル<br>5本キー方式のガイド採用により、結合が非常にスムーズ<br>【用途】信号・電送・電子機器用<br>【注意】JIS規格品はNJC-163 165 207 2010 2410 2416 2816 2814です。<br>【仕様】正芯(機器側)<br>【形状】正芯<br>【使用温度範囲(℃)】-40～+100<br>【規格】JIS C 5432適合品有り/電気用品安全法適合品あり<br>【定格】15A 250V<br>【耐電圧】1500V<br>【コネクタ形状】アダプタ<br>【材質(コンタクト)/処理】銅合金/銀めっき<br>【材質(絶縁体)】合成樹脂<br>【適合ケーブル外径(Φmm)】11.5～14.0<br>【導体断面積(mm2)】2<br>【絶縁抵抗(MΩ)】5000<br>【接触抵抗(mΩ)】3以下<br>【材質(シェル)/処理】亜鉛合金/梨地クロムめっき<br>【シェルサイズ】24<br>【電線接続方式】はんだづけ<br>【コンタクト数】4<br>【コンタクト形状】オス(ピン)<br>",七星科学研究所 NJCシリーズJIS規格中型メタルコネクタ 中継アダプタNJC-244-AdM 1個：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオル七星科学研究所 NJCシリーズJIS規格中型メタルコネクタ 中継アダプタNJC-244-AdM 1個,3240円以上ご購入で送料無料！。七星科学研究所 NJCシリーズJIS規格中型メタルコネクタ 中継アダプタNJC-244-AdM 1個[rn]
15-72221,http://tshop.r10s.jp/cityliner/cabinet/0075/02489523.jpg?fitin=700:700,2886.4000,,花・ガーデン・DIY > DIY・工具 > 安全・保護用品 > その他,オムロン(omron) フォト・マイクロセンサ用コネクタ コード付 EE-□EE-1006 2M 1箱(10個),,"商品画像につきましては、サイズ・色等が異なる場合がございますのでご注意ください。<br>翌営業日以内出荷<br><br>3,240円以上ご購入で送料無料！<br><br>【適合】形EE-SX67□(A、P、R)、形EE-SX47□、形EE-SY67□、形EE-SPY31□/41□、形EE-SPX303/403、形EE-SPW311/411<br>【種別】コード付コネクタ<br>【コード長さ(m)】2<br>【材質(ハウジング)】ポリブチレンテレフタレート<br>【接触抵抗(mΩ)】10以下(DC100V以下にて)<br>【挿入力】50N以下<br>【材質(コンタクト)】リン青銅(ハンダメッキ処理)<br>【抜去力(N)(ハウジング保持力)】20以上<br>【周囲温度(℃)】-10～+60<br>【挿抜耐久】-<br>【ロック】無<br>【ロック強度】-<br>",オムロン(omron) フォト・マイクロセンサ用コネクタ コード付 EE-□EE-1006 2M 1箱(10個)：プロの工具ショップ　YOSHIMURA,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得作業工具消耗品日曜大工DIY安全靴ベアリング研磨梱包ウエスストレッチフィルムテープ軍手ボルヴィック台車切削工具ねじマスク測定キムタオルオムロン(omron) フォト・マイクロセンサ用コネクタ コード付 EE-□EE-1006 2M 1箱(10個),3240円以上ご購入で送料無料！。オムロン(omron) フォト・マイクロセンサ用コネクタ コード付 EE-□EE-1006 2M 1箱(10個)[rn]
