19-163101,http://tshop.r10s.jp/belle-b/cabinet/03933884/bf/img62310298.jpg?fitin=700:700,7200.0000,,バッグ・小物・ブランド雑貨 > バッグ > エコバッグ,BF バルーン手さげ ラウンド ハンドバッグ たっぷり 雨 軽量 定番◇ベル・ブランシェ◇日本製,★☆実店舗人気商品！リピーター続出☆★,"●サイズ）27×35×11(cm)　170g
<BR>
●素材）合成皮革（オリジナルプリント）
<BR>
●日本製
<BR>
◇ベル・ブランシェ定番のBFシリーズ！バルーン型手さげ◇ころんとかわいい形が特徴的♪軽くて持ちやすいバッグです◇
<BR>
◇撮影・ブラウザの状況によって多少カラー等異なって見える場合がございますが、ご了承くださいませ。
<BR>
<FONT color=""#ff0000"">※商品在庫について</FONT>
<BR>
商品の在庫数量は実店舗の店頭在庫と共有しているため、随時変動しております。ご注文のタイミング等により、楽天店舗上で在庫有り表示の商品でも欠品している場合がございます。予めご了承くださいませ。
<BR>
<FONT color=""#ff0000"">※在庫切れ商品およびお取り寄せ可商品について</FONT>
<BR>
当店はメーカーですので在庫切れ表示でも、お時間をいただければご用意できます。(但し、生地の在庫状況によってご用意できない場合がございます。)
<BR>
また、お取り寄せ可商品につきましても、同じくお時間を頂戴いたします。
<BR><BR>
<FONT color=""#ff0000"">※ご不明な点がございましたら、お気軽にお問い合わせくださいませ。
</FONT>",BF バルーン手さげ ラウンド ハンドバッグ たっぷり 雨 軽量 定番◇ベル・ブランシェ◇日本製：自由が丘ベル・ブランシェ,ゴブランBelle Brancheeバッグベル・ブランシェバックベルブランシェ直輸入オリジナルリバティハンドメイドヨーロッパ自由が丘LIBERTYトート日本製ショルダーフランス製ハンドバッグキティポーチBF バルーン手さげ ラウンド ハンドバッグ たっぷり 雨 軽量 定番◇ベル・ブランシェ◇日本製,★☆実店舗人気商品！リピーター続出☆★。BF バルーン手さげ ラウンド ハンドバッグ たっぷり 雨 軽量 定番◇ベル・ブランシェ◇日本製[rn]
19-163112,http://tshop.r10s.jp/akibamac/cabinet/05120806/4953103497481.jpg?fitin=700:700,1080.0000,,スマートフォン・タブレット > バッテリー・充電器 > スマートフォン・タブレット用ACアダプター,エレコム1.2m［USB-C ⇔ USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACS12BK,,〔USB-Cポート用：USB-C ⇔ USB-Aケーブル（充電・転送）〕<br>断線に強い高耐久モデル。新規格USB Type-Cコネクタを搭載!USB Standard-A端子を搭載したパソコン・充電器と、USB Type-C端子を搭載したスマートフォンなどの接続ができるUSB2.0ケーブル。<br><br>■ 対応スマートフォンで充電やデータ通信が出来るUSB2.0ケーブル<br>USB Standard-Aを搭載しているパソコン及び充電器、モバイルバッテリーなどに、USB Type-Cを搭載しているスマートフォンやタブレットを接続し、充電やデータ転送ができるUSB2.0ケーブルです。<br>■ 3種類の新設計でさらに高耐久！<br>3種類の新設計を採用し、特に断線しやすいコネクタ付け根部分の耐久力を高めています。エレコム社従来品の10倍の耐久試験に合格<br>■ プラグ部分の負担を軽減<br>通常よりブッシュを長くするロングブッシュ構造を採用し、プラグ部分にかかる負担を軽減しています。<br>■ 高密度配線構造を採用<br>内部配線の密度を高めることで、屈曲に対する耐久力を強化する高密度配線構造を採用しています。<br>■ ナイロンメッシュで傷防止<br>外皮にはナイロンメッシュを使用し、ケーブル表面のキズを防止します。<br>■ ウラ、オモテに関係なく両面挿し<br>新規格のUSB Type-Cコネクタは、ウラ、オモテに関係なく両面挿せます。<br>■ 最大5V、3Aの大電流<br>最大5V、3Aの大電流で接続機器の充電が可能です。※ご使用になるパソコンなどの性能によって、供給される電流値が異なります。 ※USB PD(Power-Delivery)非対応です。<br>■ 高い耐久性と安全性<br>サビなどに強く信号劣化を抑える金メッキピンを採用し、耐久性と安全性を高めています。 難燃性の素材を使用し、安全性を高めています。<br>■ 外部ノイズの干渉から信号を保護<br>外部ノイズの干渉から信号を保護する2重シールドケーブルを採用しています。<br>■ EUのRoHS指令準拠<br>EUの「RoHS指令（電子・電子機器に対する特定有害物質の使用制限）」に準拠した環境にやさしい製品です。<br><br>【製品仕様】<br>対応機種：USB Standard-A端子搭載のパソコン・充電器・モバイルバッテリーおよび、USB Type-C端子搭載のスマートフォン・タブレットなど<br>コネクタ形状：USB2.0 Standard-Aオス-USB Type-Cオス<br>ケーブル長：1.2m ※コネクタ含む<br>ケーブル太さ：3.2mm<br>規格：USB2.0規格準拠<br>対応転送速度：最大480Mbps ※理論値<br>プラグメッキ仕様：金メッキピン<br>シールド方法：2重シールド<br>ツイストペアケーブル(通信線)：○,エレコム1.2m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACS12BK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコム1.2m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACS12BK,エレコム1.2m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACS12BK[rn]
19-163113,http://tshop.r10s.jp/akibamac/cabinet/04576511/4562358072444.jpg?fitin=700:700,1533.6000,,スマートフォン・タブレット > バッテリー・充電器 > スマートフォン・タブレット用ACアダプター,PGAiPhone／iPod対応［Lightning］　AC充電器 「ディズニー」ダイカット（1.2m・ミッキーマウス）　MFi認証　PG-DNYMFI244MKY,,"〔iPhone／iPod対応［Lightning］：充電器（AC）〕
ミッキーマウスの顔の形とぐるぐる本体にケーブルを巻きつけれるのが特長のMFiを取得したLightiningコネクタ用ダイカットAC充電器。（1.2m・ミッキーマウス）",PGAiPhone／iPod対応［Lightning］　AC充電器 「ディズニー」ダイカット（1.2m・ミッキーマウス）　MFi認証　PG-DNYMFI244MKY：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンPGAiPhone／iPod対応［Lightning］　AC充電器 「ディズニー」ダイカット（1.2m・ミッキーマウス）　MFi認証　PG-DNYMFI244MKY,PGAiPhone／iPod対応［Lightning］　AC充電器 「ディズニー」ダイカット（1.2m・ミッキーマウス）　MFi認証　PG-DNYMFI244MKY[rn]
19-163114,http://tshop.r10s.jp/akibamac/cabinet/03190280/4531465033969.jpg?fitin=700:700,1304.0000,,スマートフォン・タブレット > バッテリー・充電器 > スマートフォン・タブレット用ACアダプター,RADIUSRK-CCF42W iPhone 5対応 1.0A 車載用充電器 (ホワイト) (RKCCF42W),,車内でiPhone 5をしっかり充電。過電流保護装置搭載の安心設計...,RADIUSRK-CCF42W iPhone 5対応 1.0A 車載用充電器 (ホワイト) (RKCCF42W)：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンRADIUSRK-CCF42W iPhone 5対応 1.0A 車載用充電器 (ホワイト) (RKCCF42W),RADIUSRK-CCF42W iPhone 5対応 1.0A 車載用充電器 (ホワイト) (RKCCF42W)[rn]
19-163115,http://tshop.r10s.jp/akibamac/cabinet/05120806/4953103276338.jpg?fitin=700:700,986.4000,,スマートフォン・タブレット > バッテリー・充電器 > スマートフォン・タブレット用ACアダプター,エレコム2.0m［USB-C ⇔ USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACX20BK,,〔USB-Cポート用：USB-C ⇔ USB-Aケーブル（充電・転送）〕<br>細くてとりまわしの良い極細ケーブルタイプ。USB Standard-A端子を搭載したパソコン・充電器と、USB Type-C端子を搭載したスマートフォンなどの接続ができるUSB2.0ケーブル。<br><br>■ USB Standard-Aを搭載しているパソコン及び充電器、モバイルバッテリーなどに、USB Type-Cを搭載しているスマートフォンやタブレットを接続し、充電やデータ転送ができるUSB2.0ケーブルです。<br>■ 直径2.6mmと、細くてとりまわしの良い極細ケーブルを使用しています。<br>■ 新規格のUSB Type-Cコネクタは、ウラ、オモテに関係なく両面挿せます。<br>■ 最大5V、3Aの大電流で接続機器の充電が可能です。 ※ご使用になるパソコンなどの性能によって、供給される電流値が異なります。USB PD(Power-Delivery)非対応です。<br>■ 最大480Mbpsの高速データ転送が可能です。<br>■ 難燃性の素材を使用し、安全性を高めています。<br>■ 外部ノイズの干渉から信号を保護する2重シールドケーブルを採用しています。<br>■ サビなどに強く信号劣化を抑える金メッキピンを採用しています。<br>■ EUの「RoHS指令(電子・電子機器に対する特定有害物質の使用制限)」に準拠した環境にやさしい製品です。<br><br>【製品仕様】<br>コネクタ形状：USB2.0 Standard-Aオス-USB Type-Cオス<br>対応機種：USB Standard-A端子搭載のパソコン・充電器・モバイルバッテリーおよび、USB Type-C端子搭載のスマートフォン・タブレットなど<br>ケーブル長：2.0m ※コネクタ含む<br>ケーブル太さ：2.8mm<br>規格：USB2.0規格準拠<br>対応転送速度：最大480Mbps ※理論値<br>プラグメッキ仕様：金メッキピン<br>シールド方法：2重シールド<br>ツイストペアケーブル(通信線)：○,エレコム2.0m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACX20BK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコム2.0m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACX20BK,エレコム2.0m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACX20BK[rn]
19-163116,http://tshop.r10s.jp/akibamac/cabinet/05120806/4953103276291.jpg?fitin=700:700,822.4000,,スマートフォン・タブレット > バッテリー・充電器 > スマートフォン・タブレット用ACアダプター,エレコム0.7m［USB-C ⇔ USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACX07BK,,〔USB-Cポート用：USB-C ⇔ USB-Aケーブル（充電・転送）〕<br>細くてとりまわしの良い極細ケーブルタイプ。USB Standard-A端子を搭載したパソコン・充電器と、USB Type-C端子を搭載したスマートフォンなどの接続ができるUSB2.0ケーブル。<br><br>■ USB Standard-Aを搭載しているパソコン及び充電器、モバイルバッテリーなどに、USB Type-Cを搭載しているスマートフォンやタブレットを接続し、充電やデータ転送ができるUSB2.0ケーブルです。<br>■ 直径2.6mmと、細くてとりまわしの良い極細ケーブルを使用しています。<br>■ 新規格のUSB Type-Cコネクタは、ウラ、オモテに関係なく両面挿せます。<br>■ 最大5V、3Aの大電流で接続機器の充電が可能です。 ※ご使用になるパソコンなどの性能によって、供給される電流値が異なります。USB PD(Power-Delivery)非対応です。<br>■ 最大480Mbpsの高速データ転送が可能です。<br>■ 難燃性の素材を使用し、安全性を高めています。<br>■ 外部ノイズの干渉から信号を保護する2重シールドケーブルを採用しています。<br>■ サビなどに強く信号劣化を抑える金メッキピンを採用しています。<br>■ EUの「RoHS指令(電子・電子機器に対する特定有害物質の使用制限)」に準拠した環境にやさしい製品です。<br><br>【製品仕様】<br>コネクタ形状：USB2.0 Standard-Aオス-USB Type-Cオス<br>対応機種：USB Standard-A端子搭載のパソコン・充電器・モバイルバッテリーおよび、USB Type-C端子搭載のスマートフォン・タブレットなど<br>ケーブル長：0.7m ※コネクタ含む<br>ケーブル太さ：2.6mm<br>規格：USB2.0規格準拠<br>対応転送速度：最大480Mbps ※理論値<br>プラグメッキ仕様：金メッキピン<br>シールド方法：2重シールド<br>ツイストペアケーブル(通信線)：○,エレコム0.7m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACX07BK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコム0.7m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACX07BK,エレコム0.7m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACX07BK[rn]
19-163117,http://tshop.r10s.jp/akibamac/cabinet/05120806/4953103497450.jpg?fitin=700:700,1040.0000,,スマートフォン・タブレット > バッテリー・充電器 > スマートフォン・タブレット用ACアダプター,エレコム0.7m［USB-C ⇔ USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACS07BK,,〔USB-Cポート用：USB-C ⇔ USB-Aケーブル（充電・転送）〕<br>断線に強い高耐久モデル。新規格USB Type-Cコネクタを搭載!USB Standard-A端子を搭載したパソコン・充電器と、USB Type-C端子を搭載したスマートフォンなどの接続ができるUSB2.0ケーブル。<br><br>■ 対応スマートフォンで充電やデータ通信が出来るUSB2.0ケーブル<br>USB Standard-Aを搭載しているパソコン及び充電器、モバイルバッテリーなどに、USB Type-Cを搭載しているスマートフォンやタブレットを接続し、充電やデータ転送ができるUSB2.0ケーブルです。<br>■ 3種類の新設計でさらに高耐久！<br>3種類の新設計を採用し、特に断線しやすいコネクタ付け根部分の耐久力を高めています。エレコム社従来品の10倍の耐久試験に合格<br>■ プラグ部分の負担を軽減<br>通常よりブッシュを長くするロングブッシュ構造を採用し、プラグ部分にかかる負担を軽減しています。<br>■ 高密度配線構造を採用<br>内部配線の密度を高めることで、屈曲に対する耐久力を強化する高密度配線構造を採用しています。<br>■ ナイロンメッシュで傷防止<br>外皮にはナイロンメッシュを使用し、ケーブル表面のキズを防止します。<br>■ ウラ、オモテに関係なく両面挿し<br>新規格のUSB Type-Cコネクタは、ウラ、オモテに関係なく両面挿せます。<br>■ 最大5V、3Aの大電流<br>最大5V、3Aの大電流で接続機器の充電が可能です。※ご使用になるパソコンなどの性能によって、供給される電流値が異なります。 ※USB PD(Power-Delivery)非対応です。<br>■ 高い耐久性と安全性<br>サビなどに強く信号劣化を抑える金メッキピンを採用し、耐久性と安全性を高めています。 難燃性の素材を使用し、安全性を高めています。<br>■ 外部ノイズの干渉から信号を保護<br>外部ノイズの干渉から信号を保護する2重シールドケーブルを採用しています。<br>■ EUのRoHS指令準拠<br>EUの「RoHS指令（電子・電子機器に対する特定有害物質の使用制限）」に準拠した環境にやさしい製品です。<br><br>【製品仕様】<br>対応機種：USB Standard-A端子搭載のパソコン・充電器・モバイルバッテリーおよび、USB Type-C端子搭載のスマートフォン・タブレットなど<br>コネクタ形状：USB2.0 Standard-Aオス-USB Type-Cオス<br>ケーブル長：0.7m ※コネクタ含む<br>ケーブル太さ：3.2mm<br>規格：USB2.0規格準拠<br>対応転送速度：最大480Mbps ※理論値<br>プラグメッキ仕様：金メッキピン<br>シールド方法：2重シールド<br>ツイストペアケーブル(通信線)：○,エレコム0.7m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACS07BK：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコム0.7m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACS07BK,エレコム0.7m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 ブラック MPA-ACS07BK[rn]
19-163118,http://tshop.r10s.jp/akibamac/cabinet/05050739/4953103276222.jpg?fitin=700:700,905.6000,,スマートフォン・タブレット > バッテリー・充電器 > スマートフォン・タブレット用ACアダプター,エレコム1.2m［USB-C ⇔ USB-A］2.0ケーブル 充電・転送 シルバー MPA-ACCL12SV,,〔USB-Cポート用：USB-C ⇔ USB-Aケーブル（充電・転送）〕<br>多彩なカラーバリエーション。USB Standard-A端子を搭載したパソコン・充電器と、USB Type-C端子を搭載したスマートフォンなどの接続ができるUSB2.0ケーブル。<br><br>■ USB Standard-Aを搭載しているパソコン及び充電器、モバイルバッテリーなどに、USB Type-Cを搭載しているスマートフォンやタブレットを接続し、充電やデータ転送ができるUSB2.0ケーブルです。<br>■ 多彩なカラーバリエーションがあるカラーUSB Type-Cケーブルです。<br>■ 新規格のUSB Type-Cコネクタは、ウラ、オモテに関係なく両面挿せます。<br>■ 最大5V、3Aの大電流で接続機器の充電が可能です。<br>※ご使用になるパソコンなどの性能によって、供給される電流値が異なります。<br>■ USB PD(Power-Delivery)非対応です。<br>■ 最大480Mbpsの高速データ転送が可能です。<br>■ 難燃性の素材を使用し、安全性を高めています。<br>■ 外部ノイズの干渉から信号を保護する2重シールドケーブルを採用しています。<br>■ サビなどに強く信号劣化を抑える金メッキピンを採用しています。<br>■ EUの「RoHS指令(電子・電子機器に対する特定有害物質の使用制限)」に準拠した環境にやさしい製品です。<br><br>【製品仕様】<br>【コネクタ形状】USB2.0 Standard-Aオス-USB Type-Cオス<br>【対応機種】USB Standard-A端子搭載のパソコン・充電器・モバイルバッテリーおよび、USB Type-C端子搭載のスマートフォン・タブレットなど<br><br>■ ケーブル長：1.2m ※コネクタ含む<br>■ ケーブル太さ：3.5mm<br>■ 規格：USB2.0規格準拠<br>■ 対応転送速度：最大480Mbps ※理論値<br>■ プラグメッキ仕様：金メッキピン<br>■ シールド方法：2重シールド<br>■ ツイストペアケーブル(通信線)：○,エレコム1.2m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 シルバー MPA-ACCL12SV：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンエレコム1.2m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 シルバー MPA-ACCL12SV,エレコム1.2m［USB-C &hArr; USB-A］2.0ケーブル 充電・転送 シルバー MPA-ACCL12SV[rn]
19-163119,http://tshop.r10s.jp/akibamac/cabinet/05050739/4571341975860.jpg?fitin=700:700,1176.0000,,スマートフォン・タブレット > バッテリー・充電器 > スマートフォン・タブレット用ACアダプター,オズマスマートフォン用［micro USB］ USB2.0ケーブル 充電・転送 2A （2m・レッド） IUD-STSP200R,,〔スマートフォン用：USBケーブル A⇔micro USB（充電・転送）〕<br>スマートフォン用 通信充電ケーブル。100cmストロングタイプ。<br><br>■ 丈夫で傷のつきにくい加工が施されています。<br>■ ケーブルはしなやかで絡みにくいフラットケーブルを採用。コネクタとケーブルの接合部(SR部)も断線しにくい構造です。<br>■ USBを持つパソコンに接続して、microUSBを持つスマートフォンのデータ通信や充電ができます。<br><br>【製品仕様】<br>■ 出力：5V 最大2A<br>■ コネクタ：micro-B USB 2.0 Std-A<br>■ コード長：200cm<br>■ 重量：約54g<br>■ 原産国：China,オズマスマートフォン用［micro USB］ USB2.0ケーブル 充電・転送 2A （2m・レッド） IUD-STSP200R：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオズマスマートフォン用［micro USB］ USB2.0ケーブル 充電・転送 2A （2m・レッド） IUD-STSP200R,オズマスマートフォン用［micro USB］ USB2.0ケーブル 充電・転送 2A （2m・レッド） IUD-STSP200R[rn]
19-163120,http://tshop.r10s.jp/akibamac/cabinet/05050739/4519305071692.jpg?fitin=700:700,1264.0000,,スマートフォン・タブレット > バッテリー・充電器 > スマートフォン・タブレット用ACアダプター,オズマType-Cコネクタ搭載[USB-C⇔USB-A] 通信・充電USBケーブル/1.5m/ブラック BKS-UD3C150K 【ビックカメラグループオリジナル】,,■表裏どちらの向きでも接続が出来るType-Cコネクタを搭載しています。<br>■最大480Mbpsの高速データ転送が可能です。<br>■丈夫でしなやかな燃えにくい素材を使用した安心の設計です。<br>■最大電流3Aで急速充電に対応しています。<br><br>【製品仕様】<br>色：ブラック<br>コネクタ：USB-Type-Cオス型/USB-Aオス型<br>ケーブル長：約1.5m<br>重量：68g,オズマType-Cコネクタ搭載[USB-C&hArr;USB-A] 通信・充電USBケーブル/1.5m/ブラック BKS-UD3C150K 【ビックカメラグループオリジナル】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコンオズマType-Cコネクタ搭載[USB-C&hArr;USB-A] 通信・充電USBケーブル/1.5m/ブラック BKS-UD3C150K 【ビックカメラグループオリジナル】,オズマType-Cコネクタ搭載[USB-C&hArr;USB-A] 通信・充電USBケーブル/1.5m/ブラック BKS-UD3C150K 【ビックカメラグループオリジナル】[rn]
19-163121,http://tshop.r10s.jp/akibamac/cabinet/05264069/4991348074746.jpg?fitin=700:700,1264.0000,,スマートフォン・タブレット > バッテリー・充電器 > スマートフォン・タブレット用ACアダプター,三菱化学メディアLightning - USBケーブル 充電・転送 2.4A （1.2m・ホワイト） MFi認証 CBL120SLWV1【ビックカメラグループオリジナル】,,〔iPad / iPad mini / iPhone / iPod対応：USBケーブル A⇔Lightning（充電・転送）〕<br>ビックカメラグループオリジナル スリムタイプコネクターLightningケーブル。<br><br>■ 安心のMFi（Made for iPod／iPhone／iPad）認証モデル<br>■ スリムタイプコネクター採用で、ケースに干渉しづらい<br>■ 使いやすい1.2mケーブル<br>■ 充電＆データ転送<br>■ 最大2.4A出力対応<br><br>【製品仕様】<br>【Lightning搭載】<br>・iPhone 7 Plus / iPhone 7<br>・iPhone SE<br>・iPhone 6s Plus / iPhone 6s / iPhone 6 Plus / iPhone 6<br>・iPhone 5s / iPhone 5c / iPhone 5<br>・iPad Pro(9.7-inch) / iPad Pro(12.9-inch)<br>・iPad mini 4 / iPad mini 3 / iPad mini 2 / iPad mini<br>・iPad Air 2 / iPad Air<br>・iPad (4th generation)<br>・iPod touch (6th generation) / iPod touch (5th generation) / iPod nano (7th generation),三菱化学メディアLightning - USBケーブル 充電・転送 2.4A （1.2m・ホワイト） MFi認証 CBL120SLWV1【ビックカメラグループオリジナル】：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコン三菱化学メディアLightning - USBケーブル 充電・転送 2.4A （1.2m・ホワイト） MFi認証 CBL120SLWV1【ビックカメラグループオリジナル】,三菱化学メディアLightning - USBケーブル 充電・転送 2.4A （1.2m・ホワイト） MFi認証 CBL120SLWV1【ビックカメラグループオリジナル】[rn]
