19-21101,,5585.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1,生産加工用品\静電気対策用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●導電性カラーマットのカラー層と同じ材質を使用した導電テープです。<br>
●作業台の導電性カラーマットや、導電床などの区画割り、各種表示用のラインテープ。<br>
●色:イエロー<br>
●幅(mm):50<br>
●長さ(m):10<br>
●厚み(mm):0.5<br>
●接地抵抗:Rg≦1×10[[の9乗]]Ω<br>
●ニトリルゴム(NBR)<br>
●同メーカーの導電性マットを併用して下さい。",■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1：クローバー資材館,■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1,生産加工用品\静電気対策用品。■〒ホーザン/ＨＯＺＡＮ 半田鏝【F-751】(8183587) ＨＯＺＡＮ 導電性テープ 発注単位1[rn]
19-21173,http://tshop.r10s.jp/clover9608/cabinet/youki3/2210r.jpg?fitin=700:700,24440.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■P.共立電気計器【2210R】フレキシブルクランプメータ,当店おすすめ商品\工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br>●柔軟かつ軽量なフレキシブルセンサの採用で電線の込み合った場所に威力を発揮します。<br>
●最大AC3000Aまで測定可能です。<br>
 <br>
●検波方式:真の実効値整流（RMS）<br>
●最大表示:3150カウント<br>
●最大測定導体径:150mm<br>
 ●幅×奥行×高さ:70×26×120mm<br>
 ●電源：単4乾電池×2本(付属)<br>
●直流電圧(V):-<br>
●交流電圧(V):-<br>
●直流電流(A):-<br>
●交流電流(A):3000<br>
 ●抵抗(Ω):-<br>
●質量(g):300<br>
 ●交流電流分解能:0.01A<br>
 ●レンジ:3レンジ　30.00/300.0/3000A<br>
 <br>
<br>",『カード対応OK！』■P.共立電気計器【2210R】フレキシブルクランプメータ：クローバー資材館,『カード対応OK！』■P.共立電気計器【2210R】フレキシブルクランプメータ,当店おすすめ商品\工具。『カード対応OK！』■P.共立電気計器【2210R】フレキシブルクランプメータ[rn]
19-21174,,9355.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ【2ZDK080S】(7715196) ソリッドエンドミル 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●2ZDK：180°フラットの先端角により、傾斜面の座ぐりなど多様な加工に対応です。<br>●特殊な溝形状で、良好な切りくず排出性と高い剛性を実現しています。<br><br>●座ぐり加工用（薄板の突き加工、旋盤の奥端面加工、穴の矯正、ドリル加工後の底面仕上げ加工、傾斜面への座ぐり・ガイド穴加工）<br><br><br>●刃数：2<br>●刃径(mm)：8.0<br>●溝長(mm)：25<br>●全長(mm)：70<br>●シャンク径(mm)：8<br>●2枚刃(ショート)<br>●MEGACOAT NANO<br>●被膜構成：MEGACOAT NANO<br>●2枚刃（ショートタイプ）<br><br>●超微粒子超硬母材<br>",『カード対応OK！』■〒京セラ【2ZDK080S】(7715196) ソリッドエンドミル 受注単位1：クローバー資材館,『カード対応OK！』■〒京セラ【2ZDK080S】(7715196) ソリッドエンドミル 受注単位1,切削工具\旋削・フライス加工工具\超硬スクエアエンドミル。『カード対応OK！』■〒京セラ【2ZDK080S】(7715196) ソリッドエンドミル 受注単位1[rn]
19-21175,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004719440.jpg?fitin=700:700,8108.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　ＰＶＤサーメット　ＰＶ７０２５【TNGG160408R-S  PV7025】(6496407) 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　ＰＶＤサーメット　ＰＶ７０２５【TNGG160408R-S  PV7025】(6496407) 受注単位10：クローバー資材館,『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　ＰＶＤサーメット　ＰＶ７０２５【TNGG160408R-S  PV7025】(6496407) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒京セラ/京セラ　旋削用チップ　ＰＶＤサーメット　ＰＶ７０２５【TNGG160408R-S  PV7025】(6496407) 受注単位10[rn]
19-21176,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002564659.jpg?fitin=700:700,19708.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イスカルジャパン/イスカル　Ｄ　チップ　ＣＯＡＴ【GIQR8-0.75-0.00IC528】(1622137) 受注単位10,切削工具\旋削・フライス加工工具\チップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒イスカルジャパン/イスカル　Ｄ　チップ　ＣＯＡＴ【GIQR8-0.75-0.00IC528】(1622137) 受注単位10：クローバー資材館,『カード対応OK！』■〒イスカルジャパン/イスカル　Ｄ　チップ　ＣＯＡＴ【GIQR8-0.75-0.00IC528】(1622137) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒イスカルジャパン/イスカル　Ｄ　チップ　ＣＯＡＴ【GIQR8-0.75-0.00IC528】(1622137) 受注単位10[rn]
19-21177,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005415901.jpg?fitin=700:700,5130.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニオンツール超硬エンドミルロングネックボ－ルＲ１．２５×有効長２５×φ４【HSLB2025-250】(4305159) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル,,『カード対応OK！』■〒ユニオンツール超硬エンドミルロングネックボ&minus;ルＲ１．２５&times;有効長２５&times;φ４【HSLB2025-250】(4305159) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニオンツール超硬エンドミルロングネックボ&minus;ルＲ１．２５&times;有効長２５&times;φ４【HSLB2025-250】(4305159) 受注単位1,切削工具\旋削・フライス加工工具\超硬ボールエンドミル。『カード対応OK！』■〒ユニオンツール超硬エンドミルロングネックボ&minus;ルＲ１．２５&times;有効長２５&times;φ４【HSLB2025-250】(4305159) 受注単位1[rn]
19-21178,,13609.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール　カッタ用インサート　ＳＤＭＴ１５０５ＺＤＴＮ－Ｒ１５　ＧＸ２１４０【SDMT1505ZDTN-R15  GX2140】(4294653) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒日立ツール　カッタ用インサート　ＳＤＭＴ１５０５ＺＤＴＮ&minus;Ｒ１５　ＧＸ２１４０【SDMT1505ZDTN-R15  GX2140】(4294653) 受注単位10：クローバー資材館,『カード対応OK！』■〒日立ツール　カッタ用インサート　ＳＤＭＴ１５０５ＺＤＴＮ&minus;Ｒ１５　ＧＸ２１４０【SDMT1505ZDTN-R15  GX2140】(4294653) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒日立ツール　カッタ用インサート　ＳＤＭＴ１５０５ＺＤＴＮ&minus;Ｒ１５　ＧＸ２１４０【SDMT1505ZDTN-R15  GX2140】(4294653) 受注単位10[rn]
19-21179,,18291.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用溝入れＴＡＣチップ　ＣＯＡＴ【DGM2-002-15L  AH725】(7010672) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用溝入れＴＡＣチップ　ＣＯＡＴ【DGM2-002-15L  AH725】(7010672) 受注単位10：クローバー資材館,『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用溝入れＴＡＣチップ　ＣＯＡＴ【DGM2-002-15L  AH725】(7010672) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用溝入れＴＡＣチップ　ＣＯＡＴ【DGM2-002-15L  AH725】(7010672) 受注単位10[rn]
19-21180,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571728.jpg?fitin=700:700,8035.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　コンパックス　ＣＢＮ【NP-DNGA150412GN4  MBC020】(6875980) 受注単位1,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　コンパックス　ＣＢＮ【NP-DNGA150412GN4  MBC020】(6875980) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　コンパックス　ＣＢＮ【NP-DNGA150412GN4  MBC020】(6875980) 受注単位1,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　コンパックス　ＣＢＮ【NP-DNGA150412GN4  MBC020】(6875980) 受注単位1[rn]
19-21181,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002563656.jpg?fitin=700:700,11824.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　ＣＯＡＴ【DNMG150608-GH  UE6020】(2040972) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　ＣＯＡＴ【DNMG150608-GH  UE6020】(2040972) 受注単位10：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　ＣＯＡＴ【DNMG150608-GH  UE6020】(2040972) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　チップ　ＣＯＡＴ【DNMG150608-GH  UE6020】(2040972) 受注単位10[rn]
19-21182,,27220.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用溝入れＴＡＣチップ　超硬【GBL43125R  KS05F】(3458164) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用溝入れＴＡＣチップ　超硬【GBL43125R  KS05F】(3458164) 受注単位10：クローバー資材館,『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用溝入れＴＡＣチップ　超硬【GBL43125R  KS05F】(3458164) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒タンガロイ/タンガロイ　旋削用溝入れＴＡＣチップ　超硬【GBL43125R  KS05F】(3458164) 受注単位10[rn]
19-21183,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002992078.jpg?fitin=700:700,1348.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三和製作所/三和超硬付刃バイト超硬【43-2P20】 (2174839) 受注単位1,切削工具\旋削・フライス加工工具\切削バイト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●JIS規格品です。",『カード対応OK！』■〒三和製作所/三和超硬付刃バイト超硬【43-2P20】 (2174839) 受注単位1：クローバー資材館,『カード対応OK！』■〒三和製作所/三和超硬付刃バイト超硬【43-2P20】 (2174839) 受注単位1,切削工具\旋削・フライス加工工具\切削バイト。『カード対応OK！』■〒三和製作所/三和超硬付刃バイト超硬【43-2P20】 (2174839) 受注単位1[rn]
19-21184,http://tshop.r10s.jp/clover9608/cabinet/ayaka10/hry47633.jpg?fitin=700:700,6936.0000,,花・ガーデン・DIY > DIY・工具 > その他,■S.墓陽【HRY47633】アロッキー銅ベルト黒　エアー補助ベルト付,当店おすすめ商品\工具,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,■S.墓陽【HRY47633】アロッキー銅ベルト黒　エアー補助ベルト付：クローバー資材館,■S.墓陽【HRY47633】アロッキー銅ベルト黒　エアー補助ベルト付,当店おすすめ商品\工具。■S.墓陽【HRY47633】アロッキー銅ベルト黒　エアー補助ベルト付[rn]
19-21185,http://tshop.r10s.jp/clover9608/cabinet/youki3/scl-120alu.jpg?fitin=700:700,11928.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■P.ピカコーポレイション【SCL-120Alu】四脚アジャスト式はしご兼用脚立,当店おすすめ商品\工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
スペシャルカラー限定モデル<br>
最大段差が約31ｃｍまで対応！<br>",『カード対応OK！』###■P.ピカコーポレイション【SCL-120Alu】四脚アジャスト式はしご兼用脚立：クローバー資材館,『カード対応OK！』###■P.ピカコーポレイション【SCL-120Alu】四脚アジャスト式はしご兼用脚立,当店おすすめ商品\工具。『カード対応OK！』###■P.ピカコーポレイション【SCL-120Alu】四脚アジャスト式はしご兼用脚立[rn]
19-21186,http://tshop.r10s.jp/clover9608/cabinet/youki6/v-prm456.jpg?fitin=700:700,4366.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■V.プロステップ【PRM456】ポケットリーマー(銅管専用),当店おすすめ商品\工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>",『カード対応OK！』■V.プロステップ【PRM456】ポケットリーマー(銅管専用)：クローバー資材館,『カード対応OK！』■V.プロステップ【PRM456】ポケットリーマー(銅管専用),当店おすすめ商品\工具。『カード対応OK！』■V.プロステップ【PRM456】ポケットリーマー(銅管専用)[rn]
19-21187,http://tshop.r10s.jp/clover9608/cabinet/ayaka10/834152.jpg?fitin=700:700,30139.2000,,花・ガーデン・DIY > DIY・工具 > その他,■S.リジット【8♯34152】チューブエキスパンダ―８,当店おすすめ商品\工具,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,■S.リジット【8♯34152】チューブエキスパンダ&mdash;８：クローバー資材館,■S.リジット【8♯34152】チューブエキスパンダ&mdash;８,当店おすすめ商品\工具。■S.リジット【8♯34152】チューブエキスパンダ&mdash;８[rn]
19-21188,http://tshop.r10s.jp/clover9608/cabinet/03137591/03164423/img61368436.gif?fitin=700:700,56511.2000,,花・ガーデン・DIY > DIY・工具 > その他,##■S.ナカオ【CEHL-135】アルミ作業台　コンスライト　最大使用質量150kg,当店おすすめ商品\工具,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br><br><br><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b><br>,##■S.ナカオ【CEHL-135】アルミ作業台　コンスライト　最大使用質量150kg：クローバー資材館,##■S.ナカオ【CEHL-135】アルミ作業台　コンスライト　最大使用質量150kg,当店おすすめ商品\工具。##■S.ナカオ【CEHL-135】アルミ作業台　コンスライト　最大使用質量150kg[rn]
19-21189,http://tshop.r10s.jp/clover9608/cabinet/ayaka10/k76014.jpg?fitin=700:700,171948.0000,,花・ガーデン・DIY > DIY・工具 > その他,■S.ハスクバーナー【K-760-14】エンジンカッター,当店おすすめ商品\工具,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,■S.ハスクバーナー【K-760-14】エンジンカッター：クローバー資材館,■S.ハスクバーナー【K-760-14】エンジンカッター,当店おすすめ商品\工具。■S.ハスクバーナー【K-760-14】エンジンカッター[rn]
19-21190,http://tshop.r10s.jp/clover9608/cabinet/ayaka10/rwm1.jpg?fitin=700:700,100464.0000,,花・ガーデン・DIY > DIY・工具 > その他,■S.亀倉精機【RW-M1】ポートパンチャー,当店おすすめ商品\工具,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,■S.亀倉精機【RW-M1】ポートパンチャー：クローバー資材館,■S.亀倉精機【RW-M1】ポートパンチャー,当店おすすめ商品\工具。■S.亀倉精機【RW-M1】ポートパンチャー[rn]
19-21191,http://tshop.r10s.jp/clover9608/cabinet/ayaka10/b71.jpg?fitin=700:700,4492.0000,,花・ガーデン・DIY > DIY・工具 > その他,■S.モクバ【B-71】100ｍｍR刃（フロア用）,当店おすすめ商品\工具,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,■S.モクバ【B-71】100ｍｍR刃（フロア用）：クローバー資材館,■S.モクバ【B-71】100ｍｍR刃（フロア用）,当店おすすめ商品\工具。■S.モクバ【B-71】100ｍｍR刃（フロア用）[rn]
19-21192,http://tshop.r10s.jp/clover9608/cabinet/ayaka10/lee301w.jpg?fitin=700:700,13427.2000,,花・ガーデン・DIY > DIY・工具 > その他,■S.タジマツール【LE-E301W】ベタ充電LEDヘッドライト　白色　最大300ルーメン,当店おすすめ商品\工具,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,■S.タジマツール【LE-E301W】ベタ充電LEDヘッドライト　白色　最大300ルーメン：クローバー資材館,■S.タジマツール【LE-E301W】ベタ充電LEDヘッドライト　白色　最大300ルーメン,当店おすすめ商品\工具。■S.タジマツール【LE-E301W】ベタ充電LEDヘッドライト　白色　最大300ルーメン[rn]
19-21193,http://tshop.r10s.jp/clover9608/cabinet/youki1/r-msb-301kx.jpg?fitin=700:700,34776.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■R.ハタヤ【MSB-301KX】メタルセンサーリール,当店おすすめ商品\工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>",『カード対応OK！』■R.ハタヤ【MSB-301KX】メタルセンサーリール：クローバー資材館,『カード対応OK！』■R.ハタヤ【MSB-301KX】メタルセンサーリール,当店おすすめ商品\工具。『カード対応OK！』■R.ハタヤ【MSB-301KX】メタルセンサーリール[rn]
19-21194,http://tshop.r10s.jp/clover9608/cabinet/03137591/03164423/img61368436.gif?fitin=700:700,42890.4000,,花・ガーデン・DIY > DIY・工具 > その他,■S.ハウスBM【DDF-170】ドッカンコアドリル,当店おすすめ商品\工具,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,■S.ハウスBM【DDF-170】ドッカンコアドリル：クローバー資材館,■S.ハウスBM【DDF-170】ドッカンコアドリル,当店おすすめ商品\工具。■S.ハウスBM【DDF-170】ドッカンコアドリル[rn]
19-21195,http://tshop.r10s.jp/clover9608/cabinet/ayaka10/nccv500.jpg?fitin=700:700,444360.0000,,花・ガーデン・DIY > DIY・工具 > その他,■S.西田製作所　【NC-CV500】排気電線ストリッピングマシン,当店おすすめ商品\工具,納期目安：お取り寄せ品(詳しくはこちらをクリック)<br><br>,■S.西田製作所　【NC-CV500】排気電線ストリッピングマシン：クローバー資材館,■S.西田製作所　【NC-CV500】排気電線ストリッピングマシン,当店おすすめ商品\工具。■S.西田製作所　【NC-CV500】排気電線ストリッピングマシン[rn]
19-21196,http://tshop.r10s.jp/clover9608/cabinet/youki3/tbt-3500.jpg?fitin=700:700,2299.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■P.リングスター【TBT-3500】ツールバックテイスト,当店おすすめ商品\工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br>約350x200x240mm<br>
豊富なポケットで便利に収納！<br><br>",『カード対応OK！』■P.リングスター【TBT-3500】ツールバックテイスト：クローバー資材館,『カード対応OK！』■P.リングスター【TBT-3500】ツールバックテイスト,当店おすすめ商品\工具。『カード対応OK！』■P.リングスター【TBT-3500】ツールバックテイスト[rn]
19-21197,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002561695.jpg?fitin=700:700,5759.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　三菱(三菱マテリアルツールズ)規格バイト　ＣＯＡＴ【CG06RS-20  TF15】(6601812) 受注単位1,切削工具\旋削・フライス加工工具\切削バイト,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　三菱(三菱マテリアルツールズ)規格バイト　ＣＯＡＴ【CG06RS-20  TF15】(6601812) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　三菱(三菱マテリアルツールズ)規格バイト　ＣＯＡＴ【CG06RS-20  TF15】(6601812) 受注単位1,切削工具\旋削・フライス加工工具\切削バイト。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　三菱(三菱マテリアルツールズ)規格バイト　ＣＯＡＴ【CG06RS-20  TF15】(6601812) 受注単位1[rn]
19-21198,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866556.jpg?fitin=700:700,2381.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-2.7】 (1063618) 受注単位1,切削工具\穴あけ工具\超硬ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●外径公差h6の密度仕上げのため、高精度の加工ができます。<br>●溝および表面の研磨仕上げが優れ、切りくずのハケがよく、穴の仕上がりは抜群です。",『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-2.7】 (1063618) 受注単位1：クローバー資材館,『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-2.7】 (1063618) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-2.7】 (1063618) 受注単位1[rn]
19-21199,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002564671.jpg?fitin=700:700,22498.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イスカルジャパン/イスカル　Ｘ　ヘリ２０００ホルダー【HM90 E90AD D25-2-C25-XL】(2034981) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒イスカルジャパン/イスカル　Ｘ　ヘリ２０００ホルダー【HM90 E90AD D25-2-C25-XL】(2034981) 受注単位1：クローバー資材館,『カード対応OK！』■〒イスカルジャパン/イスカル　Ｘ　ヘリ２０００ホルダー【HM90 E90AD D25-2-C25-XL】(2034981) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒イスカルジャパン/イスカル　Ｘ　ヘリ２０００ホルダー【HM90 E90AD D25-2-C25-XL】(2034981) 受注単位1[rn]
19-21200,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005460646.jpg?fitin=700:700,6395.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日立ツール/日立ツールＡＴコートラフィングレギュラー刃ＲＱＲ８－ＡＴ【RQR8-AT】 (4243501) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●超耐熱性と優れた密着性を兼ね備えたハイス製コーティングラフィングエンドミルです。<br>●ドライ切削でも抜群の性能を発揮します。",『カード対応OK！』■〒日立ツール/日立ツールＡＴコートラフィングレギュラー刃ＲＱＲ８&minus;ＡＴ【RQR8-AT】 (4243501) 受注単位1：クローバー資材館,『カード対応OK！』■〒日立ツール/日立ツールＡＴコートラフィングレギュラー刃ＲＱＲ８&minus;ＡＴ【RQR8-AT】 (4243501) 受注単位1,切削工具\旋削・フライス加工工具\ハイスラフィングエンドミル。『カード対応OK！』■〒日立ツール/日立ツールＡＴコートラフィングレギュラー刃ＲＱＲ８&minus;ＡＴ【RQR8-AT】 (4243501) 受注単位1[rn]
