19-44601,http://tshop.r10s.jp/yminfo/cabinet/00171276/nw-2020.jpg?fitin=700:700,1273.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　ワイヤーナット　φ4×400mm　NW-4040　,ちょっとした固定に！,"【ここがポイント！】 
● パイプ等の固定に便利です。 
 
【商品仕様】 
D 4mm  
L 400mm 
T 25mm 
A 34mm 
B 8mm 
C 9mm 
ネジ M8 
使用荷重 0.78kN（80kgf） 
材質 SUS304",MM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　,ちょっとした固定に！。MM　ステンレス（SUS304)　ワイヤーナット　φ4&times;400mm　NW-4040　[rn]
19-44685,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img1038580564.jpg?fitin=700:700,672.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,口広リングキャッチ　5ｍｍ,,＜PCより一部転載＞<br>D(mm)B(mm)L(mm)E(mm)S(mm）使用荷重（kg）          5      11      48      6      10      70      ステンレス製（SUS-304）●口が広いので用途が広がります。,口広リングキャッチ　5ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング口広リングキャッチ　5ｍｍ,口広リングキャッチ　5ｍｍ[rn]
19-44686,http://tshop.r10s.jp/yminfo/cabinet/00171276/cuh-3.jpg?fitin=700:700,631.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　銅リングキャッチ3mm　CUH-3,装飾品として！銅のリングキャッチ！,"【ここがポイント！】 
● 銅製のリングキャッチ。アクセサリーなど装飾品にオススメです 
 
【商品仕様】 
こちらCUH-3なります。
材質：銅",MM　銅リングキャッチ3mm　CUH-3：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　銅リングキャッチ3mm　CUH-3,装飾品として！銅のリングキャッチ！。MM　銅リングキャッチ3mm　CUH-3[rn]
19-44687,http://tshop.r10s.jp/yminfo/cabinet/00171276/rq-3-15.jpg?fitin=700:700,193.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)四角リング　5×30mm　RQ-5-30　,使い方はあなた次第！,"【ここがポイント！】 
● なんにでも使える四角リング！アクセサリーなど使い方はあなた次第！！  
 
【商品仕様】 
線径D 5mm 
内長A 32mm 
内巾B 18mm 
材質 ステンレスSUS304 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと




1通10個まで",【ネコポス可能】MM　ステンレス（SUS304)四角リング　5&times;30mm　RQ-5-30　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)四角リング　5&times;30mm　RQ-5-30　,使い方はあなた次第！。【ネコポス可能】MM　ステンレス（SUS304)四角リング　5&times;30mm　RQ-5-30　[rn]
19-44688,http://tshop.r10s.jp/yminfo/cabinet/00171276/oqc-6.jpg?fitin=700:700,1869.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【メール便可能】MM　ステンレス（SUS304)スクエアーキャッチ　8mm　OQC-8,太いロープも安心のリングキャッチ,"【ここがポイント！】 
● 連結部分を回転させることにより、太いロープ・チェーン等も容易にセット出来ます。360度回転します。 
 
【商品仕様】 
こちらOQC-8になります。
材質：ステンレスSUS304
 
 ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【メール便可能】MM　ステンレス（SUS304)スクエアーキャッチ　8mm　OQC-8：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【メール便可能】MM　ステンレス（SUS304)スクエアーキャッチ　8mm　OQC-8,太いロープも安心のリングキャッチ。【メール便可能】MM　ステンレス（SUS304)スクエアーキャッチ　8mm　OQC-8[rn]
19-44689,http://tshop.r10s.jp/yminfo/cabinet/00171276/alh-4.jpg?fitin=700:700,876.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　アルミリングキャッチ（アルマイト付き）8mm　全9色　ALH-8ゴールド・シルバー・ブルー・グリーン・レッド・レモンイエロー・ピンク・ブラウン・ブラック,装飾品として！アルミのカラフルリングキャッチ！,"【ここがポイント！】 
● アルミ製のカラフルリングキャッチ。 
 
【商品仕様】 
こちらALH-8なります。
材質：アルミ軽合金（アルマイト付）
カラー：G：ゴールド、S：シルバー、B：ブルー、GR：グリーン、R：レッド、Y：レモンイエロー
　　　　P：ピンク、BN：ブラウン、BK：ブラック",MM　アルミリングキャッチ（アルマイト付き）8mm　全9色　ALH-8ゴールド・シルバー・ブルー・グリーン・レッド・レモンイエロー・ピンク・ブラウン・ブラック：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　アルミリングキャッチ（アルマイト付き）8mm　全9色　ALH-8ゴールド・シルバー・ブルー・グリーン・レッド・レモンイエロー・ピンク・ブラウン・ブラック,装飾品として！アルミのカラフルリングキャッチ！。MM　アルミリングキャッチ（アルマイト付き）8mm　全9色　ALH-8ゴールド・シルバー・ブルー・グリーン・レッド・レモンイエロー・ピンク・ブラウン・ブラック[rn]
19-44690,http://tshop.r10s.jp/yminfo/cabinet/00171276/trf-5.jpg?fitin=700:700,7600.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　チタン丸リンク(鍛造）8×38mm溶接跡なしだからキレイ。チタンだから金属アレルギー無し　TRF-8,溶接跡無しの丸リング！,"【ここがポイント！】 
● 溶接の跡が無い鍛造の丸リング。チタンなので金属アレルギーも関係なしです！ 
 
【商品仕様】 
こちらTRF-8
材質：チタン（鍛造）
サイズ：　8×38mm",MM　チタン丸リンク(鍛造）8&times;38mm溶接跡なしだからキレイ。チタンだから金属アレルギー無し　TRF-8：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　チタン丸リンク(鍛造）8&times;38mm溶接跡なしだからキレイ。チタンだから金属アレルギー無し　TRF-8,溶接跡無しの丸リング！。MM　チタン丸リンク(鍛造）8&times;38mm溶接跡なしだからキレイ。チタンだから金属アレルギー無し　TRF-8[rn]
19-44691,http://tshop.r10s.jp/yminfo/cabinet/00171276/cuh-3.jpg?fitin=700:700,864.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　銅リングキャッチ6mm　CUH-6,装飾品として！銅のリングキャッチ！,"【ここがポイント！】 
● 銅製のリングキャッチ。アクセサリーなど装飾品にオススメです 
 
【商品仕様】 
こちらCUH-6なります。
材質：銅",MM　銅リングキャッチ6mm　CUH-6：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　銅リングキャッチ6mm　CUH-6,装飾品として！銅のリングキャッチ！。MM　銅リングキャッチ6mm　CUH-6[rn]
19-44692,http://tshop.r10s.jp/yminfo/cabinet/00171276/r-1-10.jpg?fitin=700:700,60.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)丸リング　1.5×20mm　R-1.5-20　,使い方はあなた次第！,"【ここがポイント！】 
● なんにでも使える丸リング！アクセサリーなど使い方はあなた次第！！  
 
【商品仕様】 
線径D 1.5mm 
内径L 20mm 
材質 ステンレスSUS304 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと




※1通30個まで",【ネコポス可能】MM　ステンレス（SUS304)丸リング　1.5&times;20mm　R-1.5-20　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)丸リング　1.5&times;20mm　R-1.5-20　,使い方はあなた次第！。【ネコポス可能】MM　ステンレス（SUS304)丸リング　1.5&times;20mm　R-1.5-20　[rn]
19-44693,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_001/img10384157529.jpg?fitin=700:700,1104.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,ピン止めリングキャッチ　8ｍｍ,,＜PCより一部転載＞<br>D(mm)S(mm)B1(mm)B2(mm)L(mm）E(mm）使用荷重（kg）          8      11      16      15      61      9      200      ステンレス製（SUS-304）●盗難防止に最適です。ピンをハンマーで叩き、最後までしっかりと打込むと、二度と外れません。,ピン止めリングキャッチ　8ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングピン止めリングキャッチ　8ｍｍ,ピン止めリングキャッチ　8ｍｍ[rn]
19-44694,http://tshop.r10s.jp/yminfo/cabinet/00171276/wk-21-13.jpg?fitin=700:700,34.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)　キーリンク　WK-21-16　,鍵やアクセサリーを束ねるのに便利！,"【ここがポイント！】 
● 鍵を束ねるのに便利なキーリング 
 
【商品仕様】 
D 2.1mm  
L 16mm 
使用荷重 0.04kN（4kgf） 
材質 SUS304 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】MM　ステンレス（SUS304)　キーリンク　WK-21-16　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)　キーリンク　WK-21-16　,鍵やアクセサリーを束ねるのに便利！。【ネコポス可能】MM　ステンレス（SUS304)　キーリンク　WK-21-16　[rn]
19-44695,http://tshop.r10s.jp/yminfo/cabinet/00171276/rk-20.jpg?fitin=700:700,128.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)　カードリンク　RK-55　,カードを通して引っ掛けます,"【ここがポイント！】 
● カードを通してまとめます。受験の時に使ったなー。 
 
【商品仕様】 
D 3.0mm  
L 58mm 
材質 SUS304 
 
 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと",【ネコポス可能】MM　ステンレス（SUS304)　カードリンク　RK-55　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)　カードリンク　RK-55　,カードを通して引っ掛けます。【ネコポス可能】MM　ステンレス（SUS304)　カードリンク　RK-55　[rn]
19-44696,http://tshop.r10s.jp/yminfo/cabinet/00171276/ro-3.jpg?fitin=700:700,199.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)楕円リング　6×31mm　RO-6　,使い方はあなた次第！,"【ここがポイント！】 
● なんにでも使える楕円リング！アクセサリーなど使い方はあなた次第！！  
 
【商品仕様】 
線径D 6mm 
内長P 31mm 
内巾W 18mm 
材質 ステンレスSUS304 
 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと




1通10個まで",【ネコポス可能】MM　ステンレス（SUS304)楕円リング　6&times;31mm　RO-6　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)楕円リング　6&times;31mm　RO-6　,使い方はあなた次第！。【ネコポス可能】MM　ステンレス（SUS304)楕円リング　6&times;31mm　RO-6　[rn]
19-44697,http://tshop.r10s.jp/yminfo/cabinet/00171276/r-1-10.jpg?fitin=700:700,48.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)丸リング　1.5×10mm　R-1.5-10　,使い方はあなた次第！,"【ここがポイント！】 
● なんにでも使える丸リング！アクセサリーなど使い方はあなた次第！！  
 
【商品仕様】 
線径D 1.5mm 
内径L 10mm 
材質 ステンレスSUS304 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと




※1通30個まで",【ネコポス可能】MM　ステンレス（SUS304)丸リング　1.5&times;10mm　R-1.5-10　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)丸リング　1.5&times;10mm　R-1.5-10　,使い方はあなた次第！。【ネコポス可能】MM　ステンレス（SUS304)丸リング　1.5&times;10mm　R-1.5-10　[rn]
19-44698,http://tshop.r10s.jp/yminfo/cabinet/00171276/r-1-10.jpg?fitin=700:700,82.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)丸リング　3×30mm　R-3-30　,使い方はあなた次第！,"【ここがポイント！】 
● なんにでも使える丸リング！アクセサリーなど使い方はあなた次第！！  
 
【商品仕様】 
線径D 3mm 
内径L 30mm 
材質 ステンレスSUS304 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと




※1通20個まで",【ネコポス可能】MM　ステンレス（SUS304)丸リング　3&times;30mm　R-3-30　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)丸リング　3&times;30mm　R-3-30　,使い方はあなた次第！。【ネコポス可能】MM　ステンレス（SUS304)丸リング　3&times;30mm　R-3-30　[rn]
19-44699,http://tshop.r10s.jp/yminfo/cabinet/00171276/r-1-10.jpg?fitin=700:700,10064.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)丸リング　22×175mm　R-22-175　,使い方はあなた次第！,"【ここがポイント！】 
● なんにでも使える丸リング！アクセサリーなど使い方はあなた次第！！  
 
【商品仕様】 
線径D 22mm 
内径L 175mm 
材質 ステンレスSUS304",MM　ステンレス（SUS304)丸リング　22&times;175mm　R-22-175　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)丸リング　22&times;175mm　R-22-175　,使い方はあなた次第！。MM　ステンレス（SUS304)丸リング　22&times;175mm　R-22-175　[rn]
19-44700,http://tshop.r10s.jp/yminfo/cabinet/00171276/r-1-10.jpg?fitin=700:700,103.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【ネコポス可能】MM　ステンレス（SUS304)丸リング　4×20mm　R-4-20　,使い方はあなた次第！,"【ここがポイント！】 
● なんにでも使える丸リング！アクセサリーなど使い方はあなた次第！！  
 
【商品仕様】 
線径D 4mm 
内径L 20mm 
材質 ステンレスSUS304 
ネコポス発送可能（送料300円）　代金引換不可　備考欄のネコポス希望欄に○のこと




※1通10個まで",【ネコポス可能】MM　ステンレス（SUS304)丸リング　4&times;20mm　R-4-20　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【ネコポス可能】MM　ステンレス（SUS304)丸リング　4&times;20mm　R-4-20　,使い方はあなた次第！。【ネコポス可能】MM　ステンレス（SUS304)丸リング　4&times;20mm　R-4-20　[rn]
