10-24301,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003871912.jpg?fitin=700:700,1084.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ用品。『カード対応OK！』■〒白光/白光　フィルター【A1309】(3597156) 受注単位：1[rn]
10-24373,,1539.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒新亀製作所/サンフラッグ ドライバー【NO.180】(7777809) サンフラッグ オ－トポンチ 発注単位1,生産加工用品\測定工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ハンマー不要、操作はワンタッチです。<br>
●打ち込みの強弱が簡単に調節できます。<br>
●目印作業・ケガキ作業・ドリルの位置決めなどに。<br>
●全長(mm):158<br>
●直径(mm):34<br>
●最大打力(N):-<br>
●先端角度(°):-<br>
●刃先:SK材(NO.180)、超硬材(NO.185、188)",■〒新亀製作所/サンフラッグ ドライバー【NO.180】(7777809) サンフラッグ オ&minus;トポンチ 発注単位1：クローバー資材館,■〒新亀製作所/サンフラッグ ドライバー【NO.180】(7777809) サンフラッグ オ&minus;トポンチ 発注単位1,生産加工用品\測定工具。■〒新亀製作所/サンフラッグ ドライバー【NO.180】(7777809) サンフラッグ オ&minus;トポンチ 発注単位1[rn]
10-24374,,21796.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ミツトヨ/ミツトヨ ダイヤル【CGF-150X】(7782225) ミツトヨ 浅孔シリンダーゲージ 発注単位1,生産加工用品\測定工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●穴の底面近くの内径測定が可能です。<br>
●内径の測定。<br>
●メーカーコード:511-417<br>
●測定範囲(mm):50～150<br>
●最小表示(mm):-<br>
●広範囲精度(μm):4<br>
●くり返し精密度(μm):1<br>
●推奨ダイヤルゲージ 目量0.01mm:No.2972.2046SB目量0.001mm:No.2900SB-10、2109SB-10、2113SB-10<br>
●推奨保護カバー:No.21DZA000",■〒ミツトヨ/ミツトヨ ダイヤル【CGF-150X】(7782225) ミツトヨ 浅孔シリンダーゲージ 発注単位1：クローバー資材館,■〒ミツトヨ/ミツトヨ ダイヤル【CGF-150X】(7782225) ミツトヨ 浅孔シリンダーゲージ 発注単位1,生産加工用品\測定工具。■〒ミツトヨ/ミツトヨ ダイヤル【CGF-150X】(7782225) ミツトヨ 浅孔シリンダーゲージ 発注単位1[rn]
10-24375,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003804039.jpg?fitin=700:700,2246.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　即熱はんだこて【TQ-95】(3642305) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●人間工学により設計されたエルゴグリップを採用しています。<br>●コテ先に視線を集中しやすいデザインで、作業に集中できます。",『カード対応OK！』■〒太洋電機産業/グット　即熱はんだこて【TQ-95】(3642305) 受注単位：1：クローバー資材館,『カード対応OK！』■〒太洋電機産業/グット　即熱はんだこて【TQ-95】(3642305) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒太洋電機産業/グット　即熱はんだこて【TQ-95】(3642305) 受注単位：1[rn]
10-24376,,260.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSPS-26】(4879457)ステンレス製ピンセット シリコン付 ＡＡ先曲１２５ 受注単位1,生産加工用品\はんだ・静電気対策用品\ダスター・急冷剤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端にシリコーンが付いており、微小なパーツや小物を傷を付けずに容易につかむことができます。<br>●小物つまみ作業。<br>●全長(mm):125<br>●幅(mm):10<br>●先端:先曲り型<br>●質量(g):14<br>●ステンレス（SUS430）<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSPS-26】(4879457)ステンレス製ピンセット シリコン付 ＡＡ先曲１２５ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSPS-26】(4879457)ステンレス製ピンセット シリコン付 ＡＡ先曲１２５ 受注単位1,生産加工用品\はんだ・静電気対策用品\ダスター・急冷剤。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TSPS-26】(4879457)ステンレス製ピンセット シリコン付 ＡＡ先曲１２５ 受注単位1[rn]
10-24377,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003803933.jpg?fitin=700:700,492.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アトム興産/アトム　ワンタッチピリカット　ぷるるん（緑）【PCM008】(3640256) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策マット・シート,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●導電性のラバープレートで触れるだけで、静電気を逃します。<br>●裏面のマグネットにより、金属のロッカーや扉に簡単に取り付けられます。",『カード対応OK！』■〒アトム興産/アトム　ワンタッチピリカット　ぷるるん（緑）【PCM008】(3640256) 受注単位：1：クローバー資材館,『カード対応OK！』■〒アトム興産/アトム　ワンタッチピリカット　ぷるるん（緑）【PCM008】(3640256) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策マット・シート。『カード対応OK！』■〒アトム興産/アトム　ワンタッチピリカット　ぷるるん（緑）【PCM008】(3640256) 受注単位：1[rn]
10-24378,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004393396.jpg?fitin=700:700,57888.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　ハッコーＦＥ－５１０　平型プラグ　アダプター付【FE510-01】(3844005) 受注単位：1,生産加工用品\はんだ・静電気対策用品\除電機,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●2種類のルーバーで除電エリアの選択が可能です。<br>●本体角度の調整にロック機構を採用しています。<br>●設備の組み込みに便利なエラー出力信号機能付です。",『カード対応OK！』■〒白光/白光　ハッコーＦＥ&minus;５１０　平型プラグ　アダプター付【FE510-01】(3844005) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　ハッコーＦＥ&minus;５１０　平型プラグ　アダプター付【FE510-01】(3844005) 受注単位：1,生産加工用品\はんだ・静電気対策用品\除電機。『カード対応OK！』■〒白光/白光　ハッコーＦＥ&minus;５１０　平型プラグ　アダプター付【FE510-01】(3844005) 受注単位：1[rn]
10-24379,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005166042.jpg?fitin=700:700,492.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　替こて先ＢＣ型ＰＸ２／ＳＶＳ用【PX-2RT-BC】(3871436) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒太洋電機産業/グット　替こて先ＢＣ型ＰＸ２／ＳＶＳ用【PX-2RT-BC】(3871436) 受注単位：1：クローバー資材館,『カード対応OK！』■〒太洋電機産業/グット　替こて先ＢＣ型ＰＸ２／ＳＶＳ用【PX-2RT-BC】(3871436) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒太洋電機産業/グット　替こて先ＢＣ型ＰＸ２／ＳＶＳ用【PX-2RT-BC】(3871436) 受注単位：1[rn]
10-24380,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002939678.jpg?fitin=700:700,49356.0000,,花・ガーデン・DIY > DIY・工具 > その他,↑#『カード対応OK！』■〒アキレス/アキレス　帯電防止・紫外線吸収フイルム　アキレスセイデンクリスタルＵＶ【SED-CRY】() 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策マット・シート,"<font size=""4"" color=""#0033ff""><b>※こちらの商品はメーカー【お取り寄せ】品となります。ご入金確認後のお手配です。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●帯電防止性と防炎性を有する軟質塩化ビニールです。<br>●消防法施行令第4条の3に適合です。<br>●防炎2級（JIS A 1322）です。<br>●酸素指数26以上（JIS K 7201）です。<br>●セイデンFに比べて視認性が良好です。",&uarr;#『カード対応OK！』■〒アキレス/アキレス　帯電防止・紫外線吸収フイルム　アキレスセイデンクリスタルＵＶ【SED-CRY】() 受注単位：1：クローバー資材館,&uarr;#『カード対応OK！』■〒アキレス/アキレス　帯電防止・紫外線吸収フイルム　アキレスセイデンクリスタルＵＶ【SED-CRY】() 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策マット・シート。&uarr;#『カード対応OK！』■〒アキレス/アキレス　帯電防止・紫外線吸収フイルム　アキレスセイデンクリスタルＵＶ【SED-CRY】() 受注単位：1[rn]
10-24381,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003804036.jpg?fitin=700:700,2527.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　即熱はんだこて【TQ-77】(3642275) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●人間工学により設計されたエルゴグリップを採用しています。<br>●コテ先に視線を集中しやすいデザインで、作業に集中できます。",『カード対応OK！』■〒太洋電機産業/グット　即熱はんだこて【TQ-77】(3642275) 受注単位：1：クローバー資材館,『カード対応OK！』■〒太洋電機産業/グット　即熱はんだこて【TQ-77】(3642275) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒太洋電機産業/グット　即熱はんだこて【TQ-77】(3642275) 受注単位：1[rn]
10-24382,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004413771.jpg?fitin=700:700,2372.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　こて先　３ＢＬ型【T20-BL3】(4003993) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　こて先　３ＢＬ型【T20-BL3】(4003993) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　こて先　３ＢＬ型【T20-BL3】(4003993) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　こて先　３ＢＬ型【T20-BL3】(4003993) 受注単位：1[rn]
10-24383,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002939633.jpg?fitin=700:700,456.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　白光　こて先　４Ｃ型　面のみ　５５゜【900M-T-S11】(2555000) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●900シリーズの交換コテ先です。",『カード対応OK！』■〒白光/白光　白光　こて先　４Ｃ型　面のみ　５５゜【900M-T-S11】(2555000) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　白光　こて先　４Ｃ型　面のみ　５５゜【900M-T-S11】(2555000) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだこて。『カード対応OK！』■〒白光/白光　白光　こて先　４Ｃ型　面のみ　５５゜【900M-T-S11】(2555000) 受注単位：1[rn]
10-24384,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820492.jpg?fitin=700:700,68941.6000,,花・ガーデン・DIY > DIY・工具 > その他,↑#『カード対応OK！』■〒アキレス/アキレス　帯電防止・遮光フイルム　ブラックセイデンＦ両面塗工タイ【SED-FB-R】() 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策マット・シート,"<font size=""4"" color=""#0033ff""><b>※こちらの商品はメーカー【お取り寄せ】品となります。ご入金確認後のお手配です。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●防炎性・帯電防止性を有する軟質塩化ビニールです。<br>●表裏に導電剤を塗工することにより、より高い電気特性を必要とする環境に最適です。",&uarr;#『カード対応OK！』■〒アキレス/アキレス　帯電防止・遮光フイルム　ブラックセイデンＦ両面塗工タイ【SED-FB-R】() 受注単位：1：クローバー資材館,&uarr;#『カード対応OK！』■〒アキレス/アキレス　帯電防止・遮光フイルム　ブラックセイデンＦ両面塗工タイ【SED-FB-R】() 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策マット・シート。&uarr;#『カード対応OK！』■〒アキレス/アキレス　帯電防止・遮光フイルム　ブラックセイデンＦ両面塗工タイ【SED-FB-R】() 受注単位：1[rn]
10-24385,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002825322.jpg?fitin=700:700,270728.0000,,花・ガーデン・DIY > DIY・工具 > その他,↑#『カード対応OK！』■〒ベッセル/ベッセル　イオンパ－ツクリ－ナ－ＩＰＣ２０【IPC-20】(2846322) 受注単位：1,生産加工用品\はんだ・静電気対策用品\除電機,"<font size=""4"" color=""#0033ff""><b>※こちらの商品はメーカー【お取り寄せ】品となります。ご入金確認後のお手配です。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●イオン洗浄と集じんで作業性を大幅にアップさせます。<br>●作業台と小型集じん機を一体化した静電気除去装置付小型集じんユニットです。<br>●センサーにより自動でエアを噴射します。",&uarr;#『カード対応OK！』■〒ベッセル/ベッセル　イオンパ&minus;ツクリ&minus;ナ&minus;ＩＰＣ２０【IPC-20】(2846322) 受注単位：1：クローバー資材館,&uarr;#『カード対応OK！』■〒ベッセル/ベッセル　イオンパ&minus;ツクリ&minus;ナ&minus;ＩＰＣ２０【IPC-20】(2846322) 受注単位：1,生産加工用品\はんだ・静電気対策用品\除電機。&uarr;#『カード対応OK！』■〒ベッセル/ベッセル　イオンパ&minus;ツクリ&minus;ナ&minus;ＩＰＣ２０【IPC-20】(2846322) 受注単位：1[rn]
10-24386,,1900.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ニューストロング/ニューストロング クランプ【RB-16】(7806892) ニューストロング クランプリセットボルト 発注単位1,生産加工用品\ツーリング・治工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ワーク押えクランプの着脱時間が短縮できます。<br>
●全長(mm):70<br>
●ねじ長さ(mm):45<br>
●ねじ径(ｍｍ):M16<br>
●ダボ径(ｍｍ):φ11.0<br>
●六角対辺(ｍｍ):24<br>
●スチール(S45C)黒染仕上げ<br>
●焼き入れ(HRC30～35)<br>
●クランプが上下又左右に傾いていないか確認する事。",■〒ニューストロング/ニューストロング クランプ【RB-16】(7806892) ニューストロング クランプリセットボルト 発注単位1：クローバー資材館,■〒ニューストロング/ニューストロング クランプ【RB-16】(7806892) ニューストロング クランプリセットボルト 発注単位1,生産加工用品\ツーリング・治工具。■〒ニューストロング/ニューストロング クランプ【RB-16】(7806892) ニューストロング クランプリセットボルト 発注単位1[rn]
10-24387,,29970.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ムラキ/ＭＲＡ コレット【MRA-ERS20.1800-5】(8188433) ＭＲＡ ＥＲコレットシステム セット 発注単位1,生産加工用品\ツーリング・治工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●UP級コレット各種、レンチ、スリムチャックを揃えたお買い得なセット品です。<br>
●規格:ER20<br>
●適合レンチ:MRA-ERR20M<br>
●付属コレット:φ4.0、6.0、8.0、10.0、12.0<br>
●付属ホルダー：MRA-ERH20.201800",■〒ムラキ/ＭＲＡ コレット【MRA-ERS20.1800-5】(8188433) ＭＲＡ ＥＲコレットシステム セット 発注単位1：クローバー資材館,■〒ムラキ/ＭＲＡ コレット【MRA-ERS20.1800-5】(8188433) ＭＲＡ ＥＲコレットシステム セット 発注単位1,生産加工用品\ツーリング・治工具。■〒ムラキ/ＭＲＡ コレット【MRA-ERS20.1800-5】(8188433) ＭＲＡ ＥＲコレットシステム セット 発注単位1[rn]
10-24388,,160272.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ノガ・ジャパン/ＮＯＧＡ ＫＯＰＡＬ商品【KM06-110】(8188459) ＮＯＧＡ モノブロックボックスセット16000Ｎ 発注単位1,生産加工用品\ツーリング・治工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●高さ調整ブロックや調整板を用いることなく簡単にクランプ高さを調整でき一定のクランプ力を保持します。<br>
●アーム長さ範囲(mm):33<br>
●クランプ高さ(mm):0～154<br>
●付属Ｔナット(mm):14・16・18スロット用各2個<br>
●クランプ力１６０００Ｎ<br>
●モノブロックショートアーム<br>
●モノブロック２個・ライザーブロック２個・クランピングキー１・エキストラロングアーム１・Ｍ１０ねじ４個・Ｍ１０スプリング付Ｔナット６個",■〒ノガ・ジャパン/ＮＯＧＡ ＫＯＰＡＬ商品【KM06-110】(8188459) ＮＯＧＡ モノブロックボックスセット16000Ｎ 発注単位1：クローバー資材館,■〒ノガ・ジャパン/ＮＯＧＡ ＫＯＰＡＬ商品【KM06-110】(8188459) ＮＯＧＡ モノブロックボックスセット16000Ｎ 発注単位1,生産加工用品\ツーリング・治工具。■〒ノガ・ジャパン/ＮＯＧＡ ＫＯＰＡＬ商品【KM06-110】(8188459) ＮＯＧＡ モノブロックボックスセット16000Ｎ 発注単位1[rn]
10-24389,,3644.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ムラキ/ＭＲＡ コレット【MRA-ERC25.1400】(8188391) ＭＲＡ ＥＲコレットシステム ＥＲ25コレット 発注単位1,生産加工用品\ツーリング・治工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●芯振れ精度5μm以内の高精度UP級コレットです。<br>
●ヨーロッパで標準の16°テーパーコレット（片角8°）です。<br>
●コレットサイズER8・ER11・ER16・ER20・ER25・ER32の6種類です。<br>
●把握径(mm):13.0～14.0<br>
●外径(mm):26<br>
●全長(mm):34<br>
●規格:ER25<br>
●DIN6499<br>
●ISO15488<br>
●4d先端振れ精度:5μm",■〒ムラキ/ＭＲＡ コレット【MRA-ERC25.1400】(8188391) ＭＲＡ ＥＲコレットシステム ＥＲ25コレット 発注単位1：クローバー資材館,■〒ムラキ/ＭＲＡ コレット【MRA-ERC25.1400】(8188391) ＭＲＡ ＥＲコレットシステム ＥＲ25コレット 発注単位1,生産加工用品\ツーリング・治工具。■〒ムラキ/ＭＲＡ コレット【MRA-ERC25.1400】(8188391) ＭＲＡ ＥＲコレットシステム ＥＲ25コレット 発注単位1[rn]
10-24390,,4292.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ムラキ/ＭＲＡ コレット【MRA-ERC32.1100】(8188402) ＭＲＡ ＥＲコレットシステム ＥＲ32コレット 発注単位1,生産加工用品\ツーリング・治工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●芯振れ精度5μm以内の高精度UP級コレットです。<br>
●ヨーロッパで標準の16°テーパーコレット（片角8°）です。<br>
●コレットサイズER8・ER11・ER16・ER20・ER25・ER32の6種類です。<br>
●把握径(mm):10.0～11.0<br>
●外径(mm):33<br>
●全長(mm):40<br>
●規格:ER32<br>
●DIN6499<br>
●ISO15488<br>
●4d先端振れ精度:5μm",■〒ムラキ/ＭＲＡ コレット【MRA-ERC32.1100】(8188402) ＭＲＡ ＥＲコレットシステム ＥＲ32コレット 発注単位1：クローバー資材館,■〒ムラキ/ＭＲＡ コレット【MRA-ERC32.1100】(8188402) ＭＲＡ ＥＲコレットシステム ＥＲ32コレット 発注単位1,生産加工用品\ツーリング・治工具。■〒ムラキ/ＭＲＡ コレット【MRA-ERC32.1100】(8188402) ＭＲＡ ＥＲコレットシステム ＥＲ32コレット 発注単位1[rn]
10-24391,,4786.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒サンドビックコロマントカンパ/サンドビック ホルダー【393.14-25 120】(6145183) サンドビック コレット 発注単位1,生産加工用品\ツーリング・治工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●部品<br>
●コレット",■〒サンドビックコロマントカンパ/サンドビック ホルダー【393.14-25 120】(6145183) サンドビック コレット 発注単位1：クローバー資材館,■〒サンドビックコロマントカンパ/サンドビック ホルダー【393.14-25 120】(6145183) サンドビック コレット 発注単位1,生産加工用品\ツーリング・治工具。■〒サンドビックコロマントカンパ/サンドビック ホルダー【393.14-25 120】(6145183) サンドビック コレット 発注単位1[rn]
10-24392,,15336.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ニューストロング/ニューストロング クランプ【HGP-115】(7806191) ニューストロング スチールパラレル 幅25 高40 長250mm 発注単位1,生産加工用品\ツーリング・治工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●平行度が確立され、精密加工が可能になり効率の向上につながります。<br>
●あらゆるバイスの口金に。<br>
●幅(mm):25<br>
●セット内容厚み(mm)×枚数:1枚<br>
●精度:幅×高さ＋－0.01　長さ＋－0.5<br>
●高さ(mm):40<br>
●全長(mm):250<br>
●4面研磨仕上<br>
●硬度:HRC45<br>
●高さ平行度:±0.01mm<br>
●幅平行度:±0.013mm<br>
●精度:±0.01mm(幅×高さ)、±0.5mm(全長)<br>
●250<br>
●S45C",■〒ニューストロング/ニューストロング クランプ【HGP-115】(7806191) ニューストロング スチールパラレル 幅25 高40 長250mm 発注単位1：クローバー資材館,■〒ニューストロング/ニューストロング クランプ【HGP-115】(7806191) ニューストロング スチールパラレル 幅25 高40 長250mm 発注単位1,生産加工用品\ツーリング・治工具。■〒ニューストロング/ニューストロング クランプ【HGP-115】(7806191) ニューストロング スチールパラレル 幅25 高40 長250mm 発注単位1[rn]
10-24393,,12312.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ニューストロング/ニューストロング クランプ【HGP-110】(7806141) ニューストロング スチールパラレル 幅16 高30 長150mm 発注単位1,生産加工用品\ツーリング・治工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●平行度が確立され、精密加工が可能になり効率の向上につながります。<br>
●あらゆるバイスの口金に。<br>
●幅(mm):16<br>
●セット内容厚み(mm)×枚数:1枚<br>
●精度:幅×高さ＋－0.01　長さ＋－0.5<br>
●高さ(mm):30<br>
●全長(mm):150<br>
●4面研磨仕上<br>
●硬度:HRC45<br>
●高さ平行度:±0.01mm<br>
●幅平行度:±0.013mm<br>
●精度:±0.01mm(幅×高さ)、±0.5mm(全長)<br>
●150<br>
●S45C",■〒ニューストロング/ニューストロング クランプ【HGP-110】(7806141) ニューストロング スチールパラレル 幅16 高30 長150mm 発注単位1：クローバー資材館,■〒ニューストロング/ニューストロング クランプ【HGP-110】(7806141) ニューストロング スチールパラレル 幅16 高30 長150mm 発注単位1,生産加工用品\ツーリング・治工具。■〒ニューストロング/ニューストロング クランプ【HGP-110】(7806141) ニューストロング スチールパラレル 幅16 高30 長150mm 発注単位1[rn]
10-24394,,22793.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニューストロング【TMC-1422】(7584563) Ｔ－スロットミニクランプ 受注単位1,生産加工用品\ツーリング・治工具\クランプ（工作機械用）,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●薄物の加工物を側面からクランプできます。<br><br>●MC・フライス盤のT溝差し込み時の薄物クランプに。<br><br>●適合ボルト：M6<br>●長さ(mm)：54<br>●幅(mm)：13.8<br>●高さ(mm)：24<br>●クランプ力(N)：-<br>●T溝幅(mm)：14<br>●質量(g)：330<br><br>●2ヶ1組<br><br>●スチール(S45C)黒染め仕上げ<br>●焼き入れ(HRC30～35)<br>",『カード対応OK！』■〒ニューストロング【TMC-1422】(7584563) Ｔ&minus;スロットミニクランプ 受注単位1：クローバー資材館,『カード対応OK！』■〒ニューストロング【TMC-1422】(7584563) Ｔ&minus;スロットミニクランプ 受注単位1,生産加工用品\ツーリング・治工具\クランプ（工作機械用）。『カード対応OK！』■〒ニューストロング【TMC-1422】(7584563) Ｔ&minus;スロットミニクランプ 受注単位1[rn]
10-24395,,19872.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ニューストロング/ニューストロング クランプ【MSS-110】(7806582) ニューストロング ニューストロング 磁力付スクリューサポート 85～110 発注単位1,生産加工用品\ツーリング・治工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●二面、四面ブロックに発揮します。<br>
●１回セットすると磁力により動きません。<br>
●平面で数物を基準高さを替えずに脱着できます。<br>
●二面、四面ブロックでクランプの支えに。<br>
●高さ(mm):85～110<br>
●耐荷重(kN):150<br>
●上部受皿径(mm):φ40<br>
●胴径(mm):φ45<br>
●スチール(S45C)黒染仕上げ<br>
●精密機器に近ずけない。<br>
●ペースメーカー使用の方は使用しない。",■〒ニューストロング/ニューストロング クランプ【MSS-110】(7806582) ニューストロング ニューストロング 磁力付スクリューサポート 85～110 発注単位1：クローバー資材館,■〒ニューストロング/ニューストロング クランプ【MSS-110】(7806582) ニューストロング ニューストロング 磁力付スクリューサポート 85～110 発注単位1,生産加工用品\ツーリング・治工具。■〒ニューストロング/ニューストロング クランプ【MSS-110】(7806582) ニューストロング ニューストロング 磁力付スクリューサポート 85～110 発注単位1[rn]
