10-20901,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002614845.jpg?fitin=700:700,13215.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1,工事用品\溶接用品\ガス溶断用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●逆火を軽減するノバック構造を採用しています。<br>●（社）日本溶接協会認定品です。",『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1：クローバー資材館,『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1,工事用品\溶接用品\ガス溶断用品。『カード対応OK！』■〒日酸ＴＡＮＡＫＡ/日酸ＴＡＮＡＫＡ　Ａ号切断器Ｚノバック　Ｃ２Ｈ２【Q112Z】(3516911) 受注単位1[rn]
10-20965,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005025733.jpg?fitin=700:700,4860.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【S-30S】(4189744) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●電線の異常な温度上昇を感知し自動的に電源を遮断します。危険な電線の溶解・焼損を未然に防ぎます。安心の保護機能です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【S-30S】(4189744) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【S-30S】(4189744) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【S-30S】(4189744) 受注単位1[rn]
10-20966,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004393425.jpg?fitin=700:700,3402.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ接地付延長コード　２０ｍ　ワインレッド【SX-203K-R】(3704653) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●コンセント防じんキャップ付です。<br>●電源パイロットランプ付トリプルコンセント付です。<br>●接地付で安全です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ接地付延長コード　２０ｍ　ワインレッド【SX-203K-R】(3704653) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ接地付延長コード　２０ｍ　ワインレッド【SX-203K-R】(3704653) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ接地付延長コード　２０ｍ　ワインレッド【SX-203K-R】(3704653) 受注単位1[rn]
10-20967,,5301.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトケ－ブルコ－ドリ－ル　３０ｍ【GS-30T】(2289245) 受注単位1,(2289245),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●巻き取りドラム全体が鉄製で、強靭構造のハイコストパフォーマンスモデルです。<br>●全機種冬場でも巻きぐせのつきにくいソフトケーブルを採用しました。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトケ&minus;ブルコ&minus;ドリ&minus;ル　３０ｍ【GS-30T】(2289245) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトケ&minus;ブルコ&minus;ドリ&minus;ル　３０ｍ【GS-30T】(2289245) 受注単位1,(2289245)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ソフトケ&minus;ブルコ&minus;ドリ&minus;ル　３０ｍ【GS-30T】(2289245) 受注単位1[rn]
10-20968,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823566.jpg?fitin=700:700,218.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ホースクリップ【CP6】(3702979) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●リールのコードやホースを留められるクリップです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ホースクリップ【CP6】(3702979) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ホースクリップ【CP6】(3702979) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　ホースクリップ【CP6】(3702979) 受注単位1[rn]
10-20969,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003915177.jpg?fitin=700:700,23716.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーレインボーリール　単相１００Ｖ　５０ｍ　アース・ブレーカー付【BX-501K】(3702812) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●おなじみのサンタイガーリールの屋外仕様タイプです。<br>●水だけでなく粉じんの浸入も防ぎます。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーレインボーリール　単相１００Ｖ　５０ｍ　アース・ブレーカー付【BX-501K】(3702812) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーレインボーリール　単相１００Ｖ　５０ｍ　アース・ブレーカー付【BX-501K】(3702812) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンタイガーレインボーリール　単相１００Ｖ　５０ｍ　アース・ブレーカー付【BX-501K】(3702812) 受注単位1[rn]
10-20970,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002825233.jpg?fitin=700:700,8845.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　電工ドラム　防雨防塵型１００Ｖドラム　２芯　３０ｍ【NPW-303】(2902044) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●雨や水の多い場所でも安心して使用できます。",『カード対応OK！』■〒日動工業/日動　電工ドラム　防雨防塵型１００Ｖドラム　２芯　３０ｍ【NPW-303】(2902044) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　電工ドラム　防雨防塵型１００Ｖドラム　２芯　３０ｍ【NPW-303】(2902044) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒日動工業/日動　電工ドラム　防雨防塵型１００Ｖドラム　２芯　３０ｍ【NPW-303】(2902044) 受注単位1[rn]
10-20971,,1643.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　３個口ソフトタイプ延長コード　イエロー【TKC15-103PSY】(3265854) 受注単位1,(3265854),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●タップ部分が3方向に分かれているタイプです。<br>●ソフトコードなので、冬場でもコードが固くなりません。<br>●最大合計1500Wまで使用可能です。<br>●電線はS-VCT1.25mm[[の2乗]]×2芯です。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　３個口ソフトタイプ延長コード　イエロー【TKC15-103PSY】(3265854) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　３個口ソフトタイプ延長コード　イエロー【TKC15-103PSY】(3265854) 受注単位1,(3265854)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　３個口ソフトタイプ延長コード　イエロー【TKC15-103PSY】(3265854) 受注単位1[rn]
10-20972,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833640.jpg?fitin=700:700,6804.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　電工ドラム　マジックリール　１００Ｖ　２芯　３０ｍ【Z-304D】(1645102) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●コンセントパネルが回転しないので工具を接続したまま巻き取り自由です。<br>●パネル固定型です。",『カード対応OK！』■〒日動工業/日動　電工ドラム　マジックリール　１００Ｖ　２芯　３０ｍ【Z-304D】(1645102) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　電工ドラム　マジックリール　１００Ｖ　２芯　３０ｍ【Z-304D】(1645102) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒日動工業/日動　電工ドラム　マジックリール　１００Ｖ　２芯　３０ｍ【Z-304D】(1645102) 受注単位1[rn]
10-20973,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005201297.jpg?fitin=700:700,607.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ・２Ｐ接地付兼用とび出しプラグ【P2-3KE】(1061267) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●2P接地付プラグから本体カバーを回せば、防雨型2Pプラグに変わります。<br>●2Pまたは2P接地付コンセントのどちらも接続が可能です。<br>●100V仕様です。<br>●適合ケーブル外径は10.1～11.5mmです。<br>●アースピンがスライドする2Pまたは2P接地付兼用型防水プラグです。（屋外用）<br>●樹脂製のため、ゴムプラグのような劣化が無く、長期防水性能を保ちます。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ・２Ｐ接地付兼用とび出しプラグ【P2-3KE】(1061267) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ・２Ｐ接地付兼用とび出しプラグ【P2-3KE】(1061267) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐ・２Ｐ接地付兼用とび出しプラグ【P2-3KE】(1061267) 受注単位1[rn]
10-20974,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833630.jpg?fitin=700:700,8164.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　アース過負荷漏電しゃ断器付　１０ｍ【NS-EK12】(2098954) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●長さ、保護機能、電線種など多種多様のコードリールです。",『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　アース過負荷漏電しゃ断器付　１０ｍ【NS-EK12】(2098954) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　アース過負荷漏電しゃ断器付　１０ｍ【NS-EK12】(2098954) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒日動工業/日動　電工ドラム　標準型１００Ｖドラム　アース過負荷漏電しゃ断器付　１０ｍ【NS-EK12】(2098954) 受注単位1[rn]
10-20975,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002855980.jpg?fitin=700:700,23587.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　電工ドラム　防雨防塵型三相２００Ｖ　アース付　３０ｍ【DNWE33020A】(3272575) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●三相200V防雨型ドラムです。<br>●防雨・防じん構造のため、野外作業に最適です。<br>●アース付なので安全です。",『カード対応OK！』■〒日動工業/日動　電工ドラム　防雨防塵型三相２００Ｖ　アース付　３０ｍ【DNWE33020A】(3272575) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　電工ドラム　防雨防塵型三相２００Ｖ　アース付　３０ｍ【DNWE33020A】(3272575) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒日動工業/日動　電工ドラム　防雨防塵型三相２００Ｖ　アース付　３０ｍ【DNWE33020A】(3272575) 受注単位1[rn]
10-20976,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002833613.jpg?fitin=700:700,15876.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　電工ドラム　三相２００Ｖドラム　アース付　３０ｍ【ND-E330-20A】(1255827) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●動力用電源を使用した機械や工具などの延長に最適です。",『カード対応OK！』■〒日動工業/日動　電工ドラム　三相２００Ｖドラム　アース付　３０ｍ【ND-E330-20A】(1255827) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　電工ドラム　三相２００Ｖドラム　アース付　３０ｍ【ND-E330-20A】(1255827) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒日動工業/日動　電工ドラム　三相２００Ｖドラム　アース付　３０ｍ【ND-E330-20A】(1255827) 受注単位1[rn]
10-20977,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003805438.jpg?fitin=700:700,25628.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　防雨型漏電遮断器付電工ドラム【NW-EB53】(3686523) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●雨や水の多い場所でも安心して使用できます。<br>●アース付なので安全です。",『カード対応OK！』■〒日動工業/日動　防雨型漏電遮断器付電工ドラム【NW-EB53】(3686523) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　防雨型漏電遮断器付電工ドラム【NW-EB53】(3686523) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒日動工業/日動　防雨型漏電遮断器付電工ドラム【NW-EB53】(3686523) 受注単位1[rn]
10-20978,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005201222.jpg?fitin=700:700,583.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐショートタップ　０．５ｍ【NX-005】(3703878) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●手近な電源延長に最適です。<br>●コンセント防じんキャップ付です。<br>●電源パイロットランプ付トリプルコンセント付です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐショートタップ　０．５ｍ【NX-005】(3703878) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐショートタップ　０．５ｍ【NX-005】(3703878) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　２Ｐショートタップ　０．５ｍ【NX-005】(3703878) 受注単位1[rn]
10-20979,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003805669.jpg?fitin=700:700,486.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆接地アダプター【E-3KBP】(3703045) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●2芯のプラグを接地付にします。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆接地アダプター【E-3KBP】(3703045) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆接地アダプター【E-3KBP】(3703045) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　逆接地アダプター【E-3KBP】(3703045) 受注単位1[rn]
10-20980,,2968.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トリプルポッキン極太ソフト電線　緑【TTP-10E】(2562502) 受注単位1,(2562502),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ポッキンプラグ付なので、2芯・3芯のどちらでもアダプターなしに差し込めます。<br>●アース付なので万一漏電が起きても安心です。（工具が絶縁不良になった時、漏電電流を大地に逃がし感電しないようになります）<br>●電線は、SVCT2.0mm[[の2乗]]×3芯（ソフト電線）を採用しているので寒冷地でも固くなりません。<br>●2.0mm[[の2乗]]の太い電線を使用しているので、電圧ドロップを解消します。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トリプルポッキン極太ソフト電線　緑【TTP-10E】(2562502) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トリプルポッキン極太ソフト電線　緑【TTP-10E】(2562502) 受注単位1,(2562502)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　トリプルポッキン極太ソフト電線　緑【TTP-10E】(2562502) 受注単位1[rn]
10-20981,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002940917.jpg?fitin=700:700,5443.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　防雨型ポッキン延長ブレーカ　１００Ｖ　過負荷漏電しゃ断器付　１ｍ【PBW-EK-T】(3272583) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●危険な漏電事故を未然に防ぐ防雨型のブレーカー付三ッ口コンセントです。<br>●コンセントは防雨キャップ付15Aアース付125V×3個です。<br>●ポッキンプラグです。<br>●電線種はVCT2.0mm[[の2乗]]です。",『カード対応OK！』■〒日動工業/日動　防雨型ポッキン延長ブレーカ　１００Ｖ　過負荷漏電しゃ断器付　１ｍ【PBW-EK-T】(3272583) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　防雨型ポッキン延長ブレーカ　１００Ｖ　過負荷漏電しゃ断器付　１ｍ【PBW-EK-T】(3272583) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒日動工業/日動　防雨型ポッキン延長ブレーカ　１００Ｖ　過負荷漏電しゃ断器付　１ｍ【PBW-EK-T】(3272583) 受注単位1[rn]
10-20982,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005474635.jpg?fitin=700:700,5875.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【GS-30S】(4189647) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●電線の異常な温度上昇を感知し自動的に電源を遮断します。危険な電線の溶解・焼損を未然に防ぎます。安心の保護機能です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【GS-30S】(4189647) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【GS-30S】(4189647) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　温度センサー付コードリール　単相１００Ｖ３０Ｍ【GS-30S】(4189647) 受注単位1[rn]
10-20983,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005200091.jpg?fitin=700:700,972.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　メタセンアダプター（二重絶縁工具用）【MSB-AB3】(3703801) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●二重絶縁工具を使用時に、メタルセンサーリールと電動工具を接続するアダプターです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　メタセンアダプター（二重絶縁工具用）【MSB-AB3】(3703801) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　メタセンアダプター（二重絶縁工具用）【MSB-AB3】(3703801) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　メタセンアダプター（二重絶縁工具用）【MSB-AB3】(3703801) 受注単位1[rn]
10-20984,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005192483.jpg?fitin=700:700,20412.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　２０Ａ　（引掛け）【AP-302ML】(3702723) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●複数の機器を同時に使用できるので作業効率がアップします。<br>●油やホコリの侵入を防ぐコンセントキャップ付です。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　２０Ａ　（引掛け）【AP-302ML】(3702723) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　２０Ａ　（引掛け）【AP-302ML】(3702723) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　三相２００Ｖ型コードリール　３０ｍ　アース付　２０Ａ　（引掛け）【AP-302ML】(3702723) 受注単位1[rn]
10-20985,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003805446.jpg?fitin=700:700,10886.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日動工業/日動　電流コントロールハンドリール【HRC-E102】(3686132) 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ドラムよりコンパクト、延長コードより便利です。<br>●延長コード感覚で持ち運びも楽々です。<br>●ポッキンプラグ（2芯・3芯に対応できるプラグ）付です。<br>●使用電流分を設定しておけば、それ以上使用すると手元で通電が止まります。",『カード対応OK！』■〒日動工業/日動　電流コントロールハンドリール【HRC-E102】(3686132) 受注単位1：クローバー資材館,『カード対応OK！』■〒日動工業/日動　電流コントロールハンドリール【HRC-E102】(3686132) 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒日動工業/日動　電流コントロールハンドリール【HRC-E102】(3686132) 受注単位1[rn]
10-20986,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004382459.jpg?fitin=700:700,1555.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　マックリール８ｍ青【MS-8-B】(3703797) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●電線の溶解・焼損を防ぐサーモカット付です。<br>●コンパクトな8mリールです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　マックリール８ｍ青【MS-8-B】(3703797) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　マックリール８ｍ青【MS-8-B】(3703797) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　マックリール８ｍ青【MS-8-B】(3703797) 受注単位1[rn]
10-20987,,2211.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒星光商事/スターライト【TR-110-O】(7554290) ３個口超ソフト延長コード　オレンジ 受注単位1,工事用品\コードリール・延長コード\延長コード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●非常にやわらかく耐寒性に優れています。<br>●コンセント部が二重構造の丈夫な設計。<br>●合計1500Wまで使用可能です。<br><br><br>●色：オレンジ<br>●電線仕様長さ(m)：10<br>●電線仕様太さ(mm[[の2乗]])：1.25<br>●電線仕様芯数(C)：2<br>●コンセント仕様定格：15A<br>●コンセント仕様形状：[[二芯]]<br>●コンセント仕様個数：3<br>●質量(kg)：1.27<br><br>●電線種：ソフトVCT<br><br>●塩化ビニール樹脂<br>",『カード対応OK！』■〒星光商事/スターライト【TR-110-O】(7554290) ３個口超ソフト延長コード　オレンジ 受注単位1：クローバー資材館,『カード対応OK！』■〒星光商事/スターライト【TR-110-O】(7554290) ３個口超ソフト延長コード　オレンジ 受注単位1,工事用品\コードリール・延長コード\延長コード。『カード対応OK！』■〒星光商事/スターライト【TR-110-O】(7554290) ３個口超ソフト延長コード　オレンジ 受注単位1[rn]
10-20988,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003932611.jpg?fitin=700:700,3499.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンデーリール　単相１００Ｖ　１．２５ＳＱ　２０ｍ【S-20】(3704289) 受注単位1,工事用品\コードリール・延長コード\コードリール,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●実用性と堅牢性のハイコストパフォーマンスのサンデーリールです。",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンデーリール　単相１００Ｖ　１．２５ＳＱ　２０ｍ【S-20】(3704289) 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンデーリール　単相１００Ｖ　１．２５ＳＱ　２０ｍ【S-20】(3704289) 受注単位1,工事用品\コードリール・延長コード\コードリール。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ　サンデーリール　単相１００Ｖ　１．２５ＳＱ　２０ｍ【S-20】(3704289) 受注単位1[rn]
