10-21101,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002615077.jpg?fitin=700:700,17665.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1,(3523560),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●弾力性のある強靱な天然ゴムを使用しているため、衝撃・摩耗などに強く、特に耐電圧特性は非常に優れています。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1,(3523560)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　キャプタイヤケーブル２次側線　アース付　１０ｍ【TWC-3810KE】(3523560) 受注単位1[rn]
10-21171,,227.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒不易糊工業/フエキ 建築用品【BMAC】(8185604) フエキ 高力ボルトラインマーカー用けしペン 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●高力ボルト接合のマーキング用ペンです。<br>
●特殊ペン先加工でボルト角にジャスト。確実なマーキングですばやくきれいにラインが引け、作業効率がアップします。<br>
●高力ボルトラインマーカー専用消しペンです。<br>
●安全確実に消去作業ができます。<br>
●工業用素材・部品へのマーキング用。<br>
●幅(mm):15<br>
●奥行(mm):15<br>
●高さ(mm):141<br>
●本体:油性顔料系<br>
●芯:アクリル",■〒不易糊工業/フエキ 建築用品【BMAC】(8185604) フエキ 高力ボルトラインマーカー用けしペン 発注単位1：クローバー資材館,■〒不易糊工業/フエキ 建築用品【BMAC】(8185604) フエキ 高力ボルトラインマーカー用けしペン 発注単位1,工事用品\溶接用品。■〒不易糊工業/フエキ 建築用品【BMAC】(8185604) フエキ 高力ボルトラインマーカー用けしペン 発注単位1[rn]
10-21172,,5286.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ ト－チ          【TB-S3H】(8185110) ＴＲＵＳＣＯ プロパンバーナー用火口Ｓ 3号 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●プロパンバーナー用火口（部品）です。<br>
●炎温度(℃):1800<br>
●火口外径(mm):28<br>
●袋ナットサイズ(mm):M20×P1<br>
●材質:真ちゅう<br>
●長さ(mm):170<br>
●火口外径(mm):*<br>
●材質:*",■〒トラスコ中山/ＴＲＵＳＣＯ ト&minus;チ          【TB-S3H】(8185110) ＴＲＵＳＣＯ プロパンバーナー用火口Ｓ 3号 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ ト&minus;チ          【TB-S3H】(8185110) ＴＲＵＳＣＯ プロパンバーナー用火口Ｓ 3号 発注単位1,工事用品\溶接用品。■〒トラスコ中山/ＴＲＵＳＣＯ ト&minus;チ          【TB-S3H】(8185110) ＴＲＵＳＣＯ プロパンバーナー用火口Ｓ 3号 発注単位1[rn]
10-21173,,204.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒三菱鉛筆/ｕｎｉ マーカー【PXA300.24】(7924208) ｕｎｉ アルコールペイントマーカー 太字黒 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●インクの主溶剤をキシレンからアルコール系に変更し、ノンキシレンだから安心・安全です。<br>
●工業用として各種素材、部品へのマーキング、識別に最適。<br>
●色:黒<br>
●文字サイズ:太字<br>
●サイズ：軸径Ф23.2×厚さ25.6×全長146.1mm<br>
●本体:油性染料<br>
●芯:アクリル繊維",■〒三菱鉛筆/ｕｎｉ マーカー【PXA300.24】(7924208) ｕｎｉ アルコールペイントマーカー 太字黒 発注単位1：クローバー資材館,■〒三菱鉛筆/ｕｎｉ マーカー【PXA300.24】(7924208) ｕｎｉ アルコールペイントマーカー 太字黒 発注単位1,工事用品\溶接用品。■〒三菱鉛筆/ｕｎｉ マーカー【PXA300.24】(7924208) ｕｎｉ アルコールペイントマーカー 太字黒 発注単位1[rn]
10-21174,,10720.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒シモン/シモン 保護具【4140172】(8192989) シモン 206ズボン 2Ｌ 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●熱に強い牛床革のズボンです。<br>
●溶接、鉄鋼、機械などの各種現場に。<br>
●サイズ:2L<br>
●牛床革",■〒シモン/シモン 保護具【4140172】(8192989) シモン 206ズボン 2Ｌ 発注単位1：クローバー資材館,■〒シモン/シモン 保護具【4140172】(8192989) シモン 206ズボン 2Ｌ 発注単位1,工事用品\溶接用品。■〒シモン/シモン 保護具【4140172】(8192989) シモン 206ズボン 2Ｌ 発注単位1[rn]
10-21175,,388.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＬＡ－ＣＯ社/ＬＡＣＯ 工業用マーカー【97031】(7926715) ＬＡＣＯ Ｍａｒｋａｌ 工業用マーカー「ＰＲＯ ＷＡＳＨ」 黄 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●鉄やガラス、プラスチック、パイプチューブなどに書くことができ、水で簡単に落とすことができます。<br>
●様々な建材のマーキングに。<br>
●品質管理、部品検査時のマーキング等に。<br>
●金属、ガラス、樹脂、配管への素材のマーキングにご利用頂けます。<br>
●色:黄<br>
●適用温度範囲(℃):-18～66<br>
●サイズ(mm):3Ｘ146<br>
●顔料",■〒ＬＡ&minus;ＣＯ社/ＬＡＣＯ 工業用マーカー【97031】(7926715) ＬＡＣＯ Ｍａｒｋａｌ 工業用マーカー「ＰＲＯ ＷＡＳＨ」 黄 発注単位1：クローバー資材館,■〒ＬＡ&minus;ＣＯ社/ＬＡＣＯ 工業用マーカー【97031】(7926715) ＬＡＣＯ Ｍａｒｋａｌ 工業用マーカー「ＰＲＯ ＷＡＳＨ」 黄 発注単位1,工事用品\溶接用品。■〒ＬＡ&minus;ＣＯ社/ＬＡＣＯ 工業用マーカー【97031】(7926715) ＬＡＣＯ Ｍａｒｋａｌ 工業用マーカー「ＰＲＯ ＷＡＳＨ」 黄 発注単位1[rn]
10-21176,,1140.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 溶接シート【GBC-A4K】(7973021) ＴＲＵＳＣＯ ボンベカバー 4．0ｋｇアセチレン瓶用 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●直射日光からボンベを守り、ボンベ内圧上昇を軽減します。<br>
●幅(mm):440<br>
●色:シルバーグレー<br>
●長さ(mm):610<br>
●適合ボンベ:アセチレン瓶（4.0ｋｇ）<br>
●防炎:×<br>
●標準タイプ<br>
●ポリエチレン<br>
●「防炎」は「不燃」とは異なり「燃えにくい」性能を示す用語であり、繊維等が小さな火源に接しても容易に燃えあがらず、もし着火しても際限なく燃え広がらないことを意味しています。SBタイプは絶対に火花を当てないでください。",■〒トラスコ中山/ＴＲＵＳＣＯ 溶接シート【GBC-A4K】(7973021) ＴＲＵＳＣＯ ボンベカバー 4．0ｋｇアセチレン瓶用 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 溶接シート【GBC-A4K】(7973021) ＴＲＵＳＣＯ ボンベカバー 4．0ｋｇアセチレン瓶用 発注単位1,工事用品\溶接用品。■〒トラスコ中山/ＴＲＵＳＣＯ 溶接シート【GBC-A4K】(7973021) ＴＲＵＳＣＯ ボンベカバー 4．0ｋｇアセチレン瓶用 発注単位1[rn]
10-21177,,20865.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒吉野/吉野 溶接シート【YS-22JC】(7933738) 吉野 衝立用アルミパイプ 2×2 接続キャスター 発注単位1,工事用品\溶接用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●アルミニウム製で軽くて丈夫、リサイクルも容易です。<br>
●組立はボルト式（接着剤不使用）で、届いたその日からご使用いただけます。<br>
●組立/解体に必要な工具類も付属しています。<br>
●ローリンを取り付けることができます。<br>
●パーテイション用のフレームとして<br>
●足形状:キャスター式<br>
●タイプ:連結<br>
●外形寸法（mm）幅×奥行×高さ:2070×470×2143<br>
●パイプ径:φ28ｍｍ<br>
●キャスター径:50ｍｍ<br>
●枠内寸法(横×高さ)(mm):2000×2000<br>
●キャスター付き<br>
●アルミニウム製パイプフレーム<br>
●フレーム径:28mm<br>
●アルミニウム<br>
●アルミニウムダイキャスト<br>
●ステンレス製Sカン",■〒吉野/吉野 溶接シート【YS-22JC】(7933738) 吉野 衝立用アルミパイプ 2&times;2 接続キャスター 発注単位1：クローバー資材館,■〒吉野/吉野 溶接シート【YS-22JC】(7933738) 吉野 衝立用アルミパイプ 2&times;2 接続キャスター 発注単位1,工事用品\溶接用品。■〒吉野/吉野 溶接シート【YS-22JC】(7933738) 吉野 衝立用アルミパイプ 2&times;2 接続キャスター 発注単位1[rn]
10-21178,,46692.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ ＰＩ踏台【TSF-256TE16】(7987218) ＴＲＵＳＣＯ 踏台 2段本体 階段片手すり 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●底面にも筋交いが入っており、安定感に優れています。<br>
●オールアルマイト仕上げです。<br>
●滑り止めキャップはスクリベットで取り付けていますのでプラスドライバーでの交換が可能なアルミ製作業用踏台です。<br>
●工場、倉庫内での作業に。<br>
●最大使用質量(kg):150<br>
●天板高さ(m):0.6<br>
●天板寸法(mm):500×400<br>
●段数:2<br>
●設置寸法(mm)間口:520<br>
●設置寸法(mm)奥行:629<br>
●踏ざん踏面幅(mm):踏台2段+階段片手すり高さ900mm<br>
●タイプ:踏台2段+階段片手すり高さ900mm<br>
●設置寸法(mm)間口×奥行:520×629<br>
●組立式<br>
●アルミ<br>
●踏台２段＋階段片手すり",■〒トラスコ中山/ＴＲＵＳＣＯ ＰＩ踏台【TSF-256TE16】(7987218) ＴＲＵＳＣＯ 踏台 2段本体 階段片手すり 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ ＰＩ踏台【TSF-256TE16】(7987218) ＴＲＵＳＣＯ 踏台 2段本体 階段片手すり 発注単位1,工事用品\はしご・脚立。■〒トラスコ中山/ＴＲＵＳＣＯ ＰＩ踏台【TSF-256TE16】(7987218) ＴＲＵＳＣＯ 踏台 2段本体 階段片手すり 発注単位1[rn]
10-21179,,50112.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アルインコ住宅機器事業部/アルインコ 脚立【CSD100F】(8184743) アルインコ 折畳式作業台ＣＳＤ－Ｆ踏ざんＨ250mm仕様 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●頑丈で安定性に優れたアルミ製折畳式作用台です。<br>
●踏ざん高さ２５０mm、昇降角度５５度、踏ざん踏幅１１１mmでより安全に昇降できます。<br>
●折りたたみ構造なので収納スペースを取りません。<br>
●背面キャスターも装備しており楽に移動ができます。<br>
●工場、倉庫などでの作業に。<br>
●最大使用質量(kg):120<br>
●天板高さ(m):1.00<br>
●段数:4<br>
●作業床寸法(mm):500×523<br>
●設置寸法(mm):680×1386<br>
●天板寸法(mm):500×523<br>
●最大作業床高さ(m):1.00<br>
●収納時寸法(mm)長さ×幅×奥行:1438×219×680<br>
●完成品<br>
●踏ざん高さ:250mmピッチ<br>
●踏ざん踏幅:111mm<br>
●背面キャスターφ75（収納可能）<br>
●オプションで高さ900mm、1100mm調節可能な手すり取り付け可能<br>
●アルミ",■〒アルインコ住宅機器事業部/アルインコ 脚立【CSD100F】(8184743) アルインコ 折畳式作業台ＣＳＤ&minus;Ｆ踏ざんＨ250mm仕様 発注単位1：クローバー資材館,■〒アルインコ住宅機器事業部/アルインコ 脚立【CSD100F】(8184743) アルインコ 折畳式作業台ＣＳＤ&minus;Ｆ踏ざんＨ250mm仕様 発注単位1,工事用品\はしご・脚立。■〒アルインコ住宅機器事業部/アルインコ 脚立【CSD100F】(8184743) アルインコ 折畳式作業台ＣＳＤ&minus;Ｆ踏ざんＨ250mm仕様 発注単位1[rn]
10-21180,,19008.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アルインコ住宅機器事業部/アルインコ 脚立【PRT210FX】(8202642) アルインコ 伸縮脚付きはしご兼用脚立(踏ざん幅60mm・各脚441mm伸縮) 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●幅広踏ざんの伸縮脚付脚立です。<br>
●簡単操作しやすい伸縮装置レバー（各脚6mmピッチ）を装備しています。<br>
●最大使用質量(kg):100<br>
●天板高さ(m):1.88～2.32<br>
●はしご全長(m):3.98～4.90<br>
●天板寸法(mm):251×160<br>
●収納時寸法(mm)全幅×奥行×高さ:660×169×2007<br>
●踏ざん踏面幅(mm):60<br>
●設置寸法(mm):660～740×1327～1597<br>
●脚部最大伸縮幅(mm):440<br>
●脚部伸縮ピッチ(mm):6<br>
●有効高さ(mm):1580～2020<br>
●踏ざん間隔(mm):２９５<br>
●踏ざん踏面幅:60mm<br>
●脚部伸縮ピッチ:6mm<br>
●脚部最大伸縮幅:441mm<br>
●各脚伸縮幅(ｍｍ):４４１<br>
●ステップ数(天板除く):6<br>
●アルミ",■〒アルインコ住宅機器事業部/アルインコ 脚立【PRT210FX】(8202642) アルインコ 伸縮脚付きはしご兼用脚立(踏ざん幅60mm・各脚441mm伸縮) 発注単位1：クローバー資材館,■〒アルインコ住宅機器事業部/アルインコ 脚立【PRT210FX】(8202642) アルインコ 伸縮脚付きはしご兼用脚立(踏ざん幅60mm・各脚441mm伸縮) 発注単位1,工事用品\はしご・脚立。■〒アルインコ住宅機器事業部/アルインコ 脚立【PRT210FX】(8202642) アルインコ 伸縮脚付きはしご兼用脚立(踏ざん幅60mm・各脚441mm伸縮) 発注単位1[rn]
10-21181,,303177.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒ピカコーポレイション/ピカ【ARA-1】(7543409) アルミパイプ製移動式足場ＡＲＡ型　１段 受注単位1,工事用品\はしご・脚立\高所作業台,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●アルミパイプ製で軽量タイプの移動式足場です。<br><br>●高所作業に<br><br>●最大使用質量(kg)：200<br>●段数：1<br>●作業床寸法(mm)：1407×1646<br>●設置寸法(mm)：1570×1829（支柱中心）<br>●最大作業床高さ(m)：1.97<br>●質量（ｋｇ）：84<br>●アウトリガー：なし<br><br>●組立式<br><br>●アルミ<br>",『カード対応OK！』##&forall;■〒ピカコーポレイション/ピカ【ARA-1】(7543409) アルミパイプ製移動式足場ＡＲＡ型　１段 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒ピカコーポレイション/ピカ【ARA-1】(7543409) アルミパイプ製移動式足場ＡＲＡ型　１段 受注単位1,工事用品\はしご・脚立\高所作業台。『カード対応OK！』##&forall;■〒ピカコーポレイション/ピカ【ARA-1】(7543409) アルミパイプ製移動式足場ＡＲＡ型　１段 受注単位1[rn]
10-21182,,53512.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒長谷川工業/ハセガワ 脚立【XAM2.0-36】(3071774) ハセガワ アルミ長尺専用脚立 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●アルミ製長尺脚立の強力タイプです。<br>
●踏ざん踏面幅が55mmと広く、昇降しやすく疲れにくくなっています。<br>
●大型開き止め機構を採用しています。<br>
●高さのバリエーションも豊富です。<br>
●最大使用質量(kg):130<br>
●天板高さ(m):3.49<br>
●天板寸法(mm):283×187<br>
●収納時全長(m):3.66<br>
●はしご全長(m):-<br>
●踏ざん踏面幅(mm):55<br>
●踏ざん踏面幅:55mm<br>
●Aマーク認定品<br>
●アルミ",■〒長谷川工業/ハセガワ 脚立【XAM2.0-36】(3071774) ハセガワ アルミ長尺専用脚立 発注単位1：クローバー資材館,■〒長谷川工業/ハセガワ 脚立【XAM2.0-36】(3071774) ハセガワ アルミ長尺専用脚立 発注単位1,工事用品\はしご・脚立。■〒長谷川工業/ハセガワ 脚立【XAM2.0-36】(3071774) ハセガワ アルミ長尺専用脚立 発注単位1[rn]
10-21183,,18728.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒長谷川工業/ハセガワ【LA1-32】(7599552) アルミ１連はしご　プロ用　ＬＡ１型　３．１７ｍ 受注単位1,工事用品\はしご・脚立\はしご,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●業務用のスタンダードモデルです。<br><br>●高所への昇降用<br>●高所への昇降用（業務用）<br><br>●最大使用質量(kg)：130<br>●全長(m)：3.17<br>●質量(kg)：7.8<br><br>●正面有効幅：348ｍｍ<br>●踏ざん間隔：335ｍｍ<br>●踏ざん踏面幅：42ｍｍ<br>●ＪＩＳ規格品（ＪＩＳ　Ｓ１１２１Ｃ-１３　ＪＱ０５８０８８）<br>●Ａマーク認定品<br><br>●アルミ<br>",『カード対応OK！』##&forall;■〒長谷川工業/ハセガワ【LA1-32】(7599552) アルミ１連はしご　プロ用　ＬＡ１型　３．１７ｍ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒長谷川工業/ハセガワ【LA1-32】(7599552) アルミ１連はしご　プロ用　ＬＡ１型　３．１７ｍ 受注単位1,工事用品\はしご・脚立\はしご。『カード対応OK！』##&forall;■〒長谷川工業/ハセガワ【LA1-32】(7599552) アルミ１連はしご　プロ用　ＬＡ１型　３．１７ｍ 受注単位1[rn]
10-21184,,14904.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アルインコ住宅機器事業部/アルインコ 脚立【PRW180FX】(8202637) アルインコ 伸縮脚立(ステップ幅広)180ｃｍ 最大使用質量100ｋｇ 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●60mmの幅広踏ざんを採用し、昇降しやすく安定感のあるアルミ製脚立です。<br>
●伸縮操作のしやすいワンタッチレバーを採用しています。<br>
●自在脚の端具に取り替え可能です。<br>
●現場工事やメンテナンスなどの昇降作業に最適。<br>
●最大使用質量(kg):100<br>
●天板高さ(m):1.59～1.89<br>
●はしご全長(m):3.36～4.00<br>
●天板寸法(mm):251×160<br>
●収納時寸法(mm)全幅×奥行×高さ:606×169×1698<br>
●踏ざん踏面幅(mm):60<br>
●設置寸法(mm):606～661×1147～1332<br>
●脚部最大伸縮幅(mm):300<br>
●脚部伸縮ピッチ(mm):6<br>
●Ａマーク認定品:認定品<br>
●有効高さ(mm):1290～1590<br>
●踏ざん踏面幅:60mm<br>
●脚部伸縮ピッチ:6mm<br>
●脚部最大伸縮幅:303mm<br>
●Aマーク認定品（PRW210FXは除く）<br>
●最大伸縮幅(各脚):３０３ｍｍ<br>
●ステップ数(天板除く):5<br>
●アルミ",■〒アルインコ住宅機器事業部/アルインコ 脚立【PRW180FX】(8202637) アルインコ 伸縮脚立(ステップ幅広)180ｃｍ 最大使用質量100ｋｇ 発注単位1：クローバー資材館,■〒アルインコ住宅機器事業部/アルインコ 脚立【PRW180FX】(8202637) アルインコ 伸縮脚立(ステップ幅広)180ｃｍ 最大使用質量100ｋｇ 発注単位1,工事用品\はしご・脚立。■〒アルインコ住宅機器事業部/アルインコ 脚立【PRW180FX】(8202637) アルインコ 伸縮脚立(ステップ幅広)180ｃｍ 最大使用質量100ｋｇ 発注単位1[rn]
10-21185,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002960891.jpg?fitin=700:700,51030.4000,,花・ガーデン・DIY > DIY・工具 > その他,∀『カード対応OK！』■〒昭和ブリッジ販売/昭和　ＳＢＡ型ブリッジ２個１組【SBA-240-30-0.8】() 受注単位1,工事用品\はしご・脚立\アルミブリッジ,"<font size=""4"" color=""#0033ff""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●最も汎用性の高いアルミブリッジです。",&forall;『カード対応OK！』■〒昭和ブリッジ販売/昭和　ＳＢＡ型ブリッジ２個１組【SBA-240-30-0.8】() 受注単位1：クローバー資材館,&forall;『カード対応OK！』■〒昭和ブリッジ販売/昭和　ＳＢＡ型ブリッジ２個１組【SBA-240-30-0.8】() 受注単位1,工事用品\はしご・脚立\アルミブリッジ。&forall;『カード対応OK！』■〒昭和ブリッジ販売/昭和　ＳＢＡ型ブリッジ２個１組【SBA-240-30-0.8】() 受注単位1[rn]
10-21186,,16922.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒長谷川工業/ハセガワ 脚立【RAX2.0-18】(5030951) ハセガワ アルミ合金製はしご兼用脚立 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ステップ幅広設計です。<br>
●使用質量130kgのプロ仕様のアルミ製脚立です。<br>
●最大使用質量(kg):130<br>
●天板高さ(m):1.70<br>
●はしご全長(m):3.56<br>
●天板寸法(mm):283×187<br>
●踏ざん踏面幅:55mm<br>
●JIS規格品（JIS S1121B-13 JQCN07008）<br>
●Aマーク認定品<br>
●ステップ数(天板除く):5<br>
●アルミ",■〒長谷川工業/ハセガワ 脚立【RAX2.0-18】(5030951) ハセガワ アルミ合金製はしご兼用脚立 発注単位1：クローバー資材館,■〒長谷川工業/ハセガワ 脚立【RAX2.0-18】(5030951) ハセガワ アルミ合金製はしご兼用脚立 発注単位1,工事用品\はしご・脚立。■〒長谷川工業/ハセガワ 脚立【RAX2.0-18】(5030951) ハセガワ アルミ合金製はしご兼用脚立 発注単位1[rn]
10-21187,,17671.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ピカコーポレイション/ピカ 脚立【SCN-180】(8183900) ピカ 四脚アジャスト式脚立スーパーかるノビＳＣＮ型 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●かがまずに伸縮脚を伸ばせる上部操作式です。<br>
●55mmの幅広踏ざんを採用で、昇降しやすく作業性がアップします。<br>
●アルマイト加工により耐食性が高く、汚れに強くなりました。<br>
●最大段差が約31cmまで対応できます。<br>
●最大使用質量(kg):100<br>
●天板高さ(m):1.53～1.84<br>
●はしご全長(m):3.24～3.88<br>
●天板寸法(mm):303×172<br>
●踏ざん踏面幅:55.3mm<br>
●Aマーク認定品<br>
●脚部伸縮ピッチ:6mm<br>
●ステップ数(天板除く):5<br>
●アルミ",■〒ピカコーポレイション/ピカ 脚立【SCN-180】(8183900) ピカ 四脚アジャスト式脚立スーパーかるノビＳＣＮ型 発注単位1：クローバー資材館,■〒ピカコーポレイション/ピカ 脚立【SCN-180】(8183900) ピカ 四脚アジャスト式脚立スーパーかるノビＳＣＮ型 発注単位1,工事用品\はしご・脚立。■〒ピカコーポレイション/ピカ 脚立【SCN-180】(8183900) ピカ 四脚アジャスト式脚立スーパーかるノビＳＣＮ型 発注単位1[rn]
10-21188,,18286.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ピカコーポレイション/ピカ 踏み台Ｋ【ZG-1625】(7950632) ピカ 作業台 ＺＧ型 1段 幅60ｃｍ高さ25ｃｍ 発注単位1,工事用品\はしご・脚立,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●踏ざん間隔２５０ｍｍの段差が緩やかで昇降しやすい作業台です。<br>
●安定性・固定性に優れた工場向け作業用踏台です。<br>
●滑り止めキャップにゴミがたまりにくくなっています。<br>
●表面処理が高級感のあるオールアルマイト仕上げです。<br>
●工場、倉庫などの作業や店舗什器など様々なシーンで。<br>
●最大使用質量(kg):150<br>
●天板高さ(m):0.25<br>
●天板寸法(mm):600×400<br>
●段数:1<br>
●設置寸法(ｍｍ)間口×奥行:620×426<br>
●組立式<br>
●踏ざん踏面幅:200mm<br>
●滑り止めキャップの材質にエラストマーを採用しています。<br>
●アルミ合金",■〒ピカコーポレイション/ピカ 踏み台Ｋ【ZG-1625】(7950632) ピカ 作業台 ＺＧ型 1段 幅60ｃｍ高さ25ｃｍ 発注単位1：クローバー資材館,■〒ピカコーポレイション/ピカ 踏み台Ｋ【ZG-1625】(7950632) ピカ 作業台 ＺＧ型 1段 幅60ｃｍ高さ25ｃｍ 発注単位1,工事用品\はしご・脚立。■〒ピカコーポレイション/ピカ 踏み台Ｋ【ZG-1625】(7950632) ピカ 作業台 ＺＧ型 1段 幅60ｃｍ高さ25ｃｍ 発注単位1[rn]
