10-99501,http://tshop.r10s.jp/ainekusu/cabinet/02351767/03425441/imgrc0067101943.gif?fitin=700:700,64800.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > 手動工具セット,【KTC】工具セット6.3sq./9.5sq./93点入組/EKR-103【SK59316E】EKR-103エキスパートセット(定番セット+α),店内複数エントリーPT最大24倍チャンス！4/17 9:59まで,"<br><b>機能もデザインも譲れないプロも納得の充実の入組</b><br>
エンジンのヘッドカバーを彷彿させる個性際立つフォルムに余裕の収納量を実現したチェスト「EKR-103」(シルバー×レッド)を採用しました。<br>
近年の自動車産業のグローバル化にともなうねじサイズに対応します。(9.5sq.ソケット、めがねレンチ：15、16、18mm)<br>
狭い場所で効率的で快適な作業ができる、6.3sq.ソケットレンチを追加。プラグレンチは14mmと16mmをセットしました。<br>
オーディオ、カーナビ、ETCの取り付けに欠かせない内装取り外しに便利なハンディーリムーバーをセット。<br><br>
■入組内容<br>
・45°×6°ロングめがねレンチ：M5-0810、M5-1012、M5-1113、M5-1214、M5-1315、M5-1417、M5-1618、M5-1719、M5-2224<br>
・コンビネーションレンチ：MS2-08、MS2-10、MS2-12、MS2-13、MS2-14、MS2-17<br>
・コンビネーションプライヤ(ソフトグリップ付)：PJ-200<br>・ニッパ：PN1-150<br>
・ラジオペンチ(スタンダードタイプ)：PSL-150<br>・板ラチェット差替えドライバセット：TMDB8<br>
・コンビハンマ：UD7-10<br>・モンキレンチ：WM-250<br>・マグネット付パーツトレイ：YKPT-RM<br>
・ハンディリムーバー(中サイズ)：AP201-10A<br>・ハンディリムーバー(ナロウタイプ)：AP201-N<br>
・6.3sq.ソケット(六角)：B2-05、B2-055、B2-06、B2-07、B2-08、B2-10、B2-12<br>
・9.5sq.ソケット(六角)：B3-08、B3-10、B3-12、B3-13、B3-14、B3-15、B3-16、B3-17、B3-18、B3-19、B3-21、B3-22<br>
・9.5sq.プラグレンチ：B3A-14SP<br>・9.5sq.プラグレンチ(薄肉タイプ)：B3A-16SP<br>
・9.5sq.ディープソケット(六角)：B3L-08、B3L-10、B3L-12、B3L-14<br>
・6.3sq.エクステンションバー：BE2-050、BE2-100<br>・9.5sq.エクステンションバー：BE3-050、BE3-075、BE3-150<br>
・9.5sq.クイックスピンナ：BE3-Q<br>・9.5sq.ユニバーサルジョイント：BJ3<br>
・6.3sq.ラチェットハンドル：BR2E<br>・9.5sq.ラチェットハンドル：BR3E<br>・9.5sq.スピンナハンドル：BS3E<br>
・9.5sq.ショートヘキサゴンビットソケット：BT3-05S、BT3-06S、BT3-08S、BT3-10S<br>
・9.5sq.T型トルクスビットソケット：BT3-T25、BT3-T27、BT3-T30、BT3-T40、BT3-T45<br>
・樹脂柄ドライバ(マイナス貫通タイプ)：D1M2-5、D1M2-6、D1M2-8<br>
・樹脂柄スタッビドライバ(マイナス)：D1MS-6<br>
・樹脂柄ドライバ(クロス貫通タイプ)：D1P2-1、D1P2-2、D1P2-3<br>
・樹脂柄スタッビドライバ(クロス)：D1PS-2<br>
・6.3sq.ソケットホルダー：EHB210<br>・9.5sq.ソケットホルダー：EHB310<br>
・ボールポイントL形ロング六角棒レンチセット(9本組)：HL259SP<br>",【KTC】工具セット6.3sq./9.5sq./93点入組/EKR-103【SK59316E】EKR-103エキスパートセット(定番セット+α)：アットマックス＠,cn-gp550dポータブル電源ガーデンバリアゴリラセットアップ込40b19lドライブレコーダーカーナビゲーションワコーズ GDXゴリラレーダー探知機静音計画100d23lサーキュレータージャンプスターターカーバッテリーcarrozzeriaジェントスエアコンガス【KTC】工具セット6.3sq./9.5sq./93点入組/EKR-103【SK59316E】EKR-103エキスパートセット(定番セット+α),店内複数エントリーPT最大24倍チャンス！4/17 9:59まで。【KTC】工具セット6.3sq./9.5sq./93点入組/EKR-103【SK59316E】EKR-103エキスパートセット(定番セット+α)[rn]
10-99560,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292316781.jpg?fitin=700:700,3360.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ アイアンホールソー 鉄工用 45MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：鉄工ホールソー,【用途】<br>一般鋼（鉄）への穴あけあ作業に。（厚み３ｍｍ以下）。<br><br>【機能・特徴】<br>ハイスブレード採用で穴あけスピード抜群。<br><br>【仕様】<br>●穴あけサイズ45mm。<br>●軸径六角10mm。<br><br>【材質】<br>●刃部・センタードリル/ハイス製。<br><br>【商品サイズ】奥行95×幅45×高さ45mm　重量250g<br><br>【注意事項・その他】<br>ステンレスへの穴あけはおやめ下さい。取扱説明書の適正回転数を超える穴あけはおやめ下さい。<br><br>,ＳＫ１１ アイアンホールソー 鉄工用 45MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ アイアンホールソー 鉄工用 45MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：鉄工ホールソー。ＳＫ１１ アイアンホールソー 鉄工用 45MM [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ][rn]
10-99561,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4957462130287.jpg?fitin=700:700,592.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ミヤナガ デルタゴンビット 振動用 DLS038ﾃﾞﾙﾀｼﾞｸ [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ホールドリル,【用途】<br>コンクリート、ブロック、モルタル、窯業系サイディングの穴あけに。<br><br>【機能・特徴】<br>抜群の耐久性（メーカー比）。<br>穿孔スピードUP(メーカー比)。<br>真円に近い穴あけができます。<br>デルタ軸採用。<br><br>【仕様】<br>●適合電動機：電気ドリル（振動ドリルでお使い下さい）。<br><br>【商品サイズ】奥行85××mm　重量4.5g<br><br>,ミヤナガ デルタゴンビット 振動用 DLS038ﾃﾞﾙﾀｼﾞｸ [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ミヤナガ デルタゴンビット 振動用 DLS038ﾃﾞﾙﾀｼﾞｸ [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ホールドリル。ミヤナガ デルタゴンビット 振動用 DLS038ﾃﾞﾙﾀｼﾞｸ [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ][rn]
10-99562,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4943102095351.jpg?fitin=700:700,2504.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ウイニングボアー バイメタルカッター BC-35 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：メーカー品ホールソー,【用途】<br>鉄板3.2mm以下の35mm穴あけ用ホールソー。<br><br>【機能・特徴】<br>鉄(3.2mm以下）塩ビ、木工、プラスチックの穴あけができます。<br>6.35mmシャンクのため充電ドライバーで使用が出来ます。<br>薄刃タイプの刃先の使用により切れ味抜群、長寿命。<br><br>【仕様】<br>●シャンク径：6.35mm。<br><br>【商品サイズ】奥行105×幅37×高さ37mm　重量142g<br><br>【注意事項・その他】<br>ご使用時には必ず保護メガネ等の保護具を着用してください。作業時の服装には十分注意し、作業服の袖やネクタイ、ズボンのすそ等巻き付きやすいものは着用しないでください。回転中のカッター部に手を触れないようにしてください。使用直後のカッター部や被削材は熱を持っていますのでやけどしないようにご注意ください。<br><br>,ウイニングボアー バイメタルカッター BC-35 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ウイニングボアー バイメタルカッター BC-35 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ],先端工具：鉄工ドリル：メーカー品ホールソー。ウイニングボアー バイメタルカッター BC-35 鉄工用 [ ホールソー ホルソー クラフト 工具 道具 作業工具 diy 大工道具 穴あけ作業 ][rn]
10-99563,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4957462086621.jpg?fitin=700:700,904.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ミヤナガ 充電ドライバードリル 6.0MM [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ホールドリル,【用途】<br>ブロック、モルタル、石膏ボード、コンクリート（振動ドリルをお勧めします。）等への穴あけ作業に。<br><br>【機能・特徴】<br>六角軸シャンク（6.35mm）により充電インパクトドライバーにダイレクトにワンタッチで取り付けが可能。<br>一体型のため、フレが少なく、耐久性にも優れています。<br>独自の超硬チップの採用により優れた切れ味がえられます。<br>刃先は、振動、回転兼用形状になっていますので、お手持ちの振動ドリル又は回転ドリルにそのまま取り付けて使用できます。<br><br>【仕様】<br>●適合電動機：電気ドリル（振動・回転いずれも適合します）。<br><br>【商品サイズ】奥行110××mm　重量19.4g<br><br>【注意事項・その他】<br>充電式ドリルは、9.6V以上を使用してください。<br><br>,ミヤナガ 充電ドライバードリル 6.0MM [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ミヤナガ 充電ドライバードリル 6.0MM [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ホールドリル。ミヤナガ 充電ドライバードリル 6.0MM [ コンクリートドリル ドリルビット 穴あけドリル インパクトドライバー 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ][rn]
10-99564,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292326483.jpg?fitin=700:700,1440.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ ＳＤＳフラットチゼル ２２ 250MMX22MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ハツリ製品,【用途】<br>コンクリートのハツリ・溝切り・角出しに。<br><br>【機能・特徴】<br>打撃専用。<br><br>【仕様】<br>●材質：SCM材（クロームモリブデン）　全長250mm　巾22mm。<br><br>【商品サイズ】奥行250×幅22×高さ16mm　重量280g<br><br>【注意事項・その他】<br>回転停止機能が付いていない軽量型ハンマードリルにはメーカー純正の打撃専用アダプターを取り付けてご使用ください。<br><br>,ＳＫ１１ ＳＤＳフラットチゼル ２２ 250MMX22MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ ＳＤＳフラットチゼル ２２ 250MMX22MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ハツリ製品。ＳＫ１１ ＳＤＳフラットチゼル ２２ 250MMX22MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ][rn]
10-99565,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4960092406028.jpg?fitin=700:700,3000.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ラクダ スケーリングチゼル 17HX450X50,先端工具：コンクリートドリル：ラクダ製品,【用途】<br>コンクリートのハツリ、面取り、角出し、溝つき、溝切り作業に。アスファルトんの破砕、カット作業に。<br><br>【仕様】<br>●品番：AE0602　サイズ：17H×450mm×巾50mm　材質：構造用合金鋼　完全鍛造品　硬度：HRC・58に熱処理　主な適合機種/マキタ8500N・日立PH-40F・リョービCH-420A。<br><br>【商品サイズ】奥行450×幅50×高さ17mm　重量835g<br><br>【注意事項・その他】<br>必ず電動ハンマー（ハンマードリル）に取り付けて使用してください。<br><br>,ラクダ スケーリングチゼル 17HX450X50：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ラクダ スケーリングチゼル 17HX450X50,先端工具：コンクリートドリル：ラクダ製品。ラクダ スケーリングチゼル 17HX450X50[rn]
10-99566,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292326490.jpg?fitin=700:700,2000.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ ＳＤＳフラットチゼル ４０ 250MMX40MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ハツリ製品,【用途】<br>コンクリートのハツリ・溝切り・角出しに。<br><br>【機能・特徴】<br>打撃専用。<br><br>【仕様】<br>●材質：SCM材（クロームモリブデン）　全長250mm　巾40mm。<br><br>【商品サイズ】奥行250×幅40×高さ10mm　重量320g<br><br>【注意事項・その他】<br>回転停止機能が付いていない軽量型ハンマードリルにはメーカー純正の打撃専用アダプターを取り付けてご使用ください。<br><br>,ＳＫ１１ ＳＤＳフラットチゼル ４０ 250MMX40MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ ＳＤＳフラットチゼル ４０ 250MMX40MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ハツリ製品。ＳＫ１１ ＳＤＳフラットチゼル ４０ 250MMX40MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ][rn]
10-99567,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/06/4960092402013.jpg?fitin=700:700,1400.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ラクダ コールドチゼル 17X280MM,先端工具：コンクリートドリル：ラクダ製品,【用途】<br>溝切り・角出し・研削に。<br><br>【機能・特徴】<br>磨耗すれば普通砥石で研磨ができます。<br>エッジが鋭いため、破砕物への食いつき・食い込みが良く、破砕能力の向上により作業効率がアップします。<br>磨耗後の再研磨時には研磨量が少なく、短時間でエッジが再生できます。<br>鍛造可能。<br><br>【仕様】<br>●品番：AE0201　サイズ：17H×280mm　材質：先端/特殊合金鋼　シャンク/構造用合金鋼　適合機種/マキタ8500N・日立PH-40F・リョービCH-420A。<br><br>【商品サイズ】奥行280×幅20×高さ17mm　重量447g<br><br>【注意事項・その他】<br>必ず電動ハンマー（ハンマードリル）に取り付けて使用してください。<br><br>,ラクダ コールドチゼル 17X280MM：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ラクダ コールドチゼル 17X280MM,先端工具：コンクリートドリル：ラクダ製品。ラクダ コールドチゼル 17X280MM[rn]
10-99568,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/08/4977292337526.jpg?fitin=700:700,672.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,Ｙ－ＳＫ１１ 六角軸皮ポンチ 10MM [ 穴あけポンチ センターポンチ ベルト 穴開け 穴あけ機 diy 工具 作業工具 大工道具 通販 ],先端工具：木工ドリル：ＰＣ・ガラスドリル,【用途】<br>皮・ゴム・ビニール・紙・石膏ボードへの穴あけに。<br><br>【機能・特徴】<br>電気ドリル・充電ドリル・インパクトドライバーで皮・ゴム・ビニール・紙・石膏ボードへの穴あけが出来ます。<br><br>【仕様】<br>●材質：SK-4材　軸径：6.35ｍｍ　六角軸。<br><br>【商品サイズ】奥行70×幅12×高さ12mm　重量40g<br><br>【注意事項・その他】<br>表面が硬い材料へは使用しないで下さい。水平に使用して下さい。<br><br>,Ｙ&minus;ＳＫ１１ 六角軸皮ポンチ 10MM [ 穴あけポンチ センターポンチ ベルト 穴開け 穴あけ機 diy 工具 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品Ｙ&minus;ＳＫ１１ 六角軸皮ポンチ 10MM [ 穴あけポンチ センターポンチ ベルト 穴開け 穴あけ機 diy 工具 作業工具 大工道具 通販 ],先端工具：木工ドリル：ＰＣ・ガラスドリル。Ｙ&minus;ＳＫ１１ 六角軸皮ポンチ 10MM [ 穴あけポンチ センターポンチ ベルト 穴開け 穴あけ機 diy 工具 作業工具 大工道具 通販 ][rn]
10-99569,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/08/4977292337533.jpg?fitin=700:700,688.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,Ｙ－ＳＫ１１ 六角軸皮ポンチ 12MM [ 穴あけポンチ センターポンチ ベルト 穴開け 穴あけ機 diy 工具 作業工具 大工道具 通販 ],先端工具：木工ドリル：ＰＣ・ガラスドリル,【用途】<br>皮・ゴム・ビニール・紙・石膏ボードへの穴あけに。<br><br>【機能・特徴】<br>電気ドリル・充電ドリル・インパクトドライバーで皮・ゴム・ビニール・紙・石膏ボードへの穴あけが出来ます。<br><br>【仕様】<br>●材質：SK-4材　軸径：6.35ｍｍ　六角軸。<br><br>【商品サイズ】奥行70×幅12×高さ12mm　重量40g<br><br>【注意事項・その他】<br>表面が硬い材料へは使用しないで下さい。水平に使用して下さい。<br><br>,Ｙ&minus;ＳＫ１１ 六角軸皮ポンチ 12MM [ 穴あけポンチ センターポンチ ベルト 穴開け 穴あけ機 diy 工具 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品Ｙ&minus;ＳＫ１１ 六角軸皮ポンチ 12MM [ 穴あけポンチ センターポンチ ベルト 穴開け 穴あけ機 diy 工具 作業工具 大工道具 通販 ],先端工具：木工ドリル：ＰＣ・ガラスドリル。Ｙ&minus;ＳＫ１１ 六角軸皮ポンチ 12MM [ 穴あけポンチ センターポンチ ベルト 穴開け 穴あけ機 diy 工具 作業工具 大工道具 通販 ][rn]
10-99570,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292326551.jpg?fitin=700:700,815.2000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ ショートブルポイント 17HX240MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ハツリ製品,【用途】<br>コンクリートのハツリ・破砕用に。<br><br>【機能・特徴】<br>使用機種/ハンマードリル。<br>ショートタイプで打撃力2倍（従来品280mm比較）。<br><br>【仕様】<br>●軸径：17H　全長：240mm　材質：SCM材（クロームモリブデン鋼）。<br><br>【商品サイズ】奥行260×幅25×高さ25mm　重量320g<br><br>【注意事項・その他】<br>必ず電動ハンマー（ハンマードリル）に取り付けて使用してください。<br><br>,ＳＫ１１ ショートブルポイント 17HX240MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ]：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ ショートブルポイント 17HX240MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ],先端工具：コンクリートドリル：ハツリ製品。ＳＫ１１ ショートブルポイント 17HX240MM [ ハンマードリル ドリルビット 穴あけドリル 電動工具 電動ドリル diy 切削工具 作業工具 大工道具 通販 ][rn]
10-99571,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292314077.jpg?fitin=700:700,1424.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ プラスブルポイント 17HX280MM,先端工具：コンクリートドリル：ハツリ製品,【用途】<br>コンクリートのハツリ作業に。<br><br>【機能・特徴】<br>仕事量1.4倍。<br>エッジの長さが12cmで従来品の3.5倍。<br>オフセット砥石で研磨可能。<br><br>【仕様】<br>●サイズ：17HX280MM。<br><br>【商品サイズ】奥行275×幅23×高さ23mm　重量340g<br><br>,ＳＫ１１ プラスブルポイント 17HX280MM：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ プラスブルポイント 17HX280MM,先端工具：コンクリートドリル：ハツリ製品。ＳＫ１１ プラスブルポイント 17HX280MM[rn]
10-99572,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292314084.jpg?fitin=700:700,1920.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ プラスブルポイント 17HX360MM,先端工具：コンクリートドリル：ハツリ製品,【用途】<br>コンクリートのハツリ作業に。<br><br>【機能・特徴】<br>仕事量1.4倍。<br>エッジの長さが12cmで従来品の3.5倍。<br>オフセット砥石で研磨可能。<br><br>【仕様】<br>●サイズ：17HX360MM。<br><br>【商品サイズ】奥行363×幅23×高さ23mm　重量500g<br><br>,ＳＫ１１ プラスブルポイント 17HX360MM：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ プラスブルポイント 17HX360MM,先端工具：コンクリートドリル：ハツリ製品。ＳＫ１１ プラスブルポイント 17HX360MM[rn]
10-99573,http://tshop.r10s.jp/select-tool/cabinet/fujiwara/07/4977292314091.jpg?fitin=700:700,2032.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,ＳＫ１１ プラスブルポイント 17HX450MM,先端工具：コンクリートドリル：ハツリ製品,【用途】<br>コンクリートのハツリ作業に。<br><br>【機能・特徴】<br>仕事量1.4倍。<br>エッジの長さが12cmで従来品の3.5倍。<br>オフセット砥石で研磨可能。<br><br>【仕様】<br>●サイズ：17HX450MM。<br><br>【商品サイズ】奥行447×幅20×高さ20mm　重量660g<br><br>,ＳＫ１１ プラスブルポイント 17HX450MM：DIYとプロの店 セレクトツール,除湿剤花粉フィルター金鎚（かなづち）安全用品ガーデニングDIY大工道具作業用品物干し防じんメガネ日曜大工手すりDIY 当日配送手すり　送料無料炭八　当日配送エクステリアガーデンファニチャー防災用品ＳＫ１１ プラスブルポイント 17HX450MM,先端工具：コンクリートドリル：ハツリ製品。ＳＫ１１ プラスブルポイント 17HX450MM[rn]
10-99574,http://tshop.r10s.jp/yminfo/cabinet/eigertool/sx5120.jpg?fitin=700:700,16381.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動ドライバー・電動ドリル > 電動ドリル・ドライバードリル,【smtb-TK】【頑張って送料無料！】ブラック＆デッカー12Vインパクトドリルドライバー SX-5120,インパクトドライバーのロングセラーモデル！,"【ここがポイント！】 
 インパクトブロックが反動のない高いトルクを発生。 
 
 超強力モーターと丈夫な遊星ギアボックスで耐久性と高いトルクを実現。 
 可変スピードにより思い通りにネジ締めが可能。日本人の手にフィットするように改良されたスリムグリップが優れた快適性と疲労軽減を実現 
 
 
 
　【商品詳細】 
電源 充電式 
電圧 12V  
バッテリー容量 1.2Ah  
最大締め付けトルク 120N/m  
スイッチタイプ 無段変速 
回転数（回転/分） 0-2,700 
打撃数（回/分） 0-2,950 
チャック能力 6.35mm  
チャックタイプ ワンタッチ 
充電時間 30分 
バッテリー種類 ニカド電池 
バッテリー数 2個 
最大能力ねじ締め 125ｍｍ 
普通ボルト M12 
最大作業量 φ4.1×38mm　約188本  
本体質量 1.56kg 
本体サイズ 159×70×235mm 
付属品 12Vスライド式充電池×2、急速充電器、
ツールボックス、#2両頭プラスビット",【smtb-TK】【頑張って送料無料！】ブラック＆デッカー12Vインパクトドリルドライバー SX-5120：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【smtb-TK】【頑張って送料無料！】ブラック＆デッカー12Vインパクトドリルドライバー SX-5120,インパクトドライバーのロングセラーモデル！。【smtb-TK】【頑張って送料無料！】ブラック＆デッカー12Vインパクトドリルドライバー SX-5120[rn]
