10-141201,,10444.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 溶接・熱工具 > 溶接機器,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1,工事用品\溶接用品\溶接遮光フェンス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接遮光フェンス用のフレームです。<br>●枠内寸法(横×高さ)(mm):1500×1500<br>●足形状:固定足<br>●適合シート:D15-3<br>●タイプ:単体型<br>●樹脂被覆スチールパイプフレーム<br>●フレーム径: ２８mm<br>",『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1,工事用品\溶接用品\溶接遮光フェンス。『カード対応OK！』■〒トラスコ中山（株）/ＴＲＵＳＣＯ【TF-1515K】(4875397)溶接フェンス用フレーム １５１５型 単体 固定足タイプ 受注単位1[rn]
10-141273,,38442.4000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-15A】(4314816)水用減圧弁 二次側圧力（Ａ） １５Ａ 受注単位1,工事用品\管工機材\バルブ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●接液部には耐食性材料（弁体ディスクFKM､ダイヤフラム・Oリングに耐塩素EPDM)を使用し、水道水に対する耐塩素性に優れています。<br>●密閉構造のため、万が一ダイヤフラムが破損しても水は外部に漏れません。<br>●水道法基準適合品です。<br>●適用流体：冷温水。<br>●工場設備やビル・マンション・ホテル。<br>●呼び径(A):15<br>●呼び径(B):1/2<br>●全長(mm):115<br>●高さ(mm):159.5<br>●最高温度(℃):5～90<br>●質量(kg):1.6<br>●一次側圧力:1.0MPa<br>●二次側圧力:0.05～0.35MPa<br>●最大減圧比:10:1<br>●最小差圧:0.05MPa<br>●接続方式:JIS Rc<br>●弁箱:青銅<br>●弁座:青銅<br>●弁体:ディスクＦＫＭ<br>●ダイヤフラム:耐塩素ＥＰＤＭ<br>●９０℃以上は使用不可<br>",『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-15A】(4314816)水用減圧弁 二次側圧力（Ａ） １５Ａ 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-15A】(4314816)水用減圧弁 二次側圧力（Ａ） １５Ａ 受注単位1,工事用品\管工機材\バルブ。『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-15A】(4314816)水用減圧弁 二次側圧力（Ａ） １５Ａ 受注単位1[rn]
10-141274,,2079.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-50A】(4445872)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７５ 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接性・強度に優れた鍛造製のフランジです。<br>●フランジシール両面（フランジフェイス両面）は、両面シール使用可能です。<br>●JISB2220に準拠しています。<br>●パイプの末端の閉止に。<br>●呼び径(A):50A<br>●外径(mm):155<br>●厚み(mm):16<br>●ボルト穴数:4<br>●ボルト穴径(mm):19<br>●呼び径(B):2<br>●使用圧力(k):10<br>●質量(ｋｇ):2.23<br>●ステンレス(ＳＵＳ304)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-50A】(4445872)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７５ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-50A】(4445872)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７５ 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-50A】(4445872)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７５ 受注単位1[rn]
10-141275,,2735.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-32X2M】(4547268)ＳＧＰ 白パイプ ねじ無し ３２Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般的に広く使用されている配管用の鋼管です。<br>●白管は黒管の内外面に溶融亜鉛めっきが均一にほどこされています。<br>●呼び径(A):32<br>●呼び径(B):1 1/4<br>●外径(mm):42.7<br>●長さ(m):2<br>●JIS G3442規格品<br>●配管用炭素鋼（ＳＧＰ）<br>",『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-32X2M】(4547268)ＳＧＰ 白パイプ ねじ無し ３２Ｘ２ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-32X2M】(4547268)ＳＧＰ 白パイプ ねじ無し ３２Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒新日鐵住金(株)/新日鐵住金【SGP-W-32X2M】(4547268)ＳＧＰ 白パイプ ねじ無し ３２Ｘ２ｍ 受注単位1[rn]
10-141276,,1025.6000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【B-TS-10S-15A】(4445732)同径チーズ Ｓ１０Ｓ ０９１０００６１ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●冷間曲げ加工、液圧成型法、板絞り加工法などで製造されており、ステンレス鋼管等と突合せ溶接することで永久的に配管接合することを目的としております。<br>●ステンレス製突合せ溶接管継手<br>●ガスプラント、製油所、石油化学、プラント、造船などの配管など。<br>●呼び径(A):15<br>●呼び径(B):1/2<br>●C(mm):25.4<br>●外径D(mm):21.7<br>●M(mm):25.4<br>●T(mm):2.1<br>●質量(ｋｇ):0.066<br>●適用規格：(エルボ、チーズ、レジューサー)JIS B2313、(キャップ)JIS B2312<br>●ステンレス(SUS304W)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【B-TS-10S-15A】(4445732)同径チーズ Ｓ１０Ｓ ０９１０００６１ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【B-TS-10S-15A】(4445732)同径チーズ Ｓ１０Ｓ ０９１０００６１ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒フローバル（株）/フローバル【B-TS-10S-15A】(4445732)同径チーズ Ｓ１０Ｓ ０９１０００６１ 受注単位1[rn]
10-141277,,1304.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【9320-1.5-FF-10K-100A】(4423275)ジャパンマテックス 高圧用ゴムガスケット（３ＭＰａ） 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●同材質のゴム製品に比べ、耐熱寿命に優れ、PTFE並みの電気絶縁性能がございます。<br>●一般産業用フランジガスケット、海水ラインの配管や機器用ガスケットなど。<br>●呼び径(A):100<br>●外径(mm):210<br>●厚み(mm):1.5<br>●内径(mm):115<br>●呼び径(B):4<br>●使用圧力(k):10<br>●穴数:8<br>●穴径(mm):19<br>●質量(ｇ):51<br>●使用温度範囲：-47～150℃<br>●圧力限界：3MPa<br>●指定寸法に合わせたガスケットも別途製作可能ですのでご相談下さい。<br>●ゴム(EPT)<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【9320-1.5-FF-10K-100A】(4423275)ジャパンマテックス 高圧用ゴムガスケット（３ＭＰａ） 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【9320-1.5-FF-10K-100A】(4423275)ジャパンマテックス 高圧用ゴムガスケット（３ＭＰａ） 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【9320-1.5-FF-10K-100A】(4423275)ジャパンマテックス 高圧用ゴムガスケット（３ＭＰａ） 受注単位1[rn]
10-141278,,2180.8000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【B-45EL-10S-100A】(4445287)４５°エルボ（ロング）Ｓ１０Ｓ ０９１０００２９ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●冷間曲げ加工、液圧成型法、板絞り加工法などで製造されており、ステンレス鋼管等と突合せ溶接することで永久的に配管接合することを目的としております。<br>●ステンレス製突合せ溶接管継手<br>●ガスプラント、製油所、石油化学、プラント、造船などの配管など。<br>●呼び径(A):100<br>●呼び径(B):4<br>●H(mm):63.1<br>●外径D(mm):114.3<br>●T(mm):3.0<br>●質量(ｋｇ):0.985<br>●適用規格：(エルボ、チーズ、レジューサー)JIS B2313、(キャップ)JIS B2312<br>●ステンレス(SUS304W)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【B-45EL-10S-100A】(4445287)４５&deg;エルボ（ロング）Ｓ１０Ｓ ０９１０００２９ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【B-45EL-10S-100A】(4445287)４５&deg;エルボ（ロング）Ｓ１０Ｓ ０９１０００２９ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒フローバル（株）/フローバル【B-45EL-10S-100A】(4445287)４５&deg;エルボ（ロング）Ｓ１０Ｓ ０９１０００２９ 受注単位1[rn]
10-141279,,724.8000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-25A】(4422732)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●気密性、耐圧性に優れております。<br>●表面に特殊処理を施す事により、フランジへの固着を大幅に軽減しております。<br>●ユニオン継手用ガスケット。<br>●呼び径(A):25<br>●外径(mm):48<br>●厚み(mm):1.5<br>●内径(mm):39<br>●呼び径(B):1<br>●規格:ユニオン<br>●質量(ｇ):1.5<br>●使用温度範囲：-240～420℃（蒸気：650℃まで）<br>●圧力限界：25MPa<br>●指定寸法に合わせたガスケットも別途製作可能ですのでご相談下さい。<br>●ガスケットが破損しやすくなりますので、ガスケットペーストを使用しないで下さい。<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-25A】(4422732)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-25A】(4422732)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-1.5-UNION-25A】(4422732)ジャパンマテックス 蒸気用ユニオンガスケット 受注単位1[rn]
10-141280,,731.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX20A】(4445601)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７６ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●冷間曲げ加工、液圧成型法、板絞り加工法などで製造されており、ステンレス鋼管等と突合せ溶接することで永久的に配管接合することを目的としております。<br>●ステンレス製突合せ溶接管継手<br>●ガスプラント、製油所、石油化学、プラント、造船などの配管など。<br>●呼び径(A):40A×20A<br>●呼び径(B):1 1/2×3/4<br>●H(mm):63.5<br>●外径D1×D2(mm):48.0×27.2<br>●T1(mm):2.8<br>●T2(mm):2.1<br>●質量(ｋｇ):0.156<br>●適用規格：(エルボ、チーズ、レジューサー)JIS B2313、(キャップ)JIS B2312<br>●ステンレス(SUS304W)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX20A】(4445601)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７６ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX20A】(4445601)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７６ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-40AX20A】(4445601)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１７６ 受注単位1[rn]
10-141281,,39803.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-20A】(4314824)水用減圧弁 二次側圧力（Ａ） ２０Ａ 受注単位1,工事用品\管工機材\バルブ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●接液部には耐食性材料（弁体ディスクFKM､ダイヤフラム・Oリングに耐塩素EPDM)を使用し、水道水に対する耐塩素性に優れています。<br>●密閉構造のため、万が一ダイヤフラムが破損しても水は外部に漏れません。<br>●水道法基準適合品です。<br>●適用流体：冷温水。<br>●工場設備やビル・マンション・ホテル。<br>●呼び径(A):20<br>●呼び径(B):3/4<br>●全長(mm):120<br>●高さ(mm):159.5<br>●最高温度(℃):5～90<br>●質量(kg):1.7<br>●一次側圧力:1.0MPa<br>●二次側圧力:0.05～0.35MPa<br>●最大減圧比:10:1<br>●最小差圧:0.05MPa<br>●接続方式:JIS Rc<br>●弁箱:青銅<br>●弁座:青銅<br>●弁体:ディスクＦＫＭ<br>●ダイヤフラム:耐塩素ＥＰＤＭ<br>●９０℃以上は使用不可<br>",『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-20A】(4314824)水用減圧弁 二次側圧力（Ａ） ２０Ａ 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-20A】(4314824)水用減圧弁 二次側圧力（Ａ） ２０Ａ 受注単位1,工事用品\管工機材\バルブ。『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-20A】(4314824)水用減圧弁 二次側圧力（Ａ） ２０Ａ 受注単位1[rn]
10-141282,,25628.8000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA5.5X80X2M】(4547373)ステンレス管 ５．５Ｘ８０Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般的に広く使用されている配管用のステンレス管です。<br>●呼び径(A):80<br>●呼び径(B):3<br>●外径(mm):89.1<br>●長さ(m):2<br>●JIS G3459規格品<br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA5.5X80X2M】(4547373)ステンレス管 ５．５Ｘ８０Ｘ２ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA5.5X80X2M】(4547373)ステンレス管 ５．５Ｘ８０Ｘ２ｍ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒日鉄住金ステンレス鋼管(株)/ＮＳＳＰ【SUS304TPA5.5X80X2M】(4547373)ステンレス管 ５．５Ｘ８０Ｘ２ｍ 受注単位1[rn]
10-141283,,1380.8000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-50A】(4446054)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５５８ 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接性・強度に優れた鍛造製のフランジです。<br>●フランジシール両面（フランジフェイス両面）は、両面シール使用可能です。<br>●JISB2220に準拠しています。<br>●パイプの末端の閉止に。<br>●呼び径(A):50A<br>●外径(mm):130<br>●厚み(mm):14<br>●ボルト穴数:4<br>●ボルト穴径(mm):15<br>●呼び径(B):2<br>●使用圧力(k):5<br>●質量(ｋｇ):1.38<br>●ステンレス(ＳＵＳ304)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-50A】(4446054)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５５８ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-50A】(4446054)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５５８ 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒フローバル（株）/フローバル【SUS-5K-BL-FF-50A】(4446054)ＳＵＳ３０４ ５Ｋ 閉止フランジ １４１００５５８ 受注単位1[rn]
10-141284,,5053.6000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-65A】(4422864)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●金属ガスケット並の耐圧性をもっており、短納期対応が可能です。<br>●表面に特殊処理を施す事により、フランジへの固着を大幅に軽減しております。<br>●一般産業用フランジガスケット、熱交換器、バルブボンネットなど。<br>●呼び径(A):65<br>●外径(mm):124<br>●厚み(mm):4<br>●内径(mm):84<br>●呼び径(B):2 1/2<br>●使用圧力(k):10<br>●使用圧力(K):10<br>●質量(ｇ):45<br>●使用温度範囲：-240～420℃（蒸気：650℃まで）<br>●圧力限界：25MPa<br>●指定寸法に合わせたガスケットも別途製作可能ですのでご相談下さい。<br>●ガスケットが破損しやすくなりますので、ガスケットペーストを使用しないで下さい。<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-65A】(4422864)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-65A】(4422864)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-65A】(4422864)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1[rn]
10-141285,,1282.4000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-80AX50A】(4445708)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１８６ 受注単位1,工事用品\管工機材\溶接継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●冷間曲げ加工、液圧成型法、板絞り加工法などで製造されており、ステンレス鋼管等と突合せ溶接することで永久的に配管接合することを目的としております。<br>●ステンレス製突合せ溶接管継手<br>●ガスプラント、製油所、石油化学、プラント、造船などの配管など。<br>●呼び径(A):80A×50A<br>●呼び径(B):3×2<br>●H(mm):88.9<br>●外径D1×D2(mm):89.1×60.5<br>●T1(mm):3.0<br>●T2(mm):2.8<br>●質量(ｋｇ):0.480<br>●適用規格：(エルボ、チーズ、レジューサー)JIS B2313、(キャップ)JIS B2312<br>●ステンレス(SUS304W)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-80AX50A】(4445708)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１８６ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-80AX50A】(4445708)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１８６ 受注単位1,工事用品\管工機材\溶接継手。『カード対応OK！』■〒フローバル（株）/フローバル【B-RC1-10S-80AX50A】(4445708)コンセントリック・レジューサー（同心）Ｓ１０Ｓ ０９１００１８６ 受注単位1[rn]
10-141286,,692.0000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-SOP-FF-20A】(4445929)ＳＵＳ３０４ １０Ｋ スリップオン溶接式フランジ １４１００５２０ 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接性・強度に優れた鍛造製のフランジです。<br>●フランジシール両面（フランジフェイス両面）は、両面シール使用可能です。<br>●JISB2220に準拠しています。<br>●パイプ同士の接続に。<br>●呼び径(A):20A<br>●外径(mm):100<br>●厚み(mm):14<br>●ボルト穴数:4<br>●ボルト穴径(mm):15<br>●内径(mm):27.7<br>●呼び径(B):3/4<br>●使用圧力(k):10<br>●質量(ｋｇ):0.72<br>●ステンレス(ＳＵＳ304)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-SOP-FF-20A】(4445929)ＳＵＳ３０４ １０Ｋ スリップオン溶接式フランジ １４１００５２０ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-SOP-FF-20A】(4445929)ＳＵＳ３０４ １０Ｋ スリップオン溶接式フランジ １４１００５２０ 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-SOP-FF-20A】(4445929)ＳＵＳ３０４ １０Ｋ スリップオン溶接式フランジ １４１００５２０ 受注単位1[rn]
10-141287,,4146.4000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-50A】(4422856)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●金属ガスケット並の耐圧性をもっており、短納期対応が可能です。<br>●表面に特殊処理を施す事により、フランジへの固着を大幅に軽減しております。<br>●一般産業用フランジガスケット、熱交換器、バルブボンネットなど。<br>●呼び径(A):50<br>●外径(mm):104<br>●厚み(mm):4<br>●内径(mm):61<br>●呼び径(B):2<br>●使用圧力(k):10<br>●使用圧力(K):10<br>●質量(ｇ):39<br>●使用温度範囲：-240～420℃（蒸気：650℃まで）<br>●圧力限界：25MPa<br>●指定寸法に合わせたガスケットも別途製作可能ですのでご相談下さい。<br>●ガスケットが破損しやすくなりますので、ガスケットペーストを使用しないで下さい。<br>",『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-50A】(4422856)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1：クローバー資材館,『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-50A】(4422856)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒ジャパンマテックス（株）/Ｍａｔｅｘ【1500-4.0-RF-10K-50A】(4422856)ジャパンマテックス 緊急用渦巻代替ガスケット 受注単位1[rn]
10-141288,,1667.2000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-40A】(4445864)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７４ 受注単位1,工事用品\管工機材\フランジ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接性・強度に優れた鍛造製のフランジです。<br>●フランジシール両面（フランジフェイス両面）は、両面シール使用可能です。<br>●JISB2220に準拠しています。<br>●パイプの末端の閉止に。<br>●呼び径(A):40A<br>●外径(mm):140<br>●厚み(mm):16<br>●ボルト穴数:4<br>●ボルト穴径(mm):19<br>●呼び径(B):1 1/2<br>●使用圧力(k):10<br>●質量(ｋｇ):1.79<br>●ステンレス(ＳＵＳ304)<br>",『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-40A】(4445864)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７４ 受注単位1：クローバー資材館,『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-40A】(4445864)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７４ 受注単位1,工事用品\管工機材\フランジ。『カード対応OK！』■〒フローバル（株）/フローバル【SUS-10K-BL-FF-40A】(4445864)ＳＵＳ３０４ １０Ｋ 閉止フランジ １４１００５７４ 受注単位1[rn]
10-141289,,62664.8000,,花・ガーデン・DIY > DIY・工具 > 配管工具,『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-40A】(4314859)水用減圧弁 二次側圧力（Ａ） ４０Ａ 受注単位1,工事用品\管工機材\バルブ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●接液部には耐食性材料（弁体ディスクFKM､ダイヤフラム・Oリングに耐塩素EPDM)を使用し、水道水に対する耐塩素性に優れています。<br>●密閉構造のため、万が一ダイヤフラムが破損しても水は外部に漏れません。<br>●水道法基準適合品です。<br>●適用流体：冷温水。<br>●工場設備やビル・マンション・ホテル。<br>●呼び径(A):40<br>●呼び径(B):1 1/2<br>●全長(mm):180<br>●高さ(mm):224<br>●最高温度(℃):5～90<br>●質量(kg):4.4<br>●一次側圧力:1.0MPa<br>●二次側圧力:0.05～0.35MPa<br>●最大減圧比:10:1<br>●最小差圧:0.05MPa<br>●接続方式:JIS Rc<br>●弁箱:青銅<br>●弁座:青銅<br>●弁体:ディスクＦＫＭ<br>●ダイヤフラム:耐塩素ＥＰＤＭ<br>●９０℃以上は使用不可<br>",『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-40A】(4314859)水用減圧弁 二次側圧力（Ａ） ４０Ａ 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-40A】(4314859)水用減圧弁 二次側圧力（Ａ） ４０Ａ 受注単位1,工事用品\管工機材\バルブ。『カード対応OK！』■〒（株）ヨシタケ/ヨシタケ【GD-26-NE-A-40A】(4314859)水用減圧弁 二次側圧力（Ａ） ４０Ａ 受注単位1[rn]
