10-22601,,114.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●被覆線ですのでサビず、相手側にキズをつけません。<br><br>●一般商品の収納の吊具として。物の吊り下げ、引っ掛けとして<br><br>●使用荷重(kN)：0.11<br>●S(mm)：38<br>●L(mm)：150<br>●D(mm)：5.0<br>●A(mm)：15<br>●質量(g)：22<br>●色：黒<br><br>●150mm<br>●黒<br><br>●塩ビ被覆線<br>",『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1：クローバー資材館,『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1,生産加工用品\建築金物\荷役金具。『カード対応OK！』■〒ニッサチェイン【A-825】(7561229) 塩ビ被覆線Ｓフック　黒　１５０ｍｍ（２個入り） 受注単位1[rn]
10-22673,,2196.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ダイケン/ダイケン ドアハンガー用品【N10-2TR】(7870281) ダイケン ドアハンガー ニュートン10ツール単車 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ベアリングを内蔵し、車の外周に樹脂を使用しているため、静かに軽く走行します。<br>
●胴体にバランサーが取り付けられるようになっていますので、エアツールや電動ツールを用いるのに適しています。<br>
●工具用バランサー等の吊り車<br>
●適用レール:N10-HR<br>
●耐荷重(kg/個):30<br>
●品名:ドアハンガー用ツール単車<br>
●耐荷重：30(kg/個)<br>
●スチール（SPHC）<br>
●樹脂<br>
●ニュートン10ハンガーレール専用です。",■〒ダイケン/ダイケン ドアハンガー用品【N10-2TR】(7870281) ダイケン ドアハンガー ニュートン10ツール単車 発注単位1：クローバー資材館,■〒ダイケン/ダイケン ドアハンガー用品【N10-2TR】(7870281) ダイケン ドアハンガー ニュートン10ツール単車 発注単位1,生産加工用品\建築金物。■〒ダイケン/ダイケン ドアハンガー用品【N10-2TR】(7870281) ダイケン ドアハンガー ニュートン10ツール単車 発注単位1[rn]
10-22674,,116.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L4S】(4972031) ジョイント金具１５型Ｌ　ＳＵＳ　３６Ｘ３６　穴数４ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●生活用品の連結金具としても幅広く活用でき、大工作業や補強金具としても定番アイテムです。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：4<br>●穴ピッチ(mm)：12.5<br>●幅W(mm)：15<br>●長さL1(mm)：36<br>●長さL2(mm)：36<br><br>●穴ピッチ：12.5mm<br><br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L4S】(4972031) ジョイント金具１５型Ｌ　ＳＵＳ　３６Ｘ３６　穴数４ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L4S】(4972031) ジョイント金具１５型Ｌ　ＳＵＳ　３６Ｘ３６　穴数４ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L4S】(4972031) ジョイント金具１５型Ｌ　ＳＵＳ　３６Ｘ３６　穴数４ 受注単位1[rn]
10-22675,,190.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2AS】(4972279) ジョイント金具４５型Ｌ　ＳＵＳ　３７Ｘ３７ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●生活用品の連結金具としても幅広く活用でき、大工作業や補強金具としても定番アイテムです。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：10<br>●穴ピッチ(mm)：25<br>●質量(g)：42.0<br>●幅W(mm)：45<br>●長さL1(mm)：37<br>●長さL2(mm)：37<br><br>●長穴径8×15mm<br><br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2AS】(4972279) ジョイント金具４５型Ｌ　ＳＵＳ　３７Ｘ３７ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2AS】(4972279) ジョイント金具４５型Ｌ　ＳＵＳ　３７Ｘ３７ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK45-L2AS】(4972279) ジョイント金具４５型Ｌ　ＳＵＳ　３７Ｘ３７ 受注単位1[rn]
10-22676,,127.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L8ACP】(4972023) ジョイント金具１５型Ｌ　黒　１６１Ｘ３６　穴数８ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●生活用品の連結金具としても幅広く活用でき、大工作業や補強金具としても定番アイテムです。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：8<br>●穴ピッチ(mm)：12.5<br>●幅W(mm)：15<br>●長さL1(mm)：161<br>●長さL2(mm)：36<br><br>●穴ピッチ：12.5mm<br><br>●スチール<br>●表面処理：カチオン電着塗装<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L8ACP】(4972023) ジョイント金具１５型Ｌ　黒　１６１Ｘ３６　穴数８ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L8ACP】(4972023) ジョイント金具１５型Ｌ　黒　１６１Ｘ３６　穴数８ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-L8ACP】(4972023) ジョイント金具１５型Ｌ　黒　１６１Ｘ３６　穴数８ 受注単位1[rn]
10-22677,,3674.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRGOI12.0】(8191984) ＰＥＧＵＥＴ ＭＲ クイックリンク ステンレス製 ラージオープン 12．0mm 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●スムーズなナットで、簡単に開閉でき、ロープなどとしっかり繋ぐことができます。<br>
●開口部が大きく開きます。<br>
●EN規格品なので、安心して作業できます。<br>
●チェーンなどの取り付け、ジョイント金具として。<br>
●D(mm):12<br>
●S(mm):23.5<br>
●L(mm):100<br>
●E(mm):15<br>
●使用荷重(kN):2200<br>
●B1(mm):23.5<br>
●EN362<br>
●EN12275<br>
●タイプ:ラージオープン型<br>
●ステンレス（ＡＩＳＩ316L）",■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRGOI12.0】(8191984) ＰＥＧＵＥＴ ＭＲ クイックリンク ステンレス製 ラージオープン 12．0mm 発注単位1：クローバー資材館,■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRGOI12.0】(8191984) ＰＥＧＵＥＴ ＭＲ クイックリンク ステンレス製 ラージオープン 12．0mm 発注単位1,生産加工用品\建築金物。■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRGOI12.0】(8191984) ＰＥＧＵＥＴ ＭＲ クイックリンク ステンレス製 ラージオープン 12．0mm 発注単位1[rn]
10-22678,,424.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L10S】(4972228) ジョイント金具２５型Ｌ　ＳＵＳ　１９９Ｘ９９ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●機器取り付けの際あらかじめ仮付けしてからでも、調整・微調整が簡単にできます。<br>●ドライバー1本で伸縮自在の調整が可能です。<br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：3<br>●穴径(mm)：8<br>●穴数：34<br>●穴ピッチ(mm)：25<br>●質量(g)：125.2<br>●幅W(mm)：25<br>●長さL1(mm)：199<br>●長さL2(mm)：99<br><br>●長穴径：8×16mm<br><br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L10S】(4972228) ジョイント金具２５型Ｌ　ＳＵＳ　１９９Ｘ９９ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L10S】(4972228) ジョイント金具２５型Ｌ　ＳＵＳ　１９９Ｘ９９ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK25-L10S】(4972228) ジョイント金具２５型Ｌ　ＳＵＳ　１９９Ｘ９９ 受注単位1[rn]
10-22679,,639.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒スガツネ工業/スガツネ工業 部品【KMS-4-1000】(7777990) スガツネ工業 強力マグネットキャッチ ラバータイプ (140－059－453) 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●簡単に切断でき、お好みの長さで使用いただけます。<br>
●裏面に粘着剤が付いているため、取り付けが簡単です。<br>
●全長(mm):1000<br>
●幅(mm):12.7<br>
●厚み(mm):1.5<br>
●吸着力(N/cm[[の2乗]]):0.931<br>
●フェライト/塩素化ポリエチレン(CPE)<br>
●吸着力にはばらつきがあります。<br>
●屋外では使用できません。<br>
●蒸気や熱湯及び水などがかかる状態では使用しないでください。<br>
●本品を使用して破損しやすいものや重量物を垂直な場所に取付けないで下さい。",■〒スガツネ工業/スガツネ工業 部品【KMS-4-1000】(7777990) スガツネ工業 強力マグネットキャッチ ラバータイプ (140&minus;059&minus;453) 発注単位1：クローバー資材館,■〒スガツネ工業/スガツネ工業 部品【KMS-4-1000】(7777990) スガツネ工業 強力マグネットキャッチ ラバータイプ (140&minus;059&minus;453) 発注単位1,生産加工用品\建築金物。■〒スガツネ工業/スガツネ工業 部品【KMS-4-1000】(7777990) スガツネ工業 強力マグネットキャッチ ラバータイプ (140&minus;059&minus;453) 発注単位1[rn]
10-22680,,136.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F4S】(4971957) ジョイント金具１５型フラット　ＳＵＳ　長さ９４　穴数４ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：4<br>●穴ピッチ(mm)：25<br>●質量(g)：18.6<br>●幅W(mm)：15<br>●長さL1(mm)：94<br><br>●穴ピッチ：25mm<br><br>●ステンレス(SUS304)<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F4S】(4971957) ジョイント金具１５型フラット　ＳＵＳ　長さ９４　穴数４ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F4S】(4971957) ジョイント金具１５型フラット　ＳＵＳ　長さ９４　穴数４ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F4S】(4971957) ジョイント金具１５型フラット　ＳＵＳ　長さ９４　穴数４ 受注単位1[rn]
10-22681,,6870.4000,,花・ガーデン・DIY > DIY・工具 > その他,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【JWM-9S30】(7599528) ＪＩＳ規格品メッキ付ワイヤロープ　（６Ｘ２４）Φ９ｍｍＸ３０ｍ 受注単位1,生産加工用品\建築金物\ワイヤ・スリーブ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＪＩＳ規格品ワイヤロープです。<br>●玉掛けワイヤの製作等にもご使用頂けます。<br>●メッキ付のため、耐食性にも優れています。<br><br>●船舶、漁業、土木建築他。<br><br>●ロープ径(mm)：9<br>●長さ(m)：30<br>●使用荷重(kg)：630<br>●使用荷重(kN)：6.18<br><br>●JIS G3525 規格適合品<br><br>●炭素鋼<br>",【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【JWM-9S30】(7599528) ＪＩＳ規格品メッキ付ワイヤロープ　（６Ｘ２４）Φ９ｍｍＸ３０ｍ 受注単位1：クローバー資材館,【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【JWM-9S30】(7599528) ＪＩＳ規格品メッキ付ワイヤロープ　（６Ｘ２４）Φ９ｍｍＸ３０ｍ 受注単位1,生産加工用品\建築金物\ワイヤ・スリーブ。【カード対応OK！】■〒トラスコ中山/ＴＲＵＳＣＯ【JWM-9S30】(7599528) ＪＩＳ規格品メッキ付ワイヤロープ　（６Ｘ２４）Φ９ｍｍＸ３０ｍ 受注単位1[rn]
10-22682,,132.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F12CP】(4971949) ジョイント金具１５型フラット　黒　長さ２９４　穴数１２ 受注単位1,生産加工用品\建築金物\ジョイント金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●手軽で多彩な組み合わせができる部材です。<br><br>●連結金具。<br><br>●板厚(mm)：2<br>●穴径(mm)：4<br>●穴数：12<br>●穴ピッチ(mm)：25<br>●質量(g)：63.5<br>●幅W(mm)：15<br>●長さL1(mm)：294<br><br>●穴ピッチ：25mm<br><br>●スチール<br>●表面処理：カチオン電着塗装<br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F12CP】(4971949) ジョイント金具１５型フラット　黒　長さ２９４　穴数１２ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F12CP】(4971949) ジョイント金具１５型フラット　黒　長さ２９４　穴数１２ 受注単位1,生産加工用品\建築金物\ジョイント金具。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK15-F12CP】(4971949) ジョイント金具１５型フラット　黒　長さ２９４　穴数１２ 受注単位1[rn]
10-22683,,512.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｉ【TKH-6NS】(8191392) ＴＲＵＳＣＯ 国産カラビナハーケン ＮＳ型 スチール製 6Ｘ60mm 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●国内製造の高品質なカラビナです。<br>
●手作業で最終調整をしているので、滑らかな開閉を実現しています。<br>
●素手にも優しいニッケルメッキ仕上げです。<br>
●アルミ合金製に比べて耐摩耗性に優れています。<br>
●チェーン・ワイヤ・ロープなどの連結用フックとして。端末の金具のジョイントに。<br>
●d(mm):6<br>
●W(mm):31<br>
●L(mm):60<br>
●r(mm):4.5<br>
●m(mm):8<br>
●使用荷重（kN):0.25<br>
●スチール<br>
●表面処理:ニッケルメッキ仕上げ<br>
●身体の確保に直接使用しないでください。",■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｉ【TKH-6NS】(8191392) ＴＲＵＳＣＯ 国産カラビナハーケン ＮＳ型 スチール製 6Ｘ60mm 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｉ【TKH-6NS】(8191392) ＴＲＵＳＣＯ 国産カラビナハーケン ＮＳ型 スチール製 6Ｘ60mm 発注単位1,生産加工用品\建築金物。■〒トラスコ中山/ＴＲＵＳＣＯ 荷役金具Ｉ【TKH-6NS】(8191392) ＴＲＵＳＣＯ 国産カラビナハーケン ＮＳ型 スチール製 6Ｘ60mm 発注単位1[rn]
10-22684,,231.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒光/光 金物【PBST-2】(7806728) 光 パンチングボード 止め具 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ボードを取り外す際、抜き穴が目立ちません。<br>
●パンチングボードの石膏ボードへの固定に。<br>
●幅(mm):25.4<br>
●長さ(mm):25.4<br>
●ねじ穴ピッチ(mm):5<br>
●耐荷重(N/kgf):20<br>
●色:白<br>
●キャップ色:白<br>
●品名:石膏ボード用止め具<br>
●クギ固定式<br>
●本体:ABS<br>
●キャップ・ワッシャー:ＰＰ<br>
●石膏クギ:ステンレス<br>
●ビス:鉄、ユニクロメッキ<br>
●止め具は6～8個の使用を推奨しています。",■〒光/光 金物【PBST-2】(7806728) 光 パンチングボード 止め具 発注単位1：クローバー資材館,■〒光/光 金物【PBST-2】(7806728) 光 パンチングボード 止め具 発注単位1,生産加工用品\建築金物。■〒光/光 金物【PBST-2】(7806728) 光 パンチングボード 止め具 発注単位1[rn]
10-22685,,645.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒カーボーイ/カーボーイ 安全用品【571】(7777400) カーボーイ 痛クナイゾ Ｍ 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●柔らかい発泡材を使用しているので、万が一ぶつかった時も衝撃をやわらげて、怪我から守ります。<br>
●自由な長さにカットして使用することもできます。<br>
●床の段差を解消するスロープです。<br>
●木目柄のため廊下やフローリングにしようしても見た目を損ないません。<br>
●床の段差解消に。<br>
●全長(mm):900<br>
●高さ(mm):20<br>
●奥行(mm):50<br>
●取付方法:貼付タイプ(裏面両面テープ付)<br>
●EVA樹脂",■〒カーボーイ/カーボーイ 安全用品【571】(7777400) カーボーイ 痛クナイゾ Ｍ 発注単位1：クローバー資材館,■〒カーボーイ/カーボーイ 安全用品【571】(7777400) カーボーイ 痛クナイゾ Ｍ 発注単位1,生産加工用品\建築金物。■〒カーボーイ/カーボーイ 安全用品【571】(7777400) カーボーイ 痛クナイゾ Ｍ 発注単位1[rn]
10-22686,,172.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRNZ04.0】(8191932) ＰＥＧＵＥＴ ＭＲ クイックリンク スチール製 オーバル 4．0mm 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●スムーズなナットで、簡単に開閉でき、ロープなどとしっかり繋ぐことができます。<br>
●EN規格品なので、安心して作業できます。<br>
●チェーンなどの取り付け、ジョイント金具として。<br>
●D(mm):4<br>
●S(mm):5.5<br>
●L(mm):31.5<br>
●E(mm):6<br>
●使用荷重(kN):180<br>
●B1(mm):11.5<br>
●EN362<br>
●EN12275<br>
●タイプ:オーバルシェイプ型<br>
●スチール<br>
●表面処理:亜鉛メッキ仕上げ",■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRNZ04.0】(8191932) ＰＥＧＵＥＴ ＭＲ クイックリンク スチール製 オーバル 4．0mm 発注単位1：クローバー資材館,■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRNZ04.0】(8191932) ＰＥＧＵＥＴ ＭＲ クイックリンク スチール製 オーバル 4．0mm 発注単位1,生産加工用品\建築金物。■〒ＰＥＧＵＥＴ社/ＰＥＧＵＥＴ 荷役金具【MRNZ04.0】(8191932) ＰＥＧＵＥＴ ＭＲ クイックリンク スチール製 オーバル 4．0mm 発注単位1[rn]
10-22687,,163.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ニッサチェイン/ニッサチェイン スリング【K-108】(7886527) ニッサチェイン フリーチェイン クローム2．6×450mm 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●切断済チェーンで両端に溶接リングが付いたタイプです。<br>
●連結部品。<br>
●盗難防止。<br>
●転倒防止。<br>
●全長(mm):450<br>
●チェーン径(mm):2.6<br>
●線径d(mm):2.6<br>
●内長P(mm):13.2<br>
●内幅W(mm):6.4<br>
●使用荷重(kN):0.58<br>
●スチール（SWRM）<br>
●表面処理:代用クローム",■〒ニッサチェイン/ニッサチェイン スリング【K-108】(7886527) ニッサチェイン フリーチェイン クローム2．6&times;450mm 発注単位1：クローバー資材館,■〒ニッサチェイン/ニッサチェイン スリング【K-108】(7886527) ニッサチェイン フリーチェイン クローム2．6&times;450mm 発注単位1,生産加工用品\建築金物。■〒ニッサチェイン/ニッサチェイン スリング【K-108】(7886527) ニッサチェイン フリーチェイン クローム2．6&times;450mm 発注単位1[rn]
10-22688,,1209.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日動電工/日動電工 電設資材【BRC100W-T】(8195887) 日動電工 ベンチレーターキャップφ100(ホワイト) 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●耐候性に優れたＡＳＡ樹脂を使用し、防虫網も取り外し簡単でメンテナンスも楽です。<br>
●ＡＳＡ樹脂で耐候性良く、カラーも多いです。<br>
●室内の換気のために。<br>
●A(mm):94<br>
●B(mm):65<br>
●C(mm):29<br>
●D(mm):98<br>
●E(mm):130<br>
●色:ホワイト<br>
●A(mm):94<br>
●Ｂ(mm):65<br>
●C(mm):29<br>
●D(mm):98<br>
●E(mm):130<br>
●色:ホワイト<br>
●本体:ASA樹脂<br>
●防虫網:ステンレス(SUS304)",■〒日動電工/日動電工 電設資材【BRC100W-T】(8195887) 日動電工 ベンチレーターキャップφ100(ホワイト) 発注単位1：クローバー資材館,■〒日動電工/日動電工 電設資材【BRC100W-T】(8195887) 日動電工 ベンチレーターキャップφ100(ホワイト) 発注単位1,生産加工用品\建築金物。■〒日動電工/日動電工 電設資材【BRC100W-T】(8195887) 日動電工 ベンチレーターキャップφ100(ホワイト) 発注単位1[rn]
10-22689,,3492.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒和気産業/ＷＡＫＩ 金物【EMP008】(8190057) ＷＡＫＩ メッシュパネル 900Ｘ1200mm 黒 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●物を引っ掛けて置けるメッシュパネルです。<br>
●壁に穴をあけずに空間収納ができます。<br>
●フックと併せて工具やメジャーの収納に。<br>
●幅(mm):900<br>
●高さ(mm):1200<br>
●厚み(mm):6<br>
●色:黒<br>
●耐荷重：１０ｋｇ<br>
●スチール（エポキシ粉体塗装）<br>
●外枠：φ６ｍｍ<br>
●ネット部：φ３ｍｍ<br>
●取り付け方により耐荷重は変わります。",■〒和気産業/ＷＡＫＩ 金物【EMP008】(8190057) ＷＡＫＩ メッシュパネル 900Ｘ1200mm 黒 発注単位1：クローバー資材館,■〒和気産業/ＷＡＫＩ 金物【EMP008】(8190057) ＷＡＫＩ メッシュパネル 900Ｘ1200mm 黒 発注単位1,生産加工用品\建築金物。■〒和気産業/ＷＡＫＩ 金物【EMP008】(8190057) ＷＡＫＩ メッシュパネル 900Ｘ1200mm 黒 発注単位1[rn]
10-22690,,19872.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒スガツネ工業/スガツネ工業 部品【HH-M200】(5841801) スガツネ工業 ステンレス製堀込メガ取手(100ー012ー306) 発注単位1,生産加工用品\建築金物,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●厚手の工業用手袋をしていても簡単に握れるサイズです。<br>
●耐荷重が大きいため取手としてだけでなく、人が足を掛けても壊れない頑丈設計です。<br>
●製品本体からバー部分の出っ張りが無いため邪魔になりません。<br>
●特殊車両、コンテナ、大型扉、船舶など。<br>
●幅(mm):260<br>
●奥行(mm):81.4<br>
●高さ(mm):186.3<br>
●穴径(mm):6.5<br>
●取付ピッチ(mm):87.5<br>
●バー・カップ：ステンレス鋼（SUS304）<br>
●キャップ：ステンレス鋼（SCS13)<br>
●十字穴付きトラス小ねじM6×16、フランジ付ナットM6<br>
●耐荷重は取手そのものの強度を表す値で、取り付ける壁面や筐体の材質などにより異なります。十分な強度のある場所や補強のの施された場所に取り付けて下さい。",■〒スガツネ工業/スガツネ工業 部品【HH-M200】(5841801) スガツネ工業 ステンレス製堀込メガ取手(100ー012ー306) 発注単位1：クローバー資材館,■〒スガツネ工業/スガツネ工業 部品【HH-M200】(5841801) スガツネ工業 ステンレス製堀込メガ取手(100ー012ー306) 発注単位1,生産加工用品\建築金物。■〒スガツネ工業/スガツネ工業 部品【HH-M200】(5841801) スガツネ工業 ステンレス製堀込メガ取手(100ー012ー306) 発注単位1[rn]
10-22691,,138.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スガツネ工業【NF-50D】(4973861) ＮＦ－６０Ｄ用ブラケット（１１０－０２４－５９９） 受注単位1,生産加工用品\建築金物\吊金具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●NF-60D用ブラケットです。<br><br><br>●適応板厚(mm)：0.8～1.6<br>●適合フック：NF-60D<br>●質量(g)：25<br><br><br>●鋼<br>",『カード対応OK！』■〒スガツネ工業【NF-50D】(4973861) ＮＦ&minus;６０Ｄ用ブラケット（１１０&minus;０２４&minus;５９９） 受注単位1：クローバー資材館,『カード対応OK！』■〒スガツネ工業【NF-50D】(4973861) ＮＦ&minus;６０Ｄ用ブラケット（１１０&minus;０２４&minus;５９９） 受注単位1,生産加工用品\建築金物\吊金具。『カード対応OK！』■〒スガツネ工業【NF-50D】(4973861) ＮＦ&minus;６０Ｄ用ブラケット（１１０&minus;０２４&minus;５９９） 受注単位1[rn]
