10-24101,,5457.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\冷却装置,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br><br><font size=""4"" color=""""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br>●全長(mm):600<br>●質量(g):429<br>●先端内径:3mm<br>●100mm単位加工<br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\冷却装置。『カード対応OK！』##&forall;■〒旭精工/旭精工 【S-306】(4807073)３方口吹管６００ＭＭ 受注単位1[rn]
10-24171,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811233.jpg?fitin=700:700,2505.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スタック・アンド・オプティー/スタック　コンパクト除電ブラシ（アルミボ【STAC33】(2915481) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策ブラシ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●自己放電力を有する40デニールの極細繊維になっているので傷をつけず除電とホコリ除去ができます。<br>●柄がアルミ製ですので本体アース効果があります。",『カード対応OK！』■〒スタック・アンド・オプティー/スタック　コンパクト除電ブラシ（アルミボ【STAC33】(2915481) 受注単位：1：クローバー資材館,『カード対応OK！』■〒スタック・アンド・オプティー/スタック　コンパクト除電ブラシ（アルミボ【STAC33】(2915481) 受注単位：1,生産加工用品\はんだ・静電気対策用品\静電気対策ブラシ。『カード対応OK！』■〒スタック・アンド・オプティー/スタック　コンパクト除電ブラシ（アルミボ【STAC33】(2915481) 受注単位：1[rn]
10-24172,,4014.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工【S-206】(4807006) ２方口吹管６００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br><br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br><br>●全長(mm)：600<br>●質量(g)：286<br><br>●先端内径：3mm<br>●100mm単位加工<br><br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工【S-206】(4807006) ２方口吹管６００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工【S-206】(4807006) ２方口吹管６００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置。『カード対応OK！』##&forall;■〒旭精工【S-206】(4807006) ２方口吹管６００ＭＭ 受注単位1[rn]
10-24173,,3810.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工【S-205】(4806999) ２方口吹管５００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br><br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br><br>●全長(mm)：500<br>●質量(g)：250<br><br>●先端内径：3mm<br>●100mm単位加工<br><br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工【S-205】(4806999) ２方口吹管５００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工【S-205】(4806999) ２方口吹管５００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置。『カード対応OK！』##&forall;■〒旭精工【S-205】(4806999) ２方口吹管５００ＭＭ 受注単位1[rn]
10-24174,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003822964.jpg?fitin=700:700,340.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅３．０ｍｍ長２ｍ【CP-30Y】(3642097) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●精密機器にも安心してご使用になれます。ステンレス口金付です。<br>●ディスペンスケース入りで持ちやすく、指先も熱くなりません。",『カード対応OK！』■〒太洋電機産業/グット　吸取線幅３．０ｍｍ長２ｍ【CP-30Y】(3642097) 受注単位：1：クローバー資材館,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅３．０ｍｍ長２ｍ【CP-30Y】(3642097) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器。『カード対応OK！』■〒太洋電機産業/グット　吸取線幅３．０ｍｍ長２ｍ【CP-30Y】(3642097) 受注単位：1[rn]
10-24175,,6464.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工【S-307】(4807081) ３方口吹管７００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br><br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br><br>●全長(mm)：700<br>●質量(g)：483<br><br>●先端内径：3mm<br>●100mm単位加工<br><br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工【S-307】(4807081) ３方口吹管７００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工【S-307】(4807081) ３方口吹管７００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置。『カード対応OK！』##&forall;■〒旭精工【S-307】(4807081) ３方口吹管７００ＭＭ 受注単位1[rn]
10-24176,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002846651.jpg?fitin=700:700,202.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　ウィック　アンフラックス　１．５ＭＸ１．９ｍｍ【FR110-03】(2977401) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●フラックスの入っていないタイプです。",『カード対応OK！』■〒白光/白光　ウィック　アンフラックス　１．５ＭＸ１．９ｍｍ【FR110-03】(2977401) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　ウィック　アンフラックス　１．５ＭＸ１．９ｍｍ【FR110-03】(2977401) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器。『カード対応OK！』■〒白光/白光　ウィック　アンフラックス　１．５ＭＸ１．９ｍｍ【FR110-03】(2977401) 受注単位：1[rn]
10-24177,,4422.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工【S-208】(4807022) ２方口吹管８００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br><br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br><br>●全長(mm)：800<br>●質量(g)：358<br><br>●先端内径：3mm<br>●100mm単位加工<br><br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工【S-208】(4807022) ２方口吹管８００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工【S-208】(4807022) ２方口吹管８００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置。『カード対応OK！』##&forall;■〒旭精工【S-208】(4807022) ２方口吹管８００ＭＭ 受注単位1[rn]
10-24178,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004413761.jpg?fitin=700:700,4052.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　ノズル　１．３ｍｍ【N1-13】(4003861) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒白光/白光　ノズル　１．３ｍｍ【N1-13】(4003861) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　ノズル　１．３ｍｍ【N1-13】(4003861) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器。『カード対応OK！』■〒白光/白光　ノズル　１．３ｍｍ【N1-13】(4003861) 受注単位：1[rn]
10-24179,,3402.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工【S-203】(4806981) ２方口吹管３００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br><br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br><br>●全長(mm)：300<br>●質量(g)：178<br><br>●先端内径：3mm<br>●100mm単位加工<br><br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工【S-203】(4806981) ２方口吹管３００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工【S-203】(4806981) ２方口吹管３００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置。『カード対応OK！』##&forall;■〒旭精工【S-203】(4806981) ２方口吹管３００ＭＭ 受注単位1[rn]
10-24180,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002811438.jpg?fitin=700:700,209.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒白光/白光　ハッコーウィック　ノークリーン　１．５ＭＸ０．６ｍｍ【FR120-00】(2977435) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ケースが静電気対策になっています。<br>●無洗浄タイプのフラックス入りです。",『カード対応OK！』■〒白光/白光　ハッコーウィック　ノークリーン　１．５ＭＸ０．６ｍｍ【FR120-00】(2977435) 受注単位：1：クローバー資材館,『カード対応OK！』■〒白光/白光　ハッコーウィック　ノークリーン　１．５ＭＸ０．６ｍｍ【FR120-00】(2977435) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器。『カード対応OK！』■〒白光/白光　ハッコーウィック　ノークリーン　１．５ＭＸ０．６ｍｍ【FR120-00】(2977435) 受注単位：1[rn]
10-24181,,7144.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工【S-309】(4807103) ３方口吹管９００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br><br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br><br>●全長(mm)：900<br>●質量(g)：591<br><br>●先端内径：3mm<br>●100mm単位加工<br><br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工【S-309】(4807103) ３方口吹管９００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工【S-309】(4807103) ３方口吹管９００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置。『カード対応OK！』##&forall;■〒旭精工【S-309】(4807103) ３方口吹管９００ＭＭ 受注単位1[rn]
10-24182,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003822965.jpg?fitin=700:700,182.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．０ｍｍ長１．５ｍ【CP-2015】(3642046) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●銅の編組線に非塩素系の特殊フラックスをしみこませたはんだ吸取線です。",『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．０ｍｍ長１．５ｍ【CP-2015】(3642046) 受注単位：1：クローバー資材館,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．０ｍｍ長１．５ｍ【CP-2015】(3642046) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器。『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．０ｍｍ長１．５ｍ【CP-2015】(3642046) 受注単位：1[rn]
10-24183,,4218.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工【S-207】(4807014) ２方口吹管７００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br><br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br><br>●全長(mm)：700<br>●質量(g)：322<br><br>●先端内径：3mm<br>●100mm単位加工<br><br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工【S-207】(4807014) ２方口吹管７００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工【S-207】(4807014) ２方口吹管７００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置。『カード対応OK！』##&forall;■〒旭精工【S-207】(4807014) ２方口吹管７００ＭＭ 受注単位1[rn]
10-24184,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003822965.jpg?fitin=700:700,182.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．５ｍｍ長１．５ｍ【CP-2515】(3642062) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●銅の編組線に非塩素系の特殊フラックスをしみこませたはんだ吸取線です。",『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．５ｍｍ長１．５ｍ【CP-2515】(3642062) 受注単位：1：クローバー資材館,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．５ｍｍ長１．５ｍ【CP-2515】(3642062) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器。『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．５ｍｍ長１．５ｍ【CP-2515】(3642062) 受注単位：1[rn]
10-24185,,8845.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工【S-407】(4807162) ４方口吹管７００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br><br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br><br>●全長(mm)：700<br>●質量(g)：644<br><br>●先端内径：3mm<br>●100mm単位加工<br><br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工【S-407】(4807162) ４方口吹管７００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工【S-407】(4807162) ４方口吹管７００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置。『カード対応OK！』##&forall;■〒旭精工【S-407】(4807162) ４方口吹管７００ＭＭ 受注単位1[rn]
10-24186,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003822964.jpg?fitin=700:700,340.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．０ｍｍ長２ｍ【CP-20Y】(3642054) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●精密機器にも安心してご使用になれます。ステンレス口金付です。<br>●ディスペンスケース入りで持ちやすく、指先も熱くなりません。",『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．０ｍｍ長２ｍ【CP-20Y】(3642054) 受注単位：1：クローバー資材館,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．０ｍｍ長２ｍ【CP-20Y】(3642054) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器。『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．０ｍｍ長２ｍ【CP-20Y】(3642054) 受注単位：1[rn]
10-24187,,6804.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒旭精工【S-308】(4807090) ３方口吹管８００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●四軸分岐800m/m迄の能力としております。<br>●吹管は用途が非常に多岐に渉りますので、別注付属品として扱っております。吹管ノズルは３φ孔を採用しておりますが、無孔のノズル先を取り寄せることによりユーザーに任意の孔径のノズルに交換できます。<br><br>●多軸ボール盤、多軸タッピングまたはオイルジェッター１台から数台の機械への分岐に。<br><br>●全長(mm)：800<br>●質量(g)：537<br><br>●先端内径：3mm<br>●100mm単位加工<br><br>●銅管<br>",『カード対応OK！』##&forall;■〒旭精工【S-308】(4807090) ３方口吹管８００ＭＭ 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒旭精工【S-308】(4807090) ３方口吹管８００ＭＭ 受注単位1,生産加工用品\ツーリング・治工具\オイル噴射装置。『カード対応OK！』##&forall;■〒旭精工【S-308】(4807090) ３方口吹管８００ＭＭ 受注単位1[rn]
10-24188,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005150091.jpg?fitin=700:700,2016.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ハンダ吸取器／アトラクター【SS-02】(3688534) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端ノズルのランニングコストが低いです。<br>●新型ピストン機構採用により吸引力がアップしました。<br>●耐食性に優れたオールアルマイト仕上げです。<br>●先端は対象物を傷つけない耐熱性シリコンチューブです。<br>●片手で簡単連続作業が可能です。<br>●クリーナーシャフトによる自動排出機能です。",『カード対応OK！』■〒エンジニア/エンジニア　ハンダ吸取器／アトラクター【SS-02】(3688534) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ハンダ吸取器／アトラクター【SS-02】(3688534) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器。『カード対応OK！』■〒エンジニア/エンジニア　ハンダ吸取器／アトラクター【SS-02】(3688534) 受注単位：1[rn]
10-24189,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005150084.jpg?fitin=700:700,1836.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒エンジニア/エンジニア　ハンダ吸取器／アトラクター【SS-01】(3688526) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●溶融したはんだを強力な吸引力で吸い取るアルミボディーの高性能はんだ吸取器です。<br>●ノズルの掃除が自動的に行われるクリーナーシャフト付で、連続作業でもはんだの目づまりがなく作業性が向上します。",『カード対応OK！』■〒エンジニア/エンジニア　ハンダ吸取器／アトラクター【SS-01】(3688526) 受注単位：1：クローバー資材館,『カード対応OK！』■〒エンジニア/エンジニア　ハンダ吸取器／アトラクター【SS-01】(3688526) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器。『カード対応OK！』■〒エンジニア/エンジニア　ハンダ吸取器／アトラクター【SS-01】(3688526) 受注単位：1[rn]
10-24190,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003822965.jpg?fitin=700:700,182.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅１．５ｍｍ長１．５ｍ【CP-1515】(3642020) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●銅の編組線に非塩素系の特殊フラックスをしみこませたはんだ吸取線です。",『カード対応OK！』■〒太洋電機産業/グット　吸取線幅１．５ｍｍ長１．５ｍ【CP-1515】(3642020) 受注単位：1：クローバー資材館,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅１．５ｍｍ長１．５ｍ【CP-1515】(3642020) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器。『カード対応OK！』■〒太洋電機産業/グット　吸取線幅１．５ｍｍ長１．５ｍ【CP-1515】(3642020) 受注単位：1[rn]
10-24191,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003804024.jpg?fitin=700:700,340.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．５ｍｍ長２ｍ【CP-25Y】(3642071) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●精密機器にも安心してご使用になれます。ステンレス口金付です。<br>●ディスペンスケース入りで持ちやすく、指先も熱くなりません。",『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．５ｍｍ長２ｍ【CP-25Y】(3642071) 受注単位：1：クローバー資材館,『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．５ｍｍ長２ｍ【CP-25Y】(3642071) 受注単位：1,生産加工用品\はんだ・静電気対策用品\はんだ除去器。『カード対応OK！』■〒太洋電機産業/グット　吸取線幅２．５ｍｍ長２ｍ【CP-25Y】(3642071) 受注単位：1[rn]
