10-20301,,1621.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スイスの専用工場で生産した品質の高いジグソーブレードです。<br><br>●ラミネートフローリング材用。<br><br>●山数：15<br>●全長(mm)：82<br>●厚み(mm)：1.25<br>●有効刃長(mm)：59<br>●切断タイプ：直線<br>●パック入数(本)：5<br>●切断能力(mm)木材・合板：1.5～15<br>●切断能力(mm)フローリング材：1.5～15<br>●質量(g)：36<br><br>●適合機種：ボッシュ、マキタ、日立、リョービなどのTシャンク形状のジグソー<br><br>●バイメタル<br>",『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1,作業用品\切断用品\ジグソーブレード。『カード対応OK！』■〒ボッシュ【T-101BIF】(7336381) ジグソーブレード５本 受注単位1[rn]
10-20364,,4219.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TAHS-8012P】(8183833) ＴＲＵＳＣＯ 自在引掛ピンスパナ 80～120mm 発注単位1,作業用品\レンチ・スパナ・プーラー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●自在式でフック部分が可変する為、可動範囲が広く、１本で多数サイズのワークに対して作業ができます。<br>
●丸ナットおよび軸受用ナットの取り付け、取り外し。<br>
●全長(mm):345<br>
●適用寸法(mm):80～120<br>
●クロムバナジウム鋼(Cr-V)<br>
●表面処理:クロムコーティング",■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TAHS-8012P】(8183833) ＴＲＵＳＣＯ 自在引掛ピンスパナ 80～120mm 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TAHS-8012P】(8183833) ＴＲＵＳＣＯ 自在引掛ピンスパナ 80～120mm 発注単位1,作業用品\レンチ・スパナ・プーラー。■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TAHS-8012P】(8183833) ＴＲＵＳＣＯ 自在引掛ピンスパナ 80～120mm 発注単位1[rn]
10-20365,,4806.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アーム産業/ＡＲＭ クリッパー【GP3-100】(7766351) ＡＲＭ ギヤープーラー3本爪100mm 発注単位1,作業用品\レンチ・スパナ・プーラー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●3点に平均した引抜力が働く3本爪タイプで割れや変形を防ぎます。<br>
●爪は特殊鋼を鍛造し、押しねじは転造ねじで強度耐久性も充分です。<br>
●爪部を反対に取り付けることにより幅の広いギヤと奥にあるギヤに対応できます。<br>
●３本爪で安定して作業ができます。<br>
●適用プーリ(mm):50～100<br>
●爪の届く長さ(mm):55<br>
●破断荷重(kN):6<br>
●くわえられるサイズを守ること、これを守らないとはずれて重大な事故になる恐れがあります。",■〒アーム産業/ＡＲＭ クリッパー【GP3-100】(7766351) ＡＲＭ ギヤープーラー3本爪100mm 発注単位1：クローバー資材館,■〒アーム産業/ＡＲＭ クリッパー【GP3-100】(7766351) ＡＲＭ ギヤープーラー3本爪100mm 発注単位1,作業用品\レンチ・スパナ・プーラー。■〒アーム産業/ＡＲＭ クリッパー【GP3-100】(7766351) ＡＲＭ ギヤープーラー3本爪100mm 発注単位1[rn]
10-20366,,18847.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW10790】(7573707) ３／８ドライブ　クローフットレンチ　セット（９～１６ｍｍ） 受注単位1,作業用品\レンチ・スパナ・プーラー\クロウフットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●6角、12角のボルト・ナットに素早くアクセスできます。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●差込角(mm)：9.5<br>●厚み(mm)：6.35<br>●質量(g)：428<br>●セット内容(点)：8<br>●セット内容：JHW10759、10760、10761、10762、10763、10764、10765、10766<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW10790】(7573707) ３／８ドライブ　クローフットレンチ　セット（９～１６ｍｍ） 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW10790】(7573707) ３／８ドライブ　クローフットレンチ　セット（９～１６ｍｍ） 受注単位1,作業用品\レンチ・スパナ・プーラー\クロウフットレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW10790】(7573707) ３／８ドライブ　クローフットレンチ　セット（９～１６ｍｍ） 受注単位1[rn]
10-20367,,3632.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【8072C】(4980271) モンキーレンチメッキ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ジョーが開いてもシャフトが完全にハンドルの中に隠れているのでより作業性を高め、より強力度を与えます。<br>●ジョーの開口幅セッティングとボルトのヘッド、金属の厚みなどの測定用スケール付きです。<br>●調整ウォーム部分の十分な隙間穴はグローブをしたままでもジョーの操作をスムーズに行えます。<br><br>●ボルトナットの締め緩め。<br><br>●全長(mm)：255<br>●最大口開き(mm)：30<br>●質量(g)：400<br><br><br>●特殊工具鋼（クローム仕上げ）<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【8072C】(4980271) モンキーレンチメッキ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【8072C】(4980271) モンキーレンチメッキ 受注単位1,作業用品\レンチ・スパナ・プーラー\モンキーレンチ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【8072C】(4980271) モンキーレンチメッキ 受注単位1[rn]
10-20368,,296.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TGP3-75BN】(7985142) ＴＲＵＳＣＯ 3本爪ギヤプーラ用ボルト・ナット(6本セット)75mm 発注単位1,作業用品\レンチ・スパナ・プーラー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●適合機種:TGP3型用<br>
●品名:ボルト・ナット75mm×4本No.38-B",■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TGP3-75BN】(7985142) ＴＲＵＳＣＯ 3本爪ギヤプーラ用ボルト・ナット(6本セット)75mm 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TGP3-75BN】(7985142) ＴＲＵＳＣＯ 3本爪ギヤプーラ用ボルト・ナット(6本セット)75mm 発注単位1,作業用品\レンチ・スパナ・プーラー。■〒トラスコ中山/ＴＲＵＳＣＯ 作業用品【TGP3-75BN】(7985142) ＴＲＵＳＣＯ 3本爪ギヤプーラ用ボルト・ナット(6本セット)75mm 発注単位1[rn]
10-20369,,6124.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-2427】(7552467) ダブルボックスレンチ　１０度オフセット　１２角　２４×２７ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●作業性を高めるために10度オフセットしています。<br>●サイズは見やすく大きく表示しています。<br>●ANSI B107.9M準拠しています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：24×27<br>●全長(mm)：371<br>●質量(g)522<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-2427】(7552467) ダブルボックスレンチ　１０度オフセット　１２角　２４&times;２７ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-2427】(7552467) ダブルボックスレンチ　１０度オフセット　１２角　２４&times;２７ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-2427】(7552467) ダブルボックスレンチ　１０度オフセット　１２角　２４&times;２７ｍｍ 受注単位1[rn]
10-20370,,8239.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-3032】(7552483) ダブルボックスレンチ　１０度オフセット　１２角　３０×３２ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●作業性を高めるために10度オフセットしています。<br>●サイズは見やすく大きく表示しています。<br>●ANSI B107.9M準拠しています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：30×32<br>●全長(mm)：433<br>●質量(g)875<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-3032】(7552483) ダブルボックスレンチ　１０度オフセット　１２角　３０&times;３２ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-3032】(7552483) ダブルボックスレンチ　１０度オフセット　１２角　３０&times;３２ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-3032】(7552483) ダブルボックスレンチ　１０度オフセット　１２角　３０&times;３２ｍｍ 受注単位1[rn]
10-20371,,296.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三木ネツレン/ネツレン【J0008】(7544251) 片口スパナ８ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●型打鍛造製なので、強靭で軽量です。<br><br><br>●二面幅寸法(mm)：8<br>●全長(mm)：95<br>●質量(g)：15<br><br>●JIS　(H級)強力級<br><br>●特殊鋼<br>",『カード対応OK！』■〒三木ネツレン/ネツレン【J0008】(7544251) 片口スパナ８ 受注単位1：クローバー資材館,『カード対応OK！』■〒三木ネツレン/ネツレン【J0008】(7544251) 片口スパナ８ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒三木ネツレン/ネツレン【J0008】(7544251) 片口スパナ８ 受注単位1[rn]
10-20372,,3810.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1219MSC】(7551371) コンビネーションレンチ　１２角　１９ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●オープンエンドには特殊な溝が設けてあり、ボルト・ナットの角を傷めません。<br>●ボックスエンドは面接触なのでボルト・ナットの角を変形させず、回転トルクを確実に伝えます。<br>●12角部は航空規格AS954（AS870）に準拠しています。<br>●ボックスエンドとオープンエンドは同サイズです。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●二面幅寸法(mm)：19<br>●全長(mm)：280<br>●質量(g)：302<br><br>●ボックス部：12角<br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1219MSC】(7551371) コンビネーションレンチ　１２角　１９ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1219MSC】(7551371) コンビネーションレンチ　１２角　１９ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1219MSC】(7551371) コンビネーションレンチ　１２角　１９ｍｍ 受注単位1[rn]
10-20373,,1273.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2M-8-10】(4979508) ディープ・オフセット両口メガネ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●面接触でなめづらいダイナミックドライブを採用しています。<br>●ディープオフセットで作業時間を短縮させることができます。<br><br>●ボルトナットの締め緩め。<br><br>●対辺寸法(mm)：8×10<br>●全長(mm)：180<br>●質量(g)：65<br><br><br>●バナジウムエクストラ鋼<br>●表面研磨仕上げ<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2M-8-10】(4979508) ディープ・オフセット両口メガネ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2M-8-10】(4979508) ディープ・オフセット両口メガネ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【2M-8-10】(4979508) ディープ・オフセット両口メガネ 受注単位1[rn]
10-20374,,2347.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW10769】(7573642) ３／８ドライブ　クローフットレンチ　１９ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\クロウフットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●6角、12角のボルト・ナットに素早くアクセスできます。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：19<br>●差込角(mm)：9.5<br>●全長(mm)：51<br>●厚み(mm)：6.35<br>●質量(g)：60<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW10769】(7573642) ３／８ドライブ　クローフットレンチ　１９ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW10769】(7573642) ３／８ドライブ　クローフットレンチ　１９ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\クロウフットレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW10769】(7573642) ３／８ドライブ　クローフットレンチ　１９ｍｍ 受注単位1[rn]
10-20375,,2495.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒旭金属工業/ＡＳＨ【VC4022】(4978137) クローフートレンチ１２．７□×２２ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\クロウフットレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●自動車のエアコン・パワーステアリング周り、ブレーキの油圧配管など、通常の工具では作業できない箇所でのメンテナンス作業に最適です。<br><br>●ラチェットハンドルなどに接続して六角ボルト・ナットの締結作業に。<br><br>●対辺寸法(mm)：22<br>●差込角(mm)：12.7<br>●全長(mm)：61<br>●質量(g)：113<br><br>●JIS表示認定工場製<br><br>●炭素鋼(S50C)<br>",『カード対応OK！』■〒旭金属工業/ＡＳＨ【VC4022】(4978137) クローフートレンチ１２．７□&times;２２ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒旭金属工業/ＡＳＨ【VC4022】(4978137) クローフートレンチ１２．７□&times;２２ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\クロウフットレンチ。『カード対応OK！』■〒旭金属工業/ＡＳＨ【VC4022】(4978137) クローフートレンチ１２．７□&times;２２ｍｍ 受注単位1[rn]
10-20376,,2637.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トップ工業/ＴＯＰ レンチ【PRB-17X21】(2487195) ＴＯＰ ベント板ラチェットレンチ 17Ｘ21mm 発注単位1,作業用品\レンチ・スパナ・プーラー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●本体プレートはステンレスを使用し、強度抜群です。<br>
●15°ベントタイプです。<br>
●本締め可能です。<br>
●狭い場所でのボルト・ナットの締め緩めに。<br>
●自動車整備・軽量鉄骨、プレハブの組立、解体作業、機械治工具、電気工事、一般家庭のボルト・ナットの着脱など広範囲にお使い頂けます。<br>
●対辺寸法(mm):17×21<br>
●厚み(mm):11.6<br>
●全長(mm):212<br>
●ギア数18で20°でラチェットが駆動します<br>
●ステンレス(SUS420J2)/クロムバナジウム鋼(Cr-V)<br>
●必ずボルト・ナットの二面幅に合ったサイズを使用し、斜め掛けや浅掛けはしないで下さい。<br>
●ハンマ代わりに叩かないで下さい。<br>
●高所作業では、落下防止のひも（ＴＯＰＳＦＣシリーズ）との併用をお勧めいたします。<br>
●工具の使用目的以外には使用しないで下さい。",■〒トップ工業/ＴＯＰ レンチ【PRB-17X21】(2487195) ＴＯＰ ベント板ラチェットレンチ 17Ｘ21mm 発注単位1：クローバー資材館,■〒トップ工業/ＴＯＰ レンチ【PRB-17X21】(2487195) ＴＯＰ ベント板ラチェットレンチ 17Ｘ21mm 発注単位1,作業用品\レンチ・スパナ・プーラー。■〒トップ工業/ＴＯＰ レンチ【PRB-17X21】(2487195) ＴＯＰ ベント板ラチェットレンチ 17Ｘ21mm 発注単位1[rn]
10-20377,,5592.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-2224】(7552459) ダブルボックスレンチ　１０度オフセット　１２角　２２×２４ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●SUPER TORQUE[[(R)]]により、ボルト・ナットを変形させずに高いトルクを伝達できます。<br>●作業性を高めるために10度オフセットしています。<br>●サイズは見やすく大きく表示しています。<br>●ANSI B107.9M準拠しています。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●対辺寸法(mm)：22×24<br>●全長(mm)：343<br>●質量(g)417<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-2224】(7552459) ダブルボックスレンチ　１０度オフセット　１２角　２２&times;２４ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-2224】(7552459) ダブルボックスレンチ　１０度オフセット　１２角　２２&times;２４ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\めがねレンチ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHWBWM-2224】(7552459) ダブルボックスレンチ　１０度オフセット　１２角　２２&times;２４ｍｍ 受注単位1[rn]
10-20378,,1384.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【111M-18】(4978447) 片目片口スパナ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スパナ部めがね部とも１５°のオフセット角です。<br>●コーナー欠けしないダイナミックドライブを採用しています。<br>●表面は研磨仕上げで美しい光沢です。<br><br>●ボルトナットの締め緩め。<br><br>●二面幅寸法(mm)：18<br>●全長(mm)：208<br><br><br>●バナジウムエクストラ鋼<br>●表面研磨仕上げ<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【111M-18】(4978447) 片目片口スパナ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【111M-18】(4978447) 片目片口スパナ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【111M-18】(4978447) 片目片口スパナ 受注単位1[rn]
10-20379,,780.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-19】(8189364) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：19 発注単位1,作業用品\レンチ・スパナ・プーラー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●首角度は70°です。<br>
●狭い場所や障害物の多い場所での使用に最適です。<br>
●シノ部は、ボルトの穴合わせに最適な円錐形状です。<br>
●安全ロープ取り付け穴を設けています。<br>
●パーカー仕上げです。<br>
●土木・建築・橋梁・鉄塔関係のボルト締め作業に最適。<br>
●対辺寸法(mm):19<br>
●全長(mm):339<br>
●パーカー仕上げです。",■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-19】(8189364) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：19 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-19】(8189364) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：19 発注単位1,作業用品\レンチ・スパナ・プーラー。■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-19】(8189364) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：19 発注単位1[rn]
10-20380,,907.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三木ネツレン/ネツレン【J0029】(7544405) 片口スパナ２９ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●型打鍛造製なので、強靭で軽量です。<br><br><br>●二面幅寸法(mm)：29<br>●全長(mm)：252<br>●質量(g)：295<br><br>●JIS　(H級)強力級<br><br>●特殊鋼<br>",『カード対応OK！』■〒三木ネツレン/ネツレン【J0029】(7544405) 片口スパナ２９ 受注単位1：クローバー資材館,『カード対応OK！』■〒三木ネツレン/ネツレン【J0029】(7544405) 片口スパナ２９ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒三木ネツレン/ネツレン【J0029】(7544405) 片口スパナ２９ 受注単位1[rn]
10-20381,,7476.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1227MSC】(7551495) コンビネーションレンチ　１２角　２７ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●オープンエンドには特殊な溝が設けてあり、ボルト・ナットの角を傷めません。<br>●ボックスエンドは面接触なのでボルト・ナットの角を変形させず、回転トルクを確実に伝えます。<br>●12角部は航空規格AS954（AS870）に準拠しています。<br>●ボックスエンドとオープンエンドは同サイズです。<br><br>●技術者向け。<br>●メンテナンス業者。<br><br>●二面幅寸法(mm)：27<br>●全長(mm)：375<br>●質量(g)：742<br><br>●ボックス部：12角<br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1227MSC】(7551495) コンビネーションレンチ　１２角　２７ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1227MSC】(7551495) コンビネーションレンチ　１２角　２７ｍｍ 受注単位1,作業用品\レンチ・スパナ・プーラー\スパナ。『カード対応OK！』■〒スナップオン・ツールズ/ＷＩＬＬＩＡＭＳ【JHW1227MSC】(7551495) コンビネーションレンチ　１２角　２７ｍｍ 受注単位1[rn]
10-20382,,1694.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ロブテックス/エビ レンチ【OW2224】(8187217) エビ 両口メガネレンチ 22Ｘ24mm 発注単位1,作業用品\レンチ・スパナ・プーラー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●めがねは面接触タイプを採用しています。<br>
●本締めに最適です。<br>
●柄は握りやすく、しなりに強い断面形状へ強化しています。<br>
●油が付着しても滑りにくい梨地仕上げです。<br>
●サイズ表記を大きくし視認性を向上させています。<br>
●ボルト・ナットの着脱。<br>
●対辺寸法(mm):22×24<br>
●全長(mm):334<br>
●ロング、45°×6°タイプ<br>
●12角・面接触<br>
●梨地仕上げ<br>
●頭部厚み×幅(mm):22mm側:13.5×32.5/24mm側:15.0×35.5",■〒ロブテックス/エビ レンチ【OW2224】(8187217) エビ 両口メガネレンチ 22Ｘ24mm 発注単位1：クローバー資材館,■〒ロブテックス/エビ レンチ【OW2224】(8187217) エビ 両口メガネレンチ 22Ｘ24mm 発注単位1,作業用品\レンチ・スパナ・プーラー。■〒ロブテックス/エビ レンチ【OW2224】(8187217) エビ 両口メガネレンチ 22Ｘ24mm 発注単位1[rn]
10-20383,,8838.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-58】(8189381) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：58 発注単位1,作業用品\レンチ・スパナ・プーラー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●首角度は70°です。<br>
●狭い場所や障害物の多い場所での使用に最適です。<br>
●シノ部は、ボルトの穴合わせに最適な円錐形状です。<br>
●安全ロープ取り付け穴を設けています。<br>
●パーカー仕上げです。<br>
●土木・建築・橋梁・鉄塔関係のボルト締め作業に最適。<br>
●対辺寸法(mm):58<br>
●全長(mm):610<br>
●パーカー仕上げです。",■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-58】(8189381) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：58 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-58】(8189381) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：58 発注単位1,作業用品\レンチ・スパナ・プーラー。■〒トラスコ中山/ＴＲＵＳＣＯ レンチＯ【TSRS-58】(8189381) ＴＲＵＳＣＯ 片口めがねレンチ シノ付 六角対辺：58 発注単位1[rn]
