10-21301,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002659938.jpg?fitin=700:700,196.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８×８Φ）【RS-1108】(1768000) 受注単位1,工事用品\管工機材\小径配管継手,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1：クローバー資材館,『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1,工事用品\管工機材\小径配管継手。『カード対応OK！』■〒アソー/ＡＳＯＨ　リングジョイント（１／８&times;８Φ）【RS-1108】(1768000) 受注単位1[rn]
10-21386,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004528150.jpg?fitin=700:700,174.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チョークライン用糸　太２０ｍ巻【TMI-2004】(2533715) 受注単位1,(2533715),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●特殊加工で粉チョークのつきやすいナイロンひもです。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チョークライン用糸　太２０ｍ巻【TMI-2004】(2533715) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チョークライン用糸　太２０ｍ巻【TMI-2004】(2533715) 受注単位1,(2533715)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　チョークライン用糸　太２０ｍ巻【TMI-2004】(2533715) 受注単位1[rn]
10-21387,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005201832.jpg?fitin=700:700,1957.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピッチライン割付チョーク　１００【PL-WCL100】(3772110) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ピッチライン粉消費量はチョークラインに比べ約70分の1です。（自社比）<br>●単繊維ナイロン糸に等間隔で特殊起毛加工し、加工部分だけに粉チョークが付着します。<br>●粉チョークの付きが良い「チョークたっぷりメカ」搭載しています。<br>●木部にもしっかり刺さるポイントカルコ付です。<br>●自動巻き取り最長7m（糸の長さ9m）までピッチライン（100ミリ間隔割付線）が一発で打てます。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピッチライン割付チョーク　１００【PL-WCL100】(3772110) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピッチライン割付チョーク　１００【PL-WCL100】(3772110) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　ピッチライン割付チョーク　１００【PL-WCL100】(3772110) 受注単位1[rn]
10-21388,http://tshop.r10s.jp/clover9608/cabinet/pb5-1/t010004528166.jpg?fitin=700:700,132.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃１７　３５ｍ巻【TMI-2009】(2533201) 受注単位1,(2533201),"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●特殊加工ナイロン糸により、墨つきがよく、腐りにくく、強く長く使えます。",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃１７　３５ｍ巻【TMI-2009】(2533201) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃１７　３５ｍ巻【TMI-2009】(2533201) 受注単位1,(2533201)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　坪糸（化繊）　＃１７　３５ｍ巻【TMI-2009】(2533201) 受注単位1[rn]
10-21389,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004394673.jpg?fitin=700:700,984.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　雨の日白液１８０ｍｌ【PSW3-180  (180ML)】(3772276) 受注単位1,工事用品\測量用品\墨つぼ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ぬれた面でもにじまず打てます。<br>●墨打ち時に液の飛び散りが少なく、シャープな線が引けます。<br>●乾燥してもつぼ糸、つぼ綿が硬く固まらず、水を加えると溶けて元に戻ります。<br>●凍結しにくく寒冷地での作業が楽に行えます。<br>●塩分を含んでいません。<br>●竹、金属、樹脂、あらゆる墨差しにも対応します。",『カード対応OK！』■〒ＴＪＭデザイン/タジマ　雨の日白液１８０ｍｌ【PSW3-180  (180ML)】(3772276) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＪＭデザイン/タジマ　雨の日白液１８０ｍｌ【PSW3-180  (180ML)】(3772276) 受注単位1,工事用品\測量用品\墨つぼ。『カード対応OK！』■〒ＴＪＭデザイン/タジマ　雨の日白液１８０ｍｌ【PSW3-180  (180ML)】(3772276) 受注単位1[rn]
10-21390,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002940551.jpg?fitin=700:700,13769.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＩ　アサヒ/ペンタックス　セオドライト用三脚【TC-70】(3553906) 受注単位1,工事用品\測量用品\セオドライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●セオドライト、トータルステーション、トランシット用の三脚です。<br>●しっかりした石突、風の強い日も安定しています。",『カード対応OK！』■〒ＴＩ　アサヒ/ペンタックス　セオドライト用三脚【TC-70】(3553906) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＩ　アサヒ/ペンタックス　セオドライト用三脚【TC-70】(3553906) 受注単位1,工事用品\測量用品\セオドライト。『カード対応OK！』■〒ＴＩ　アサヒ/ペンタックス　セオドライト用三脚【TC-70】(3553906) 受注単位1[rn]
10-21391,,298696.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トプコン【DT-214】(3771431) デジタルセオドライト　ＤＴ－２１４ 受注単位1,工事用品\測量用品\セオドライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●レーザーポインターを搭載しています。<br>●環境調和型製品（ECP）設計です。<br>●鉛直角と水平角を同時にデジタル表示します。<br>●防水・防じん・照明付の大型ディスプレイを採用しています。<br>●屋外、屋内のどんな場所にも対応します。<br><br>●建築・測量現場での基準出し用。<br><br>●倍率：26倍<br>●最短合焦距離(m)：1<br>●最小表示：20″<br>●質量(kg)：3.9<br>●検出方式：水平角：片側　鉛直角：片側<br><br>●容器保護等級：IP66<br>●JSIMA（日本測量機器工業会）検査書発行可（有料）<br>●電源：単3形乾電池×4本(付属)<br>●望遠鏡-<br>●全長：152mm<br>●有効径：40mm<br>●像：正<br>●分解力：3″<br>●視界：1°30'<br>●スタジア定数：100<br>●スタジア加数：0<br>●目盛-<br>●読取り方式：アブソリュートエンコーダ方式<br>●表示部：片側表示<br>●鉛直軸形式：単軸<br>●微動方式：同軸一速<br>●基盤型式：センターリング式<br>●鉛直角補正装置：無<br>●気泡管感度-<br>●托架気泡管：60″/2mm<br>●円形気泡管：10′/2mm<br>●求心望遠鏡-<br><br>",『カード対応OK！』■〒トプコン【DT-214】(3771431) デジタルセオドライト　ＤＴ&minus;２１４ 受注単位1：クローバー資材館,『カード対応OK！』■〒トプコン【DT-214】(3771431) デジタルセオドライト　ＤＴ&minus;２１４ 受注単位1,工事用品\測量用品\セオドライト。『カード対応OK！』■〒トプコン【DT-214】(3771431) デジタルセオドライト　ＤＴ&minus;２１４ 受注単位1[rn]
10-21392,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005165637.jpg?fitin=700:700,30591.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　反射プリズム　ポケＱ１．５インチＤセット【PQ1.5DSET】(4106652) 受注単位1,工事用品\測量用品\セオドライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●プリズムにコーナーアダプターとピンポールがついたスターターセットです。<br>●使い易さと精度の高さで業界一の人気を誇っています。<br>●基本のプリズムにコーナーアダプターとピンポールがついたスターターセットです。",『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　反射プリズム　ポケＱ１．５インチＤセット【PQ1.5DSET】(4106652) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　反射プリズム　ポケＱ１．５インチＤセット【PQ1.5DSET】(4106652) 受注単位1,工事用品\測量用品\セオドライト。『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　反射プリズム　ポケＱ１．５インチＤセット【PQ1.5DSET】(4106652) 受注単位1[rn]
10-21393,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002824937.jpg?fitin=700:700,138567.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　電子セオドライトＳＤＴ１０ＷＳ【SDT10WS】(2883783) 受注単位1,工事用品\測量用品\セオドライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●液晶画面は分かりやすい日本語表示です。<br>●高度角は勾配表示（%）もボタン一つで切り替え可能です。<br>●液晶表示と操作パネルは両面に配置・正反観測も容易に操作可能です。<br>●水平角もボタンで簡単にゼロセットできます。<br>●単3乾電池4本で12時間使用可能です。",『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　電子セオドライトＳＤＴ１０ＷＳ【SDT10WS】(2883783) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　電子セオドライトＳＤＴ１０ＷＳ【SDT10WS】(2883783) 受注単位1,工事用品\測量用品\セオドライト。『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　電子セオドライトＳＤＴ１０ＷＳ【SDT10WS】(2883783) 受注単位1[rn]
10-21394,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002663894.jpg?fitin=700:700,228868.8000,,花・ガーデン・DIY > DIY・工具 > その他,↑#『カード対応OK！』■〒ニコン・トリンブル/ニコン　電子セオドライト【NE-20SC2】(2746328) 受注単位1,工事用品\測量用品\セオドライト,"<font size=""4"" color=""#0033ff""><b>※こちらの商品は問屋運送便となります。ご入金確認後のお手配です。</b></font><br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●高度角・勾配表示がワンタッチで切り替え可能です。<br>●水平角はワンタッチで“ゼロ”リセットできます。<br>●単3乾電池6本で22時間使用可能です。",&uarr;#『カード対応OK！』■〒ニコン・トリンブル/ニコン　電子セオドライト【NE-20SC2】(2746328) 受注単位1：クローバー資材館,&uarr;#『カード対応OK！』■〒ニコン・トリンブル/ニコン　電子セオドライト【NE-20SC2】(2746328) 受注単位1,工事用品\測量用品\セオドライト。&uarr;#『カード対応OK！』■〒ニコン・トリンブル/ニコン　電子セオドライト【NE-20SC2】(2746328) 受注単位1[rn]
10-21395,,1118577.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒ＴＪＭデザイン/タジマ【TT-027】(7537999) タジマトータルステーションＴＴ－０２７ 受注単位1,工事用品\測量用品\セオドライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●ノンプリズムで最大500ｍまで測距可能です。<br>●電子気泡管とレーザー求心で簡単に設置ができます。<br>●両手で水平角と鉛直角を同時に操作できるエンドレス微動ネジを採用しています。<br>●目標を視準したまま操作できるトリガーボタンを側面に配置しています。<br><br>●土木測量<br><br>●縦(mm)：383<br>●横(mm)：226<br>●倍率：30倍<br>●最短合焦距離(m)：1.7<br>●最小表示：0.1″、1″、5″、10″を選択可<br><br>●国土地理院登録：3級トータルステーション<br>●容器保護等級：IP55<br>●望遠鏡部有効径：40mm<br>●データ記録インターフェース：RS-232C<br>●メモリ容量：固定点最大24000、測定点13500<br>●標準プログラム：器械点設定、測設（杭打ち）、辺長計算、座標測定、線のオフセット、面積・体積計算、REM測定（高さ観測）、放射対回（0. 5回）<br>●国土地理院登録：3級トータルステーション<br>●望遠鏡部有効径：40mm<br>●データ記録インターフェース：RS-232C<br>●メモリ容量：固定点最大24000、測定点13500<br>●標準プログラム：器械点設定、測設（杭打ち）、辺長計算、座標測定、線のオフセット、面積・体積計算、REM測定（高さ観測）、放射対回（0. 5回）<br><br>●本体：ガラス・樹脂・金属<br>",『カード対応OK！』##■〒ＴＪＭデザイン/タジマ【TT-027】(7537999) タジマトータルステーションＴＴ&minus;０２７ 受注単位1：クローバー資材館,『カード対応OK！』##■〒ＴＪＭデザイン/タジマ【TT-027】(7537999) タジマトータルステーションＴＴ&minus;０２７ 受注単位1,工事用品\測量用品\セオドライト。『カード対応OK！』##■〒ＴＪＭデザイン/タジマ【TT-027】(7537999) タジマトータルステーションＴＴ&minus;０２７ 受注単位1[rn]
10-21396,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002824943.jpg?fitin=700:700,6991.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　測量器用三脚　ＳＴＳ－ＯＴ　平面Φ３５ｍｍ【STS-OT】(2465698) 受注単位1,工事用品\測量用品\セオドライト,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●トランシット、セオドライト、トータルステーション専用三脚です。",『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　測量器用三脚　ＳＴＳ&minus;ＯＴ　平面Φ３５ｍｍ【STS-OT】(2465698) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　測量器用三脚　ＳＴＳ&minus;ＯＴ　平面Φ３５ｍｍ【STS-OT】(2465698) 受注単位1,工事用品\測量用品\セオドライト。『カード対応OK！』■〒ＳＴＳ/ＳＴＳ　測量器用三脚　ＳＴＳ&minus;ＯＴ　平面Φ３５ｍｍ【STS-OT】(2465698) 受注単位1[rn]
10-21397,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005203426.jpg?fitin=700:700,4733.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒マイゾックス/マイゾックス　尺ボー君　ＳＢＫ－４１【SBK-41】(4088395) 受注単位1,工事用品\測量用品\標尺,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●15cm・10cmのピッチガイドが付いており、プラスターボードなどのビス打用のケガキが簡単に行えます。<br>●筋交アダプターを両端に取り付けて筋交の寸法測定が行えます。<br>●ワンタッチロックレバー機構により、任意の高さで使用できます。",『カード対応OK！』■〒マイゾックス/マイゾックス　尺ボー君　ＳＢＫ&minus;４１【SBK-41】(4088395) 受注単位1：クローバー資材館,『カード対応OK！』■〒マイゾックス/マイゾックス　尺ボー君　ＳＢＫ&minus;４１【SBK-41】(4088395) 受注単位1,工事用品\測量用品\標尺。『カード対応OK！』■〒マイゾックス/マイゾックス　尺ボー君　ＳＢＫ&minus;４１【SBK-41】(4088395) 受注単位1[rn]
10-21398,,14169.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』###■〒宣真工業/宣真【205-5】(4718534) ＳＫロッド　２０５－５ｍ 受注単位1,工事用品\測量用品\標尺,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b></font><br><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●高度の絶縁体で高圧電流をシャットアウト、作業は安全です。<br>●持ちやすい楕円タイプです。<br>●海水などに強くサビなどの耐蝕性に優れています。<br><br>●山岳・森林・河川など起伏の多い場所での測量に。<br><br>●タイプ(段)：５<br>●幅(mm)：54<br>●ポール外径(mm)：＊<br>●収納寸法(m)：1.30<br>●長さ(mm)：＊<br>●縮長～全長(mm)：1375～5100<br>●質量(kg)：1.6<br>●最大測定長さ(m)：5(5本継)<br><br>●表目盛：5mm単位、1mごとの黄白表示<br>●裏目盛：1mm単位<br><br>●グラスファイバー<br>",『カード対応OK！』###■〒宣真工業/宣真【205-5】(4718534) ＳＫロッド　２０５&minus;５ｍ 受注単位1：クローバー資材館,『カード対応OK！』###■〒宣真工業/宣真【205-5】(4718534) ＳＫロッド　２０５&minus;５ｍ 受注単位1,工事用品\測量用品\標尺。『カード対応OK！』###■〒宣真工業/宣真【205-5】(4718534) ＳＫロッド　２０５&minus;５ｍ 受注単位1[rn]
10-21399,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002838102.jpg?fitin=700:700,3736.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒マイゾックス/マイゾックス　バカボー君【MTR-33】(2468212) 受注単位1,工事用品\測量用品\標尺,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●スタッフとしてはもちろん、内法測定や一般測定に対応できるスライドスケールです。",『カード対応OK！』■〒マイゾックス/マイゾックス　バカボー君【MTR-33】(2468212) 受注単位1：クローバー資材館,『カード対応OK！』■〒マイゾックス/マイゾックス　バカボー君【MTR-33】(2468212) 受注単位1,工事用品\測量用品\標尺。『カード対応OK！』■〒マイゾックス/マイゾックス　バカボー君【MTR-33】(2468212) 受注単位1[rn]
10-21400,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005192426.jpg?fitin=700:700,12798.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒マイゾックス/マイゾックス　アルスタッフ７ｍ×４段【ALS-74】(3821196) 受注単位1,工事用品\測量用品\標尺,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ISO対応の高品質アルミスタッフです。<br>●トレーサビリティ体系図、校正証明書、検査証明書の発行ができます。<br>●アルミ製最長の７ｍモデルです。",『カード対応OK！』■〒マイゾックス/マイゾックス　アルスタッフ７ｍ&times;４段【ALS-74】(3821196) 受注単位1：クローバー資材館,『カード対応OK！』■〒マイゾックス/マイゾックス　アルスタッフ７ｍ&times;４段【ALS-74】(3821196) 受注単位1,工事用品\測量用品\標尺。『カード対応OK！』■〒マイゾックス/マイゾックス　アルスタッフ７ｍ&times;４段【ALS-74】(3821196) 受注単位1[rn]
