10-66001,http://tshop.r10s.jp/tukurutanosimi/cabinet/3/818-0130a.jpg?fitin=700:700,3520.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 裁縫道具 > その他,NEW 魚形文鎮 文鎮 ぶんちん | つくる楽しみ,LH432323 NEW 魚形文鎮 文鎮 ぶんちん,"サイズ : 長さ：127mm<br>質量：1350g<br>文鎮の表面を柔らかい皮で包んで縫っている為、錆つかず生地などを汚しません。型紙の重しや布のしわ取りなど用途は多彩です。<br>ずっしりとした重みがあるため、くけ台代わりにもなります。<br><br><img src=""http://image.rakuten.co.jp/tukurutanosimi/cabinet/mail_ng.jpg"" width=""100%"" >",NEW 魚形文鎮 文鎮 ぶんちん | つくる楽しみ：手芸材料の専門店　つくる楽しみ,生地布糸口金がま口トールペイント筆パッチワークキルトカルトナージュはけはんこスタンプつくる楽しみNEW 魚形文鎮 文鎮 ぶんちん | つくる楽しみ,LH432323 NEW 魚形文鎮 文鎮 ぶんちん。NEW 魚形文鎮 文鎮 ぶんちん | つくる楽しみ[rn]
10-66091,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730/img10384431945.jpg?fitin=700:700,3261.6000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,スピードコントロール付　ジグソー　JS-55S木材・金属・プラスチックの直線・曲線・傾斜切りに！,,"ここがポイント！
・ 木工用・鉄工用・アルミ用のブレード付！ 
・ 無段変速式で切断速度調節可能！ 
・ 左右０°～４５°の傾斜切断！ 
・ 木材から金属板までラクラク切断！ 
・ 直線、曲線、傾斜、窓抜き切断まで自由自在！ 
・ 持ち手が滑りにくいソフトグリップ仕様！！",スピードコントロール付　ジグソー　JS-55S木材・金属・プラスチックの直線・曲線・傾斜切りに！：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングスピードコントロール付　ジグソー　JS-55S木材・金属・プラスチックの直線・曲線・傾斜切りに！,スピードコントロール付　ジグソー　JS-55S木材・金属・プラスチックの直線・曲線・傾斜切りに！[rn]
10-66092,http://tshop.r10s.jp/yminfo/cabinet/00045324/img38537738.jpg?fitin=700:700,6080.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,レーザーマーカー付ジグソー木材・金属・プラスチックの直線・曲線・傾斜切りに！JS-660LM,,"ここがポイント！
・ スミ線あわせに便利なレーザーマーカー搭載！ 
・ オービタル機能付きで手早い作業と、美しい仕上げが可能 
・ 木工用・金属用のブレード付！ 
・ 無段変速式で切断速度調節可能！ 
・ 左右０°～４５°の傾斜切断！ 
・ 木材から金属板までラクラク切断！ 
・ 直線、曲線、傾斜、窓抜き切断まで自由自在！ 
・ ダストアダプター付き！集じん機に取り付け可能！",レーザーマーカー付ジグソー木材・金属・プラスチックの直線・曲線・傾斜切りに！JS-660LM：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングレーザーマーカー付ジグソー木材・金属・プラスチックの直線・曲線・傾斜切りに！JS-660LM,レーザーマーカー付ジグソー木材・金属・プラスチックの直線・曲線・傾斜切りに！JS-660LM[rn]
10-66093,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56278638.jpg?fitin=700:700,480.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー鉄工用（鉄工薄板用）替刃　NO.12-24B　2本入,ジグソーの鉄工用替刃です！,"【ここがポイント!】 
● 鉄工用ジグソーブレード（替刃）です！ 
● 2本組みです 
※電気ジグソーのスタンダードタイプ適用機種に取り付け可能です
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No.12-24B 
種　類 鉄工薄板用 
用　途 0.1～3mm鉄板用 
刃の特徴 バイメタルブレード：折れ難い 
材　質 SKH51 
山　数 24 
全長×全幅×厚さ 70×7.8×1.2mm 
質",ジグソー鉄工用（鉄工薄板用）替刃　NO.12-24B　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー鉄工用（鉄工薄板用）替刃　NO.12-24B　2本入,ジグソーの鉄工用替刃です！。ジグソー鉄工用（鉄工薄板用）替刃　NO.12-24B　2本入[rn]
10-66094,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56278636.jpg?fitin=700:700,392.8000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー鉄工用（ステンレス用）替刃　NO.7-S24　2本入,ジグソーの鉄工用替刃です！,"【ここがポイント!】 
● 鉄工用ジグソーブレード（替刃）です！ 
● 2本組みです 
※電気ジグソーのスタンダードタイプ適用機種に取り付け可能です
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No.7-S24 
種　類 ステンレス用 
用　途 3mm以下のステン銅板用 
材　質 SKH-Co 
山　数 14 
全長×全幅×厚さ 80×7.8×1.2mm 
質　量 3g 
入　数 2本 
発送の目",ジグソー鉄工用（ステンレス用）替刃　NO.7-S24　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー鉄工用（ステンレス用）替刃　NO.7-S24　2本入,ジグソーの鉄工用替刃です！。ジグソー鉄工用（ステンレス用）替刃　NO.7-S24　2本入[rn]
10-66095,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56275854.jpg?fitin=700:700,442.4000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー木工用替刃　NO.18-W9P　2本入,ジグソーの木工用替刃です！,"【ここがポイント!】 
● 木工用ジグソーブレード（替刃）です！ 
● 2本組みです 
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No.18-W9P 
種　類 木工用 
用　途 木工・薄板・合板切 
刃の特徴 本目立仕上：焼入れ後、
刃先の再研磨を行い切れ味UP 
材　質 SK5 
山　数 9 
全長×全幅×厚さ 78×8.4×1.4mm 
質　量 3g 
入　数 2本 
発送の目安 午前中の注",ジグソー木工用替刃　NO.18-W9P　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー木工用替刃　NO.18-W9P　2本入,ジグソーの木工用替刃です！。ジグソー木工用替刃　NO.18-W9P　2本入[rn]
10-66096,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56275855.jpg?fitin=700:700,884.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー木工用（木工・新建材円切用）替刃　NO.21-W12RP　2本入,ジグソーの木工用替刃です！,"【ここがポイント!】 
● 木工用ジグソーブレード（替刃）です！ 
● 2本組みです 
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No.21-W12RP 
種　類 木工・新建材円切用 
用　途 木工・新建材・高速曲線切 
刃の特徴 本目立仕上：焼入れ後、
刃先の再研磨を行い切れ味UP 
材　質 SK5 
山　数 12 
全長×全幅×厚さ 70×6.3×1.4mm 
質　量 3g 
入　数 2本",ジグソー木工用（木工・新建材円切用）替刃　NO.21-W12RP　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー木工用（木工・新建材円切用）替刃　NO.21-W12RP　2本入,ジグソーの木工用替刃です！。ジグソー木工用（木工・新建材円切用）替刃　NO.21-W12RP　2本入[rn]
10-66097,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56278639.jpg?fitin=700:700,480.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー鉄工用（鉄工厚板・新建材用）替刃　NO.13-14B　2本入,ジグソーの鉄工用替刃です！,"【ここがポイント!】 
● 鉄工用ジグソーブレード（替刃）です！ 
● 2本組みです 
※電気ジグソーのスタンダードタイプ適用機種に取り付け可能です
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No.13-14B 
種　類 鉄工厚板用・新建材用 
用　途 鉄工2～5mm・新建材40mm 
材　質 SKH51 
山　数 14 
全長×全幅×厚さ 70×7.7×1.3mm 
質　量 3g 
入　数 2",ジグソー鉄工用（鉄工厚板・新建材用）替刃　NO.13-14B　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー鉄工用（鉄工厚板・新建材用）替刃　NO.13-14B　2本入,ジグソーの鉄工用替刃です！。ジグソー鉄工用（鉄工厚板・新建材用）替刃　NO.13-14B　2本入[rn]
10-66098,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56275848.jpg?fitin=700:700,240.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー木工用（合板用）替刃　NO.2-P12　2本入,ジグソーの木工用替刃です！,"【ここがポイント!】 
● 木工用ジグソーブレード（替刃）です！ 
● 2本組みです 
 
※電気ジグソーのスタンダードタイプ適用機種に取り付け可能です
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No.2-P12 
種　類 合板用 
用　途 30mm以下のベニヤ合板 
材　質 SK5 
山　数 12 
全長×全幅×厚さ 91×7.8×1.7mm 
質　量 5g 
入　数 2本 
発送の目安 午",ジグソー木工用（合板用）替刃　NO.2-P12　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー木工用（合板用）替刃　NO.2-P12　2本入,ジグソーの木工用替刃です！。ジグソー木工用（合板用）替刃　NO.2-P12　2本入[rn]
10-66099,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56275852.jpg?fitin=700:700,320.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー木工用替刃　NO.8-W6P　2本入,ジグソーの木工用替刃です！,"【ここがポイント!】 
● 木工用ジグソーブレード（替刃）です！ 
● 2本組みです 
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No.8-W6P 
種　類 木工用 
用　途 40mm以下の高速切 
刃の特徴 本目立仕上：焼入れ後、
刃先の再研磨を行い切れ味UP 
材　質 SK5 
山　数 6 
全長×全幅×厚さ 90×7.5×1.7mm 
質　量 5g 
入　数 2本 
発送の目安 午前中の",ジグソー木工用替刃　NO.8-W6P　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー木工用替刃　NO.8-W6P　2本入,ジグソーの木工用替刃です！。ジグソー木工用替刃　NO.8-W6P　2本入[rn]
10-66100,http://tshop.r10s.jp/yminfo/cabinet/00601356/img56275851.jpg?fitin=700:700,240.0000,,花・ガーデン・DIY > DIY・工具 > 電動工具 > 電動切断工具 > 電気丸のこ,ジグソー木工用（木工円切用）替刃　NO.5-W12R　2本入,ジグソーの木工用替刃です！,"【ここがポイント!】 
● 木工用ジグソーブレード（替刃）です！ 
● 2本組みです 
 
※電気ジグソーのスタンダードタイプ適用機種に取り付け可能です
※マキタ・日立・リョービのジグソーにもご使用いただけます
※メーカーによって使用できない機種もございますのでご確認の上お買い求め下さい



■製品仕様　No.5-W12R 
種　類 木工円切用 
用　途 木工・新建材・曲線切 
材　質 K5 
山　数 12 
全長×全幅×厚さ 70×6.4×1.5mm 
質　量 5g 
入　数 2本 
発送の目安 午",ジグソー木工用（木工円切用）替刃　NO.5-W12R　2本入：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングジグソー木工用（木工円切用）替刃　NO.5-W12R　2本入,ジグソーの木工用替刃です！。ジグソー木工用（木工円切用）替刃　NO.5-W12R　2本入[rn]
