17-21699,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004371388.jpg?fitin=700:700,8425.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10,切削工具\旋削・フライス加工工具\チップ,,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10：クローバー資材館,『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10,切削工具\旋削・フライス加工工具\チップ。『カード対応OK！』■〒サンドビック/サンドビック　コロターン１１１　旋削用ポジ・チップ　４２２５【CPMT 06 02 04-PM  4225】(6068839) 受注単位10[rn]
17-21772,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860608.jpg?fitin=700:700,5993.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イシハシ精工/ＩＳエクストラ正宗ドリル８．８ｍｍ【EXD-8.8】 (2897130) 受注単位5,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端部にクロスシンニング加工を施してあるので、ポンチ不要で、食い込みが早く切れ味が抜群です。",『カード対応OK！』■〒イシハシ精工/ＩＳエクストラ正宗ドリル８．８ｍｍ【EXD-8.8】 (2897130) 受注単位5：クローバー資材館,『カード対応OK！』■〒イシハシ精工/ＩＳエクストラ正宗ドリル８．８ｍｍ【EXD-8.8】 (2897130) 受注単位5,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒イシハシ精工/ＩＳエクストラ正宗ドリル８．８ｍｍ【EXD-8.8】 (2897130) 受注単位5[rn]
17-21773,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003961271.jpg?fitin=700:700,5378.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒グーリングジャパン/グーリングコバルトストレート５．６ｍｍ【GCSD-056】 (3751597) 受注単位10,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●コバルト高速度鋼（HSCO)を母材としているため、難削材加工用に最適なドリルです。<br>●ステンレス鋼、チタン、インコネルなどの難削材の加工に適しています。",『カード対応OK！』■〒グーリングジャパン/グーリングコバルトストレート５．６ｍｍ【GCSD-056】 (3751597) 受注単位10：クローバー資材館,『カード対応OK！』■〒グーリングジャパン/グーリングコバルトストレート５．６ｍｍ【GCSD-056】 (3751597) 受注単位10,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒グーリングジャパン/グーリングコバルトストレート５．６ｍｍ【GCSD-056】 (3751597) 受注単位10[rn]
17-21774,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002867921.jpg?fitin=700:700,1207.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋロングストレートドリル【LSDD0410A150 (LSD4.1X150)】 (1741322) 受注単位1,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●深穴加工用として幅広くご使用できます。",『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋロングストレートドリル【LSDD0410A150 (LSD4.1X150)】 (1741322) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋロングストレートドリル【LSDD0410A150 (LSD4.1X150)】 (1741322) 受注単位1,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒三菱マテリアルツールズ/三菱Ｋロングストレートドリル【LSDD0410A150 (LSD4.1X150)】 (1741322) 受注単位1[rn]
17-21775,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003961271.jpg?fitin=700:700,2516.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒グーリングジャパン/グーリングコバルトストレート３．３ｍｍ【GCSD-033】 (3751368) 受注単位10,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●コバルト高速度鋼（HSCO)を母材としているため、難削材加工用に最適なドリルです。<br>●ステンレス鋼、チタン、インコネルなどの難削材の加工に適しています。",『カード対応OK！』■〒グーリングジャパン/グーリングコバルトストレート３．３ｍｍ【GCSD-033】 (3751368) 受注単位10：クローバー資材館,『カード対応OK！』■〒グーリングジャパン/グーリングコバルトストレート３．３ｍｍ【GCSD-033】 (3751368) 受注単位10,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒グーリングジャパン/グーリングコバルトストレート３．３ｍｍ【GCSD-033】 (3751368) 受注単位10[rn]
17-21776,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571867.jpg?fitin=700:700,2862.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル０．９５ｍｍ【SDD0095】(6764401) 受注単位10,切削工具\穴あけ工具\ハイスドリル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル０．９５ｍｍ【SDD0095】(6764401) 受注単位10：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル０．９５ｍｍ【SDD0095】(6764401) 受注単位10,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)Ｋ　ストレートドリル０．９５ｍｍ【SDD0095】(6764401) 受注単位10[rn]
17-21777,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860607.jpg?fitin=700:700,6843.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イシハシ精工/ＩＳコバルト正宗ドリル７．７ｍｍ【COD-7.7】 (2895862) 受注単位5,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ステンレス鋼、チタン合金硬鋼などの難削材を問題にしない切れ味のドリルです。<br>●高コバルト系ハイス（HSCO-M42）を母材とし、ステンレス、難削材に最適です。<br>●先端部シャープな尖鋭の切刃になっており、完全な求心性と2倍以上の食い込み早さで素晴らしい切削性を発揮します。",『カード対応OK！』■〒イシハシ精工/ＩＳコバルト正宗ドリル７．７ｍｍ【COD-7.7】 (2895862) 受注単位5：クローバー資材館,『カード対応OK！』■〒イシハシ精工/ＩＳコバルト正宗ドリル７．７ｍｍ【COD-7.7】 (2895862) 受注単位5,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒イシハシ精工/ＩＳコバルト正宗ドリル７．７ｍｍ【COD-7.7】 (2895862) 受注単位5[rn]
17-21778,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002663437.jpg?fitin=700:700,1266.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒グーリングジャパン/グーリングストレートドリル１．０ｍｍ【GSD-010】 (3007332) 受注単位10,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●材質にスウェーデン鋼を使用しているので、被削材によってはコバルトドリルの代替使用が可能です。高品質の工具材料を使用しています。<br>●一般鋼穴あけに経済的で最適です。",『カード対応OK！』■〒グーリングジャパン/グーリングストレートドリル１．０ｍｍ【GSD-010】 (3007332) 受注単位10：クローバー資材館,『カード対応OK！』■〒グーリングジャパン/グーリングストレートドリル１．０ｍｍ【GSD-010】 (3007332) 受注単位10,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒グーリングジャパン/グーリングストレートドリル１．０ｍｍ【GSD-010】 (3007332) 受注単位10[rn]
17-21779,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860608.jpg?fitin=700:700,266.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イシハシ精工/ＩＳパック入エクストラ正宗ドリル３．６ｍｍ【P-EXD-3.6 (3.6MM1ﾎﾟﾝｲﾘ)】 (2897768) 受注単位1,切削工具\穴あけ工具\ハイスドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●先端部にクロスシンニング加工を施してあるので、ポンチ不要で、食い込みが早く切れ味が抜群です。",『カード対応OK！』■〒イシハシ精工/ＩＳパック入エクストラ正宗ドリル３．６ｍｍ【P-EXD-3.6 (3.6MM1ﾎﾟﾝｲﾘ)】 (2897768) 受注単位1：クローバー資材館,『カード対応OK！』■〒イシハシ精工/ＩＳパック入エクストラ正宗ドリル３．６ｍｍ【P-EXD-3.6 (3.6MM1ﾎﾟﾝｲﾘ)】 (2897768) 受注単位1,切削工具\穴あけ工具\ハイスドリル。『カード対応OK！』■〒イシハシ精工/ＩＳパック入エクストラ正宗ドリル３．６ｍｍ【P-EXD-3.6 (3.6MM1ﾎﾟﾝｲﾘ)】 (2897768) 受注単位1[rn]
17-21780,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003009522.jpg?fitin=700:700,1740.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニオンツール　超硬ドリル　コ－ティングドリルショ－ト刃　φ１．０５×刃長５．３【UTDSX 2105-053】(3629180) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,,『カード対応OK！』■〒ユニオンツール　超硬ドリル　コ&minus;ティングドリルショ&minus;ト刃　φ１．０５&times;刃長５．３【UTDSX 2105-053】(3629180) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニオンツール　超硬ドリル　コ&minus;ティングドリルショ&minus;ト刃　φ１．０５&times;刃長５．３【UTDSX 2105-053】(3629180) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒ユニオンツール　超硬ドリル　コ&minus;ティングドリルショ&minus;ト刃　φ１．０５&times;刃長５．３【UTDSX 2105-053】(3629180) 受注単位1[rn]
17-21781,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571701.jpg?fitin=700:700,17577.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＷＳＴＡＲシリーズ　汎用　外部給油形　３Ｄタイプ【MWE1180MA  VP15TF】(6731996) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＷＳＴＡＲシリーズ　汎用　外部給油形　３Ｄタイプ【MWE1180MA  VP15TF】(6731996) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＷＳＴＡＲシリーズ　汎用　外部給油形　３Ｄタイプ【MWE1180MA  VP15TF】(6731996) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＷＳＴＡＲシリーズ　汎用　外部給油形　３Ｄタイプ【MWE1180MA  VP15TF】(6731996) 受注単位1[rn]
17-21782,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003009507.jpg?fitin=700:700,2436.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ユニオンツール　超硬ドリル　コ－ティングドリルショ－ト刃　φ０．３×刃長１．５【UTDSX 2030-015】(3629031) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,,『カード対応OK！』■〒ユニオンツール　超硬ドリル　コ&minus;ティングドリルショ&minus;ト刃　φ０．３&times;刃長１．５【UTDSX 2030-015】(3629031) 受注単位1：クローバー資材館,『カード対応OK！』■〒ユニオンツール　超硬ドリル　コ&minus;ティングドリルショ&minus;ト刃　φ０．３&times;刃長１．５【UTDSX 2030-015】(3629031) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒ユニオンツール　超硬ドリル　コ&minus;ティングドリルショ&minus;ト刃　φ０．３&times;刃長１．５【UTDSX 2030-015】(3629031) 受注単位1[rn]
17-21783,,15036.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ【TRS-HO-3D-11.5】(6363423) 超硬油穴付３枚刃メガマッスルドリル（内部給油タイプ） 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●銅・鋳物加工で、送り速度Ｖｆ＝1000mm/min超えを実現します。<br>●クーラントの安定供給のため、シャンク端面にスリットが入っています。<br>●コーティングに色むらが発生しているものがありますが、性能上は全く問題ありません。<br><br>●被削材：低・中・高炭素鋼、合金鋼、調質鋼（～35ＨＲＣ）、焼入鋼、ステンレス鋼、鋳鉄、ダクタイル鋼、チタン合金<br><br>●刃径(mm)：11.5<br>●溝長(mm)：58<br>●全長(mm)：120<br>●シャンク径(mm)：12<br><br>●表面処理：ＷＤＩコーティング<br>●ねじれ角３０°<br><br>●超微粒子超硬合金（Micro grain carbide）<br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ【TRS-HO-3D-11.5】(6363423) 超硬油穴付３枚刃メガマッスルドリル（内部給油タイプ） 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ【TRS-HO-3D-11.5】(6363423) 超硬油穴付３枚刃メガマッスルドリル（内部給油タイプ） 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧ【TRS-HO-3D-11.5】(6363423) 超硬油穴付３枚刃メガマッスルドリル（内部給油タイプ） 受注単位1[rn]
17-21784,,15717.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱日立ツール/日立ツール【08WHNSB0570-TH】(7749678) 超硬ＯＨノンステップボーラー　０８ＷＨＮＳＢ０５７０－ＴＨ 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br><br>●超硬合金<br>",『カード対応OK！』■〒三菱日立ツール/日立ツール【08WHNSB0570-TH】(7749678) 超硬ＯＨノンステップボーラー　０８ＷＨＮＳＢ０５７０&minus;ＴＨ 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱日立ツール/日立ツール【08WHNSB0570-TH】(7749678) 超硬ＯＨノンステップボーラー　０８ＷＨＮＳＢ０５７０&minus;ＴＨ 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒三菱日立ツール/日立ツール【08WHNSB0570-TH】(7749678) 超硬ＯＨノンステップボーラー　０８ＷＨＮＳＢ０５７０&minus;ＴＨ 受注単位1[rn]
17-21785,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002870043.jpg?fitin=700:700,29808.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイジェット工業/ダイジェットシグマドリル【DDS-155L】 (2075814) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ドリル剛性が大きく折れにくい独特の溝形状を採用しています。<br>●独特の溝形状の採用により、切削油が十分供給されるため、安定した性能が長時間維持できます。<br>●外部給油方式で、鋼の深穴加工を高能率化しています。",『カード対応OK！』■〒ダイジェット工業/ダイジェットシグマドリル【DDS-155L】 (2075814) 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイジェット工業/ダイジェットシグマドリル【DDS-155L】 (2075814) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒ダイジェット工業/ダイジェットシグマドリル【DDS-155L】 (2075814) 受注単位1[rn]
17-21786,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002870015.jpg?fitin=700:700,5054.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイジェット工業/ダイジェットシグマドリル【DDS-055S】 (2078058) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ドリル剛性が大きく折れにくい独特の溝形状を採用しています。<br>●独特の溝形状の採用により、切削油が十分供給されるため、安定した性能が長時間維持できます。<br>●外部給油方式で、鋼の深穴加工を高能率化しています。",『カード対応OK！』■〒ダイジェット工業/ダイジェットシグマドリル【DDS-055S】 (2078058) 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイジェット工業/ダイジェットシグマドリル【DDS-055S】 (2078058) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒ダイジェット工業/ダイジェットシグマドリル【DDS-055S】 (2078058) 受注単位1[rn]
17-21787,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002571704.jpg?fitin=700:700,18144.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1400MA  VP15TF】(1190164) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1400MA  VP15TF】(1190164) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1400MA  VP15TF】(1190164) 受注単位1,切削工具\穴あけ工具\超硬コーティングドリル。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　超硬ドリル　ＺＥＴ１ドリル　汎用　外部給油形　３Ｄ【MZE1400MA  VP15TF】(1190164) 受注単位1[rn]
17-21788,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004112023.jpg?fitin=700:700,17180.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-10.0】 (1064100) 受注単位1,切削工具\穴あけ工具\超硬ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●外径公差h6の密度仕上げのため、高精度の加工ができます。<br>●溝および表面の研磨仕上げが優れ、切りくずのハケがよく、穴の仕上がりは抜群です。",『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-10.0】 (1064100) 受注単位1：クローバー資材館,『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-10.0】 (1064100) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-10.0】 (1064100) 受注単位1[rn]
17-21789,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002564833.jpg?fitin=700:700,12355.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-101M】(2083183) 受注単位1,切削工具\穴あけ工具\超硬ドリル,,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-101M】(2083183) 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-101M】(2083183) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-101M】(2083183) 受注単位1[rn]
17-21790,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002564843.jpg?fitin=700:700,13046.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-107M】(2083248) 受注単位1,切削工具\穴あけ工具\超硬ドリル,,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-107M】(2083248) 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-107M】(2083248) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-107M】(2083248) 受注単位1[rn]
17-21791,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002866556.jpg?fitin=700:700,1870.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-2.3】 (1063570) 受注単位1,切削工具\穴あけ工具\超硬ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●外径公差h6の密度仕上げのため、高精度の加工ができます。<br>●溝および表面の研磨仕上げが優れ、切りくずのハケがよく、穴の仕上がりは抜群です。",『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-2.3】 (1063570) 受注単位1：クローバー資材館,『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-2.3】 (1063570) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒デキシー/デキシー超硬ドリル＃１１３０シリーズ【1130-2.3】 (1063570) 受注単位1[rn]
17-21792,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004371246.jpg?fitin=700:700,4544.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンドビック/サンドビック　コロドリル４５２　超硬ソリッドドリル　Ｈ１０Ｆ【452.1-0794-044A0-C  H10F】(6047572) 受注単位1,切削工具\穴あけ工具\超硬ドリル,,『カード対応OK！』■〒サンドビック/サンドビック　コロドリル４５２　超硬ソリッドドリル　Ｈ１０Ｆ【452.1-0794-044A0-C  H10F】(6047572) 受注単位1：クローバー資材館,『カード対応OK！』■〒サンドビック/サンドビック　コロドリル４５２　超硬ソリッドドリル　Ｈ１０Ｆ【452.1-0794-044A0-C  H10F】(6047572) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒サンドビック/サンドビック　コロドリル４５２　超硬ソリッドドリル　Ｈ１０Ｆ【452.1-0794-044A0-C  H10F】(6047572) 受注単位1[rn]
17-21793,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004838720.jpg?fitin=700:700,6644.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬ドリル【FH-GDS-0.6  (8564060)】(6320945) 受注単位1,切削工具\穴あけ工具\超硬ドリル,,『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬ドリル【FH-GDS-0.6  (8564060)】(6320945) 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬ドリル【FH-GDS-0.6  (8564060)】(6320945) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒オーエスジー/ＯＳＧ　超硬ドリル【FH-GDS-0.6  (8564060)】(6320945) 受注単位1[rn]
17-21794,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002564896.jpg?fitin=700:700,21772.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-148M】(2083655) 受注単位1,切削工具\穴あけ工具\超硬ドリル,,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-148M】(2083655) 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-148M】(2083655) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-148M】(2083655) 受注単位1[rn]
17-21795,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002860598.jpg?fitin=700:700,17891.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃スリムシャンクドリル２６【SLD26】 (3321029) 受注単位1,切削工具\穴あけ工具\超硬ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●シャンク径は12・16・20mmのストレートシャンクに統一しているため、使い勝手がよく高精度な穴あけ加工が可能です。<br>●刃長、シャンク長、全長をすべて統一にしているため、ドリルのサイズ交換時の手間が軽減されます。<br>●MC、NC機に最適です。",『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃スリムシャンクドリル２６【SLD26】 (3321029) 受注単位1：クローバー資材館,『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃スリムシャンクドリル２６【SLD26】 (3321029) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒フクダ精工/ＦＫＤ超硬付刃スリムシャンクドリル２６【SLD26】 (3321029) 受注単位1[rn]
17-21796,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002870050.jpg?fitin=700:700,1900.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイジェット工業/ダイジェットストレートドリル【SDS-031】 (2077647) 受注単位1,切削工具\穴あけ工具\超硬ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●最もポピュラーな超硬ソリッドドリルです。<br>●ねじれ角は30°です。",『カード対応OK！』■〒ダイジェット工業/ダイジェットストレートドリル【SDS-031】 (2077647) 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイジェット工業/ダイジェットストレートドリル【SDS-031】 (2077647) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒ダイジェット工業/ダイジェットストレートドリル【SDS-031】 (2077647) 受注単位1[rn]
17-21797,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002563922.jpg?fitin=700:700,4086.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-038S】(2077779) 受注単位1,切削工具\穴あけ工具\超硬ドリル,,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-038S】(2077779) 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-038S】(2077779) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-038S】(2077779) 受注単位1[rn]
17-21798,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002563582.jpg?fitin=700:700,19958.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-119L】(2075644) 受注単位1,切削工具\穴あけ工具\超硬ドリル,,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-119L】(2075644) 受注単位1：クローバー資材館,『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-119L】(2075644) 受注単位1,切削工具\穴あけ工具\超硬ドリル。『カード対応OK！』■〒ダイジェット工業/ダイジェット　シグマドリル【DDS-119L】(2075644) 受注単位1[rn]
