17-133199,http://tshop.r10s.jp/ky-kanariya/cabinet/daiya/img59269347.jpg?fitin=700:700,456.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,ダイヤ毛糸　　　タスマニアンメリノ,編みやすい並太毛糸,"重さ：40ｇ<br>
糸長：約120ｍ<br>
太さ：棒針5～6号、かぎ針4/0～5/0号<br>
素材：ウール　100％（タスマニアンメリノ）<br>
その他：メリヤス編標準ゲージ22～23目/30～32段<br>
婦人セーター　約9玉、婦人ベスト　約6玉、紳士セーター約12玉<br>
<br>
糸の特徴：豊かな自然の中で育てられた高級ウール、タスマニアンメリノ100％の上質ストレートヤーンです。<br>ぬめり感のあるソフトなタッチは、編みやすく、着心地の良さを実感できます。<br>白度に優れたウールですから、美しい発色を生み出しています。またトップ染で素材の風合いが生き、ロット表示もありません。
<br>
ご注意：モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる可能性がございます。",ダイヤ毛糸　　　タスマニアンメリノ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンダイヤ毛糸　　　タスマニアンメリノ,編みやすい並太毛糸。ダイヤ毛糸　　　タスマニアンメリノ[rn]
17-133289,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067953492.jpg?fitin=700:700,928.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーインペリアルシルクモヘア,,"<TABLE border=""0"">    <TR>      <TD><IMG src=""http://image.rakuten.co.jp/ky-kanariya/cabinet/paki/imgrc0067807875.jpg"" width=""153"" height=""198"" border=""0""></TD>      <TD><FONT color=""#660000"">　手づくりニット界のカリスマデザイナー<BR>     　 ”若月キミコ”の選りすぐりの毛糸です。♪</FONT></TD>    </TR></TABLE><TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">シルク31％・モヘア47％<br>ナイロン22％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">30g王巻（約156m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーインペリアルシルクモヘア：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーインペリアルシルクモヘア,パーキー　エクトリーインペリアルシルクモヘア[rn]
17-133290,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067889027.jpg?fitin=700:700,768.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリー四角スパンレースマルチカラー,,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">ポリエステル100％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">20gカード巻（約180ｍ）<br></FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリー四角スパンレースマルチカラー：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリー四角スパンレースマルチカラー,パーキー　エクトリー四角スパンレースマルチカラー[rn]
17-133291,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0067889459.jpg?fitin=700:700,569.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーヴァンテアン100,,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛100％</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40g玉巻（約240ｍ）<br></FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリーヴァンテアン100：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーヴァンテアン100,パーキー　エクトリーヴァンテアン100[rn]
17-133292,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0068044597.jpg?fitin=700:700,377.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリータスマニアウールチェーン撚り,,"<TABLE border=""0"" width=""400"">    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">素　　材　]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">毛100％<br>（タスマニアウール50％）<br>（メリノウール50％）</FONT></TD>    </TR>    <TR>      <TD width=""150"" valign=""top"">[<FONT color=""#000066"">重さ・長さ]</FONT></TD>      <TD width=""300""><FONT color=""#660033"">40ｇ玉巻（約102m）</FONT></TD>    </TR>    </TABLE><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""330""><TR>  <TD bgcolor=""#ffffff""><FONT color=""#ff0000""><B>ご注意</B></FONT><FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。<br>また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT></TD> </TR></TABLE>",パーキー　エクトリータスマニアウールチェーン撚り：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリータスマニアウールチェーン撚り,パーキー　エクトリータスマニアウールチェーン撚り[rn]
17-133293,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/imgrc0065162986.jpg?fitin=700:700,1075.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーE・バルーン,,"素材：絹87% ポリエステル13%<BR>長さ：約39m、約30ｇ　玉まき<BR><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""400""> <TR>  <TD bgcolor=""#ffffff"">    <FONT color=""#ff0000""><B>ご注意</B></FONT>    <FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>  </TD> </TR></TABLE><br><font color=""#ff0000"" size=""3"">★(土日祝日を除き）２～４日以内に発送<br>★在庫が無ければメーカー取り寄せとなります。</font>",パーキー　エクトリーE・バルーン：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーE・バルーン,パーキー　エクトリーE・バルーン[rn]
17-133294,http://tshop.r10s.jp/ky-kanariya/cabinet/paki/img57007919.jpg?fitin=700:700,1152.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリー　ロイヤルシルク　カシミヤ調,,素材：シルク　63％、 綿　％<BR>長さ：約225m、約30ｇ　玉まき<BR>ご注意：　モニターにより、色の見え方が実際の商品と異なることがございます。また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。,パーキー　エクトリー　ロイヤルシルク　カシミヤ調：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリー　ロイヤルシルク　カシミヤ調,パーキー　エクトリー　ロイヤルシルク　カシミヤ調[rn]
17-133295,http://tshop.r10s.jp/ky-kanariya/cabinet/01083991/imgrc0065309442.jpg?fitin=700:700,505.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリーサマーアルチザン,,"素材：麻(リネン)39% レーヨン44％ アクリル17%<BR>長さ：約132m、約30ｇ　玉まき<BR><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""400""> <TR>  <TD bgcolor=""#ffffff"">    <FONT color=""#ff0000""><B>ご注意</B></FONT>    <FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>  </TD> </TR></TABLE><br><font color=""#ff0000"" size=""3"">★(土日祝日を除き）２～４日以内に発送<br>★在庫が無ければメーカー取り寄せとなります。</font>",パーキー　エクトリーサマーアルチザン：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリーサマーアルチザン,パーキー　エクトリーサマーアルチザン[rn]
17-133296,http://tshop.r10s.jp/ky-kanariya/cabinet/01083991/imgrc0065357501.jpg?fitin=700:700,889.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 毛糸,パーキー　エクトリー　NANTEN,,"素材：綿65% 絹35%<BR>長さ：約162m、約30ｇ　玉まき<BR><TABLE border=""0"" cellpadding=""10"" cellspacing=""1"" bgcolor=""#999999"" width=""400""> <TR>  <TD bgcolor=""#ffffff"">    <FONT color=""#ff0000""><B>ご注意</B></FONT>    <FONT color=""#333333"">　:　モニターにより、色の見え方が 実際の商品と異なることがございます。また注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため在庫切れで販売できなくなる場合がございます。</FONT>  </TD> </TR></TABLE><br><font color=""#ff0000"" size=""3"">★(土日祝日を除き）２～４日以内に発送<br>★在庫が無ければメーカー取り寄せとなります。</font>",パーキー　エクトリー　NANTEN：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンパーキー　エクトリー　NANTEN,パーキー　エクトリー　NANTEN[rn]
17-133297,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616/img10442138569.jpg?fitin=700:700,192.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 裁縫材料 > ミシン糸,★美しい光沢としなやかなタッチ！タイヤー絹ミシン糸130m巻（５０番手）,,"☆最高級ミシン糸 タイヤー絹ミシン糸<br>
●絹ミシン糸は、独特の美しい光沢としなやかな感触があり、滑らかで弾力性に富んでいます。<br>
色も大変豊富なのでほとんどの色の生地に適合します。<br>
程よい強さと程よい伸びは生地を痛めずとてもなじみます。<br>
★適合生地<br>
シルクやデリケートな生地<br>
★適合ミシン針<br>
９番～１１番<br>
＊ヒント！　６６番・６９番はグリーン系の色です。<br>",★美しい光沢としなやかなタッチ！タイヤー絹ミシン糸130m巻（５０番手）：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプ★美しい光沢としなやかなタッチ！タイヤー絹ミシン糸130m巻（５０番手）,★美しい光沢としなやかなタッチ！タイヤー絹ミシン糸130m巻（５０番手）[rn]
17-133298,http://tshop.r10s.jp/stylistgoto/cabinet/ikou_20100616/img10442123731.jpg?fitin=700:700,160.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 裁縫材料 > ミシン糸,★ミシン糸の定番！フジックスシャッペスパンミシン糸普通地用200m巻き(６０番手）,,ミシン糸の定番シャッペスパンミシン糸！どんな生地にも合う優れものです。<br>適合生地：やや薄手の生地～やや厚手の生地,★ミシン糸の定番！フジックスシャッペスパンミシン糸普通地用200m巻き(６０番手）：アットホビー＠スタイリストゴトウ,手芸洋裁生地毛糸糸針チャコはさみビーズリボンレースブレードファスナーアップリケバイアスフエルトプリント生地キャラクター生地麻生地ヘンプ★ミシン糸の定番！フジックスシャッペスパンミシン糸普通地用200m巻き(６０番手）,★ミシン糸の定番！フジックスシャッペスパンミシン糸普通地用200m巻き(６０番手）[rn]
