17-26199,http://tshop.r10s.jp/kys/cabinet/ts-31/t010005396672.jpg?fitin=700:700,125828.8000,,花・ガーデン・DIY > DIY・工具 > その他,運賃見積り 直送品 KSK ハンドリフト HL300,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●京町産業車輌（株）<br>
<br>
【特長】<br>
●リンクチェーンを使用し、メンテナンスも簡単です。<br>
<br>
【用途】<br>
●荷物の上げ下げや運搬に。<br>
<br>
【仕様】<br>
●均等荷重(kg):300<br>
●全高(mm):1650<br>
●荷重中心距離(mm):250<br>
●フォーク寸法(mm)スライド外幅:90～580<br>
●フォーク高さ(mm):90～1200<br>
●ハンドル回転数(回):53<br>
●ストローク(mm):1110<br>
●車輪径(mm)前輪/後輪:90（ウレタン）/125（ゴム）<br>
●フォーク寸法(mm)幅×長さ:40×500<br>
●手動走行式<br>
●昇降方式:手巻式<br>
●前車輪:固定キャスター2個、後車輪:自在ストッパー付キャスター2個<br>
<br>
【注意】<br>
●車上渡しになります。重量物ですのでご注意ください。<br>
<br>
【質量】<br>
●70KG</p>",運賃見積り 直送品 KSK ハンドリフト HL300：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYS運賃見積り 直送品 KSK ハンドリフト HL300,運賃見積り 直送品 KSK ハンドリフト HL300[rn]
17-26267,http://tshop.r10s.jp/plowshop/cabinet/kioritz/kcgj850a.jpg?fitin=700:700,181600.0000,,花・ガーデン・DIY > DIY・工具 > その他,共立 運搬車 KCGJ850A【エンジン式】,コンパクトで簡単操作、誰でも使える普及品,"■コンパクトで簡単操作、誰でも使える普及品。<br>
<br>
●手元変速で楽な姿勢で作業ができます。<br>
●緊急停止スイッチつきで安心・安全。<br>
<br><br>
【製品仕様】
<table width=""100%"" border=""1"" cellpadding=""4"" cellspacing=""0"">
<tr>
  <th>寸法（長さ×幅×高さ）（mm）</th>
  <td>1460×705×910</td>
</tr>
<tr>
  <th>本体乾燥質量(kg)</th>
  <td>128</td>
</tr>
<tr>
  <th>最大作業能力(kg)</th>
  <td>250</td>
</tr>
<tr>
  <th>荷台長さ×幅（mm)</th>
  <td>900～1250ｘ520～820</td>
</tr>
<tr>
  <th>エンジン型式</th>
  <td>GB101LN</td>
</tr>
<tr>
  <th>エンジン最大出力（kW)</th>
  <td>2.2</td>
</tr>
<tr>
  <th>ダンプ形式</th>
  <td>手動ダンプ</td>
</tr>
<tr>
  <th>走行部</th>
  <td>クローラ</td>
</tr>
<tr>
  <th>前進走行速度(km/h)</th>
  <td>1.8、3.7</td>
</tr>
<tr>
  <th>後進走行速度（km/h）</th>
  <td>0.9、1.8</td>
</tr>
</table>
<!-- 大型貨物 アイコン-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/kamotu-icon.gif""></p>
<!--//大型貨物 アイコン-->

<!--大型貨物配送表記-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/jyuryo-80over.jpg"" width=""100%""></p>
<!--//大型貨物配送表記-->

<!-- 安心配達説明サービス -->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/banner/201509josetsuki_yoya.jpg""  width=""100%""><br /></p>
<center>

<img src=""http://image.rakuten.co.jp/honda-walk/cabinet/snow/2015jyo-yoyaku-top-b.jpg"" width=""90%"" border=""0"">
</center>
<!-- 安心配達説明サービス// -->",共立 運搬車 KCGJ850A【エンジン式】：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機共立 運搬車 KCGJ850A【エンジン式】,コンパクトで簡単操作、誰でも使える普及品。共立 運搬車 KCGJ850A【エンジン式】[rn]
17-26268,http://tshop.r10s.jp/kys/cabinet/ts-11/t010002887093.jpg?fitin=700:700,8713.6000,,花・ガーデン・DIY > DIY・工具 > その他,ワコー エアーキャスター(自在車) 200mm ウレタン車 ASHG-200-GU,,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●（株）ワコーパレット<br>
<br>
【特長】<br>
●軽く動き、疲労が軽減できます。<br>
●自重が軽く搬送時のスムーズな動きにより作業性が向上します。<br>
●弾性があるため、振動が少なく、台上の荷物を保護します。<br>
●耐久性があり、寿命が長くコストダウンができます。<br>
<br>
<br>
<br>
【仕様】<br>
●許容荷重(kgf):255<br>
●車輪径D(mm):200<br>
●車輪幅(mm):40<br>
●取付高H(mm):250<br>
●取付座A×B(mm):140×140<br>
●取付ピッチX×Y(mm):105～115×105～115<br>
●取付穴径P(mm):11.5<br>
●許容荷重(N):2500<br>
●許容荷重(daＮ):250<br>
●プレート式<br>
●ラジアルベアリング入<br>
●自在式<br>
<br>
【材質・仕上げ】<br>
●金具:超特殊強力鋼板<br>
●金具表面処理:三価クロメート仕上げ<br>
●車輪:ナイロンホイール、ウレタン<br>
<br>
【質量】<br>
●2.7KG</p>",ワコー エアーキャスター(自在車) 200mm ウレタン車 ASHG-200-GU：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSワコー エアーキャスター(自在車) 200mm ウレタン車 ASHG-200-GU,ワコー エアーキャスター(自在車) 200mm ウレタン車 ASHG-200-GU[rn]
17-26269,http://tshop.r10s.jp/plowshop/cabinet/kioritz/nkcg95h-fta.jpg?fitin=700:700,255200.0000,,花・ガーデン・DIY > DIY・工具 > その他,共立 運搬車 NKCG95H-FTA【エンジン式】,作業能力350kgの働き者,"■作業能力350kgの働き者<br>
<br>
●L型サイドクラッチで女性でも楽な旋回が可能です。<br>
●yイコライザ転輪採用で安定した走行が可能です。<br>
●緊急停止スイッチつきで安心・安全。<br>
<br><br>
【製品仕様】
<table width=""100%"" border=""1"" cellpadding=""4"" cellspacing=""0"">
<tr>
  <th>寸法（長さ×幅×高さ）（mm）</th>
  <td>1570×690×1130</td>
</tr>
<tr>
  <th>本体乾燥質量(kg)</th>
  <td>195</td>
</tr>
<tr>
  <th>最大作業能力(kg)</th>
  <td>350</td>
</tr>
<tr>
  <th>荷台長さ×幅（mm)</th>
  <td>950～1110ｘ520～900</td>
</tr>
<tr>
  <th>エンジン型式</th>
  <td>GB131LN</td>
</tr>
<tr>
  <th>エンジン最大出力（kW)</th>
  <td>3</td>
</tr>
<tr>
  <th>ダンプ形式</th>
  <td>手動ダンプ</td>
</tr>
<tr>
  <th>走行部</th>
  <td>クローラ</td>
</tr>
<tr>
  <th>前進走行速度(km/h)</th>
  <td>1.4、3,7</td>
</tr>
<tr>
  <th>後進走行速度（km/h）</th>
  <td>1.4</td>
</tr>
</table>
<!-- 大型貨物 アイコン-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/kamotu-icon.gif""></p>
<!--//大型貨物 アイコン-->

<!--大型貨物配送表記-->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/jyuryo-80over.jpg"" width=""100%""></p>
<!--//大型貨物配送表記-->

<!-- 安心配達説明サービス -->
<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/banner/201509josetsuki_yoya.jpg""  width=""100%""><br /></p>
<center>

<img src=""http://image.rakuten.co.jp/honda-walk/cabinet/snow/2015jyo-yoyaku-top-b.jpg"" width=""90%"" border=""0"">
</center>
<!-- 安心配達説明サービス// -->",共立 運搬車 NKCG95H-FTA【エンジン式】：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機共立 運搬車 NKCG95H-FTA【エンジン式】,作業能力350kgの働き者。共立 運搬車 NKCG95H-FTA【エンジン式】[rn]
17-26270,http://tshop.r10s.jp/kys/cabinet/ts-48/t010006210089.jpg?fitin=700:700,235.2000,,花・ガーデン・DIY > DIY・工具 > その他,TRUSCO L-5P・10P用コシアミ L-KA,【代表画像 色/サイズ等注意】,"<p><img src=""http://image.rakuten.co.jp/kys/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー】<br>
●トラスコ中山（株）<br>
<br>
<br>
<br>
【仕様】<br>
●品名:真鍮こしあみキャップ<br>
●適合機種:L-5P・10P<br>
<br>
【材質・仕上げ】<br>
●ポリエチレン（PE）<br>
<br>
【質量】<br>
●3G</p>",TRUSCO L-5P・10P用コシアミ L-KA：KanamonoYaSan  ＫＹＳ,工具電動工具作業工具機械工具大工パナソニック日立ボッシュレーザー金物充電工具測定インパクトドライバタスコジャパン真空ポンプ空調工具マキタKYSTRUSCO L-5P・10P用コシアミ L-KA,【代表画像 色/サイズ等注意】。TRUSCO L-5P・10P用コシアミ L-KA[rn]
17-26271,http://tshop.r10s.jp/kg-maido/cabinet/etc02/ito-pm-l.jpg?fitin=700:700,38793.6000,,花・ガーデン・DIY > DIY・工具 > その他,【運賃見積り】【直送品】伊藤製作所 123 かご型パレットＬ型 1台 PM-L,,"<p><img src=""http://image.rakuten.co.jp/kg-maido/cabinet/index/sp_explanation.jpg"" width=""100%""></p>
<p>【メーカー名】<br>
●（株）伊藤製作所<br>
<br>
【用途】<br>
●製品、部品や資材の保管、運搬にお使いください。<br>
<br>
【特長】<br>
●保管に便利な積み重ねブラケット付<br>
●たたんだパレットは安定した状態で保管できます。<br>
●リフトのフォークが楽に入ります。<br>
●吊上げ式はクレーンも使えます。<br>
●耐久性に優れたドブメッキ仕上<br>
●特注サイズも承ります。<br>
●標準サイズのパレット<br>
<br>
【仕様】<br>
●呼び寸法：W1200×L1000×H890×h730<br>
●メッシュピッチ：50×50<br>
●最大積載量：2000<br>
●質量：80kg</p>",【運賃見積り】【直送品】伊藤製作所 123 かご型パレットＬ型 1台 PM-L：工具屋「まいど！」,工具電動工具作業工具充電工具大工松下日立ボッシュレーザー金物充電工具測定LANタスコジャパン電材【運賃見積り】【直送品】伊藤製作所 123 かご型パレットＬ型 1台 PM-L,【運賃見積り】【直送品】伊藤製作所 123 かご型パレットＬ型 1台 PM-L[rn]
17-26272,http://tshop.r10s.jp/plowshop/cabinet/plow/snow/4582257917059_plow.jpg?fitin=700:700,2400.0000,,花・ガーデン・DIY > DIY・工具 > その他,融雪剤 大粒 D-グリップ 25kg 塩化ナトリウム クエン酸配合 凍結防止剤 【 球状 粒上 錆びにくい 環境にやさしい 圧雪 剥離 融解 大容量 塩カル 塩化カルシウムと同等 】【 4582257917059 】,,"鉄道会社への導入実績もある高機能融雪剤「Ｄ-グリップ」。<br />
 クエン酸を配合することで、金属にクエン酸の膜を形成。この膜があることで塩化ナトリウムの影響を緩和し、金属をさびにくくしています。<br />
また、主成分である塩化ナトリウムは主に塩の原料となる成分で、従来の融雪剤と比較して環境や人体・動植物にも非常にやさしいのが特徴です。<br />
<br />
<br />


<b>環境に優しく、融雪効果の持続性に優れ、固化しにくく、クエン酸配合で錆びにくい効果も！</b><br />
 ・環境に優しい<br />
　植物に対して、優しい成分で構成されております。<br />
・融雪効果が長持ち<br />
　塩化カルシウムより長持ちし、最大7時間の融雪効果が持続します。<br />
・作業性が良い<br />
　粒同士がくっつきにくく、固化しにくい<br />
<br />
<br />
<b>効果</b><br />
■路面に水分がある場合<br />
　凍結防止効果があります。<br />
■雪の降り始めた場合<br />
　新雪の融解および溶けた雪の凍結防止。また、圧雪の剥離効果があります。<br />
■5cm以上の積雪の場合<br />
　圧雪の融解効果があります。<br />
<br />
<br />
<b>ご使用にあたっての目安</b><br />
■凍結防止の場合<br />
　1平米当たりコップ1/2杯（約50g）<br />
■圧雪の剥離の場合<br />
　1平米当たりコップ1杯（約100g）<br />
<br />
<br />
<b>■使用上の注意</b><br />
●皮膚の弱い方は直接触れないようにし、ゴム手袋等を使用してください。<br />
●目、口に入りましたら、水でよく洗い、うがいをしてください。<br />
●食品ではありませんので人またはペットが誤って飲んだり食べたりしないように注意してください。<br />
　万一誤って食べた場合には、医師、獣医師に相談してください。<br />
●衣類に付くとシミになる場合がありますのでご注意ください。<br />
●金属類・車への直接散布は避けてください。<br />
●植物に対して優しい成分で構成されておりますが、植物にはなるべく直接かからないようにしてください。<br />
●使用後、密栓して冷暗場所に保管してください。<br />
●気温-12℃以下の場合、融雪効果が薄れてしまいますのでご注意ください。主成分：塩化ナトリウム",融雪剤 大粒 D-グリップ 25kg 塩化ナトリウム クエン酸配合 凍結防止剤 【 球状 粒上 錆びにくい 環境にやさしい 圧雪 剥離 融解 大容量 塩カル 塩化カルシウムと同等 】【 4582257917059 】：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機融雪剤 大粒 D-グリップ 25kg 塩化ナトリウム クエン酸配合 凍結防止剤 【 球状 粒上 錆びにくい 環境にやさしい 圧雪 剥離 融解 大容量 塩カル 塩化カルシウムと同等 】【 4582257917059 】,融雪剤 大粒 D-グリップ 25kg 塩化ナトリウム クエン酸配合 凍結防止剤 【 球状 粒上 錆びにくい 環境にやさしい 圧雪 剥離 融解 大容量 塩カル 塩化カルシウムと同等 】【 4582257917059 】[rn]
17-26273,http://tshop.r10s.jp/plowshop/cabinet/honda/josetuki/ph-sbsnowplow.jpg?fitin=700:700,3794.4000,,花・ガーデン・DIY > DIY・工具 > その他,【あす楽対応】 PLOWオリジナル　ブレード除雪機カバー ボディカバー  保管用カバー ユキオス オスーノ SB800 対応,プラウオリジナル 保管用 ボディカバー,,【あす楽対応】 PLOWオリジナル　ブレード除雪機カバー ボディカバー  保管用カバー ユキオス オスーノ SB800 対応：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機【あす楽対応】 PLOWオリジナル　ブレード除雪機カバー ボディカバー  保管用カバー ユキオス オスーノ SB800 対応,プラウオリジナル 保管用 ボディカバー。【あす楽対応】 PLOWオリジナル　ブレード除雪機カバー ボディカバー  保管用カバー ユキオス オスーノ SB800 対応[rn]
17-26274,http://tshop.r10s.jp/plowshop/cabinet/maki/ph-gs13pro-gx-ms170c.jpg?fitin=700:700,180000.0000,,花・ガーデン・DIY > DIY・工具 > その他,[特別特典付仕様]薪割り機 PH-GS13PRO-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro][特別特典付仕様],[ 送料無料 ]もれなく人気メーカーのチェンソー付き,"<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/banner/ph-cover1-ol_banner.jpg"" border=""0"" width=""100%""></p>

<b>※ただいまご注文が集中しております。順次配送手配をさせていただいておりますので、発送までに若干のお日にちを頂いております。ご了承ください。</b><br><br><img src=""http://image.rakuten.co.jp/plowshop/cabinet/plow/stove/ph-gs13pro-img12.jpg""  width=""100%""><br>
<img src=""http://image.rakuten.co.jp/plowshop/cabinet/plow/stove/ph-gs13pro-img13.jpg""  width=""100%""><br>
<img src=""http://image.rakuten.co.jp/plowshop/cabinet/plow/stove/ph-gs13pro-img14.jpg""  width=""100%""><br>

<table width=""100%"" border=""1"" cellspacing=""0"" cellpadding=""5"" bgcolor=""#FFFFFF"">
  <tr>
    <td colspan=""2"">型式番号</td>
    <td>PH-GS13PRO-GX</td>
  </tr>
  <tr>
    <td rowspan=""6"">エ<br>
      ン<br>
      ジ<br>
      ン</td>
    <td>メーカー</td>
    <td>ホンダ</td>
  </tr>
  <tr>
    <td>タイプ</td>
    <td>空冷、単気筒、4ストローク</td>
  </tr>
  <tr>
    <td>エンジンモデル</td>
    <td>GX160H1-QHH</td>
  </tr>
  <tr>
    <td>排気量</td>
    <td>163cc</td>
  </tr>
  <tr>
    <td>燃料タンク容量</td>
    <td>3.1リットル</td>
  </tr>
  <tr>
    <td>エンジンオイル容量</td>
    <td>0.58リットル</td>
  </tr>
  <tr>
    <td colspan=""2"">破壊力</td>
    <td>13</td>
  </tr>
  <tr>
    <td colspan=""2"">サイクルタイム</td>
    <td>12秒（出7秒/戻5秒）</td>
  </tr>
  <tr>
    <td colspan=""2"">油圧タンクオイル容量</td>
    <td>9リットル(油圧用オイル32番)</td>
  </tr>
  <tr>
    <td colspan=""2"">最大破砕寸法</td>
    <td>52.0cm</td>
  </tr>
  <tr>
    <td colspan=""2"">最大分割直径</td>
    <td>45.0cm</td>
  </tr>
  <tr>
    <td rowspan=""3"">寸<br>
      法</td>
    <td>長さ</td>
    <td>152cm</td>
  </tr>
  <tr>
    <td>幅</td>
    <td>75cm</td>
  </tr>
  <tr>
    <td>高さ</td>
    <td>83cm</td>
  </tr>
</table>",[特別特典付仕様]薪割り機 PH-GS13PRO-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro][特別特典付仕様]：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機[特別特典付仕様]薪割り機 PH-GS13PRO-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro][特別特典付仕様],[ 送料無料 ]もれなく人気メーカーのチェンソー付き。[特別特典付仕様]薪割り機 PH-GS13PRO-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro][特別特典付仕様][rn]
17-26275,http://tshop.r10s.jp/plowshop/cabinet/maki/img_ph-gs13proc-gx.jpg?fitin=700:700,166400.0000,,花・ガーデン・DIY > DIY・工具 > その他,薪割り機 PH-GS13PROC-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro],ホンダエンジン搭載モデル！ 消耗品・修理部品取揃,"<p><img src=""http://image.rakuten.co.jp/honda-walk/cabinet/banner/ph-cover1-ol_banner.jpg"" border=""0"" width=""100%""></p>

<b>※ただいまご注文が集中しております。順次配送手配をさせていただいておりますので、発送までに若干のお日にちを頂いております。ご了承ください。</b><br><br><img src=""http://image.rakuten.co.jp/plowshop/cabinet/plow/stove/ph-gs13pro-img12.jpg""  width=""100%""><br>
<img src=""http://image.rakuten.co.jp/plowshop/cabinet/plow/stove/ph-gs13pro-img13.jpg""  width=""100%""><br>
<img src=""http://image.rakuten.co.jp/plowshop/cabinet/plow/stove/ph-gs13pro-img14.jpg""  width=""100%""><br>

<table width=""100%"" border=""1"" cellspacing=""0"" cellpadding=""5"" bgcolor=""#FFFFFF"">
  <tr>
    <td colspan=""2"">型式番号</td>
    <td>PH-GS13PRO-GX</td>
  </tr>
  <tr>
    <td rowspan=""6"">エ<br>
      ン<br>
      ジ<br>
      ン</td>
    <td>メーカー</td>
    <td>ホンダ</td>
  </tr>
  <tr>
    <td>タイプ</td>
    <td>空冷、単気筒、4ストローク</td>
  </tr>
  <tr>
    <td>エンジンモデル</td>
    <td>GX160H1-QHH</td>
  </tr>
  <tr>
    <td>排気量</td>
    <td>163cc</td>
  </tr>
  <tr>
    <td>燃料タンク容量</td>
    <td>3.1リットル</td>
  </tr>
  <tr>
    <td>エンジンオイル容量</td>
    <td>0.58リットル</td>
  </tr>
  <tr>
    <td colspan=""2"">破壊力</td>
    <td>13</td>
  </tr>
  <tr>
    <td colspan=""2"">サイクルタイム</td>
    <td>12秒（出7秒/戻5秒）</td>
  </tr>
  <tr>
    <td colspan=""2"">油圧タンクオイル容量</td>
    <td>9リットル(油圧用オイル32番)</td>
  </tr>
  <tr>
    <td colspan=""2"">最大破砕寸法</td>
    <td>52.0cm</td>
  </tr>
  <tr>
    <td colspan=""2"">最大分割直径</td>
    <td>45.0cm</td>
  </tr>
  <tr>
    <td rowspan=""3"">寸<br>
      法</td>
    <td>長さ</td>
    <td>152cm</td>
  </tr>
  <tr>
    <td>幅</td>
    <td>75cm</td>
  </tr>
  <tr>
    <td>高さ</td>
    <td>83cm</td>
  </tr>
</table>",薪割り機 PH-GS13PROC-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro]：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機薪割り機 PH-GS13PROC-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro],ホンダエンジン搭載モデル！ 消耗品・修理部品取揃。薪割り機 PH-GS13PROC-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro][rn]
17-26276,http://tshop.r10s.jp/plowshop/cabinet/maki/ph-gs13proc-gx-st.jpg?fitin=700:700,186560.0000,,花・ガーデン・DIY > DIY・工具 > その他,[特別特典付仕様] 薪割り機 PH-GS13PROC-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro MS170C-E],ホンダエンジン搭載モデル！ 消耗品・修理部品取揃,"<b>※ただいまご注文が集中しております。順次配送手配をさせていただいておりますので、発送までに若干のお日にちを頂いております。ご了承ください。</b><br><br><img src=""http://image.rakuten.co.jp/plowshop/cabinet/plow/stove/ph-gs13pro-img12.jpg""  width=""100%""><br>
<img src=""http://image.rakuten.co.jp/plowshop/cabinet/plow/stove/ph-gs13pro-img13.jpg""  width=""100%""><br>
<img src=""http://image.rakuten.co.jp/plowshop/cabinet/plow/stove/ph-gs13pro-img14.jpg""  width=""100%""><br>

<table width=""100%"" border=""1"" cellspacing=""0"" cellpadding=""5"" bgcolor=""#FFFFFF"">
  <tr>
    <td colspan=""2"">型式番号</td>
    <td>PH-GS13PRO-GX</td>
  </tr>
  <tr>
    <td rowspan=""6"">エ<br>
      ン<br>
      ジ<br>
      ン</td>
    <td>メーカー</td>
    <td>ホンダ</td>
  </tr>
  <tr>
    <td>タイプ</td>
    <td>空冷、単気筒、4ストローク</td>
  </tr>
  <tr>
    <td>エンジンモデル</td>
    <td>GX160H1-QHH</td>
  </tr>
  <tr>
    <td>排気量</td>
    <td>163cc</td>
  </tr>
  <tr>
    <td>燃料タンク容量</td>
    <td>3.1リットル</td>
  </tr>
  <tr>
    <td>エンジンオイル容量</td>
    <td>0.58リットル</td>
  </tr>
  <tr>
    <td colspan=""2"">破壊力</td>
    <td>13</td>
  </tr>
  <tr>
    <td colspan=""2"">サイクルタイム</td>
    <td>12秒（出7秒/戻5秒）</td>
  </tr>
  <tr>
    <td colspan=""2"">油圧タンクオイル容量</td>
    <td>9リットル(油圧用オイル32番)</td>
  </tr>
  <tr>
    <td colspan=""2"">最大破砕寸法</td>
    <td>52.0cm</td>
  </tr>
  <tr>
    <td colspan=""2"">最大分割直径</td>
    <td>45.0cm</td>
  </tr>
  <tr>
    <td rowspan=""3"">寸<br>
      法</td>
    <td>長さ</td>
    <td>152cm</td>
  </tr>
  <tr>
    <td>幅</td>
    <td>75cm</td>
  </tr>
  <tr>
    <td>高さ</td>
    <td>83cm</td>
  </tr>
</table>",[特別特典付仕様] 薪割り機 PH-GS13PROC-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro MS170C-E]：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機[特別特典付仕様] 薪割り機 PH-GS13PROC-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro MS170C-E],ホンダエンジン搭載モデル！ 消耗品・修理部品取揃。[特別特典付仕様] 薪割り機 PH-GS13PROC-GX ホンダGXエンジン搭載！ 破砕力13トン エンジン薪割機 52cmの薪まで対応！ [ 薪ストーブ オノ 小型薪割り機 ガソリン式薪割り機 横型薪割り機 13t 13ton  ph-gs13pro MS170C-E][rn]
17-26277,http://tshop.r10s.jp/plowshop/cabinet/honda/enjinponp/sacsyon-hose.jpg?fitin=700:700,434.4000,,花・ガーデン・DIY > DIY・工具 > その他,3インチ〔70ミリ〕エンジンポンプ用排水サニーホース【1メートル】,10000円（税抜）以上で送料無料,,3インチ〔70ミリ〕エンジンポンプ用排水サニーホース【1メートル】：ＰＬＯＷ（プラウ）,薪割り機発電機耕運機芝刈り機草刈機スノーピークアウトドアスチールチェンソー除雪機ホンダヤマハユキオスアストロＰＬＯＷプラウクボタ精米機運搬車刈払機3インチ〔70ミリ〕エンジンポンプ用排水サニーホース【1メートル】,10000円（税抜）以上で送料無料。3インチ〔70ミリ〕エンジンポンプ用排水サニーホース【1メートル】[rn]
