17-21599,,878.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【21600600】(7660961) 木工ドリルビット　６．０×２３５ｍｍ　六角軸シャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●木材の深穴加工に最適なドリルです。<br>●素材に高品質な鋼材を用いており、切れ味と耐久性に優れています。<br><br>●被削材：木材。<br><br>●刃径(mm)：6<br>●溝長(mm)：160<br>●全長(mm)：235<br>●シャンク径(mm)：6<br>●質量(g)：38<br><br>●適合機種：電気ドリル<br><br>",『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【21600600】(7660961) 木工ドリルビット　６．０&times;２３５ｍｍ　六角軸シャンク 受注単位1：クローバー資材館,『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【21600600】(7660961) 木工ドリルビット　６．０&times;２３５ｍｍ　六角軸シャンク 受注単位1,切削工具\穴あけ工具\木工用ドリル。『カード対応OK！』■〒ＡＬＰＥＮ社/ＡＬＰＥＮ【21600600】(7660961) 木工ドリルビット　６．０&times;２３５ｍｍ　六角軸シャンク 受注単位1[rn]
17-21669,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004371461.jpg?fitin=700:700,23885.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒サンドビック/サンドビック　コロミルＥＨ円筒シャンクホルダ【E16-A25-CS-170】(3589111) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,,『カード対応OK！』■〒サンドビック/サンドビック　コロミルＥＨ円筒シャンクホルダ【E16-A25-CS-170】(3589111) 受注単位1：クローバー資材館,『カード対応OK！』■〒サンドビック/サンドビック　コロミルＥＨ円筒シャンクホルダ【E16-A25-CS-170】(3589111) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒サンドビック/サンドビック　コロミルＥＨ円筒シャンクホルダ【E16-A25-CS-170】(3589111) 受注単位1[rn]
17-21670,,600.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【T-8F】(3513173) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【T-8F】(3513173) 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【T-8F】(3513173) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ/タンガロイ　ＴＡＣ工具部品【T-8F】(3513173) 受注単位1[rn]
17-21671,,16038.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【CTFVL2525-3T10-024035】(7029233) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,,『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【CTFVL2525-3T10-024035】(7029233) 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【CTFVL2525-3T10-024035】(7029233) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒タンガロイ/タンガロイ　外径用ＴＡＣバイト【CTFVL2525-3T10-024035】(7029233) 受注単位1[rn]
17-21672,,2673.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　部品【MTK2R】(6730761) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー,,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　部品【MTK2R】(6730761) 受注単位1：クローバー資材館,『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　部品【MTK2R】(6730761) 受注単位1,切削工具\旋削・フライス加工工具\ホルダー。『カード対応OK！』■〒三菱(三菱マテリアルツールズ)　部品【MTK2R】(6730761) 受注単位1[rn]
17-21673,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823213.jpg?fitin=700:700,18784.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレットホルダー (平目用）小径加工用【KH1CA12R】 (3683851) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●切削式小径加工平目用ホルダです。<br>●小径NC旋盤、自動盤、卓上旋盤などによる小径ローレット加工に強力な切削性を発揮します。",『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレットホルダー (平目用）小径加工用【KH1CA12R】 (3683851) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレットホルダー (平目用）小径加工用【KH1CA12R】 (3683851) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレットホルダー (平目用）小径加工用【KH1CA12R】 (3683851) 受注単位1[rn]
17-21674,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002664399.jpg?fitin=700:700,476.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (平目用）細目【KNSF50】 (2701189) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●じん性と耐摩耗性に優れています。",『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (平目用）細目【KNSF50】 (2701189) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (平目用）細目【KNSF50】 (2701189) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (平目用）細目【KNSF50】 (2701189) 受注単位1[rn]
17-21675,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820187.jpg?fitin=700:700,40415.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパーツール転造ロ－レツトホルダ－Ｅ型 (キワ加工アヤ目用）【KH2E20】 (3057429) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●段付ワークのきわまでのローレット加工を解決します。<br>●転造式ローレットアヤ目加工用ホルダです。",『カード対応OK！』■〒スーパーツール/スーパーツール転造ロ&minus;レツトホルダ&minus;Ｅ型 (キワ加工アヤ目用）【KH2E20】 (3057429) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパーツール転造ロ&minus;レツトホルダ&minus;Ｅ型 (キワ加工アヤ目用）【KH2E20】 (3057429) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパーツール転造ロ&minus;レツトホルダ&minus;Ｅ型 (キワ加工アヤ目用）【KH2E20】 (3057429) 受注単位1[rn]
17-21676,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823220.jpg?fitin=700:700,1831.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0905R】 (3683974) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●切削式小径加工用ローレット駒（平目用）です。",『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0905R】 (3683974) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0905R】 (3683974) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0905R】 (3683974) 受注単位1[rn]
17-21677,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863988.jpg?fitin=700:700,2576.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２５．４【KNCD2512】 (2890801) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●切れ味がよく、長持ちします。",『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２５．４【KNCD2512】 (2890801) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２５．４【KNCD2512】 (2890801) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２５．４【KNCD2512】 (2890801) 受注単位1[rn]
17-21678,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823220.jpg?fitin=700:700,1831.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0908R】 (3684008) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●切削式小径加工用ローレット駒（平目用）です。",『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0908R】 (3684008) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0908R】 (3684008) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0908R】 (3684008) 受注単位1[rn]
17-21679,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005162588.jpg?fitin=700:700,470.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニューストロング/ニューストロングローレット駒平目荒目ＮＳＫー２用【KN19-CF】 (3809081) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐摩耗性とじん性に優れています。",『カード対応OK！』■〒ニューストロング/ニューストロングローレット駒平目荒目ＮＳＫー２用【KN19-CF】 (3809081) 受注単位1：クローバー資材館,『カード対応OK！』■〒ニューストロング/ニューストロングローレット駒平目荒目ＮＳＫー２用【KN19-CF】 (3809081) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒ニューストロング/ニューストロングローレット駒平目荒目ＮＳＫー２用【KN19-CF】 (3809081) 受注単位1[rn]
17-21680,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002664398.jpg?fitin=700:700,1572.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー当社規格転造ローレット駒 (アヤ目用）中目 (２コ１組）【KN12MRL】 (2700999) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●じん性と耐摩耗性に優れています。",『カード対応OK！』■〒スーパーツール/スーパー当社規格転造ローレット駒 (アヤ目用）中目 (２コ１組）【KN12MRL】 (2700999) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパー当社規格転造ローレット駒 (アヤ目用）中目 (２コ１組）【KN12MRL】 (2700999) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパー当社規格転造ローレット駒 (アヤ目用）中目 (２コ１組）【KN12MRL】 (2700999) 受注単位1[rn]
17-21681,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863988.jpg?fitin=700:700,2576.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２５．４【KNCD2505】 (2890763) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●切れ味がよく、長持ちします。",『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２５．４【KNCD2505】 (2890763) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２５．４【KNCD2505】 (2890763) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２５．４【KNCD2505】 (2890763) 受注単位1[rn]
17-21682,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820188.jpg?fitin=700:700,3662.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパーツール転造ロ－レツトＥ型駒 (キワ加工用）平目【KNE06F】 (3057445) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●TiN（窒化チタン）コーティングを施してあるので寿命が延びて経済的です。",『カード対応OK！』■〒スーパーツール/スーパーツール転造ロ&minus;レツトＥ型駒 (キワ加工用）平目【KNE06F】 (3057445) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパーツール転造ロ&minus;レツトＥ型駒 (キワ加工用）平目【KNE06F】 (3057445) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパーツール転造ロ&minus;レツトＥ型駒 (キワ加工用）平目【KNE06F】 (3057445) 受注単位1[rn]
17-21683,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003823220.jpg?fitin=700:700,1831.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0907R】 (3683991) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●切削式小径加工用ローレット駒（平目用）です。",『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0907R】 (3683991) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0907R】 (3683991) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパーツール切削ローレット駒 (小径平目用）【KNCF0907R】 (3683991) 受注単位1[rn]
17-21684,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002664400.jpg?fitin=700:700,943.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (アヤ目用）荒目 (２コ１組）【KNSRL14】 (2701197) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●じん性と耐摩耗性に優れています。",『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (アヤ目用）荒目 (２コ１組）【KNSRL14】 (2701197) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (アヤ目用）荒目 (２コ１組）【KNSRL14】 (2701197) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (アヤ目用）荒目 (２コ１組）【KNSRL14】 (2701197) 受注単位1[rn]
17-21685,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010004383102.jpg?fitin=700:700,940.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニューストロング/ニューストロングローレット駒アヤ目細目ＮＡＫー２用【KN19-FRL】 (3809111) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●耐摩耗性とじん性に優れています。",『カード対応OK！』■〒ニューストロング/ニューストロングローレット駒アヤ目細目ＮＡＫー２用【KN19-FRL】 (3809111) 受注単位1：クローバー資材館,『カード対応OK！』■〒ニューストロング/ニューストロングローレット駒アヤ目細目ＮＡＫー２用【KN19-FRL】 (3809111) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒ニューストロング/ニューストロングローレット駒アヤ目細目ＮＡＫー２用【KN19-FRL】 (3809111) 受注単位1[rn]
17-21686,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002664397.jpg?fitin=700:700,790.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー当社規格転造ローレット駒 (平目用）細目【KN12FF】 (2891000) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●じん性と耐摩耗性に優れています。",『カード対応OK！』■〒スーパーツール/スーパー当社規格転造ローレット駒 (平目用）細目【KN12FF】 (2891000) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパー当社規格転造ローレット駒 (平目用）細目【KN12FF】 (2891000) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパー当社規格転造ローレット駒 (平目用）細目【KN12FF】 (2891000) 受注単位1[rn]
17-21687,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002844512.jpg?fitin=700:700,10645.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡタイニーツール・バーホルダー【SIM0016H5】 (3534367) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●タイニーツール（旋盤用小径ソリッドバー）を保持するホルダ16mmシャンクと20mmシャンクがあります。",『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡタイニーツール・バーホルダー【SIM0016H5】 (3534367) 受注単位1：クローバー資材館,『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡタイニーツール・バーホルダー【SIM0016H5】 (3534367) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒ノガ・ジャパン/ＮＯＧＡタイニーツール・バーホルダー【SIM0016H5】 (3534367) 受注単位1[rn]
17-21688,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002664400.jpg?fitin=700:700,943.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (アヤ目用）荒目 (２コ１組）【KNSRL16】 (2701201) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●じん性と耐摩耗性に優れています。",『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (アヤ目用）荒目 (２コ１組）【KNSRL16】 (2701201) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (アヤ目用）荒目 (２コ１組）【KNSRL16】 (2701201) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパー国内標準転造ローレット駒 (アヤ目用）荒目 (２コ１組）【KNSRL16】 (2701201) 受注単位1[rn]
17-21689,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820186.jpg?fitin=700:700,26796.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパーツール転造ローレツトホルダーＥ型 (キワ加工平目用）【KH1E20】 (3057402) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●段付ワークのきわまでのローレット加工を解決します。<br>●転造式ローレット平目加工用ホルダです。<br>●チタンコーティング加工です。",『カード対応OK！』■〒スーパーツール/スーパーツール転造ローレツトホルダーＥ型 (キワ加工平目用）【KH1E20】 (3057402) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパーツール転造ローレツトホルダーＥ型 (キワ加工平目用）【KH1E20】 (3057402) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパーツール転造ローレツトホルダーＥ型 (キワ加工平目用）【KH1E20】 (3057402) 受注単位1[rn]
17-21690,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863989.jpg?fitin=700:700,2576.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (平目用）外径２１．５【KNCF2106R (ﾋﾗﾒ)】 (2890861) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●切れ味がよく、長持ちします。",『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (平目用）外径２１．５【KNCF2106R (ﾋﾗﾒ)】 (2890861) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (平目用）外径２１．５【KNCF2106R (ﾋﾗﾒ)】 (2890861) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (平目用）外径２１．５【KNCF2106R (ﾋﾗﾒ)】 (2890861) 受注単位1[rn]
17-21691,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863988.jpg?fitin=700:700,2466.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２１．５【KNCD2108】 (2890721) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●切れ味がよく、長持ちします。",『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２１．５【KNCD2108】 (2890721) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２１．５【KNCD2108】 (2890721) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒スーパーツール/スーパー切削ローレット駒 (アヤ目用）外径２１．５【KNCD2108】 (2890721) 受注単位1[rn]
17-21692,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005164698.jpg?fitin=700:700,5936.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ニューストロング/ニューストロングローレットホルダーＳＫ型シャンク２０角【NSK-2】 (3809153) 受注単位1,切削工具\旋削・フライス加工工具\ローレット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●駒の芯の高さはホルダシャンク部の高さと同じで芯出し調整がしやすいです。<br>●駒用ピンをねじで止めているので、簡単に駒を交換することができます。<br>●転造式ローレット平目加工用ホルダです。<br>●駒の芯の高さはホルダシャンク部の高さと同じで芯出し調整がしやすいです。<br>●転造式ローレット平目加工用ホルダです。",『カード対応OK！』■〒ニューストロング/ニューストロングローレットホルダーＳＫ型シャンク２０角【NSK-2】 (3809153) 受注単位1：クローバー資材館,『カード対応OK！』■〒ニューストロング/ニューストロングローレットホルダーＳＫ型シャンク２０角【NSK-2】 (3809153) 受注単位1,切削工具\旋削・フライス加工工具\ローレット。『カード対応OK！』■〒ニューストロング/ニューストロングローレットホルダーＳＫ型シャンク２０角【NSK-2】 (3809153) 受注単位1[rn]
17-21693,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005456156.jpg?fitin=700:700,2677.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボッシュ/ＳＤＳプラスビットＸ５Ｌ　１６．５×２１５【X5L165215】(4166353) 受注単位1,切削工具\穴あけ工具\コンクリートドリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●近年パワーアップの著しいハンマードリルの強力な打撃力にもびくともしない頑強さにより、最新のハンマードリルの能力を最大限発揮できます。<br>●デッキプレート貫通作業や、鉄筋干渉によるチップの破損に強く、一般的なビットに比べて約2倍の長寿命を実現しました。<br>●広いフルート断面積と均一で滑らかな表面加工により、切り粉を素早く排出し、切り粉のつまりが発生しません。",『カード対応OK！』■〒ボッシュ/ＳＤＳプラスビットＸ５Ｌ　１６．５&times;２１５【X5L165215】(4166353) 受注単位1：クローバー資材館,『カード対応OK！』■〒ボッシュ/ＳＤＳプラスビットＸ５Ｌ　１６．５&times;２１５【X5L165215】(4166353) 受注単位1,切削工具\穴あけ工具\コンクリートドリル。『カード対応OK！』■〒ボッシュ/ＳＤＳプラスビットＸ５Ｌ　１６．５&times;２１５【X5L165215】(4166353) 受注単位1[rn]
17-21694,,13122.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒サンドビックコロマントカンパ/サンドビック ドリル【460.1-0600-045A1-XM GC34】(6115802) コロドリル460 超硬ソリッドドリル ＣＯＡＴ 発注単位1,切削工具\穴あけ工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●高い汎用性の超硬ソリッドドリル。<br>
●あらゆる被削材の穴あけ加工に対応し、ドリル在庫を削減。<br>
●短納期でドリルのカスタマイズが可能。<br>
●あらゆる被削材の穴あけ加工に。<br>
●混載ワークの穴あけ加工に。<br>
●CZCMS:6<br>
●DC:6.00<br>
●LU:49<br>
●DCON:6<br>
●LCF:62<br>
●PL:1.09<br>
●ULDR:8<br>
●SIG:140.0°",■〒サンドビックコロマントカンパ/サンドビック ドリル【460.1-0600-045A1-XM GC34】(6115802) コロドリル460 超硬ソリッドドリル ＣＯＡＴ 発注単位1：クローバー資材館,■〒サンドビックコロマントカンパ/サンドビック ドリル【460.1-0600-045A1-XM GC34】(6115802) コロドリル460 超硬ソリッドドリル ＣＯＡＴ 発注単位1,切削工具\穴あけ工具。■〒サンドビックコロマントカンパ/サンドビック ドリル【460.1-0600-045A1-XM GC34】(6115802) コロドリル460 超硬ソリッドドリル ＣＯＡＴ 発注単位1[rn]
