17-109699,,1398.4000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●使用されているドイツ鋼は「粘り」と同時に「硬さ」も同時に兼ね備えており、工具には最適な材質です。<br>●剪定鋏１１０４の下部替刃です。<br>●全長(mm):95<br>●タイプ:下部<br>●高炭素刃物鍛造鋼（クロムコーティング）<br>",『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1,オフィス住設用品\緑化用品\園芸用ハサミ。『カード対応OK！』■〒ＢＥＲＧＥＲ社/Ｂｅｒｇｅｒ【91003】(4425570)剪定鋏１１０４用替刃２ 受注単位1[rn]
17-109761,http://tshop.r10s.jp/g-life/cabinet/tasya8/9439232-e.jpg?fitin=700:700,3048.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,サボテン 刈込鋏替刃式 NO.1550R オレンジ【TC】【FS】 楽天,　,"生垣・植込・芝生に最適な刈込鋏です。<br>高品質刃物鋼を精密加工。カッティングエッジに理想的な形状と硬度を持たせ、鋭くしなやかな切れ味を発揮します。<br>少ない力でより軽快に刈りこむことができます。<br>刃のフィーリングはお好みの硬さに刃調節ツマミを回すだけ！<br>小枝から芝生の刈りこみまで、作業に応じて刃の締め付け具合を自由に調整できます。<br>機能性を追求したハンドルは、接点部にクッション材を使用し手にかかるショックを和らげます。<br>ブレード全体はテフロン加工なので、サビにも強く耐久性バツグン！<br><br>
●生木切断目安：10mm<br>
●全長：約51cm<br>
●刃長：約15cm<br>
●重量：約570g<br>
●材質<br>
刃：刃物鋼SKS-51<br><br><br>
<font size=-1>◇◆おススメ商品◆◇<br>
<b>★サボテン　替刃式　芝生ハサミ　NO.1580　イエロー</b><br>
<b>★サボテン　替刃（NO.1580用）　NO.RB-80</b><br>
<b>★サボテン　刈込鋏替刃式　NO.1550R　オレンジ</b><br>
<b>★サボテン　替刃（NO.1550・NO.1551用）　NO.RB-50</b><br>
<b>★サボテン　強力型刈込鋏替刃式　NO.1560R　オレンジ</b><br>
<b>★サボテン　替刃（NO.1560・NO.1561用）　NO.RB-60</b><br>
<b>★サボテン　太枝切鋏替刃式　NO.1570R　オレンジ</b><br>
<b>★サボテン　替刃（NO.1570用）　NO.RB-70</b><br>
</font><br><br>※こちらの商品はお取り寄せ商品です。<br>ご注文後に在庫切れが判明した場合、お届けまでお時間を頂戴致します。<br>また、完売が判明した場合、ご注文キャンセルさせていただく場合がございます。<br>予めご了承くださいませ。<br><br>",サボテン 刈込鋏替刃式 NO.1550R オレンジ【TC】【FS】 楽天：ガーデニングライフ,サボテン 刈込鋏替刃式 NO.1550R オレンジ【TC】【FS】 楽天,　。サボテン 刈込鋏替刃式 NO.1550R オレンジ【TC】【FS】 楽天[rn]
17-109762,http://tshop.r10s.jp/g-life/cabinet/tasya8/9439159-e.jpg?fitin=700:700,1356.8000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,サボテン エクセレント 剪定鋏 NO.EX-4 カシスレッド【TC】【FS】 楽天,　,"注油なしで長期間ガタ付きを抑え、バランスを保つ、ピポスライドシステム採用！<br>刃物用に開発したフッ素コートはサビ・ヤニに強く、軽い切れ味が長持ちします。<br><br>
●商品サイズ（約）：幅6×奥行き1.8×高さ20.5cm<br>
●全長：約20.5cm<br>
●重量：約250g<br>
●材質：刃物鋼SK-5、PVC樹脂<br><br><br>
<font size=-1>◇◆おススメ商品◆◇<br>
<b>★サボテン　エクセレント　剪定鋏　NO.EX-1　カシスレッド</b><br>
<b>★サボテン　エクセレント　替刃式剪定鋏　NO.EX-2　カシスレッド</b><br>
<b>★サボテン　エクセレント　替刃式剪定鋏　NO.EX-3　カシスレッド</b><br>
<b>★サボテン　エクセレント　剪定鋏　NO.EX-4　カシスレッド</b><br>
<b>★サボテン　エクセレント　剪定鋏　押切　NO.EX-5　カシスレッド</b><br>
<b>★サボテン　エクセレント　レディース剪定鋏　NO.EX-6　カシスレッド</b><br>
<b>★サボテン　エクセレント　レディース剪定鋏　NO.EX-7　カシスレッド</b><br>
<b>★サボテン　エクセレント　レディース剪定鋏　押切　NO.EX-8　カシスレッド</b><br>
<b>★サボテン　エクセレント　替刃（EX-2・EX-3用）NO.RB-23</b><br>
</font><br><br>※こちらの商品はお取り寄せ商品です。<br>ご注文後に在庫切れが判明した場合、お届けまでお時間を頂戴致します。<br>また、完売が判明した場合、ご注文キャンセルさせていただく場合がございます。<br>予めご了承くださいませ。<br><br>",サボテン エクセレント 剪定鋏 NO.EX-4 カシスレッド【TC】【FS】 楽天：ガーデニングライフ,サボテン エクセレント 剪定鋏 NO.EX-4 カシスレッド【TC】【FS】 楽天,　。サボテン エクセレント 剪定鋏 NO.EX-4 カシスレッド【TC】【FS】 楽天[rn]
17-109763,http://tshop.r10s.jp/g-life/cabinet/garden/9439282-e.jpg?fitin=700:700,1204.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,サボテン 先丸ぶどう鋏 NO.B-6 ピンク【TC】【FS】 楽天,　,"ステンレス刃＋フッ素コートで、シブが付きにくい！軽量タイプのぶどう鋏です。<br>刃先が丸く実をつきにくい、安心の先丸形状♪<br>房作りに便利な目盛付き（3・5・8・10・13cm）。<br>衝撃を吸収するソフト樹脂製で手や手首にやさしい設計です。<br><br>
●商品サイズ（約）：刃長160mm<br>
●重量：約45g<br>
●刃背部・R面取り<br>
●刃幅極細<br><br>※こちらの商品はお取り寄せ商品です。<br>ご注文後に在庫切れが判明した場合、お届けまでお時間を頂戴致します。<br>また、完売が判明した場合、ご注文キャンセルさせていただく場合がございます。<br>予めご了承くださいませ。<br><br>",サボテン 先丸ぶどう鋏 NO.B-6 ピンク【TC】【FS】 楽天：ガーデニングライフ,サボテン 先丸ぶどう鋏 NO.B-6 ピンク【TC】【FS】 楽天,　。サボテン 先丸ぶどう鋏 NO.B-6 ピンク【TC】【FS】 楽天[rn]
17-109764,http://tshop.r10s.jp/g-life/cabinet/tasya21/7024462-e.jpg?fitin=700:700,4384.8000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【送料無料】園芸ばさみギアプルーナFSK9654【D】 楽天,　,"パワーギア採用で約25%のパワーアップを実現！<br>
生木、若木に最適。<br>
手の大きさに合わせることができるアジャスト機能搭載。<br><br>

複数個のギアを組み合わせることにより、パワー伝達率が上昇。<br>
従来の剪定ばさみと比べ、パワー伝達効率が約3倍で、剪定作業で手にかかる負担も少なくなり、疲れにくくなっています。<br>
さらに手の負担を減らすために、ハンドルを回転させることで、全ての指を使って力を加えることができます。<br><br>

園芸ばさみギアプルーナの刃は「バイパス」と呼ばれ、成長している植物の剪定に適しています。<br>
一般的なはさみのように、カーブした２つの刃が若木を鋭い刃で切り落とします！<br><br>●商品サイズ（cm）：幅約21.0<br>
●重量：約0.272kg<br>
●材質刃：CｒMoV鋼（上刃）・サンドヴィック鋼（下刃）、グリップ：グラスファイバー強化ナイロン樹脂<br>
●対応する枝の太さ：約20mm<br>",【送料無料】園芸ばさみギアプルーナFSK9654【D】 楽天：ガーデニングライフ,【送料無料】園芸ばさみギアプルーナFSK9654【D】 楽天,　。【送料無料】園芸ばさみギアプルーナFSK9654【D】 楽天[rn]
17-109765,http://tshop.r10s.jp/g-life/cabinet/tasya4/9272538-e.jpg?fitin=700:700,4556.8000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【送料無料】ムサシ ポールスリム３段式アンビル型NO.336【D】 楽天,　,●便利な万能のこぎりです。●刃物を付け替えれば色々なものが切れます。●専用ホルダ(別売品）でジグソー刃も使用可能です。●庭木の剪定、金属製品・繊維製品・ダンボールの切断。,【送料無料】ムサシ ポールスリム３段式アンビル型NO.336【D】 楽天：ガーデニングライフ,【送料無料】ムサシ ポールスリム３段式アンビル型NO.336【D】 楽天,　。【送料無料】ムサシ ポールスリム３段式アンビル型NO.336【D】 楽天[rn]
17-109766,http://tshop.r10s.jp/g-life/cabinet/tasya17/9758801-e.jpg?fitin=700:700,3689.6000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,剪定ばさみ 剪定鋏 岡恒 刈込鋏55型 ショートハンドル 216【送料無料】剪定はさみ 剪定ハサミ オカツネ【TC】【FS】 楽天,　,"最高級刃物鋼を材料とし、刃持ちと切れ味を発揮！<br>
柄が短く、脚立に登っての高所の作業にも適します。<br><br>
●商品サイズ（cm）<br>
全長：約51.5<br>
刃長：約14.5<br>
●重量：720g<br>
●材質<br>
刃：高級刃物鋼<br>
柄：樫
<br><br>◇◆おススメ商品◆◇<br>
<b>★岡恒 採果鋏 301</b><br>
<b>★岡恒 剪定鋏 101</b><br>
<b>★岡恒 刈込鋏55型 204</b><br>
<b>★岡恒 刈込鋏65型 230</b><br>
<b>★岡恒 刈込鋏60型 ショートハンドル 217</b><br>
<b>★岡恒 刈込鋏60門型 214</b><br>
<b>★岡恒 摘果鋏 307</b><br><br><br>※こちらの商品はお取り寄せ商品です。<br>ご注文後に在庫切れが判明した場合、お届けまでお時間を頂戴致します。<br>また、完売が判明した場合、ご注文キャンセルさせていただく場合がございます。<br>予めご了承くださいませ。<br><br>",剪定ばさみ 剪定鋏 岡恒 刈込鋏55型 ショートハンドル 216【送料無料】剪定はさみ 剪定ハサミ オカツネ【TC】【FS】 楽天：ガーデニングライフ,剪定ばさみ 剪定鋏 岡恒 刈込鋏55型 ショートハンドル 216【送料無料】剪定はさみ 剪定ハサミ オカツネ【TC】【FS】 楽天,　。剪定ばさみ 剪定鋏 岡恒 刈込鋏55型 ショートハンドル 216【送料無料】剪定はさみ 剪定ハサミ オカツネ【TC】【FS】 楽天[rn]
17-109767,http://tshop.r10s.jp/g-life/cabinet/tasya2/9435607.jpg?fitin=700:700,5219.2000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【送料無料】【ニシガキ】太丸（果樹剪定用）1500N-158 1.5M【TC】【剪定はさみ/剪定ハサミ/太枝切り/高枝切り鋏/果樹剪定/根切り/植木鋏/園芸用品/ガーデニング用品】 楽天,　,太枝切りの革命品、テコの力で切れ味抜群！！<br><br>テコの力でらくらく枝切り！ <br>太い枝も軽い力で切る事が出来ます。 <br>ハサミが110度回転しますので、狭い所での作業性に優れています。 <br>美しい切り口で腐れ、病害虫を防ぎます。 <br>枝の後処理・剪定鋏の代用としても使用できます。<br>植木の根切り、剪定後の後始末に大変便利です。<br>切った枝のカキ出しに便利なツメ付き。 <br>果樹剪定刃・普通刃の2種類を用意。 <br><br>●用途：植木・果樹剪定専用<br>●用途に応じたお薦めサイズ<br>　果樹剪定用…太丸全サイズ使用<br>　植木剪定用…0.6M・0.8M・1.0Mを使用<br>　一般枝切り用…全サイズ使用<br>　黒豆収穫用…0.8M・1.0Mを使用<br>●切断直径：最大生木約2.5cm、4.0cmの2種類<br>●商品サイズ（約）<br>　全長：1.5m<br>　刃長：8.5cm<br>●商品重量（約）：1300g<br><br><br>※こちらの商品はお取り寄せ商品です。<br>ご注文後に在庫切れが判明した場合、お届けまでお時間を頂戴致します。<br>また、完売が判明した場合、ご注文キャンセルさせていただく場合がございます。<br>予めご了承くださいませ。<br><br>,【送料無料】【ニシガキ】太丸（果樹剪定用）1500N-158 1.5M【TC】【剪定はさみ/剪定ハサミ/太枝切り/高枝切り鋏/果樹剪定/根切り/植木鋏/園芸用品/ガーデニング用品】 楽天：ガーデニングライフ,【送料無料】【ニシガキ】太丸（果樹剪定用）1500N-158 1.5M【TC】【剪定はさみ/剪定ハサミ/太枝切り/高枝切り鋏/果樹剪定/根切り/植木鋏/園芸用品/ガーデニング用品】 楽天,　。【送料無料】【ニシガキ】太丸（果樹剪定用）1500N-158 1.5M【TC】【剪定はさみ/剪定ハサミ/太枝切り/高枝切り鋏/果樹剪定/根切り/植木鋏/園芸用品/ガーデニング用品】 楽天[rn]
17-109768,http://tshop.r10s.jp/soukai/cabinet/06/4965280665706.jpg?fitin=700:700,1813.6000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,アルスヌーボーダブル 3100-BK(1本入)【送料無料】,【送料無料】,☆送料無料☆<br>【発売元、製造元、輸入元又は販売元】アルスコーポレーション<br>【商品詳細】<br>●草花カット・フィルムをカット・リボンをカットなどフラワーアレンジメントに最適です。<br>●アレンジメントでのワイヤーカット機能をプラス。最大直径2mmまでのワイヤーをカット出来ます。<br>●にぎり易いソフトグリップです。<br>●切れ味、耐久性に優れた高炭素刃物鋼使用<br>●サビや摩耗を抑える、アルスの技術「ハードクロームメッキ仕上げ」<br>●フラワーアレンジメントに、園芸作業に<br>【規格概要】<br><table width=350 border=2><tr><td>全長・・・170mm </td></tr></table><p>(はさみ 園芸剪定鋏 生花)</p><p>広告文責：株式会社爽快ドラッグ</p>,アルスヌーボーダブル 3100-BK(1本入)【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションアルスヌーボーダブル 3100-BK(1本入)【送料無料】,【送料無料】。アルスヌーボーダブル 3100-BK(1本入)【送料無料】[rn]
17-109769,http://tshop.r10s.jp/soukai/cabinet/00/4965280992000.jpg?fitin=700:700,1813.6000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,Gクラシック ガーデニング鋏 GC-130(1本入)【送料無料】,☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞ガーデニング＞剪定用品・農具＞Gクラシック ガーデニング鋏 GC-130 (1本入)<br><br>☆送料無料☆<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z00/z4965280992000.jpg' width='100%'><br><br>【Gクラシック ガーデニング鋏 GC-130の商品詳細】<br>●Gクラッシックは400年にわたる堺刃物の伝統と技を受け継ぎ最新の技術を生かして開発された鋏です。<br>●草花の手入れで切り口が美しく枝や茎を傷めずスムーズに切断できます。<br>●刃が大きく開きますので太い枝も楽々切れます。<br>●使用しない時は安全ストッパーでしっかり固定できます。<br>●反発力に優れたスプリングを使用しているので、開閉が極めてスムーズです。<br><br>【Gクラシック ガーデニング鋏 GC-130の原材料】<br>刃・・・高炭素刃物鋼、ハードクローム仕上げ<br>【規格概要】<br>全長・・・185mm<br>重量・・・135g<br>【注意事項】<br>・アルスの刃物は鋭く切れるように種々の工夫がなされておりますので誤った使い方を致しますとケガをする危険性がありますので充分な注意が必要です。<br>・刃先に直接触れるとケガをします。特に刃部(はさみ)が重なる部分に手を入れないで下さい。<br><br>【発売元、製造元、輸入元又は販売元】<br>アルスコーポレーション<br><br>(園芸剪定鋏クラフト鋏アルス ジークラシック はさみ)<br><br>アルスコーポレーション<br>599-8267 大阪府堺市中区八田寺町476-3<br>072-260-2121<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ガーデニング],Gクラシック ガーデニング鋏 GC-130(1本入)【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションGクラシック ガーデニング鋏 GC-130(1本入)【送料無料】,☆送料無料☆。Gクラシック ガーデニング鋏 GC-130(1本入)【送料無料】[rn]
17-109770,http://tshop.r10s.jp/soukai/cabinet/00/4960517190600.jpg?fitin=700:700,594.4000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,金象印 マイフィットガーデン鋏 MF-120(1コ入)【金象印】,金象印(税抜1900円以上で送料無料),★税抜1900円以上で送料無料★<br>【発売元、製造元、輸入元又は販売元】浅香工業<br>【商品詳細】<br>●2009年度グッドデザイン賞受賞商品<br>●刃先はステンレス材に熱処理を施し丈夫でさびに強く、お手入れが簡単です。<br>●手の小さな女性に配慮し、刃先が開いた時の指はずれを防ぐ環状グリップと親指下のふくらみ部にフィットするR形状グリップを採用しています。<br>【金象印 マイフィットガーデン鋏 MF-120の原材料】<br><table width=350 border=2><tr><td>刃先・・・ステンレス<br>グリップ・・・樹脂</td></tr></table><br>【規格概要】<br><table width=350 border=2><tr><td>サイズ・・・18.8*9*1.2cm<br>全長・・・18.8cm<br>刃の長さ・・・6.5cm<br>重量・・・80g<br>切断能力・・・6mm以下生木に限る</td></tr></table><p>(はさみ)</p><p>広告文責：株式会社爽快ドラッグ</p>,金象印 マイフィットガーデン鋏 MF-120(1コ入)【金象印】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーション金象印 マイフィットガーデン鋏 MF-120(1コ入)【金象印】,金象印(税抜1900円以上で送料無料)。金象印 マイフィットガーデン鋏 MF-120(1コ入)【金象印】[rn]
17-109771,http://tshop.r10s.jp/soukai/cabinet/61/4960673618161.jpg?fitin=700:700,7223.2000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,リョービ 充電式剪定ばさみ BSH-120(1台)【リョービ(RYOBI)】【送料無料】,リョービ(RYOBI)【送料無料】,☆送料無料☆<br>【発売元、製造元、輸入元又は販売元】リョービ<br>【商品詳細】<br>●電気の力で力いらずで手軽に剪定<br>●充電時間60分で約350カットできます。<br>●枝の剪定以外にパイプ状の樹脂も切断が可能<br>【リョービ 充電式剪定ばさみ BSH-120の原材料】<br><table width=350 border=2><tr><td>ハウジング・・・ABS<br>ブレード・・・鋼<br>ブレードカバー・・・ABS<br>充電器・・・ABS+PC</td></tr></table><br>【規格概要】<br><table width=350 border=2><tr><td>本体サイズ・・・W98*D300*H52mm<br>本体重量・・・600g<br>電圧・・・DC3.6V(リチウムイオン電池)<br>電池容量・・・1300mAh<br>充電時間・・・約60分<br>最大切断枝径・・・Φ12mm<br>連続作業目安・・・約350カット<br>付属品・・・ブレード(刃)、ブレードカバー、充電器</td></tr></table><p>(RYOBI 剪定挟)</p><p>広告文責：株式会社爽快ドラッグ</p>,リョービ 充電式剪定ばさみ BSH-120(1台)【リョービ(RYOBI)】【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションリョービ 充電式剪定ばさみ BSH-120(1台)【リョービ(RYOBI)】【送料無料】,リョービ(RYOBI)【送料無料】。リョービ 充電式剪定ばさみ BSH-120(1台)【リョービ(RYOBI)】【送料無料】[rn]
17-109772,http://tshop.r10s.jp/soukai/cabinet/94/4954438803794.jpg?fitin=700:700,3837.6000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,伸縮式ラチェット枝切り鋏 809642(1台)【送料無料】,☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞ガーデニング＞剪定用品・農具＞伸縮式ラチェット枝切り鋏 809642 (1台)<br><br>☆送料無料☆<br><br>【伸縮式ラチェット枝切り鋏 809642の商品詳細】<br>●滑り止め付きの刃受け採用で、枝をガッチリ固定、確実に切っていく！<br>●柄の長さが4段階調節で伸縮可能！<br>●今までの太枝切り鋏では切りにくかった作業がもっとラクになる「ラチェット」方式を使った鋏<br>●力点を4段階に分けて徐々に確実に切っていきます。切れる枝の太さは最大直径40mm。ハンドルは長さ調節が可能で、4段階の長さを選べます。<br>●ハンドル部分は耐久性の高いアルミ合金製を採用してます。<br>●刃はフッ素加工済み<br><br>【伸縮式ラチェット枝切り鋏 809642の原材料】<br>刃・・・炭素工具鋼S50C(フッ素樹脂加工)<br>柄部・・・アルミ合金<br>グリップ・・・TPR・PP<br>【規格概要】<br>サイズ・・・51.5*23.5*3.5cm<br>柄の長さ・・・51.5・58・64・70cmの4段階調節可<br>重量・・・約1076g<br><br>【発売元、製造元、輸入元又は販売元】<br>後藤<br><br>(枝きり鋏 枝きりばさみ 枝切りバサミ)<br><br>後藤<br>596-0003 大阪府岸和田市中井町3-22-1<br>072-441-0510<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ガーデニング],伸縮式ラチェット枝切り鋏 809642(1台)【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーション伸縮式ラチェット枝切り鋏 809642(1台)【送料無料】,☆送料無料☆。伸縮式ラチェット枝切り鋏 809642(1台)【送料無料】[rn]
17-109773,http://tshop.r10s.jp/soukai/cabinet/17/4965280992017.jpg?fitin=700:700,1813.6000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,Gクラシック ガーデニング鋏 GC-140(1本入)【送料無料】,☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞ガーデニング＞剪定用品・農具＞Gクラシック ガーデニング鋏 GC-140 (1本入)<br><br>☆送料無料☆<br><br><img src='http://image.rakuten.co.jp/soukai/cabinet/z17/z4965280992017.jpg' width='100%'><br><br>【Gクラシック ガーデニング鋏 GC-140の商品詳細】<br>●Gクラッシックは400年にわたる堺刃物の伝統と技を受け継ぎ最新の技術を生かして開発された鋏です。<br>●草花の手入れで切り口が美しく枝や茎を傷めずスムーズに切断できます。<br>●刃が大きく開きますので太い枝も楽々切れます。<br>●シャープな切り口はくされや病害虫などを防ぎます。束ね切りにも優れています。<br>●使用しない時は安全ストッパーでしっかり固定できます。<br>●反発力に優れたスプリングを使用しているので、開閉が極めてスムーズです。<br><br>【Gクラシック ガーデニング鋏 GC-140の原材料】<br>刃・・・高炭素刃物鋼、ハードクローム仕上げ<br>【規格概要】<br>全長・・・192mm<br>重量・・・130g<br>【注意事項】<br>・アルスの刃物は鋭く切れるように種々の工夫がなされておりますので誤った使い方を致しますとケガをする危険性がありますので充分な注意が必要です。<br>・刃先に直接触れるとケガをします。特に刃部(はさみ)が重なる部分に手を入れないで下さい。<br><br>【発売元、製造元、輸入元又は販売元】<br>アルスコーポレーション<br><br>(園芸剪定鋏クラフト鋏アルス ジークラシック はさみ)<br><br>アルスコーポレーション<br>599-8267 大阪府堺市中区八田寺町476-3<br>072-260-2121<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ガーデニング],Gクラシック ガーデニング鋏 GC-140(1本入)【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションGクラシック ガーデニング鋏 GC-140(1本入)【送料無料】,☆送料無料☆。Gクラシック ガーデニング鋏 GC-140(1本入)【送料無料】[rn]
17-109774,http://tshop.r10s.jp/soukai/cabinet/83/4965280654083.jpg?fitin=700:700,1661.6000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,ミニチョキDX 130DX(1本入)【送料無料】,☆送料無料☆,<img src='http://www.rakuten.ne.jp/gold/soukai/image/0_r_cam.jpg' border='0'><br><br>お店TOP＞日用品＞ガーデニング＞剪定用品・農具＞ミニチョキDX 130DX (1本入)<br><br>☆送料無料☆<br><br>【ミニチョキDX 130DXの商品詳細】<br>●刃が大きく開き、太い枝も楽に切れます。<br>●打ち合いゴムのクッション効果により、切断時に起こる衝撃を和らげます。<br>●使用しない時は安全ストッパーでしっかり固定出来ます。<br>●開き幅調整機構<br><br>【規格概要】<br>全長・・・185mm<br><br>【発売元、製造元、輸入元又は販売元】<br>アルスコーポレーション<br><br>(はさみ 園芸剪定鋏 クラフト鋏 デラックス)<br><br>/(/F212004/)/<br><br>アルスコーポレーション<br>599-8267 大阪府堺市中区八田寺町476-3<br>072-260-2121<br><br>広告文責：株式会社爽快ドラッグ<br><br>[ガーデニング],ミニチョキDX 130DX(1本入)【送料無料】：爽快ドラッグ,掃除洗濯健康食品水・ドリンク食料品医薬品ヘルスケアベビー日用品ビューティ家電ペットスポーツリラクゼーションミニチョキDX 130DX(1本入)【送料無料】,☆送料無料☆。ミニチョキDX 130DX(1本入)【送料無料】[rn]
17-109775,http://tshop.r10s.jp/aichaku/cabinet/004286_1.jpg?fitin=700:700,2400.0000,,花・ガーデン・DIY > ガーデニング・農業 > 剪定用具 > 園芸用はさみ,【送料無料!!】 剪定鋏（剪定はさみ）　　　　【RCP】　　　10P02jun13,【送料無料!!】1本あればご家庭の菜園・花壇で大活躍☆,"<br>庭木の枝切り、太い枝もＯＫです。(プロ仕様）
<br>刃付けは一丁づつ手仕上げです。
<br>グリップは手がすべらず疲れにくい樹脂コーティングです。
<br>ヤスキハガネで永切れし、切れ味抜群です。
<br>これからのガーデニングに是非オススメ",【送料無料!!】 剪定鋏（剪定はさみ）　　　　【RCP】　　　10P02jun13：愛着良品,生活雑貨シャワーキッチン用品料理お掃除グッズサプリメントインテリア家具健康インテリア雑貨アロマアイデア商品化粧品ファッションダイエット家庭用品愛着良品キッチングッズ木目調マットビタミン【送料無料!!】 剪定鋏（剪定はさみ）　　　　【RCP】　　　10P02jun13,【送料無料!!】1本あればご家庭の菜園・花壇で大活躍☆。【送料無料!!】 剪定鋏（剪定はさみ）　　　　【RCP】　　　10P02jun13[rn]
