17-100799,http://tshop.r10s.jp/ky-kanariya/cabinet/02153211/img58315255.jpg?fitin=700:700,396.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 刺繍道具 > 刺繍キット,オリムパスストラップししゅうキットトリＳＴ-２０,クロスステッチ,初級者向                                      <br><br>出来上がり寸法　：　本体/全長約１１ｃｍ<br>アクリルケース外径：縦４.２ｃｍｘ横３.９ｃｍｘ幅０.６ｃｍ、内径：縦３.５ｃｍｘ横３.３ｃｍ<br>キット内容　：　オリムパス２５番ししゅう糸(綿１００％)・No.３９００布 アイーダ 白(綿１００%)・ストラップ・台紙・クロス針・図案説明書          <br>打込目数:１８カウント／1インチ・約７０目／１０cm　　　　　　　　　　　　　　　　　　　　　<br><br>発売元 ： オリムパス株式会社<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>,オリムパスストラップししゅうキットトリＳＴ-２０：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパスストラップししゅうキットトリＳＴ-２０,クロスステッチ。オリムパスストラップししゅうキットトリＳＴ-２０[rn]
17-100810,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56597736.jpg?fitin=700:700,2520.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 刺繍道具 > 刺繍キット,オリムパスクッション　ドナルドダックN0.６０３４ベージュ,,ししゅうキット初級～中級者向                   <br><br>出来上がり寸法　：　約 縦４０cm×横４０cm <br>キット内容　：　オリムパス２５番ししゅう糸(綿１００％)・オリムパスNo.３０００布 ジャバクロス中目(４)・ベージュ綿(１００％)・クロス針・プリントネーム・カラー図案説明書                      <br>バッグ、額にも仕立てられます。<br>額・クッションの中わた・ファスナー・バッグの持ち手はキットに含まれていません。<br>                                           <br>発売元 ： オリムパス株式会社<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>,オリムパスクッション　ドナルドダックN0.６０３４ベージュ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパスクッション　ドナルドダックN0.６０３４ベージュ,オリムパスクッション　ドナルドダックN0.６０３４ベージュ[rn]
17-100811,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56597756.jpg?fitin=700:700,2520.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 刺繍道具 > 刺繍キット,オリムパスクッション　スティッチN0.６０３６ベージュ,,ししゅうキット初級～中級者向                  <br><br>出来上がり寸法　：　約 縦４０cm×横４０cm  <br>キット内容　：　オリムパス２５番ししゅう糸(綿１００％)・オリムパスNo.３０００布 ジャバクロス中目(４)・ベージュ綿(１００％)・クロス針・プリントネーム・カラー図案説明書　　　　　　          <br>バッグ、額にも仕立てられます。<br>額・クッションの中わた・ファスナー・バッグの持ち手はキットに含まれていません。<br>                                          <br>発売元 ： オリムパス株式会社<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>,オリムパスクッション　スティッチN0.６０３６ベージュ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパスクッション　スティッチN0.６０３６ベージュ,オリムパスクッション　スティッチN0.６０３６ベージュ[rn]
17-100812,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56597876.jpg?fitin=700:700,1728.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 刺繍道具 > 刺繍キット,オリムパスクロスステッチししゅうキットDisneyミッキーN0.７０３３ベージュ,,ししゅうキット初級～中級者向                  <br><br>出来上がり寸法　: 　額内径１５.５cm×１５.５cm                                            <br>キット内容　：　しゅう糸(綿１００％)・ししゅう布、ベージュ地(No.８３００布・綿１００％)・ししゅう針・図案説明書・おしゃれフープ(Ｐー１１１)・プリントネーム　　　　　　　　　　　　　　　  　<br>発売元 ： オリムパス株式会社<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>,オリムパスクロスステッチししゅうキットDisneyミッキーN0.７０３３ベージュ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパスクロスステッチししゅうキットDisneyミッキーN0.７０３３ベージュ,オリムパスクロスステッチししゅうキットDisneyミッキーN0.７０３３ベージュ[rn]
17-100813,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56612969.jpg?fitin=700:700,1728.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 刺繍道具 > 刺繍キット,オリムパスクロスステッチししゅうキットDisneyミ二ーN0.７０３４ベージュ,,ししゅうキット初級～中級者向                  <br><br>出来上がり寸法　：　額内径１５.５cm×１５.５cm<br>キット内容　：　ししゅう糸(綿１００％)・ししゅう布、ベージュ地(No.８３００布・１００％)・ししゅう針・図案説明書・おしゃれフープ(Ｐー１１１)・プリントネーム                                <br>打込目数:１３カウント／１インチ・約５２目／１０cm<br>                                          <br>発売元 ： オリムパス株式会社<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>,オリムパスクロスステッチししゅうキットDisneyミ二ーN0.７０３４ベージュ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパスクロスステッチししゅうキットDisneyミ二ーN0.７０３４ベージュ,オリムパスクロスステッチししゅうキットDisneyミ二ーN0.７０３４ベージュ[rn]
17-100814,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56601464.jpg?fitin=700:700,1872.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 刺繍道具 > 刺繍キット,オリムパスクロスステッチししゅうキットDisneyミッキーマウス専用額付N0.７２３４白,,ししゅうキット初級～中級者向                  <br><br>出来上がり寸法　：　１３.８cm×１０.８cm・額外径：１８.２cm×１５.２cm・額内径:１３.８cm×１０.８cm<br>キット内容　：　オリムパス２５番ししゅう糸(綿１００％)・オリムパスNo.３８００布(アイーダ)(６)・白（綿１００％)・クロス針・額Ｗ-４０・カラー図案説明書　　　　　　　　　　　　　　　　　<br>打込目数：１４カウント／1インチ・約５５目／１０ｃｍ<br>                                          　<br>発売元 ： オリムパス株式会社<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>,オリムパスクロスステッチししゅうキットDisneyミッキーマウス専用額付N0.７２３４白：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパスクロスステッチししゅうキットDisneyミッキーマウス専用額付N0.７２３４白,オリムパスクロスステッチししゅうキットDisneyミッキーマウス専用額付N0.７２３４白[rn]
17-100815,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56601527.jpg?fitin=700:700,1872.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 刺繍道具 > 刺繍キット,オリムパスクロスステッチししゅうキットDisneyミ二ーマウス専用額付N0.７２３５白,,ししゅうキット初級～中級者向                  <br><br>出来上がり寸法　：　額外径：縦１８.２cmx横１５.２cm、額内径：縦１３.８cmx横１０.８cm<br>キット内容　：　オリムパス２５番ししゅう糸(綿１００％)・オリムパスNo.３８００布(アイーダ)(６)・白（綿１００％)・クロス針・額Ｗ－４０・カラー図案説明書                   　　　　　　　　　<br>打込目数：１４カウント／１インチ・約５５目／１０ｃｍ<br>                                          　<br>発売元 ： オリムパス株式会社<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>,オリムパスクロスステッチししゅうキットDisneyミ二ーマウス専用額付N0.７２３５白：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパスクロスステッチししゅうキットDisneyミ二ーマウス専用額付N0.７２３５白,オリムパスクロスステッチししゅうキットDisneyミ二ーマウス専用額付N0.７２３５白[rn]
17-100816,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56601549.jpg?fitin=700:700,1872.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 刺繍道具 > 刺繍キット,オリムパスクロスステッチししゅうキットDisneyチップ＆デール専用額付N0.７２３６白,,ししゅうキット初級～中級者向                  <br><br>出来上がり寸法　：　額外径：縦１５.２cmx横１８.２cm、額内径：縦１０.８cmx横１３.８cm<br>キット内容　：　オリムパス２５番ししゅう糸(綿１００％)・オリムパスNo.３８００布(アイーダ)(６)・白（綿１００％)・クロス針・額Ｗ-４０・図案説明書                                        <br>打込目数:１４カウント／1インチ・約５５目／１０cm                             <br>                                          　<br>発売元 ： オリムパス株式会社<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>,オリムパスクロスステッチししゅうキットDisneyチップ＆デール専用額付N0.７２３６白：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパスクロスステッチししゅうキットDisneyチップ＆デール専用額付N0.７２３６白,オリムパスクロスステッチししゅうキットDisneyチップ＆デール専用額付N0.７２３６白[rn]
17-100817,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56607272.jpg?fitin=700:700,3024.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 刺繍道具 > 刺繍キット,オリムパス・クロスステッチししゅうキットコッツウォルズの春N0.７１７４オフホワイト,,ししゅうキット上級者向<br>出来上がり寸法　：　 額外径３８.７cm×４７.７cm・額内径３３.３cm×４２.２cm・マット紙内径２３.４cm×３２.５cm(額　Ｗ－２７またはＷ－３７使用・別売り)<br>キット内容　：　オリムパス２５番ししゅう糸(綿１００％)）・オリムパスNo.３８００布(アイーダ)・オフホワイト（綿１００％)・ししゅう針・図案説明書<br>デザイン　:  越智通子<br>                                             発売元 ： オリムパス株式会社<br>ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>,オリムパス・クロスステッチししゅうキットコッツウォルズの春N0.７１７４オフホワイト：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパス・クロスステッチししゅうキットコッツウォルズの春N0.７１７４オフホワイト,オリムパス・クロスステッチししゅうキットコッツウォルズの春N0.７１７４オフホワイト[rn]
17-100818,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56611306.jpg?fitin=700:700,3240.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 刺繍道具 > 刺繍キット,オリムパス・クロスステッチししゅうキットアルプスN0.７３０９ベージュ,,ししゅうキット中級～上級者向<br>出来上がり寸法　：　 額外径 縦３５.１cm×横４１.８cm・額内径 縦２９.７cm×横３６.４cm(額Ｗー４１白木使用・別売り)　★額Ｗ－４２(ブラウン）・Ｗー４６(ホワイト)も使えます。<br>キット内容　：　２５番ししゅう糸(綿１００％)・オリムパスNO.３０００布(ジャバクロス中目)ベージュ(綿１００％)・クロス針・カラー図案説明書<br>                                          　 発売元 ： オリムパス株式会社<br>　　　　　　　　<br>デザイン　:  オノエ・メグミ<br>                                             ご注意　：　キット内容の生地・色・柄が写真と異なる場合があります。<br>モニターにより、色の見え方が実際の商品と異なることがございます。<br>また、注文が集中した場合など、発送が遅れたり、店頭販売と在庫が重複しているため、在庫切れで販売できなくなる場合がございます。<br>実店舗に在庫があれば（土日祝日を除き）２～４日以内に発送。<br>在庫がなければメーカー取寄せの上、（土日祝日を除き）１０日以内に発送します。<br>メーカー欠品、完売の場合は確認出来次第ご連絡します。<br>,オリムパス・クロスステッチししゅうキットアルプスN0.７３０９ベージュ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパス・クロスステッチししゅうキットアルプスN0.７３０９ベージュ,オリムパス・クロスステッチししゅうキットアルプスN0.７３０９ベージュ[rn]
17-100819,http://tshop.r10s.jp/ky-kanariya/cabinet/01425685/img56611318.jpg?fitin=700:700,2808.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > 刺繍道具 > 刺繍キット,オリムパス・クロスステッチししゅうキットコスモスの丘N0.７３１０ベージュ,,,オリムパス・クロスステッチししゅうキットコスモスの丘N0.７３１０ベージュ：京都カナリヤ手芸店,手芸手づくりナニイロｎａｎｉＩＲＯクラフト生地　布キャラクター毛糸編み針編み物畳ヘリテープ刺繍和洋裁ワッペンビーズアレキサンダーヘンリーファブリック入園入学クロバーレザークラフトＵＳＡコットンオリムパス・クロスステッチししゅうキットコスモスの丘N0.７３１０ベージュ,オリムパス・クロスステッチししゅうキットコスモスの丘N0.７３１０ベージュ[rn]
