9-12803,,662.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ブラシ形状が円盤型で、外面に向かって放射状に毛が植わっています。<br>●円盤状のブラシの中心に10mmの穴が開いていて工具、機械などに同径の軸がついていれば取り付けが可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1,(3291375)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ホイルブラシ　３８Ｘ１０ｍｍ穴　ステンレス線　線径０．３【TB-6313】(3291375) 受注単位1[rn]
9-12872,,355.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK-135A】(7737831) トリポリ　１３５Ｘ４５Ｘ３０ 受注単位1,作業用品\研削研磨用品\グラインダー用研磨材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●下地研磨用です。<br><br>●フェルト・バフシリーズに塗りつけ傷取りおよび鏡面仕上げに。<br>●鉄、黄銅、アルミ。<br><br>●間口(mm)：135<br>●奥行(mm)：45<br>●高さ(mm)：30<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK-135A】(7737831) トリポリ　１３５Ｘ４５Ｘ３０ 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK-135A】(7737831) トリポリ　１３５Ｘ４５Ｘ３０ 受注単位1,作業用品\研削研磨用品\グラインダー用研磨材。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TK-135A】(7737831) トリポリ　１３５Ｘ４５Ｘ３０ 受注単位1[rn]
9-12873,,60102.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-603】(4084659) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●最も故障が少なくて保守の容易な三相カゴ型誘導電動機（モーター）を使用した、小形・軽量・高速回転のグラインダーです。<br>●電源には、240Hz/250Hzの高周波を提供する専用の高周波発生機またはマイコン制御によるインバータ電源装置を使用します。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-603】(4084659) 受注単位1：クローバー資材館,『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-603】(4084659) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒富士製砥/高速　高周波グラインダ【HGC-603】(4084659) 受注単位1[rn]
9-12874,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004855120.jpg?fitin=700:700,3976.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ８０　５個入　６００＃【GPSN8025#600 (5ｺｲﾘ)】(1169441) 受注単位1,(1169441),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ステンレス、一般金属兼用です。上面、下面、側面の3面で研磨作業が可能です。絡み合ったナイロン研磨材を使用しているため、クッション性があり被研磨材を削りすぎず表面だけを仕上げます。また、側面を利用して直線作業で、美しいヘアライン加工ができます。<br>●ディスクグラインダーのシャフトに直接ねじ込んで取り付けます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ８０　５個入　６００＃【GPSN8025#600 (5ｺｲﾘ)】(1169441) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ８０　５個入　６００＃【GPSN8025#600 (5ｺｲﾘ)】(1169441) 受注単位1,(1169441)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ８０　５個入　６００＃【GPSN8025#600 (5ｺｲﾘ)】(1169441) 受注単位1[rn]
9-12875,,247495.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ【HFI-088B】(7639694) 高周波インバータ電源 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●インバータ1台でグラインダー2台同時使用が可能になりました。<br>●ソフトスタート機能付きです。<br>●瞬時ストップ（ブレーキ）機能付きです。<br><br><br>●入力側電圧：三相交流200～240V<br>●入力側周波数：50Hz、60Hz<br>●出力側電圧：三相交流200～240V<br>●出力側周波数：400Hz<br>●出力側出力容量：4.2kVAX2系統<br>●幅×奥行×高さ(mm)：400×180×222<br>●入力側電源設備容量：10.0kVA<br>●質量(kg)：11.1<br><br>●インバータ制御方式：正弦波PWM方式<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ【HFI-088B】(7639694) 高周波インバータ電源 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ【HFI-088B】(7639694) 高周波インバータ電源 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ【HFI-088B】(7639694) 高周波インバータ電源 受注単位1[rn]
9-12876,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004855115.jpg?fitin=700:700,5036.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ１００　５個入　３２０＃【GPSN10025#320 (5ｺｲﾘ)】(1169475) 受注単位1,(1169475),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ステンレス、一般金属兼用です。上面、下面、側面の3面で研磨作業が可能です。絡み合ったナイロン研磨材を使用しているため、クッション性があり被研磨材を削りすぎず表面だけを仕上げます。また、側面を利用して直線作業で、美しいヘアライン加工ができます。<br>●ディスクグラインダーのシャフトに直接ねじ込んで取り付けます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ１００　５個入　３２０＃【GPSN10025#320 (5ｺｲﾘ)】(1169475) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ１００　５個入　３２０＃【GPSN10025#320 (5ｺｲﾘ)】(1169475) 受注単位1,(1169475)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーナイロン　ねじ込み式　Φ１００　５個入　３２０＃【GPSN10025#320 (5ｺｲﾘ)】(1169475) 受注単位1[rn]
9-12877,http://tshop.r10s.jp/clover9608/cabinet/pb1/t010002606614.jpg?fitin=700:700,3445.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ８０　５個入　４００＃【GPSP8025#400 (5ｺｲﾘ)】(1146190) 受注単位1,(1146190),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●一般金属用です。弾性があり、ディスクペーパー（平面使用）としても、フラップホイール（側面使用）としても使用できます。研磨布と研磨布の間が多少開いているため、目づまりが少なく最後まで使用できます。<br>●曲面にピッタリフィットします。<br>●直接ねじ込み式です。<br>●ひとつひとつ手植えし、かしめたプロ用研磨材です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ８０　５個入　４００＃【GPSP8025#400 (5ｺｲﾘ)】(1146190) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ８０　５個入　４００＃【GPSP8025#400 (5ｺｲﾘ)】(1146190) 受注単位1,(1146190)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ８０　５個入　４００＃【GPSP8025#400 (5ｺｲﾘ)】(1146190) 受注単位1[rn]
9-12878,http://tshop.r10s.jp/clover9608/cabinet/pb6/t010004528401.jpg?fitin=700:700,577.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ネル仕上げバフ　外径Φ２５０Ｘ穴径１９．０５ｍｍ　１個入【TNB-250-6 (250ﾊﾟｲX5X19.05)】(2899884) 受注単位1,(2899884),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●樹脂用研磨剤を付けて磨き艶出しができるネイル仕上げ綿布バフです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ネル仕上げバフ　外径Φ２５０Ｘ穴径１９．０５ｍｍ　１個入【TNB-250-6 (250ﾊﾟｲX5X19.05)】(2899884) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ネル仕上げバフ　外径Φ２５０Ｘ穴径１９．０５ｍｍ　１個入【TNB-250-6 (250ﾊﾟｲX5X19.05)】(2899884) 受注単位1,(2899884)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ネル仕上げバフ　外径Φ２５０Ｘ穴径１９．０５ｍｍ　１個入【TNB-250-6 (250ﾊﾟｲX5X19.05)】(2899884) 受注単位1[rn]
9-12879,,16524.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　延長専用ケーブル１０ｍ【76331011】(3940713) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　延長専用ケーブル１０ｍ【76331011】(3940713) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　延長専用ケーブル１０ｍ【76331011】(3940713) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　延長専用ケーブル１０ｍ【76331011】(3940713) 受注単位1[rn]
9-12880,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002804584.jpg?fitin=700:700,1176.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エメリーバフ　外径７５Ｘ穴径９．５３ｍｍ　５個入【TEB-75-3 (75ﾊﾟｲX8X9.53)】(2616335) 受注単位1,(2616335),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●トリポリやエメリー（研磨砥粒）を付けて一般金属の中仕上げ研磨ができる綿布バフです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エメリーバフ　外径７５Ｘ穴径９．５３ｍｍ　５個入【TEB-75-3 (75ﾊﾟｲX8X9.53)】(2616335) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エメリーバフ　外径７５Ｘ穴径９．５３ｍｍ　５個入【TEB-75-3 (75ﾊﾟｲX8X9.53)】(2616335) 受注単位1,(2616335)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　エメリーバフ　外径７５Ｘ穴径９．５３ｍｍ　５個入【TEB-75-3 (75ﾊﾟｲX8X9.53)】(2616335) 受注単位1[rn]
9-12881,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002804653.jpg?fitin=700:700,624.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ３００Ｘ穴径２５．４ｍｍ　１個入【TTB-300-8 (300ﾊﾟｲX7X25.4)】(2899957) 受注単位1,(2899957),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●青棒を付けて一般金属の仕上げ研磨ができる綿布バフです。樹脂用トリポリを付けて樹脂の研磨に使用できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ３００Ｘ穴径２５．４ｍｍ　１個入【TTB-300-8 (300ﾊﾟｲX7X25.4)】(2899957) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ３００Ｘ穴径２５．４ｍｍ　１個入【TTB-300-8 (300ﾊﾟｲX7X25.4)】(2899957) 受注単位1,(2899957)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ３００Ｘ穴径２５．４ｍｍ　１個入【TTB-300-8 (300ﾊﾟｲX7X25.4)】(2899957) 受注単位1[rn]
9-12882,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002804653.jpg?fitin=700:700,684.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ５０Ｘ穴径６．０ｍｍ　５個入【TTB-50-2 (50ﾊﾟｲX7X6)】(2616378) 受注単位1,(2616378),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●青棒を付けて一般金属の仕上げ研磨ができる綿布バフです。樹脂用トリポリを付けて樹脂の研磨に使用できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ５０Ｘ穴径６．０ｍｍ　５個入【TTB-50-2 (50ﾊﾟｲX7X6)】(2616378) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ５０Ｘ穴径６．０ｍｍ　５個入【TTB-50-2 (50ﾊﾟｲX7X6)】(2616378) 受注単位1,(2616378)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ５０Ｘ穴径６．０ｍｍ　５個入【TTB-50-2 (50ﾊﾟｲX7X6)】(2616378) 受注単位1[rn]
9-12883,,2045.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　積みサイザルバフ　外径Φ１００Ｘ穴径１２．７ｍｍ　５個入【TSB-100-4 (100ﾊﾟｲX10X12.7)】(2616521) 受注単位1,(2616521),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●白棒を付けて、鉄鋼・ステンレスの下地研磨・中間研磨ができるサイザル（麻+綿布）バフです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　積みサイザルバフ　外径Φ１００Ｘ穴径１２．７ｍｍ　５個入【TSB-100-4 (100ﾊﾟｲX10X12.7)】(2616521) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　積みサイザルバフ　外径Φ１００Ｘ穴径１２．７ｍｍ　５個入【TSB-100-4 (100ﾊﾟｲX10X12.7)】(2616521) 受注単位1,(2616521)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　積みサイザルバフ　外径Φ１００Ｘ穴径１２．７ｍｍ　５個入【TSB-100-4 (100ﾊﾟｲX10X12.7)】(2616521) 受注単位1[rn]
9-12884,http://tshop.r10s.jp/clover9608/cabinet/pb3-1/t010002804653.jpg?fitin=700:700,1627.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ１２５Ｘ穴径１２．７ｍｍ　５個入【TTB-125-4 (125ﾊﾟｲX7X12.7)】(2616408) 受注単位1,(2616408),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●青棒を付けて一般金属の仕上げ研磨ができる綿布バフです。樹脂用トリポリを付けて樹脂の研磨に使用できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ１２５Ｘ穴径１２．７ｍｍ　５個入【TTB-125-4 (125ﾊﾟｲX7X12.7)】(2616408) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ１２５Ｘ穴径１２．７ｍｍ　５個入【TTB-125-4 (125ﾊﾟｲX7X12.7)】(2616408) 受注単位1,(2616408)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　茶カツ仕上げバフ　外径Φ１２５Ｘ穴径１２．７ｍｍ　５個入【TTB-125-4 (125ﾊﾟｲX7X12.7)】(2616408) 受注単位1[rn]
9-12885,http://tshop.r10s.jp/clover9608/cabinet/pb7/t010004855121.jpg?fitin=700:700,3684.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ１００　５個入　６０＃【GPSP10025#60 (5ｺｲﾘ)】(1146211) 受注単位1,(1146211),"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●一般金属用です。弾性があり、ディスクペーパー（平面使用）としても、フラップホイール（側面使用）としても使用できます。研磨布と研磨布の間が多少開いているため、目づまりが少なく最後まで使用できます。<br>●曲面にピッタリフィットします。<br>●直接ねじ込み式です。<br>●ひとつひとつ手植えし、かしめたプロ用研磨材です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ１００　５個入　６０＃【GPSP10025#60 (5ｺｲﾘ)】(1146211) 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ１００　５個入　６０＃【GPSP10025#60 (5ｺｲﾘ)】(1146211) 受注単位1,(1146211)。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ　ＧＰサンダーペーパー　ねじ込み式　Φ１００　５個入　６０＃【GPSP10025#60 (5ｺｲﾘ)】(1146211) 受注単位1[rn]
9-12886,,1346.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFW100-25-40】(7682972) ＴＲＵＳＣＯ研磨輪　外径１００　幅２５　４０＃　２個入 受注単位1,作業用品\研削研磨用品\グラインダー用研磨材,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●加工物の形状になじみやすいです。<br>●回転数の変更で硬いものから柔らかいものまで自由な研磨ができます。<br><br>●各種金属の疵取り、スケール除去、仕上げ研磨に。<br>●各種金属のヘアーライン仕上げ、表面仕上げに。<br>●使用工具：フレキシブルグラインダー、両面グラインダー。<br>●プラスチック、成形品のバリ取り。<br>●丸棒・パイプ等の表面仕上げ。<br>●金属・木工等の曲面や異形面の研磨。<br><br>●粒度(#)：40<br>●外径(mm)：100<br>●厚み(mm)：25<br>●穴径(mm)：12.7<br>●最高使用回転数(rpm)：8000<br>●幅(mm)：25<br><br>●最高使用周速度：42m/s(2520m/min)<br><br>●アランダム<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFW100-25-40】(7682972) ＴＲＵＳＣＯ研磨輪　外径１００　幅２５　４０＃　２個入 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFW100-25-40】(7682972) ＴＲＵＳＣＯ研磨輪　外径１００　幅２５　４０＃　２個入 受注単位1,作業用品\研削研磨用品\グラインダー用研磨材。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【TFW100-25-40】(7682972) ＴＲＵＳＣＯ研磨輪　外径１００　幅２５　４０＃　２個入 受注単位1[rn]
9-12887,,64443.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ１８０ｍｍ【HDG-18P】(3940802) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●軽量で、回転速度の変動が少なく研削力に優れます。<br>●堅ろうな構造、長寿命、高能率です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ１８０ｍｍ【HDG-18P】(3940802) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ１８０ｍｍ【HDG-18P】(3940802) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ１８０ｍｍ【HDG-18P】(3940802) 受注単位1[rn]
9-12888,,38329.6000,,花・ガーデン・DIY > DIY・工具 > その他,∀『カード対応OK！』■〒富士製砥/高速　出力ケーブル　２０Ｍ【1410520】() 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<p><font size=""4"" color=""#0033ff""><b>※こちらの商品は配送地域によって送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font></p><br><font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",&forall;『カード対応OK！』■〒富士製砥/高速　出力ケーブル　２０Ｍ【1410520】() 受注単位1：クローバー資材館,&forall;『カード対応OK！』■〒富士製砥/高速　出力ケーブル　２０Ｍ【1410520】() 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。&forall;『カード対応OK！』■〒富士製砥/高速　出力ケーブル　２０Ｍ【1410520】() 受注単位1[rn]
9-12889,,56181.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ【SGHP-18AB】(3940896) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br><br><br>●ソフトスタート＆瞬時ストップ機能付です。<br>●軽量で、回転速度の変動が少なく研削力に優れます。<br>●作業時間短縮が実現できます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ【SGHP-18AB】(3940896) 受注単位1：クローバー資材館,『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ【SGHP-18AB】(3940896) 受注単位1,作業用品\電動工具・油圧工具\高周波グラインダー。『カード対応OK！』■〒日本電産テクノモータ/ＮＤＣ　高周波グラインダ【SGHP-18AB】(3940896) 受注単位1[rn]
