13-6601,,4762.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●10.8Vリチウムイオン用充電器。",『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1：クローバー資材館,『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1,作業用品\電動工具・油圧工具\インパクトドライバー。『カード対応OK！』■〒ポップリベット・ファスナー　/Ｂ／Ｄ　１０．８Ｖリチウム電池用充電器【LC1013】(3908186) 受注単位1[rn]
13-6666,,36028.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【KC-500S】(7920296) ビクター ＳＳケーブルカッター 発注単位1,作業用品\電設工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ケーブルと支持線を同時に切断できます。<br>
●ラチェット式で強い力をだし、簡単に切断できます。<br>
●全長(mm):550<br>
●開口寸法（mm）:35<br>
●適性ケーブル:SSケーブル(0.4～400CFS-R)まで<br>
●炭素工具鋼",■〒フジ矢/ビクター ペンチ【KC-500S】(7920296) ビクター ＳＳケーブルカッター 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【KC-500S】(7920296) ビクター ＳＳケーブルカッター 発注単位1,作業用品\電設工具。■〒フジ矢/ビクター ペンチ【KC-500S】(7920296) ビクター ＳＳケーブルカッター 発注単位1[rn]
13-6667,,240164.8000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒(有）ミスギ/ミスギ 攪拌機【SKH-40PA】(7948611) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1,作業用品\小型加工機械・電熱器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●容器をそのまま回転させるシンプル構造で省力化にも貢献します。<br>
●傾斜対角線を直径とした三次元的運動による優れたかくはん性能です。<br>
●操作は容器をセットしスタートスイッチを押すだけです。<br>
●作業時間の設定は工程数の選択で自動停止します。<br>
●各種容器を密閉状態で混合・撹拌できます。<br>
●容器を傾斜保持して回転させる技術により、水平・垂直の三次元的な同時運動が起り、塗料・インキ等の液体はもちろん粉体、ペレットも容器の隅々迄混合・撹拌ができます。<br>
●液体(流体):塗料、インキ、オイル、接着剤。<br>
●粉体:薬品、金属粉、小麦粉。<br>
●粉体:樹脂ペレット、豆、米。<br>
●その他:お茶の葉、比重の違う物質同士。<br>
●インキ等液体の沈降分散。<br>
●粒・粉等のブレンド。<br>
●食品・医薬品・工業用材料等の混合。<br>
●部品・容器洗浄。<br>
●出力(kW):0.04<br>
●定格電流(A):1.04<br>
●対応缶:JIS規格20Lペール缶<br>
●最大荷重(缶を含む):25kg<br>
●作業時間の限定:工程数<br>
●コード長さ(m):1.8<br>
●電源:AC100V<br>
●モーター出力(W):40<br>
●最大荷重(kg)(缶を含む、偏荷重除く):25<br>
●特長(※)はカバー後付可能:安全カバー付<br>
●対応缶(容器は付属しません):JIS規格20Lペール缶<br>
●電源:AC100V<br>
●電源コード長さ:1.8m<br>
●運転時間:1・2・4・8・16工程または連続の設定が可能<br>
●1工程とは正回転15回/逆回転15回(50Hz:約43秒/60Hz:約37秒で自動停止)<br>
●JIS20Lペール缶用(容器は付属しておりません)<br>
●安全カバー付(インターロック機構付)<br>
●スチール(SS400)<br>
●対応缶についてはご相談ください。<br>
●容器は別売です。",&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40PA】(7948611) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40PA】(7948611) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1,作業用品\小型加工機械・電熱器具。&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40PA】(7948611) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1[rn]
13-6668,,2332.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヤガミ【YSL13-1S-1M】(7622899) テープヒーター　自己制御型　１００Ｖ　１３Ｗ／Ｍ　ＡＴ１０℃　１ｍ 受注単位1,作業用品\小型加工機械・電熱器具\ヒーター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●任意の長さに切って使える自己制御型ヒーターです。<br><br>●配管・バルブなどの凍結防止・保温に。<br>●タンク・ホッパーなどの凍結防止・保温に。<br>●液体・粘性物質・・・流動性維持（凍結防止・プロセス保温）<br>●気体・ガス類・・・液化・結晶化・結露防止<br>●粉体・固形物・・・凝固防止・水分の付着防止<br><br>●電源(V)：単相100<br>●幅(mm)：12.0<br>●長さ(m)：1<br>●厚み(mm)：4.5<br>●容量(W)：13<br>●質量(g)：105<br><br>●最小曲げ半径：30mm以上<br>●使用温度範囲：-40～40℃<br>●ターミネーションセット：YTS-ＩB(別売)<br><br>●外装：錫めっき銅編組<br>●絶縁材：難燃性ポリオレフィン<br>",『カード対応OK！』■〒ヤガミ【YSL13-1S-1M】(7622899) テープヒーター　自己制御型　１００Ｖ　１３Ｗ／Ｍ　ＡＴ１０℃　１ｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ヤガミ【YSL13-1S-1M】(7622899) テープヒーター　自己制御型　１００Ｖ　１３Ｗ／Ｍ　ＡＴ１０℃　１ｍ 受注単位1,作業用品\小型加工機械・電熱器具\ヒーター。『カード対応OK！』■〒ヤガミ【YSL13-1S-1M】(7622899) テープヒーター　自己制御型　１００Ｖ　１３Ｗ／Ｍ　ＡＴ１０℃　１ｍ 受注単位1[rn]
13-6669,,665.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒イチネンミツトモ/ＲＥＬＩＥＦ 先端工具【88102】(7796072) ＲＥＬＩＥＦ ペイントミキサー(強力型) 発注単位1,作業用品\小型加工機械・電熱器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●塗料･ペイント･液体などの練り･調合にむらなく撹拌できます。<br>
●スパイラルタイプで強力撹拌できます。<br>
●シャフト径(mm):8.0<br>
●長さ(mm):400<br>
●羽根径(mm):φ60<br>
●タイプ:撹拌用強力型<br>
●六角軸<br>
●使用可能機種：電動ドライバー、充電式インパクトドライバー<br>
●ヘッダー付<br>
●軸部・ブレード部：カーボンスチール<br>
●コンクリートには使用できません。<br>
●電動ドリルはチャック能力10mm以上の機種をご利用ください。",■〒イチネンミツトモ/ＲＥＬＩＥＦ 先端工具【88102】(7796072) ＲＥＬＩＥＦ ペイントミキサー(強力型) 発注単位1：クローバー資材館,■〒イチネンミツトモ/ＲＥＬＩＥＦ 先端工具【88102】(7796072) ＲＥＬＩＥＦ ペイントミキサー(強力型) 発注単位1,作業用品\小型加工機械・電熱器具。■〒イチネンミツトモ/ＲＥＬＩＥＦ 先端工具【88102】(7796072) ＲＥＬＩＥＦ ペイントミキサー(強力型) 発注単位1[rn]
13-6670,,1061.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒イチネンミツトモ/ＲＥＬＩＥＦ 先端工具【88101】(7796064) ＲＥＬＩＥＦ 六角軸ペイントミキサー 調整機能付 発注単位1,作業用品\小型加工機械・電熱器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●塗料･ペイント･液体などの練り･調合にむらなく撹拌できます。<br>
●シャフト径(mm):6.35<br>
●長さ(mm):300<br>
●羽根径(mm):φ65<br>
●タイプ:調整機能付<br>
●六角軸<br>
●使用可能機種：電動ドライバー、充電式インパクトドライバー<br>
●ヘッダー付<br>
●軸部・ブレード部：カーボンスチール<br>
●コンクリートには使用できません。",■〒イチネンミツトモ/ＲＥＬＩＥＦ 先端工具【88101】(7796064) ＲＥＬＩＥＦ 六角軸ペイントミキサー 調整機能付 発注単位1：クローバー資材館,■〒イチネンミツトモ/ＲＥＬＩＥＦ 先端工具【88101】(7796064) ＲＥＬＩＥＦ 六角軸ペイントミキサー 調整機能付 発注単位1,作業用品\小型加工機械・電熱器具。■〒イチネンミツトモ/ＲＥＬＩＥＦ 先端工具【88101】(7796064) ＲＥＬＩＥＦ 六角軸ペイントミキサー 調整機能付 発注単位1[rn]
13-6671,,1643.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【DPN13B-SBOX】(7652135) 卓上ボール盤用部品　スイッチボックスカバー 受注単位1,作業用品\小型加工機械・電熱器具\ボール盤,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br>●品名：スイッチボックスカバー<br>●適用：共通<br><br>●ＤＰＮ13Ｂ用のパーツです。<br><br>",『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【DPN13B-SBOX】(7652135) 卓上ボール盤用部品　スイッチボックスカバー 受注単位1：クローバー資材館,『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【DPN13B-SBOX】(7652135) 卓上ボール盤用部品　スイッチボックスカバー 受注単位1,作業用品\小型加工機械・電熱器具\ボール盤。『カード対応OK！』■〒トラスコ中山/ＴＲＵＳＣＯ【DPN13B-SBOX】(7652135) 卓上ボール盤用部品　スイッチボックスカバー 受注単位1[rn]
13-6672,,17344.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRV-5223】(7534116) ロータリバイブレータ　３００６６ 受注単位1,作業用品\小型加工機械・電熱器具\ノッカー・バイブレーター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ロータリー式なので打撃音はなく作動は静かです。耐久性抜群、構造が簡単で取り扱いやすく保守も簡単です。<br><br>●タンク、ホッパ、振動テーブルなどに。<br><br>●空気消費量([[立米]]/min)：0.5<br>●接続口径：Rc1/4<br>●全高(mm)：111<br>●振動数(Hz)：157<br>●遠心力(kN)：0.78<br>●取付ボルト径(mm)：12<br>●取付ボルトピッチ(mm)：130<br>●推奨ホース内径(mm)：6.3<br><br>●使用空気圧力：0.6MPa<br><br>●クロムモリブデン鋼<br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRV-5223】(7534116) ロータリバイブレータ　３００６６ 受注単位1：クローバー資材館,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRV-5223】(7534116) ロータリバイブレータ　３００６６ 受注単位1,作業用品\小型加工機械・電熱器具\ノッカー・バイブレーター。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【NRV-5223】(7534116) ロータリバイブレータ　３００６６ 受注単位1[rn]
13-6673,,76464.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【MGK-30A】(7729863) マジカルノッカー　３０４７１ 受注単位1,作業用品\小型加工機械・電熱器具\ノッカー・バイブレーター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●溶接なしにどこでも自由に取り付け可能です。<br>●マグネットバルブ仕様なので、電気供給なしで自動間欠運転可能です。<br>●直接ピストンを対象物に衝突させる打撃式です。<br><br>●後付けの溶接工事が難しいプラント全般の粉粒体の払い落としに。<br>●粉粒体払い落とし機<br><br>●空気消費量([[立米]]/min)：0.14-0.20<br>●全長(mm)：200<br>●打撃圧力範囲(MPa)：0.1～0.2<br>●打撃エネルギー(N・m)：0.57～1.13<br>●取付可能パイプ：最小100A<br>●幅×奥行×高さ(mm)：200×140×85.5<br><br><br>",『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【MGK-30A】(7729863) マジカルノッカー　３０４７１ 受注単位1：クローバー資材館,『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【MGK-30A】(7729863) マジカルノッカー　３０４７１ 受注単位1,作業用品\小型加工機械・電熱器具\ノッカー・バイブレーター。『カード対応OK！』■〒日本ニューマチック工業/ＮＰＫ【MGK-30A】(7729863) マジカルノッカー　３０４７１ 受注単位1[rn]
13-6674,,304128.0000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒(有）ミスギ/ミスギ 攪拌機【SKH-40CA-K】(7948581) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1,作業用品\小型加工機械・電熱器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●容器をそのまま回転させるシンプル構造で省力化にも貢献します。<br>
●傾斜対角線を直径とした三次元的運動による優れたかくはん性能です。<br>
●操作は容器をセットしスタートスイッチを押すだけです。<br>
●作業時間の設定は工程数の選択で自動停止します。<br>
●各種容器を密閉状態で混合・撹拌できます。<br>
●容器を傾斜保持して回転させる技術により、水平・垂直の三次元的な同時運動が起り、塗料・インキ等の液体はもちろん粉体、ペレットも容器の隅々迄混合・撹拌ができます。<br>
●液体(流体):塗料、インキ、オイル、接着剤。<br>
●粉体:薬品、金属粉、小麦粉。<br>
●粉体:樹脂ペレット、豆、米。<br>
●その他:お茶の葉、比重の違う物質同士。<br>
●インキ等液体の沈降分散。<br>
●粒・粉等のブレンド。<br>
●食品・医薬品・工業用材料等。<br>
●部品・容器洗浄。<br>
●出力(kW):0.04<br>
●定格電流(A):1.04<br>
●対応缶:専用ステンレスタンク20L<br>
●最大荷重(缶を含む):25kg<br>
●作業時間の限定:工程数<br>
●コード長さ(m):1.8<br>
●電源:AC100V<br>
●モーター出力(W):40<br>
●最大荷重(kg)(缶を含む、偏荷重除く):25<br>
●特長(※)はカバー後付可能:安全カバー・キャスター付<br>
●対応缶(容器は付属しません):専用ステンレスタンク20L<br>
●電源:AC100V<br>
●電源コード長さ:1.8m<br>
●運転時間:1・2・4・8・16工程または連続の設定が可能<br>
●1工程とは正回転15回/逆回転15回(50Hz:約43秒/60Hz:約37秒で自動停止)<br>
●専用ステンレスタンク（20L）用（容器は付属無）<br>
●安全カバー付<br>
●キャスター付（固定2輪・トータルロック機構付自在2輪）<br>
●スチール(SS400)<br>
●対応缶についてはご相談ください。<br>
●容器は別売です。",&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40CA-K】(7948581) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40CA-K】(7948581) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1,作業用品\小型加工機械・電熱器具。&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40CA-K】(7948581) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1[rn]
13-6675,,70217.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##■〒エクセン【KM20-4PB】(4961803) 低周波振動モータ　ＫＭ２０－４ＰＢ　２００Ｖ 受注単位1,作業用品\小型加工機械・電熱器具\ノッカー・バイブレーター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●耐水構造なので湿気の多い所へも取り付けられます。<br>●振子カバーも通風口のない密閉構造なので、モーター自身の騒音はほとんどありません。<br>●振動モーターの性能はモーター出力ではなく遠心力と振幅によって決定されます。<br>●遠心力は、偏芯錘を動かすことにより0～100%まで無段階に簡単に調節可能です。<br>●容器保護等級IP66「耐水型」のため屋外やホコリが多い場所での設置が可能です。<br><br>●振動フィーダ（振動輸送機）や振動ふるい機（振動スクリーン）などの輸送選別用。<br><br>●電源(V)：200<br>●出力(W)：200<br>●振動数(Hz)50/60Hz：23.5/28.2<br>●最大遠心力(kN)：4.90<br>●取付ボルト(mm)：16<br>●極数(P)：4<br>●幅×奥行×高さ(mm)：354×230×189<br>●消費電力(kW/h)：274.3<br>●電流(A) 50Hz/60Hz：1.40/1.20<br><br>●モーター：4極三相誘導モーター<br><br>",『カード対応OK！』##■〒エクセン【KM20-4PB】(4961803) 低周波振動モータ　ＫＭ２０&minus;４ＰＢ　２００Ｖ 受注単位1：クローバー資材館,『カード対応OK！』##■〒エクセン【KM20-4PB】(4961803) 低周波振動モータ　ＫＭ２０&minus;４ＰＢ　２００Ｖ 受注単位1,作業用品\小型加工機械・電熱器具\ノッカー・バイブレーター。『カード対応OK！』##■〒エクセン【KM20-4PB】(4961803) 低周波振動モータ　ＫＭ２０&minus;４ＰＢ　２００Ｖ 受注単位1[rn]
13-6676,,32387.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日立工機/日立 電動工具【GT13】(7929218) 日立 卓上電気グラインダ 発注単位1,作業用品\小型加工機械・電熱器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●卓上の電気グラインダーです。<br>
●バイト、ドリル、鎌、ノコ刃などの刃物の研削。<br>
●小物部品の荒削りや仕上げ削り。<br>
●鋳バリ取り。<br>
●電源(V):単相100<br>
●幅(mm):333<br>
●奥行(mm):172<br>
●高さ(mm):212<br>
●砥石寸法(mm)(外径×厚さ×穴径):125×13×12.70<br>
●回転数(rpm)50/60Hz:3000/3600<br>
●電源コード長さ(m):2<br>
●消費電力(W):230<br>
●砥石２枚",■〒日立工機/日立 電動工具【GT13】(7929218) 日立 卓上電気グラインダ 発注単位1：クローバー資材館,■〒日立工機/日立 電動工具【GT13】(7929218) 日立 卓上電気グラインダ 発注単位1,作業用品\小型加工機械・電熱器具。■〒日立工機/日立 電動工具【GT13】(7929218) 日立 卓上電気グラインダ 発注単位1[rn]
13-6677,,174096.0000,,花・ガーデン・DIY > DIY・工具 > その他,‡‡‡■〒(有）ミスギ/ミスギ 攪拌機【SKH-40SX】(7948662) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1,作業用品\小型加工機械・電熱器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。</b></font>
<br>※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●容器をそのまま回転させるシンプル構造で省力化にも貢献します。<br>
●傾斜対角線を直径とした三次元的運動による優れたかくはん性能です。<br>
●操作は容器をセットしスタートスイッチを押すだけです。<br>
●作業時間の設定は工程数の選択で自動停止します。<br>
●各種容器を密閉状態で混合・撹拌できます。<br>
●容器を傾斜保持して回転させる技術により、水平・垂直の三次元的な同時運動が起り、塗料・インキ等の液体はもちろん粉体、ペレットも容器の隅々迄混合・撹拌ができます。<br>
●液体(流体):塗料、インキ、オイル、接着剤。<br>
●粉体:薬品、金属粉、小麦粉。<br>
●粉体:樹脂ペレット、豆、米。<br>
●その他:お茶の葉、比重の違う物質同士。<br>
●インキ等液体の沈降分散。<br>
●粒・粉等のブレンド。<br>
●食品・医薬品・工業用材料等。<br>
●部品・容器洗浄。<br>
●出力(kW):0.04<br>
●定格電流(A):1.04<br>
●対応缶:一斗缶（石油缶）<br>
●最大荷重(缶を含む):25kg<br>
●作業時間の限定:工程数<br>
●コード長さ(m):1.8<br>
●電源:AC100V<br>
●モーター出力(W):40<br>
●最大荷重(kg)(缶を含む、偏荷重除く):25<br>
●特長(※)はカバー後付可能:安全カバーなし(※)<br>
●対応缶(容器は付属しません):一斗缶(石油缶)<br>
●電源:AC100V<br>
●電源コード長さ:1.8m<br>
●運転時間:1・2・4・8・16工程または連続の設定が可能<br>
●1工程とは正回転15回/逆回転15回(50Hz:約43秒/60Hz:約37秒で自動停止)<br>
●一斗缶用（液体用）(容器は付属無)<br>
●安全カバーなし<br>
●スチール(SS400)<br>
●対応缶についてはご相談ください。<br>
●容器は別売です。",&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40SX】(7948662) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1：クローバー資材館,&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40SX】(7948662) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1,作業用品\小型加工機械・電熱器具。&Dagger;&Dagger;&Dagger;■〒(有）ミスギ/ミスギ 攪拌機【SKH-40SX】(7948662) ミスギ 混合・攪拌機「まぜまぜマン」 発注単位1[rn]
13-6678,,2332800.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』##∀■〒津根精機/津根【PSB-350U】(7606621) 強力高速弓鋸切断機（油圧式） 受注単位1,作業用品\小型加工機械・電熱器具\切断機,"<br><font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font>
<br><br><font size=""4"" color=""""><b>※こちらの商品は規定外の為別途送料がかかります。詳しくはお問い合わせください。

</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br>
<br><br>●新機構のユニバーサル油圧方式で切断コストの低減化を実現できます。<br>●ポールチェンジモーターとベルトの掛け換えにより切断スピードは6段階の変速が得られ、より幅広い材質に適用できます（材料によって刃を替えなくてもよい）。<br>●斜め切断装置により、直角切断はもちろん、バイスを内側に45°まで回転させることができますので、角度切り切断も自由にできます。<br>●一般金属製品加工業での多種小量での鉄鋼材から非鉄材までの幅広い素材取りに有効。<br><br><br>●ノコ刃速度(m/min)：(50HZ)：34.45.56.70.90.112spm、(60HZ)：42.54.67.84.108.134spm<br>●電源(V)：三相200V<br>●切断能力(mm)パイプ：350<br>●切断能力(mm)アングル：310×310<br>●幅(mm)：790<br>●奥行(mm)：1650<br>●高さ(mm)：990<br>●テーブル高さ：500mm<br>●ノコ刃寸法：500×45×2.25×φ10.5mm<br>●出力(kW)50Hz：1.8<br>●出力(kW)60Hz：2.6<br><br><br>",『カード対応OK！』##&forall;■〒津根精機/津根【PSB-350U】(7606621) 強力高速弓鋸切断機（油圧式） 受注単位1：クローバー資材館,『カード対応OK！』##&forall;■〒津根精機/津根【PSB-350U】(7606621) 強力高速弓鋸切断機（油圧式） 受注単位1,作業用品\小型加工機械・電熱器具\切断機。『カード対応OK！』##&forall;■〒津根精機/津根【PSB-350U】(7606621) 強力高速弓鋸切断機（油圧式） 受注単位1[rn]
13-6679,,121792.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒日立工機/日立 電動工具【BG-100】(7928491) 日立 ベルトグラインダ 発注単位1,作業用品\小型加工機械・電熱器具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●周速が一定していて安定した作業ができます。<br>
●作業に応じてヨコ形・タテ形自由自在です。<br>
●鉄鋼、ステンレス、鋳鉄などの硬質合金の軽研削、研磨。<br>
●非鉄金属、塗膜、皮革、木材などの軽研削、研磨。<br>
●電源(V):単相100<br>
●出力(W):570<br>
●ベルト寸法(mm):100×915<br>
●ベルト速度(m/min)50/60Hz:11.7/14.0<br>
●ベルト速度(m/min):11.7（50Hz）/14.0（60Hz）<br>
●幅(mm):389<br>
●奥行(mm):463<br>
●高さ(mm):332<br>
●電源:単相100V<br>
●電源コード長さ:2m<br>
●出力:570W<br>
●エンドレス研磨ベルトAA#60、AA#80<br>
●両口スパナ<br>
●六角棒スパナ",■〒日立工機/日立 電動工具【BG-100】(7928491) 日立 ベルトグラインダ 発注単位1：クローバー資材館,■〒日立工機/日立 電動工具【BG-100】(7928491) 日立 ベルトグラインダ 発注単位1,作業用品\小型加工機械・電熱器具。■〒日立工機/日立 電動工具【BG-100】(7928491) 日立 ベルトグラインダ 発注単位1[rn]
13-6680,,519.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒育良精機/育良 パンチャー【ISK-SL50R0】(7930160) 育良 横押し型トグルクランプ(31415) 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●溶接治具、組立治具、検査治具、加工治具に最適です。<br>
●フランジベースタイプ<br>
●全長(mm):75<br>
●付属ボルト径:M4×18<br>
●ハンドル操作角度(°):180<br>
●ストローク(mm):16<br>
●押圧力(kN):0.4<br>
●スチール<br>
●ねじ先端ゴム:ニトリルゴム",■〒育良精機/育良 パンチャー【ISK-SL50R0】(7930160) 育良 横押し型トグルクランプ(31415) 発注単位1：クローバー資材館,■〒育良精機/育良 パンチャー【ISK-SL50R0】(7930160) 育良 横押し型トグルクランプ(31415) 発注単位1,作業用品\クランプ・バイス。■〒育良精機/育良 パンチャー【ISK-SL50R0】(7930160) 育良 横押し型トグルクランプ(31415) 発注単位1[rn]
13-6681,,2711.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒大阪角田興業/角田 クランプ【KC-FC260】(8086841) 角田 ワンタッチ式引きクランプ Ｎｏ．ＦＣ260 発注単位1,作業用品\クランプ・バイス,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●片手で作業が可能です。<br>
●全長(mm):257<br>
●ストローク(mm):12<br>
●製品刻印:FC260<br>
●引圧力(kN):2.5<br>
●先端部ねじ径：M10<br>
●スチール(SPCC)<br>
●表記の締圧力は目安です<br>
●衝撃や振動、内圧は、破損の原因になりますのでご注意ください<br>
●手を挟まないように注意してください",■〒大阪角田興業/角田 クランプ【KC-FC260】(8086841) 角田 ワンタッチ式引きクランプ Ｎｏ．ＦＣ260 発注単位1：クローバー資材館,■〒大阪角田興業/角田 クランプ【KC-FC260】(8086841) 角田 ワンタッチ式引きクランプ Ｎｏ．ＦＣ260 発注単位1,作業用品\クランプ・バイス。■〒大阪角田興業/角田 クランプ【KC-FC260】(8086841) 角田 ワンタッチ式引きクランプ Ｎｏ．ＦＣ260 発注単位1[rn]
