11-151601,http://tshop.r10s.jp/s-stage/cabinet/parts_and_accessory/k/kcnc/524771_800.jpg?fitin=700:700,816.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,ケーシーエヌシー ライトアダプター KCNC LIGHT ADP 自転車 ライト 【パーツ総額8640円(税込)以上送料無料】,,"<font color=""red""><br>
※商品発送後、サイズやカラーの返品、交換は一切お受けすることができません。予め、ご了承ください。 
</font><br><br>
【LIGHT ADP】<br>
<br>
【製品仕様】<br>
・ ナイトライドの必需品。ハブにライトを取り付けるアダプター。<br>
・ クイックリリースのナットを外してアダプターに交換し、ライトなどを装着することができます。 <br>
・ 材質：6061アルミニウム合金<br>
・ 参考重量：10g <br>",ケーシーエヌシー ライトアダプター KCNC LIGHT ADP 自転車 ライト 【パーツ総額8640円(税込)以上送料無料】：サイクルショップ　Ｓ-ＳＴＡＧＥ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ケーシーエヌシー ライトアダプター KCNC LIGHT ADP 自転車 ライト 【パーツ総額8640円(税込)以上送料無料】,ケーシーエヌシー ライトアダプター KCNC LIGHT ADP 。ケーシーエヌシー ライトアダプター KCNC LIGHT ADP 自転車 ライト 【パーツ総額8640円(税込)以上送料無料】[rn]
11-151612,http://tshop.r10s.jp/trycycle/cabinet/panasonic/ps-skl098.jpg?fitin=700:700,485.6000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL098S スポーツライト,,前照灯として使用可能■単２形乾電池２個（アルカリ乾電池使用時）で、連続点灯約１７時間使用可能■直径22mm-26mmのハンドルに対応,【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL098S スポーツライト：自転車のトライ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得自転車マウンテンバイククロスバイクMTBロードバイクBMXスポーツタイプブリヂストンアルベルトアンジェリーノ3人乗り自転車フリーライドビアンキふらっかーずミヤタ通学用通勤用ルイガノオーパスラレー【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL098S スポーツライト,【おかげさまで楽天に出店して15周年】。【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL098S スポーツライト[rn]
11-151613,http://tshop.r10s.jp/trycycle/cabinet/panasonic/ps-skl080.jpg?fitin=700:700,1915.2000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL080 LEDかしこいランプV3,,かしこい機能で自動点灯・消灯■1日10分、週5日使用で約6ヶ月電池交換不要！■前照灯として使用可能（JISC9502の光度基準適合■常時点灯SW付き,【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL080 LEDかしこいランプV3：自転車のトライ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得自転車マウンテンバイククロスバイクMTBロードバイクBMXスポーツタイプブリヂストンアルベルトアンジェリーノ3人乗り自転車フリーライドビアンキふらっかーずミヤタ通学用通勤用ルイガノオーパスラレー【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL080 LEDかしこいランプV3,【おかげさまで楽天に出店して15周年】。【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL080 LEDかしこいランプV3[rn]
11-151614,http://tshop.r10s.jp/trycycle/cabinet/panasonic/ps-skl079.jpg?fitin=700:700,1633.6000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL079 LEDかしこいランプV2,,前照灯として使用可能（JISC9502の光度基準適合■常時点灯SW付き,【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL079 LEDかしこいランプV2：自転車のトライ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得自転車マウンテンバイククロスバイクMTBロードバイクBMXスポーツタイプブリヂストンアルベルトアンジェリーノ3人乗り自転車フリーライドビアンキふらっかーずミヤタ通学用通勤用ルイガノオーパスラレー【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL079 LEDかしこいランプV2,【おかげさまで楽天に出店して15周年】。【楽天スーパーポイントアッププログラム開催中】パナソニック(Panasonic) SKL079 LEDかしこいランプV2[rn]
11-151615,http://tshop.r10s.jp/arts-wig/cabinet/item02/10098_th.jpg?fitin=700:700,800.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,自転車 シリコン 簡易装着 LED 小型前照灯 ブラック ホワイト サイクルライト 2個セット スポーツ・アウトドア 自転車 アクセサリー・グッズ ライト・ランプ その他 送料無料,,"<!-- snapp capture start --><img src=""http://www.rakuten.ne.jp/gold/arts-wig/compass/10098.jpg?1457519144"" width=""100%""/><!-- snapp capture end -->
<br>
▼商品名<br>
自転車 シリコン 簡易装着 LED 小型前照灯 ブラック ホワイト サイクルライト 2個セット<br>
<br>
▼商品説明<br>
カラー：ホワイト・ブラック<br>
点灯の色：ホワイト<br><br>

超弾力のシリコンなので、簡単装着できます。シールはまったく不要です。点灯とフラッシュの3段切り替えモード、常時点灯と点滅点灯の切替がボタン押しだけでOK！ <br>
使用電池：テスト用コイン型リチウム電池(CR2032)2枚付。
<br>
<br>
※商品写真はできる限り実物の色に近づけるよう加工しておりますが、お客様が使用するパソコンのモニター設定や部屋の照明により多少、色の変化が感じられる場合がございます。
<br><br>
<table cellpadding=""5"">
<tr>
<td width=""110"" valign=""top""><img src=""http://image.rakuten.co.jp/arts-wig/cabinet/item02/10020-720_th.jpg"" alt=""マルチサイクルコンピューター"" width=""110""><p>マルチサイクルコンピューター</p></td>
<td width=""110"" valign=""top""><img src=""http://image.rakuten.co.jp/arts-wig/cabinet/item04/10320-68_p_01.jpg"" alt=""シリコン自転車サドル テールライト"" width=""110""><p>シリコン自転車サドル テールライト</p></td>
<td width=""110"" valign=""top""><img src=""http://image.rakuten.co.jp/arts-wig/cabinet/item05/10438_p_01.jpg"" alt=""自転車ライト取付用ラバーマウント"" width=""110""><p>自転車ライト取付用ラバーマウント</p></td>
</tr>
<tr>
<td width=""110"" valign=""top""><img src=""http://image.rakuten.co.jp/arts-wig/cabinet/item02/10098_th.jpg"" alt=""シリコン簡易装着LEDサイクルライト"" width=""110""><p>シリコン簡易装着LEDサイクルライト</p></td>
<td width=""110"" valign=""top""><img src=""http://image.rakuten.co.jp/arts-wig/cabinet/item06/10446_p_01.jpg"" alt=""シリコン製ライトホルダー"" width=""110""><p>シリコン製ライトホルダー</p></td>
<td width=""110"" valign=""top""><img src=""http://image.rakuten.co.jp/arts-wig/cabinet/item05/10430_p_01.jpg"" alt=""自転車用ボトルケージ ドリンクホルダー"" width=""110""><p>自転車用ボトルケージ ドリンクホルダー</p></td>
</tr>
</table>
<br><br>
宅配便への変更をご希望の場合は、『宅配便オプション(480円)』を同時にご購入いただけますよう、お願いいたします。<br><br>
『宅配便オプション』のご購入はこちら　＞＞<br><br>",自転車 シリコン 簡易装着 LED 小型前照灯 ブラック ホワイト サイクルライト 2個セット スポーツ・アウトドア 自転車 アクセサリー・グッズ ライト・ランプ その他 送料無料：ウィッグ専門 ARTS WIG 楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得自転車 シリコン 簡易装着 LED 小型前照灯 ブラック ホワイト サイクルライト 2個セット スポーツ・アウトドア 自転車 アクセサリー・グッズ ライト・ランプ その他 送料無料,(千円均一)超弾力のシリコンで簡単装着！シールなどは不要です！。自転車 シリコン 簡易装着 LED 小型前照灯 ブラック ホワイト サイクルライト 2個セット スポーツ・アウトドア 自転車 アクセサリー・グッズ ライト・ランプ その他 送料無料[rn]
11-151616,http://tshop.r10s.jp/dandelion/cabinet/img1/01006351-1.jpg?fitin=700:700,441.6000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,[ママ割登録とエントリーでポイント5倍]自転車用バルブキャップ 英式バルブ、米式バルブに対応する自転車バルブキャップ（1個入り）。LEDライトが自動点灯するバルブライト。エアバルブキャップ（エアーバルブキャップ）パルミー（PALMY）PXC-700F,,"<p><b>バルブライト（Valve Light）の解説</b></p>

<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
<tr>
  <td width=""80px"" bgcolor=""#FFFFFF"">
夜間の自転車走行を安全に。<br>
振動を感じてLEDライトが自動で点灯し、側面からの視認性をアップさせます。<br>
暗い夜道の自転車事故を防止するお手伝いをしてくれます。
</td></tr></table>
<br>

<p><b>バルブライト（Valve Light）の詳細</b></p>

<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
<tr><td width=""80px"" bgcolor=""#FFFFFF"">商品分類</td><td bgcolor=""#FFFFFF"">自転車用品　自転車アクセサリー</td></tr>
<tr><td bgcolor=""#FFFFFF"">詳細分類</td><td bgcolor=""#FFFFFF"">自転車用エアバルブキャップ（エアーバルブキャップ、バルブキャップ、バルブライト）</td></tr>
<tr><td bgcolor=""#FFFFFF"">商品名</td><td bgcolor=""#FFFFFF"">PALMY（パルミー）のバルブライト（Valve Light）</td></tr>
<tr><td bgcolor=""#FFFFFF"">カラー</td><td bgcolor=""#FFFFFF"">ブルー、ピンク</td></tr>
<tr><td bgcolor=""#FFFFFF"">メーカー</td><td bgcolor=""#FFFFFF"">リンエイ株式会社</td></tr>
<tr><td bgcolor=""#FFFFFF"">商品型番</td><td bgcolor=""#FFFFFF"">PXC-700F<br>109-64001（ブルー）、109-64002（ピンク）</td></tr>
<tr><td bgcolor=""#FFFFFF"">製造国</td><td bgcolor=""#FFFFFF"">中国</td></tr>
<tr><td bgcolor=""#FFFFFF"">対応バルブ</td><td bgcolor=""#FFFFFF"">英式バルブ（アタッチメントなしで取り付け可能）、米式バルブ（米式バルブの取り付けの際は付属のアタッチメントが必要です）</td></tr>
<tr><td bgcolor=""#FFFFFF"">取り付け方法</td><td bgcolor=""#FFFFFF""><font color=""#FF0000"">※取り付けの前に必ずバッテリー保護シート（絶縁体）を取り除いてください。</font><br>
対応するバルブの先端に、バルブライトをしっかりと締め込んでください。米式バルブに取り付ける際は、付属のアタッチメントを使用してください。<br>※振動によりバルブライトがゆるむことがありますので、常時確認してください。</td></tr>
<tr><td bgcolor=""#FFFFFF"">電池交換方法</td><td bgcolor=""#FFFFFF"">本体を反時計回りに廻して開け、電池（LR1130×3個）をセットしてください。<br>※電池交換は必ず3個まとめて行ってください。早めの電池交換をおすすめします。<br><font color=""#FF0000"">※最初にセットされている電池はモニター電池です。最初の交換は早いことが考えられます。</font></td></tr>
<tr><td bgcolor=""#FFFFFF"">用途</td><td bgcolor=""#FFFFFF"">自転車のチューブのバルブの先端に取り付けて使用します。<br>車輪の回転による遠心力で自動点灯します。</td></tr>
<tr><td bgcolor=""#FFFFFF"">付属品</td><td bgcolor=""#FFFFFF"">LR1130×3個（モニター電池）、米式バルブ用アタッチメント</td></tr>
<tr><td bgcolor=""#FFFFFF"">参考重量</td><td bgcolor=""#FFFFFF"">21g（電池、アタッチメント含む）</td></tr>
<tr><td bgcolor=""#FFFFFF"">注意事項</td><td bgcolor=""#FFFFFF"">1個入りです。前後の車輪（タイヤ）でご使用される場合は、2個ご注文ください。<br>自転車専用です。自転車以外（バイク、車）には絶対に使用しないでください。</td></tr>
</table>",[ママ割登録とエントリーでポイント5倍]自転車用バルブキャップ 英式バルブ、米式バルブに対応する自転車バルブキャップ（1個入り）。LEDライトが自動点灯するバルブライト。エアバルブキャップ（エアーバルブキャップ）パルミー（PALMY）PXC-700F：自転車グッズのキアーロ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得自転車 チャイルドシート自転車 子供乗せ自転車 カゴ自転車 カバー自転車 前かごカバー自転車 ヘルメットヘルメット 子供用レインカバー チャイルドシート自転車OGK チャイルドシート自転車 チャイルドシート クッション自転車 ライト自転車 チャイルドシート カバー空気入れ 自転車サドル幼児 ヘルメット自転車 傘スタンド自転車　鍵靴　修理コルクマット[ママ割登録とエントリーでポイント5倍]自転車用バルブキャップ 英式バルブ、米式バルブに対応する自転車バルブキャップ（1個入り）。LEDライトが自動点灯するバルブライト。エアバルブキャップ（エアーバルブキャップ）パルミー（PALMY）PXC-700F,振動でLEDライトが自動点灯。暗い夜道の自転車走行を安全に。。[ママ割登録とエントリーでポイント5倍]自転車用バルブキャップ 英式バルブ、米式バルブに対応する自転車バルブキャップ（1個入り）。LEDライトが自動点灯するバルブライト。エアバルブキャップ（エアーバルブキャップ）パルミー（PALMY）PXC-700F[rn]
11-151617,http://tshop.r10s.jp/dandelion/cabinet/bicycle/01002872.jpg?fitin=700:700,891.2000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,[ママ割登録とエントリーでポイント5倍]4LEDサイクルライトレインボー AHA-4301,,"■白色LED3灯、レインボーLED1灯の連続点灯から、レインボーLEDはそのままで、白色LED3灯のみ点滅点灯に切り替わります。
■LEDの寿命は約5万時間
■ライトの設置は、操作が楽なゴムベルトを使用
■くびふり360度回転
■ベルトを外して手持ちにも

サイズ:本体：φ34×36.5×94mm(ライト部のみ）
重量:ライト部/38g 総重量/66g
素材:ボディキャップ/ABS樹脂　レンズ/アクリル樹脂
使用光源:光輝度白色LEDX3個　レインボーLEDX1個
使用電池:単4形乾電池3個使用",[ママ割登録とエントリーでポイント5倍]4LEDサイクルライトレインボー AHA-4301：自転車グッズのキアーロ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得自転車 チャイルドシート自転車 子供乗せ自転車 カゴ自転車 カバー自転車 前かごカバー自転車 ヘルメットヘルメット 子供用レインカバー チャイルドシート自転車OGK チャイルドシート自転車 チャイルドシート クッション自転車 ライト自転車 チャイルドシート カバー空気入れ 自転車サドル幼児 ヘルメット自転車 傘スタンド自転車　鍵靴　修理コルクマット[ママ割登録とエントリーでポイント5倍]4LEDサイクルライトレインボー AHA-4301,無灯火防止・自転車の照明・自転車ランプ・サイクルライト。[ママ割登録とエントリーでポイント5倍]4LEDサイクルライトレインボー AHA-4301[rn]
11-151618,http://tshop.r10s.jp/dandelion/cabinet/01002476_2.jpg?fitin=700:700,400.0000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,[ママ割登録とエントリーでポイント5倍]スポーツライト SKL098　自転車用ライト　補助灯　ハンドルライト,,"・大きさ:約W66×H55×D130mm　・質量:約215g(電池含)　・使用光源:2.5V 0.3A ピリケン球（MB-25P3)×1個 
・使用電源:単2形乾電池×2個 ・電池寿命(20℃時):点灯  約17時間(消えるまで) 前照灯として：約10時間 
・明るさ:約400 cd ・取付位置:ハンドルバー（直径22～26ｍｍに対応）",[ママ割登録とエントリーでポイント5倍]スポーツライト SKL098　自転車用ライト　補助灯　ハンドルライト：自転車グッズのキアーロ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得自転車 チャイルドシート自転車 子供乗せ自転車 カゴ自転車 カバー自転車 前かごカバー自転車 ヘルメットヘルメット 子供用レインカバー チャイルドシート自転車OGK チャイルドシート自転車 チャイルドシート クッション自転車 ライト自転車 チャイルドシート カバー空気入れ 自転車サドル幼児 ヘルメット自転車 傘スタンド自転車　鍵靴　修理コルクマット[ママ割登録とエントリーでポイント5倍]スポーツライト SKL098　自転車用ライト　補助灯　ハンドルライト,ハンドルバーに取り付けタイプ！。[ママ割登録とエントリーでポイント5倍]スポーツライト SKL098　自転車用ライト　補助灯　ハンドルライト[rn]
11-151619,http://tshop.r10s.jp/dandelion/cabinet/bicycle/01002871.jpg?fitin=700:700,1183.2000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,[ママ割登録とエントリーでポイント5倍]自動点灯サイクルライト 前カゴ取付型 AHA-3305 旭電機化成,,"サイズ:105×61×43mm<br>
  素材・材質:ABS樹脂（シルバー塗装）<br>
  使用電池：単3形アルカリ乾電池×3個（別売）<br>
  使用光源：高輝度白色LED×4個<br>
  付属品 止め具<br>
  製造国 中国 <br>",[ママ割登録とエントリーでポイント5倍]自動点灯サイクルライト 前カゴ取付型 AHA-3305 旭電機化成：自転車グッズのキアーロ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得自転車 チャイルドシート自転車 子供乗せ自転車 カゴ自転車 カバー自転車 前かごカバー自転車 ヘルメットヘルメット 子供用レインカバー チャイルドシート自転車OGK チャイルドシート自転車 チャイルドシート クッション自転車 ライト自転車 チャイルドシート カバー空気入れ 自転車サドル幼児 ヘルメット自転車 傘スタンド自転車　鍵靴　修理コルクマット[ママ割登録とエントリーでポイント5倍]自動点灯サイクルライト 前カゴ取付型 AHA-3305 旭電機化成,前かご取付用自転車ライト　自転車用ライト　smilekids　。[ママ割登録とエントリーでポイント5倍]自動点灯サイクルライト 前カゴ取付型 AHA-3305 旭電機化成[rn]
11-151620,http://tshop.r10s.jp/dandelion/cabinet/jitensya2/img67621753.jpg?fitin=700:700,1888.8000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,[ママ割登録とエントリーでポイント5倍]【取寄せ】自転車用 自動点滅テールライト バックステー取付タイプ TL-AU165-BS CATEYE キャットアイ,,"※取り寄せ品の為、入荷に約１週間程度かかります。

・明るさと振動の2つのセンサーを内蔵し、暗いところで走り始めると自動で点滅を
　開始し、停止すると自動で消灯
・残光機能搭載で、信号待ちなどの停車時も安全確保のため約1分間点滅
・JIS規格適合のリフレクター一体型で、電池がなくなっても車のライトを反射して
　安全性を確保
・点滅で約100時間（1日30分間使用の場合、半年間電池交換不要）
・電源：リチウム電池（CR2032）×1個


エントリーでポイントキャンペーン及びクーポンはケイタイ、スマホからエントリーできない場合がございます。PCよりエントリーをお願いします。モバイルからのエントリーはモバイルTOPもご確認ください。】",[ママ割登録とエントリーでポイント5倍]【取寄せ】自転車用 自動点滅テールライト バックステー取付タイプ TL-AU165-BS CATEYE キャットアイ：自転車グッズのキアーロ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得自転車 チャイルドシート自転車 子供乗せ自転車 カゴ自転車 カバー自転車 前かごカバー自転車 ヘルメットヘルメット 子供用レインカバー チャイルドシート自転車OGK チャイルドシート自転車 チャイルドシート クッション自転車 ライト自転車 チャイルドシート カバー空気入れ 自転車サドル幼児 ヘルメット自転車 傘スタンド自転車　鍵靴　修理コルクマット[ママ割登録とエントリーでポイント5倍]【取寄せ】自転車用 自動点滅テールライト バックステー取付タイプ TL-AU165-BS CATEYE キャットアイ,　。[ママ割登録とエントリーでポイント5倍]【取寄せ】自転車用 自動点滅テールライト バックステー取付タイプ TL-AU165-BS CATEYE キャットアイ[rn]
11-151621,http://tshop.r10s.jp/theusasurf/cabinet/img14/bmini04_1.jpg?fitin=700:700,2764.8000,,スポーツ・アウトドア > 自転車・サイクリング > 自転車用アクセサリー > ライト・ランプ,"knog ノグ BLINDER ""MINI DOT"" リヤ 自転車 ライト LED USB充電 4色バリ",,"<img border=0 alt=CA src=""http://image.rakuten.co.jp/theusasurf/cabinet/02939419/bmini780_1.jpg"" width=""100%""><BR>
<img border=0 alt=CA src=""http://image.rakuten.co.jp/theusasurf/cabinet/02939419/bmini780_2.jpg"" width=""100%""><BR>
<img border=0 alt=CA src=""http://image.rakuten.co.jp/theusasurf/cabinet/02939419/bmini04_780.jpg"" width=""100%""><BR><BR>
●BlinderMobで取入れられた照射角度を使用目的に合わせて選べる新発想が、コンパクトモデル「Blinder MINI」にも採用されました。遠くからの視認性を上げるスポットライト「DOT」は照射角20度。シートピラー径に収まるコンパクトデザインですが、視認性は500mと実用性も十分考慮させています。またストラップが工具要らずの交換式へと進化。リヤモデルには3種（ショート・ミディアム・ロング）のストラップが付属。ご使用のシートピラーに合わせて簡単に交換可能です。エアロピラーにも対応。<BR><BR>
●照射角度：20度<BR>
●搭載LEDランプ：Lumileds 3535L LEDx1<BR>
●使用バッテリー：USBリチャージブル リチウムイオンポリマーバッテリー<BR>
●充電時間：2.5時間<BR><BR>
【連続点灯時間】<BR>
●Steady mode：1.8-2.2 hours<BR>
●Strobe Flash：3.5 hours<BR>
●Fading Flash：3-3.2 hours<BR>
●Lightning Flash：3.5 hours<BR>
●Eco Flash：10.5-11 hours<BR><BR>
【点灯パターン】<BR>
●：Steady High<BR>
●：Steady Low<BR>
●：Strobe Flash<BR>
●：Strobe Flash<BR>
●：Eco Flash<BR><BR>
※返品交換はできませんのでご注意ください","knog ノグ BLINDER ""MINI DOT"" リヤ 自転車 ライト LED USB充電 4色バリ：ＴＨＥ　ＵＳＡ　ＳＵＲＦ",通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得HURLEYハーレー tシャツスノーボード水着 メンズラッシュガードNIKE SBメンズ水着 カッコいいビーチクルーザーROXYREEFスリッポンウエットスーツ水着通販DCシューズサーフパンツ水着体型カバーQUIKSILVERハーシェルトムズゴーグル スノボknog ノグ BLINDER &quot;MINI DOT&quot; リヤ 自転車 ライト LED USB充電 4色バリ,人気のBlinder1がリニューアル！。knog ノグ BLINDER &quot;MINI DOT&quot; リヤ 自転車 ライト LED USB充電 4色バリ[rn]
