16-27301,,3032.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1,作業用品\ハンマー・刻印・ポンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ＳＫＨ鋼（ハイス）を刃部に溶接し、耐久性、耐磨耗性、靭性に優れています。<br>
●レンガ、ブロックのハツリ作業に。<br>
●頭径(mm):20×22<br>
●頭長(mm):117<br>
●全長(mm):330<br>
●呼称:21mm<br>
●頭部：炭素鋼<br>
●刃部：ＳＫＨ<br>
●柄：白樫<br>
●頭部や柄部に亀裂又はガタツキがないか、確認してください。<br>
●ご使用時には、必ずヘルメット、安全メガネ手袋を着用してください。<br>
●周囲の安全を確認し用途にあった形状、サイズで正しくご使用下さい。",■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1：クローバー資材館,■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1,作業用品\ハンマー・刻印・ポンチ。■〒須佐製作所/王将 ハンマー【015818】(8184255) 王将 超硬鋼付ブロックハンマー 発注単位1[rn]
16-27358,,1659.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【024357】(7659318) ９６７ＳＰＫＬ／１０ＳＭＮ　マルチカラートルクスキー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●９色カラーで、容易にサイズを判別できます。<br>●高いトルク伝達率により作業効率もアップします。<br>●ゴムコーティングによりグリップ性も良好です。<br><br><br>●刃先：T30<br>●首下寸法(mm)：31.0<br>●全長(mm)：122<br><br><br>",『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【024357】(7659318) ９６７ＳＰＫＬ／１０ＳＭＮ　マルチカラートルクスキー 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【024357】(7659318) ９６７ＳＰＫＬ／１０ＳＭＮ　マルチカラートルクスキー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【024357】(7659318) ９６７ＳＰＫＬ／１０ＳＭＮ　マルチカラートルクスキー 受注単位1[rn]
16-27359,,1734.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88250】(4958217) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●角度を90度に固定せず、最大180度の角度で使用できるため、障害物のある場所で力を発揮します。<br>●表面処理には特殊なマットクロム仕上を採用しており、腐食を防ぎます。<br><br><br>●刃先：T50<br>●首下寸法(mm)：48<br>●全長(mm)：162<br><br><br>●クロムバナジウム鋼<br>",『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88250】(4958217) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88250】(4958217) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88250】(4958217) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1[rn]
16-27360,,2616.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001104】(7521014) ００１１０４　プロフィキー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般的なキャビネットや遮断システムの開閉に便利なキーセットです。<br>●建物内の空調設備、シャットオフバルブ、メインスイッチボードなどに使用します。<br><br>●ヒーター、エアコン、衛生設備およびビル建築現場での作業用キー。例えばドアや窓のハンドルまたはヒーターのエア抜きに使用します。<br><br>●質量(g)：86<br><br>●全長(mm)：90<br>●ビットアダプター付き：マイナスビット1.0 x 7 mm とプラスビット2<br><br>●亜鉛ダイキャスト<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001104】(7521014) ００１１０４　プロフィキー 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001104】(7521014) ００１１０４　プロフィキー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001104】(7521014) ００１１０４　プロフィキー 受注単位1[rn]
16-27361,,1576.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88245】(4958195) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●角度を90度に固定せず、最大180度の角度で使用できるため、障害物のある場所で力を発揮します。<br>●表面処理には特殊なマットクロム仕上を採用しており、腐食を防ぎます。<br><br><br>●刃先：T45<br>●首下寸法(mm)：48<br>●全長(mm)：164<br><br><br>●クロムバナジウム鋼<br>",『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88245】(4958195) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88245】(4958195) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88245】(4958195) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1[rn]
16-27362,,1341.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88230】(4958179) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●角度を90度に固定せず、最大180度の角度で使用できるため、障害物のある場所で力を発揮します。<br>●表面処理には特殊なマットクロム仕上を採用しており、腐食を防ぎます。<br><br><br>●刃先：T30<br>●首下寸法(mm)：35<br>●全長(mm)：119<br><br><br>●クロムバナジウム鋼<br>",『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88230】(4958179) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88230】(4958179) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88230】(4958179) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1[rn]
16-27363,,3169.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001102】(7520999) ００１１０２　コントロールキャビネットキー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般的なキャビネットや遮断システムの開閉に便利なキーセットです。<br>●建物内の空調設備、シャットオフバルブ、メインスイッチボードなどに使用します。<br><br>●ガス、水道、電気設備のコントロールキャビネット、遮断システム用<br><br>●質量(g)：65<br><br>●全長(mm)：44<br>●ビットアダプター付き：マイナスビット1.0 x 7 mm とプラスビット2<br><br>●亜鉛ダイキャスト<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001102】(7520999) ００１１０２　コントロールキャビネットキー 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001102】(7520999) ００１１０２　コントロールキャビネットキー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001102】(7520999) ００１１０２　コントロールキャビネットキー 受注単位1[rn]
16-27364,,1341.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88227】(4958161) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●角度を90度に固定せず、最大180度の角度で使用できるため、障害物のある場所で力を発揮します。<br>●表面処理には特殊なマットクロム仕上を採用しており、腐食を防ぎます。<br><br><br>●刃先：T27<br>●首下寸法(mm)：35<br>●全長(mm)：119<br><br><br>●クロムバナジウム鋼<br>",『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88227】(4958161) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88227】(4958161) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88227】(4958161) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1[rn]
16-27365,,5522.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【SP5-IC-18】(4958276) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチセット 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●連続で締め付けが可能で、障害物のある場所でもレンチの抜き差しが不要です。<br>●角度を90度に固定せず、最大180度の角度で使用できるため、障害物のある場所で力を発揮します。<br>●表面処理には特殊なマットクロム仕上を採用しており、腐食を防ぎます。<br><br>●星型穴付ボルトの締め付け、緩め作業に。<br><br>●セット内容：T40、T45、T47、T50、T55<br>●セット内容(本)：5<br><br><br>●クロムバナジウム鋼<br>",『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【SP5-IC-18】(4958276) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチセット 受注単位1：クローバー資材館,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【SP5-IC-18】(4958276) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチセット 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【SP5-IC-18】(4958276) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチセット 受注単位1[rn]
16-27366,,1453.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【364T20X100】(4922581) Ｔハンドルトルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●手のひらにピッタリフィットするTハンドル形状でとても使いやすいです。<br>●全身焼入です。<br>●クロムメッキ仕上げです。<br><br>●超硬工具のホルダ・カッターボディーへのチップの装填。<br>●自動車整備。<br><br>●刃先：T20<br>●全長(mm)：132<br>●全幅(mm)：100<br>●軸長(mm)：100<br>●質量(g)：48<br><br>●先端はビーハクロムトップ加工<br><br>",『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【364T20X100】(4922581) Ｔハンドルトルクスドライバー 受注単位1：クローバー資材館,『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【364T20X100】(4922581) Ｔハンドルトルクスドライバー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒ビーハ社/Ｗｉｈａ【364T20X100】(4922581) Ｔハンドルトルクスドライバー 受注単位1[rn]
16-27367,,4017.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001107】(7521022) ００１１０７　ペン型コントロールキャビネットキー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●一般的なキャビネットや遮断システムの開閉に便利なキーセットです。<br>●建物内の空調設備、シャットオフバルブ、メインスイッチボードなどに使用します。<br><br>●ガス、水道、電気設備のコントロールキャビネット、遮断システム用。<br><br>●質量(g)：95<br><br>●全長(mm)：145<br>●持ち運びに便利なペン型のコントロールキャビネットキー。安全に保管するための固定クリップが付いています。<br>●2つのリバーシブルビット付き：十字型スロット PH / スロット 7.0 x 1.2 mm および TX20、T25。<br>●標準ビット用の1/4インチビットアダプター（永久磁石で固定）。<br>●1つのキーに1/4インチビット用アダプターを追加。<br><br>●キー：亜鉛ダイキャスト<br>●ボディ：グラスファイバー強化プラスチック<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001107】(7521022) ００１１０７　ペン型コントロールキャビネットキー 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001107】(7521022) ００１１０７　ペン型コントロールキャビネットキー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【001107】(7521022) ００１１０７　ペン型コントロールキャビネットキー 受注単位1[rn]
16-27368,,1285.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【024354】(7659288) ９６７ＳＰＫＬ／１０ＳＭＮ　マルチカラートルクスキー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●９色カラーで、容易にサイズを判別できます。<br>●高いトルク伝達率により作業効率もアップします。<br>●ゴムコーティングによりグリップ性も良好です。<br><br><br>●刃先：T20<br>●首下寸法(mm)：24.3<br>●全長(mm)：96<br><br><br>",『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【024354】(7659288) ９６７ＳＰＫＬ／１０ＳＭＮ　マルチカラートルクスキー 受注単位1：クローバー資材館,『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【024354】(7659288) ９６７ＳＰＫＬ／１０ＳＭＮ　マルチカラートルクスキー 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒Ｗｅｒａ社/Ｗｅｒａ【024354】(7659288) ９６７ＳＰＫＬ／１０ＳＭＮ　マルチカラートルクスキー 受注単位1[rn]
16-27369,,1341.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88225】(4958152) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●角度を90度に固定せず、最大180度の角度で使用できるため、障害物のある場所で力を発揮します。<br>●表面処理には特殊なマットクロム仕上を採用しており、腐食を防ぎます。<br><br><br>●刃先：T25<br>●首下寸法(mm)：36<br>●全長(mm)：119<br><br><br>●クロムバナジウム鋼<br>",『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88225】(4958152) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1：クローバー資材館,『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88225】(4958152) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1,作業用品\ドライバー・六角棒レンチ\ヘックスローブレンチ。『カード対応OK！』■〒ボンダス・ジャパン/ボンダス【88225】(4958152) ＨＥＸ　ＰＲＯ　ピボットヘッド・スターレンチ 受注単位1[rn]
16-27370,,400.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【300-2-100】(7545100) ウッディドライバー　３００　＋２×１００ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●粗い木肌が、抜群のノンスリップ効果を発揮します。<br>●油がついた手でも締付力はほとんど変わりません。<br>●グリップに木粉を使用し、天然木材の手になじむ質感や肌触りを感じる事ができます。<br><br>●自動車や二輪、機械整備等の油がつく締付作業に最適です。<br><br>●刃先：[[(+)]]No.2<br>●軸長(mm)：100<br>●全長(mm)：215<br>●軸径(mm)：6.42<br>●グリップ径(mm)：32<br><br>●全身焼入<br>●刃先：マグネット入り<br><br>●軸：クロームバナジューム鋼 <br>●グリップ：木樹脂<br>",『カード対応OK！』■〒ベッセル【300-2-100】(7545100) ウッディドライバー　３００　＋２&times;１００ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【300-2-100】(7545100) ウッディドライバー　３００　＋２&times;１００ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー。『カード対応OK！』■〒ベッセル【300-2-100】(7545100) ウッディドライバー　３００　＋２&times;１００ 受注単位1[rn]
16-27371,,633.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【300-8-150】(7545142) ウッディドライバー　３００　－８×１５０ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●粗い木肌が、抜群のノンスリップ効果を発揮します。<br>●油がついた手でも締付力はほとんど変わりません。<br>●グリップに木粉を使用し、天然木材の手になじむ質感や肌触りを感じる事ができます。<br><br>●自動車や二輪、機械整備等の油がつく締付作業に最適です。<br><br>●刃先：[[(-)]]8<br>●軸長(mm)：150<br>●全長(mm)：275<br>●軸径(mm)：8.0<br>●グリップ径(mm)：35<br><br>●全身焼入<br>●刃先：マグネット入り<br><br>●軸：クロームバナジューム鋼 <br>●グリップ：木樹脂<br>",『カード対応OK！』■〒ベッセル【300-8-150】(7545142) ウッディドライバー　３００　&minus;８&times;１５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【300-8-150】(7545142) ウッディドライバー　３００　&minus;８&times;１５０ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー。『カード対応OK！』■〒ベッセル【300-8-150】(7545142) ウッディドライバー　３００　&minus;８&times;１５０ 受注単位1[rn]
16-27372,,361.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【300-1-75】(7545096) ウッディドライバー　３００　＋１×７５ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●粗い木肌が、抜群のノンスリップ効果を発揮します。<br>●油がついた手でも締付力はほとんど変わりません。<br>●グリップに木粉を使用し、天然木材の手になじむ質感や肌触りを感じる事ができます。<br><br>●自動車や二輪、機械整備等の油がつく締付作業に最適です。<br><br>●刃先：[[(+)]]No.1<br>●軸長(mm)：75<br>●全長(mm)：182<br>●軸径(mm)：5.5　<br>●グリップ径(mm)：30<br><br>●全身焼入<br>●刃先：マグネット入り<br><br>●軸：クロームバナジューム鋼 <br>●グリップ：木樹脂<br>",『カード対応OK！』■〒ベッセル【300-1-75】(7545096) ウッディドライバー　３００　＋１&times;７５ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【300-1-75】(7545096) ウッディドライバー　３００　＋１&times;７５ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー。『カード対応OK！』■〒ベッセル【300-1-75】(7545096) ウッディドライバー　３００　＋１&times;７５ 受注単位1[rn]
16-27373,,361.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【300-5.5-75】(7545126) ウッディドライバー　３００　－５．５×７５ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●粗い木肌が、抜群のノンスリップ効果を発揮します。<br>●油がついた手でも締付力はほとんど変わりません。<br>●グリップに木粉を使用し、天然木材の手になじむ質感や肌触りを感じる事ができます。<br><br>●自動車や二輪、機械整備等の油がつく締付作業に最適です。<br><br>●刃先：[[(-)]]5.5<br>●軸長(mm)：75<br>●全長(mm)：182<br>●軸径(mm)：5.55<br>●グリップ径(mm)：30<br><br>●全身焼入<br>●刃先：マグネット入り<br><br>●軸：クロームバナジューム鋼 <br>●グリップ：木樹脂<br>",『カード対応OK！』■〒ベッセル【300-5.5-75】(7545126) ウッディドライバー　３００　&minus;５．５&times;７５ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【300-5.5-75】(7545126) ウッディドライバー　３００　&minus;５．５&times;７５ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー。『カード対応OK！』■〒ベッセル【300-5.5-75】(7545126) ウッディドライバー　３００　&minus;５．５&times;７５ 受注単位1[rn]
16-27374,,633.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【300-3-150】(7545118) ウッディドライバー　３００　＋３×１５０ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●粗い木肌が、抜群のノンスリップ効果を発揮します。<br>●油がついた手でも締付力はほとんど変わりません。<br>●グリップに木粉を使用し、天然木材の手になじむ質感や肌触りを感じる事ができます。<br><br>●自動車や二輪、機械整備等の油がつく締付作業に最適です。<br><br>●刃先：[[(+)]]No.3<br>●軸長(mm)：150<br>●全長(mm)：275<br>●軸径(mm)：8.0　<br>●グリップ径(mm)：35<br><br>●全身焼入<br>●刃先：マグネット入り<br><br>●軸：クロームバナジューム鋼 <br>●グリップ：木樹脂<br>",『カード対応OK！』■〒ベッセル【300-3-150】(7545118) ウッディドライバー　３００　＋３&times;１５０ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【300-3-150】(7545118) ウッディドライバー　３００　＋３&times;１５０ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー。『カード対応OK！』■〒ベッセル【300-3-150】(7545118) ウッディドライバー　３００　＋３&times;１５０ 受注単位1[rn]
16-27375,,400.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ベッセル【300-6-100】(7545134) ウッディドライバー　３００　－６×１００ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●粗い木肌が、抜群のノンスリップ効果を発揮します。<br>●油がついた手でも締付力はほとんど変わりません。<br>●グリップに木粉を使用し、天然木材の手になじむ質感や肌触りを感じる事ができます。<br><br>●自動車や二輪、機械整備等の油がつく締付作業に最適です。<br><br>●刃先：[[(-)]]6<br>●軸長(mm)：100<br>●全長(mm)：215<br>●軸径(mm)：6.0　<br>●グリップ径(mm)：32<br><br>●全身焼入<br>●刃先：マグネット入り<br><br>●軸：クロームバナジューム鋼 <br>●グリップ：木樹脂<br>",『カード対応OK！』■〒ベッセル【300-6-100】(7545134) ウッディドライバー　３００　&minus;６&times;１００ 受注単位1：クローバー資材館,『カード対応OK！』■〒ベッセル【300-6-100】(7545134) ウッディドライバー　３００　&minus;６&times;１００ 受注単位1,作業用品\ドライバー・六角棒レンチ\木柄ドライバー。『カード対応OK！』■〒ベッセル【300-6-100】(7545134) ウッディドライバー　３００　&minus;６&times;１００ 受注単位1[rn]
16-27376,,804.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【212L-2.5RB】(7542879) ２１２Ｌ－２．５ＹＧ　ロングボールレインボーレンチ　黄緑（ 受注単位1,作業用品\ドライバー・六角棒レンチ\ボールポイント六角棒レンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●特殊パウダーコートにより、耐錆性と長寿命を可能にしています。<br>●エッジは隅取りをしており、レンチを楽にねじ穴へ差し込むことができます。<br>●硬度はＨＲＣ59と高く、しかも強靭に作られているので、耐摩擦性、持久性に優れ、高トルクをかけることができます。<br>●精密に作られたボールポイントで角度のついたところのネジを回すことが可能です。（斜め30°の角度までＯＫ）。<br>●※ボール部では本締めできません。<br><br><br>●対辺寸法(mm)：2.5<br>●首下寸法(mm)：18<br>●全長(mm)：110<br>●質量(ｇ)：5<br><br><br>",『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【212L-2.5RB】(7542879) ２１２Ｌ&minus;２．５ＹＧ　ロングボールレインボーレンチ　黄緑（ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【212L-2.5RB】(7542879) ２１２Ｌ&minus;２．５ＹＧ　ロングボールレインボーレンチ　黄緑（ 受注単位1,作業用品\ドライバー・六角棒レンチ\ボールポイント六角棒レンチ。『カード対応OK！』■〒ＰＢスイスツールズ社/ＰＢ【212L-2.5RB】(7542879) ２１２Ｌ&minus;２．５ＹＧ　ロングボールレインボーレンチ　黄緑（ 受注単位1[rn]
