16-26301,,412.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4”プラスビットＥ63型 発注単位1,作業用品\ドライバービット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●1/4インチ（6.35mm）のE6.3型プラスビットです。<br>
●あらゆる産業のねじ締め<br>
●刃先:[[(+)]]3<br>
●全長(mm):50<br>
●塗装色:クローム<br>
●差込角(mm):6.35<br>
●シャンク径:6.35mm<br>
●DIN3126、ISO1173、E6.3型<br>
●クロムバナジウム鋼<br>
●全身焼き入れ",■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1：クローバー資材館,■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1,作業用品\ドライバービット。■〒ビーハ社/Ｗｉｈａ レンチ【7041ZPH3X50】(7984049) Ｗｉｈａ プロフェッショナル1／4&rdquo;プラスビットＥ63型 発注単位1[rn]
16-26373,,2360.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-3Z】(4962931) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●狭い箇所、奥深い箇所でのプラスチックゲートの切断に最適です。<br>●真上から刃が入ります。<br>●逆手持ち可能です。<br><br><br>●切断能力(mm)樹脂：φ2<br>●全長(mm)：140<br><br>●コイルばね付<br>●ラウンド刃<br><br>●クロムバナジウム鋼<br>",『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-3Z】(4962931) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-3Z】(4962931) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用。『カード対応OK！』■〒スリーピークス技研/スリーピークス【TC-3Z】(4962931) スリーピークス　トップカッター（バネ付）　１４０ｍｍ 受注単位1[rn]
16-26374,,5778.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【P6160】(4981502) プラスチックカッター 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●滑らかにすべての種類のプラスチックを切るように設計されています。<br>●親指と人差し指でニッパーを回転させながら精密作業ができます。<br><br><br>●切断能力(mm)樹脂：φ3<br>●全長(mm)：160<br>●切断能力(mm)：鉄線φ3銅線φ4.5ピアノ線φ2.5<br>●質量(g)：162<br><br>●ばね付<br><br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【P6160】(4981502) プラスチックカッター 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【P6160】(4981502) プラスチックカッター 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【P6160】(4981502) プラスチックカッター 受注単位1[rn]
16-26375,,1490.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒トップ工業/ＴＯＰ【PLN-125R】(7228694) プラスチックニッパ（バネ付）　ストッパー付　１２５ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●刃部の肉厚を薄くしてあり、プラスチック部品のゲート切りに最適です。<br><br>●プラスチック部品、ゲート切断専用<br><br>●切断能力(mm)樹脂：φ5<br>●全長(mm)：124<br>●質量(g)：65<br><br>●ラウンド刃<br>●ばね付<br><br>●Cr-V<br>",『カード対応OK！』■〒トップ工業/ＴＯＰ【PLN-125R】(7228694) プラスチックニッパ（バネ付）　ストッパー付　１２５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒トップ工業/ＴＯＰ【PLN-125R】(7228694) プラスチックニッパ（バネ付）　ストッパー付　１２５ｍｍ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ニッパプラスチック用。『カード対応OK！』■〒トップ工業/ＴＯＰ【PLN-125R】(7228694) プラスチックニッパ（バネ付）　ストッパー付　１２５ｍｍ 受注単位1[rn]
16-26376,,15649.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ホーザン/ＨＯＺＡＮ【S-16】(4943091) 電気工事士技能試験セット 受注単位1,作業用品\工具セット\電設工具セット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●電気工事士技能試験を受験するための基本工具＋ＶＶＦストリッパーのセットです。<br><br><br>●ケース寸法(mm)間口×奥行×高さ：300×50×100<br>●セット内容(点)：8<br>●ケース色：黒<br>●質量(kg)：1.4<br><br><br>",『カード対応OK！』■〒ホーザン/ＨＯＺＡＮ【S-16】(4943091) 電気工事士技能試験セット 受注単位1：クローバー資材館,『カード対応OK！』■〒ホーザン/ＨＯＺＡＮ【S-16】(4943091) 電気工事士技能試験セット 受注単位1,作業用品\工具セット\電設工具セット。『カード対応OK！』■〒ホーザン/ＨＯＺＡＮ【S-16】(4943091) 電気工事士技能試験セット 受注単位1[rn]
16-26377,,259232.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日本ワイドミュラー/ワイドミュラー【7800003659】(7630867) 工具セット　ＰＶ－ｔｏｏｌ－ｋｉｔ 受注単位1,作業用品\工具セット\電設工具セット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●メガソーラー（大規模太陽光発電所）に広く採用されているIEC規格（IEC61439-2）に準拠しています。<br>●接続箱の配線・メンテナンスに必要な「切る」「剥く」「圧着」「締める」「トルク管理」の各作業を、安全で確実に行えます。<br><br><br>●ケース寸法(mm)間口×奥行×高さ：480×400×170<br>●セット内容(点)：24<br>●質量(kg)：8.4<br><br><br>",『カード対応OK！』■〒日本ワイドミュラー/ワイドミュラー【7800003659】(7630867) 工具セット　ＰＶ&minus;ｔｏｏｌ&minus;ｋｉｔ 受注単位1：クローバー資材館,『カード対応OK！』■〒日本ワイドミュラー/ワイドミュラー【7800003659】(7630867) 工具セット　ＰＶ&minus;ｔｏｏｌ&minus;ｋｉｔ 受注単位1,作業用品\工具セット\電設工具セット。『カード対応OK！』■〒日本ワイドミュラー/ワイドミュラー【7800003659】(7630867) 工具セット　ＰＶ&minus;ｔｏｏｌ&minus;ｋｉｔ 受注単位1[rn]
16-26378,,2160.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ツノダ/ＴＴＣ ペンチ【PW-115DG】(7851821) ＴＴＣ ＰＯＷＥＲ 万能ペンチ(偏芯テコ) エラストマーグリップ 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●全体を薄く軽量化し、疲労が軽減します。<br>
●偏芯テコで従来品に比べ切断力がＵＰしています。<br>
●切断能力(mm)鉄線:φ2.8<br>
●切断能力(mm)銅線:φ4.0<br>
●切断能力(mm)VA線(VVF):2.0×3芯<br>
●落下防止用ひも取付穴:有<br>
●全長(mm):235<br>
●圧着機能付",■〒ツノダ/ＴＴＣ ペンチ【PW-115DG】(7851821) ＴＴＣ ＰＯＷＥＲ 万能ペンチ(偏芯テコ) エラストマーグリップ 発注単位1：クローバー資材館,■〒ツノダ/ＴＴＣ ペンチ【PW-115DG】(7851821) ＴＴＣ ＰＯＷＥＲ 万能ペンチ(偏芯テコ) エラストマーグリップ 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒ツノダ/ＴＴＣ ペンチ【PW-115DG】(7851821) ＴＴＣ ＰＯＷＥＲ 万能ペンチ(偏芯テコ) エラストマーグリップ 発注単位1[rn]
16-26379,,2808.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【322HGE-175】(7917988) ビクター 斜ニッパ(エラストマーＧ) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●細線や銅線などの切断に適しています。刃部に皮むき穴(1.2φ・1.10φ)付です。<br>
●電気工事・通信工事等に最適です。<br>
●全長(mm):182<br>
●切断能力(mm)鉄線:φ1.2<br>
●切断能力(mm)銅線:φ3.0<br>
●ラウンド刃<br>
●皮むき穴付<br>
●構造用炭素鋼<br>
●グリップ：エストラマー",■〒フジ矢/ビクター ペンチ【322HGE-175】(7917988) ビクター 斜ニッパ(エラストマーＧ) 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【322HGE-175】(7917988) ビクター 斜ニッパ(エラストマーＧ) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒フジ矢/ビクター ペンチ【322HGE-175】(7917988) ビクター 斜ニッパ(エラストマーＧ) 発注単位1[rn]
16-26380,,2332.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【322A-150】(8144689) ビクター 斜ニッパ(成型カバ－付) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●銅線・より線・鉄線などの細い線の切断に最適です。<br>
●あらゆる電気工事･通信工事の細線や銅線の切断に最適です。<br>
●全長(mm):156<br>
●切断能力(mm)鉄線:φ1.2<br>
●切断能力(mm)銅線:φ2.6<br>
●ラウンド刃<br>
●構造用炭素鋼<br>
●成型カバー",■〒フジ矢/ビクター ペンチ【322A-150】(8144689) ビクター 斜ニッパ(成型カバ&minus;付) 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【322A-150】(8144689) ビクター 斜ニッパ(成型カバ&minus;付) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒フジ矢/ビクター ペンチ【322A-150】(8144689) ビクター 斜ニッパ(成型カバ&minus;付) 発注単位1[rn]
16-26381,,3545.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【3025-190】(7925298) ＫＮＩＰＥＸ 3025－190 ロングノーズプライヤー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●耐摩耗性に優れ、ハードな使用に最適です。<br>
●つかみ面には滑り止めの横スジが入っています。<br>
●全長(mm):190<br>
●先端形状(mm)E×F:3.0×2.4<br>
●口先先端の厚さ(mm):3.0<br>
●落下防止用ひも取付穴:無<br>
●先端形状:半丸型<br>
●口先の長さ(mm):50.0<br>
●ジョイント部の幅(mm):18.5<br>
●ジョイント部の厚さ(mm):8.0<br>
●口先先端の幅(mm):2.4<br>
●コンフォートハンドル仕様です。<br>
●オイル焼き入れ焼き戻し処理済みクロームバナジウム電気鋼",■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【3025-190】(7925298) ＫＮＩＰＥＸ 3025&minus;190 ロングノーズプライヤー 発注単位1：クローバー資材館,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【3025-190】(7925298) ＫＮＩＰＥＸ 3025&minus;190 ロングノーズプライヤー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【3025-190】(7925298) ＫＮＩＰＥＸ 3025&minus;190 ロングノーズプライヤー 発注単位1[rn]
16-26382,,3196.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【MCPHG225】(8144732) ビクター 電工強力ペンチエラストマＧ 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●従来商品よりも軽量化をはかり、携帯性・作業性をアップしています。<br>
●圧着機能付で1.25～3.5mmの簡易圧着ができます。<br>
●プライヤー部がありパイプやナットを回しやすくなっています。　<br>
●テコの原理を応用して偏心にすることで、軽く切断することができます。<br>
●電気工事･金工作業･機械部品の組立等<br>
●切断能力(mm)鉄線:φ4.0<br>
●切断能力(mm)銅線:φ5.0<br>
●落下防止用ひも取付穴:無<br>
●全長(mm):230<br>
●構造用炭素鋼",■〒フジ矢/ビクター ペンチ【MCPHG225】(8144732) ビクター 電工強力ペンチエラストマＧ 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【MCPHG225】(8144732) ビクター 電工強力ペンチエラストマＧ 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒フジ矢/ビクター ペンチ【MCPHG225】(8144732) ビクター 電工強力ペンチエラストマＧ 発注単位1[rn]
16-26383,,2212.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【2002-140】(7867450) ＫＮＩＰＥＸ 2002－140 平ペンチ 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●耐摩耗性に優れ、ハードな使用に最適です。<br>
●つかみ面には滑り止めの横スジが入っています。<br>
●先端は平坦で、短く、幅広です。<br>
●全長(mm):140<br>
●厚み(mm):9.5<br>
●先端形状:平型<br>
●落下防止用ひも取付穴:無<br>
●オイル焼き入れ焼き戻し処理済みクロームバナジウム電気鋼",■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【2002-140】(7867450) ＫＮＩＰＥＸ 2002&minus;140 平ペンチ 発注単位1：クローバー資材館,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【2002-140】(7867450) ＫＮＩＰＥＸ 2002&minus;140 平ペンチ 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【2002-140】(7867450) ＫＮＩＰＥＸ 2002&minus;140 平ペンチ 発注単位1[rn]
16-26384,,3067.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【381HGS-200】(8144759) ビクター 電工ＶＡ線ニッパ(薄刃・バネ付)(エラストマーＧ) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●最先端研磨技術でシャープな切れ味、従来の強力ニッパ(薄刃)より鋭く切断できます。<br>
●電気工事に最適です。<br>
●全長(mm):216<br>
●切断能力(mm)銅線:φ3.5<br>
●切断能力(mm)軟線:φ2.5<br>
●切断能力(mm)VA線:2.6×3芯<br>
●薄刃(フラットタイプ)<br>
●ばね付<br>
●構造用炭素鋼<br>
●グリップ:エストラマー",■〒フジ矢/ビクター ペンチ【381HGS-200】(8144759) ビクター 電工ＶＡ線ニッパ(薄刃・バネ付)(エラストマーＧ) 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【381HGS-200】(8144759) ビクター 電工ＶＡ線ニッパ(薄刃・バネ付)(エラストマーＧ) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒フジ矢/ビクター ペンチ【381HGS-200】(8144759) ビクター 電工ＶＡ線ニッパ(薄刃・バネ付)(エラストマーＧ) 発注単位1[rn]
16-26385,,6652.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒レザーマンツールジャパン/レザーマン 多機能ツール【FST】(8093989) レザーマン フリースタイル 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ミドルサイズプライヤーで最も軽量なモデルです。<br>
●シンプルにプライヤーと直刃と波刃コンボナイフにポケットクリップを装備しています。<br>
●軽く、携帯性を追求したツールです。<br>
●プライヤー、ワイヤーカッター、ナイフにクリップが付いています。<br>
●LTJマーク付き、25年保証です。<br>
●マウンテンバイク、登山などにも軽くて携帯し易いです。<br>
●携帯用工具<br>
●アウトドアー<br>
●全長(mm):87<br>
●色:※<br>
●機能:ニードルノーズプライヤー、レギュラープライヤー、ワイヤーカッター、ハードワイヤーカッター、420HC直刃波刃コンボナイフ<br>
●本体:ステンレス<br>
●ハンドル(片側):ザイテル樹脂<br>
●使用後は汚れをふき取って、潤滑剤を拭きつけ収納してください。",■〒レザーマンツールジャパン/レザーマン 多機能ツール【FST】(8093989) レザーマン フリースタイル 発注単位1：クローバー資材館,■〒レザーマンツールジャパン/レザーマン 多機能ツール【FST】(8093989) レザーマン フリースタイル 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒レザーマンツールジャパン/レザーマン 多機能ツール【FST】(8093989) レザーマン フリースタイル 発注単位1[rn]
16-26386,,2320.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【130HGE-150】(7917562) ビクター ハイグレードニッパ(エラストマーＧ) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●幅広く使用されるスタンダードニッパで一般的な作業に最適です。<br>
●刃部に皮むき穴(1.9Φ)付です。<br>
●全長(mm):161<br>
●切断能力(mm)鉄線:φ1.6<br>
●切断能力(mm)銅線:φ2.6<br>
●セミフラッシュ刃<br>
●皮むき穴付<br>
●構造用炭素鋼<br>
●グリップ:エストラマー<br>
●硬線は切断できません。",■〒フジ矢/ビクター ペンチ【130HGE-150】(7917562) ビクター ハイグレードニッパ(エラストマーＧ) 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【130HGE-150】(7917562) ビクター ハイグレードニッパ(エラストマーＧ) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒フジ矢/ビクター ペンチ【130HGE-150】(7917562) ビクター ハイグレードニッパ(エラストマーＧ) 発注単位1[rn]
16-26387,,3032.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【110BSL1.3-125】(7917252) ビクター マイクロニッパ定寸切り(ソフトカバ－付) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ストッパー付で開き幅が小さく長時間の切断作業に最適です。<br>
●リード線の定寸切断作業ができます。<br>
●全長(mm):126<br>
●切断能力(mm)鉄線:φ1.2<br>
●切断能力(mm)銅線:φ2.0<br>
●定寸切(mm):1.3<br>
●セミフラッシュ刃<br>
●ばね付<br>
●構造用炭素鋼<br>
●硬線は切断できません。",■〒フジ矢/ビクター ペンチ【110BSL1.3-125】(7917252) ビクター マイクロニッパ定寸切り(ソフトカバ&minus;付) 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【110BSL1.3-125】(7917252) ビクター マイクロニッパ定寸切り(ソフトカバ&minus;付) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒フジ矢/ビクター ペンチ【110BSL1.3-125】(7917252) ビクター マイクロニッパ定寸切り(ソフトカバ&minus;付) 発注単位1[rn]
16-26388,,2307.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【322B-150】(7917970) ビクター 斜ニッパ(ソフトカバ－付) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●細線や銅線の切断に適しています。<br>
●刃も厚く強靭でステップル抜きにも対応しています。<br>
●全長(mm):155<br>
●切断能力(mm)鉄線:φ1.2<br>
●切断能力(mm)銅線:φ2.6<br>
●ラウンド刃<br>
●構造用炭素鋼",■〒フジ矢/ビクター ペンチ【322B-150】(7917970) ビクター 斜ニッパ(ソフトカバ&minus;付) 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【322B-150】(7917970) ビクター 斜ニッパ(ソフトカバ&minus;付) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒フジ矢/ビクター ペンチ【322B-150】(7917970) ビクター 斜ニッパ(ソフトカバ&minus;付) 発注単位1[rn]
16-26389,,17900.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【4420-J61】(7883005) ＫＮＩＰＥＸ 4420－Ｊ61 穴用スナップリングプライヤー 曲 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ロック機構付です。（解除可能）<br>
●先端チップは焼き入れ処理済みで交換も可能です。<br>
●ハンドルはブラックパウダーコーティング仕上げです。<br>
●爪先端径(mm):4.5<br>
●リング使用範囲(mm):252～400<br>
●全長(mm):600<br>
●爪形状:曲爪<br>
●先端チップ角度:90度<br>
●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。",■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【4420-J61】(7883005) ＫＮＩＰＥＸ 4420&minus;Ｊ61 穴用スナップリングプライヤー 曲 発注単位1：クローバー資材館,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【4420-J61】(7883005) ＫＮＩＰＥＸ 4420&minus;Ｊ61 穴用スナップリングプライヤー 曲 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【4420-J61】(7883005) ＫＮＩＰＥＸ 4420&minus;Ｊ61 穴用スナップリングプライヤー 曲 発注単位1[rn]
16-26390,,3628.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【AP60SL-PUSL】(8184324) ＫＡＨＡＲＡ 6ｉｎｃｈアルミプライヤー＆マルチホルダー パープル／シルバー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●先端パーツは錆びに強いチタンコーティングステンレス製です。<br>
●手や爪を傷めない便利なリングオープナー付きです。<br>
●タングステンスティールカッター採用で釣り糸などのポリエチレンの糸等をカットするのに便利です。<br>
●全長(mm):153<br>
●厚み(mm):10<br>
●サイズ（インチ）:6<br>
●色:パープル／シルバー<br>
●タイプ:マルチホルダー<br>
●3wayマルチホルダー付<br>
●落下防止ランヤード付<br>
●アルミニウム合金<br>
●ステンレス<br>
●タングステンスティール<br>
●KJランヤードブラック<br>
●カハラプライヤーホルダー<br>
●本体がアルミニュム合金のため、無理なご使用はお避け下さい。先端パーツのズレの原因に繋がります。<br>
●本品は非絶縁工具です。活線（通電してい線）の切断は感電する恐れがありますので、切断の際は電源を切ってからご使用ください。",■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【AP60SL-PUSL】(8184324) ＫＡＨＡＲＡ 6ｉｎｃｈアルミプライヤー＆マルチホルダー パープル／シルバー 発注単位1：クローバー資材館,■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【AP60SL-PUSL】(8184324) ＫＡＨＡＲＡ 6ｉｎｃｈアルミプライヤー＆マルチホルダー パープル／シルバー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【AP60SL-PUSL】(8184324) ＫＡＨＡＲＡ 6ｉｎｃｈアルミプライヤー＆マルチホルダー パープル／シルバー 発注単位1[rn]
16-26391,,1653.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ 工具セットＥ【TIT44SBKF1】(7761716) ＴＲＵＳＣＯ ＥＶＡフォーム 黒×オレンジ 3段式工具箱用 発注単位1,作業用品\工具セット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ブラック・オレンジ2層で表層の黒色部分はカーボン風繊維でコーティングされており、耐久性と高級感にあふれています。<br>
●カーボン風繊維コーティングのフォームなので、通常のウレタンフォームと比べ、クリーニングがしやすいです。<br>
●収納工具に合わせた立体成型で、各工具のサイズも印字されているので、使用中の工具が一目でわかるとともに、使用後の工具がしっかりと収納できます。<br>
●TIT44S-BK用の専用フォームです。<br>
●色:ブラック×オレンジ<br>
●適合機種:TIT44SBK<br>
●縦×横×厚み(mm):93×465×33<br>
●摘要:右側1段目用<br>
●ＥＶＡ",■〒トラスコ中山/ＴＲＵＳＣＯ 工具セットＥ【TIT44SBKF1】(7761716) ＴＲＵＳＣＯ ＥＶＡフォーム 黒&times;オレンジ 3段式工具箱用 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ 工具セットＥ【TIT44SBKF1】(7761716) ＴＲＵＳＣＯ ＥＶＡフォーム 黒&times;オレンジ 3段式工具箱用 発注単位1,作業用品\工具セット。■〒トラスコ中山/ＴＲＵＳＣＯ 工具セットＥ【TIT44SBKF1】(7761716) ＴＲＵＳＣＯ ＥＶＡフォーム 黒&times;オレンジ 3段式工具箱用 発注単位1[rn]
16-26392,,18993.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【S330L】(4981987) ３／８　１／４ソケットセット 受注単位1,作業用品\工具セット\ツールキット,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●スタンダードセットS330のディープソケットタイプです。<br>●常時使用から常備用としても使用できます。<br><br>●機械メンテナンス作業に。<br>●常備工具として。<br><br>●ケース寸法(mm)間口×奥行×高さ：370×215×115<br>●セット内容(点)：53<br>●ケース色：オレンジ/ブラック<br>●質量(kg)：3.73<br><br><br>●特殊工具鋼<br>",『カード対応OK！』■〒スナップオン・ツールズ/バーコ【S330L】(4981987) ３／８　１／４ソケットセット 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ【S330L】(4981987) ３／８　１／４ソケットセット 受注単位1,作業用品\工具セット\ツールキット。『カード対応OK！』■〒スナップオン・ツールズ/バーコ【S330L】(4981987) ３／８　１／４ソケットセット 受注単位1[rn]
