16-26201,,21452.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ジョイント部は鍛造軸カシメを採用し耐久性に優れています。<br>●ピアノ線を含む様々なワイヤの切断に適しています。<br>●最適な刃の位置と角度・てこの原理を最大限発揮するデザイン・人間工学に基づいたハンドル形状-この３つの利点により、少ない力で高い切断能力を発揮します。<br>●入念な焼入れ処理が施された刃の硬度は約ＨＲＣ64です。<br><br><br>●全長(mm)：160<br>●切断能力(mm)硬線：φ2.5<br>●切断能力(mm)ピアノ線：2<br>●ハンドル：コンフォートタイプ<br>●切断能力(mm)中硬線：φ3.4<br>●質量(g)：209<br><br><br>●オイル焼き入れ焼き戻し処理済みクロームバナジウム電気鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6,作業用品\プライヤー・ペンチ・ニッパ\ニッパ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【7402-160SB】(7666357) 強力型ニッパー　１６０ｍｍ 受注単位6[rn]
16-26273,,18721.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4610-A6】(4968638) ２５２－４００ｍｍ　軸用スナップリングプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ロック機構付です。（解除可能）<br>●先端チップは焼き入れ処理済みで交換も可能です。<br>●ハンドルはブラックパウダーコーティング仕上げです。<br><br><br>●爪先端径(mm)：4.5<br>●リング使用範囲(mm)：252～400<br>●全長(mm)：570<br>●爪形状：直爪<br>●質量(g)：1795<br><br><br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4610-A6】(4968638) ２５２&minus;４００ｍｍ　軸用スナップリングプライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4610-A6】(4968638) ２５２&minus;４００ｍｍ　軸用スナップリングプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4610-A6】(4968638) ２５２&minus;４００ｍｍ　軸用スナップリングプライヤー 受注単位1[rn]
16-26274,,1955.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【SRPS-200B】(7607741) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端部は逆テーパー状でスナップリングを確実に保持します。<br>●ソフトな感触で握り心地が良く滑りにくいグリップです。<br>●一体成型で、消耗によるがたつきや折れ、破損に高い耐久性を実現しています。<br><br><br>●爪先端径(mm)：2.3<br>●リング使用範囲(mm)：40～100<br>●全長(mm)：210<br>●爪形状：曲爪<br>●質量(g)：215<br><br>●ばね付<br><br>",『カード対応OK！』■〒ＴＯＮＥ【SRPS-200B】(7607741) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【SRPS-200B】(7607741) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＴＯＮＥ【SRPS-200B】(7607741) スナップリングプライヤ（ベントタイプ　軸用） 受注単位1[rn]
16-26275,,2211.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4419-J5】(4974719) ４４１０－Ｊ５用　先端部スペア　２個 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br>●4410-J5用の先端部替爪です。<br><br>●適合本体：4410-J5<br>●質量(g)：77<br><br><br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4419-J5】(4974719) ４４１０&minus;Ｊ５用　先端部スペア　２個 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4419-J5】(4974719) ４４１０&minus;Ｊ５用　先端部スペア　２個 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4419-J5】(4974719) ４４１０&minus;Ｊ５用　先端部スペア　２個 受注単位1[rn]
16-26276,,1377.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＴＯＮＥ【SRPS-125】(7607679) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●先端部は逆テーパー状でスナップリングを確実に保持します。<br>●ソフトな感触で握り心地が良く滑りにくいグリップです。<br>●一体成型で、消耗によるがたつきや折れ、破損に高い耐久性を実現しています。<br><br><br>●爪先端径(mm)：1.3<br>●リング使用範囲(mm)：10～25<br>●全長(mm)：140<br>●爪形状：直爪<br>●質量(g)：105<br><br>●ばね付<br><br>",『カード対応OK！』■〒ＴＯＮＥ【SRPS-125】(7607679) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1：クローバー資材館,『カード対応OK！』■〒ＴＯＮＥ【SRPS-125】(7607679) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＴＯＮＥ【SRPS-125】(7607679) スナップリングプライヤ（ストレートタイプ　軸用） 受注単位1[rn]
16-26277,,2321.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4619-A6】(4968646) ４６１０－Ａ６用　先端部スペア　２個 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br>●4610-A6用の先端部替爪です。<br><br>●適合本体：4610-A6<br>●質量(g)：90<br><br><br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4619-A6】(4968646) ４６１０&minus;Ａ６用　先端部スペア　２個 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4619-A6】(4968646) ４６１０&minus;Ａ６用　先端部スペア　２個 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ【4619-A6】(4968646) ４６１０&minus;Ａ６用　先端部スペア　２個 受注単位1[rn]
16-26278,,6114.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7590】(4981642) ＲＸシリーズ　ラウンドノーズプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エルゴグリップ採用により、腱鞘炎になりづらく、けがの防止になります。<br><br><br>●全長(mm)：146.5<br>●A(mm)：20<br><br>●ばね付<br><br>●刃先硬度HRC63-65高周波焼入れ<br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7590】(4981642) ＲＸシリーズ　ラウンドノーズプライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7590】(4981642) ＲＸシリーズ　ラウンドノーズプライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7590】(4981642) ＲＸシリーズ　ラウンドノーズプライヤー 受注単位1[rn]
16-26279,,6899.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7891】(4981669) 精密プライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エルゴグリップ採用により、腱鞘炎になりづらく、けがの防止になります。<br><br>●電子関係精密作業。<br><br>●全長(mm)：158.5<br>●A(mm)：32<br>●質量(g)：72<br><br>●ばね付<br><br>●刃先硬度HRC63-65高周波焼入れ<br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7891】(4981669) 精密プライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7891】(4981669) 精密プライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7891】(4981669) 精密プライヤー 受注単位1[rn]
16-26280,,7175.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7892】(4981677) 精密プライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エルゴグリップ採用により、腱鞘炎になりづらく、けがの防止になります。<br><br>●電子関係精密作業。<br><br>●全長(mm)：155.5<br>●A(mm)：29<br>●質量(g)：73<br><br>●ばね付<br><br>●刃先硬度HRC63-65高周波焼入れ<br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7892】(4981677) 精密プライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7892】(4981677) 精密プライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7892】(4981677) 精密プライヤー 受注単位1[rn]
16-26281,,6185.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7490】(4981634) 精密プライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エルゴグリップ採用により、腱鞘炎になりづらく、けがの防止になります。<br><br>●電子関係精密作業。<br><br>●全長(mm)：146.5<br>●A(mm)：20<br>●質量(g)：70<br><br>●ばね付<br><br>●刃先硬度HRC63-65高周波焼入れ<br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7490】(4981634) 精密プライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7490】(4981634) 精密プライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7490】(4981634) 精密プライヤー 受注単位1[rn]
16-26282,,6698.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7890】(4981651) 精密プライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エルゴグリップ採用により、腱鞘炎になりづらく、けがの防止になります。<br><br>●電子関係精密作業。<br><br>●全長(mm)：158.5<br>●A(mm)：32<br>●質量(g)：72<br><br>●ばね付<br><br>●刃先硬度HRC63-65高周波焼入れ<br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7890】(4981651) 精密プライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7890】(4981651) 精密プライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7890】(4981651) 精密プライヤー 受注単位1[rn]
16-26283,,6615.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7893】(4981685) 精密プライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●エルゴグリップ採用により、腱鞘炎になりづらく、けがの防止になります。<br><br>●電子関係精密作業。<br><br>●全長(mm)：146.5<br>●A(mm)：20<br>●質量(g)：71<br><br>●ばね付<br><br>●刃先硬度HRC63-65高周波焼入れ<br>",『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7893】(4981685) 精密プライヤー 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7893】(4981685) 精密プライヤー 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\精密プライヤー。『カード対応OK！』■〒スナップオン・ツールズ/リンドストローム【RX7893】(4981685) 精密プライヤー 受注単位1[rn]
16-26284,,736.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒室本鉄工/メリー【W19】(1115448) ヒートニッパ用替ヒータＷ１９ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ヒートニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br>●摘要：24V-19W （HT-180、120、130、140、160、170、HT180DX）<br>●質量(g)：4<br><br><br>",『カード対応OK！』■〒室本鉄工/メリー【W19】(1115448) ヒートニッパ用替ヒータＷ１９ 受注単位1：クローバー資材館,『カード対応OK！』■〒室本鉄工/メリー【W19】(1115448) ヒートニッパ用替ヒータＷ１９ 受注単位1,作業用品\プライヤー・ペンチ・ニッパ\ヒートニッパ。『カード対応OK！』■〒室本鉄工/メリー【W19】(1115448) ヒートニッパ用替ヒータＷ１９ 受注単位1[rn]
16-26285,,1277.6000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ロブテックス/エビ レンチ【CB175】(7865121) エビ スナップリングプライヤ 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●先端を逆テーパー形状にし、ビットに滑り止め加工を施しています。<br>
●取付け時にリングがホルダーに密着し、固定されるため、作業性と安全性が向上します。<br>
●先端にピアノ線ビットを使用！<br>
●高い耐久力と耐磨耗性を実現。<br>
●スナップリングの取り付け・取り外し<br>
●爪先端径(mm):1.8<br>
●リング使用範囲(mm):19～60<br>
●全長(mm):168<br>
●爪形状:曲爪<br>
●ばね付<br>
●全長168mm<br>
●爪形状:曲爪<br>
●リング使用範囲：19～65mm<br>
●爪先端径:1.8mm",■〒ロブテックス/エビ レンチ【CB175】(7865121) エビ スナップリングプライヤ 発注単位1：クローバー資材館,■〒ロブテックス/エビ レンチ【CB175】(7865121) エビ スナップリングプライヤ 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒ロブテックス/エビ レンチ【CB175】(7865121) エビ スナップリングプライヤ 発注単位1[rn]
16-26286,,12096.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒レザーマンツールジャパン/レザーマン 多機能ツール【JCS4-GY】(8094013) レザーマン ジュースＣＳ4 グレー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●プライヤーが付き、機能が充実したミドルグレードです。<br>
●携帯性と機能性が高い人気モデルです。<br>
●LTJマーク付き、25年保証です。<br>
●携帯用工具。<br>
●アウトドアー。<br>
●刃長(mm):※<br>
●刃厚(mm):※<br>
●全長(mm):82<br>
●色:グレー<br>
●機能:ニードルノーズプライヤー、レギュラープライヤー、ワイヤーカッター、ハードワイヤーカッター、420HC直刃ナイフ、ハサミ、アシスト付きコルク抜き、ノコギリ、キリ、マイナスドライバー(極小/小/中)、プラスドライバー、栓抜き/缶切り、ランヤードリング<br>
●刃部：ステンレス（420HC）、ハンドルプレート：アルミニウム（アルマイト加工）その他：ステンレススチール<br>
●使用後は汚れをふき取って、潤滑剤を拭きつけ収納してください。",■〒レザーマンツールジャパン/レザーマン 多機能ツール【JCS4-GY】(8094013) レザーマン ジュースＣＳ4 グレー 発注単位1：クローバー資材館,■〒レザーマンツールジャパン/レザーマン 多機能ツール【JCS4-GY】(8094013) レザーマン ジュースＣＳ4 グレー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒レザーマンツールジャパン/レザーマン 多機能ツール【JCS4-GY】(8094013) レザーマン ジュースＣＳ4 グレー 発注単位1[rn]
16-26287,,5594.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒レザーマンツールジャパン/レザーマン 多機能ツール【PS4-BL】(4363035) レザーマン スクォートＰＳ4 ブルー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●主要機能のプライヤー・ナイフ・ハサミを装備し、キーチェーンツールでありながら機能が充実しています。<br>
●ハサミ、ドライバーなどはハンドルを開かずに取り出せます。<br>
●LTJマーク付き、25年保証です。<br>
●プロ仕様携帯用工具。<br>
●アウトドアー。<br>
●刃長(mm):※<br>
●刃厚(mm):※<br>
●全長(mm):57<br>
●色:ブルー<br>
●機能:スプリングアクション・ニードルノーズプライヤー、スプリングアクション・レギュラープライヤー、スプリングアクションワイヤーカッター、420HC直刃ナイフ、ハサミ、木工/金属用ヤスリ、マイナスドライバー、フラットプラスドライバー、栓抜き<br>
●ハンドルプレート:アルミニウム（アルマイト加工）<br>
●本体:ステンレススチール<br>
●使用後は汚れをふき取って、潤滑剤を拭きつけ収納してください。",■〒レザーマンツールジャパン/レザーマン 多機能ツール【PS4-BL】(4363035) レザーマン スクォートＰＳ4 ブルー 発注単位1：クローバー資材館,■〒レザーマンツールジャパン/レザーマン 多機能ツール【PS4-BL】(4363035) レザーマン スクォートＰＳ4 ブルー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒レザーマンツールジャパン/レザーマン 多機能ツール【PS4-BL】(4363035) レザーマン スクォートＰＳ4 ブルー 発注単位1[rn]
16-26288,,1792.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒スリーピークス技研/スリーピークス ニッパー【SM-01】(7767625) スリーピークス ミニマイクロニッパ(バネ付) 100mm 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ニッパシリーズ最小クラスです。<br>
●鋭い切れ味で繊細な作業に威力を発揮します。<br>
●手になじみやすいエラストマー樹脂グリップです。<br>
●全長(mm):108<br>
●切断能力(mm)鉄線:-<br>
●切断能力(mm)銅線:φ1.6<br>
●ラウンド刃<br>
●ばね付<br>
●バナジウム鋼",■〒スリーピークス技研/スリーピークス ニッパー【SM-01】(7767625) スリーピークス ミニマイクロニッパ(バネ付) 100mm 発注単位1：クローバー資材館,■〒スリーピークス技研/スリーピークス ニッパー【SM-01】(7767625) スリーピークス ミニマイクロニッパ(バネ付) 100mm 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒スリーピークス技研/スリーピークス ニッパー【SM-01】(7767625) スリーピークス ミニマイクロニッパ(バネ付) 100mm 発注単位1[rn]
16-26289,,4158.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒レザーマンツールジャパン/レザーマン 多機能ツール【MIC-SV】(4363019) レザーマン マイクラ ステンレス 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●日常での使用頻度が高いハサミをメインとし、10の機能を備えたマルチツールです。<br>
●ハサミはLEATHERMAN品質で切れ味に優れています。<br>
●折りたたんで65mmのコンパクトな本体に日常で使えるツールが収納されています。<br>
●LTJマーク付き、25年保証です。<br>
●キーホルダーとしてちょっとした修理に便利です。<br>
●ハサミをメインにして初めて作られたキーチェーンサイズ・ツールです。<br>
●軽作業用携帯工具<br>
●アウトドア―<br>
●全長(mm):65<br>
●色:シルバー<br>
●機能:ハサミ、420HCステンレスナイフ、マイナスドライバー(ＸＳ)、マイナスドライバー(Ｍ)、フラットプラスドライバー、爪ヤスリ、爪クリーナー、ピンセット、定規、栓抜き<br>
●ハンドルプレート:アルミニウム<br>
●本体:ステンレススチール<br>
●使用後は汚れをふき取って、潤滑剤を拭きつけ収納してください。",■〒レザーマンツールジャパン/レザーマン 多機能ツール【MIC-SV】(4363019) レザーマン マイクラ ステンレス 発注単位1：クローバー資材館,■〒レザーマンツールジャパン/レザーマン 多機能ツール【MIC-SV】(4363019) レザーマン マイクラ ステンレス 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒レザーマンツールジャパン/レザーマン 多機能ツール【MIC-SV】(4363019) レザーマン マイクラ ステンレス 発注単位1[rn]
16-26290,,3018.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【3035-140】(7925310) ＫＮＩＰＥＸ 3035－140 ロングノーズプライヤー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●耐摩耗性に優れ、ハードな使用に最適です。<br>
●全長(mm):140<br>
●先端形状(mm)E×F:4.0×2.0<br>
●口先先端の厚さ(mm):4.0<br>
●落下防止用ひも取付穴:無<br>
●先端形状:丸型<br>
●口先の長さ(mm):37.5<br>
●ジョイント部の幅(mm):15.0<br>
●ジョイント部の厚さ(mm):8.0<br>
●口先先端の幅(mm):2<br>
●コンフォートハンドル仕様です。<br>
●オイル焼き入れ焼き戻し処理済みクロームバナジウム電気鋼",■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【3035-140】(7925310) ＫＮＩＰＥＸ 3035&minus;140 ロングノーズプライヤー 発注単位1：クローバー資材館,■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【3035-140】(7925310) ＫＮＩＰＥＸ 3035&minus;140 ロングノーズプライヤー 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒ＫＮＩＰＥＸ社/ＫＮＩＰＥＸ ハンドツール【3035-140】(7925310) ＫＮＩＰＥＸ 3035&minus;140 ロングノーズプライヤー 発注単位1[rn]
16-26291,,4147.2000,,花・ガーデン・DIY > DIY・工具 > その他,■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【AP65RSL-MB】(8184320) ＫＡＨＡＲＡ 6．5インチラバー付アルミプライヤースリムタイプ マットブラック 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●先端パーツは錆びに強いチタンコーティングステンレス製です。<br>
●手や爪を傷めない便利なリングオープナー付きです。<br>
●タングステンスティールカッター採用で釣り糸などのポリエチレンの糸等をカットするのに便利です。<br>
●持ち手部分にラバーを付けることで滑り止めに貢献します。<br>
●全長(mm):185<br>
●厚み(mm):13<br>
●サイズ（インチ）:6.5<br>
●色:マットブラック<br>
●タイプ:スリム・ラバー付<br>
●3wayマルチホルダー付<br>
●落下防止ランヤード付<br>
●アルミニウム合金<br>
●ステンレス<br>
●タングステンスティール<br>
●本体がアルミニウム合金のため、無理なご使用はお避け下さい。先端パーツのズレの原因につながります。",■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【AP65RSL-MB】(8184320) ＫＡＨＡＲＡ 6．5インチラバー付アルミプライヤースリムタイプ マットブラック 発注単位1：クローバー資材館,■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【AP65RSL-MB】(8184320) ＫＡＨＡＲＡ 6．5インチラバー付アルミプライヤースリムタイプ マットブラック 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒カハラジャパン/ＫＡＨＡＲＡ プライヤー【AP65RSL-MB】(8184320) ＫＡＨＡＲＡ 6．5インチラバー付アルミプライヤースリムタイプ マットブラック 発注単位1[rn]
16-26292,,3348.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒フジ矢/ビクター ペンチ【371HG-200】(8144752) ビクター ハイパワー偏心電工ニッパ(薄刃)(エラストマーＧ) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●刃先を薄くし、よりシャープな切れ味とフラットな切断面を実現しました。<br>
●電気工事に最適です。<br>
●全長(mm):212<br>
●切断能力(mm)鉄線:φ4.0<br>
●切断能力(mm)銅線:φ5.0<br>
●切断能力(mm)VA線:2.6×3芯<br>
●圧着機能付(1.25～3.5mm)<br>
●薄刃<br>
●構造用炭素鋼<br>
●グリップ:エストラマー",■〒フジ矢/ビクター ペンチ【371HG-200】(8144752) ビクター ハイパワー偏心電工ニッパ(薄刃)(エラストマーＧ) 発注単位1：クローバー資材館,■〒フジ矢/ビクター ペンチ【371HG-200】(8144752) ビクター ハイパワー偏心電工ニッパ(薄刃)(エラストマーＧ) 発注単位1,作業用品\プライヤー・ペンチ・ニッパ。■〒フジ矢/ビクター ペンチ【371HG-200】(8144752) ビクター ハイパワー偏心電工ニッパ(薄刃)(エラストマーＧ) 発注単位1[rn]
