16-101401,http://tshop.r10s.jp/akibamac/cabinet/05065716/4989999082838.jpg?fitin=700:700,404.8000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,トラスコ中山E－GRIP ダスター刷毛用 50MM 筋違型 ハンドルセット TEGD50HS,,■先端が交換できます。<br><br>■一切金属を使用していないので「燃えるゴミ」として処分できます。<br><br>■環境に配慮した商品です。<br><br>■ハンドルに缶エンドフックが付いているので、ペール缶などにかけることができます。<br><br>■持ちやすい構造のグリップです。<br><br>■先端が交換できる刷毛のハンドルと先端刷毛のセットになります。<br><br>【用途】<br>・水性塗料、油性塗料、ラッカーなどの塗装用。<br>・水性接着剤の塗布用。<br><br>【仕様】<br>全長(mm)：245、タイプ：ダスター用（筋違型）、刷毛幅(mm)：50、毛丈(mm)：45、毛先品番：TEGD-50S、ハンドル品番：TEG-50HS、質量(g)：52<br>適合塗料：油性◎<br><br>【材質／仕上】<br>■柄：ポリプロピレン（PP）■スペア上部：ポリプロピレン（PP）<br><br>【原産国】<br>中国,トラスコ中山E&minus;GRIP ダスター刷毛用 50MM 筋違型 ハンドルセット TEGD50HS：ソフマップ　デジタルコレクション,ソフマップ デジタルコレクションSofmap Digital CollectionパソコンタブレットPCHDDアセンブリパーツパソコンパーツテレビゲームブルーレイソフトDVDソフト液晶テレビブルーレイディスクレコーダーデジタル一眼レフカメラデジタルカメラ家電時計中古　ソフトアウトレット中古ノートパソコン中古パソコントラスコ中山E&minus;GRIP ダスター刷毛用 50MM 筋違型 ハンドルセット TEGD50HS,トラスコ中山E&minus;GRIP ダスター刷毛用 50MM 筋違型 ハンドルセット TEGD50HS[rn]
16-101481,http://tshop.r10s.jp/yminfo/cabinet/00121755/cri.jpg?fitin=700:700,701.6000,,花・ガーデン・DIY > DIY・工具 > 塗装用品 > 塗料缶・ペンキ,【頑張って送料無料！】アサヒペン　クリエイティブカラースプレー 100ML 63ファイヤーレットﾞ,タレにくく、きれいに仕上がる,"【ここがポイント！】 
● タレにくく、きれいに仕上がります。発泡スチロールや油性塗料の上に塗っても、下地をとかしません。  
● テコ式ノズルボタンの使用により、タッチが軽く指が疲れません。有害なフロンや鉛化合物は一切使用していません。  
● 日光や雨に強く、屋外にも使用できます。 
 ※こちらの商品は”ファイヤーレッド”になります。
※色見本はPC環境によっては実際の色と異なる場合があります。 
 
【用途例】 
● 鉄、木、紙、発泡スチロール、プラスチック(一部を除く)、ガラス・コンクリートなど、",【頑張って送料無料！】アサヒペン　クリエイティブカラースプレー 100ML 63ファイヤーレットﾞ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】アサヒペン　クリエイティブカラースプレー 100ML 63ファイヤーレットﾞ,タレにくく、きれいに仕上がる。【頑張って送料無料！】アサヒペン　クリエイティブカラースプレー 100ML 63ファイヤーレットﾞ[rn]
16-101482,http://tshop.r10s.jp/xhome/cabinet/03325608/imgrc0067200057.jpg?fitin=700:700,1256.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,アンティークレンガ・ブロック積み用モルタル　灰色内容量：10kg【一部地域送料無料】,セメント・補修材・セメント補修・レンガ・レンガ用セメント,"レンガ・アンティークレンガ・ブロック積みの目的施工・ガーデニング用ブロックの固定・その他モルタル及びコンクリート等の部分補修に最適です。
１袋：10kg入り
使用方法
レンガなどの汚れを取り、充分水に湿らせ、適当な陽気に水を少しずつ加え（1kgに対し約150ccの水）適当な硬さに良く練り合わせてご使用下さい。レンガゴテ、ブロックゴテ、目地ゴテを使用すると便利です。
【塗り面積の目安】
１袋（１０kg)は、１ｃｍ×２１ｃｍ×１０ｃｍレンガの１５～２０枚分、　１ｃｍ×３９ｃｍ×１２ｃｍレンガの８～１２枚分になります。

一部地域送料無料",アンティークレンガ・ブロック積み用モルタル　灰色内容量：10kg【一部地域送料無料】：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターアンティークレンガ・ブロック積み用モルタル　灰色内容量：10kg【一部地域送料無料】,セメント・補修材・セメント補修・レンガ・レンガ用セメント。アンティークレンガ・ブロック積み用モルタル　灰色内容量：10kg【一部地域送料無料】[rn]
16-101483,http://tshop.r10s.jp/xhome/cabinet/00622676/img57942805.jpg?fitin=700:700,184.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,抗菌タイル目地材　500g　ホワイト,セメント・目地材・タイル・クラフトタイル,"色：白色
１袋：500g入り
硬化時間：３時間


ご注文総重量が10kg以下の場合は送料Aパターン
ご注文総重量が10kgを超えた場合はお見積もりさせて頂きます。
お気軽にお問い合わせ下さいませ。",抗菌タイル目地材　500g　ホワイト：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター抗菌タイル目地材　500g　ホワイト,セメント・目地材・タイル・クラフトタイル。抗菌タイル目地材　500g　ホワイト[rn]
16-101484,http://tshop.r10s.jp/xhome/cabinet/02733441/img58834885.jpg?fitin=700:700,392.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,サッシ用パテ　400g　ホワイト,セメント・補修材・セメント補修・穴埋め,"●業がしやすく耐水性も優れた油性パテです。
●水廻りの隙間充填だけでなく、モルタル壁のひび割れ・穴埋め補修にも使用できます。


色：白色
１袋：400g入り



ご注文総重量が10kg以下の場合は送料Aパターン
ご注文総重量が10kgを超えた場合はお見積もりさせて頂きます。
お気軽にお問い合わせ下さいませ。",サッシ用パテ　400g　ホワイト：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターサッシ用パテ　400g　ホワイト,セメント・補修材・セメント補修・穴埋め。サッシ用パテ　400g　ホワイト[rn]
16-101485,http://tshop.r10s.jp/xhome/cabinet/ikou_20100226/img1043883247.jpg?fitin=700:700,296.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,屋外や水周りに使うときは弾性接着剤PM-165R50ml,,外でも使える強力タイプの接着剤です。,屋外や水周りに使うときは弾性接着剤PM-165R50ml：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター屋外や水周りに使うときは弾性接着剤PM-165R50ml,屋外や水周りに使うときは弾性接着剤PM-165R50ml[rn]
16-101486,http://tshop.r10s.jp/xhome/cabinet/tile/img55569277.jpg?fitin=700:700,1856.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,1つで厚さ2ｍｍで約1平方メートル分張れますブリック用業務用接着剤セラタック2ｋｇ入,,ブリック用屋外もいける接着剤2ｋｇ入。プロ向けの接着剤です。1平方メートル分の使い切りサイズ！,1つで厚さ2ｍｍで約1平方メートル分張れますブリック用業務用接着剤セラタック2ｋｇ入：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター1つで厚さ2ｍｍで約1平方メートル分張れますブリック用業務用接着剤セラタック2ｋｇ入,1つで厚さ2ｍｍで約1平方メートル分張れますブリック用業務用接着剤セラタック2ｋｇ入[rn]
16-101487,http://tshop.r10s.jp/xhome/cabinet/tile/img55563405.jpg?fitin=700:700,632.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,かるかるブリック施工用接着モルタル4ｋｇ入り,,水で練るだけで接着剤の様に粘りが出ます。かるかるブリックを外壁などの広い範囲につけるのに有効です。,かるかるブリック施工用接着モルタル4ｋｇ入り：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターかるかるブリック施工用接着モルタル4ｋｇ入り,かるかるブリック施工用接着モルタル4ｋｇ入り[rn]
16-101488,http://tshop.r10s.jp/xhome/cabinet/00622676/img57967541.jpg?fitin=700:700,512.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,アスファルト用ひび割れ補修材　500g　ブラック,セメント・補修材・セメント補修・ひび割れ・穴埋め,"【商品説明】
カラー　：ブラック
内容量　：350g（1本）
施工面積：幅5mm×深さ5mmで約10m
硬化時間：夏期約2時間、冬期約4時間
内部硬化：約24時間

【特長】
アスファルトエマルジョン系で
水と混ぜる必要もありません。
そのまま流し込むだけで補修できます。

【用途】
アスファルト面のひび割れ補修。
小さな穴埋め補修。",アスファルト用ひび割れ補修材　500g　ブラック：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターアスファルト用ひび割れ補修材　500g　ブラック,セメント・補修材・セメント補修・ひび割れ・穴埋め。アスファルト用ひび割れ補修材　500g　ブラック[rn]
16-101489,http://tshop.r10s.jp/xhome/cabinet/02733441/img60063922.jpg?fitin=700:700,1968.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,左官用軽量モルタルワンモル＃20　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修中塗り、薄塗りに適したプレミックス左官用軽量モルタルです。,コンクリート・セメント・補修・セメント補修・基礎材,"左官用軽量モルタル＃２０
ゼロアスベスト製品です。

１袋：25kg入り

【送料のお願いとお断り】
●送料のかかる商品とは同梱不可となります。
●同梱ご希望の場合は別途送料が発生します。
●お届先が北海道・東北・九州・沖縄・離島は別途送料が発生いたします。

予めご理解とご了承下さいますよう
宜しくお願い申し上げます。",左官用軽量モルタルワンモル＃20　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修中塗り、薄塗りに適したプレミックス左官用軽量モルタルです。：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター左官用軽量モルタルワンモル＃20　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修中塗り、薄塗りに適したプレミックス左官用軽量モルタルです。,コンクリート・セメント・補修・セメント補修・基礎材。左官用軽量モルタルワンモル＃20　25kg【一部地域送料無料】RC躯体・PC版等の内外部補修中塗り、薄塗りに適したプレミックス左官用軽量モルタルです。[rn]
16-101490,http://tshop.r10s.jp/xhome/cabinet/02744766/img58847297.jpg?fitin=700:700,2936.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,イビハウスモルタル　25kg【一部地域送料無料】,セメント・補修・セメント補修・基礎材,"既調合軽量セメントモルタルです。
1袋25kgです。

【データ】
1袋25kgで8-9L。

【施工面積】
15mm厚：約1.53平方メートル
17mm厚：約1.35平方メートル
20mm厚：約1.15平方メートル

【一部地域送料無料】です。",イビハウスモルタル　25kg【一部地域送料無料】：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランターイビハウスモルタル　25kg【一部地域送料無料】,セメント・補修・セメント補修・基礎材。イビハウスモルタル　25kg【一部地域送料無料】[rn]
16-101491,http://tshop.r10s.jp/xhome/cabinet/00622676/img57976581.jpg?fitin=700:700,2968.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,大和しっくい（白色） 20kg【送料無料】,しっくい・屋根補修・壁補修,"用途：内・外装、屋根しっくい
色：白色
１袋：20kg入り
注意事項
○仕上がり表面に水滴が出ますと布で覆いて下さい。
○凍結の恐れのある場合は施工を避けてください。
○施工直後の急激な乾燥は避けてください。
○湿気のあに場所に保管してください。",大和しっくい（白色） 20kg【送料無料】：ガーデン資材はエクステルホームズ,表札ポスト飾り蛇口立水栓ロートアイアンサイン段差スロープガーデンテーブルマリンライトオーナメントドアベルソーラーライト胡蝶蘭祝い枕木水栓柱タイルディズニーくるみ工作ブリキプランター大和しっくい（白色） 20kg【送料無料】,しっくい・屋根補修・壁補修。大和しっくい（白色） 20kg【送料無料】[rn]
