16-99701,http://tshop.r10s.jp/voice/cabinet/hb33160.jpg?fitin=700:700,1378.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ＨＥＲＢＩＮ シーリングワックス ローズ,　,"手書きの手紙の醍醐味、封ろうに使うワックス。
<br>色バリエーション豊かな４本セット
<br>（約40押し分）。長さ約8cm",ＨＥＲＢＩＮ シーリングワックス ローズ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ＨＥＲＢＩＮ シーリングワックス ローズ,　。ＨＥＲＢＩＮ シーリングワックス ローズ[rn]
16-99778,http://tshop.r10s.jp/voice/cabinet/dfil/26007_01.jpg?fitin=700:700,828.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ベビーダイアリーA5・HFダイアリー＜育児＞　育児ダイアリー　　育児日記　赤ちゃんの成長を記録 ミドリ ＜メール便指定ＯＫ＞,赤ちゃんの成長日記,"シンプルなページが魅力の育児ダイアリー。<br>
お誕生のエピソードを記録できるページに始まり、<br>
いただいたものリスト、写真も貼れるイベントページ、<br>
かかりつけ病院リスト、通院データ、<br>
毎日の記録が１時間刻みで残せるページなど<br>
これ１冊でかけがえのない育児日記が残せます。<br>
■サイズ H212×W155mm<br>
■素材　紙<br>
◎ダブルリング綴り表紙カバーがけ+クリア塩ビ製カバー<br>
◎ペンホルダー付<br>
◎フリータイプダイアリー（日付書き込み式）",ベビーダイアリーA5・HFダイアリー＜育児＞　育児ダイアリー　　育児日記　赤ちゃんの成長を記録 ミドリ ＜メール便指定ＯＫ＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ベビーダイアリーA5・HFダイアリー＜育児＞　育児ダイアリー　　育児日記　赤ちゃんの成長を記録 ミドリ ＜メール便指定ＯＫ＞,赤ちゃんの成長日記。ベビーダイアリーA5・HFダイアリー＜育児＞　育児ダイアリー　　育児日記　赤ちゃんの成長を記録 ミドリ ＜メール便指定ＯＫ＞[rn]
16-99779,http://tshop.r10s.jp/voice/cabinet/marks/cdr-bdr02-pk.jpg?fitin=700:700,1123.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【送料無料　ゆうパケットでお届け】ベビーダイアリーA5・イラスト＜ピンク＞　育児ダイアリー　育児日記　赤ちゃんの成長を記録 マークス,赤ちゃんの成長日記,"かわいいイラストたっぷりの育児ダイアリー。<br>
誕生から1歳になるまでの成長記録に加え、<br>
赤ちゃんとの思い出を楽しく残せるページも付いています。<br>
■サイズ H216×W160mm<br>
■素材　紙<br>
◎ダブルリング綴り表紙カバーがけ+クリア塩ビ製カバー<br>
◎ペンホルダー付<br>
◎フリータイプダイアリー（日付書き込み式）",【送料無料　ゆうパケットでお届け】ベビーダイアリーA5・イラスト＜ピンク＞　育児ダイアリー　育児日記　赤ちゃんの成長を記録 マークス：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【送料無料　ゆうパケットでお届け】ベビーダイアリーA5・イラスト＜ピンク＞　育児ダイアリー　育児日記　赤ちゃんの成長を記録 マークス,赤ちゃんの成長日記。【送料無料　ゆうパケットでお届け】ベビーダイアリーA5・イラスト＜ピンク＞　育児ダイアリー　育児日記　赤ちゃんの成長を記録 マークス[rn]
16-99780,http://tshop.r10s.jp/voice/cabinet/marks/cdr-bdr01-pk.jpg?fitin=700:700,1123.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ベビーダイアリーA5・ポニー＜ピンク＞　メール便指定で送料無料　育児ダイアリー　育児日記　赤ちゃんの成長を記録 マークス,赤ちゃんの成長日記,"かわいいイラストたっぷりの育児ダイアリー。<br>
誕生から1歳になるまでの成長記録に加え、<br>
赤ちゃんとの思い出を楽しく残せるページも付いています。<br>
■サイズ H216×W160mm<br>
■素材　紙<br>
◎ダブルリング綴り表紙カバーがけ+クリア塩ビ製カバー<br>
◎ペンホルダー付<br>
◎フリータイプダイアリー（日付書き込み式）",ベビーダイアリーA5・ポニー＜ピンク＞　メール便指定で送料無料　育児ダイアリー　育児日記　赤ちゃんの成長を記録 マークス：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ベビーダイアリーA5・ポニー＜ピンク＞　メール便指定で送料無料　育児ダイアリー　育児日記　赤ちゃんの成長を記録 マークス,赤ちゃんの成長日記。ベビーダイアリーA5・ポニー＜ピンク＞　メール便指定で送料無料　育児ダイアリー　育児日記　赤ちゃんの成長を記録 マークス[rn]
16-99781,http://tshop.r10s.jp/voice/cabinet/bungu3/ms-bde_01.jpg?fitin=700:700,777.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,かんたん育児日記（ドット柄）　A5サイズ　銀鳥産業　ベビーダイアリー　＜メール便指定OK＞,赤ちゃんの成長日記,"育児日記はつけたいけれど毎日はムリ・・<br>
そんな忙しいママさんにおすすめ♪<br>
誕生から１歳までの成長記録を残すことができます。<br>
赤ちゃんの成長記録やその日の様子など、ひとこと記録できるので忙しいときでも気軽に続けられます。<br>
見開きで2週間分、日付を自分で書き込めるので、いつからでも始められるのも嬉しいところ♪<br>
ちょっとしたひとことが大切な思い出になります。<br>
<br>
サイズ　約210×150×10mm<br>
総ページ数　104頁（ダイアリーページ54週分）<br>
<br>
＜内容＞<br>
生まれた日のこと、名前にこめた思い、アルバムページ、
<br>
はじめて記念日、身長体重グラフ、予防接種リスト、<br>
お祝いリスト、赤ちゃん語辞書、ダイアリーページ、メモページ<br>
<br>
透明ビニールカバー付き<br>",かんたん育児日記（ドット柄）　A5サイズ　銀鳥産業　ベビーダイアリー　＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨かんたん育児日記（ドット柄）　A5サイズ　銀鳥産業　ベビーダイアリー　＜メール便指定OK＞,赤ちゃんの成長日記。かんたん育児日記（ドット柄）　A5サイズ　銀鳥産業　ベビーダイアリー　＜メール便指定OK＞[rn]
16-99782,http://tshop.r10s.jp/voice/cabinet/marks/cdr-bdr01-bl.jpg?fitin=700:700,1123.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ベビーダイアリーA5・ポニー＜ブルー＞　育児ダイアリー　メール便指定で送料無料　育児日記　赤ちゃんの成長を記録 マークス,赤ちゃんの成長日記,"かわいいイラストたっぷりの育児ダイアリー。<br>
誕生から1歳になるまでの成長記録に加え、<br>
赤ちゃんとの思い出を楽しく残せるページも付いています。<br>
■サイズ H216×W160mm<br>
■素材　紙<br>
◎ダブルリング綴り表紙カバーがけ+クリア塩ビ製カバー<br>
◎ペンホルダー付<br>
◎フリータイプダイアリー（日付書き込み式）",ベビーダイアリーA5・ポニー＜ブルー＞　育児ダイアリー　メール便指定で送料無料　育児日記　赤ちゃんの成長を記録 マークス：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ベビーダイアリーA5・ポニー＜ブルー＞　育児ダイアリー　メール便指定で送料無料　育児日記　赤ちゃんの成長を記録 マークス,赤ちゃんの成長日記。ベビーダイアリーA5・ポニー＜ブルー＞　育児ダイアリー　メール便指定で送料無料　育児日記　赤ちゃんの成長を記録 マークス[rn]
16-99783,http://tshop.r10s.jp/voice/cabinet/bungu3/ms-bdd_01.jpg?fitin=700:700,932.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,育児日記（格子柄）　A5サイズ　銀鳥産業　ベビーダイアリー　＜メール便指定OK＞,赤ちゃんの成長日記,"誕生から1歳までの成長記録を残せます。<br>
睡眠やミルクなどの基本のお世話を手早く記録。<br>
体や心の成長過程や、生活リズムを把握するのにとっても便利です♪<br>
24時間、時間軸にあわせて記録したいママさんにおすすめです。<br>
<br>
サイズ　約210×150×10mm<br>
総ページ数　160頁<br>
<br>
＜内容＞<br>
生まれた日のこと、名前にこめた思い、アルバムページ、
<br>
はじめて記念日、身長体重グラフ、予防接種リスト、<br>
お祝いリスト、赤ちゃん語辞書、<br>
ダイアリーページ（ダイアリーページ53週分）、<br>
メモページ<br>
<br>
透明ビニールカバー付き<br>",育児日記（格子柄）　A5サイズ　銀鳥産業　ベビーダイアリー　＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨育児日記（格子柄）　A5サイズ　銀鳥産業　ベビーダイアリー　＜メール便指定OK＞,赤ちゃんの成長日記。育児日記（格子柄）　A5サイズ　銀鳥産業　ベビーダイアリー　＜メール便指定OK＞[rn]
16-99784,http://tshop.r10s.jp/voice/cabinet/bungu2/26209006.jpg?fitin=700:700,1105.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,育児ダイアリー　B5　デザインフィル（ミドリ）　１歳までの成長を記録＜メール便指定OK＞,　,"<font color=""#666666"">毎日の赤ちゃんの樣子が一目で分かる、時間軸で書き込める育児ダイアリーです。<BR>
    変化しやすい赤ちゃんの体調をこまめに記録していきましょう。<BR><BR>
    忙しいママも、授乳間隔や睡眠時間離乳食の内容などを簡単に短時間で記録ができる、便利な書き方ガイド付き。<BR>赤ちゃんの誕生からお七夜、お宮参りなどの行事を写真と一緒に記録できるページも充実しています。<BR>表紙は、刺繍作家atsumiさんの作品をプリントした手刺繍のぬくもりが伝わってくる2つのデザインを展開します。</font><br>
<font color=""#666666"">本体サイズ／ H263 × W188 × D14mm<BR>
リング製本<BR>
カバー／ PVC 製（ペンホルダー付）<BR>
中紙／ H252 × W177mm　144 ページ <BR><br></font>
メール便ご希望の際には、<br>
必ず配送方法のご指定を！<br>
 - - - - - - - - - - - - <br>
[メール便OK]商品の同梱可能<br>
ただしA4サイズ2cm厚まで<br>
サイズ超で宅配になる場合<br>
事前にメールします<br>
×代引　×ラッピング<br>
×日時指定<br>
×盗難・紛失・破損時の保証<br>
※メール便についてはこちらもご確認下さい",育児ダイアリー　B5　デザインフィル（ミドリ）　１歳までの成長を記録＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨育児ダイアリー　B5　デザインフィル（ミドリ）　１歳までの成長を記録＜メール便指定OK＞,　。育児ダイアリー　B5　デザインフィル（ミドリ）　１歳までの成長を記録＜メール便指定OK＞[rn]
16-99785,http://tshop.r10s.jp/voice/cabinet/stamp/kh-hm_13.jpg?fitin=700:700,14880.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【お買い得５０個セット】消しゴムはんこ＜ブラウンカラー＞　ほるナビBB　A6サイズ　シード,,"<font color=""red"">
勝手ながら、沖縄および離島へは、<br>
レターパックでお届けいたします。<br>
時間指定はできませんが、<br>
なにとぞご了承ください。</font><br>",【お買い得５０個セット】消しゴムはんこ＜ブラウンカラー＞　ほるナビBB　A6サイズ　シード：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【お買い得５０個セット】消しゴムはんこ＜ブラウンカラー＞　ほるナビBB　A6サイズ　シード,【お買い得５０個セット】消しゴムはんこ＜ブラウンカラー＞　ほるナビBB　A6サイズ　シード[rn]
16-99786,http://tshop.r10s.jp/voice/cabinet/bungu4/kh-hn1.jpg?fitin=700:700,14880.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【送料無料】【お買い得50個セット】消しゴムはんこ　ほるナビ（イエロー）　A6サイズ　シード　kesi01,,"ダブルカラー（2階層）の彫りやすい消しゴムです。<br />
  本体サイズ：W100×D148×H10<BR>
※トレーシングペーパーは別売りとなっております。<BR>",【送料無料】【お買い得50個セット】消しゴムはんこ　ほるナビ（イエロー）　A6サイズ　シード　kesi01：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【送料無料】【お買い得50個セット】消しゴムはんこ　ほるナビ（イエロー）　A6サイズ　シード　kesi01,【送料無料】【お買い得50個セット】消しゴムはんこ　ほるナビ（イエロー）　A6サイズ　シード　kesi01[rn]
16-99787,http://tshop.r10s.jp/voice/cabinet/icon/kh-hn12.jpg?fitin=700:700,14880.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【50個パック】消しゴムはんこ　かためほるナビNK（ナチュラルカラー）　A6サイズ　シード ※メール便対応ＯＫ,　しっかり彫れてかけにくい！,"<br>
<font color=""#FF0000"" size=""4"">小さな図案、細かい線、細かい個所までしっかり彫れて<br>
かけにくい消しゴムはんこです。</font><br>
ダブルカラー（2階層）の彫りやすい消しゴムです。<br />　スクラップブッキングにも<br>
本体サイズ：W100×D148×H10<BR>
※トレーシングペーパーは別売りとなっております。<br>
<br>
　メール便は3個までです。",【50個パック】消しゴムはんこ　かためほるナビNK（ナチュラルカラー）　A6サイズ　シード ※メール便対応ＯＫ：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【50個パック】消しゴムはんこ　かためほるナビNK（ナチュラルカラー）　A6サイズ　シード ※メール便対応ＯＫ,　しっかり彫れてかけにくい！。【50個パック】消しゴムはんこ　かためほるナビNK（ナチュラルカラー）　A6サイズ　シード ※メール便対応ＯＫ[rn]
16-99788,http://tshop.r10s.jp/voice/cabinet/icon/kh-hn12_10.jpg?fitin=700:700,3360.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【送料無料】【お買い得１０個セット】消しゴムはんこ　ほるナビNK（ナチュラルカラー）　A6サイズ　シード【15an】,,"ダブルカラー（2階層）の彫りやすい消しゴムです。<br />
  本体サイズ：W100×D148×H10<BR>
※トレーシングペーパーは別売りとなっております。<BR>
<font color=""red"">
勝手ながら、沖縄および離島へは、<br>
レターパックでお届けいたします。<br>
時間指定はできませんが、<br>
なにとぞご了承ください。</font><br>",【送料無料】【お買い得１０個セット】消しゴムはんこ　ほるナビNK（ナチュラルカラー）　A6サイズ　シード【15an】：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【送料無料】【お買い得１０個セット】消しゴムはんこ　ほるナビNK（ナチュラルカラー）　A6サイズ　シード【15an】,【送料無料】【お買い得１０個セット】消しゴムはんこ　ほるナビNK（ナチュラルカラー）　A6サイズ　シード【15an】[rn]
16-99789,http://tshop.r10s.jp/voice/cabinet/bungu6/kh-hn7_1.jpg?fitin=700:700,14880.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,【50個パック】消しゴムはんこ　かためほるナビ　GK（ブラック）　ハガキサイズ　シード,【ほっているところを色がナビゲート】,"<img width=""100%"" src=""http://image.rakuten.co.jp/voice/cabinet/bungu6/13rks71.jpg""/><br>大きさ：ハガキサイズ<BR>
お客様からの嬉しいお声をご紹介します<br>
“価格も商品も満足でした！<br>
　消しゴムの硬さがいい感じに固めで、彫りやすいです。<br>
　台の部分が黒なので、出来栄えもＧＯＯＤ！です。<br>
　細部までこだわる方にオススメです。(T.K.様)<br>”
<font color=""red"">
勝手ながら、沖縄および離島へは、<br>
レターパックでお届けいたします。<br>
時間指定はできませんが、<br>
なにとぞご了承ください。</font><br>",【50個パック】消しゴムはんこ　かためほるナビ　GK（ブラック）　ハガキサイズ　シード：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨【50個パック】消しゴムはんこ　かためほるナビ　GK（ブラック）　ハガキサイズ　シード,【ほっているところを色がナビゲート】。【50個パック】消しゴムはんこ　かためほるナビ　GK（ブラック）　ハガキサイズ　シード[rn]
16-99790,http://tshop.r10s.jp/voice/cabinet/stamp/stamp2/cq-51_01.jpg?fitin=700:700,524.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,スタンプインク＜クラシック＞マイルドカラー＜ローシェンナ＞ツキネコ　油性顔料系インクパッド　Classique　Raw Sienna メール便指定OK,おしゃれな缶入り,"W103×D57×H16ｍｍ／盤面W76×H35mm<BR>
細かい文字もくっきり。<br>
アート紙、コート紙など吸水性の少ない紙にはインクが定着しません<br>
布への捺印も可能ですが、洗濯すると色落ちします<br>
インクは乾燥後、耐水性になるので、<br>
アウトラインを捺印してから、<br>
水性マーカーや水彩絵の具で着色しても<br>
にじみません。<BR>
カートに入れた後でカラーをお選びください<br>
ディープカラー：６色(品番の最初にD印)<BR>
マイルドカラー：６色(品番の最初にM印)<br>

スクラップブッキングにも。",スタンプインク＜クラシック＞マイルドカラー＜ローシェンナ＞ツキネコ　油性顔料系インクパッド　Classique　Raw Sienna メール便指定OK：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨スタンプインク＜クラシック＞マイルドカラー＜ローシェンナ＞ツキネコ　油性顔料系インクパッド　Classique　Raw Sienna メール便指定OK,おしゃれな缶入り。スタンプインク＜クラシック＞マイルドカラー＜ローシェンナ＞ツキネコ　油性顔料系インクパッド　Classique　Raw Sienna メール便指定OK[rn]
16-99791,http://tshop.r10s.jp/voice/cabinet/stamp2/sz-064.jpg?fitin=700:700,483.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ステイズオン（ツキネコ） ＜Hydrangea Blue ハイドランジアブルー＞　※別途ステイズオン専用クリーナーが必要です。＜メール便指定OK＞,プラスチック、皮革、ガラス、金属などに,"プラスチック、メタル、アルミ、シュリンクプラスチック、ゴムなどに使えるオールマイティーなスタンプパッドです。
<br>スクラップブッキングにも最適<br>
専用クリーナーが必要です",ステイズオン（ツキネコ） ＜Hydrangea Blue ハイドランジアブルー＞　※別途ステイズオン専用クリーナーが必要です。＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ステイズオン（ツキネコ） ＜Hydrangea Blue ハイドランジアブルー＞　※別途ステイズオン専用クリーナーが必要です。＜メール便指定OK＞,プラスチック、皮革、ガラス、金属などに。ステイズオン（ツキネコ） ＜Hydrangea Blue ハイドランジアブルー＞　※別途ステイズオン専用クリーナーが必要です。＜メール便指定OK＞[rn]
16-99792,http://tshop.r10s.jp/voice/cabinet/stamp2/sz-stg-44_01.jpg?fitin=700:700,432.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ステイズオン スタジオグレイズ　（ツキネコ）　ガナッシュ ＜配送360OK＞,プラスチック、皮革、ガラス、金属などに,"ステンドグラス風の仕上がりをお楽しみいただけるステイズオンの新しいインクです。<br>
部屋の雑貨のアクセントに、プレゼントに、ぜひ素敵なステンドグラス風アイテムを作ってみてください。<br>
乾くと透明な被膜を作るインクで、ノズルから直接インクを押し出しながら描いてください。<br>
水性でありながら、ガラス、陶器、プラスチック、金属、紙類等のいろいろな素材の装飾に適しています。<br>
<br>
＜ご使用方法＞<br>
容器をもってノズルから直接インクを押し出しながら描くか、筆などで着色してください。<br>
スタジオグレイズ黒色(ジェットブラック)等で輪郭を描いてから他の色で彩色するとステンドグラス風に仕上がります。その際には最初に描いた輪郭のインクが十分に乾燥してから彩色してください。 <BR>
・絵の具のように混色してお好きな色を作ることができます。<BR>
      <br>
＜用途＞<br>
ガラス、陶器、プラスチック、金属、シュリンクプラスチック(注)、ゴム、皮革、ポリマークレイ、ラミネート紙、コート紙、普通紙、写真、テラコッタ、トランスパレンシー（透明シート）、塗装面<br>
<br>
 ＜乾燥時間＞<br>
非吸収面は３時間以上。完全に定着させるには一昼夜放置してください。<BR>
インク量、素材、気候などの諸条件により異なります。<br>
<br>
＜SPEC＞<br>
パッケージサイズ：170×50×22mm<br>
本体サイズ　　　 ：107×22×22mm<br>
＜ご注意＞<br>
・ガラスや陶器に使用した場合、耐水性が悪くなることがあります。<BR>
      ・屋外で使用しますと退色、劣化が起こることがありますので室内用としてお使いください。<BR>
      ・ご使用後のツールは水と中性洗剤でよく洗ってください。<BR>
      ・ご使用の際、ノズルの先端から透明な液体が出てくる場合にはノズルを外して細い棒などでインクをよく混ぜてください。<BR>
      ・繰り返しご使用される際に、ノズルの先端にインクが固まることがあります。その際はティッシュペーパーなどで取り除いてください。<BR>
      ・空気の膨張でインクが出てくることがありますので、ティッシュペーパーなどで拭き取ってください。<BR>
      ・水で希釈できますが、被膜の光沢や強度が低下することがあります。<BR>
      ・ノズルの先端についたインクは、よく拭き取ってからキャップをしてください。<BR>
      ・衣服に付くと落ちにくいことがあります。<BR>
      ・直射日光、高温、凍結を避けて保管してください。<br>
      ・シュリンクプラスチックをはじめ、プラスチックなどへの素材に加熱などの二次加工を加えた場合、<br>
      インクの透明度が落ちますので、予めご了承ください。<br>
<br>
＜その他の種類＞<br>
スタジオグレイズその他のカラーはこちら<br>
その他ステイズオンはこちら<br>
<br>
＜配送について＞<br>
  
  <img src=""http://image.rakuten.co.jp/voice/cabinet/icon/letter_p.jpg"" border=""0"">
  <br>
  配送360円の詳細はこちら<br>",ステイズオン スタジオグレイズ　（ツキネコ）　ガナッシュ ＜配送360OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ステイズオン スタジオグレイズ　（ツキネコ）　ガナッシュ ＜配送360OK＞,プラスチック、皮革、ガラス、金属などに。ステイズオン スタジオグレイズ　（ツキネコ）　ガナッシュ ＜配送360OK＞[rn]
16-99793,http://tshop.r10s.jp/voice/cabinet/stamp/sz-11.jpg?fitin=700:700,483.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ステイズオン（ツキネコ） ＜SZ-11 アイリス＞　※別途ステイズオン専用クリーナーが必要です。＜メール便指定OK＞,プラスチック、皮革、ガラス、金属などに,"プラスチック、メタル、アルミ、シュリンクプラスチック、ゴムなどに使えるオールマイティーなスタンプパッドです。
<br>スクラップブッキングにも最適<br>
専用クリーナーが必要です",ステイズオン（ツキネコ） ＜SZ-11 アイリス＞　※別途ステイズオン専用クリーナーが必要です。＜メール便指定OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ステイズオン（ツキネコ） ＜SZ-11 アイリス＞　※別途ステイズオン専用クリーナーが必要です。＜メール便指定OK＞,プラスチック、皮革、ガラス、金属などに。ステイズオン（ツキネコ） ＜SZ-11 アイリス＞　※別途ステイズオン専用クリーナーが必要です。＜メール便指定OK＞[rn]
16-99794,http://tshop.r10s.jp/voice/cabinet/stamp2/sz-stg-52_01.jpg?fitin=700:700,432.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > 道具・キット > ペーパークラフトキット,ステイズオン スタジオグレイズ　（ツキネコ）　カクタスグリーン ＜配送360OK＞,プラスチック、皮革、ガラス、金属などに,"ステンドグラス風の仕上がりをお楽しみいただけるステイズオンの新しいインクです。<br>
部屋の雑貨のアクセントに、プレゼントに、ぜひ素敵なステンドグラス風アイテムを作ってみてください。<br>
乾くと透明な被膜を作るインクで、ノズルから直接インクを押し出しながら描いてください。<br>
水性でありながら、ガラス、陶器、プラスチック、金属、紙類等のいろいろな素材の装飾に適しています。<br>
<br>
＜ご使用方法＞<br>
容器をもってノズルから直接インクを押し出しながら描くか、筆などで着色してください。<br>
スタジオグレイズ黒色(ジェットブラック)等で輪郭を描いてから他の色で彩色するとステンドグラス風に仕上がります。その際には最初に描いた輪郭のインクが十分に乾燥してから彩色してください。 <BR>
・絵の具のように混色してお好きな色を作ることができます。<BR>
      <br>
＜用途＞<br>
ガラス、陶器、プラスチック、金属、シュリンクプラスチック(注)、ゴム、皮革、ポリマークレイ、ラミネート紙、コート紙、普通紙、写真、テラコッタ、トランスパレンシー（透明シート）、塗装面<br>
<br>
 ＜乾燥時間＞<br>
非吸収面は３時間以上。完全に定着させるには一昼夜放置してください。<BR>
インク量、素材、気候などの諸条件により異なります。<br>
<br>
＜SPEC＞<br>
パッケージサイズ：170×50×22mm<br>
本体サイズ　　　 ：107×22×22mm<br>
＜ご注意＞<br>
・ガラスや陶器に使用した場合、耐水性が悪くなることがあります。<BR>
      ・屋外で使用しますと退色、劣化が起こることがありますので室内用としてお使いください。<BR>
      ・ご使用後のツールは水と中性洗剤でよく洗ってください。<BR>
      ・ご使用の際、ノズルの先端から透明な液体が出てくる場合にはノズルを外して細い棒などでインクをよく混ぜてください。<BR>
      ・繰り返しご使用される際に、ノズルの先端にインクが固まることがあります。その際はティッシュペーパーなどで取り除いてください。<BR>
      ・空気の膨張でインクが出てくることがありますので、ティッシュペーパーなどで拭き取ってください。<BR>
      ・水で希釈できますが、被膜の光沢や強度が低下することがあります。<BR>
      ・ノズルの先端についたインクは、よく拭き取ってからキャップをしてください。<BR>
      ・衣服に付くと落ちにくいことがあります。<BR>
      ・直射日光、高温、凍結を避けて保管してください。<br>
      ・シュリンクプラスチックをはじめ、プラスチックなどへの素材に加熱などの二次加工を加えた場合、<br>
      インクの透明度が落ちますので、予めご了承ください。<br>
<br>
＜その他の種類＞<br>
スタジオグレイズその他のカラーはこちら<br>
その他ステイズオンはこちら<br>
<br>
＜配送について＞<br>
  
  <img src=""http://image.rakuten.co.jp/voice/cabinet/icon/letter_p.jpg"" border=""0"">
  <br>
  配送360円の詳細はこちら<br>",ステイズオン スタジオグレイズ　（ツキネコ）　カクタスグリーン ＜配送360OK＞：色工房voice／文具クラフトパンチ,スクラップブッキングクラフトパンチカール消しゴムハンコアシッドフリーモールスキンロディアマスキングテープ手帳はんけし色鉛筆スタンプマステダイアリーニュアージュ雑貨ステイズオン スタジオグレイズ　（ツキネコ）　カクタスグリーン ＜配送360OK＞,プラスチック、皮革、ガラス、金属などに。ステイズオン スタジオグレイズ　（ツキネコ）　カクタスグリーン ＜配送360OK＞[rn]
