16-27601,,660.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●トップランナー制度対応、2017年度省エネ法目標基準達成のLED電球です。<br>
●口金サイズがE26口金なので、照明器具を替えることなくご使用いただけます。<br>
●密閉形器具にもご使用可能です。<br>
●長寿命約40000時間でランプ交換の手間が少ないLED電球です。<br>
●明るさ(lm):485<br>
●外径(mm):58<br>
●全長(mm):107<br>
●定格寿命(時間):40000<br>
●消費電力(W):4.9<br>
●標準消費電力料金:0.13円/h<br>
●口金:E26<br>
●相当電球(W形):40<br>
●配光角度:120度<br>
●光源色:電球色<br>
●光源色:電球色相当<br>
●電源:AC100V(50/60Hz)<br>
●配光角度:120度<br>
●定格寿命：40001時間<br>
●アルミ、ポリカーボネート、PBT",■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1：クローバー資材館,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1,工事用品\作業灯・照明用品。■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト【LDA5L-H-4T1】(8184627) ＩＲＩＳ ＬＥＤ電球 電球色 40Ｗ 485ｌｍ 発注単位1[rn]
16-27671,,5048.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDG32T-W-17-25】(8202975) ＩＲＩＳ 直管形ＬＥＤランプ ＨＥ150Ｓ 40形(32形) 2500ｌｍ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●Hｆ器具・FL器具両対応可能なスリムタイプのLEDランプです。<br>
●明るさ(lm):2500<br>
●管長(mm):1198.7<br>
●口金:G13<br>
●消費電力(W)100V:17.3<br>
●消費電力(W)200V:17.4<br>
●標準消費電力料金(100V):0.46円/h<br>
●標準消費電力料金(200V):0.46円/h<br>
●定格寿命(時間):40000<br>
●全光束(lm):2500<br>
●定格電圧:100～242V<br>
●口金:G13<br>
●演色性:Ra83<br>
●光源色:白色相当<br>
●40W形（32W形）相当<br>
●動作環境温度：5℃～35℃<br>
●発光効率:最大150ｌｍ/ｗ<br>
●入力電力:100～242V<br>
●定格寿命:40000時間<br>
●口金:G13(LDRD86TはR17d)<br>
●光源色:白色相当<br>
●アルミニウム<br>
●ポリカーボネート<br>
●真鍮<br>
●取り付けには別途工事が必要です。",■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDG32T-W-17-25】(8202975) ＩＲＩＳ 直管形ＬＥＤランプ ＨＥ150Ｓ 40形(32形) 2500ｌｍ 発注単位1：クローバー資材館,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDG32T-W-17-25】(8202975) ＩＲＩＳ 直管形ＬＥＤランプ ＨＥ150Ｓ 40形(32形) 2500ｌｍ 発注単位1,工事用品\作業灯・照明用品。■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDG32T-W-17-25】(8202975) ＩＲＩＳ 直管形ＬＥＤランプ ＨＥ150Ｓ 40形(32形) 2500ｌｍ 発注単位1[rn]
16-27672,,44982.4000,,花・ガーデン・DIY > DIY・工具 > その他,###■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【CPY115N2-M-W】(7782373) ＩＲＩＳ 高天井用ＬＥＤ照明 キャノピーライト 15000ｌｍ 90度 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><font size=""4"" color=""""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br><font size=""4"" color=""""><b>※こちらの商品は送料が別途発生する場合があります。詳しくはお問い合わせください。</b></font><br>
※追加送料は別途当店からのメールで訂正されます。<br><br><br>
●定格寿命40000時間と長寿命で、交換の手間がかかりません。<br>
●スイッチを入れた直後から明るく点灯します。<br>
●紫外線が少なく、虫が集まりにくいので掃除も簡単です。<br>
●アームの角度は30°まで調整することができるのでより広範囲を照らすことができます。<br>
●明るさ(lm):14200<br>
●消費電力(W):115<br>
●標準消費電力料金:3.1円/h<br>
●配光角度(度):90<br>
●全光束(lm):15000<br>
●配光角度:90<br>
●光源色:昼白色相当<br>
●電圧:100～242V<br>
●周波数：50/60Hz共用<br>
●定格寿命：40000時間<br>
●動作環境温度：-30～+40℃<br>
●保護等級：IP65<br>
●本体：アルミダイカスト（アクリル粉体塗装）、前面部：ポリカーボネート（透明）<br>
●取り付けには別途工事が必要です。",###■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【CPY115N2-M-W】(7782373) ＩＲＩＳ 高天井用ＬＥＤ照明 キャノピーライト 15000ｌｍ 90度 発注単位1：クローバー資材館,###■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【CPY115N2-M-W】(7782373) ＩＲＩＳ 高天井用ＬＥＤ照明 キャノピーライト 15000ｌｍ 90度 発注単位1,工事用品\作業灯・照明用品。###■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【CPY115N2-M-W】(7782373) ＩＲＩＳ 高天井用ＬＥＤ照明 キャノピーライト 15000ｌｍ 90度 発注単位1[rn]
16-27673,,11290.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒トラスコ中山/ＴＲＵＳＣＯ Ｎランプ【RTL-210EP】(7902689) ＴＲＵＳＣＯ ＬＥＤ投光器 20Ｗ 10ｍ ポッキンプラグ付 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●ＬＥＤ球（20W)採用の省エネ・長寿命な投光器です。<br>
●均一な配光で広範囲をムラなく照らします。<br>
●ソケット充電部分に耐熱テフロンテープ巻きをしており、絶縁性が高いです。<br>
●室内、屋外での工事および一般投光照明に。<br>
●明るさ(lm):1800<br>
●外径×長さ(mm):150×250<br>
●最大口開き(mm):65<br>
●コード長さ(m):10<br>
●口金:E26<br>
●消費電力(W):20<br>
●標準消費電力料金:0.54円/h<br>
●電源(V):110<br>
●球寿命(時間):40000<br>
●全光束(lm):1800<br>
●替球:RTL-20W<br>
●ポッキンプラグ：防雨型（アース付）<br>
●電線種:VCT0.75mm[[の2乗]]×3芯<br>
●照射角度:120°<br>
●保護等級:IP65<br>
●最大口開き:65mm<br>
●口金：E26<br>
●色温度:6500K<br>
●電圧:100V/110V<br>
●外径×長さ:150×250mm<br>
●色温度:6500K",■〒トラスコ中山/ＴＲＵＳＣＯ Ｎランプ【RTL-210EP】(7902689) ＴＲＵＳＣＯ ＬＥＤ投光器 20Ｗ 10ｍ ポッキンプラグ付 発注単位1：クローバー資材館,■〒トラスコ中山/ＴＲＵＳＣＯ Ｎランプ【RTL-210EP】(7902689) ＴＲＵＳＣＯ ＬＥＤ投光器 20Ｗ 10ｍ ポッキンプラグ付 発注単位1,工事用品\作業灯・照明用品。■〒トラスコ中山/ＴＲＵＳＣＯ Ｎランプ【RTL-210EP】(7902689) ＴＲＵＳＣＯ ＬＥＤ投光器 20Ｗ 10ｍ ポッキンプラグ付 発注単位1[rn]
16-27674,,7847.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ【LDR100/200V8L-W-E26/12】(7736801) ＰＨＯＥＮＩＸ　ビーム電球型ＬＥＤランプ 受注単位1,工事用品\作業灯・照明用品\電球,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ランプ交換のみでの省エネが可能です。<br>●屋内のスポット・ダウンライトや屋外看板照明と屋内外両方での使用ができます。<br><br>●店舗照明（屋内・屋外）、看板照明<br><br>●明るさ(lm)：700<br>●外径(mm)：121<br>●全長(mm)：138<br>●消費電力(W)：7.5<br>●標準消費電力料金：0.21円/h<br>●口金：E26<br>●電源(V)：100/200<br>●全光束(lm)：700<br><br>●光源色：電球色相当<br>●保護等級：IPX4<br>●配光角度：30度<br>●電源：100/200V<br><br>●筐体：アルミ<br>●フロントカバー：アクリル樹脂<br>",『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ【LDR100/200V8L-W-E26/12】(7736801) ＰＨＯＥＮＩＸ　ビーム電球型ＬＥＤランプ 受注単位1：クローバー資材館,『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ【LDR100/200V8L-W-E26/12】(7736801) ＰＨＯＥＮＩＸ　ビーム電球型ＬＥＤランプ 受注単位1,工事用品\作業灯・照明用品\電球。『カード対応OK！』■〒フェニックス電機/ＰＨＯＥＮＩＸ【LDR100/200V8L-W-E26/12】(7736801) ＰＨＯＥＮＩＸ　ビーム電球型ＬＥＤランプ 受注単位1[rn]
16-27675,,5048.8000,,花・ガーデン・DIY > DIY・工具 > その他,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDG32T･N/17/25】(8202969) ＩＲＩＳ 直管形ＬＥＤランプ ＨＥ150Ｓ 40形(32形) 2500ｌｍ 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●Hｆ器具・FL器具両対応可能なスリムタイプのLEDランプです。<br>
●明るさ(lm):2500<br>
●管長(mm):1198.7<br>
●口金:G13<br>
●消費電力(W)100V:16.6<br>
●消費電力(W)200V:16.9<br>
●標準消費電力料金(100V):0.44円/h<br>
●標準消費電力料金(200V):0.45円/h<br>
●定格寿命(時間):40000<br>
●全光束(lm):2500<br>
●定格電圧:100～242V<br>
●口金:G13<br>
●演色性:Ra83<br>
●光源色:昼白色相当<br>
●40W形（32W形）相当<br>
●動作環境温度：5℃～35℃<br>
●発光効率:最大150ｌｍ/ｗ<br>
●入力電力:100～242V<br>
●定格寿命:40000時間<br>
●口金:G13(LDRD86TはR17d)<br>
●光源色:昼白色相当<br>
●アルミニウム<br>
●ポリカーボネート<br>
●真鍮<br>
●取り付けには別途工事が必要です。",■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDG32T･N/17/25】(8202969) ＩＲＩＳ 直管形ＬＥＤランプ ＨＥ150Ｓ 40形(32形) 2500ｌｍ 発注単位1：クローバー資材館,■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDG32T･N/17/25】(8202969) ＩＲＩＳ 直管形ＬＥＤランプ ＨＥ150Ｓ 40形(32形) 2500ｌｍ 発注単位1,工事用品\作業灯・照明用品。■〒アイリスオーヤマ/ＩＲＩＳ ＬＥＤライト (業務用）【LDG32T･N/17/25】(8202969) ＩＲＩＳ 直管形ＬＥＤランプ ＨＥ150Ｓ 40形(32形) 2500ｌｍ 発注単位1[rn]
16-27676,,2462.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ【LWK-AD10】(7547676) ＬＷＫ－１０専用　ＡＣアダプター 受注単位1,工事用品\作業灯・照明用品\投光器,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＬＷＫ－１０専用のＡＣアダプターです。<br><br><br>●品名：ACアダプター<br>●適合機種：ケイ・ライト用<br><br><br>",『カード対応OK！』■〒ハタヤリミテッド/ハタヤ【LWK-AD10】(7547676) ＬＷＫ&minus;１０専用　ＡＣアダプター 受注単位1：クローバー資材館,『カード対応OK！』■〒ハタヤリミテッド/ハタヤ【LWK-AD10】(7547676) ＬＷＫ&minus;１０専用　ＡＣアダプター 受注単位1,工事用品\作業灯・照明用品\投光器。『カード対応OK！』■〒ハタヤリミテッド/ハタヤ【LWK-AD10】(7547676) ＬＷＫ&minus;１０専用　ＡＣアダプター 受注単位1[rn]
16-27677,,10368.0000,,花・ガーデン・DIY > DIY・工具 > その他,■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX210AENLE9】(8204859) 一体型ＬＥＤベースライト ＩＤシリーズ 20形 発注単位1,工事用品\作業灯・照明用品,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●従来蛍光灯と比較して同等以上の明るさで約48％省エネです。<br>
●本体の電源端子台からの配線を直接電源ユニットに接続することができるダイレクトコネクタ接続で施工性が向上しました。<br>
●高効率から機能付きまで用途に応じて選べるライトバーです。<br>
●明るさ(lm):1600<br>
●消費電力(W):12.1<br>
●幅(mm):150<br>
●高さ(mm):60<br>
●長さ(mm):1225<br>
●電圧(V):100～242<br>
●タイプ:20形2灯タイプ<br>
●光源色:昼白色<br>
●LED内蔵・電源ユニット内蔵<br>
●ライトバータイプ：一般タイプ・非調光<br>
●光源寿命：40000時間<br>
●直付型<br>
●本体：亜鉛鋼板（白色）<br>
●ライトバー：ポリカーボネート（乳白）",■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX210AENLE9】(8204859) 一体型ＬＥＤベースライト ＩＤシリーズ 20形 発注単位1：クローバー資材館,■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX210AENLE9】(8204859) 一体型ＬＥＤベースライト ＩＤシリーズ 20形 発注単位1,工事用品\作業灯・照明用品。■〒パナソニックエコソリューショ/Ｐａｎａｓｏｎｉｃ 照明器具【XLX210AENLE9】(8204859) 一体型ＬＥＤベースライト ＩＤシリーズ 20形 発注単位1[rn]
16-27678,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003839581.jpg?fitin=700:700,2347.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒日機/日機　取付金具　抱え込み式　２個１セット【A-W563】(3669513) 受注単位1,工事用品\作業灯・照明用品\装置照明,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br>●ハイパワーLEDを使用し、省エネ設計の照明装置です。<br>●IP67規格で完全防水のため、切りくずやクーラント液、切り粉などが飛び交う環境でも十分に耐えうる構造となっています。<br>●拡散カバーの採用により、照射範囲は蛍光灯並みです。<br>●フランジ式の取り付け金具です。",『カード対応OK！』■〒日機/日機　取付金具　抱え込み式　２個１セット【A-W563】(3669513) 受注単位1：クローバー資材館,『カード対応OK！』■〒日機/日機　取付金具　抱え込み式　２個１セット【A-W563】(3669513) 受注単位1,工事用品\作業灯・照明用品\装置照明。『カード対応OK！』■〒日機/日機　取付金具　抱え込み式　２個１セット【A-W563】(3669513) 受注単位1[rn]
16-27679,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005086096.jpg?fitin=700:700,22791.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒小山刃物製作所/モクバ印　ベンダー付鉄筋カッター　１０ｍｍ～１３ｍｍ【D-5 (10-13MM)】(4030303) 受注単位1,作業用品\作業工具\切断用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●最大口径14.5mmで異形鉄筋(段付鉄筋)もらくらく切断可能です。<br>●一度に135°まで曲げることができ、鉄筋をハメ替えることにより180°曲げもできます。<br>●何度も同じ角度の鉄筋曲げが可能な曲げ目印付です。<br>●安全ストッパー付です。<br>●本体を持ち運びの際にハンドルが開かず安全です。<br>●本体を作業台等にボルトで簡単に取付け可能です。<br>●曲げ作業時はハンドルを引き上げる方式です。<br>●加工する鉄筋が足元で邪魔にならず安全に作業できます。",『カード対応OK！』■〒小山刃物製作所/モクバ印　ベンダー付鉄筋カッター　１０ｍｍ～１３ｍｍ【D-5 (10-13MM)】(4030303) 受注単位1：クローバー資材館,『カード対応OK！』■〒小山刃物製作所/モクバ印　ベンダー付鉄筋カッター　１０ｍｍ～１３ｍｍ【D-5 (10-13MM)】(4030303) 受注単位1,作業用品\作業工具\切断用工具。『カード対応OK！』■〒小山刃物製作所/モクバ印　ベンダー付鉄筋カッター　１０ｍｍ～１３ｍｍ【D-5 (10-13MM)】(4030303) 受注単位1[rn]
16-27680,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002838082.jpg?fitin=700:700,26008.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヒット商事/ＨＩＴ　万能ベンダ－付鉄筋カッタ－【RC-13BN】(2542111) 受注単位1,作業用品\作業工具\切断用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ヒット万能ベンダー付鉄筋カッターは、切断能力および、ベンダー機能（曲げ加工）の両機能を備えた優秀な機種です。<br>●ハンドルのパイプ径を太くしてあるのでたわみが少なく、より力が伝わる設計です。",『カード対応OK！』■〒ヒット商事/ＨＩＴ　万能ベンダ&minus;付鉄筋カッタ&minus;【RC-13BN】(2542111) 受注単位1：クローバー資材館,『カード対応OK！』■〒ヒット商事/ＨＩＴ　万能ベンダ&minus;付鉄筋カッタ&minus;【RC-13BN】(2542111) 受注単位1,作業用品\作業工具\切断用工具。『カード対応OK！』■〒ヒット商事/ＨＩＴ　万能ベンダ&minus;付鉄筋カッタ&minus;【RC-13BN】(2542111) 受注単位1[rn]
16-27681,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005095539.jpg?fitin=700:700,1002.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スーパーツール/スーパー　ス－パ－カツタ－【SM200H】(3684474) 受注単位1,作業用品\作業工具\切断用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●鉄線、ピアノ線、フェンス、釘などの切断に最適です。<br>●ストレート刃です。",『カード対応OK！』■〒スーパーツール/スーパー　ス&minus;パ&minus;カツタ&minus;【SM200H】(3684474) 受注単位1：クローバー資材館,『カード対応OK！』■〒スーパーツール/スーパー　ス&minus;パ&minus;カツタ&minus;【SM200H】(3684474) 受注単位1,作業用品\作業工具\切断用工具。『カード対応OK！』■〒スーパーツール/スーパー　ス&minus;パ&minus;カツタ&minus;【SM200H】(3684474) 受注単位1[rn]
16-27682,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002820917.jpg?fitin=700:700,8800.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒フジ矢/フジ矢　Ｃチャンカッター【FCC-550】(3272222) 受注単位1,作業用品\作業工具\切断用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●Cチャン「CC-19（C-38）板厚1.2mm以下」の切断専用工具です。<br>●Cチャンに合わせた独自の刃形状です。<br>●刃部は精密鍛造された刃物用特殊鋼を使用しています。<br>●ハンドルにアルミパイプを使用し軽量です。<br>●フジ矢ならではのきれいな切り口です。",『カード対応OK！』■〒フジ矢/フジ矢　Ｃチャンカッター【FCC-550】(3272222) 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢/フジ矢　Ｃチャンカッター【FCC-550】(3272222) 受注単位1,作業用品\作業工具\切断用工具。『カード対応OK！』■〒フジ矢/フジ矢　Ｃチャンカッター【FCC-550】(3272222) 受注単位1[rn]
16-27683,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003803671.jpg?fitin=700:700,981.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ロブテックス/エビ　アルミプチカッター【APC20】(3720110) 受注単位1,作業用品\作業工具\切断用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●番線・釘・フェンス・ステンレス線などの切断に最適です。<br>●建設現場の足場・結束資材の解体に最適です。<br>●日曜大工・各種ホビーに最適です。<br>●グリップは蓄光性をもっており、暗い所で発行して作業は安心です。",『カード対応OK！』■〒ロブテックス/エビ　アルミプチカッター【APC20】(3720110) 受注単位1：クローバー資材館,『カード対応OK！』■〒ロブテックス/エビ　アルミプチカッター【APC20】(3720110) 受注単位1,作業用品\作業工具\切断用工具。『カード対応OK！』■〒ロブテックス/エビ　アルミプチカッター【APC20】(3720110) 受注単位1[rn]
16-27684,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003822848.jpg?fitin=700:700,2523.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ロブテックス/エビ　ボルトクリッパー　３５０ｍｍ【EBC350】(3721094) 受注単位1,作業用品\作業工具\切断用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●グリップはツバ付で手にしっかりフィット、力が確実に伝わり強力にカットします。<br>●環境に優しい脱塩ビの素材（エラストマー）を使用しています。<br>●刃先先端部の尖りで刃先を有効利用、狭い箇所での切断に最適です。<br>●連結板コーナーのアールが大きく、奥まった箇所へ挿入しての作業に便利です。",『カード対応OK！』■〒ロブテックス/エビ　ボルトクリッパー　３５０ｍｍ【EBC350】(3721094) 受注単位1：クローバー資材館,『カード対応OK！』■〒ロブテックス/エビ　ボルトクリッパー　３５０ｍｍ【EBC350】(3721094) 受注単位1,作業用品\作業工具\切断用工具。『カード対応OK！』■〒ロブテックス/エビ　ボルトクリッパー　３５０ｍｍ【EBC350】(3721094) 受注単位1[rn]
16-27685,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002867452.jpg?fitin=700:700,18526.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　ワイヤロープカッタ　９００【WC-0290 (900MM)】(1176161) 受注単位1,作業用品\作業工具\切断用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●ワイヤロープの形状に合わせた専用設計、半円形凹みを付けた刃はワイヤロープがバラけずきれいな切り口です。",『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　ワイヤロープカッタ　９００【WC-0290 (900MM)】(1176161) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　ワイヤロープカッタ　９００【WC-0290 (900MM)】(1176161) 受注単位1,作業用品\作業工具\切断用工具。『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　ワイヤロープカッタ　９００【WC-0290 (900MM)】(1176161) 受注単位1[rn]
16-27686,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003822848.jpg?fitin=700:700,9161.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ロブテックス/エビ　ボルトクリッパー　９００ｍｍ【EBC900】(3721132) 受注単位1,作業用品\作業工具\切断用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●グリップはツバ付で手にしっかりフィット、力が確実に伝わり強力にカットします。<br>●環境に優しい脱塩ビの素材（エラストマー）を使用しています。<br>●刃先先端部の尖りで刃先を有効利用、狭い箇所での切断に最適です。<br>●連結板コーナーのアールが大きく、奥まった箇所へ挿入しての作業に便利です。",『カード対応OK！』■〒ロブテックス/エビ　ボルトクリッパー　９００ｍｍ【EBC900】(3721132) 受注単位1：クローバー資材館,『カード対応OK！』■〒ロブテックス/エビ　ボルトクリッパー　９００ｍｍ【EBC900】(3721132) 受注単位1,作業用品\作業工具\切断用工具。『カード対応OK！』■〒ロブテックス/エビ　ボルトクリッパー　９００ｍｍ【EBC900】(3721132) 受注単位1[rn]
16-27687,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010003806991.jpg?fitin=700:700,400.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒スナップオン・ツールズ/バーコ　２２８用替え刃【228-32-5P】(3706648) 受注単位1,作業用品\作業工具\切断用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●コシが強いです。",『カード対応OK！』■〒スナップオン・ツールズ/バーコ　２２８用替え刃【228-32-5P】(3706648) 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ/バーコ　２２８用替え刃【228-32-5P】(3706648) 受注単位1,作業用品\作業工具\切断用工具。『カード対応OK！』■〒スナップオン・ツールズ/バーコ　２２８用替え刃【228-32-5P】(3706648) 受注単位1[rn]
16-27688,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002848673.jpg?fitin=700:700,6976.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　アングルカッタ替刃　６００【ACE0060 (600MM)】(1175980) 受注単位1,作業用品\作業工具\切断用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>",『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　アングルカッタ替刃　６００【ACE0060 (600MM)】(1175980) 受注単位1：クローバー資材館,『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　アングルカッタ替刃　６００【ACE0060 (600MM)】(1175980) 受注単位1,作業用品\作業工具\切断用工具。『カード対応OK！』■〒ＭＣＣコーポレーション/ＭＣＣ　アングルカッタ替刃　６００【ACE0060 (600MM)】(1175980) 受注単位1[rn]
16-27689,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002863410.jpg?fitin=700:700,26682.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ヒット商事/ＨＩＴ　据置き式ワイヤーカッター【WC12-ST】(3367606) 受注単位1,作業用品\作業工具\切断用工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>●従来のワイヤカッターより約25%軽く切れます。<br>●据置き式のため、安定感に優れ、力を掛けやすいです。",『カード対応OK！』■〒ヒット商事/ＨＩＴ　据置き式ワイヤーカッター【WC12-ST】(3367606) 受注単位1：クローバー資材館,『カード対応OK！』■〒ヒット商事/ＨＩＴ　据置き式ワイヤーカッター【WC12-ST】(3367606) 受注単位1,作業用品\作業工具\切断用工具。『カード対応OK！』■〒ヒット商事/ＨＩＴ　据置き式ワイヤーカッター【WC12-ST】(3367606) 受注単位1[rn]
