18-13501,http://tshop.r10s.jp/yminfo/cabinet/00171276/kl-1630.jpg?fitin=700:700,444.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)コーナー金具　角　20×90mm　KL-2090　,コーナーの補強に。,"【ここがポイント！】 
● コーナーの金具。棚の補強等に大活躍です。ヘアーライン仕上げ。 
 
【商品仕様】 
L 90mm  
W 20mm 
T 3mm 
d 4.5mm 
A 15mm 
B 35mm 
C 30mm 
D 6.25mm 
材質 SUS304",MM　ステンレス（SUS304)コーナー金具　角　20&times;90mm　KL-2090　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)コーナー金具　角　20&times;90mm　KL-2090　,コーナーの補強に。。MM　ステンレス（SUS304)コーナー金具　角　20&times;90mm　KL-2090　[rn]
18-13586,http://tshop.r10s.jp/yminfo/cabinet/00171276/es-15s.jpg?fitin=700:700,684.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン150mm、カラー：ブラック　ES-15B,地震時の家具の転倒を防ぐ！,"【ここがポイント！】 
● 家具転倒防止用です。壁と家具をチェーンでつなぎます。
家具の揺れをチェーンがストップ！アイストラップ・ネジもチェーンと同色です 
 
【商品仕様】 
こちらES-15Bになります。
材質：ステンレスSUS304
色：ブラック
チェーンの長さ150mm
セット内容：
ステンレスチェーンφ2.5×1本
アイストラップIS-4×2
ステンレス皿木ねじ2.7×20mm×4本",MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン150mm、カラー：ブラック　ES-15B：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン150mm、カラー：ブラック　ES-15B,地震時の家具の転倒を防ぐ！。MM　ステンレス（SUS304)セーブチェーン（家具転倒防止用チェーン）ステンレスチェーンとアイストラップとネジのセットチェーン150mm、カラー：ブラック　ES-15B[rn]
18-13587,http://tshop.r10s.jp/yminfo/cabinet/00171276/wsc-6.jpg?fitin=700:700,2160.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)沈みダブルシャックル10mm　WSC-10,沈みシャックルがドッキング,"【ここがポイント！】 
● 2つの沈みシャックルが回転！自由度高いです！ 
 
【商品仕様】 
こちらWSC-8になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)沈みダブルシャックル10mm　WSC-10：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)沈みダブルシャックル10mm　WSC-10,沈みシャックルがドッキング。MM　ステンレス（SUS304)沈みダブルシャックル10mm　WSC-10[rn]
18-13588,http://tshop.r10s.jp/yminfo/cabinet/00171276/al-3.jpg?fitin=700:700,28916.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　強力アルミチェーン　7×30m　AL-7　,綺麗なチェーンです。アクセサリーに最適,"【ここがポイント！】 
● とにかく軽くて強い。耐食性がよく磁気を帯びません。それでいて美しい！  
● 犬の鎖、物干し竿やロープの代わり、ロビーの装飾、庭・ガレージの補強などに  
 
【商品仕様】 
線径d 7mm  
内長P 37mm 
内巾W 11mm 
使用荷重 2.16kN 
耐力荷重 4.31kN 
長さ 30m 
重量 8.4kg 
材質 アルミニウム（アルマイト無）",【頑張って送料無料！】MM　強力アルミチェーン　7&times;30m　AL-7　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　強力アルミチェーン　7&times;30m　AL-7　,綺麗なチェーンです。アクセサリーに最適。【頑張って送料無料！】MM　強力アルミチェーン　7&times;30m　AL-7　[rn]
18-13589,http://tshop.r10s.jp/yminfo/cabinet/00171276/ss-6.jpg?fitin=700:700,11096.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)シングルシャックル19mm　SS-19,スイベルがついたシャックル！,"【ここがポイント！】 
● シャックルが回転！自由度高いです！ 
 
【商品仕様】 
こちらSS-19になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)シングルシャックル19mm　SS-19：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)シングルシャックル19mm　SS-19,スイベルがついたシャックル！。MM　ステンレス（SUS304)シングルシャックル19mm　SS-19[rn]
18-13590,http://tshop.r10s.jp/yminfo/cabinet/00171276/cu-2.jpg?fitin=700:700,35040.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,【頑張って送料無料！】MM　銅チェーン　3×30m　CU-3　,綺麗なチェーンです。アクセサリーに最適,"【ここがポイント！】 
● 素材を活かした美しい銅チェーン
 
 
【商品仕様】 
線径d 3mm  
内長P 24mm 
内巾W 5mm 
使用荷重 0.20kN（20kgf） 
耐力荷重 0.39kN（40kgf） 
長さ 30m 
重量 4.95kg 
材質 銅",【頑張って送料無料！】MM　銅チェーン　3&times;30m　CU-3　：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング【頑張って送料無料！】MM　銅チェーン　3&times;30m　CU-3　,綺麗なチェーンです。アクセサリーに最適。【頑張って送料無料！】MM　銅チェーン　3&times;30m　CU-3　[rn]
18-13591,http://tshop.r10s.jp/yminfo/cabinet/metalparts/1038557924.jpg?fitin=700:700,672.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,沈みシャックル　10mm,,●ステンレス製（SUS-304)<BR><BR>D：10（mm）<BR>L：40(mm) <BR>B：20（mm) <BR>d：20(mm）<BR>重量：100(g）<BR>使用荷重：300（kg）,沈みシャックル　10mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング沈みシャックル　10mm,沈みシャックル　10mm[rn]
18-13592,http://tshop.r10s.jp/yminfo/cabinet/ikou_20090730_004/img10384766821.jpg?fitin=700:700,457.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,カットレギュラーチェーン 1.2ｍｍ,,,カットレギュラーチェーン 1.2ｍｍ：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングカットレギュラーチェーン 1.2ｍｍ,カットレギュラーチェーン 1.2ｍｍ[rn]
18-13593,http://tshop.r10s.jp/yminfo/cabinet/metalparts/1038559964.jpg?fitin=700:700,20191.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,SB型シャックル　24mm【smtb-TK】【頑張って送料無料！】,,D：30(mm) <BR>L：96(mm) <BR>B：39(mm) <BR>重量：1870（g)<BR>使用荷重：3600（kg） <BR>　ステンレス製（SUS-304),SB型シャックル　24mm【smtb-TK】【頑張って送料無料！】：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングSB型シャックル　24mm【smtb-TK】【頑張って送料無料！】,SB型シャックル　24mm【smtb-TK】【頑張って送料無料！】[rn]
18-13594,http://tshop.r10s.jp/yminfo/cabinet/00171276/d-018.jpg?fitin=700:700,12440.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)　セーフティーチェーン　φ13×900mm　D-025,1回通してがっちり固定,"【ここがポイント！】 
● 両端に楕円リンクを採用しているので、1回通して対象物をしっかりホールド
 
● 自転車・オートバイ等の盗難防止やハシゴの転倒防止、門扉の施錠など身の回りをしっかりガード！ 
 
【商品仕様】 
L 900mm  
D1 13mm 
L1 75mm 
W1 46mm 
D2 12mm 
L2 48mm 
W2 18mm 
使用荷重 12.74kN（1300kgf） 
材質 SUS304",MM　ステンレス（SUS304)　セーフティーチェーン　φ13&times;900mm　D-025：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)　セーフティーチェーン　φ13&times;900mm　D-025,1回通してがっちり固定。MM　ステンレス（SUS304)　セーフティーチェーン　φ13&times;900mm　D-025[rn]
18-13595,http://tshop.r10s.jp/yminfo/cabinet/metalparts/1038557924.jpg?fitin=700:700,5320.0000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,沈みシャックル　22mm,,●ステンレス製（SUS-304)<BR><BR>D：22（mm）<BR>L：88(mm) <BR>B：45（mm) <BR>d：44(mm）<BR>重量：1200(g）<BR>使用荷重：1650（kg）,沈みシャックル　22mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリング沈みシャックル　22mm,沈みシャックル　22mm[rn]
18-13596,http://tshop.r10s.jp/yminfo/cabinet/00171276/slu-6.jpg?fitin=700:700,1612.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)SLUシャックル6mm　SLU-6,緩み止ナットタイプのシャックルです！,"【ここがポイント！】 
● ゆるみ止ナットタイプのシャックル。従来のSBUシャックルと比較して長さも幅も約2倍 
 
【商品仕様】 
こちらSLU-6になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)SLUシャックル6mm　SLU-6：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)SLUシャックル6mm　SLU-6,緩み止ナットタイプのシャックルです！。MM　ステンレス（SUS304)SLUシャックル6mm　SLU-6[rn]
18-13597,http://tshop.r10s.jp/yminfo/cabinet/metalparts/1038580407.jpg?fitin=700:700,7619.2000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,コデベルシャックル22mm,,●ステンレス製（SUS-304)<BR>●六角棒レンチで開け閉めしますので、防犯用に適しています。<BR>※六角棒レンチは付属しております,コデベルシャックル22mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングコデベルシャックル22mm,コデベルシャックル22mm[rn]
18-13598,http://tshop.r10s.jp/yminfo/cabinet/00171276/qsl-4.jpg?fitin=700:700,981.6000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)ロング角頭シャックル10mm　QSL-10,長い長いシャックル！,"【ここがポイント！】 
● 長い長い角頭シャックル 
 
【商品仕様】 
こちらQSL-10になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)ロング角頭シャックル10mm　QSL-10：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)ロング角頭シャックル10mm　QSL-10,長い長いシャックル！。MM　ステンレス（SUS304)ロング角頭シャックル10mm　QSL-10[rn]
18-13599,http://tshop.r10s.jp/yminfo/cabinet/00171276/ws-6.jpg?fitin=700:700,12264.8000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,MM　ステンレス（SUS304)ダブルシャックル19mm　WS-19,シャックルがドッキング,"【ここがポイント！】 
● 2つのシャックルが回転！自由度高いです！ 
 
【商品仕様】 
こちらWS-6になります。
材質：ステンレスSUS304",MM　ステンレス（SUS304)ダブルシャックル19mm　WS-19：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングMM　ステンレス（SUS304)ダブルシャックル19mm　WS-19,シャックルがドッキング。MM　ステンレス（SUS304)ダブルシャックル19mm　WS-19[rn]
18-13600,http://tshop.r10s.jp/yminfo/cabinet/metalparts/1038559946.jpg?fitin=700:700,1874.4000,,花・ガーデン・DIY > DIY・工具 > ネジ・釘・金属素材 > その他,SC型シャックル　6mm,,D：8(mm) <BR>L：24(mm) <BR>B：11(mm) <BR><BR>重量：40（g)<BR>使用荷重：200（kg） <BR>　ステンレス製（SUS-304),SC型シャックル　6mm：村の鍛冶屋,滑車包丁シェルフペグエアーコンプレッサーバーベキュー除菌クーラーボックスステンレスワイヤー栗むきベビースリング村の鍛冶屋スプレーガンフラワーアーチスモーカー防水スプレーコシヒカリ合羽オベリスクリングSC型シャックル　6mm,SC型シャックル　6mm[rn]
