27-9901,http://tshop.r10s.jp/egaos/cabinet/trusco-a/4/4044584.jpg?fitin=700:700,9882.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＮＯＧＡ　２－４２内径用ブレード６０°刃先１４°ＨＳＳ　ＫＰ０１３４０１４,,■用途<br>●２―４２内径カウンターシンク６０°用替刃<br><br>■仕様<br>●材質:高速度鋼<br>●適用本体:KP01-116<br>●刃先すくい角(°):14<br>●コーナー数:2<br>●面取り角度(°):60<br>●型式タイプ:2-42<br><br>■材質・仕上げ<br>●ハイス鋼,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４：GAOS　楽天市場店,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４,ＮＯＧＡ　２&minus;４２内径用ブレード６０&deg;刃先１４&deg;ＨＳＳ　ＫＰ０１３４０１４[rn]
27-9975,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2746573.jpg?fitin=700:700,806.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　クリアーライン　埋込式　３セット　ＴＣＬ１６,,■用途<br>●測量標識のポイントに。<br><br>■特長<br>●測量標識のポイントに使用します。<br>●埋め込み式、取り付けボルト3本付です。<br><br>■仕様<br>●厚み(mm):10<br>●縦(mm):50<br>●横(mm):50<br>●埋め込み式、取り付けボルト3本付<br><br>■材質・仕上げ<br>●プレート部:アルミダイカスト<br>●取り付けボルト:軟鋼線材,ＴＲＵＳＣＯ　クリアーライン　埋込式　３セット　ＴＣＬ１６：GAOS　楽天市場店,ＴＲＵＳＣＯ　クリアーライン　埋込式　３セット　ＴＣＬ１６,ＴＲＵＳＣＯ　クリアーライン　埋込式　３セット　ＴＣＬ１６[rn]
27-9976,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2465680.jpg?fitin=700:700,8208.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＳＴＳ　測量器用三脚　ＳＴＳ－ＯＬ　平面５／８インチ　ＳＴＳＯＬ,,<br><br>■特長<br>●腰をかがめず、ワンタッチで簡単に脚の伸縮ができます。<br><br>■仕様<br>●ねじ径(インチ):5/8<br>●縮長～全長(mm):1030～1700<br><br>■材質・仕上げ<br>●アルミ合金,ＳＴＳ　測量器用三脚　ＳＴＳ&minus;ＯＬ　平面５／８インチ　ＳＴＳＯＬ：GAOS　楽天市場店,ＳＴＳ　測量器用三脚　ＳＴＳ&minus;ＯＬ　平面５／８インチ　ＳＴＳＯＬ,ＳＴＳ　測量器用三脚　ＳＴＳ&minus;ＯＬ　平面５／８インチ　ＳＴＳＯＬ[rn]
27-9977,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3353516.jpg?fitin=700:700,2673.6000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　マルチレベルＡ－３００　７８９９６,,■用途<br>●角度の測定に。<br><br>■特長<br>●バーニヤ目盛付なので角度を早く正確に読みとれます。<br>●裏面はマグネット付です。<br><br>■仕様<br>●長さ(mm):79<br>●高さ(mm):93<br>●厚み(mm):18<br>●最小読取値:0.1°<br>●付属品:なし<br>●測定範囲:0°～180°～0°<br>●精度:±0.6°<br>●78997は直尺ステン15ｃｍ付属<br><br>■材質・仕上げ<br>●ABS樹脂・アクリル,シンワ　マルチレベルＡ&minus;３００　７８９９６：GAOS　楽天市場店,シンワ　マルチレベルＡ&minus;３００　７８９９６,シンワ　マルチレベルＡ&minus;３００　７８９９６[rn]
27-9978,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2746271.jpg?fitin=700:700,190.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　ポイントベース　ＮＯ．２　黄　ＴＰＢ２Ｙ,,■用途<br>●測量のポイント時の測量びょう（メジャーネイル）のベースに。<br><br>■特長<br>●カラーABS樹脂で強く、目立ちやすいです。<br><br>■仕様<br>●色:黄<br>●外径(mm):25<br>●厚み(mm):4<br>●穴径(mm):5<br><br>■材質・仕上げ<br>●ABS樹脂,ＴＲＵＳＣＯ　ポイントベース　ＮＯ．２　黄　ＴＰＢ２Ｙ：GAOS　楽天市場店,ＴＲＵＳＣＯ　ポイントベース　ＮＯ．２　黄　ＴＰＢ２Ｙ,ＴＲＵＳＣＯ　ポイントベース　ＮＯ．２　黄　ＴＰＢ２Ｙ[rn]
27-9979,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4195370.jpg?fitin=700:700,1772.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＤＳ　ネオロックＤＸＳ２５巾５．５ｍ　ＤＸＳ２５５５,,■用途<br>●ハードな現場向き高耐久仕様。<br><br>■特長<br>●ストッパーを一番下まで押し下げるとロックがかかります。<br>●ストッパーを解除して一番上に押し上げるとブレーキがかかり、テープ引き込み速度の減速が可能です。<br>●サビに強いステンレスバネを採用しています。<br><br>■仕様<br>●テープ長さ(m):5.5<br>●テープ幅(mm):25<br>●水平保持(m):2.4<br>●移動爪<br>●ロックタイプ<br>●JIS1級<br>●両面目盛<br>●455mmピッチ表示:あり<br>●減速ボタン:あり<br>●ショックアブソーバー:あり<br><br>■材質・仕上げ<br>●テープ:スチール<br>●バネ:ステンレス,ＫＤＳ　ネオロックＤＸＳ２５巾５．５ｍ　ＤＸＳ２５５５：GAOS　楽天市場店,ＫＤＳ　ネオロックＤＸＳ２５巾５．５ｍ　ＤＸＳ２５５５,ＫＤＳ　ネオロックＤＸＳ２５巾５．５ｍ　ＤＸＳ２５５５[rn]
27-9980,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4198336.jpg?fitin=700:700,49140.0000,,花・ガーデン・DIY > DIY・工具 > その他,Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字　ＢＴＬ１１００Ｐ,,■用途<br>●内装、設備、大工工事<br><br>■特長<br>●小型軽量です。<br>●耐衝撃が向上しました。<br>●壁十文字（水平＋鉛直タイプ）です。<br><br>■仕様<br>●縦(mm):160<br>●横(mm):32<br>●精度:±3mm/10m<br>●自動補正範囲:±4°<br>●色:ピンク<br>●電源:単3アルカリ乾電池×1本（別売）<br>●使用時間８時間(アルカリ単３×１)<br><br>■材質・仕上げ<br>●外郭部ＰＣ及びＡＢＳ樹脂<br><br>■セット内容・付属品<br>●レーザー墨出器<br>●プラスチックケース<br>●三脚は付いておりません。,Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字　ＢＴＬ１１００Ｐ：GAOS　楽天市場店,Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字　ＢＴＬ１１００Ｐ,Ｐａｎａｓｏｎｉｃ　墨出し名人ケータイ壁十文字　ＢＴＬ１１００Ｐ[rn]
27-9981,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3367916.jpg?fitin=700:700,1176.0000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　ブルーレベルＪｒ１５０ｍｍＭｇ付　７６３３６,,■用途<br>●水平、垂直、45°の測定に。<br><br>■特長<br>●高精度でコンパクトです。<br>●水平気泡管に蓄光樹脂を装着しています。<br><br>■仕様<br>●長さ(mm):150<br>●高さ(mm):50<br>●厚み(mm):22<br>●マグネット:2ヵ所<br>●精度:±1mm/m<br>●感度:0.35mm/m<br><br>■材質・仕上げ<br>●本体:アルミ合金・ABS樹脂<br>●気泡管:アクリル樹脂（PMMA）,シンワ　ブルーレベルＪｒ１５０ｍｍＭｇ付　７６３３６：GAOS　楽天市場店,シンワ　ブルーレベルＪｒ１５０ｍｍＭｇ付　７６３３６,シンワ　ブルーレベルＪｒ１５０ｍｍＭｇ付　７６３３６[rn]
27-9982,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/7569459.jpg?fitin=700:700,924.0000,,花・ガーデン・DIY > DIY・工具 > その他,シンワ　黒板ミニ『工事名・工種・測点』横ＤＳ　７７０８７,,■用途<br>●現場記録、写真撮影用の黒板<br><br>■特長<br>●暗線入りで書きやすく、文字も綺麗に消せます。<br>●現場写真が撮りやすく、鮮明な読み取りが可能です。<br><br>■仕様<br>●縦(mm):300<br>●横(mm):450<br>●暗線入<br>●緑色板面<br>●仕様　　印刷:工事名・工種・測点　　<br>●横型<br><br>■材質・仕上げ<br>●本体：木製<br><br>■セット内容・付属品<br>●チョーク３本<br>●黒板消し１個<br>●収納ケース<br>●スタンド<br><br>■注意事項<br>●チョーク専用です。濡れた状態での使用は避けてください。,シンワ　黒板ミニ『工事名・工種・測点』横ＤＳ　７７０８７：GAOS　楽天市場店,シンワ　黒板ミニ『工事名・工種・測点』横ＤＳ　７７０８７,シンワ　黒板ミニ『工事名・工種・測点』横ＤＳ　７７０８７[rn]
27-9983,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2946718.jpg?fitin=700:700,9612.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＳＴＳ　デジタル傾斜計ＤＬ－１５５Ｖ　ＤＬ１５５Ｖ,,■用途<br>●水平、平行測定に。<br>●傾斜測定に。<br><br>■特長<br>●本体を逆さまにすると数字が反転、読み間違いを防ぎます。<br>●測量面はV字カット、パイプの上でも安定しています。（マグネット付）<br>●任意の角度をゼロセットできます。（比較表示モード）<br><br>■仕様<br>●長さ(mm):155<br>●高さ(mm):56<br>●厚み(mm):31<br>●最小表示:0.1°または0.1%<br>●連続使用時間:約600時間（アルカリ乾電池）<br>●検出角度範囲:360°（4方向90°および4方向99.9％）<br>●電源:単4乾電池×3本（付属）<br>●液晶表示(度・%表示切り替え可能)<br>●校正書発行可能(有料)<br><br>■材質・仕上げ<br>●アルミ合金,ＳＴＳ　デジタル傾斜計ＤＬ&minus;１５５Ｖ　ＤＬ１５５Ｖ：GAOS　楽天市場店,ＳＴＳ　デジタル傾斜計ＤＬ&minus;１５５Ｖ　ＤＬ１５５Ｖ,ＳＴＳ　デジタル傾斜計ＤＬ&minus;１５５Ｖ　ＤＬ１５５Ｖ[rn]
27-9984,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2754983.jpg?fitin=700:700,190.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　メジャーネイル　サイズ８Ｘ１５Ｘ７５　アスファルト用　ＴＭＮ３,,■用途<br>●コンクリート、アスファルト、砂利道などに。<br><br>■特長<br>●コンクリート道から砂利道まであらゆる現場に対応した測量びょうです。<br>●測量用標識ポイントベース固定専用金具です。<br><br>■仕様<br>●用途:アスファルト<br>●材質:SWCH45K<br>●サイズ(mm)(d×D×L):7×15×75<br>●アカマーク:あり<br>●メッキ:クロメート<br>●下穴ドリルサイズ(mm):6.5<br><br>■材質・仕上げ<br>●スチール<br><br>■注意事項<br>●コンクリート、アスファルト道路にはコンクリートドリルなどで下穴をあけてください。,ＴＲＵＳＣＯ　メジャーネイル　サイズ８Ｘ１５Ｘ７５　アスファルト用　ＴＭＮ３：GAOS　楽天市場店,ＴＲＵＳＣＯ　メジャーネイル　サイズ８Ｘ１５Ｘ７５　アスファルト用　ＴＭＮ３,ＴＲＵＳＣＯ　メジャーネイル　サイズ８Ｘ１５Ｘ７５　アスファルト用　ＴＭＮ３[rn]
27-9985,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/2533219.jpg?fitin=700:700,173.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　坪糸（化繊）　＃２１　３５ｍ巻　ＴＭＩ２０１１,,■用途<br>●あらゆる墨付け作業に使う墨つぼ用の糸に。<br><br>■特長<br>●特殊加工ナイロン糸により、墨つきがよく、腐りにくく、強く長く使えます。<br><br>■仕様<br>●色:白<br>●線径(mm):0.8（＃21）<br>●糸長さ(m):35,ＴＲＵＳＣＯ　坪糸（化繊）　＃２１　３５ｍ巻　ＴＭＩ２０１１：GAOS　楽天市場店,ＴＲＵＳＣＯ　坪糸（化繊）　＃２１　３５ｍ巻　ＴＭＩ２０１１,ＴＲＵＳＣＯ　坪糸（化繊）　＃２１　３５ｍ巻　ＴＭＩ２０１１[rn]
27-9986,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4105893.jpg?fitin=700:700,596.0000,,花・ガーデン・DIY > DIY・工具 > その他,エビスダイヤモンド　丸型気泡管φ２５・磁石付　Ｒ２５Ｍ,,■用途<br>●水平測定に。<br><br>■特長<br>●機器に取り付けができます。<br>●磁石付で金属部に取り付けられます。<br><br>■仕様<br>●高さ(mm):9.7<br>●マグネット:1面<br>●感度:0.50mm/m=0.0286°<br>●直径(mm):25<br><br>■材質・仕上げ<br>●本体：アクリル樹脂（PMMA）<br>●ゴム磁石<br>●気泡管：アクリル樹脂(PMMA),エビスダイヤモンド　丸型気泡管φ２５・磁石付　Ｒ２５Ｍ：GAOS　楽天市場店,エビスダイヤモンド　丸型気泡管φ２５・磁石付　Ｒ２５Ｍ,エビスダイヤモンド　丸型気泡管φ２５・磁石付　Ｒ２５Ｍ[rn]
27-9987,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/3527522.jpg?fitin=700:700,1901.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＤＳ　ダブルジー２５巾７．５ｍ　ＧＧ２５７５,,■用途<br>●天面・壁面からの測定に便利。<br>●設備・機械の設置工事に。<br>●金属加工に。<br><br>■特長<br>●握りやすく不意の落下にも対象物や爪を傷付けないプロテクトケースです。<br>●爪を守るフックプロテクター付です。<br>●新エラストマーケースは人間工学に基づき、優しい指掛かりを実現しました。<br>●高さ測定に強い両面目盛です。<br><br>■仕様<br>●テープ長さ(m):7.5<br>●テープ幅(mm):25<br>●水平保持(m):2.4<br>●移動爪<br>●ロックタイプ<br>●JIS1級<br>●両面目盛<br>●455mmピッチ表示:あり<br>●減速ボタン:あり<br>●ショックアブソーバー:あり<br><br>■材質・仕上げ<br>●テープ:スチール,ＫＤＳ　ダブルジー２５巾７．５ｍ　ＧＧ２５７５：GAOS　楽天市場店,ＫＤＳ　ダブルジー２５巾７．５ｍ　ＧＧ２５７５,ＫＤＳ　ダブルジー２５巾７．５ｍ　ＧＧ２５７５[rn]
27-9988,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4115490.jpg?fitin=700:700,2872.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＤＯＧＹＵ　カメ棒７００　２１５６,,<br><br>■特長<br>●撮影補助の伸縮棒です。<br>●デジタルカメラを取り付け、動画モードやセルフタイマーで使用できます。<br>●従来撮れなかった角度より撮影できます。<br>●カバンやポケットに収納でき持ち運びが簡単です。<br><br>■仕様<br>●縮長～全長(mm):190～730,ＤＯＧＹＵ　カメ棒７００　２１５６：GAOS　楽天市場店,ＤＯＧＹＵ　カメ棒７００　２１５６,ＤＯＧＹＵ　カメ棒７００　２１５６[rn]
27-9989,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/1016601.jpg?fitin=700:700,9603.2000,,花・ガーデン・DIY > DIY・工具 > その他,古里　テープレスメジャー　ＴＭ３,,<br><br>■特長<br>●直線も曲線も自在に計測できます。<br>●カウンターは防水箱型密閉式です。<br><br>■仕様<br>●測定範囲:10cm～999.9m<br>●車輪径(mm):160<br>●縮長～全長(mm):270～950<br>●表示桁数:4<br>●ステッキ長:270～950mm,古里　テープレスメジャー　ＴＭ３：GAOS　楽天市場店,古里　テープレスメジャー　ＴＭ３,古里　テープレスメジャー　ＴＭ３[rn]
27-9990,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4718780.jpg?fitin=700:700,2094.4000,,花・ガーデン・DIY > DIY・工具 > その他,タジマ　セフＧ７ロック２５　５．０ｍ　ＳＦＧ７Ｌ２５５０,,■用途<br>●長さ測定用<br><br>■特長<br>●片手で簡単脱着できる、落下防止用ベルトホルダ付です。<br>●剛性力アップのためテープを厚くした剛厚テープを採用しています。<br>●強度に優れた焼き爪仕様です。<br>●コンパクトなケースを採用しています。<br><br>■仕様<br>●テープ長さ(m):5<br>●テープ幅(mm):25<br>●水平保持(m):2.6<br>●メートル目盛<br>●JIS1級<br>●両面目盛<br>●剛厚ホワイトテープ<br>●ヨンゴーゴーピッチ表示付<br>●ストラップ付<br>●落下防止ベルトホルダー付、取り付け可能ベルトサイズ 幅60mm以内/厚み5.5mm以内<br>●爪飛び防止用プロテクター付<br><br>■材質・仕上げ<br>●テープ：スチール<br><br>■注意事項<br>●本製品には通電性があります。感電に注意して下さい。<br>●テープのエッジで手を切る恐れがありますので、手袋を着用して下さい。,タジマ　セフＧ７ロック２５　５．０ｍ　ＳＦＧ７Ｌ２５５０：GAOS　楽天市場店,タジマ　セフＧ７ロック２５　５．０ｍ　ＳＦＧ７Ｌ２５５０,タジマ　セフＧ７ロック２５　５．０ｍ　ＳＦＧ７Ｌ２５５０[rn]
27-9991,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/7567570.jpg?fitin=700:700,1188.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＤＳ　グリーンレーザー用レーザーゴーグル　ＧＬＧ１,,<br><br>■特長<br>●グリーンレーザー専用のグラスです。<br><br>■材質・仕上げ<br>●レンズ・フレーム：ABS樹脂<br><br>■注意事項<br>●レーザー保護メガネではありません。レーザーから目を保護する性能はありません。,ＫＤＳ　グリーンレーザー用レーザーゴーグル　ＧＬＧ１：GAOS　楽天市場店,ＫＤＳ　グリーンレーザー用レーザーゴーグル　ＧＬＧ１,ＫＤＳ　グリーンレーザー用レーザーゴーグル　ＧＬＧ１[rn]
27-9992,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4170024.jpg?fitin=700:700,967.2000,,花・ガーデン・DIY > DIY・工具 > その他,ＫＯＤ　丸クロス型アイベル水平器（取付穴付）　ＣＲＴＨ３０,,■用途<br>●水平測定に。<br>●機械、機器等への組込もしくは取付<br><br>■特長<br>●アクリル削り出し加工により精度が優れています。<br>●気泡管2軸タイプです。<br>●穴無しタイプもございます。<br>●特注サイズ等の対応可（別途見積要）<br><br>■仕様<br>●高さ(mm):10<br>●マグネット:なし<br>●直径(mm):30<br>●精度:1.3mm/m=0.0764<br>●精度:1.3mm/m=0.0764°(CRTH-60は、0.5mm/m=0.0286°）<br>●感度:91’/2mm（CRTH-60は、34’/2mm）<br><br>■材質・仕上げ<br>●本体：アクリル樹脂（PMMA)<br>●気泡管：アクリル樹脂（PMMA),ＫＯＤ　丸クロス型アイベル水平器（取付穴付）　ＣＲＴＨ３０：GAOS　楽天市場店,ＫＯＤ　丸クロス型アイベル水平器（取付穴付）　ＣＲＴＨ３０,ＫＯＤ　丸クロス型アイベル水平器（取付穴付）　ＣＲＴＨ３０[rn]
27-9993,http://tshop.r10s.jp/egaos/cabinet/trusco-c/5/4214641.jpg?fitin=700:700,3582.4000,,花・ガーデン・DIY > DIY・工具 > その他,つくし　全天候型工事撮影用黒板　（工事件名・工事場所・施工者・年月日欄付）　１４９Ｂ,,■用途<br>●各種工事用撮影黒板として。<br><br>■特長<br>●特殊な表面加工と専用クレヨンで雨の中はもちろん、水中でも使用できます。<br><br>■仕様<br>●縦(mm):450<br>●横(mm):600<br>●取付仕様:衝立式<br>●表示内容:工事件名・工事場所・施工者・年月日<br>●取付方法:衝立式<br><br>■材質・仕上げ<br>●耐水ベニヤ<br><br>■セット内容・付属品<br>●専用クレヨン、ついたて、吊金具×2<br><br>■注意事項<br>●チョークは使用できません。<br>●消す際は湿らせた布などをご使用ください。,つくし　全天候型工事撮影用黒板　（工事件名・工事場所・施工者・年月日欄付）　１４９Ｂ：GAOS　楽天市場店,つくし　全天候型工事撮影用黒板　（工事件名・工事場所・施工者・年月日欄付）　１４９Ｂ,つくし　全天候型工事撮影用黒板　（工事件名・工事場所・施工者・年月日欄付）　１４９Ｂ[rn]
