27-9401,http://tshop.r10s.jp/egaos/cabinet/trusco-h/2/12/3986161.jpg?fitin=700:700,756.0000,,花・ガーデン・DIY > DIY・工具 > その他,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ,,■用途<br>●工事写真の分類・整理・保管や官公庁や施工主様への提出用にもご利用頂けます。<br><br>■特長<br>●工事写真の分類整理、提出用に最適です。<br><br>■仕様<br>●色:白<br>●タイプ:25穴<br>●ロッ骨式<br>●サイズ:四ツ切＋方眼入フリー台紙(7枚）<br>●台紙:四ツ切判・方眼入フリー台紙7枚(貼付有効サイズ：タテ314×ヨコ245mm),ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ：GAOS　楽天市場店,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ,ナカバヤシ　工事用アルバム　４ッ切　ＦＰＨ７１Ｗ[rn]
27-9477,http://tshop.r10s.jp/egaos/cabinet/trusco-b/4/19/3083403.jpg?fitin=700:700,3421.6000,,花・ガーデン・DIY > DIY・工具 > その他,ニチユ　サーモラベル５点表示屋外対応型　不可逆性　２１０度　５Ｅ＋２１０,,■用途<br>●受変電設備・機械設備などの発熱点検。<br>●熱処理工程の温度管理。<br>●流通工程の温度管理。<br>●配電設備の温度管理。<br><br>■特長<br>●一度変色すると、元の色に戻らない不可逆性示温材です。<br>●色の変化で温度の検知ができます。<br><br>■仕様<br>●原色:淡黄<br>●変色後色:黒<br>●変色温度(℃):210-220-230-240-250<br>●エレメントサイズ(φmm):4<br>●シートサイズ(mm):17×45<br>●測定方法:不可逆性<br>●屋内外使用可能<br>●測定精度:±2℃（5E-50～5E-125）、±2～3℃（5E-170）、±3℃（5E-210）<br>●5点表示タイプ<br><br>■注意事項<br>●高圧下、高真空下、電子レンジ等の御使用は避けて下さい。<br>●水、油、溶剤、可塑剤などの影響がある条件下でのご使用は、異常変色の原因となります。,ニチユ　サーモラベル５点表示屋外対応型　不可逆性　２１０度　５Ｅ＋２１０：GAOS　楽天市場店,ニチユ　サーモラベル５点表示屋外対応型　不可逆性　２１０度　５Ｅ＋２１０,ニチユ　サーモラベル５点表示屋外対応型　不可逆性　２１０度　５Ｅ＋２１０[rn]
27-9478,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/5/4398327.jpg?fitin=700:700,7268.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＦ　ユニオン無溶接型フレキ　継手ＦＣＭＢ　５０ＡＸ５００Ｌ　ＴＦ１８５０５００,,■用途<br>●配管の芯ズレ吸収及び振動吸収。<br><br>■特長<br>●ねじれに強く、繰り返し曲げや振動吸収に優れ、耐久性は保証します。<br>●大きい面圧で、シールが確実です。<br><br>■仕様<br>●全長(mm):500<br>●呼び径(A):50<br>●呼び径(B):2<br>●最高使用圧力：1MPa<br>●適用流体：冷温水・空気<br>●使用温度範囲：0～１00℃<br><br>■材質・仕上げ<br>●フレキ部：ステンレス(SUS304)<br>●ユニオン部：鋳鉄(FCMB)<br><br>■注意事項<br>●空気（ガス系流体）の場合、ガスケットペーストのご使用を推奨致します。,ＴＦ　ユニオン無溶接型フレキ　継手ＦＣＭＢ　５０ＡＸ５００Ｌ　ＴＦ１８５０５００：GAOS　楽天市場店,ＴＦ　ユニオン無溶接型フレキ　継手ＦＣＭＢ　５０ＡＸ５００Ｌ　ＴＦ１８５０５００,ＴＦ　ユニオン無溶接型フレキ　継手ＦＣＭＢ　５０ＡＸ５００Ｌ　ＴＦ１８５０５００[rn]
27-9479,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/1/3655342.jpg?fitin=700:700,9331.2000,,花・ガーデン・DIY > DIY・工具 > その他,フジキン　ステンレス鋼製４．９０ＭＰａパネルマウント式ボール弁　ＰＵＢＶ９５６．３５,,■用途<br>●水・空気・ガス用。<br><br>■特長<br>●4.90MPa対応です。<br>●パネルマウント対応です。<br>●軽量・コンパクトです。<br>●継手付構造です。<br><br>■仕様<br>●高さ(mm):38<br>●面間(mm):62.8<br>●Cv値max:1.40<br>●内径(mm):5.0<br>●呼び径(mm):6.35<br>●最高圧力4.90MPa（空気静流40℃時）<br><br>■材質・仕上げ<br>●ステンレス（SCS14）,フジキン　ステンレス鋼製４．９０ＭＰａパネルマウント式ボール弁　ＰＵＢＶ９５６．３５：GAOS　楽天市場店,フジキン　ステンレス鋼製４．９０ＭＰａパネルマウント式ボール弁　ＰＵＢＶ９５６．３５,フジキン　ステンレス鋼製４．９０ＭＰａパネルマウント式ボール弁　ＰＵＢＶ９５６．３５[rn]
27-9480,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/9/3800326.jpg?fitin=700:700,1641.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＳＫカワニシ　鋼管用継手　ＳＫＸソケット２０　ＳＫＸＳ２０,,■用途<br>●上水道配管、排水配管、海水配管、エア配管など。<br><br>■特長<br>●簡単に早く管接続ができます。<br>●パイプを突っ込んで締めるだけで施工完了です。<br>●伸縮可とう機能があり外力を吸収できます。<br>●取り外し、再施工が簡単にでき、補修材料にも適しています。<br><br>■仕様<br>●呼び径:20A<br>●L(mm):89<br>●A(mm):64<br>●LO(mm):131<br>●L１(mm)最大:21<br>●L１(mm)最小:10<br>●使用温度：0～45℃<br>●使用圧力：1MPa<br><br>■材質・仕上げ<br>●バーミキュラ鋳鉄,ＳＫカワニシ　鋼管用継手　ＳＫＸソケット２０　ＳＫＸＳ２０：GAOS　楽天市場店,ＳＫカワニシ　鋼管用継手　ＳＫＸソケット２０　ＳＫＸＳ２０,ＳＫカワニシ　鋼管用継手　ＳＫＸソケット２０　ＳＫＸＳ２０[rn]
27-9481,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/15/7613016.jpg?fitin=700:700,168.8000,,花・ガーデン・DIY > DIY・工具 > その他,因幡電工　直線ジョイント　ＤＳＨ２０ＮＪ,,■用途<br>●（断熱）ドレンホース連結（延長）用。<br><br>■特長<br>●断熱ドレンホース同士を接続するパーツです。<br><br>■仕様<br>●B(mm):35.5<br>●C(mm):32<br>●A(mm):17<br>●D(mm):52<br>●E(mm):-<br>●品名:直線ジョイント<br>●適合ドレンホース:DSH-20N<br><br>■材質・仕上げ<br>●ポリ塩化ビニール(PVC),因幡電工　直線ジョイント　ＤＳＨ２０ＮＪ：GAOS　楽天市場店,因幡電工　直線ジョイント　ＤＳＨ２０ＮＪ,因幡電工　直線ジョイント　ＤＳＨ２０ＮＪ[rn]
27-9482,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/8/4463650.jpg?fitin=700:700,840.8000,,花・ガーデン・DIY > DIY・工具 > その他,クボタケミックス　ＨＩメタルバルブソケット　ＨＩ－ＭＶＳ　２０　ＨＩＭＶＳ２０,,■用途<br>●集合住宅・戸建住宅・店舗・施設などの給水管。寒冷期や他管工事に使用。<br><br>■特長<br>●低温時でも優れた耐衝撃性を維持し、寒冷期や他管工事での衝撃による被害を最小限に抑えます。<br><br>■仕様<br>●塩ビ管呼び径:20<br>●寸法(mm)L:75<br>●寸法(mm)B:40<br>●ねじ:R3/4<br>●寸法(mm) d:18<br>●使用温度範囲：5～35℃<br>●最高使用圧力：1.0ＭＰａ<br>●JIS　K6743規格<br>●衝撃強さ（シャルピー）17.7以上<br><br>■材質・仕上げ<br>●耐衝撃性硬質ポリ塩化ビニール（Hi-PVC）<br><br>■注意事項<br>●各種製品の保管は炎天下や酷暑の場所を避け、屋内に保管するか、やむを得ず屋外に保管する場合はｼｰﾄ等で覆って直射日光や雨水を避けて下さい。,クボタケミックス　ＨＩメタルバルブソケット　ＨＩ&minus;ＭＶＳ　２０　ＨＩＭＶＳ２０：GAOS　楽天市場店,クボタケミックス　ＨＩメタルバルブソケット　ＨＩ&minus;ＭＶＳ　２０　ＨＩＭＶＳ２０,クボタケミックス　ＨＩメタルバルブソケット　ＨＩ&minus;ＭＶＳ　２０　ＨＩＭＶＳ２０[rn]
27-9483,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/9/3753832.jpg?fitin=700:700,168.8000,,花・ガーデン・DIY > DIY・工具 > その他,ジョプラックス　樹脂プラグ　ＪＮ８Ｗ,,■用途<br>●飲料用機器、食品機器、ろ過装置などの水配管に。<br><br>■特長<br>●サビに強く、軽量で扱いやすい商品です。<br><br>■仕様<br>●適合ホース(mm)内径×外径:8×12<br>●適応流体：水　<br>●常用使用圧力：０．９８ＭＰａ　<br>●使用温度範囲：０～５０℃<br><br>■材質・仕上げ<br>●ポリアセタール（POM）,ジョプラックス　樹脂プラグ　ＪＮ８Ｗ：GAOS　楽天市場店,ジョプラックス　樹脂プラグ　ＪＮ８Ｗ,ジョプラックス　樹脂プラグ　ＪＮ８Ｗ[rn]
27-9484,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/11/4421043.jpg?fitin=700:700,811.2000,,花・ガーデン・DIY > DIY・工具 > その他,アカギ　ターボ用羽子板　３００Ｈ　Ａ１０３７８０１０７,,■用途<br>●立バンド用取付足。<br><br>■特長<br>●電気亜鉛メッキ仕上げで、立てバンド用のねじ込み式取付け足です。<br><br>■仕様<br>●材質:スチール<br>●全長H(mm):340<br>●ボルト長L(mm):295<br><br>■材質・仕上げ<br>●軟鋼線材,アカギ　ターボ用羽子板　３００Ｈ　Ａ１０３７８０１０７：GAOS　楽天市場店,アカギ　ターボ用羽子板　３００Ｈ　Ａ１０３７８０１０７,アカギ　ターボ用羽子板　３００Ｈ　Ａ１０３７８０１０７[rn]
27-9485,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/15/7613920.jpg?fitin=700:700,375.2000,,花・ガーデン・DIY > DIY・工具 > その他,因幡電工　コーナー立面９０°　ＬＤＣ７０Ｂ,,■用途<br>●立面90°曲り。<br><br>■特長<br>●家庭用エアコンに多いエアコン配管サイズに限定したラインナップでコストパフォーマンスに優れた配管化粧カバーです。<br><br>■仕様<br>●色:ブラウン<br>●A(mm):74<br>●B(mm):62<br>●C(mm):86<br><br>■材質・仕上げ<br>●ポリ塩化ビニール(PVC),因幡電工　コーナー立面９０&deg;　ＬＤＣ７０Ｂ：GAOS　楽天市場店,因幡電工　コーナー立面９０&deg;　ＬＤＣ７０Ｂ,因幡電工　コーナー立面９０&deg;　ＬＤＣ７０Ｂ[rn]
27-9486,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/11/4421809.jpg?fitin=700:700,569.6000,,花・ガーデン・DIY > DIY・工具 > その他,アカギ　ユニクロハヤウマ接続金具　ＮＯ．１　Ａ１２２１４００４８,,<br><br>■特長<br>●各接続金具の組み合わせで、様々な架台やブラケットの組立てができます。<br>●電気亜鉛めっき仕上げです。<br><br>■仕様<br>●品名:ハヤウマ１<br>●長穴：11×50mm<br><br>■材質・仕上げ<br>●スチール,アカギ　ユニクロハヤウマ接続金具　ＮＯ．１　Ａ１２２１４００４８：GAOS　楽天市場店,アカギ　ユニクロハヤウマ接続金具　ＮＯ．１　Ａ１２２１４００４８,アカギ　ユニクロハヤウマ接続金具　ＮＯ．１　Ａ１２２１４００４８[rn]
27-9487,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/8/4464524.jpg?fitin=700:700,86.4000,,花・ガーデン・DIY > DIY・工具 > その他,クボタケミックス　ＨＴ耐熱継手　ソケット　ＨＴ－Ｓ　１３　ＨＴＳ１３,,■用途<br>●温水施設、厨房、給湯器配管用。<br><br>■特長<br>●耐熱性に優れた塩ビ継手です。<br><br>■仕様<br>●塩ビ管呼び径:13<br>●寸法(mm)L:49<br>●寸法(mm)D:26<br>●使用温度範囲：5～40℃（最高使用圧力1.0ＭＰa）<br>●使用温度範囲:71～90℃（最高使用圧力0.2ＭＰa）<br>●JIS　K6777規格<br><br>■材質・仕上げ<br>●硬質ポリ塩化ビニール（HT-PVC）<br><br>■注意事項<br>●各種製品の保管は炎天下や酷暑の場所を避け、屋内に保管するか、やむを得ず屋外に保管する場合はｼｰﾄ等で覆って直射日光や雨水を避けて下さい。,クボタケミックス　ＨＴ耐熱継手　ソケット　ＨＴ&minus;Ｓ　１３　ＨＴＳ１３：GAOS　楽天市場店,クボタケミックス　ＨＴ耐熱継手　ソケット　ＨＴ&minus;Ｓ　１３　ＨＴＳ１３,クボタケミックス　ＨＴ耐熱継手　ソケット　ＨＴ&minus;Ｓ　１３　ＨＴＳ１３[rn]
27-9488,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/8/4463960.jpg?fitin=700:700,169.6000,,花・ガーデン・DIY > DIY・工具 > その他,クボタケミックス　ＨＩ継手　ソケット　ＨＩ－Ｓ　４０　ＨＩＳ４０,,■用途<br>●集合住宅・戸建住宅・店舗・施設などの給水管。寒冷期や他管工事に使用。<br><br>■特長<br>●低温時でも優れた耐衝撃性を維持し、寒冷期や他管工事での衝撃による被害を最小限に抑えます。<br><br>■仕様<br>●塩ビ管呼び径:40<br>●寸法(mm)D:57<br>●寸法(mm)L:117<br>●寸法(mm)Z:7<br>●使用温度範囲：5～35℃<br>●最高使用圧力：1.0ＭＰａ<br>●JIS　K6743規格<br>●衝撃強さ（シャルピー）17.7以上<br><br>■材質・仕上げ<br>●耐衝撃性硬質ポリ塩化ビニール（Hi-PVC）<br><br>■注意事項<br>●各種製品の保管は炎天下や酷暑の場所を避け、屋内に保管するか、やむを得ず屋外に保管する場合はｼｰﾄ等で覆って直射日光や雨水を避けて下さい。,クボタケミックス　ＨＩ継手　ソケット　ＨＩ&minus;Ｓ　４０　ＨＩＳ４０：GAOS　楽天市場店,クボタケミックス　ＨＩ継手　ソケット　ＨＩ&minus;Ｓ　４０　ＨＩＳ４０,クボタケミックス　ＨＩ継手　ソケット　ＨＩ&minus;Ｓ　４０　ＨＩＳ４０[rn]
27-9489,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/2/1755765.jpg?fitin=700:700,643.2000,,花・ガーデン・DIY > DIY・工具 > その他,イノック　異径ソケット（テーパ）　３０４ＲＳ１５ＡＸ１０Ａ,,■用途<br>●水・油・ガス用。<br><br>■仕様<br>●呼び径(A):15×10<br>●呼び径(B):1/2×3/8<br>●L(mm):38<br>●D(mm):26.0<br>●呼び径(mm):21.70×17.30<br>●Ｄ1(mm):21.5<br><br>■材質・仕上げ<br>●ステンレス（SUS304）,イノック　異径ソケット（テーパ）　３０４ＲＳ１５ＡＸ１０Ａ：GAOS　楽天市場店,イノック　異径ソケット（テーパ）　３０４ＲＳ１５ＡＸ１０Ａ,イノック　異径ソケット（テーパ）　３０４ＲＳ１５ＡＸ１０Ａ[rn]
27-9490,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/8/4464966.jpg?fitin=700:700,76.0000,,花・ガーデン・DIY > DIY・工具 > その他,クボタケミックス　ＴＳ継手　エルボ　ＴＳ－Ｌ　３０　ＴＳＬ３０,,■用途<br>●集合住宅・戸建住宅・店舗・施設などの給水管。<br><br>■特長<br>●耐食性、耐薬品性に優れた継手です。<br><br>■仕様<br>●塩ビ管呼び径:30<br>●寸法(mm)H:65<br>●寸法(mm)D:46<br>●寸法(mm)Z:21<br>●使用温度範囲：5～35℃<br>●最高使用圧力：1.0ＭＰａ<br>●JIS　K6743規格<br><br>■材質・仕上げ<br>●硬質ポリ塩化ビニール（PVC）<br><br>■注意事項<br>●各種製品の保管は炎天下や酷暑の場所を避け、屋内に保管するか、やむを得ず屋外に保管する場合はｼｰﾄ等で覆って直射日光や雨水を避けて下さい。,クボタケミックス　ＴＳ継手　エルボ　ＴＳ&minus;Ｌ　３０　ＴＳＬ３０：GAOS　楽天市場店,クボタケミックス　ＴＳ継手　エルボ　ＴＳ&minus;Ｌ　３０　ＴＳＬ３０,クボタケミックス　ＴＳ継手　エルボ　ＴＳ&minus;Ｌ　３０　ＴＳＬ３０[rn]
27-9491,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/6/4345894.jpg?fitin=700:700,5443.2000,,花・ガーデン・DIY > DIY・工具 > その他,高圧継手（オス×メス）　ＴＳ１０１　ＴＳ１０１,,■用途<br>●高圧ガス配管用。<br><br>■特長<br>●禁油・禁水処理済みです。<br><br>■仕様<br>●接続サイズ:R3/4×Rc1<br>●用途:高圧ガス用継手<br>●適用流体:N2.O2.Ar､Air､CO2､He､H2<br>●材質:ステンレス<br>●ネジサイズA:R3/4<br>●ネジサイズB:Rc1<br>●全長L:50<br>●内径d:15<br>●使用流体:窒素・酸素・アルゴン・空気など<br>●最高使用圧力:20MPa<br>●設計温度:-10～75℃<br><br>■材質・仕上げ<br>●本体：ステンレス<br><br>■セット内容・付属品<br>●なし,高圧継手（オス&times;メス）　ＴＳ１０１　ＴＳ１０１：GAOS　楽天市場店,高圧継手（オス&times;メス）　ＴＳ１０１　ＴＳ１０１,高圧継手（オス&times;メス）　ＴＳ１０１　ＴＳ１０１[rn]
27-9492,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/4/4423160.jpg?fitin=700:700,16200.8000,,花・ガーデン・DIY > DIY・工具 > その他,ジャパンマテックス　バルブ用万能グランドパッキン　８５３０８．０３Ｍ,,■用途<br>●高温・高圧バルブに。<br><br>■特長<br>●耐熱性・耐圧性に優れております。<br><br>■仕様<br>●幅(mm):8<br>●高さ(mm):8<br>●長さ(m):3<br>●色:黒<br>●最高使用温度：420℃（蒸気：600℃）<br>●圧力(バルブ):43.1MPa<br>●装着箇所の寸法に合わせリング成形品も別途製作可能ですのでご相談下さい。<br><br>■材質・仕上げ<br>●膨張黒鉛（インコネル線材補強） 、特殊潤滑剤,ジャパンマテックス　バルブ用万能グランドパッキン　８５３０８．０３Ｍ：GAOS　楽天市場店,ジャパンマテックス　バルブ用万能グランドパッキン　８５３０８．０３Ｍ,ジャパンマテックス　バルブ用万能グランドパッキン　８５３０８．０３Ｍ[rn]
27-9493,http://tshop.r10s.jp/egaos/cabinet/trusco-c/1/2/1634453.jpg?fitin=700:700,2016.8000,,花・ガーデン・DIY > DIY・工具 > その他,日立　ブッシング　ＢＵ８０ＡＸ５０Ａ,,■用途<br>●水・油・蒸気・ガス用。<br>●ねじ込み配管で、管径を大きく落とすのに用います。<br><br>■特長<br>●粘り強く強靭さが特徴な「マレブル」製の継手です。<br>●表面処理は環境負荷を軽減した「優めっき」（RoHS対応）を採用しています。<br><br>■仕様<br>●呼び径(A):80×50<br>●呼び径(B):3×2<br>●L(mm):44<br>●E(mm):32<br>●呼び径(mm):89.10×60.50<br>●JIS B2301規格品<br><br>■材質・仕上げ<br>●黒心可鍛鋳鉄（FCMB）,日立　ブッシング　ＢＵ８０ＡＸ５０Ａ：GAOS　楽天市場店,日立　ブッシング　ＢＵ８０ＡＸ５０Ａ,日立　ブッシング　ＢＵ８０ＡＸ５０Ａ[rn]
27-9494,http://tshop.r10s.jp/egaos/cabinet/trusco-c/2/4784189.jpg?fitin=700:700,142560.0000,,花・ガーデン・DIY > DIY・工具 > その他,川本　家庭用インバータ式井戸ポンプ（ソフトカワエース）　ＮＦ２４００ＴＫ,,■用途<br>●受水槽・浅井戸からの自動給水用。<br><br>■特長<br>●運転モード可変機能を搭載し、E（エコ）モード・S（ストロング）モードの切替ができます。<br>●ポンプの回転数をインバータ制御することにより、地下水位に影響されることなく、吐出圧一定給水を行います。（交互・交互並列は推定未端圧一定も可能）<br>●接液部はステンレスを主要部品に採用し、耐久性も高く清潔です。<br><br>■仕様<br>●吐出量(L/min):33<br>●全揚程(m):25<br>●周波数(Hz):50/60<br>●口径(mm):25<br>●電源(V):三相200<br>●出力(W):400<br>●モータ:KPMモータ(全閉外扇形：DCブラシレス)、単相100V(150W、250W、400W)、単相200V(400W、750W)、三相200V(400W、750W)<br>●電源コード長さ:2m<br>●液質:清水0～40℃(凍結なきこと)<br><br>■材質・仕上げ<br>●インペラ：CAC406（BC6）<br>●主軸：SUS304（接液部）<br>●ケーシング：SCS13<br><br>■セット内容・付属品<br>●ファインセンサー<br>●アキュムレータ<br>●ベース<br>●カバー<br>●相フランジ<br>●ストレーナー<br>●アース棒<br>●電源コード,川本　家庭用インバータ式井戸ポンプ（ソフトカワエース）　ＮＦ２４００ＴＫ：GAOS　楽天市場店,川本　家庭用インバータ式井戸ポンプ（ソフトカワエース）　ＮＦ２４００ＴＫ,川本　家庭用インバータ式井戸ポンプ（ソフトカワエース）　ＮＦ２４００ＴＫ[rn]
27-9495,http://tshop.r10s.jp/egaos/cabinet/trusco-c/2/2273420.jpg?fitin=700:700,26255.2000,,花・ガーデン・DIY > DIY・工具 > その他,寺田　水中汚物ポンプ　単相１００Ｖ　５０Ｈｚ　ＳＡ１５０Ｃ,,■用途<br>●建設土木用。<br>●汚水・排水処理用。<br><br>■特長<br>●メカニカルシールにオイルバス方式を採用しています。<br>●電動機保護装置を内蔵しています。<br>●ポンプ効率を上げるスパイラル方式です。<br>●ポンプ部は、オール強化プラスチック製です。<br>●最低水位25mmまで排水可能です。（非自動の場合）<br><br>■仕様<br>●吐出量(L/min):80<br>●全揚程(m):5<br>●周波数(Hz):50<br>●口径(mm):32<br>●電源(V):単相100<br>●電流(A):3.6<br>●出力(kW):0.15<br>●電源コード長さ:4m<br>●自動運転形<br>●停止水位:100mm<br>●起動水位:300mm,寺田　水中汚物ポンプ　単相１００Ｖ　５０Ｈｚ　ＳＡ１５０Ｃ：GAOS　楽天市場店,寺田　水中汚物ポンプ　単相１００Ｖ　５０Ｈｚ　ＳＡ１５０Ｃ,寺田　水中汚物ポンプ　単相１００Ｖ　５０Ｈｚ　ＳＡ１５０Ｃ[rn]
27-9496,http://tshop.r10s.jp/egaos/cabinet/trusco-c/2/4784685.jpg?fitin=700:700,70988.8000,,花・ガーデン・DIY > DIY・工具 > その他,川本　排水用樹脂製水中ポンプ（汚物用）　ＷＵＯ３５０６０．７５ＬＮＧ,,■用途<br>●汚水・汚物・湧き水の排水用。<br>●ピット排水用。<br>●浄化槽排水用。<br><br>■特長<br>●ポンプ部の樹脂化、ステンレス製モータフレームの採用により、軽くて取り扱いも容易です。<br>●樹脂、ステンレスの採用により腐食に強く超寿命です。<br>●異物通過性能に優れたボルテックスタイプ、しかも高い揚水性能を発揮します。<br>●起動・停止水位調整が可能です。<br><br>■仕様<br>●吐出量(L/min):50<br>●全揚程(m):14.2<br>●周波数(Hz):60<br>●口径(mm):50<br>●電源(V):三相200<br>●電流(A):3.7<br>●出力(kW):0.75<br>●モータ:乾式水中モータ、単相100V、三相200Ｖ、同期回転速度3600min-1(三相400V品についてはお問合せ下さい。)<br>●電源コード長さ:6m（1.5kW以上:10m）<br>●液質:汚水・汚物水0～40℃<br><br>■材質・仕上げ<br>●インペラ：樹脂<br>●主軸：SUS304（接液部）<br>●ケーシング：樹脂<br><br>■セット内容・付属品<br>●相フランジ（樹脂製）<br>●水中ケーブル（6ｍ）<br>●液面スイッチ,川本　排水用樹脂製水中ポンプ（汚物用）　ＷＵＯ３５０６０．７５ＬＮＧ：GAOS　楽天市場店,川本　排水用樹脂製水中ポンプ（汚物用）　ＷＵＯ３５０６０．７５ＬＮＧ,川本　排水用樹脂製水中ポンプ（汚物用）　ＷＵＯ３５０６０．７５ＬＮＧ[rn]
27-9497,http://tshop.r10s.jp/egaos/cabinet/trusco-c/2/4550323.jpg?fitin=700:700,123366.4000,,花・ガーデン・DIY > DIY・工具 > その他,アクアシステム　吐出吸入兼用　エア式ドラムポンプ　軽油・ガソリン　（切替式）　ＡＰＤＸ２５Ｇ,,■用途<br>●ガソリン・灯油・軽油・潤滑油・作動油。<br><br>■特長<br>●電動やエアモーター式では困難な高粘度液体や防爆対策が必要な液体の出し入れに最適です。<br>●レバー1本で吸入・吐出の切替可能です。<br>●内圧が確認できる圧力計付です。<br>●二重の安全弁機構です。<br>●吐出は缶内に減圧注入したエア圧で押し出す方式です。吸入はエジェクタで缶内を負圧にし液体を吸引する方式です。<br><br>■仕様<br>●吐出量(L/min):70<br>●揚程(m):2<br>●使用空気圧(MPa):0.1～1<br>●吸入量(L/min):50<br>●タイプ:吐出・吸入兼用<br>●ホース:25A×2000mm<br>●コンプレッサー容量:吐出時1馬力以上、吸入時3馬力以上<br>●使用可能粘度:3000mPa・S<br>●エア接続口:R3/8（プラグ付）<br>●吐出・吸入兼用<br>●アース線付<br>●ホース延長可能<br><br>■材質・仕上げ<br>●本体:アルミ<br>●ホース:耐油ゴム<br>●パッキン:ニトリルゴム（NBR）<br><br>■注意事項<br>●ドラム缶内を真空にする為、必ず密閉状態にして下さい。,アクアシステム　吐出吸入兼用　エア式ドラムポンプ　軽油・ガソリン　（切替式）　ＡＰＤＸ２５Ｇ：GAOS　楽天市場店,アクアシステム　吐出吸入兼用　エア式ドラムポンプ　軽油・ガソリン　（切替式）　ＡＰＤＸ２５Ｇ,アクアシステム　吐出吸入兼用　エア式ドラムポンプ　軽油・ガソリン　（切替式）　ＡＰＤＸ２５Ｇ[rn]
27-9498,http://tshop.r10s.jp/egaos/cabinet/trusco-c/2/4195094.jpg?fitin=700:700,7776.0000,,花・ガーデン・DIY > DIY・工具 > その他,エドワーズ　エルボ　ＮＷ２５　Ｃ１０５１４４２０,,■用途<br>●真空配管部品<br><br>■仕様<br>●フランジサイズ:NW25<br>●A(mm):50<br>●NW25用、角度90度、ステンレス<br><br>■材質・仕上げ<br>●ステンレス（AISI316L/SUS316L),エドワーズ　エルボ　ＮＷ２５　Ｃ１０５１４４２０：GAOS　楽天市場店,エドワーズ　エルボ　ＮＷ２５　Ｃ１０５１４４２０,エドワーズ　エルボ　ＮＷ２５　Ｃ１０５１４４２０[rn]
27-9499,http://tshop.r10s.jp/egaos/cabinet/trusco-c/2/4407245.jpg?fitin=700:700,67284.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＳＵＢＡＲＵ　エンジンポンプＳＷＰシリーズ　ＳＷＰ８０ＳＴ,,■用途<br>●建設土木工事用。<br><br>■特長<br>●信頼性と耐久性を誇るスバル4サイクルエンジンを搭載しています。<br>●摩耗に強く、土木・建設現場などでの土砂混じりの水の吸・排水に適しています。<br><br>■仕様<br>●吐出量(L/min):930<br>●全揚程(m):28<br>●口径(mm):80<br>●常用出力(kW/rpm):2.9/3600<br>●最大出力(kW/rpm):4.2/4000<br>●エンジン形式メーカー:スバル<br>●エンジン形式タイプ:EX17<br>●燃料タンク容量(L):3.2<br>●満タンで使用可能な時間(分):120<br>●騒音値(dB):108<br>●使用燃料:自動車用無鉛ガソリン<br>●ホースは付属しておりません。<br><br>■セット内容・付属品<br>●ストレーナー1個<br>●ホースバンド3個<br>●樹脂ワンタッチカップリング2個<br><br>■注意事項<br>●騒音値はLwA(ISO国際基準）にて測定の値です。,ＳＵＢＡＲＵ　エンジンポンプＳＷＰシリーズ　ＳＷＰ８０ＳＴ：GAOS　楽天市場店,ＳＵＢＡＲＵ　エンジンポンプＳＷＰシリーズ　ＳＷＰ８０ＳＴ,ＳＵＢＡＲＵ　エンジンポンプＳＷＰシリーズ　ＳＷＰ８０ＳＴ[rn]
27-9500,http://tshop.r10s.jp/egaos/cabinet/trusco-c/2/3652149.jpg?fitin=700:700,3304.8000,,花・ガーデン・DIY > DIY・工具 > その他,ＵＬＶＡＣ　クイックカップリングクランプ　ＺＳＣＫ１０４０,,<br><br>■仕様<br>●フランジサイズ:KF-40<br>●A(mm):70<br>●B(mm):90<br>●C(mm):16<br>●D(mm):47<br><br>■材質・仕上げ<br>●アルミニウム,ＵＬＶＡＣ　クイックカップリングクランプ　ＺＳＣＫ１０４０：GAOS　楽天市場店,ＵＬＶＡＣ　クイックカップリングクランプ　ＺＳＣＫ１０４０,ＵＬＶＡＣ　クイックカップリングクランプ　ＺＳＣＫ１０４０[rn]
