14-194901,http://tshop.r10s.jp/ii-sakura/cabinet/01163987/xptu01-r1.jpg?fitin=700:700,68400.8000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,TOTO【XPTU01】小便器用手すりセット,,"<br>幅600、φ34<br>
ステンレス＋軟質樹脂およびステンレス塗装仕上げ<br>
耐荷重：垂直荷重1.5kN 水平荷重800N　<br>
※取付金具含む<br>",TOTO【XPTU01】小便器用手すりセット：あいあいショップさくら,TOTO【XPTU01】小便器用手すりセット,TOTO【XPTU01】小便器用手すりセット[rn]
14-194983,http://tshop.r10s.jp/ii-sakura/cabinet/01140762/cfs469vna-r1.jpg?fitin=700:700,53235.2000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,TOTO　パブリックリモデル便器【CFS469VNA】排水心255mm,,"<font color=""red"">商品の詳細についてはTOTOホームページまたは、下記までお問い合わせください。<br>
  TOTO お客様相談室<br>
  フリーダイヤル　０１２０-０３-１０１０</font><br><br>
●便器部【CS465】<br>●給水部【TV760SPR】<br>
●フラッシュバルブ・水道水・壁<br>
※こちらの商品は代引きのお取り扱いができません。<br>
ご入金確認後の発送となります。<br>",TOTO　パブリックリモデル便器【CFS469VNA】排水心255mm：あいあいショップさくら,TOTO　パブリックリモデル便器【CFS469VNA】排水心255mm,TOTO　パブリックリモデル便器【CFS469VNA】排水心255mm[rn]
14-194984,http://tshop.r10s.jp/ii-sakura/cabinet/youki4/cs230b-sh231basc1.jpg?fitin=700:700,37039.2000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,###TOTO ピュアレストQR【CS230BM+SH231BN】SC1パステルアイボリー 水抜方式 床排水 手洗あり (旧品番 CS220BM+SH221BNS),便器\TOTO\組み合わせ便器,"<font size=""4"" color=""""><b>※こちらの商品はご入金確認後のお手配です。代引きでのお取り扱いはできません。</b></font><br><br>
●商品画像はイメージです。ご注文の際は、型番、色、寸法等お確かめの上ご注文ください。<br>
※商品は便器とタンクの組み合わせとなっております。便座は商品に含まれておりませんのでご注意ください。<br>●排水方向：床排水<br>●手洗あり<br>●止水栓同梱<br>●フィルターユニットなし<br>●排水心：305mm～540mm",###TOTO ピュアレストQR【CS230BM+SH231BN】SC1パステルアイボリー 水抜方式 床排水 手洗あり (旧品番 CS220BM+SH221BNS)：あいあいショップさくら,###TOTO ピュアレストQR【CS230BM+SH231BN】SC1パステルアイボリー 水抜方式 床排水 手洗あり (旧品番 CS220BM+SH221BNS),便器\TOTO\組み合わせ便器。###TOTO ピュアレストQR【CS230BM+SH231BN】SC1パステルアイボリー 水抜方式 床排水 手洗あり (旧品番 CS220BM+SH221BNS)[rn]
14-194985,http://tshop.r10s.jp/ii-sakura/cabinet/01163987/cs140-r1.jpg?fitin=700:700,8467.2000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,##TOTO　【CS140】腰掛式便器　便器のみ,,"<font size=""4"" color=""#0033ff""><b>※こちらの商品はメーカー直送品となります。ご入金確認後のお手配です。</b></font><br>
<br>●画像はイメージ画像となります。ご注文の際は、型番、色、寸法等お確かめの上ご注文ください。<br>",##TOTO　【CS140】腰掛式便器　便器のみ：あいあいショップさくら,##TOTO　【CS140】腰掛式便器　便器のみ,##TOTO　【CS140】腰掛式便器　便器のみ[rn]
14-194986,http://tshop.r10s.jp/ii-sakura/cabinet/ayaka8/img61227243.jpg?fitin=700:700,56451.2000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,##TOTO　ピュアレストEX【CS325BPR+SH321BNS】排水芯155ｍｍ　水抜方式（室内暖房機併用・寒冷地仕様）　手洗いあり（旧品番CS325BP+SH321BNS）,便器\TOTO\組み合わせ便器,<br><b>※こちらの商品は代引きでのお取り扱いはできません。ご入金確認後のお手配です。</b><br>,##TOTO　ピュアレストEX【CS325BPR+SH321BNS】排水芯155ｍｍ　水抜方式（室内暖房機併用・寒冷地仕様）　手洗いあり（旧品番CS325BP+SH321BNS）：あいあいショップさくら,##TOTO　ピュアレストEX【CS325BPR+SH321BNS】排水芯155ｍｍ　水抜方式（室内暖房機併用・寒冷地仕様）　手洗いあり（旧品番CS325BP+SH321BNS）,便器\TOTO\組み合わせ便器。##TOTO　ピュアレストEX【CS325BPR+SH321BNS】排水芯155ｍｍ　水抜方式（室内暖房機併用・寒冷地仕様）　手洗いあり（旧品番CS325BP+SH321BNS）[rn]
14-194987,http://tshop.r10s.jp/ii-sakura/cabinet/morishima1/tcf5523ar.jpg?fitin=700:700,68644.8000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,TOTO ウォシュレット【TCF5523AGR】セット品番(TCF5523AR+TCA259R)エコリモコン(旧品番TCF5523AG),便器\TOTO\組み合わせ便器,<br><br>,TOTO ウォシュレット【TCF5523AGR】セット品番(TCF5523AR+TCA259R)エコリモコン(旧品番TCF5523AG)：あいあいショップさくら,TOTO ウォシュレット【TCF5523AGR】セット品番(TCF5523AR+TCA259R)エコリモコン(旧品番TCF5523AG),便器\TOTO\組み合わせ便器。TOTO ウォシュレット【TCF5523AGR】セット品番(TCF5523AR+TCA259R)エコリモコン(旧品番TCF5523AG)[rn]
14-194988,http://tshop.r10s.jp/ii-sakura/cabinet/morishima1/tcf5533ar.jpg?fitin=700:700,73118.4000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,TOTO ウォシュレット【TCF5533AUR】セット品番(TCF5533AR+TCA261R)エコリモコン(旧品番TCF5533AU),便器\TOTO\組み合わせ便器,<br><br>,TOTO ウォシュレット【TCF5533AUR】セット品番(TCF5533AR+TCA261R)エコリモコン(旧品番TCF5533AU)：あいあいショップさくら,TOTO ウォシュレット【TCF5533AUR】セット品番(TCF5533AR+TCA261R)エコリモコン(旧品番TCF5533AU),便器\TOTO\組み合わせ便器。TOTO ウォシュレット【TCF5533AUR】セット品番(TCF5533AR+TCA261R)エコリモコン(旧品番TCF5533AU)[rn]
14-194989,http://tshop.r10s.jp/ii-sakura/cabinet/youki7/tca281.jpg?fitin=700:700,1078.4000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,TOTO フレグランスセット【TCA281】石けん,便器\TOTO\ネオレスト\部材,"<br>ケース+トレー+フレグランスシート8枚(約8か月分)<br>
心地よい香りでトイレを演出。香りのトレーをセットして使うオリジナル芳香剤。<br>
オートパワー脱臭中も効果が続くため、次に使う方へのエチケットにも。<br>",TOTO フレグランスセット【TCA281】石けん：あいあいショップさくら,TOTO フレグランスセット【TCA281】石けん,便器\TOTO\ネオレスト\部材。TOTO フレグランスセット【TCA281】石けん[rn]
14-194990,http://tshop.r10s.jp/ii-sakura/cabinet/youki4/cs230b-sh231basc1.jpg?fitin=700:700,30119.2000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,###◆在庫有り！台数限定！TOTO ピュアレストQR【CS230BM+SH231BA】SC1パステルアイボリー 一般地用 床排水 手洗あり (旧品番 CS220BM+SH221BAS),便器\TOTO\組み合わせ便器,"<font size=""4"" color=""""><b>※こちらの商品はご入金確認後のお手配です。代引きでのお取り扱いはできません。</b></font><br><br>
●商品画像はイメージです。ご注文の際は、型番、色、寸法等お確かめの上ご注文ください。<br>
※商品は便器とタンクの組み合わせとなっております。便座は商品に含まれておりませんのでご注意ください。<br>●排水方向：床排水<br>●手洗あり<br>●止水栓同梱<br>●フィルターユニットなし<br>●排水心：305mm～540mm",###◆在庫有り！台数限定！TOTO ピュアレストQR【CS230BM+SH231BA】SC1パステルアイボリー 一般地用 床排水 手洗あり (旧品番 CS220BM+SH221BAS)：あいあいショップさくら,###◆在庫有り！台数限定！TOTO ピュアレストQR【CS230BM+SH231BA】SC1パステルアイボリー 一般地用 床排水 手洗あり (旧品番 CS220BM+SH221BAS),便器\TOTO\組み合わせ便器。###◆在庫有り！台数限定！TOTO ピュアレストQR【CS230BM+SH231BA】SC1パステルアイボリー 一般地用 床排水 手洗あり (旧品番 CS220BM+SH221BAS)[rn]
14-194991,http://tshop.r10s.jp/ii-sakura/cabinet/youki4/cfs464mjna.jpg?fitin=700:700,93455.2000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,###TOTO パブリックコンパクト便器・フラッシュバルブ式【CFS464MDNA】オートクリーンC コンビネーションタイプ 露出タイプ 水道水 壁給水,便器\TOTO\組み合わせ便器,"<font size=""4"" color=""""><b>※こちらの商品はご入金確認後のお手配です。代引きでのお取り扱いはできません。</b></font><br><br>
●オートクリーンC自動バルブユニットコンビネーションタイプ <br>露出タイプ AC100Vタイプ<br>水道水 壁給水<br>●セット内訳：便器部：CS464M+給水部：TEV10U(大小切り替え洗浄・自動洗浄なし)<br>※スイッチユニットが別途必要です<br><b>※商品は便器部と給水部のセットです。便座は含まれておりません。</b><br>●画像はイメージ画像となります。ご注文の際は、型番、色、寸法等お確かめの上ご注文ください。<br>",###TOTO パブリックコンパクト便器・フラッシュバルブ式【CFS464MDNA】オートクリーンC コンビネーションタイプ 露出タイプ 水道水 壁給水：あいあいショップさくら,###TOTO パブリックコンパクト便器・フラッシュバルブ式【CFS464MDNA】オートクリーンC コンビネーションタイプ 露出タイプ 水道水 壁給水,便器\TOTO\組み合わせ便器。###TOTO パブリックコンパクト便器・フラッシュバルブ式【CFS464MDNA】オートクリーンC コンビネーションタイプ 露出タイプ 水道水 壁給水[rn]
14-194992,http://tshop.r10s.jp/ii-sakura/cabinet/youki4/cs230b-sh231basr2.jpg?fitin=700:700,34822.4000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,###TOTO ピュアレストQR【CS230BP+SH231BAK】SR2パステルピンク 一般地用 壁排水 手洗あり 受注約2週 (旧品番 CS220BP+SH221BAKS),便器\TOTO\組み合わせ便器,"<font size=""4"" color=""#ff00ff""><b>受注生産品</b>(納期約2週間)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はご入金確認後のお手配です。代引きでのお取り扱いはできません。</b></font><br><br>
●商品画像はイメージです。ご注文の際は、型番、色、寸法等お確かめの上ご注文ください。<br>
※商品は便器とタンクの組み合わせとなっております。便座は商品に含まれておりませんのでご注意ください。<br>●排水方向：壁排水<br>●手洗あり<br>●止水栓なし<br>●フィルターユニット同梱<br>●排水心：120mm",###TOTO ピュアレストQR【CS230BP+SH231BAK】SR2パステルピンク 一般地用 壁排水 手洗あり 受注約2週 (旧品番 CS220BP+SH221BAKS)：あいあいショップさくら,###TOTO ピュアレストQR【CS230BP+SH231BAK】SR2パステルピンク 一般地用 壁排水 手洗あり 受注約2週 (旧品番 CS220BP+SH221BAKS),便器\TOTO\組み合わせ便器。###TOTO ピュアレストQR【CS230BP+SH231BAK】SR2パステルピンク 一般地用 壁排水 手洗あり 受注約2週 (旧品番 CS220BP+SH221BAKS)[rn]
14-194993,http://tshop.r10s.jp/ii-sakura/cabinet/youki6/xgha17rs2jgzr.jpg?fitin=700:700,63319.2000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,パナソニック アラウーノ専用手洗い【XGHA17RS2JGZR】(エクセルホワイト柄) キャビネットタイプ 右設置 タイプB(木目) 自動水栓,便器\パナソニック\トイレ手洗い・収納,"<br><font size=""4""><b>※商品画像は代表型番のイメージです。型番通りのお手配になります。（色・形）等、確認の上ご注文下さい。</b></font><br>
<br><br>セット内訳<br>手洗い本体：GHA7FR2JR<br>カウンター：GHA17RCGZ<br>配管：GHA110<br>本体用扉(タオルバー付)：GHA1T2GZ<br><br>
ご注意事項<br>
●水圧確認のお願い：手洗器付きの場合、水圧0.1MPa(19L/分 流動時)以上に設置してください。<br>
●施工の際は設置される壁面の裏側に補強桟を入れるか、板厚12mm以上の合板で壁面補強してください。<br>
●新型アラウーノ・アラウーノSII・NewアラウーノV壁補排水タイプ 155タイプと組み合わせる場合は、縦の配管を現場カットしてください。(詳しくは施工説明書をご確認ください)<br>
●リフォームなどで便器本体を基準位置より壁から離して設置する場合には、カウンタータイプかコーナータイプの10cm前出しタイプが設置可能です。<br>
●カウンターは現場カットができます(1260～1700mm)。<br>
●手洗い本体は、キャビネットに給排水管を通す穴が加工されているため、左勝手用(L)と右勝手用(R)で仕様が異なります。<br>
●キャビネットの扉の開く向きにより、ドアや壁と干渉するおそれがあります。<br>
●キャビネットに背板はありません。<br>
●新型アラウーノ アームレスト付きを併用する場合、部屋の大きさにより対応できない場合があります。<br>
●止水栓位置が右の場合、便器側は延長給水ホース(連結用ニップル付き)CH100R01(1m)が必要です。<br>
●ペーパーホルダーの取り付け位置は現場でご確認ください。手洗いの反対側の壁に取り付けることをおすすめします。<br>",パナソニック アラウーノ専用手洗い【XGHA17RS2JGZR】(エクセルホワイト柄) キャビネットタイプ 右設置 タイプB(木目) 自動水栓：あいあいショップさくら,パナソニック アラウーノ専用手洗い【XGHA17RS2JGZR】(エクセルホワイト柄) キャビネットタイプ 右設置 タイプB(木目) 自動水栓,便器\パナソニック\トイレ手洗い・収納。パナソニック アラウーノ専用手洗い【XGHA17RS2JGZR】(エクセルホワイト柄) キャビネットタイプ 右設置 タイプB(木目) 自動水栓[rn]
14-194994,http://tshop.r10s.jp/ii-sakura/cabinet/youki6/xgha17rs2jxtl.jpg?fitin=700:700,88481.6000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,###パナソニック アラウーノ専用手洗い【XGHA17RS2JXTL7】(ウォールナット柄) 寒冷地 キャビネットタイプ 左設置 タイプA(ベリティス木目柄) 自動水栓 受注生産,便器\パナソニック\トイレ手洗い・収納,"<font size=""4"" color=""#ff00ff""><b>受注生産品</b>(納期約1週間)</font><br><br>
<font size=""4"" color=""""><b>※こちらの商品はご入金確認後のお手配です。代引きでのお取り扱いはできません。</b></font><br><br>
<br><font size=""4""><b>※商品画像は代表型番のイメージです。型番通りのお手配になります。（色・形）等、確認の上ご注文下さい。</b></font><br>
<br><br>セット内訳<br>手洗い本体：GHA7FR2JL7<br>カウンター：GHA17RCXT<br>配管：GHA110<br>本体用扉(タオルバー付)：GHA1T2XT<br><br>
ご注意事項<br>
●水圧確認のお願い：手洗器付きの場合、水圧0.1MPa(19L/分 流動時)以上に設置してください。<br>
●施工の際は設置される壁面の裏側に補強桟を入れるか、板厚12mm以上の合板で壁面補強してください。<br>
●新型アラウーノ・アラウーノSII・NewアラウーノV壁補排水タイプ 155タイプと組み合わせる場合は、縦の配管を現場カットしてください。(詳しくは施工説明書をご確認ください)<br>
●リフォームなどで便器本体を基準位置より壁から離して設置する場合には、カウンタータイプかコーナータイプの10cm前出しタイプが設置可能です。<br>
●カウンターは現場カットができます(1260～1700mm)。<br>
●手洗い本体は、キャビネットに給排水管を通す穴が加工されているため、左勝手用(L)と右勝手用(R)で仕様が異なります。<br>
●キャビネットの扉の開く向きにより、ドアや壁と干渉するおそれがあります。<br>
●キャビネットに背板はありません。<br>
●新型アラウーノ アームレスト付きを併用する場合、部屋の大きさにより対応できない場合があります。<br>
●止水栓位置が右の場合、便器側は延長給水ホース(連結用ニップル付き)CH100R01(1m)が必要です。<br>
●ペーパーホルダーの取り付け位置は現場でご確認ください。手洗いの反対側の壁に取り付けることをおすすめします。<br><br><br>※ご注意(タイプA ベリティス木目柄のご採用にあたって)<br>
節や心材と辺材の色味の違いなど、それぞれの木が本来持つ個性をシートに表現しています。<br>
そのため、隣り合う扉面および、プラン全体として柄が大きくばらつく場合や、逆につながる場合があります。<br>",###パナソニック アラウーノ専用手洗い【XGHA17RS2JXTL7】(ウォールナット柄) 寒冷地 キャビネットタイプ 左設置 タイプA(ベリティス木目柄) 自動水栓 受注生産：あいあいショップさくら,###パナソニック アラウーノ専用手洗い【XGHA17RS2JXTL7】(ウォールナット柄) 寒冷地 キャビネットタイプ 左設置 タイプA(ベリティス木目柄) 自動水栓 受注生産,便器\パナソニック\トイレ手洗い・収納。###パナソニック アラウーノ専用手洗い【XGHA17RS2JXTL7】(ウォールナット柄) 寒冷地 キャビネットタイプ 左設置 タイプA(ベリティス木目柄) 自動水栓 受注生産[rn]
14-194995,http://tshop.r10s.jp/ii-sakura/cabinet/youki7/tcm484n.jpg?fitin=700:700,1752.8000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,TOTO 便座・便ふた取り替えパーツ【TCM484-3N】07 ウォシュレット一体形取替機能部用便ふた,便器\TOTOトイレ部材,<br>使用対象商品 （TCF902GLR）<br>,TOTO 便座・便ふた取り替えパーツ【TCM484-3N】07 ウォシュレット一体形取替機能部用便ふた：あいあいショップさくら,TOTO 便座・便ふた取り替えパーツ【TCM484-3N】07 ウォシュレット一体形取替機能部用便ふた,便器\TOTOトイレ部材。TOTO 便座・便ふた取り替えパーツ【TCM484-3N】07 ウォシュレット一体形取替機能部用便ふた[rn]
14-194996,http://tshop.r10s.jp/ii-sakura/cabinet/kotomi4/tch796s.jpg?fitin=700:700,2868.8000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,TOTO【TCH796-1S】 便座・便ふた取り替えパーツ 普通便座  用便ふた,便器\TOTOトイレ部材,"<br>使用対象商品<br>TC291<br><br><font size=""4""><b>※商品画像は代表型番のイメージです。型番通りのお手配になります。（色・形）等、確認の上ご注文下さい。</b></font><br><br>",TOTO【TCH796-1S】 便座・便ふた取り替えパーツ 普通便座  用便ふた：あいあいショップさくら,TOTO【TCH796-1S】 便座・便ふた取り替えパーツ 普通便座  用便ふた,便器\TOTOトイレ部材。TOTO【TCH796-1S】 便座・便ふた取り替えパーツ 普通便座  用便ふた[rn]
14-194997,http://tshop.r10s.jp/ii-sakura/cabinet/youki7/tcm153s.jpg?fitin=700:700,1208.8000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,TOTO 便座・便ふた取り替えパーツ【TCM153-17S】05 ZK用便ふた,便器\TOTOトイレ部材,<br>使用対象商品 （TCF9002LE）<br>,TOTO 便座・便ふた取り替えパーツ【TCM153-17S】05 ZK用便ふた：あいあいショップさくら,TOTO 便座・便ふた取り替えパーツ【TCM153-17S】05 ZK用便ふた,便器\TOTOトイレ部材。TOTO 便座・便ふた取り替えパーツ【TCM153-17S】05 ZK用便ふた[rn]
14-194998,http://tshop.r10s.jp/ii-sakura/cabinet/youki7/tcm471n.jpg?fitin=700:700,1632.0000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,TOTO 便座・便ふた取り替えパーツ【TCM471N】07 S用便ふた,便器\TOTOトイレ部材,<br>使用対象商品 （TCF6131R系）<br>,TOTO 便座・便ふた取り替えパーツ【TCM471N】07 S用便ふた：あいあいショップさくら,TOTO 便座・便ふた取り替えパーツ【TCM471N】07 S用便ふた,便器\TOTOトイレ部材。TOTO 便座・便ふた取り替えパーツ【TCM471N】07 S用便ふた[rn]
14-194999,http://tshop.r10s.jp/ii-sakura/cabinet/youki7/tcm485s.jpg?fitin=700:700,1752.8000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,TOTO 便座・便ふた取り替えパーツ【TCM485-8S】07 Z用便ふた,便器\TOTOトイレ部材,<br>使用対象商品 （TCF9053HR）<br>,TOTO 便座・便ふた取り替えパーツ【TCM485-8S】07 Z用便ふた：あいあいショップさくら,TOTO 便座・便ふた取り替えパーツ【TCM485-8S】07 Z用便ふた,便器\TOTOトイレ部材。TOTO 便座・便ふた取り替えパーツ【TCM485-8S】07 Z用便ふた[rn]
14-195000,http://tshop.r10s.jp/ii-sakura/cabinet/kotomi4/tcm1445r.jpg?fitin=700:700,1920.0000,,花・ガーデン・DIY > 住宅建材・設備 > トイレ用設備 > その他,TOTO【TCM1445-3R】 便座・便ふた取り替えパーツ 14 PS・P 用便ふた,便器\TOTOトイレ部材,"<br>使用対象商品<br>TCF5503系<br><br><font size=""4""><b>※商品画像は代表型番のイメージです。型番通りのお手配になります。（色・形）等、確認の上ご注文下さい。</b></font><br><br>",TOTO【TCM1445-3R】 便座・便ふた取り替えパーツ 14 PS・P 用便ふた：あいあいショップさくら,TOTO【TCM1445-3R】 便座・便ふた取り替えパーツ 14 PS・P 用便ふた,便器\TOTOトイレ部材。TOTO【TCM1445-3R】 便座・便ふた取り替えパーツ 14 PS・P 用便ふた[rn]
