14-188801,http://tshop.r10s.jp/bebike/cabinet/shimano/y04110000_1.jpg?fitin=700:700,728.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,シマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike,プレミアムグリス 50g (Y04110000) シマノ　自転車 グリス,"プレミアムグリス 50g （旧名称：デュラエースグリス） (Y04110000) シマノ<br><BR><BR>耐水性・耐熱性・耐圧性にすぐれ水や汚れの侵入を防ぎ、製品本来の性能を十分に発揮させます。稼働部の抵抗を減らし、ゴムシール部を傷める恐れもありません。<BR><BR>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/shimano7/premiumgrease.jpg""><br>
<table width=""100%"" cellpadding=""10"">
  <tr>
    <td>プレミアムグリス 50g Y04110000</td>
  </tr>
  <tr>
    <td>プレミアムグリス 100g チューブ入り Y04110200</td>
  </tr>
  <tr>
    <td> プレミアムグリス 500g Y04110010 </td>
  </tr>
</table>",シマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイシマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike,プレミアムグリス 50g (Y04110000) シマノ　自転車 グリス。シマノ プレミアムグリス 50g Y04110000 【80】 自転車 グリス bebike[rn]
14-188812,http://tshop.r10s.jp/bebike/cabinet/option4/img61430586.jpg?fitin=700:700,1080.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,KURE チェーンクリーナー ジェット　チェーン洗浄液　520ml E-1604-12L(4972444016045) ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike,KURE チェーンクリーナー ジェット　チェーン洗浄液,"KURE チェーンクリーナー ジェット　チェーン洗浄液　520ml<br>
●「浸透力」・「洗浄力」・「ジェット噴射」3つの作用で細部の汚れまで速効洗浄。
●チェーンのリンクまでしっかり浸透し、こびり付いた汚れも溶解します。
●防錆剤配合により、洗浄後のサビの発生を抑制します。
●成分:石油系混合溶剤、アルコール類、防錆剤
●容量:520ml
 ●製品サイズ:240×Φ66(mm)
 ●製品重量:510g",KURE チェーンクリーナー ジェット　チェーン洗浄液　520ml E-1604-12L(4972444016045) ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイKURE チェーンクリーナー ジェット　チェーン洗浄液　520ml E-1604-12L(4972444016045) ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike,KURE チェーンクリーナー ジェット　チェーン洗浄液。KURE チェーンクリーナー ジェット　チェーン洗浄液　520ml E-1604-12L(4972444016045) ルブリカント  クレ工業  呉工業(クレコウギョウ)  自転車 bebike[rn]
14-188813,http://tshop.r10s.jp/bebike/cabinet/shimano3/shimano-greasegun.jpg?fitin=700:700,1268.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,グリスガン grease gun シマノ純正ルブリカント シマノ(R2LCGRSGUNX)  ケミカル  自転車 bebike,グリスガン　シマノ純正ルブリカント,"グリスガン grease gun シマノ純正ルブリカント シマノ(R2LCGRSGUNX)<BR>
<BR>
[特徴] 
扱いやすい軽量コンパクトタイプ手を汚さずに、ピンポイントにも適量を塗布できます。
<BR><BR>
[使用箇所]<BR> 
プレミアム グリスにセットして使用。<BR>",グリスガン grease gun シマノ純正ルブリカント シマノ(R2LCGRSGUNX)  ケミカル  自転車 bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイグリスガン grease gun シマノ純正ルブリカント シマノ(R2LCGRSGUNX)  ケミカル  自転車 bebike,グリスガン　シマノ純正ルブリカント。グリスガン grease gun シマノ純正ルブリカント シマノ(R2LCGRSGUNX)  ケミカル  自転車 bebike[rn]
14-188814,http://tshop.r10s.jp/bebike/cabinet/tool/wakos-v460.jpg?fitin=700:700,1520.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,WAKO'S（ワコーズ）FC フィルタークリーナー V460  ｜自転車 ルブリカント｜和光ケミカル｜自転車 ケミカル｜クリーナー｜フィルター クリーナー｜チェーン洗浄｜チェーン 洗浄｜ bebike,WAKO'S（ワコーズ）FC フィルタークリーナー V460,"WAKO'S（ワコーズ） FC フィルタークリーナー V460 ｜自転車 ルブリカント｜和光ケミカル｜自転車 ケミカル｜自転車 チェーン洗浄<br><br>【用途】<br>
湿式エアフィルター用洗浄剤（自転車 チェーン洗浄OK）<br><br>

【容量】<br>
1000ml（1リットル）<br> 
<br>
【特徴】<br>
湿式エアフィルター用の洗浄剤で、スポンジに付着した油汚れを簡単に取り除きます。材質を痛めないので安心して使用できます。また、自転車のチェーン洗浄にも使用できます。 <br>",WAKO'S（ワコーズ）FC フィルタークリーナー V460  ｜自転車 ルブリカント｜和光ケミカル｜自転車 ケミカル｜クリーナー｜フィルター クリーナー｜チェーン洗浄｜チェーン 洗浄｜ bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイWAKO'S（ワコーズ）FC フィルタークリーナー V460  ｜自転車 ルブリカント｜和光ケミカル｜自転車 ケミカル｜クリーナー｜フィルター クリーナー｜チェーン洗浄｜チェーン 洗浄｜ bebike,WAKO'S（ワコーズ）FC フィルタークリーナー V460  。WAKO'S（ワコーズ）FC フィルタークリーナー V460  ｜自転車 ルブリカント｜和光ケミカル｜自転車 ケミカル｜クリーナー｜フィルター クリーナー｜チェーン洗浄｜チェーン 洗浄｜ bebike[rn]
14-188815,http://tshop.r10s.jp/bebike/cabinet/option2/soyo-wiper-body.jpg?fitin=700:700,400.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,トゥルータッチワイパー  自転車ボディー用　12枚入り  おそうじクロス SOYO TYRE（ソーヨータイヤ）(4580319134031) 工具 自転車,トゥルータッチワイパー　自転車 洗車,"トゥルータッチワイパー 【自転車ボディー用　12枚入り】 おそうじクロス SOYO TYRE（ソーヨータイヤ） 【工具】<br><br>

自転車本体の洗浄・WAX<br>
・マイクロファイバーと特殊洗浄液が汚れをしっかり落とします。<br>
・光沢シリコンでWAX効果もあります<br>。
・いつでもどこでも簡単にお手入れが出来ます。<br> 
<br>
用途　：自転車本体の汚れ落とし<br>
材質　：ポリエステル系不織布<br>
成分　：特殊シリコン、界面活性剤、水<br>
サイズ　：200mm×285mm<br>
枚数　：12枚入り<br>",トゥルータッチワイパー  自転車ボディー用　12枚入り  おそうじクロス SOYO TYRE（ソーヨータイヤ）(4580319134031) 工具 自転車：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイトゥルータッチワイパー  自転車ボディー用　12枚入り  おそうじクロス SOYO TYRE（ソーヨータイヤ）(4580319134031) 工具 自転車,トゥルータッチワイパー　自転車 洗車。トゥルータッチワイパー  自転車ボディー用　12枚入り  おそうじクロス SOYO TYRE（ソーヨータイヤ）(4580319134031) 工具 自転車[rn]
14-188816,http://tshop.r10s.jp/bebike/cabinet/tool/wakos-v212.jpg?fitin=700:700,2960.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,WAKO'S（ワコーズ）NT ネジタイト V212  ｜自転車 ルブリカント｜和光ケミカル｜自転車 ケミカル bebike,【5400円(税込)以上送料無料】,,WAKO'S（ワコーズ）NT ネジタイト V212  ｜自転車 ルブリカント｜和光ケミカル｜自転車 ケミカル bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイWAKO'S（ワコーズ）NT ネジタイト V212  ｜自転車 ルブリカント｜和光ケミカル｜自転車 ケミカル bebike,【5400円(税込)以上送料無料】。WAKO'S（ワコーズ）NT ネジタイト V212  ｜自転車 ルブリカント｜和光ケミカル｜自転車 ケミカル bebike[rn]
14-188817,http://tshop.r10s.jp/bebike/cabinet/tool/evers-hc-33.jpg?fitin=700:700,720.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,EVERS ハンドクリーナー　（スクラブ配合）　HC-33 300ｇ｜自転車 ルブリカント｜エバーズ｜自転車 ケミカル bebike,【5400円(税込)以上送料無料】,"EVERS ハンドクリーナー　（スクラブ配合）　HC-33 300ｇ｜自転車 ルブリカント｜エバーズ｜自転車 ケミカル<br><br>

●ガンコな油汚れや臭いをきれいに落とす液状タイプのハンドクリーナーです。
●保湿成分アロエエキスと天然ハーブ配合により、手にやさしく香りもさわやかです。",EVERS ハンドクリーナー　（スクラブ配合）　HC-33 300ｇ｜自転車 ルブリカント｜エバーズ｜自転車 ケミカル bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイEVERS ハンドクリーナー　（スクラブ配合）　HC-33 300ｇ｜自転車 ルブリカント｜エバーズ｜自転車 ケミカル bebike,【5400円(税込)以上送料無料】。EVERS ハンドクリーナー　（スクラブ配合）　HC-33 300ｇ｜自転車 ルブリカント｜エバーズ｜自転車 ケミカル bebike[rn]
14-188818,http://tshop.r10s.jp/bebike/cabinet/tool/wakos-a160.jpg?fitin=700:700,1360.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,WAKO'S（ワコーズ） VG ブイジーグリース A160 300ml 和光ケミカル bebike,WAKO'S（ワコーズ） VG ブイジーグリース A160,"WAKO'S（ワコーズ） WAKO'S（ワコーズ） VG ブイジーグリース A160 300ml  ウレア系グリーススプレー 容量 300ml<br>
      <br>
      機械的安定性に優れたウレア系グリースで耐熱性・耐水性・耐摩耗性・耐薬品性に優れます。特殊な製造方法により、スプレー後ただちにグリース化するため、スプレー箇所にしっかり付着します。各種ジョイント部やヒンジ、バッテリーターミナル部などに使用でき、長期の防錆・潤滑性に優れています。",WAKO'S（ワコーズ） VG ブイジーグリース A160 300ml 和光ケミカル bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイWAKO'S（ワコーズ） VG ブイジーグリース A160 300ml 和光ケミカル bebike,WAKO'S（ワコーズ） VG ブイジーグリース A160 。WAKO'S（ワコーズ） VG ブイジーグリース A160 300ml 和光ケミカル bebike[rn]
14-188819,http://tshop.r10s.jp/bebike/cabinet/tool/evers-ep-2.jpg?fitin=700:700,1096.8000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,EVERS カーボン チェーンスプレー　ウエット EP-2 100ml ｜自転車 ルブリカント｜エバーズ｜自転車 ケミカル bebike,【5400円(税込)以上送料無料】,"EVERS カーボン チェーンスプレー　ウエット EP-2 100ml｜自転車 ルブリカント｜エバーズ｜自転車 ケミカル<br>

過酷な条件下でのオフロード走行や、長距離走行に最適な高粘度合成オイルを採用し たウェットタイプ潤滑剤。
「フッ化カーボン潤滑剤」の配合により、優れた潤滑性と耐磨耗性を発揮し、チェー ンの動きを良くし、変速をスムーズにします。
強力油膜保持剤の配合によりチェーン に良く付着し、砂やドロ水に耐えるので、オフロードの必需品です。
100%化学合成オイル採用により、チェーンのピン、ブッシュによく浸透し、またゴ ム、樹脂、シール、Oリング、パッキンを劣化させず、全ての可動部に使用できます。 オフロード、オンロード、どちらにも使用できます。",EVERS カーボン チェーンスプレー　ウエット EP-2 100ml ｜自転車 ルブリカント｜エバーズ｜自転車 ケミカル bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイEVERS カーボン チェーンスプレー　ウエット EP-2 100ml ｜自転車 ルブリカント｜エバーズ｜自転車 ケミカル bebike,【5400円(税込)以上送料無料】。EVERS カーボン チェーンスプレー　ウエット EP-2 100ml ｜自転車 ルブリカント｜エバーズ｜自転車 ケミカル bebike[rn]
14-188820,http://tshop.r10s.jp/bebike/cabinet/tool/wakos-a281-ssg-a.jpg?fitin=700:700,2880.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,WAKO'S（ワコーズ） SSG-A スーパーシリコーングリスA281 自転車 ルブリカント 和光ケミカル4938473012816 bebike,WAKO'S（ワコーズ） SSG-A スーパーシリコーングリスA281,"WAKO'S（ワコーズ） SSG-A スーパーシリコーングリスA281 自転車 ルブリカント 和光ケミカル4938473012816 <BR> 耐熱シリコーン・ブレーキグリース（エアゾール）／ 容量 220ml（専用ノズル付き）<br>
      <br>
      ワコーズ　スーパーシリコーングリースは、使用温度範囲（-40℃～280℃）が広く、耐熱性・耐久性・耐水性に優れており、長期に渡り潤滑を維持するブレーキ用グリースです。<br>
<br>
【用途】ディスク・ドラムブレーキの金属接触部の潤滑<br>
<br>

ホイールシリンダーのカップやブーツ、ブレーキキャリパーのピストンシール等のゴム部品の潤滑と組み付け 


<BR>
<br>
【使用上の注意】<br>

・ディスクパッドやブレーキシューの摩擦面（表面部）には、絶対に付着させないで下さい。<br>
・ピストンカップ・ピストンシール等のゴム部に塗布する場合は、ブレーキフルードに溶解しないので<br>
　極少量を薄く塗布してください。 
<br>
・用途以外では使用しないでください。",WAKO'S（ワコーズ） SSG-A スーパーシリコーングリスA281 自転車 ルブリカント 和光ケミカル4938473012816 bebike：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイWAKO'S（ワコーズ） SSG-A スーパーシリコーングリスA281 自転車 ルブリカント 和光ケミカル4938473012816 bebike,WAKO'S（ワコーズ） SSG-A スーパーシリコーングリスA281 。WAKO'S（ワコーズ） SSG-A スーパーシリコーングリスA281 自転車 ルブリカント 和光ケミカル4938473012816 bebike[rn]
14-188821,http://tshop.r10s.jp/bebike/cabinet/option16/most-0247990001.jpg?fitin=700:700,549.6000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,MOST チューブラータイヤヨウ　タイヤレバー 自転車 タイヤレバー パンク修理,MOST 自転車 タイヤレバー パンク修理,"MOST チューブラータイヤヨウ タイヤレバー 自転車 タイヤレバー パンク修理<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option16/most-0247990001.jpg"" width=""100%""><br>
<br>",MOST チューブラータイヤヨウ　タイヤレバー 自転車 タイヤレバー パンク修理：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイMOST チューブラータイヤヨウ　タイヤレバー 自転車 タイヤレバー パンク修理,MOST 自転車 タイヤレバー パンク修理。MOST チューブラータイヤヨウ　タイヤレバー 自転車 タイヤレバー パンク修理[rn]
14-188822,http://tshop.r10s.jp/bebike/cabinet/option16/most-0330760001.jpg?fitin=700:700,1523.2000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,MOST THE cLEVER プレミアムタイヤレバー(2本セット) 自転車 タイヤレバー パンク修理,MOST 自転車 タイヤレバー パンク修理,"MOST THE cLEVER プレミアムタイヤレバー(2本セット) 自転車 タイヤレバー パンク修理<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option16/most-0330760001.jpg"" width=""100%""><br>
<br>
<font size=""2""><br>
ナイロンとアルミのコンポジット構造のタイヤレバーで、リムに傷をつけにくく、曲がりにくいので力を掛けやすいタイヤレバー<br>
</font>
<br>",MOST THE cLEVER プレミアムタイヤレバー(2本セット) 自転車 タイヤレバー パンク修理：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイMOST THE cLEVER プレミアムタイヤレバー(2本セット) 自転車 タイヤレバー パンク修理,MOST 自転車 タイヤレバー パンク修理。MOST THE cLEVER プレミアムタイヤレバー(2本セット) 自転車 タイヤレバー パンク修理[rn]
14-188823,http://tshop.r10s.jp/bebike/cabinet/tire/irc-tire-lever.jpg?fitin=700:700,320.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,IRC オリジナルタイヤレバー 3本入り 井上ゴム (4571244743078) 自転車 タイヤ  クロスバイク  MTB  ロードバイク,【5400円(税込)以上送料無料】,IRC オリジナルタイヤレバー 3本入り 井上ゴム (4571244743078) 【自転車】【タイヤ】【クロスバイク】【MTB】【ロードバイク】,IRC オリジナルタイヤレバー 3本入り 井上ゴム (4571244743078) 自転車 タイヤ  クロスバイク  MTB  ロードバイク：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイIRC オリジナルタイヤレバー 3本入り 井上ゴム (4571244743078) 自転車 タイヤ  クロスバイク  MTB  ロードバイク,【5400円(税込)以上送料無料】。IRC オリジナルタイヤレバー 3本入り 井上ゴム (4571244743078) 自転車 タイヤ  クロスバイク  MTB  ロードバイク[rn]
14-188824,http://tshop.r10s.jp/bebike/cabinet/option14/parktool-vc-1.jpg?fitin=700:700,1070.4000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ParkTool (パークツール) VC-1 バルブコアツール 自転車 工具,ParkTool (パークツール)  自転車 工具,"ParkTool (パークツール) VC-1 バルブコアツール 自転車 工具<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option14/parktool-vc-1.jpg"" width=""100%""><br>
<br>
<table width=""100%"" border=""0"" cellpadding=""10"" cellspacing=""0"">
  <tr> 
    <td>タイヤチューブのバルブ用レンチ。<br>
米式や仏式のバルブコアの着脱や、仏式の延長バルブの取り付けにも便利な5mmのレンチがコンパクトにまとめられました。 <br>
※ 仏式のバルブにはバルブコアの着脱ができないものもあります。<br>
必ず作業前にご確認ください。     </td>
  </tr>
</table>",ParkTool (パークツール) VC-1 バルブコアツール 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイParkTool (パークツール) VC-1 バルブコアツール 自転車 工具,ParkTool (パークツール)  自転車 工具。ParkTool (パークツール) VC-1 バルブコアツール 自転車 工具[rn]
14-188825,http://tshop.r10s.jp/bebike/cabinet/baner/noimage.jpg?fitin=700:700,512.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ParkTool (パークツール) DCW-1 コーンレンチ 13X14mm 自転車 工具,ParkTool (パークツール)  自転車 工具,"ParkTool (パークツール) DCW-1 コーンレンチ 13X14mm 自転車 工具<br>
<br>
<table width=""100%"" border=""0"" cellpadding=""10"" cellspacing=""0"">
  <tr> 
    <td>両頭で使いやすいホームメカニック用ハブコンレンチです。 
     </td>
  </tr>
</table>
<br>
<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
  <tr valign=""top"" bgcolor=""#E8E8E8""> 
    <td colspan=""2"" valign=""top"">仕様</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">13×14mm</td></tr>
</table>",ParkTool (パークツール) DCW-1 コーンレンチ 13X14mm 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイParkTool (パークツール) DCW-1 コーンレンチ 13X14mm 自転車 工具,ParkTool (パークツール)  自転車 工具。ParkTool (パークツール) DCW-1 コーンレンチ 13X14mm 自転車 工具[rn]
14-188826,http://tshop.r10s.jp/bebike/cabinet/option14/parktool-sw-15.jpg?fitin=700:700,1476.0000,,スポーツ・アウトドア > 自転車・サイクリング > メンテナンス > その他,ParkTool (パークツール) SW-15 Y型ニップルレンチ 自転車 工具,ParkTool (パークツール)  自転車 工具,"ParkTool (パークツール) SW-15 Y型ニップルレンチ 自転車 工具<br>
<br>
<img src=""http://image.rakuten.co.jp/bebike/cabinet/option14/parktool-sw-15.jpg"" width=""100%""><br>
<br>
<table width=""100%"" border=""0"" cellpadding=""10"" cellspacing=""0"">
  <tr> 
    <td>リムの外側からニップルを回し振れ取り調整を行うホイール用のスポークレンチ。<br>
Ｙ字レンチにより十分なトルクと微調整のしやすさを可能にしました。    </td>
  </tr>
</table>
<br>
<table width=""100%"" border=""0"" cellpadding=""5"" cellspacing=""1"" bgcolor=""#333333"">
  <tr valign=""top"" bgcolor=""#E8E8E8""> 
    <td colspan=""2"" valign=""top"">仕様</td></tr>
  <tr valign=""top""> <td align=""left"" bgcolor=""#FFFFFF"">明細：六角 5/5.5mm、スクエア 3.2mm</td></tr>
    </table>",ParkTool (パークツール) SW-15 Y型ニップルレンチ 自転車 工具：Be.BIKE,自転車ピストライトパールイズミbebikeパーツパナレーサーシマノpolarフィジーク空気入れタイヤブレーキバイクタワー鍵サイクルウェアカギミノウラメンテナンスキャットアイParkTool (パークツール) SW-15 Y型ニップルレンチ 自転車 工具,ParkTool (パークツール)  自転車 工具。ParkTool (パークツール) SW-15 Y型ニップルレンチ 自転車 工具[rn]
