14-135701,http://tshop.r10s.jp/dcmonline/cabinet/a410/4977292274012.jpg?fitin=700:700,768.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,SK11 ストロングコンビプライヤー SCP-200S-H 200mm,【5千円以上で送料無料】【あす楽】,"●サイズ：200mm。●最大口開き：25mm。●切断能力：軟鋼線径2.6mm。●重量(約)：260(g)。 ●【用途】家庭内のメンテナンスから水道蛇口等の水まわり作業、自動車や機械の整備作業まで。●【機能・特長】歯部は高周波焼入れを施し、耐摩耗性に優れ確実なグリップ力を維持します。クロスカット加工により、従来品と比べ滑りに強く、縦・横・斜め方向ともに強力につかみます。歯部は高周波焼入れを施し、耐摩耗性に優れ確実なグリップ力を維持します。口開きは2段階調節でき、対象物に合わせて口幅調整が可能です。 非絶縁工具です。電気が流れているものには使用しないで下さい。本来の目的、用途以外での使用はしないで下さい。
作業時は保護メガネ、保護手袋を着用してください。刃部で対象物をキズつける恐れがあります。柔らかい素材やメッキ部分は特にご注意下さい。",SK11 ストロングコンビプライヤー SCP-200S-H 200mm：ＤＣＭオンライン,ホームセンターカーマダイキホーマックネットホームセンターホームセンター　通販工具KTC天馬アイリスオーヤマ藤原産業自転車カー用品DCMＤＣＭホールディングス日立工機ソフト９９ケルヒャーマキタフィッツSK11 ストロングコンビプライヤー SCP-200S-H 200mm,【5千円以上で送料無料】【あす楽】。SK11 ストロングコンビプライヤー SCP-200S-H 200mm[rn]
14-135712,,2554.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒（株）スリーピークス技研/スリーピークス 【DS-215TZ】(4698754)ダイヤ型トラスねじプライヤー２１５ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\小ねじプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●たて溝と先端くわえ部が変わってトラスねじにも対応しました。<br>●くいつきやすい先端形状とダイヤ型による3点支持で確実につかみます。<br>●全長(mm):215<br>●グリップ幅(mm):51<br>●先端幅(mm):27<br>●厚み(mm):13.0<br>●先端長さ(mm):31<br>●質量(g):350<br>●適応トラスねじ：M2～M4(DS-150TZ、DS-175TZ)、M2～M6(DS-215TZ)<br>●適応なべねじ：M1.6～M6(DS-150TZ、DS-175TZ)、M2.5～M8(DS-215TZ)<br>",『カード対応OK！』■〒（株）スリーピークス技研/スリーピークス 【DS-215TZ】(4698754)ダイヤ型トラスねじプライヤー２１５ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）スリーピークス技研/スリーピークス 【DS-215TZ】(4698754)ダイヤ型トラスねじプライヤー２１５ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\小ねじプライヤー。『カード対応OK！』■〒（株）スリーピークス技研/スリーピークス 【DS-215TZ】(4698754)ダイヤ型トラスねじプライヤー２１５ｍｍ 受注単位1[rn]
14-135713,,1768.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-160】(4713290)ペンチ １６０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平材および丸材のグリップゾーンがあり、様々な用途に使えます。<br>●ソフトおよびハードワイヤー用の切刃付きです。<br>●入念な焼入れ処理が施されたカッター部の硬度は約ＨＲＣ６０です。<br>●落下防止用ひも取付穴:無<br>●全長(mm):160<br>●切断能力(mm)硬線:φ2.0<br>●ハンドル:ソフトプラスチックコーティング<br>●質量(g):187<br>●切断能力(mm)軟硬線:φ3.1<br>●切断能力(mm)銅・アルミ:φ10.0<br>●切断能力(mm［［の2乗］］)銅・アルミ:16.0<br>●オイル焼き入れ焼き戻し処理済み高級特殊工具鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-160】(4713290)ペンチ １６０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-160】(4713290)ペンチ １６０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-160】(4713290)ペンチ １６０ｍｍ 受注単位1[rn]
14-135714,,2322.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0302-160】(4713338)ペンチ １６０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平材および丸材のグリップゾーンがあり、様々な用途に使えます。<br>●ソフトおよびハードワイヤー用の切刃付きです。<br>●入念な焼入れ処理が施されたカッター部の硬度は約ＨＲＣ６０です。<br>●落下防止用ひも取付穴:無<br>●全長(mm):160<br>●切断能力(mm)硬線:φ2.0<br>●ハンドル:コンフォートタイプ<br>●質量(g):223<br>●切断能力(mm)軟硬線:φ3.1<br>●切断能力(mm)銅・アルミ:φ10.0<br>●切断能力(mm［［の2乗］］)銅・アルミ:16.0<br>●オイル焼き入れ焼き戻し処理済み高級特殊工具鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0302-160】(4713338)ペンチ １６０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0302-160】(4713338)ペンチ １６０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0302-160】(4713338)ペンチ １６０ｍｍ 受注単位1[rn]
14-135715,,4491.2000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【PL-76C-TH】(4742117)高所用チェーンノーズプライヤー １６０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ノーズプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高所作業シリーズになります。<br>●ポリッシュ・ヘッドは錆や腐食に強く、長期の寿命を実現します。<br>●ダイヤモンド型鋸刃状のジョーは焼き入れ処理した刃が付いています。<br>●工具が落下する際にランヤードにかかる力は工具自体の重量よりもはるかに大きくなるため、可搬重量が対象工具の重量以上であるランヤードを使用してください。<br>●高所作業者に。紛失防止に。<br>●ランヤード用リング付きです。<br>●全長(mm):165<br>●A(mm):33<br>●質量：(g)172<br>",『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【PL-76C-TH】(4742117)高所用チェーンノーズプライヤー １６０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【PL-76C-TH】(4742117)高所用チェーンノーズプライヤー １６０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ノーズプライヤー。『カード対応OK！』■〒スナップオン・ツールズ（株）/ＷＩＬＬＩＡＭＳ【PL-76C-TH】(4742117)高所用チェーンノーズプライヤー １６０ｍｍ 受注単位1[rn]
14-135716,,2357.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒フジ矢（株）/フジ矢 【3000N-200】(4708130)偏芯パワーペンチ ２００ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\圧着ペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●偏芯構造なので従来のペンチよりも軽く切断できます。<br>●薄型・軽量設計なので腰回りの負担を減らします。<br>●切断能力(mm)鉄線:φ3.4<br>●切断能力(mm)銅線:φ4.0<br>●切断能力(mm)VA線(VVF):2.0×3芯<br>●落下防止用ひも取付穴:有<br>●全長(mm):202<br>●質量(g):270<br>●簡単圧着機能付（1.25～3.5mm[[の2乗]]）<br>",『カード対応OK！』■〒フジ矢（株）/フジ矢 【3000N-200】(4708130)偏芯パワーペンチ ２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢（株）/フジ矢 【3000N-200】(4708130)偏芯パワーペンチ ２００ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\圧着ペンチ。『カード対応OK！』■〒フジ矢（株）/フジ矢 【3000N-200】(4708130)偏芯パワーペンチ ２００ｍｍ 受注単位1[rn]
14-135717,,2137.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4431-J02】(4713567)４４３１－Ｊ０２ 穴用スナップリングプライヤー ４５度 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●穴用スナップリングの取り付け、取り外しに適しています。<br>●鍛造により大変頑丈です。<br>●滑りにくい先端チップです。<br>●穴用スナップリングの取り付け、取り外しに。<br>●全長(mm):140<br>●爪先端径(mm):0.9<br>●爪形状:45°曲爪<br>●リング使用範囲(mm):8～13<br>●質量(g):90<br>●黒染め仕様<br>●焼き入れ焼き戻し処理済みのクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4431-J02】(4713567)４４３１&minus;Ｊ０２ 穴用スナップリングプライヤー ４５度 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4431-J02】(4713567)４４３１&minus;Ｊ０２ 穴用スナップリングプライヤー ４５度 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4431-J02】(4713567)４４３１&minus;Ｊ０２ 穴用スナップリングプライヤー ４５度 受注単位1[rn]
14-135718,,2305.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒（株）エンジニア/エンジニア【PZ-59】(4815033)ネジザウルスＲＸ 受注単位1,作業用品\ペンチ・ニッパ\小ねじプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●独自の機構で極薄板でもガッチリつかめます。<br>●ドライバーで回せなくなったねじ頭をガッチリつかんではずします。<br>●切断刃を装着し楽々カットできます。<br>●全長(mm):205<br>●グリップ幅(mm):53<br>●先端幅(mm):27<br>●厚み(mm):14<br>●先端長さ(mm):27.7<br>●対応ねじ(トラス・なべ)/先端くわえ部:φ3～φ15<br>",『カード対応OK！』■〒（株）エンジニア/エンジニア【PZ-59】(4815033)ネジザウルスＲＸ 受注単位1：クローバー資材館,『カード対応OK！』■〒（株）エンジニア/エンジニア【PZ-59】(4815033)ネジザウルスＲＸ 受注単位1,作業用品\ペンチ・ニッパ\小ねじプライヤー。『カード対応OK！』■〒（株）エンジニア/エンジニア【PZ-59】(4815033)ネジザウルスＲＸ 受注単位1[rn]
14-135719,,2726.4000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0302-200】(4713354)ペンチ ２００ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平材および丸材のグリップゾーンがあり、様々な用途に使えます。<br>●ソフトおよびハードワイヤー用の切刃付きです。<br>●入念な焼入れ処理が施されたカッター部の硬度は約ＨＲＣ６０です。<br>●落下防止用ひも取付穴:無<br>●全長(mm):200<br>●切断能力(mm)硬線:φ2.5<br>●ハンドル:コンフォートタイプ<br>●質量(g):322<br>●切断能力(mm)軟硬線:φ3.8<br>●切断能力(mm)銅・アルミ:φ13.0<br>●切断能力(mm［［の2乗］］)銅・アルミ:16.0<br>●オイル焼き入れ焼き戻し処理済み高級特殊工具鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0302-200】(4713354)ペンチ ２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0302-200】(4713354)ペンチ ２００ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0302-200】(4713354)ペンチ ２００ｍｍ 受注単位1[rn]
14-135720,,3428.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A31】(4713699)４９２１－Ａ３１ 軸用精密スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ツール寿命は一般的なスナップリングプライヤーの10倍以上です。<br>●スクリュージョイントを採用しており、大変滑らかに可動します。<br>●鍛造ボディーにより大変頑丈です。<br>●先端チップはリングとの接触面積が広いため、リングを歪めず確実に保持することができます。<br>●スリムなヘッド形状により、狭い場所での作業も可能です。<br>●スプリングはジョイント部に内蔵し保護されています。<br>●軸用スナップリングの取り付け、取り外しに。<br>●全長(mm):210<br>●爪先端径(mm):2.25<br>●爪形状:90°曲爪<br>●リング使用範囲(mm):40～100<br>●質量(g):272<br>●ばね付<br>●黒染め仕様<br>●熱間鍛造によるクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A31】(4713699)４９２１&minus;Ａ３１ 軸用精密スナップリングプライヤー 曲 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A31】(4713699)４９２１&minus;Ａ３１ 軸用精密スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4921-A31】(4713699)４９２１&minus;Ａ３１ 軸用精密スナップリングプライヤー 曲 受注単位1[rn]
14-135721,,2204.8000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒フジ矢（株）/フジ矢 【F1050H-200】(3693724)ペンチ ２００ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●JIS規格ペンチの原型品です。<br>●独自開発による特殊鋼を使用していますので、切れ味と耐久性に優れており、プロから一般家庭まで幅広い用途に使用できます。<br>●内線、外線工事・電気設備・電話工事・土木建築工事向けペンチ。<br>●切断能力(mm)鉄線:φ3.4<br>●切断能力(mm)銅線:φ4.0<br>●切断能力(mm)VA線(VVF):-<br>●落下防止用ひも取付穴:無<br>●全長(mm):209<br>●質量(g):315<br>",『カード対応OK！』■〒フジ矢（株）/フジ矢 【F1050H-200】(3693724)ペンチ ２００ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒フジ矢（株）/フジ矢 【F1050H-200】(3693724)ペンチ ２００ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ。『カード対応OK！』■〒フジ矢（株）/フジ矢 【F1050H-200】(3693724)ペンチ ２００ｍｍ 受注単位1[rn]
14-135722,,1880.0000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-180】(4713303)ペンチ １８０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●平材および丸材のグリップゾーンがあり、様々な用途に使えます。<br>●ソフトおよびハードワイヤー用の切刃付きです。<br>●入念な焼入れ処理が施されたカッター部の硬度は約ＨＲＣ６０です。<br>●落下防止用ひも取付穴:無<br>●全長(mm):180<br>●切断能力(mm)硬線:φ2.2<br>●ハンドル:ソフトプラスチックコーティング<br>●質量(g):216<br>●切断能力(mm)軟硬線:φ3.4<br>●切断能力(mm)銅・アルミ:φ12.0<br>●切断能力(mm［［の2乗］］)銅・アルミ:16.0<br>●オイル焼き入れ焼き戻し処理済み高級特殊工具鋼<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-180】(4713303)ペンチ １８０ｍｍ 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-180】(4713303)ペンチ １８０ｍｍ 受注単位1,作業用品\ペンチ・ニッパ\ペンチ。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【0301-180】(4713303)ペンチ １８０ｍｍ 受注単位1[rn]
14-135723,,4237.6000,,花・ガーデン・DIY > DIY・工具 > 手動工具 > ペンチ・プライヤー,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4421-J41】(4713559)４４２１－Ｊ４１ 穴用スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●穴用スナップリングの取り付け、取り外しに適しています。<br>●鍛造により大変頑丈です。<br>●滑りにくい先端チップです。<br>●穴用スナップリングの取り付け、取り外しに。<br>●全長(mm):300<br>●爪先端径(mm):3.2<br>●爪形状:90°曲爪<br>●リング使用範囲(mm):85～140<br>●質量(g):462<br>●黒染め仕様<br>●焼き入れ焼き戻し処理済みのクロームバナジウム電気鋼<br>●スナップリングプライヤーを使用して作業する際には、必ず安全ゴーグルを着用してください。<br>",『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4421-J41】(4713559)４４２１&minus;Ｊ４１ 穴用スナップリングプライヤー 曲 受注単位1：クローバー資材館,『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4421-J41】(4713559)４４２１&minus;Ｊ４１ 穴用スナップリングプライヤー 曲 受注単位1,作業用品\ペンチ・ニッパ\スナップリングプライヤー。『カード対応OK！』■〒ＫＮＩＰＥＸ社/クニペックス【4421-J41】(4713559)４４２１&minus;Ｊ４１ 穴用スナップリングプライヤー 曲 受注単位1[rn]
