14-103301,http://tshop.r10s.jp/brico/cabinet/34/04912033-282209_1.jpg?fitin=700:700,410.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209,ピタッと閉まる・105&deg;/85&deg;開き,"■らくちん微調整・3次元調整・ワンタッチ着脱・開き角度調整可能<br><br>
●規格：NS-4050<br>
●入り数：1個入り<br>
●かぶせ（セット）：全かぶせ<br>
●キャッチ：キャッチ付<br>
●カップの直径：40mm<br>
●カップの深さ：13.8mm<br>
●材質：スチール/ニッケルメッキ仕上<br>
●付属ネジ：皿タッピングφ3.5×16mm（4本入） <br><br>
<font color=""#ff0000"">※1個だけが壊れた場合でもその扉についている全ての丁番を取り替えて下さい。</font><br>
<br>
<font color=""#FF0000"">※こちらの商品は2個まで1メール便での発送が可能です。<br>

メール便の詳細はこちら</font>",【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209,ピタッと閉まる・105&deg;/85&deg;開き。【メール便可〒】WAKI 和気産業 スライド丁番 全かぶせ キャッチ付 カップ径40mm NS-4050 4903757282209[rn]
14-103312,http://tshop.r10s.jp/brico/cabinet/29/04736608-259029_1.jpg?fitin=700:700,656.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,Henkel ヘンケル ねじロック222 低強度タイプ ネジのゆるみ止め剤 LNR-222 P-10ml,空気を遮断すると硬化が始まる！ネジ、ビスのゆるみを防止！,"空気を遮断して硬化する、嫌気性接着剤「ねじロック」<br>
<br>
本製品は、金属接合部で空気の供給を断つことによって硬化し、<br>
衝撃・振動によるねじのゆるみを防止します。<br>
また、チキソ性を有するため、使用部位へ塗布後、液たれを低減します。<br>
<br>
●ねじロック222（低強度タイプ）<br>
●用途  
：汎用一般ネジのゆるみ止めに<br> 
●推奨ネジ径：M12以下&nbsp;<br>
●破壊/脱出トルク：（N・m） 6/4<br> 
●使用温度の目安 ：-55～150度<br> 
●粘度（mPa・s） ：1,300～3,000（チキソ）<br> 
●ネジの取り外し性 ：容易&nbsp;<br> 
●容 量：10ml<br> 
<br> 
●硬化時間の目安（22度）<br>
●固化時間：約10分（鋼）　完全硬化：約24時間（鋼）<br>
※硬化速度は雰囲気温度、被着材の材質及び接着隙間に左右されます。",Henkel ヘンケル ねじロック222 低強度タイプ ネジのゆるみ止め剤 LNR-222 P-10ml：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントHenkel ヘンケル ねじロック222 低強度タイプ ネジのゆるみ止め剤 LNR-222 P-10ml,空気を遮断すると硬化が始まる！ネジ、ビスのゆるみを防止！。Henkel ヘンケル ねじロック222 低強度タイプ ネジのゆるみ止め剤 LNR-222 P-10ml[rn]
14-103313,http://tshop.r10s.jp/brico/cabinet/25/04592143-278325_1.jpg?fitin=700:700,288.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 傘ベルト 3色入り US-028 4903757278325,こわれた傘を捨てずになおそう！,"【傘ベルト：傘ベルトが破損・紛失したときの交換部品】<br><br>
傘のベルトを破損、紛失したら、こうして修理しましょう！<br>
1.破損や紛失した傘ベルトを傘本体から取り除きます。<br>
2.新しい傘ベルトをもと通りの位置に置きます。<br>
3.縫いつけてください。<br>
4.出来上がり<br><br>
【色】透明・黒・黄色<br>
【入数】各1個<br>
【修理に必要な道具】縫い糸・縫い針・ハサミ等",【メール便可】あなたも傘職人 傘ベルト 3色入り US-028 4903757278325：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 傘ベルト 3色入り US-028 4903757278325,こわれた傘を捨てずになおそう！。【メール便可】あなたも傘職人 傘ベルト 3色入り US-028 4903757278325[rn]
14-103314,http://tshop.r10s.jp/brico/cabinet/27/4903757284227_1.jpg?fitin=700:700,410.4000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 傘修理セット 13点セット US-101 シルバー 4903757284227,US-101,"今までの傘修理セットとどう違うの？<br>
1、初めて修理する方も安心。簡単傘修理マニュアルをセットしました。<br>
2、セット内容を見直し。できるだけ必要な部品だけチョイス。<br>
キレイなクリアケースに収納しました。<br><br>
【セット内容】<br>
●四ツ爪【大】：2個<br>
●四ツ爪【小】：2個<br>
●三ツ爪【大】：2個<br>
●三ツ爪【小】：2個<br>
●間接爪／受骨用：1個<br>
●間接爪／親骨用【小】：1個<br>
●間接爪／親骨用【大】：1個<br>
●間接爪用ハトメ：4個<br>
●つゆ先【剣先型】／シルバー：各2個<br>
●つゆ先児童用：1個<br>
●修理マニュアル：1枚<br>
●専用クリアケース<br>
<br>
<font color=""#FF0000"">※こちらの商品は2個まで1メール便での発送が可能です。</font><br>

メール便の詳細はこちら",【メール便可】あなたも傘職人 傘修理セット 13点セット US-101 シルバー 4903757284227：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 傘修理セット 13点セット US-101 シルバー 4903757284227,US-101。【メール便可】あなたも傘職人 傘修理セット 13点セット US-101 シルバー 4903757284227[rn]
14-103315,http://tshop.r10s.jp/brico/cabinet/32/05018482-284241_1.jpg?fitin=700:700,656.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 傘修理セット 23点セット マルチ シルバー・クロ入 US-103 4903757284241,こわれた傘を捨てずになおそう！,"傘修理セット（シルバー/クロ両方入っています）<br>
<b><br>
【セット内容】</b><br>
●三ツ爪【小】（シルバー/クロ）・・・各1個<br>
●三ツ爪【大】（シルバー/クロ）・・・各1個<br>
●四ツ爪【小】（シルバー/クロ）・・・各2個<br>
●四ツ爪【大】（シルバー/クロ）・・・各1個<br>
●石突　普及型（クロ）・・・1個<br>
●補修シート・・・1枚<br>
●間接爪／親骨用【小】（シルバー/クロ）・・・各1個<br>
●間接爪／親骨用【大】（シルバー/クロ）・・・各1個<br>
●間接爪／受骨用（シルバー/クロ）・・・各1個<br>
●つゆ先【剣先型】（シルバー/ブロンズ）・・・各2個<br>
●つゆ先児童用蓄光型・・・1個<br>
●間接爪用ハトメ（シルバー/クロ）・・・各4個<br>
●修理マニュアル<br>
●専用クリアケース<br>
<font color=""#FF0000""><br>
※こちらの商品は2個まで1メール便での発送が可能です。</font><br>

メール便の詳細はこちら",【メール便可】あなたも傘職人 傘修理セット 23点セット マルチ シルバー・クロ入 US-103 4903757284241：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 傘修理セット 23点セット マルチ シルバー・クロ入 US-103 4903757284241,こわれた傘を捨てずになおそう！。【メール便可】あなたも傘職人 傘修理セット 23点セット マルチ シルバー・クロ入 US-103 4903757284241[rn]
14-103316,http://tshop.r10s.jp/brico/cabinet/80/10008980_1.jpg?fitin=700:700,123.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 傘骨の骨折に 四ッ爪 小 4個入,US-015・US-016,"■四ッ爪：傘の親骨の修理部品<br><br>
傘骨が骨折したら、こうして修理しましょう！<br>
1.傘骨が破損、折れ曲がった箇所<br>
2.折れ曲がった箇所をまっすぐに伸ばし、修正したい箇所に合った「四ッ爪」を選んで、骨折した部分が中央になるように骨にかぶせます。<br>
3.ペンチ等で骨を巻くように爪を折り曲げて締め付けます。<br>
4.出来上がり<br><br>
●修理に必要な道具：ペンチ<br>
<br>
●材質：鉄<br>
●サイズ：小（直径3mmのパイプに対応）<br>
材料厚み0.5mm<br>
全長39mm<br>
U部分横幅外径5.5mm<br>
U部分横幅内径3&#12316;4.5mm<br>
U凹部分最高5mm<br>
U凹部分最低2.5mm<br>
爪と爪との間(真ん中の大きい方)14mm",【メール便可】あなたも傘職人 傘骨の骨折に 四ッ爪 小 4個入：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 傘骨の骨折に 四ッ爪 小 4個入,US-015・US-016。【メール便可】あなたも傘職人 傘骨の骨折に 四ッ爪 小 4個入[rn]
14-103317,http://tshop.r10s.jp/brico/cabinet/73/10008973_1.jpg?fitin=700:700,123.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 折タタミ傘の先に 石突き 平型6mm 1個入,US-008・US-009,"■石突き：傘の一番先の部分の交換部品<br><br>
石突きが破損、紛失したら、こうして修理しましょう！<br>
1.破損した「石突き」を取り除きます。<br>
2.新しい「石突き」を回転させて取り付けます。<br><br>
●材質：樹脂<br>
●サイズ：<br>
横幅外径18mm<br>
高さ外径9mm<br>
ネジ規格W1/4(インチ)",【メール便可】あなたも傘職人 折タタミ傘の先に 石突き 平型6mm 1個入：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 折タタミ傘の先に 石突き 平型6mm 1個入,US-008・US-009。【メール便可】あなたも傘職人 折タタミ傘の先に 石突き 平型6mm 1個入[rn]
14-103318,http://tshop.r10s.jp/brico/cabinet/81/10008981_1.jpg?fitin=700:700,139.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 傘骨の骨折に 四ッ爪 大 4個入,US-017・US-018,"■四ッ爪：傘の親骨の修理部品<br><br>
傘骨が骨折したら、こうして修理しましょう！<br>
1.傘骨が破損、折れ曲がった箇所<br>
2.折れ曲がった箇所をまっすぐに伸ばし、修正したい箇所に合った「四ッ爪」を選んで、骨折した部分が中央になるように骨にかぶせます。<br>
3.ペンチ等で骨を巻くように爪を折り曲げて締め付けます。<br>
4.出来上がり<br><br>
修理に必要な道具：ペンチ<font color=""#FF0000""><br>
<br>
</font>●材質：鉄<br>
●サイズ：大（直径5mmのパイプに対応）<br>
材料厚み0.5mm<br>
全長49mm<br>
U部分横幅外径6.5mm<br>
U部分横幅内径4&#12316;5.5mm<br>
U凹部分最高7mm<br>
U凹部分最低3.2mm<br>
爪と爪との間(真ん中の大きい方)19mm",【メール便可】あなたも傘職人 傘骨の骨折に 四ッ爪 大 4個入：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 傘骨の骨折に 四ッ爪 大 4個入,US-017・US-018。【メール便可】あなたも傘職人 傘骨の骨折に 四ッ爪 大 4個入[rn]
14-103319,http://tshop.r10s.jp/brico/cabinet/78/10008978_1.jpg?fitin=700:700,123.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 傘骨の骨折に 三ッ爪 小 4個入,US-011・US-012,"■三ッ爪：傘の親骨の修理部品<br><br>
傘骨が骨折したら、こうして修理しましょう！<br>
1.傘骨が破損、折れ曲がった箇所<br>
2.折れ曲がった箇所をまっすぐに伸ばし、修正したい箇所に合った「三ッ爪」を選んで、骨折した部分が中央になるように骨にかぶせます。<br>
3.ペンチ等で骨を巻くように爪を折り曲げて締め付けます。<br>
4.出来上がり<br><br>
修理に必要な道具：ペンチ<br>
<br>
●材質：鉄<br>
●サイズ：小（直径3mmのパイプに対応）<br>
材料厚み0.5mm<br>
全長39.5mm<br>
U部分横幅外径6mm<br>
U部分横幅内径3&#12316;4mm<br>
U凹部分最高5.7mm<br>
U凹部分最低2.8mm<br>
爪と爪との間(大きい方)20mm",【メール便可】あなたも傘職人 傘骨の骨折に 三ッ爪 小 4個入：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 傘骨の骨折に 三ッ爪 小 4個入,US-011・US-012。【メール便可】あなたも傘職人 傘骨の骨折に 三ッ爪 小 4個入[rn]
14-103320,http://tshop.r10s.jp/brico/cabinet/00/4562144560100_1.jpg?fitin=700:700,275.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可〒】TSUCHIYA ツチヤ すき間モヘアシール No.6060 ゴールド ベース幅6mm×モヘア高さ6mm×長さ2m,,"■復元力に優れているので長い期間安定した性能を保ちます。<br>
■緻密で弾力性に富む毛足が、不均等なすき間もバランス良くふさぎ、ドアや窓などの動きも損ないません。<br>
<br>
使用場所<br>
●室内開き戸、引き戸、サッシ窓、食器棚、ふすま、障子、自動ドア<br><br>
●サイズ：ベース幅6mm×モヘア高さ6mm×長さ2m<br>●材質： 
毛：ポリプロピレン、ベース：ポリプロピレン、粘着剤：アクリル系両面テープ<br> 
<br> 
※金属、塗装面、木材、プラスチック（PP、PE等は除く）などの平らな面にご使用ください。<br> 
※閉め切った時、毛先の10～15％が押さえられるような状態でご使用ください。<br> 
※すき間に対して毛が長すぎる場合は、戸の開閉が重くなりますので、ハサミで毛先をカットしてください。<br> 
※貼りつけ作業は気温10℃以上の時に行ってください。<br> 
※粘着面に手を触れたり、貼り直しをすると、粘着力が弱くなります。<br> 
※ザラザラ面や凹凸の激しい面、壁面、表面の材質が弱い面、常に水がかかり乾燥しないところには使用できません。<br> 
※貼りつけ直後は粘着剤のニオイがすることがありますので、窓をあけて換気をしてください。<br> 
※本製品が汚れた場合は、掃除機でパイル間のゴミを吸いとってから、中性洗剤を溶かしたぬるま湯に湿して固く絞った雑巾で拭いてください。<br>
※はがす際は、端からゆっくりはがしてください。<br>
※肌に貼るなど、用途以外での使用をしないでください。",【メール便可〒】TSUCHIYA ツチヤ すき間モヘアシール No.6060 ゴールド ベース幅6mm&times;モヘア高さ6mm&times;長さ2m：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可〒】TSUCHIYA ツチヤ すき間モヘアシール No.6060 ゴールド ベース幅6mm&times;モヘア高さ6mm&times;長さ2m,【メール便可〒】TSUCHIYA ツチヤ すき間モヘアシール No.6060 ゴールド ベース幅6mm&times;モヘア高さ6mm&times;長さ2m[rn]
14-103321,http://tshop.r10s.jp/brico/cabinet/76/10008976_1.jpg?fitin=700:700,139.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 傘骨の間接に 間接爪 大 親骨用 4個入,US-021・US-022,"■間接爪（親骨用）：傘の親骨と受骨のつなぎ目の修理部品<br><br>
傘骨の間接が骨折したら、こうして修理しましょう！<br>
1.受け骨のハトメをはずします。<br>
2.折れ曲がった箇所をまっすぐに伸ばしたら、（a）の受口を取り除いてから、修正したい箇所に合った「間接爪、親骨用」を選んで、骨にかぶせます。<br>
3.ペンチ等で骨を巻くように爪を折り曲げて締め付けます。<br>
4.受け骨を受け口の穴に合わせてから、新しいハトメを差込み、ペンチ等で強く押さえてかしめます。<br><br>
修理に必要な道具：ペンチ<br>
<br>
●材質：鉄<br>
●サイズ：大<br>
材料厚み0.5mm<br>
全長51mm<br>
U部分横幅外径5.2mm<br>
U部分横幅内径3.5～4.5mm<br>
U凹部分最高8.5mm<br>
U凹部分最低4.1mm<br>
穴径1.5mm<br>
ハトメ外径2.8mm<br>
ハトメ直径1.4mm<br>
ハトメ長さ6.5mm",【メール便可】あなたも傘職人 傘骨の間接に 間接爪 大 親骨用 4個入：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 傘骨の間接に 間接爪 大 親骨用 4個入,US-021・US-022。【メール便可】あなたも傘職人 傘骨の間接に 間接爪 大 親骨用 4個入[rn]
14-103322,http://tshop.r10s.jp/brico/cabinet/74/10008974_1.jpg?fitin=700:700,148.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 骨折をカンタン修理 万能爪 2個入,US-025・US-026,"■傘の親骨の修理部品<br><br>
傘骨が骨折したら、こうして修理しましょう！<br>
<br>
このような骨折箇所の修理ができます。<br>
●親骨の間接付近の骨折<br>
●間接部がはずれたとき<br>
●親骨の骨折<br>
<br>
1.金具（a）より金具（b）・（c）を左右に抜き取ります。<br>
2.骨折した部分が中央になるように金具（a）を下側より入れます。<br>
3.金具（b）・（c）を左右より金具（a）にそれぞれはめ込みます。<br>
4.金具（a）の左右の爪をそれぞれ上側に折り曲げます。<br><br>
修理に必要な道具：ペンチ<br>
<br>
●材質：鉄<br>
●サイズ：（直径3mmのパイプに対応）<br>
・材料厚み0.4mm<br>
・全長68mm<br>
・U部分全長54.5mm<br>
・U部分横幅外径9.5mm<br>
・U部分横幅内径3.5&#12316;4mm<br>
・U部分深さ外径5mm<br>
・爪部分長さ7mm<br>
・爪部分横幅1.6mm",【メール便可】あなたも傘職人 骨折をカンタン修理 万能爪 2個入：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 骨折をカンタン修理 万能爪 2個入,US-025・US-026。【メール便可】あなたも傘職人 骨折をカンタン修理 万能爪 2個入[rn]
14-103323,http://tshop.r10s.jp/brico/cabinet/79/10008979_1.jpg?fitin=700:700,139.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 傘骨の骨折に 三ッ爪 大 4個入,US-013・US-014,"■三ッ爪：傘の親骨の修理部品<br><br>
傘骨が骨折したら、こうして修理しましょう！<br>
1.傘骨が破損、折れ曲がった箇所<br>
2.折れ曲がった箇所をまっすぐに伸ばし、修正したい箇所に合った「三ッ爪」を選んで、骨折した部分が中央になるように骨にかぶせます。<br>
3.ペンチ等で骨を巻くように爪を折り曲げて締め付けます。<br>
4.出来上がり<br><br>
修理に必要な道具：ペンチ<br>
<br>
●材質：鉄<br>
●サイズ：大（直径5mmのパイプに対応）<br>
材料厚み0.5mm<br>
全長49.5mm<br>
U部分横幅外径6.5mm<br>
U部分横幅内径3.5&#12316;5mm<br>
U凹部分最高6.5mm<br>
U凹部分最低3.5mm<br>
爪と爪との間(大きい方)24mm",【メール便可】あなたも傘職人 傘骨の骨折に 三ッ爪 大 4個入：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 傘骨の骨折に 三ッ爪 大 4個入,US-013・US-014。【メール便可】あなたも傘職人 傘骨の骨折に 三ッ爪 大 4個入[rn]
14-103324,http://tshop.r10s.jp/brico/cabinet/71/10008971_1.jpg?fitin=700:700,148.0000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 傘骨の先端に つゆ先 剣先型 8個入,US-001・US-002・US-003,"■つゆ先：傘を開いた一番外側の雨だれがたまる場所の交換部品<br><br>
つゆ先が破損、紛失したら、こうして修理しましょう！<br>
1.縫い付けた糸を外して、破損したつゆ先を取り除きます。<br>
2.三角形の布の先を少し折り、糸をつゆ先の穴に通して布と縫いつけてください。<br>
3.つゆ先を骨に差し込みます。<br>
4.出来上がり<br><br>
修理に必要な道具：縫い糸・縫い針・ハサミ等<br>
<br>
●材質：鉄<br>
●サイズ：<br>
全長20mm<br>
筒部分外径4mm<br>
筒部分内径3.3mm<br>
中央丸穴径2.3mm",【メール便可】あなたも傘職人 傘骨の先端に つゆ先 剣先型 8個入：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 傘骨の先端に つゆ先 剣先型 8個入,US-001・US-002・US-003。【メール便可】あなたも傘職人 傘骨の先端に つゆ先 剣先型 8個入[rn]
14-103325,http://tshop.r10s.jp/brico/cabinet/77/10008977_1.jpg?fitin=700:700,123.2000,,花・ガーデン・DIY > DIY・工具 > 接着・補修用品 > 補修材,【メール便可】あなたも傘職人 傘骨の間接に 間接爪 小 親骨用 4個入,US-019・US-020,"■間接爪（親骨用）：傘の親骨と受骨のつなぎ目の修理部品<br><br>
傘骨の間接が骨折したら、こうして修理しましょう！<br>
1.受け骨のハトメをはずします。<br>
2.折れ曲がった箇所をまっすぐに伸ばしたら、（a）の受口を取り除いてから、修正したい箇所に合った「間接爪、親骨用」を選んで、骨にかぶせます。<br>
3.ペンチ等で骨を巻くように爪を折り曲げて締め付けます。<br>
4.受け骨を受け口の穴に合わせてから、新しいハトメを差込み、ペンチ等で強く押さえてかしめます。<br><br>
修理に必要な道具：ペンチ<br>
<br>
●材質：鉄<br>
●サイズ：小（直径3mmのパイプに対応）<br>
材料厚み0.5mm<br>
全長30mm<br>
U部分横幅外径5.7mm<br>
U部分横幅内径3～4.5mm<br>
U凹部分最高7mm<br>
U凹部分最低3.3mm<br>
穴径1.5mm<br>
ハトメ外径2.8mm<br>
ハトメ直径1.4mm<br>
ハトメ長さ6.5mm",【メール便可】あなたも傘職人 傘骨の間接に 間接爪 小 親骨用 4個入：ホームセンターブリコ,楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【メール便可】あなたも傘職人 傘骨の間接に 間接爪 小 親骨用 4個入,US-019・US-020。【メール便可】あなたも傘職人 傘骨の間接に 間接爪 小 親骨用 4個入[rn]
