4-11764,,2570.4000,,花・ガーデン・DIY > DIY・工具 > その他,■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1,切削工具\ねじ切り工具,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br><br>
●被削材の加工レンジが広く高能率の加工が可能です。<br>
●粉末ハイスとTiAlNコーティングの組合せにより摩耗を軽減し長寿命をもたらします。<br>
●止まり穴加工用。<br>
●被削材：ステンレス鋼、チタン合金、一般鋼、アルミ合金。<br>
●精度:OH3<br>
●呼び寸:M10<br>
●ピッチ(mm):1.5<br>
●全長(mm):75<br>
●シャンク径(mm):7<br>
●シャンク四角部(mm):5.5<br>
●下穴径(mm):8.5<br>
●精度表記:標準<br>
●ねじ長(mm):20<br>
●加工ねじ：メートルねじ<br>
●食い付山数：2～3山<br>
●表面処理:ＴiAlNコーティング<br>
●粉末ハイス(HSS-E-PM)<p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1：クローバー資材館,■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1,切削工具\ねじ切り工具。■〒グーリングジャパン/グーリング タップ【4449-M10.0X1.5】(7895178) グーリング ＴｉＡｌＮスパイラルタップ 高能率用並目 Ｍ10Ｘ1．5 発注単位1[rn]
4-11832,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002840467.jpg?fitin=700:700,4039.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒弥満和製作所/ヤマワ　ニッケル基合金用タップ止り穴用【ZENB-M12(M12X1.75)】(1212494) 受注単位1,切削工具\ねじ切り工具\スパイラルタップ,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●完全同期リード送り機構付機械専用です。<br>●ニッケル基合金に最適な仕様のタップです。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒弥満和製作所/ヤマワ　ニッケル基合金用タップ止り穴用【ZENB-M12(M12X1.75)】(1212494) 受注単位1：クローバー資材館,『カード対応OK！』■〒弥満和製作所/ヤマワ　ニッケル基合金用タップ止り穴用【ZENB-M12(M12X1.75)】(1212494) 受注単位1,切削工具\ねじ切り工具\スパイラルタップ。『カード対応OK！』■〒弥満和製作所/ヤマワ　ニッケル基合金用タップ止り穴用【ZENB-M12(M12X1.75)】(1212494) 受注単位1[rn]
4-11833,,1426.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ【EX-SFT-STD-M10X1】(2000342) タップ 受注単位1,切削工具\ねじ切り工具\スパイラルタップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●止まり穴に用い、炭素鋼、合金鋼および非鉄金属について切りくずがコイル状に連続する被削材に適します。<br><br>●止まり穴加工用。<br>●被削材：炭素鋼、合金鋼、非鉄金属。<br><br>●精度：OH2<br>●呼び寸：M10.0<br>●ピッチ(mm)：1.00<br>●ねじ長(mm)：18<br>●全長(mm)：75<br>●シャンク径(mm)：7.0<br>●シャンク四角部(mm)：5.5<br>●下穴径(mm)：9.0<br>●山数：-<br>●精度表記：STD<br><br>●加工ねじ：メートルねじ<br>●食い付山数：2.5山<br>●表面処理：ノンコーティング<br>●タップ等級：OH級<br><br>●高速度鋼（HSS-E）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ【EX-SFT-STD-M10X1】(2000342) タップ 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ【EX-SFT-STD-M10X1】(2000342) タップ 受注単位1,切削工具\ねじ切り工具\スパイラルタップ。『カード対応OK！』■〒オーエスジー/ＯＳＧ【EX-SFT-STD-M10X1】(2000342) タップ 受注単位1[rn]
4-11834,,6611.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒オーエスジー/ＯＳＧ【US-AL-SFT-STD-M16X1.5】(6355854) スパイラルタップ　ウルトラシンクロタップ 受注単位1,切削工具\ねじ切り工具\スパイラルタップ,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●完全リード送り機構付機械専用で耐摩耗性、耐溶着性に優れたVコーティングを施しているため、アルミニウム、アルミニウム合金などの超高速ねじ加工が可能です。<br><br>●止まり穴加工用。<br>●被削材：アルミ合金鋳物、アルミ圧延材、マグネシウム合金鋳物、亜鉛合金鋳物。<br><br>●精度：OH4<br>●呼び寸：M16<br>●ピッチ(mm)：1.5<br>●ねじ長(mm)：16<br>●全長(mm)：95<br>●シャンク径(mm)：16<br>●シャンク四角部(mm)：12<br>●下穴径(mm)：14.5<br>●精度表記：STD<br><br>●加工ねじ：メートルねじ<br>●食い付山数：3山<br>●表面処理：ノンコーティング<br><br>●粉末ハイス（ＣＰＭ）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒オーエスジー/ＯＳＧ【US-AL-SFT-STD-M16X1.5】(6355854) スパイラルタップ　ウルトラシンクロタップ 受注単位1：クローバー資材館,『カード対応OK！』■〒オーエスジー/ＯＳＧ【US-AL-SFT-STD-M16X1.5】(6355854) スパイラルタップ　ウルトラシンクロタップ 受注単位1,切削工具\ねじ切り工具\スパイラルタップ。『カード対応OK！』■〒オーエスジー/ＯＳＧ【US-AL-SFT-STD-M16X1.5】(6355854) スパイラルタップ　ウルトラシンクロタップ 受注単位1[rn]
4-11835,,8708.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イワタツール【90TGSCH8CBDLC】(7636334) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●トグロンシャープシリーズの面取り専用モデル<br>●バリ、ビビリが少なく、面粗度がきれいです。<br><br>●被削材：アルミ合金、銅、プラスチック<br><br>●シャンク径(mm)：8<br>●センタ穴角(°)：90<br>●全長(mm)：60<br>●最小面取径(mm)：2<br>●最大面取径(mm)：8<br><br>●表面処理：DLCコーティング<br><br>●超硬合金（Carbide）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イワタツール【90TGSCH8CBDLC】(7636334) 精密面取り工具トグロン　シャープチャンファー 受注単位1：クローバー資材館,『カード対応OK！』■〒イワタツール【90TGSCH8CBDLC】(7636334) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒イワタツール【90TGSCH8CBDLC】(7636334) 精密面取り工具トグロン　シャープチャンファー 受注単位1[rn]
4-11836,,23760.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【CAT240L30-12】(7119313) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●TACドリル用面取りリング<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ【CAT240L30-12】(7119313) 丸物保持具 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【CAT240L30-12】(7119313) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒タンガロイ【CAT240L30-12】(7119313) 丸物保持具 受注単位1[rn]
4-11837,,23760.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【TDXCF190L25】(7119381) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＴＤＸ用の新面取りリングです。<br><br><br><br>●TACドリル用面取りリング<br>●TDXCFタイプ<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ【TDXCF190L25】(7119381) 丸物保持具 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【TDXCF190L25】(7119381) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒タンガロイ【TDXCF190L25】(7119381) 丸物保持具 受注単位1[rn]
4-11838,,11056.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒富士元工業/富士元【SCN0845E】(3616258) 富士元　モミメンｎａｎｏ 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●従来、バイスやクランプなどが干渉して面取り・モミツケができなかった箇所にも加工ができるようになりました。<br>●センター穴・モミツケ加工、皿面取り加工、エッジの面取り加工が可能なスローアウェイカッターです。<br><br>●センター穴・モミツケ加工、皿面取り加工、エッジの面取り加工。<br><br>●全長(mm)：82<br>●シャンク径(mm)：8<br>●先端角(°)：90<br>●質量(g)：26.5<br>●専用チップ：ENGX040102<br><br>●刃数：1<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒富士元工業/富士元【SCN0845E】(3616258) 富士元　モミメンｎａｎｏ 受注単位1：クローバー資材館,『カード対応OK！』■〒富士元工業/富士元【SCN0845E】(3616258) 富士元　モミメンｎａｎｏ 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒富士元工業/富士元【SCN0845E】(3616258) 富士元　モミメンｎａｎｏ 受注単位1[rn]
4-11839,,12474.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒富士元工業/富士元【BM3029T】(7586663) ボール盤用面取り　メントルビー　３０°　φ２９ 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ボール盤などで使用できるチップ交換式面取りカッターです。<br>●ブレーカー付きハイスチップで切れ味抜群です。<br><br><br>●全長(mm)：74<br>●シャンク径(mm)：10<br>●先端角(°)：30<br>●刃数：1<br>●加工範囲：6～29<br>●ロックピン：M-1<br>●専用チップ：TM32GUR/TM32GSR<br><br>●刃数：1<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒富士元工業/富士元【BM3029T】(7586663) ボール盤用面取り　メントルビー　３０&deg;　φ２９ 受注単位1：クローバー資材館,『カード対応OK！』■〒富士元工業/富士元【BM3029T】(7586663) ボール盤用面取り　メントルビー　３０&deg;　φ２９ 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒富士元工業/富士元【BM3029T】(7586663) ボール盤用面取り　メントルビー　３０&deg;　φ２９ 受注単位1[rn]
4-11840,,6124.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イワタツール【90TGSCH6CBDLC】(7636300) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●トグロンシャープシリーズの面取り専用モデル<br>●バリ、ビビリが少なく、面粗度がきれいです。<br><br>●被削材：アルミ合金、銅、プラスチック<br><br>●シャンク径(mm)：6<br>●センタ穴角(°)：90<br>●全長(mm)：50<br>●最小面取径(mm)：1.5<br>●最大面取径(mm)：6<br><br>●表面処理：DLCコーティング<br><br>●超硬合金（Carbide）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イワタツール【90TGSCH6CBDLC】(7636300) 精密面取り工具トグロン　シャープチャンファー 受注単位1：クローバー資材館,『カード対応OK！』■〒イワタツール【90TGSCH6CBDLC】(7636300) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒イワタツール【90TGSCH6CBDLC】(7636300) 精密面取り工具トグロン　シャープチャンファー 受注単位1[rn]
4-11841,,23760.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【TDXCF270L30】(7119461) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＴＤＸ用の新面取りリングです。<br><br><br><br>●TACドリル用面取りリング<br>●TDXCFタイプ<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ【TDXCF270L30】(7119461) 丸物保持具 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【TDXCF270L30】(7119461) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒タンガロイ【TDXCF270L30】(7119461) 丸物保持具 受注単位1[rn]
4-11842,,2440.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒ワルタージャパン/タイテックス【A1115-8】(4819098) ＨＳＳ　ＮＣスポットドリル　先端角９０°　φ８ 受注単位1,切削工具\面取り工具\センタードリル,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●高級ハイス鋼を使用したNC機用スポットドリルで、高精度のポジショニングが可能です。<br><br>●被削材：炭素鋼、合金鋼、ステンレス鋼、軟鋼、鋳鉄。<br><br>●シャンク径(mm)：8<br>●全長(mm)：79<br>●センタ穴角(°)：90<br><br>●ノンコーティング<br>●刃形状：片刃<br>●刃数：2枚<br><br>●高速度鋼（HSS）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒ワルタージャパン/タイテックス【A1115-8】(4819098) ＨＳＳ　ＮＣスポットドリル　先端角９０&deg;　φ８ 受注単位1：クローバー資材館,『カード対応OK！』■〒ワルタージャパン/タイテックス【A1115-8】(4819098) ＨＳＳ　ＮＣスポットドリル　先端角９０&deg;　φ８ 受注単位1,切削工具\面取り工具\センタードリル。『カード対応OK！』■〒ワルタージャパン/タイテックス【A1115-8】(4819098) ＨＳＳ　ＮＣスポットドリル　先端角９０&deg;　φ８ 受注単位1[rn]
4-11843,,4082.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イワタツール【90TGSCH0.9CB】(7636041) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●トグロンシャープシリーズの面取り専用モデル<br>●バリ、ビビリが少なく、面粗度がきれいです。<br><br>●被削材：アルミ合金、銅、プラスチック<br><br>●シャンク径(mm)：3<br>●センタ穴角(°)：90<br>●全長(mm)：40<br>●最小面取径(mm)：0.3<br>●最大面取径(mm)：0.9<br><br>●ノンコーティング<br><br>●超硬合金（Carbide）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イワタツール【90TGSCH0.9CB】(7636041) 精密面取り工具トグロン　シャープチャンファー 受注単位1：クローバー資材館,『カード対応OK！』■〒イワタツール【90TGSCH0.9CB】(7636041) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒イワタツール【90TGSCH0.9CB】(7636041) 精密面取り工具トグロン　シャープチャンファー 受注単位1[rn]
4-11844,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010005469998.jpg?fitin=700:700,5924.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ－９０°超硬コー【90SPC0.3X0.9CBALD】(4210891) 受注単位1,切削工具\面取り工具\センタードリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●高精度な位置決め、面取り、センタリング同時加工、穴面取り、ミーリング面取りに適しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ&minus;９０&deg;超硬コー【90SPC0.3X0.9CBALD】(4210891) 受注単位1：クローバー資材館,『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ&minus;９０&deg;超硬コー【90SPC0.3X0.9CBALD】(4210891) 受注単位1,切削工具\面取り工具\センタードリル。『カード対応OK！』■〒イワタツール/岩田　ＳＰセンタ&minus;９０&deg;超硬コー【90SPC0.3X0.9CBALD】(4210891) 受注単位1[rn]
4-11845,,8419.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒富士元工業/富士元【SDET150404 ZA10N】(3529169) マルチアングルミル専用チップ　超硬Ｋ種 受注単位3,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br>●適合機種：マルチアングルミル<br>●材質：超硬K<br>●使用コーナー数：2<br>●エッジ形状：シャープエッジ<br>●コーティング：なし<br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒富士元工業/富士元【SDET150404 ZA10N】(3529169) マルチアングルミル専用チップ　超硬Ｋ種 受注単位3：クローバー資材館,『カード対応OK！』■〒富士元工業/富士元【SDET150404 ZA10N】(3529169) マルチアングルミル専用チップ　超硬Ｋ種 受注単位3,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒富士元工業/富士元【SDET150404 ZA10N】(3529169) マルチアングルミル専用チップ　超硬Ｋ種 受注単位3[rn]
4-11846,,23760.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【TDXCF300L30】(7119488) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●ＴＤＸ用の新面取りリングです。<br><br><br><br>●TACドリル用面取りリング<br>●TDXCFタイプ<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ【TDXCF300L30】(7119488) 丸物保持具 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【TDXCF300L30】(7119488) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒タンガロイ【TDXCF300L30】(7119488) 丸物保持具 受注単位1[rn]
4-11847,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002857658.jpg?fitin=700:700,1296.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イワタツール/岩田　センタードリルコート付【CD2.0X6TICN】(3026841) 受注単位1,切削工具\面取り工具\センタードリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●鋭い切れ味と高い靭性で抜群の耐久力を実現しました。<br>●右刃右ねじれ2枚刃です。<br>●難削材に対応する高硬度かつ低摩擦係数の多層コーティングを施しているため、一般のチタンコーティングに比べて高能率加工が可能です。<br>●両刃です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イワタツール/岩田　センタードリルコート付【CD2.0X6TICN】(3026841) 受注単位1：クローバー資材館,『カード対応OK！』■〒イワタツール/岩田　センタードリルコート付【CD2.0X6TICN】(3026841) 受注単位1,切削工具\面取り工具\センタードリル。『カード対応OK！』■〒イワタツール/岩田　センタードリルコート付【CD2.0X6TICN】(3026841) 受注単位1[rn]
4-11848,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002840348.jpg?fitin=700:700,1641.6000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒弥満和製作所/ヤマワ　スターティングドリル【NC-SD-V-3(3MMX90ﾟ)】(1658468) 受注単位1,切削工具\面取り工具\センタードリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●面取りに使用されます。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒弥満和製作所/ヤマワ　スターティングドリル【NC-SD-V-3(3MMX90ﾟ)】(1658468) 受注単位1：クローバー資材館,『カード対応OK！』■〒弥満和製作所/ヤマワ　スターティングドリル【NC-SD-V-3(3MMX90ﾟ)】(1658468) 受注単位1,切削工具\面取り工具\センタードリル。『カード対応OK！』■〒弥満和製作所/ヤマワ　スターティングドリル【NC-SD-V-3(3MMX90ﾟ)】(1658468) 受注単位1[rn]
4-11849,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002870206.jpg?fitin=700:700,2300.8000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒弥満和製作所/ヤマワ　ＴＩＮＣＯセンタードリル【CEQV-2】(1621882) 受注単位1,切削工具\面取り工具\センタードリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●溝のねじれが強いので、特に軟らかい材料、または比較的粘い材料に適しています。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒弥満和製作所/ヤマワ　ＴＩＮＣＯセンタードリル【CEQV-2】(1621882) 受注単位1：クローバー資材館,『カード対応OK！』■〒弥満和製作所/ヤマワ　ＴＩＮＣＯセンタードリル【CEQV-2】(1621882) 受注単位1,切削工具\面取り工具\センタードリル。『カード対応OK！』■〒弥満和製作所/ヤマワ　ＴＩＮＣＯセンタードリル【CEQV-2】(1621882) 受注単位1[rn]
4-11850,,4763.2000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒イワタツール【90TGSCH1.2CBALT】(7636083) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br>●トグロンシャープシリーズの面取り専用モデル<br>●バリ、ビビリが少なく、面粗度がきれいです。<br><br>●被削材：アルミ合金、銅、プラスチック<br><br>●シャンク径(mm)：3<br>●センタ穴角(°)：90<br>●全長(mm)：40<br>●最小面取径(mm)：0.4<br>●最大面取径(mm)：1.2<br><br>●表面処理：ALTコーティング<br><br>●超硬合金（Carbide）<br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒イワタツール【90TGSCH1.2CBALT】(7636083) 精密面取り工具トグロン　シャープチャンファー 受注単位1：クローバー資材館,『カード対応OK！』■〒イワタツール【90TGSCH1.2CBALT】(7636083) 精密面取り工具トグロン　シャープチャンファー 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒イワタツール【90TGSCH1.2CBALT】(7636083) 精密面取り工具トグロン　シャープチャンファー 受注単位1[rn]
4-11851,http://tshop.r10s.jp/gold/clover9608/imageora/1/t010002663391.jpg?fitin=700:700,9396.0000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒弥満和製作所/ヤマワ　ポイントドリル【PEQV16X4】(3334813) 受注単位1,切削工具\面取り工具\センタードリル,"<font size=""4""><p>納期目安：</font><u><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font></u></p><br>●面取加工、溝加工、センタリング加工など多機能に使用できます。<br>●位置決め、面取り同時複合加工が可能です。<br><br><br><br><br><br><br><br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒弥満和製作所/ヤマワ　ポイントドリル【PEQV16X4】(3334813) 受注単位1：クローバー資材館,『カード対応OK！』■〒弥満和製作所/ヤマワ　ポイントドリル【PEQV16X4】(3334813) 受注単位1,切削工具\面取り工具\センタードリル。『カード対応OK！』■〒弥満和製作所/ヤマワ　ポイントドリル【PEQV16X4】(3334813) 受注単位1[rn]
4-11852,,41990.4000,,花・ガーデン・DIY > DIY・工具 > その他,『カード対応OK！』■〒タンガロイ【TIDCF180-W32】(7119071) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター,"<font size=""4"">納期目安：</font><font color=""#000000"" size=""4"">お取り寄せ品(詳しくはこちらをクリック)</font><br><br>
<br><br><br><br><br>●DrillMeisterシリーズ<br>●面取り加工用アダプタ<br>●ストレートタイプ用<br><br><p align=""center""><img src=""http://image.rakuten.co.jp/clover9608/cabinet/sizaikanheads-up.jpg"" border=""0"" align=""center""></p><br><br>",『カード対応OK！』■〒タンガロイ【TIDCF180-W32】(7119071) 丸物保持具 受注単位1：クローバー資材館,『カード対応OK！』■〒タンガロイ【TIDCF180-W32】(7119071) 丸物保持具 受注単位1,切削工具\面取り工具\面取りカッター。『カード対応OK！』■〒タンガロイ【TIDCF180-W32】(7119071) 丸物保持具 受注単位1[rn]
