38-10063,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs45/trs7941315.jpg?fitin=700:700,8942.4000,,花・ガーデン・DIY > DIY・工具 > その他,ケルヒャー　ディスクパッド（緑）　63697900,【業務用】 オレンジブック2017掲載,<b>メーカー／ケルヒャージャパン（株）</b><br><br>【仕様】<br>●品名:ディスクパッド　381ｍｍ　ハード（緑）5枚入●適合機種:ＢＤ40/25Ｃ<br><br>【質量】　960G<br><br>【原産国】　イギリス<br><br>【2017　オレンジブック掲載】　5 1615　ページ■商品コード：trs7941315　●品名:ディスクパッド　381ｍｍ　ハード（緑）5枚入●適合機種:ＢＤ40/25Ｃ,ケルヒャー　ディスクパッド（緑）　63697900：工具箱　楽天市場店,ケルヒャー　ディスクパッド（緑）　63697900,【業務用】 オレンジブック2017掲載。ケルヒャー　ディスクパッド（緑）　63697900[rn]
38-10135,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs32/trs4648285.jpg?fitin=700:700,228329.6000,,花・ガーデン・DIY > DIY・工具 > その他,ＰＯＭＰＭＡＮ　Ｐ３（ノーマルタイプ）　P3　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ポンプマンジャパン</b><br><br>【特長】<br>●便利で簡単な自転車・車いすの自動空気入れ機です。●コンパクトサイズなので設置場所を選びません。<br><br>【用途】<br>●自転車の空気入れ●車椅子にも使用可●英式バルブのみ使用可<br><br>【仕様】<br>●間口(mm):240●奥行(mm):220●高さ(mm):1000●タイプ:ノーマルタイプ●AC100V、153W仕様●コイルホース:3.5m●空気圧:0.5Mpa●定格消費電力:153W<br><br>【材質／仕上】<br>●スチール<br><br>【セット内容／付属品】<br>●コンクリートアンカー及び耐震ゴム・４本ＳＥＴ、消耗品・金口用付属品　　（標準装備）<br><br><font color=red>【注意】<br>●空気の入れすぎにご注意ください。●ホースを伸びきるまで引っぱったり、振り回したりしないでください。●連続20分以上使用しないでください。</font><br><br>【質量】　15<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3040　ページ≪メーカー直送品≫■商品コード：trs4648285　●間口(mm):240●奥行(mm):220●高さ(mm):1000●タイプ:ノーマルタイプ●AC100V、153W仕様●コイルホース:3.5m●空気圧:0.5Mpa●定格消費電力:153W,ＰＯＭＰＭＡＮ　Ｐ３（ノーマルタイプ）　P3　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ＰＯＭＰＭＡＮ　Ｐ３（ノーマルタイプ）　P3　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ＰＯＭＰＭＡＮ　Ｐ３（ノーマルタイプ）　P3　　【代引き不可・配送時間指定不可】[rn]
38-10136,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,37021.6000,,花・ガーデン・DIY > DIY・工具 > その他,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　６台収容ピッチ６００　CSML6　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ダイケン</b><br><br>【特長】<br>●スタンドの高低順を入れ換えできます。<br><br>【仕様】<br>●収容台数(台):6●間口(mm):3240●奥行(mm):436●高さ(mm):267●スタンドピッチ(mm):600●適合タイヤサイズ:幅45mm以下、径18～27インチ<br><br>【材質／仕上】<br>●スチール<br><br>【セット内容／付属品】<br>●オールアンカー（M10×120mm）<br><br><font color=red>【注意】<br>●組立・据付・アンカー工事費別途。●自転車は別売です。</font><br><br>【質量】　21.6KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3039　ページ≪メーカー直送品≫■商品コード：trs4618998　●収容台数(台):6●間口(mm):3240●奥行(mm):436●高さ(mm):267●スタンドピッチ(mm):600●適合タイヤサイズ:幅45mm以下、径18～27インチ,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　６台収容ピッチ６００　CSML6　 【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　６台収容ピッチ６００　CSML6　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　６台収容ピッチ６００　CSML6　 【代引き不可・配送時間指定不可】[rn]
38-10137,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs31/trs4618963.jpg?fitin=700:700,25754.4000,,花・ガーデン・DIY > DIY・工具 > その他,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　４台収容ピッチ４００　CSM4　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ダイケン</b><br><br>【特長】<br>●スタンドの高低順を入れ換えできます。<br><br>【仕様】<br>●収容台数(台):4●間口(mm):1440●奥行(mm):436●高さ(mm):567●スタンドピッチ(mm):400●適合タイヤサイズ:幅45mm以下、径18～27インチ<br><br>【材質／仕上】<br>●スチール<br><br>【セット内容／付属品】<br>●オールアンカー（M10×120mm）<br><br><font color=red>【注意】<br>●組立・据付・アンカー工事費別途。●自転車は別売です。</font><br><br>【質量】　13.8KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3039　ページ≪メーカー直送品≫■商品コード：trs4618963　●収容台数(台):4●間口(mm):1440●奥行(mm):436●高さ(mm):567●スタンドピッチ(mm):400●適合タイヤサイズ:幅45mm以下、径18～27インチ,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　４台収容ピッチ４００　CSM4　 【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　４台収容ピッチ４００　CSM4　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　４台収容ピッチ４００　CSM4　 【代引き不可・配送時間指定不可】[rn]
38-10138,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,37021.6000,,花・ガーデン・DIY > DIY・工具 > その他,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　６台収容ピッチ４００　CSM6　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ダイケン</b><br><br>【特長】<br>●スタンドの高低順を入れ換えできます。<br><br>【仕様】<br>●収容台数(台):6●間口(mm):2240●奥行(mm):436●高さ(mm):567●スタンドピッチ(mm):400●適合タイヤサイズ:幅45mm以下、径18～27インチ<br><br>【材質／仕上】<br>●スチール<br><br>【セット内容／付属品】<br>●オールアンカー（M10×120mm）<br><br><font color=red>【注意】<br>●組立・据付・アンカー工事費別途。●自転車は別売です。</font><br><br>【質量】　20.1KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3039　ページ≪メーカー直送品≫■商品コード：trs4618971　●収容台数(台):6●間口(mm):2240●奥行(mm):436●高さ(mm):567●スタンドピッチ(mm):400●適合タイヤサイズ:幅45mm以下、径18～27インチ,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　６台収容ピッチ４００　CSM6　 【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　６台収容ピッチ４００　CSM6　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　６台収容ピッチ４００　CSM6　 【代引き不可・配送時間指定不可】[rn]
38-10139,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,25754.4000,,花・ガーデン・DIY > DIY・工具 > その他,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　４台収容ピッチ６００　CSML4　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ダイケン</b><br><br>【特長】<br>●スタンドの高低順を入れ換えできます。<br><br>【仕様】<br>●収容台数(台):4●間口(mm):2040●奥行(mm):436●高さ(mm):267●スタンドピッチ(mm):600●適合タイヤサイズ:幅45mm以下、径18～27インチ<br><br>【材質／仕上】<br>●スチール<br><br>【セット内容／付属品】<br>●オールアンカー（M10×120mm）<br><br><font color=red>【注意】<br>●組立・据付・アンカー工事費別途。●自転車は別売です。</font><br><br>【質量】　14.6KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3039　ページ≪メーカー直送品≫■商品コード：trs4618980　●収容台数(台):4●間口(mm):2040●奥行(mm):436●高さ(mm):267●スタンドピッチ(mm):600●適合タイヤサイズ:幅45mm以下、径18～27インチ,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　４台収容ピッチ６００　CSML4　 【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　４台収容ピッチ６００　CSML4　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　４台収容ピッチ６００　CSML4　 【代引き不可・配送時間指定不可】[rn]
38-10140,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs31/trs4619005.jpg?fitin=700:700,62776.0000,,花・ガーデン・DIY > DIY・工具 > その他,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　両面１２台収容　CSMW12　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ダイケン</b><br><br>【特長】<br>●スタンドの高低順を入れ換えできます。<br><br>【仕様】<br>●収容台数(台):12●間口(mm):2400●奥行(mm):436●高さ(mm):567●スタンドピッチ(mm):200(双方向交互収容)●適合タイヤサイズ:幅45mm以下、径18～27インチ<br><br>【材質／仕上】<br>●スチール<br><br>【セット内容／付属品】<br>●オールアンカー（M10×120mm）<br><br><font color=red>【注意】<br>●組立・据付・アンカー工事費別途。●自転車は別売です。</font><br><br>【質量】　32.4KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3039　ページ≪メーカー直送品≫■商品コード：trs4619005　●収容台数(台):12●間口(mm):2400●奥行(mm):436●高さ(mm):567●スタンドピッチ(mm):200(双方向交互収容)●適合タイヤサイズ:幅45mm以下、径18～27インチ,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　両面１２台収容　CSMW12　 【代引き不可・配送時間指定不可】：工具箱　楽天市場店,ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　両面１２台収容　CSMW12　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。ダイケン　平置き自転車ラック前輪差込式サイクルスタンド　両面１２台収容　CSMW12　 【代引き不可・配送時間指定不可】[rn]
38-10141,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs32/trs4648021.jpg?fitin=700:700,64385.6000,,花・ガーデン・DIY > DIY・工具 > その他,富士　仮設アルミゲート１５－６０　ALG1560　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／藤本工業（株）</b><br><br>【特長】<br>●支柱を中心に回転し車両などの出入りに便利です。●開閉しやすい取手付です。●第三者の侵入防止です。<br><br>【用途】<br>●仮設の第三者現場進入禁止措置。<br><br>【仕様】<br>●高さ(mm):1510●全幅(mm):6000●たたみ幅(mm):600●開口幅(mm):6000●キャスタータイプ●アルミ型材<br><br>【材質／仕上】<br>●アルミニウム（一部スチール部分あり）<br><br>【セット内容／付属品】<br>●取り付けクランプ２個、施錠クランプ１個付<br><br><font color=red>【注意】<br>●設置するときの支柱は現場で用意願います。</font><br><br>【質量】　30KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3026　ページ≪メーカー直送品≫■商品コード：trs4648021　●高さ(mm):1510●全幅(mm):6000●たたみ幅(mm):600●開口幅(mm):6000●キャスタータイプ●アルミ型材,富士　仮設アルミゲート１５&minus;６０　ALG1560　 【代引き不可・配送時間指定不可】：工具箱　楽天市場店,富士　仮設アルミゲート１５&minus;６０　ALG1560　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。富士　仮設アルミゲート１５&minus;６０　ALG1560　 【代引き不可・配送時間指定不可】[rn]
38-10142,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs32/trs4648030.jpg?fitin=700:700,71575.2000,,花・ガーデン・DIY > DIY・工具 > その他,富士　仮設アルミゲート１８－６０　ALG1860　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／藤本工業（株）</b><br><br>【特長】<br>●支柱を中心に回転し車両などの出入りに便利です。●開閉しやすい取手付です。●第三者の侵入防止です。<br><br>【用途】<br>●仮設の第三者現場進入禁止措置。<br><br>【仕様】<br>●高さ(mm):1820●全幅(mm):6200●たたみ幅(mm):580●開口幅(mm):6200●キャスタータイプ●アルミ型材<br><br>【材質／仕上】<br>●アルミニウム（一部スチール部分あり）<br><br>【セット内容／付属品】<br>●取り付けクランプ２個、施錠クランプ１個付<br><br><font color=red>【注意】<br>●設置するときの支柱は現場で用意願います。</font><br><br>【質量】　33KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 3026　ページ≪メーカー直送品≫■商品コード：trs4648030　●高さ(mm):1820●全幅(mm):6200●たたみ幅(mm):580●開口幅(mm):6200●キャスタータイプ●アルミ型材,富士　仮設アルミゲート１８&minus;６０　ALG1860　 【代引き不可・配送時間指定不可】：工具箱　楽天市場店,富士　仮設アルミゲート１８&minus;６０　ALG1860　 【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。富士　仮設アルミゲート１８&minus;６０　ALG1860　 【代引き不可・配送時間指定不可】[rn]
38-10143,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs23/trs4094905.jpg?fitin=700:700,2372.0000,,花・ガーデン・DIY > DIY・工具 > その他,チカマサ　ウルトラロッソＧ　TS66B,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）近正</b><br><br>【特長】<br>●ギザ刃で滑らず切断可能です。●ソフトクッション付で衝撃吸収します。●グリップはガラス繊維入り樹脂で強く、またゴム質の樹脂部は滑らず手によくなじみます。<br><br>【用途】<br>●生花、アレンジメント。<br><br>【仕様】<br>●切断能力(mm):針金＃16●刃長(mm):45●全長(mm):195●ギザ刃加工。●針金切り付き(なまし針金＃16相当)。●替刃方式。<br><br>【材質／仕上】<br>●刃：高級炭素刃物工具鋼、高級フッ素加工●グリップ：エラストマー樹脂、PA＋GF<br><br>【質量】　160G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2425　ページ■商品コード：trs4094905　●切断能力(mm):針金＃16●刃長(mm):45●全長(mm):195●ギザ刃加工。●針金切り付き(なまし針金＃16相当)。●替刃方式。,チカマサ　ウルトラロッソＧ　TS66B：工具箱　楽天市場店,チカマサ　ウルトラロッソＧ　TS66B,【業務用】 オレンジブック2017掲載。チカマサ　ウルトラロッソＧ　TS66B[rn]
38-10144,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs23/trs4126181.jpg?fitin=700:700,1672.0000,,花・ガーデン・DIY > DIY・工具 > その他,ムサシ　　　　　オルマ　マグネット鋏　芽切型（赤）　MG2R,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ムサシ</b><br><br>【特長】<br>●枝や茎を切断する時の開閉反発力を約60％削減しました。●業界初、磁石の力で楽に開閉できるので、腕への疲労が非常に少なく長時間の作業にも大活躍です。<br><br>【用途】<br>●芽や茎の切断に。<br><br>【仕様】<br>●切断能力(mm):7●刃長(mm):70●全長(mm):190●色:レッド<br><br>【材質／仕上】<br>●刃：ステンレス刃物鋼(SUS420J2)●グリップ：ポリプロプレン(PP)+エラストマー樹脂<br><br>【質量】　160<br><br>【原産国】　中国<br><br>【2017　オレンジブック掲載】　5 2428　ページ■商品コード：trs4126181　●切断能力(mm):7●刃長(mm):70●全長(mm):190●色:レッド,ムサシ　　　　　オルマ　マグネット鋏　芽切型（赤）　MG2R：工具箱　楽天市場店,ムサシ　　　　　オルマ　マグネット鋏　芽切型（赤）　MG2R,【業務用】 オレンジブック2017掲載。ムサシ　　　　　オルマ　マグネット鋏　芽切型（赤）　MG2R[rn]
38-10145,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs42/trs7629346.jpg?fitin=700:700,3210.4000,,花・ガーデン・DIY > DIY・工具 > その他,Ｂｅｒｇｅｒ　　剪定鋏１７６０　２１５ｍｍ　1760　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／ＢＥＲＧＥＲ社</b><br><br>【特長】<br>●硬さの異なる材質のエルゴノミクスハンドルにより疲労を軽減します。●刃の内面の溝が切り離れを良くし、正確なカットを連続しておこなえます。●片手のみでセーフティロックが解除可能です。<br><br>【用途】<br>●植物の剪定作業や採果作業に。<br><br>【仕様】<br>●切断能力(mm):20●刃長(mm):100●全長(mm):215<br><br>【材質／仕上】<br>●刃:高炭素刃物鍛造鋼（クロムコーティング）●グリップ:アルミニウム<br><br>【原産国】　ドイツ<br><br>【質量】　240G<br><br>【2017　オレンジブック掲載】　5 2420ページ≪メーカー直送品≫　■商品コード：trs7629346　●切断能力(mm):20●刃長(mm):100●全長(mm):215<br><br>●メーカー直送品となった場合、商品のお渡しが<b><font color=red>車上渡し・１階軒先渡し</font></b>となる場合が御座います。予めご了承下さい。,Ｂｅｒｇｅｒ　　剪定鋏１７６０　２１５ｍｍ　1760　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,Ｂｅｒｇｅｒ　　剪定鋏１７６０　２１５ｍｍ　1760　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。Ｂｅｒｇｅｒ　　剪定鋏１７６０　２１５ｍｍ　1760　【代引き不可・配送時間指定不可】[rn]
38-10146,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs42/trs7630484.jpg?fitin=700:700,1602.4000,,花・ガーデン・DIY > DIY・工具 > その他,ＴＲＵＳＣＯ　剪定ハサミ（ラチェットタイプ）　TS716,【業務用】 オレンジブック2017掲載,<b>メーカー／トラスコ中山（株）</b><br><br>【特長】<br>●軽い力で切断できるラチェット機構を採用しています。●刃部はべたつきにくいフッ素コーティング処理をしています。<br><br>【仕様】<br>●切断能力(mm):16●刃長(mm):53●全長(mm):205<br><br>【材質／仕上】<br>●刃:高周波焼入加工<br><br>【質量】　253G<br><br>【原産国】　台湾<br><br>【2017　オレンジブック掲載】　5 2417　ページ■商品コード：trs7630484　●切断能力(mm):16●刃長(mm):53●全長(mm):205,ＴＲＵＳＣＯ　剪定ハサミ（ラチェットタイプ）　TS716：工具箱　楽天市場店,ＴＲＵＳＣＯ　剪定ハサミ（ラチェットタイプ）　TS716,【業務用】 オレンジブック2017掲載。ＴＲＵＳＣＯ　剪定ハサミ（ラチェットタイプ）　TS716[rn]
38-10147,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs23/trs4094841.jpg?fitin=700:700,1054.4000,,花・ガーデン・DIY > DIY・工具 > その他,チカマサ　摘果鋏　T500,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）近正</b><br><br>【特長】<br>●収穫物を傷つけにくいように刃の側面を丸く加工しています。●細かく作業ができるように刃先を細かくしています。<br><br>【用途】<br>●農作業全般に。●果樹、野菜の収穫、摘果、摘花作業。<br><br>【仕様】<br>●切断能力(mm):-●刃長(mm):35●全長(mm):170<br><br>【材質／仕上】<br>●刃：高級炭素刃物工具鋼●グリップ：鋼板製、プラスチックコーティング<br><br>【質量】　100G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2426　ページ■商品コード：trs4094841　●切断能力(mm):-●刃長(mm):35●全長(mm):170,チカマサ　摘果鋏　T500：工具箱　楽天市場店,チカマサ　摘果鋏　T500,【業務用】 オレンジブック2017掲載。チカマサ　摘果鋏　T500[rn]
38-10148,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs27/trs4424638.jpg?fitin=700:700,4617.6000,,花・ガーデン・DIY > DIY・工具 > その他,Ｂｅｒｇｅｒ　　剪定鋏１１０４　１８５ｍｍ　1104,【業務用】 オレンジブック2017掲載,<b>メーカー／ＢＥＲＧＥＲ社</b><br><br>【特長】<br>●ハイグレードモデルです。●鍛造アルミ製でエルゴノミック形状のハンドルは高い耐久性と軽量で持ちやすさを実現しています。●女性の方や、手の小さい方に最適なスモールサイズです。●女性の方や、手の小さい方に最適なスモールサイズです。●刃の内面には溝形状が掘られており、カットした対象物が刃につきにくく、なるため、正確なカットを連続しておこなえます。●使用されているドイツ鋼は「粘り」と同時に「硬さ」も兼ね備えており、工具には最適な材質です。<br><br>【用途】<br>●植物の剪定作業や採果作業に。<br><br>【仕様】<br>●切断能力(mm):20●刃長(mm):40●全長(mm):185●１５度角度仕様●ショックアブソーバー付●注油溝付<br><br>【材質／仕上】<br>●刃:高炭素刃物鍛造鋼（クロムコーティング）●グリップ:アルミニウム<br><br>【原産国】　ドイツ<br><br>【質量】　200G<br><br>【2017　オレンジブック掲載】　5 2419ページ■商品コード：trs4424638　●切断能力(mm):20●刃長(mm):40●全長(mm):185●１５度角度仕様●ショックアブソーバー付●注油溝付,Ｂｅｒｇｅｒ　　剪定鋏１１０４　１８５ｍｍ　1104：工具箱　楽天市場店,Ｂｅｒｇｅｒ　　剪定鋏１１０４　１８５ｍｍ　1104,【業務用】 オレンジブック2017掲載。Ｂｅｒｇｅｒ　　剪定鋏１１０４　１８５ｍｍ　1104[rn]
38-10149,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs36/trs4912624.jpg?fitin=700:700,1244.8000,,花・ガーデン・DIY > DIY・工具 > その他,Ｂｅｒｇｅｒ　　ネジセット　91012,【業務用】 オレンジブック2017掲載,<b>メーカー／ＢＥＲＧＥＲ社</b><br><br>【用途】<br>●剪定鋏1100、1104、1114用のネジセットです。<br><br>【仕様】<br>●適合機種:1100、1104、1114●品名:ネジセット<br><br>【原産国】　ドイツ<br><br>【質量】　13G<br><br>【2017　オレンジブック掲載】　5 2419ページ■商品コード：trs4912624　●適合機種:1100、1104、1114●品名:ネジセット,Ｂｅｒｇｅｒ　　ネジセット　91012：工具箱　楽天市場店,Ｂｅｒｇｅｒ　　ネジセット　91012,【業務用】 オレンジブック2017掲載。Ｂｅｒｇｅｒ　　ネジセット　91012[rn]
38-10150,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs23/trs4094875.jpg?fitin=700:700,1120.0000,,花・ガーデン・DIY > DIY・工具 > その他,チカマサ　芽切鋏ロング　T570,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）近正</b><br><br>【特長】<br>●奥まった所へ届くロング刃タイプです。<br><br>【用途】<br>●果実の摘果に。●果樹、野菜の収穫、摘果、摘花作業。<br><br>【仕様】<br>●切断能力(mm):-●刃長(mm):55●全長(mm):195<br><br>【材質／仕上】<br>●刃：高級炭素刃物工具鋼●グリップ：鋼板製、プラスチックコーティング<br><br>【質量】　105G<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　5 2426　ページ■商品コード：trs4094875　●切断能力(mm):-●刃長(mm):55●全長(mm):195,チカマサ　芽切鋏ロング　T570：工具箱　楽天市場店,チカマサ　芽切鋏ロング　T570,【業務用】 オレンジブック2017掲載。チカマサ　芽切鋏ロング　T570[rn]
38-10151,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs13/trs3429369.jpg?fitin=700:700,2508.0000,,花・ガーデン・DIY > DIY・工具 > その他,ＧＳ　太枝切付刈込鋏　2015,【業務用】 オレンジブック2017掲載,<b>メーカー／キンボシ（株）</b><br><br>【特長】<br>●刃の形状により切断能力が向上しました。●刈り込みと太い枝切りの兼用タイプです。<br><br>【用途】<br>●庭木・生垣などの剪定、刈り込み、太枝切りに。<br><br>【仕様】<br>●切断能力(mm):25●刃長(mm):170●全長(mm):650<br><br>【材質／仕上】<br>●刃:特殊刃物鋼●柄:ナラ樫<br><br>【原産国】　日本<br><br>【質量】　900G<br><br>【2017　オレンジブック掲載】　5 2416ページ■商品コード：trs3429369　●切断能力(mm):25●刃長(mm):170●全長(mm):650,ＧＳ　太枝切付刈込鋏　2015：工具箱　楽天市場店,ＧＳ　太枝切付刈込鋏　2015,【業務用】 オレンジブック2017掲載。ＧＳ　太枝切付刈込鋏　2015[rn]
38-10152,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs23/trs4103190.jpg?fitin=700:700,2784.8000,,花・ガーデン・DIY > DIY・工具 > その他,アルス　剪定鋏“Ｓ型７インチ”　120S7,【業務用】 オレンジブック2017掲載,<b>メーカー／アルスコーポレーション（株）</b><br><br>【特長】<br>●「プロ仕様の鍛造刃」で、刃の開きが大きく、剪定作業がスムーズに行えます。●刃はハードクロムメッキ仕上げです。<br><br>【用途】<br>●剪定作業に。<br><br>【仕様】<br>●切断能力(mm):15●刃長(mm):45●全長(mm):180●ヤニ溝付き<br><br>【材質／仕上】<br>●刃：高炭素刃物鋼●刃：鍛造刃●グリップ：板金+ビニールコーティング<br><br>【原産国】　日本<br><br>【質量】　210G<br><br>【2017　オレンジブック掲載】　5 2422ページ■商品コード：trs4103190　●切断能力(mm):15●刃長(mm):45●全長(mm):180●ヤニ溝付き,アルス　剪定鋏&ldquo;Ｓ型７インチ&rdquo;　120S7：工具箱　楽天市場店,アルス　剪定鋏&ldquo;Ｓ型７インチ&rdquo;　120S7,【業務用】 オレンジブック2017掲載。アルス　剪定鋏&ldquo;Ｓ型７インチ&rdquo;　120S7[rn]
38-10153,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs42/trs7629486.jpg?fitin=700:700,1571.2000,,花・ガーデン・DIY > DIY・工具 > その他,Ｂｅｒｇｅｒ　　剪定鋏１９１８用替刃　91603,【業務用】 オレンジブック2017掲載,<b>メーカー／ＢＥＲＧＥＲ社</b><br><br>【特長】<br>●剪定鋏１９１８用替刃です。<br><br>【用途】<br>●剪定鋏１９１８用の替刃です。<br><br>【仕様】<br>●刃長(mm):※●全長(mm):88●適合機種:1918<br><br>【原産国】　ドイツ<br><br>【質量】　26G<br><br>【2017　オレンジブック掲載】　5 2420ページ■商品コード：trs7629486　●刃長(mm):※●全長(mm):88●適合機種:1918,Ｂｅｒｇｅｒ　　剪定鋏１９１８用替刃　91603：工具箱　楽天市場店,Ｂｅｒｇｅｒ　　剪定鋏１９１８用替刃　91603,【業務用】 オレンジブック2017掲載。Ｂｅｒｇｅｒ　　剪定鋏１９１８用替刃　91603[rn]
38-10154,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs42/trs7629478.jpg?fitin=700:700,1424.0000,,花・ガーデン・DIY > DIY・工具 > その他,Ｂｅｒｇｅｒ　　剪定鋏１２００用替刃　91201,【業務用】 オレンジブック2017掲載,<b>メーカー／ＢＥＲＧＥＲ社</b><br><br>【特長】<br>●剪定鋏１２００用替刃です。<br><br>【用途】<br>●剪定鋏１２００用の替刃です。<br><br>【仕様】<br>●刃長(mm):※●全長(mm):84●適合機種:1200<br><br>【原産国】　ドイツ<br><br>【質量】　26G<br><br>【2017　オレンジブック掲載】　5 2420ページ■商品コード：trs7629478　●刃長(mm):※●全長(mm):84●適合機種:1200,Ｂｅｒｇｅｒ　　剪定鋏１２００用替刃　91201：工具箱　楽天市場店,Ｂｅｒｇｅｒ　　剪定鋏１２００用替刃　91201,【業務用】 オレンジブック2017掲載。Ｂｅｒｇｅｒ　　剪定鋏１２００用替刃　91201[rn]
