20-192101,http://tshop.r10s.jp/suncardo/cabinet/iris-1/4905009036264.jpg?fitin=700:700,3127.2000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,ハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16,,"商品の説明
大型電動工具などの高さのある物が収納できます。取っ手付きインナートレーが2段付いています。別売のショルダーベルトが取り付けられます。
製品型番:600
商品重量:2.8 Kg
梱包サイズ:53.6 x 27.8 x 28 cm
サイズ:外寸:536×280×278mm
色:グレー
材質:ポリプロピレン、ABS樹脂
商品の寸法:奥行き × 幅 × 高さ53.6 x 27.8 x 28 cm
色:グレー
外寸(mm)間口×奥行×高さ:536×280×278
有効内寸(mm)間口×奥行×高さ:450×200×215
本体・中皿:ポリプロピレン（PP）
取手・バックル:ABS樹脂<br><br>※こちらの商品は、ご注文日より3日から5日営業日以内に発送予定商品となります。",ハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16：suncardo,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得工具ハンドツールタイヤ関連商品パーツ収納・ツールボックス関連電装関連エアーツール特殊工具トラック関連・緩衝材オイルエレメントエアーエレメントワイパー補修ケミカル電動工具バランスウェイトパンク修理剤内張りクリップ洗車用品バッテリー用品ライト関連・LEDハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16,ハードケース６００グレーＩＲＩＳ【工具箱 ツールボックス 収納 ケース 整理 入れ物 送料無料05P05Nov16[rn]
20-192171,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-4/f23-1883.jpg?fitin=700:700,2235.2000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,E-Value ガレージツールセット（工具セット） （ETS-45G）　45本組 E-Value　工具セット　工具セット,,"（メーカー）　<br>
（ブランド）　E-Value",E-Value ガレージツールセット（工具セット） （ETS-45G）　45本組 E-Value　工具セット　工具セット：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドE-Value ガレージツールセット（工具セット） （ETS-45G）　45本組 E-Value　工具セット　工具セット,E-Value ガレージツールセット（工具セット） （ETS-45G）　45本組 E-Value　工具セット　工具セット[rn]
20-192172,http://tshop.r10s.jp/tuzukiya/cabinet/main/s37/s37-2443.jpg?fitin=700:700,10101.6000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRAD 引き出し付ツールボックス 70PCツールセット 3段／工具箱 オレンジ  TTS-70,,"ツールボックスサイズ:H289×W497×D253mm<br>
質量:12kg<br>
引き出しサイズ:H38×W382×D200mm<br>
中皿サイズ:H46(手持ちまで72)×W465×D200mm",TRAD 引き出し付ツールボックス 70PCツールセット 3段／工具箱 オレンジ  TTS-70：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドTRAD 引き出し付ツールボックス 70PCツールセット 3段／工具箱 オレンジ  TTS-70,TRAD 引き出し付ツールボックス 70PCツールセット 3段／工具箱 オレンジ  TTS-70[rn]
20-192173,http://tshop.r10s.jp/tuzukiya/cabinet/main/k32/k32-0701.jpg?fitin=700:700,1440.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,角利産業 時計バンド工具セット  箱約22.5×9.5×4cm MWB-20N,,"角利産業　時計バンド工具セット　MWB-20N<br>
<br>
時計バンドサイズの調整、バンド交換専用工具セットです。<br>
●セット内容:時計バンドピン抜き器(スペアピン3本付)、ミニハンマー、バネ棒外し、バンドピン抜き棒3本(0.8・0.9・1.0mm)、精密ドライバー(-1.2mm、-1.8mm)、ラジオペンチ125mmサイズ：箱約22.5×9.5×4cm<br>
重量：約210g<br>
材質：スチール、他<br>",角利産業 時計バンド工具セット  箱約22.5&times;9.5&times;4cm MWB-20N：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイド角利産業 時計バンド工具セット  箱約22.5&times;9.5&times;4cm MWB-20N,角利産業 時計バンド工具セット  箱約22.5&times;9.5&times;4cm MWB-20N[rn]
20-192174,http://tshop.r10s.jp/tuzukiya/cabinet/e22-29/e22-25605.jpg?fitin=700:700,1784.8000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,エスコ Eリング着脱工具セット （EA590E）,,"<br>
●Eリングの着脱用<br>
●適応軸サイズ…6・ 7・ 8・ 9mm<br>
●セット時全長…187mm<br>
 ！ご注意ください！<br>
 【エスコ】取扱商品には、既存メーカーと同等品を扱っている場合がございます。<br>
 これは、一部公益法人様向けにエスコ独自の注文番号が必要となるためです。<br>
 同等品でも価格が異なる場合がございますがあらかじめご了承願います。<br>",エスコ Eリング着脱工具セット （EA590E）：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドエスコ Eリング着脱工具セット （EA590E）,エスコ Eリング着脱工具セット （EA590E）[rn]
20-192175,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-4/f23-1493.jpg?fitin=700:700,813.6000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,E-Value ドライバー&ビット・ソケット （EMT-27） E-Value　工具セット　工具セット,,"家具の組み立て・メンテナンスに最適！<br>
【用途】家具の組み立て・メンテナンスなど、家庭・事務所の常備工具としてご使用ください。<br>
持ち運びに便利な収納ポーチ。<br>
ビットはドライバードリルでも使用可能。<br>
ベルト通しループ付。<br>",E-Value ドライバー&amp;ビット・ソケット （EMT-27） E-Value　工具セット　工具セット：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドE-Value ドライバー&amp;ビット・ソケット （EMT-27） E-Value　工具セット　工具セット,E-Value ドライバー&amp;ビット・ソケット （EMT-27） E-Value　工具セット　工具セット[rn]
20-192176,http://tshop.r10s.jp/tuzukiya/cabinet/main/f23-4/f23-1884.jpg?fitin=700:700,3640.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,E-Value ガレージツールセット（工具セット） （ETS-60G）　60本組 E-Value　工具セット　工具セット,,"（メーカー）　<br>
（ブランド）　E-Value",E-Value ガレージツールセット（工具セット） （ETS-60G）　60本組 E-Value　工具セット　工具セット：ＤＩＹツールストア　楽天市場店,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得PROXXONカクダイ移動式水栓柱ゴルフ距離測定器ホビークラフトスピードガンガーデニングウッドバーニングらくらくヘルパーミニルーターアサヒペン大都リョービ日曜大工モグラ退治シャワーヘッドカネダインカーバイトラバーメイドE-Value ガレージツールセット（工具セット） （ETS-60G）　60本組 E-Value　工具セット　工具セット,　。E-Value ガレージツールセット（工具セット） （ETS-60G）　60本組 E-Value　工具セット　工具セット[rn]
20-192177,http://tshop.r10s.jp/brico/cabinet/58/4989999700558_1.jpg?fitin=700:700,656.8000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,トラスコ中山 TRUSCO トランク工具箱 192X109X56.0 ブルー T-190,,■ハードな使用に耐える頑丈なプレス一体型です。<br>■片開き構造です。<br>■T-150、T-150SV、T-190、T-190SV、T-350、T-350SVは四隅に横滑り防止用凹凸が付いており積み重ねに便利です。<br>■中皿は、ついていません。<br><br>●色:ブルー<br>●外寸(mm)間口×奥行×高さ:192×109×56.0<br>●有効内寸(mm)間口×奥行×高さ:191×92×41<br>●シリンダ錠(別売):不可<br>●横滑り防止溝:あり<br>●質量(kg):0.4<br>●フック:なし<br>●本体:スチール,トラスコ中山 TRUSCO トランク工具箱 192X109X56.0 ブルー T-190：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼントトラスコ中山 TRUSCO トランク工具箱 192X109X56.0 ブルー T-190,トラスコ中山 TRUSCO トランク工具箱 192X109X56.0 ブルー T-190[rn]
20-192178,http://tshop.r10s.jp/brico/cabinet/37/4977292140737_1.jpg?fitin=700:700,6240.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,【送料無料】SK11 内装用腰袋デラックス NI-6,,"■ヘラ、刷毛、カッターなどの収納<br>
■全てのポケットの縁巻部分に針金を入れ、ポケットの形を崩さず、工具の出し入れが容易になっています。<br>
■水、汚れに強い特殊コーティングを施した牛本革製です。<br>
<br>
●サイズ：幅240×奥行×130高さ210mm<br>
●60mm幅ベルトまで対応<br>
●色：ブラック<br>
<br>
※用途以外の使用はしないでください。<br>
※濡れたまま使用されますと革の伸びやリベット類の緩みの原因となります。<br>
※リベット等の金具の変形・ゆるみ及び糸のほつれなど、異常のまま使用しないでください。",【送料無料】SK11 内装用腰袋デラックス NI-6：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント【送料無料】SK11 内装用腰袋デラックス NI-6,【送料無料】SK11 内装用腰袋デラックス NI-6[rn]
20-192179,http://tshop.r10s.jp/brico/cabinet/10/4977292299510_1.jpg?fitin=700:700,3596.0000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,藤原産業 SK11 ミニツールチェスト STR1002R,,"用途<br>
道具・工具・小物類の収納保管<br>
<br>
機能・特徴<br>
引出しはスムーズな開閉ができるベアリングレールを採用しました。<br>
持ち運びに便利なサイドハンドル付きです。<br>
<br>
仕様<br>
●本体サイズ：幅285×奥行155×高さ148mm<br>
●引出しサイズ：幅215×奥行130×高さ40mm<br>
●全段専用マット付<br>
<br>
注意事項<br>
平らで傾斜のない場所で使用してください。<br>
引出しは2つ同時に開かないでください。転倒する恐れがあります。<br>
振動等でカバーが閉じる場合がありますので注意して使用してください。<br>",藤原産業 SK11 ミニツールチェスト STR1002R：ホームセンターブリコ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天ホームセンター工具通信販売アウトドア竹すだれカー用品雑貨エクステリアペット用品オンラインショップ防災用品キッチン用品防犯用品ガラス飛散防止転倒防止ライト収納インテリアプレゼント藤原産業 SK11 ミニツールチェスト STR1002R,藤原産業 SK11 ミニツールチェスト STR1002R[rn]
20-192180,http://tshop.r10s.jp/rakuten24/cabinet/e4174/e417463h_l.jpg?fitin=700:700,3111.2000,,花・ガーデン・DIY > DIY・工具 > 工具収納 > 工具箱,TRUSCO アルミケース TAC-15【楽天24】【あす楽対応】[TRUSCO(トラスコ) 工具箱],,"<p>送料無料/TRUSCO アルミケース TAC-15<br>楽天24＞DIY・ガーデン＞作業工具・大工道具＞作業工具＞工具箱＞<br>ブランド：TRUSCO(トラスコ)/発売元：トラスコ中山</p>   <br>原産国：中国<br><br><hr size=""1"" color=""#e0e0e0"" noshade><br><b>商品説明</b><br>「TRUSCO アルミケース TAC-15」は、防キズエポキシ粉体塗装を施したアルミケースです。内装がウレタン製スポンジなので、ケースの内側は傷が付きにくく、収納物を衝撃から保護します。バックル部分をロックできるカギ付です。<br><b>製品仕様</b><br>●本体：アルミ合金<br>●芯材：合板<br>●中皿：ポリプロピレン(PP)<br>●ハンドル、コーナー：ABS樹脂<br>●外寸(mm)間口×奥行×高さ：460×333×143<br>●有効内寸(mm)間口×奥行×高さ：440×313×128<br>●質量(kg)：2.8<br><b>原産国</b><br>中国<br>JANコード：　4989999046489<br><hr size=""1"" color=""#e0e0e0"" noshade>広告文責：ケンコーコム株式会社<br>TEL:050-5577-5043<hr size=""1"" color=""#e0e0e0"" noshade><font color =""red"">※パッケージデザイン等は予告なく変更されることがあります。</font>",TRUSCO アルミケース TAC-15【楽天24】【あす楽対応】[TRUSCO(トラスコ) 工具箱]：楽天24,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得楽天24クリスタルガイザーミネラルウォーターリアップリアップx5ダウニーコンドームペリエサーモスコントレックス日焼け止めココナッツオイルえごまこめ油サンペレグリノ扇風機クリスタルガイザー 500ml 48本緑の魔女甘酒TRUSCO アルミケース TAC-15【楽天24】【あす楽対応】[TRUSCO(トラスコ) 工具箱],TRUSCO(トラスコ)/送料無料。TRUSCO アルミケース TAC-15【楽天24】【あす楽対応】[TRUSCO(トラスコ) 工具箱][rn]
