20-23101,http://tshop.r10s.jp/familiamia/cabinet/tir-ha/img67091570.jpg?fitin=700:700,52.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,ツリー・タワー◆発泡スチロール円錐SO（直径50ｍｍ×高さ80ｍｍ）（1個),,"<img src=""http://image.rakuten.co.jp/familiamia/cabinet/takuha.jpg"">
<br><br>直径50ｍｍ　高さ80ｍｍ　材質：発泡スチロール　国産
<br><br><br>",ツリー・タワー◆発泡スチロール円錐SO（直径50ｍｍ&times;高さ80ｍｍ）（1個)：ファミリアミア,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得手芸用品通販ハンドメイド作り方手芸キット生地シューズクリップちりめん手作りコサージュキットツリー・タワー◆発泡スチロール円錐SO（直径50ｍｍ&times;高さ80ｍｍ）（1個),発泡スチロール 【宅配便対応】。ツリー・タワー◆発泡スチロール円錐SO（直径50ｍｍ&times;高さ80ｍｍ）（1個)[rn]
20-23179,http://tshop.r10s.jp/yuzawaya/cabinet/50/375-12-650_1.jpg?fitin=700:700,504.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,★ハマナカ FELT DOG シーズー/H441-449 [フェルト羊毛キット],,ふわふわ羊毛でつくる、フェルト犬。<br>発売当初から大人気、須佐沙知子先生の新作です。<br><br>◆難易度：★★☆ベーシック<br>◆サイズ（約）：高さ 7.3cm<br><br>※写真は作品例です。<br>※見本画像と現物の色が多少異なる場合がございます。,★ハマナカ FELT DOG シーズー/H441-449 [フェルト羊毛キット]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形★ハマナカ FELT DOG シーズー/H441-449 [フェルト羊毛キット],　。★ハマナカ FELT DOG シーズー/H441-449 [フェルト羊毛キット][rn]
20-23180,http://tshop.r10s.jp/yuzawaya/cabinet/crykuraft01/385-01-262.jpg?fitin=700:700,870.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○クレイジュエリー型抜き いちご立体型（大）/260[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ],,"シリコーン製の型は粘土だけでなく、<br>
２液混合型レジンの型としてもお使いいただけます。<br>
但し、U V レジンは使用できません。 
<br><br>
★材質：シリコン製<br>
★入数：2個（重ねると立体いちごになります。）<br>
★乾燥前のサイズ（約/cm）：H4.2×W3.3×D2.8
<br><br>
※モニターによって実物のお色と若干異なる場合がございます。",○クレイジュエリー型抜き いちご立体型（大）/260[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○クレイジュエリー型抜き いちご立体型（大）/260[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ],　。○クレイジュエリー型抜き いちご立体型（大）/260[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ][rn]
20-23181,http://tshop.r10s.jp/yuzawaya/cabinet/kit/365-03-050.jpg?fitin=700:700,544.0000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,★パナミ リングピローベーシック 洋・白・スクエア/FRP-1 [ウエディング/小物/手作りキット],,"縫製済みのベーシックなリングピローです。お好みでレースやリボンをデコレーションすれば自分だけのオリジナルリングピローが作れます。
<br><br>◆サイズ（約）：15.5×16.5ｃｍ
<br>
<br>※画像とは色合いが異なる場合がございます。
<br>※既製品です。<br><br>
<hr size=""1"" color=""#cccccc"">
<font size=""3"" color=""#332019"">■ コチラもおすすめ！</font><p></p>
<table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr>
<td bgcolor=""#332019"" width=""3px""></td>
    <td align=""left"">
    <font color=""#332019"" size=""2"">ウェディング</font></td>
    <td align=""right""><font color=""#332019"">→</font></td>
  </tr>
</table><br>
<table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr>
<td bgcolor=""#332019"" width=""3px""></td>
    <td align=""left"">
    <font color=""#332019"" size=""2"">ぬいぐるみ</font></td>
    <td align=""right""><font color=""#332019"">→</font></td>
  </tr>
</table>",★パナミ リングピローベーシック 洋・白・スクエア/FRP-1 [ウエディング/小物/手作りキット]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形★パナミ リングピローベーシック 洋・白・スクエア/FRP-1 [ウエディング/小物/手作りキット],　。★パナミ リングピローベーシック 洋・白・スクエア/FRP-1 [ウエディング/小物/手作りキット][rn]
20-23182,http://tshop.r10s.jp/yuzawaya/cabinet/12/391-31-012_1.jpg?fitin=700:700,343.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,◎ウレタン 1000×1000×10  [発泡スチロール/クッション/板/工作/コスプレ資材],,"ウレタンフォーム（スポンジ）は軽く、やわらかで感触が良いため、イスやマットレスのクッション材として幅広く利用が可能です！<br>
用途に合わせてお選び下さい。<br><br>

◆サイズ： 1000×1000×10mm<br>
◆1個<br><br>

※画像と実際の商品は多少色や形が異なる場合がございます。",◎ウレタン 1000&times;1000&times;10  [発泡スチロール/クッション/板/工作/コスプレ資材]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形◎ウレタン 1000&times;1000&times;10  [発泡スチロール/クッション/板/工作/コスプレ資材],◎ウレタン 1000&times;1000&times;10  [発泡スチロール/クッション/板/工作/コスプレ資材][rn]
20-23183,http://tshop.r10s.jp/yuzawaya/cabinet/65/385-01-265_1.jpg?fitin=700:700,823.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○クレイジュエリー型抜き リンゴ立体型 （中・小）（シリコーン製）/267[クレイジュエリー/デコ/日清アソシエイツ],,"シリコーン製の型は粘土だけでなく、<br>
２液混合型レジンの型としてもお使いいただけます。<br>
但し、U V レジンは使用できません。<br><br>

◆乾燥前のサイズ（約）：中/1.9×直径2.2cm、小/1.6×直径1.8cm<br>
◆材質：シリコーンゴム<br><br>

◆使用できる素材：粘土：樹脂粘土（樹脂粘土 グレイス ジュエリーラインのご使用をお勧めします。）、軽量粘土、オーブン粘土（180℃まで使用可能）<br>
レジン：2液混合型レジン（ただし、この型は鏡面仕上げとはなっておりません。）<br><br>

◆使用不可である素材：UVレジン、シリコーン素材<br><br>

◆使用できる回数：レジンなど化学変化を伴い硬化する素材の場合、20回程度を過ぎると離型剤が必要になり、30～40回で使用不可となります。また、経年変化により型は劣化します。<br><br>

※モニターによって実物のお色と若干異なる場合がございます。",○クレイジュエリー型抜き リンゴ立体型 （中・小）（シリコーン製）/267[クレイジュエリー/デコ/日清アソシエイツ]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○クレイジュエリー型抜き リンゴ立体型 （中・小）（シリコーン製）/267[クレイジュエリー/デコ/日清アソシエイツ],○クレイジュエリー型抜き リンゴ立体型 （中・小）（シリコーン製）/267[クレイジュエリー/デコ/日清アソシエイツ][rn]
20-23184,http://tshop.r10s.jp/yuzawaya/cabinet/49/385-02-549_1.jpg?fitin=700:700,621.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○パジコ ソフトモールド アルファベット筆記体/404188[粘土/ねんど/フェイクスイーツ/プチデコ/レジン/型],,"JEWEL LABYRINTH　ジュエルラビリンス<br><br>
---------------------------------------------<br>
ソフトモールド【アルファベット筆記体】<br>
---------------------------------------------<br>
粘土や透明感のあるレジンクラフトで楽しめる、アレンジの幅が広がるソフトモールドです。<br>
ラメやシール、接着剤などを入れて自分だけのレジンアクセサリーが作れます。<br><br>
粘土はもちろん、発泡ウレタン（ふわふわパフィー）、透明樹脂（レジン）に適応した、やわらか素材です。<br>
透明なので、どこまで注いだかも見やすいから便利！<br><br>

・透明樹脂（レジン）の場合<br>
　型に樹脂を流し、固まったら後ろから押し出し外します。<br><br>
・粘土の型として使用する場合<br>
　モールドオイルや市販のベイビーオイルを筆で塗ってから粘土を入れると、型から粘土が外しやすいです。<br><br>
・発泡ウレタン（ふわふわパフィー）の場合<br>
　反応が終わったら、静かにはがすだけ！<br>
　断面を平らにしたい場合は表面が発泡したら、ひっくり返してクリアファイルに押しつけて平らにします。<br><br>
◆本体サイズ：W90×D12×H80mm<br>
◆耐熱温度：70℃<br>
◆耐冷温度：-20℃<br>
◆材質：PP<br><br>

※パッケージが変更になる場合がございます。<br>
※パッケージの使用方法・注意事項をよくお読みになって、ご使用下さい。
<br /><br />",○パジコ ソフトモールド アルファベット筆記体/404188[粘土/ねんど/フェイクスイーツ/プチデコ/レジン/型]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○パジコ ソフトモールド アルファベット筆記体/404188[粘土/ねんど/フェイクスイーツ/プチデコ/レジン/型],○パジコ ソフトモールド アルファベット筆記体/404188[粘土/ねんど/フェイクスイーツ/プチデコ/レジン/型][rn]
20-23185,http://tshop.r10s.jp/yuzawaya/cabinet/55/374-23-055_1.jpg?fitin=700:700,388.8000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,■クロバー フェルトパンチャー替針＜仕上げ針＞/58-609[手芸用品/羊毛フェルト/刺繍/モチーフ],,"作品表面の整えや仕上げ作業に。<br><br>

特に繊細な図案の表現や作品の細部のフェルティング作業に。<br>
羊毛刺しゅうなどの繊細な作業や作品の仕上げに適した、刺しあとが目立ちにくい針です。<br>
替針を上手に使い分けると作業性がアップします。<br><br>

羊毛刺しゅうとは？<br>
フェルト針で直接布地に羊毛を刺し込んで図案を再現する技法です。繊細でありながら、刺しゅう針で一針一針刺すのに比べて、手軽なのも魅力です。<br><br>

◆P.サイズ：70×185×11mm<br><br>

※モニターによって画像と実際の色とは多少異なる場合がございます。<br><br><hr size=""1"" color=""#cccccc""><font size=""3"" color=""#332019"">■ コチラもおすすめ！</font><p></p><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">フェルト羊毛キット</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table><br><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">フェルト羊毛材料</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table><br><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">フェルト羊毛用具</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table>",■クロバー フェルトパンチャー替針＜仕上げ針＞/58-609[手芸用品/羊毛フェルト/刺繍/モチーフ]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形■クロバー フェルトパンチャー替針＜仕上げ針＞/58-609[手芸用品/羊毛フェルト/刺繍/モチーフ],　。■クロバー フェルトパンチャー替針＜仕上げ針＞/58-609[手芸用品/羊毛フェルト/刺繍/モチーフ][rn]
20-23186,http://tshop.r10s.jp/yuzawaya/cabinet/crykuraft01/385-02-505.jpg?fitin=700:700,294.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○パジコ ねんど型 スイーツ生地/404094[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ],,"キュートなスイーツデコパーツが簡単にできる粘土型です。<br>
ワッフルやタルト、カップケーキ、クレープなどの制作に。<br>
◆サイズ（約）：7.9×10.4×1.3ｍｍ<br>
◆素材：PE<br>
※画像とは色合いが異なる場合がございます。",○パジコ ねんど型 スイーツ生地/404094[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○パジコ ねんど型 スイーツ生地/404094[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ],　。○パジコ ねんど型 スイーツ生地/404094[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ][rn]
20-23187,http://tshop.r10s.jp/yuzawaya/cabinet/15/385-01-015_1.jpg?fitin=700:700,726.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○プロフェッショナルA[クレイクラフト/粘土/ねんど/樹脂粘土],,"セルロース系高級彫塑用粘土<br>
薄く伸ばせ、完全乾燥後も優れた弾力性を持ち、折れたり割れたりしにくいのが特徴。<br>
まろやかな質感で透明感もあるため、自然の花や、人形の髪などに使用できます。<br>
また、つややかで美しい仕上がりが楽しめます。<br>
◆容量：1個<br>
◆重量：200g<br><br><hr size=""1"" color=""#cccccc""><font size=""3"" color=""#332019"">■ コチラもおすすめ！</font><p></p><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">樹脂粘土</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table><br><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">透明粘土</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table><br><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">オープン用粘土</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table><br><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">粘土・道具</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table><br><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">粘土用溶剤</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table>",○プロフェッショナルA[クレイクラフト/粘土/ねんど/樹脂粘土]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○プロフェッショナルA[クレイクラフト/粘土/ねんど/樹脂粘土],　。○プロフェッショナルA[クレイクラフト/粘土/ねんど/樹脂粘土][rn]
20-23188,http://tshop.r10s.jp/yuzawaya/cabinet/crykuraft01/385-02-507.jpg?fitin=700:700,294.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,○パジコ ねんど型 キッズ/404096[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ],,"キュートなのスイーツデコパーツがカンタンにできる粘土型です。 ビスケット、カップケーキ、ハートのマカロン、アイスやリボンなどの制作に。<br>
◆サイズ（約）：7.5×9×1.3ｍｍ<br>
◆素材：PE<br>
※画像とは色合いが異なる場合がございます。",○パジコ ねんど型 キッズ/404096[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形○パジコ ねんど型 キッズ/404096[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ],　。○パジコ ねんど型 キッズ/404096[クレイクラフト/粘土/ねんど/フェイクスイーツ/プチデコ][rn]
20-23189,http://tshop.r10s.jp/yuzawaya/cabinet/04/322-28-004_1.jpg?fitin=700:700,155.2000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,★押し花用ピンセット,,"初心者でも使いやすい先端が平形になったピンセット。<br>
先が平たく押し花を壊さずつかめます。<br><br>
◆サイズ：約全長12.8cm<br><br>
※写真と実際の商品の色とは多少異なる場合があります。<br>",★押し花用ピンセット：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形★押し花用ピンセット,★押し花用ピンセット[rn]
20-23190,http://tshop.r10s.jp/yuzawaya/cabinet/10/385-12-010_1.jpg?fitin=700:700,154.4000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,■こねこねランド クレイマジック カラフルねんど イエロー（黄色）/004 [粘土],,"発色の良いカラーねんどで、ふわふわと柔らかく、軽く、手にベトつかずとても使いやすい粘土です。<br>一日の自然乾燥で軽い状態で固まります。非常に軽くて丈夫、落としても壊れにくいです。<br>素材は特殊な樹脂とパルプを使った新しいタイプの立体製作用の素材です。<br>日本玩具協会の安全基準（成分試験）に適合し、日本食品分析センターの検証済みの安全性の高い粘土です。<br><br>◆クレイアーティスト　金田みちよ先生監修<br>◆パッケージサイズ（約）：8.5×14.5cm<br>　<br>※材料は写真と色・形が変わることがあります 。<br>※写真と実際の商品の色とは多少異なる場合があります。<br><br><hr size=""1"" color=""#cccccc""><font size=""3"" color=""#332019"">■ コチラもおすすめ！</font><p></p><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">樹脂粘土</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table><br><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">透明粘土</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table><br><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">軽量粘土</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table><br><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">粘土・道具</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table><br><table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr><td bgcolor=""#332019"" width=""3px""></td>    <td align=""left"">    <font color=""#332019"" size=""2"">粘土用溶剤</font></td>    <td align=""right""><font color=""#332019"">→</font></td>  </tr></table>",■こねこねランド クレイマジック カラフルねんど イエロー（黄色）/004 [粘土]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形■こねこねランド クレイマジック カラフルねんど イエロー（黄色）/004 [粘土],■こねこねランド クレイマジック カラフルねんど イエロー（黄色）/004 [粘土][rn]
20-23191,http://tshop.r10s.jp/yuzawaya/cabinet/385/385-04-014.jpg?fitin=700:700,777.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,☆ガスコンロ焼成用ステンレス網（補助網付）/F-018B[アートクレイシルバー/クレイクラフト/粘土/ねんど],,"アートクレイシルバーの作品作りにあると便利な道具です。<br>ガスコンロ焼成専用の網です。<br><br>

◆1個入り",☆ガスコンロ焼成用ステンレス網（補助網付）/F-018B[アートクレイシルバー/クレイクラフト/粘土/ねんど]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形☆ガスコンロ焼成用ステンレス網（補助網付）/F-018B[アートクレイシルバー/クレイクラフト/粘土/ねんど],　。☆ガスコンロ焼成用ステンレス網（補助網付）/F-018B[アートクレイシルバー/クレイクラフト/粘土/ねんど][rn]
20-23192,http://tshop.r10s.jp/yuzawaya/cabinet/tolstn-01/386-07-016.jpg?fitin=700:700,445.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,◎粘土 御影土 赤御影土（あかみかげづち） 2ｋｇ/S-75-2[クレイクラフト/粘土/ねんど/陶芸],,"本体40メッシュ通過なれど2mm下シャモット、荒目の珪石類で粒度調整。<br>
還元では8以上は焼成不能
<br>
成形万能！
<br><br>

◆2kg<br>
◆フルイ目[メッシュ]＝40メッシュ（最大粒径2.5mm）<br>
◆焼成適温＝1200～1230℃<br>
◆収縮率＝12.3～12.7％<br>
◆吸水率＝2.3～2.8％",◎粘土 御影土 赤御影土（あかみかげづち） 2ｋｇ/S-75-2[クレイクラフト/粘土/ねんど/陶芸]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形◎粘土 御影土 赤御影土（あかみかげづち） 2ｋｇ/S-75-2[クレイクラフト/粘土/ねんど/陶芸],　。◎粘土 御影土 赤御影土（あかみかげづち） 2ｋｇ/S-75-2[クレイクラフト/粘土/ねんど/陶芸][rn]
20-23193,http://tshop.r10s.jp/yuzawaya/cabinet/handicraft/391-24-012.jpg?fitin=700:700,673.6000,,日用品雑貨・文房具・手芸 > 手芸・クラフト・生地 > その他,◎スチロールカット 200×200×400 [発泡スチロール/ブロック/板/工作/コスプレ資材],,"発泡スチロール角型です。<br>
軽くて扱いやすいので、手芸やフラワー（造花）の土台や、工作など自由な発想で使い方は様々！<br>
用途に合わせてお選び下さい。<br><br> 

◆サイズ： 200×200×400mm
<br>
◆1個
<br>
◆材質：発泡スチロール<br><br>

※画像と実際の商品は多少色や形が異なる場合がございます。<br><br>
<hr size=""1"" color=""#cccccc"">
<font size=""3"" color=""#332019"">■ コチラもおすすめ！</font><p></p>
<table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr>
<td bgcolor=""#332019"" width=""3px""></td>
    <td align=""left"">
    <font color=""#332019"" size=""2"">発泡スチロール球・スチロールカット</font></td>
    <td align=""right""><font color=""#332019"">→</font></td>
  </tr>
</table><br>
<table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr>
<td bgcolor=""#332019"" width=""3px""></td>
    <td align=""left"">
    <font color=""#332019"" size=""2"">フラワー用品</font></td>
    <td align=""right""><font color=""#332019"">→</font></td>
  </tr>
</table><br>
<table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr>
<td bgcolor=""#332019"" width=""3px""></td>
    <td align=""left"">
    <font color=""#332019"" size=""2"">フェイクスイーツ</font></td>
    <td align=""right""><font color=""#332019"">→</font></td>
  </tr>
</table><br>
<table bgcolor=""#F1EFE2"" border=""0"" cellpadding=""5"" width=""70%"" height=""30px""><tr>
<td bgcolor=""#332019"" width=""3px""></td>
    <td align=""left"">
    <font color=""#332019"" size=""2"">DIY用品・接着剤</font></td>
    <td align=""right""><font color=""#332019"">→</font></td>
  </tr>
</table>",◎スチロールカット 200&times;200&times;400 [発泡スチロール/ブロック/板/工作/コスプレ資材]：ユザワヤ,通信販売通販ショッピングオンラインショッピング買い物プレゼントギフト贈り物贈答品お中元お歳暮お買い得ユザワヤ洋裁和裁ミシン毛糸パッチワーク刺しゅうビーズプリザーブドフラワートールペイントちりめんフェルト粘土テディベア羊毛フェルト手芸生地節句人形五月人形ひな人形◎スチロールカット 200&times;200&times;400 [発泡スチロール/ブロック/板/工作/コスプレ資材],　。◎スチロールカット 200&times;200&times;400 [発泡スチロール/ブロック/板/工作/コスプレ資材][rn]
