20-164401,http://tshop.r10s.jp/kurashikenkou/cabinet/tasya12/9301734-e.jpg?fitin=700:700,1509.6000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕,【税込3990円以上で送料無料】,"<!--▼カゴ下バナー--><center><font color=""#ff1493"" size=""6""></center></font><iframe src=""http://www.rakuten.ne.jp/gold/kurashikenkou/cart_161018.html"" width=""100%"" height=""670"" scrolling=""no"" frameborder=""0"" =""""></iframe 　><!--▲カゴ下バナー--><br>



















<font color=""deeppink""><b>変幻自在な電源タップ♪</b></font><br><br>
クネクネとジョイント部分が動くキュービックタップ！<br>
変幻自在に折り曲げて、お部屋や柱周りに合わせて使えます♪<br>
最大180に曲がるので、デジタルカメラなどの幅広アダプターもOK！<br><br>
◆一括集中スイッチ付きで省エネ♪<br>
◆トラッキング火災・静電気防止で安心安全♪<br>
※海外では使用できません。USBポートは付いていません。<br><br>●商品サイズ（約）：幅25.8×奥行3.85×高さ3.25cm<br>
●重量：約360g<br>
●材質<br>
本体：耐火ABS樹脂<br>
プラグ差し込み部分：耐火ABS樹脂、ユリア樹脂<br>
●カラー：ホワイト<br>
●コンセント差し込み口：4個<br>
●電源コード長さ：2.0m<br>
●定格：125V/15A （合計1500Wまで）<br>
●機能：静電気防止機能・絶縁キャップ（トラッキング火災防止）",CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕：暮らし健康ネット館,キッチンバス調理器具洗剤クリスタルガイザー500ml柔軟剤室内物干し物干し健康食品アイリスオーヤマ掃除ハンガー洗濯収納米ダイエット水ダウニーフライパン特茶CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕,【税込3990円以上で送料無料】。CJプライムショッピング イージーキュービックタップ 4個口 【B】【TC】〔電源タップ 4個口 2.0m ホワイト〕[rn]
20-164486,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_140/4971275012431_ll.jpg?fitin=700:700,1176.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,オーム電機 楽々抜取レバー ブレーカー兼集中スイッチ付き 節電タップ(6個口・2m) HS-T1243W [HST1243W],,□商品説明<br>●一括集中スイッチ付きです。通電状態が一目でわかり、一括入/切で待機電力のムダをカットできます。<br>●過電流防止ブレーカー(集中電源スイッチ兼用リセットスイッチ式)付きです。容量オーバーによる過電流を感知するとブレーカーが作動し、事故を防止します。<br>●楽々抜取対応コンセント(3か所)が付いています。楽々抜取レバーを押すだけで、プラグが簡単に抜けるので、力の弱い方にも楽にコンセントを抜き取れます。<br>●耐トラッキング絶縁カバー付き、トラッキング火災防止プラグを採用しています。<br>●壁にかけられるフック付き。壁にネジを取付け、本体背面にあるフック穴にネジの頭を合わせてスライドさせて取り付けます。<br>●合計1500Wまで。<br>□商品仕様<br>●コンセント:6口<br>●楽々抜取りレバー付き<br>●集中スイッチ付き<br>●過電流防止ブレイカー(集中スイッチ兼用リセット式)<br>●コード長:2m<br>●合計1500ワットまで<br>【注意】<br>●必ず合計1500ワット以下でお使い下さい。許容最大消費電力を超える状態でご使用になりますと、製品が焼損・発火するおそれがあります。<br>●エアコンや食器洗浄機等の機器によってはタップの使用を禁止している場合があります。使用する機器の取扱説明書に従ってご使用下さい。,オーム電機 楽々抜取レバー ブレーカー兼集中スイッチ付き 節電タップ(6個口・2m) HS-T1243W [HST1243W]：エディオン　楽天市場店,オーム電機 楽々抜取レバー ブレーカー兼集中スイッチ付き 節電タップ(6個口・2m) HS-T1243W [HST1243W],オーム電機 楽々抜取レバー ブレーカー兼集中スイッチ付き 節電タップ(6個口・2m) HS-T1243W [HST1243W][rn]
20-164487,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_043/4902710021022_ll.jpg?fitin=700:700,192.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,パナソニック 引掛シーリング増改アダプタ2型 WG4482PK [WG4482PK],,□商品説明<br>●引掛シーリング増改アダプタ2型です。<br>□商品仕様<br>●定格:6A 125V<br>●パッケージ寸法:W9.0×H12.0×D3.7cm<br>●質量:83g,パナソニック 引掛シーリング増改アダプタ2型 WG4482PK [WG4482PK]：エディオン　楽天市場店,パナソニック 引掛シーリング増改アダプタ2型 WG4482PK [WG4482PK],パナソニック 引掛シーリング増改アダプタ2型 WG4482PK [WG4482PK][rn]
20-164488,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_149/4971275014459_ll.jpg?fitin=700:700,1278.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,オーム電機 節電タップ(6個口・1m) 木目調 HS-TP61A45WO [HSTP61A45WO],,□商品説明<br>●和室やフローリングに調和する木目デザイン。<br>●壁コンセントに密着できる便利なLプラグ。<br>●ランプ付個別スイッチ。<br>●耐トラッキングカバー付。<br>●二重被覆絶縁電線コード。<br>□商品仕様<br>●コンセント:6個口<br>●15A 125V 1.500W以下<br>●コード長:1m<br>●材質:難燃性ABS<br>●質量:約360g,オーム電機 節電タップ(6個口・1m) 木目調 HS-TP61A45WO [HSTP61A45WO]：エディオン　楽天市場店,オーム電機 節電タップ(6個口・1m) 木目調 HS-TP61A45WO [HSTP61A45WO],オーム電機 節電タップ(6個口・1m) 木目調 HS-TP61A45WO [HSTP61A45WO][rn]
20-164489,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_137/4966307280308_ll.jpg?fitin=700:700,584.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ヤザワ 雷サージ付トリプルタップ(3個口) ホワイト Y02THK300WH [Y02THK300WH],,●大きな雷でも安心の13、000V対応雷サージフィルターで接続機器を保護します。<br>●3方向に電源を分配します。<br>●コンパクトサイズでスペースを気にせず配線できます。<br>●プラグはホコリや湿気によって発生するトラッキング火災を予防する絶縁カバー付きです。<br>●個口数:3個口<br>●最大サージ電圧:13000V<br>●制限電圧:500V<br>●定格入力:125V 15A 合計1500Wまで<br>●耐トラ:あり<br>●本体寸法:W4.7×H4.2×D4.4cm<br>●本体質量:38g,ヤザワ 雷サージ付トリプルタップ(3個口) ホワイト Y02THK300WH [Y02THK300WH]：エディオン　楽天市場店,ヤザワ 雷サージ付トリプルタップ(3個口) ホワイト Y02THK300WH [Y02THK300WH],ヤザワ 雷サージ付トリプルタップ(3個口) ホワイト Y02THK300WH [Y02THK300WH][rn]
20-164490,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_149/4971275027817_ll.jpg?fitin=700:700,1537.6000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,オーム電機 USBポート付テーブルタップ(雷ガード付・2個口・1m) ブラック HS-TU21N81K [HSTU21N81K],,□商品説明<br>●壁コンセントに密着できる便利なLプラグ。<br>●合計出力2.4A USB充電ポート×2ポート。<br>●二重被覆絶縁電線コード。<br>●耐トラッキングカバー付。<br>●雷サージ軽減素子内蔵。<br>□商品仕様<br>●コンセント:2個口<br>●USB充電ポート出力:2ポート 合計2.4A<br>●15A 125V 1400W以下<br>●電線長さ:1m<br>●材質:難燃性PC,オーム電機 USBポート付テーブルタップ(雷ガード付・2個口・1m) ブラック HS-TU21N81K [HSTU21N81K]：エディオン　楽天市場店,オーム電機 USBポート付テーブルタップ(雷ガード付・2個口・1m) ブラック HS-TU21N81K [HSTU21N81K],オーム電機 USBポート付テーブルタップ(雷ガード付・2個口・1m) ブラック HS-TU21N81K [HSTU21N81K][rn]
20-164491,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_043/4902710028052_ll.jpg?fitin=700:700,104.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,パナソニック 送り付レセプタクルB WW3403P [WW3403P],,□商品説明<br>●6A 250V。<br>□商品仕様<br>●定格:6A 250V<br>●個装寸法:W9.0×H15.0×D5.6cm<br>●質量:47g,パナソニック 送り付レセプタクルB WW3403P [WW3403P]：エディオン　楽天市場店,パナソニック 送り付レセプタクルB WW3403P [WW3403P],パナソニック 送り付レセプタクルB WW3403P [WW3403P][rn]
20-164492,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_038/4901087004553_ll.jpg?fitin=700:700,116.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,エルパ コーナータップ(2個口) A31H [A31H],2個口 三角タップ。,□商品説明<br>●1つのコンセントから2方向に電源を分配することができます。<br>□商品仕様<br>●定格:125V 15A<br>●定格電力:合計1500Wまで<br>●口数:2個口,エルパ コーナータップ(2個口) A31H [A31H]：エディオン　楽天市場店,エルパ コーナータップ(2個口) A31H [A31H],2個口 三角タップ。。エルパ コーナータップ(2個口) A31H [A31H][rn]
20-164493,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_146/4966307351480_ll.jpg?fitin=700:700,424.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ヤザワ USBタップ(AC 1個口・USBポート 2個口) ホワイト MCA2U2AWH [MCA2U2AWH],,□商品説明<br>●USBポート2個口、ACコンセント1個口で合計3台充電できる!<br>●USB出力合計2AでタブレットPCにも対応!<br>●持ち運びに便利な収納式プラグ。<br>□商品仕様<br>●コンセント口数:1口<br>●USB口数:2口<br>●本体寸法:W4.5×H11.6×D2.65cm<br>●本体質量:97g,ヤザワ USBタップ(AC 1個口・USBポート 2個口) ホワイト MCA2U2AWH [MCA2U2AWH]：エディオン　楽天市場店,ヤザワ USBタップ(AC 1個口・USBポート 2個口) ホワイト MCA2U2AWH [MCA2U2AWH],ヤザワ USBタップ(AC 1個口・USBポート 2個口) ホワイト MCA2U2AWH [MCA2U2AWH][rn]
20-164494,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_043/4902710010071_ll.jpg?fitin=700:700,136.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,パナソニック ベター3A中間スイッチ ブラック WH5403BP [WH5403BP],,□商品説明<br>●ベター3A中間スイッチです。<br>□商品仕様<br>●定格:3A 300V<br>●仕様:平形コード用<br>●パッケージ寸法:W6.0×H12.0×D1.7cm<br>●質量:25g,パナソニック ベター3A中間スイッチ ブラック WH5403BP [WH5403BP]：エディオン　楽天市場店,パナソニック ベター3A中間スイッチ ブラック WH5403BP [WH5403BP],パナソニック ベター3A中間スイッチ ブラック WH5403BP [WH5403BP][rn]
20-164495,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_146/4966307216949_ll.jpg?fitin=700:700,1952.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,ヤザワ 差し込みフリータップ USB付(7．5個口・2．5m) ホワイト H75025WHUSB [H75025WHUSB],,□商品説明<br>●業界初の詰めて挿せるコンセントタップ。<br>●ひとつずつ差込み穴をズラして挿せます。<br>●プラグ・アダプターを自分仕様に思いのままスッキリ挿せます。<br>●壁にピッタリ!邪魔にならないL型プラグ採用。<br>●大型アダプターもスペースを無駄にすることなく挿す事ができます。<br>●さまざまなコンセントプラグ形状に対応できます。<br>●スマートフォン・携帯電話などをPCを使わず直接充電!USB差込口付(1ポート)。<br>□商品仕様<br>●個口数:7.5個口<br>●コード長:2.5m<br>●寸法:W2.9×H27.5×D2.8cm<br>●質量:355g,ヤザワ 差し込みフリータップ USB付(7．5個口・2．5m) ホワイト H75025WHUSB [H75025WHUSB]：エディオン　楽天市場店,ヤザワ 差し込みフリータップ USB付(7．5個口・2．5m) ホワイト H75025WHUSB [H75025WHUSB],ヤザワ 差し込みフリータップ USB付(7．5個口・2．5m) ホワイト H75025WHUSB [H75025WHUSB][rn]
20-164496,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_137/4907986201758_ll.jpg?fitin=700:700,1952.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,カシムラ 国内・海外兼用 電源タップ(2．1A Aタイプ 2USB+4個口・1m) ホワイト TI-175 [TI175],,●4口のACコンセントとUSB2ポートで最大6製品の使用が可能。USB付き電源タップです。<br>●ACコンセントは4口合計1400Wまで対応。(海外でご使用の場合は現地の電圧をご確認ください。)<br>●最大2口合計2.1A USBポート。手持ちの純正USBケーブルをつないで使用できます。<br>●コード長1mでコンセントから離れた場所でも電気製品の使用が可能。<br>●出力:[ACコンセント]4口合計 1400W  [USBポート]2ポート合計 最大DC5V/2.1A<br>●入力電圧:AC100-240V 50/60Hz<br>●使用温度範囲:0～35℃<br>●コード長:約1m<br>●本体寸法:W4.5×H2.4×D14.0cm<br>●質量:192g,カシムラ 国内・海外兼用 電源タップ(2．1A Aタイプ 2USB+4個口・1m) ホワイト TI-175 [TI175]：エディオン　楽天市場店,カシムラ 国内・海外兼用 電源タップ(2．1A Aタイプ 2USB+4個口・1m) ホワイト TI-175 [TI175],カシムラ 国内・海外兼用 電源タップ(2．1A Aタイプ 2USB+4個口・1m) ホワイト TI-175 [TI175][rn]
20-164497,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_148/4971275014534_ll.jpg?fitin=700:700,2142.4000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,オーム電機 拡張コンセント リビング用 4個口+2USB HS-TU4LV1-W [HSTU4LV1W],,□商品説明<br>●壁面とフィットするデザインでインテリアに調和する新型拡張コンセント。<br>●USB充電ポート2個付きでスマホやタブレットの充電もできます。<br>●絶縁カバー付きプラグでトラッキング火災を防止。<br>●過電流防止ブレーカー付き。<br>●ホコリ防止安全シャッター付き。<br>●コンセント周り難燃性樹脂採用。<br>●雷サージ軽減素子内蔵。<br>□商品仕様<br>●コンセント:4個口<br>●USB:2個口(電流容量2400mA)<br>●定格:15A 125V 1500W以下<br>●外形寸法:W12.0×H15.5×D3.4cm(プラグ含まず)<br>●質量:約250g,オーム電機 拡張コンセント リビング用 4個口+2USB HS-TU4LV1-W [HSTU4LV1W]：エディオン　楽天市場店,オーム電機 拡張コンセント リビング用 4個口+2USB HS-TU4LV1-W [HSTU4LV1W],オーム電機 拡張コンセント リビング用 4個口+2USB HS-TU4LV1-W [HSTU4LV1W][rn]
20-164498,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_105/4989602840534_ll.jpg?fitin=700:700,2136.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,パナソニック OAタップ(4個口・5m) グレー WCH2354HP [WCH2354HP],,□商品説明<br>●OAタップ(4個口・5m)です。<br>□商品仕様<br>●コンセント差し込み口数:4個口<br>●コード長:5m<br>●仕様:接地15A形<br>●定格:15A 125V<br>●パッケージ寸法:W13.5×H33.0×D8.0cm<br>●質量:830g,パナソニック OAタップ(4個口・5m) グレー WCH2354HP [WCH2354HP]：エディオン　楽天市場店,パナソニック OAタップ(4個口・5m) グレー WCH2354HP [WCH2354HP],パナソニック OAタップ(4個口・5m) グレー WCH2354HP [WCH2354HP][rn]
20-164499,http://tshop.r10s.jp/edion/cabinet/goods/ll/img_082/4971275019560_ll.jpg?fitin=700:700,1288.0000,,パソコン・周辺機器 > PCアクセサリー > 電源タップ,オーム電機 LEDスイッチ付き節電過電流防止タップ(6個口・2．5m) HS-T1956W [HST1956W],,□商品説明<br>●長寿命省エネのLEDランプスイッチ(6個口)で更に節電。(従来のネオンランプの消費電力を85%カット(メーカー従来商品比))<br>●耐トラッキング絶縁カバー付きフリープラグ。<br>●丈夫な二重被覆コード。<br>●本体は難燃性樹脂、コンセント周りは耐熱ユリア樹脂使用。<br>●コンセント部分はホコリなどの侵入しにくいシャッター付き。<br>●雷サージ軽減素子内蔵。電源コンセントから侵入する誘導雷(雷サージ)電圧の制限に効果があります。<br>●過電流防止スイッチ付き。<br>●※接続使用される機器の最大消費電力の合計が1500Wを超えない範囲でご使用ください。<br>□商品仕様<br>●コンセント:6個口<br>●定格容量:15A-125V<br>●コード長:2.5m<br>●質量:469g,オーム電機 LEDスイッチ付き節電過電流防止タップ(6個口・2．5m) HS-T1956W [HST1956W]：エディオン　楽天市場店,オーム電機 LEDスイッチ付き節電過電流防止タップ(6個口・2．5m) HS-T1956W [HST1956W],オーム電機 LEDスイッチ付き節電過電流防止タップ(6個口・2．5m) HS-T1956W [HST1956W][rn]
