30-10901,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,15560.0000,,花・ガーデン・DIY > DIY・工具 > その他,ニッチ　ギヤードトロリ　１．０ｔ　GT5010,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ニッチ</b><br><br>【特長】<br>●ハンドチェーンと減速歯車を介して、より小さな人力で横行可能です。<br><br>【仕様】<br>●定格荷重(t):1.0●最小回転半径(mm):1000●適用横行レール幅(mm):75-100-125●揚程(m):2.5●手動用<br><br><font color=red>【注意】<br>●手動チェンブロック(H-50A形)の上フックを掛けてご使用ください。●手動チェンブロック(H-50A形)と直結する場合はご相談ください。●電気チェンブロックにはご使用できません。</font>●電気チェンブロックにご使用の場合はご相談ください。</font><br><br>【質量】　12KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2779　ページ≪メーカー在庫品≫■商品コード：trs4576080　●定格荷重(t):1.0●最小回転半径(mm):1000●適用横行レール幅(mm):75-100-125●揚程(m):2.5●手動用,ニッチ　ギヤードトロリ　１．０ｔ　GT5010：工具箱　楽天市場店,ニッチ　ギヤードトロリ　１．０ｔ　GT5010,【業務用】 オレンジブック2017掲載。ニッチ　ギヤードトロリ　１．０ｔ　GT5010[rn]
30-10913,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs02/trs1255819.jpg?fitin=700:700,13353.6000,,花・ガーデン・DIY > DIY・工具 > その他,日動　電工ドラム　三相２００Ｖドラム　アース付　２０ｍ　NDE32020A,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●動力用電源を使用した機械や工具などの延長に最適です。<br><br>【仕様】<br>●電線仕様長さ(m):20●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:-●三相200V●電線種:SVCT●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●漏電保護専用15mA感度（EBタイプ）●限度電流:19A●アース付<br><br><font color=red>【注意】<br>●屋内型です。雨天の屋外では使用しないでください。●巻いたまま使用すると焼損するおそれがあります。</font><br><br>【質量】　7.1<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2439　ページ■商品コード：trs1255819　●電線仕様長さ(m):20●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:-●三相200V●電線種:SVCT●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●漏電保護専用15mA感度（EBタイプ）●限度電流:19A●アース付,日動　電工ドラム　三相２００Ｖドラム　アース付　２０ｍ　NDE32020A：工具箱　楽天市場店,日動　電工ドラム　三相２００Ｖドラム　アース付　２０ｍ　NDE32020A,【業務用】 オレンジブック2017掲載。日動　電工ドラム　三相２００Ｖドラム　アース付　２０ｍ　NDE32020A[rn]
30-10914,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3704271.jpg?fitin=700:700,1908.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　カラリール　S1,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●各種コード・ケーブル・ホースなどの巻き取りに最適です。<br><br>【仕様】<br>●本体寸法幅×奥行×高さ(mm):230×181×324●外径φ10巻取容量(m):45●巻取制限重量(kg):4.0●一次側継手:-●二次側継手:-<br><br><font color=red>【注意】<br>●機種ごとに巻き取り制限重量があります。</font><br><br>【質量】　2.2KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2439　ページ■商品コード：trs3704271　●本体寸法幅×奥行×高さ(mm):230×181×324●外径φ10巻取容量(m):45●巻取制限重量(kg):4.0●一次側継手:-●二次側継手:-,ハタヤ　カラリール　S1：工具箱　楽天市場店,ハタヤ　カラリール　S1,【業務用】 オレンジブック2017掲載。ハタヤ　カラリール　S1[rn]
30-10915,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs02/trs1255835.jpg?fitin=700:700,25038.4000,,花・ガーデン・DIY > DIY・工具 > その他,日動　電工ドラム　三相２００Ｖドラム　アース漏電しゃ断器付　３０ｍ　NDEB33020A,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●動力用電源を使用した機械や工具などの延長に最適です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:-●三相200V●電線種:SVCT●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●漏電保護専用15mA感度（EBタイプ）●限度電流:19A●アース付<br><br><font color=red>【注意】<br>●屋内型です。雨天の屋外では使用しないでください。●巻いたまま使用すると焼損するおそれがあります。</font><br><br>【質量】　9.3<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2439　ページ■商品コード：trs1255835　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):5●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:-●三相200V●電線種:SVCT●ケーブルとドラムの回転を同時に止める「ドラムストッパー」付●漏電保護専用15mA感度（EBタイプ）●限度電流:19A●アース付,日動　電工ドラム　三相２００Ｖドラム　アース漏電しゃ断器付　３０ｍ　NDEB33020A：工具箱　楽天市場店,日動　電工ドラム　三相２００Ｖドラム　アース漏電しゃ断器付　３０ｍ　NDEB33020A,【業務用】 オレンジブック2017掲載。日動　電工ドラム　三相２００Ｖドラム　アース漏電しゃ断器付　３０ｍ　NDEB33020A[rn]
30-10916,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs01/trs1054333.jpg?fitin=700:700,15143.2000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　AP302,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●複数の機器を同時に使用できるので作業効率がアップします。●油やホコリの浸入を防ぐコンセントキャップ付です。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:3P・15A・250V●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセント1個のみ逆配線仕様<br><br>【質量】　8.8KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2438　ページ■商品コード：trs1054333　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):2●電線仕様芯数(C):3●定格電流(A):5●コンセント仕様定格:3P・15A・250V●コンセント仕様形状:[[三芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:ソフトンVCT●コンセント1個のみ逆配線仕様,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　AP302：工具箱　楽天市場店,ハタヤ　三相２００Ｖ型コードリール　３０ｍ　AP302,【業務用】 オレンジブック2017掲載。ハタヤ　三相２００Ｖ型コードリール　３０ｍ　AP302[rn]
30-10917,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs16/trs3704688.jpg?fitin=700:700,2528.0000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　カラリール　T1,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●各種コード・ケーブル・ホースなどの巻き取りに最適です。<br><br>【仕様】<br>●本体寸法幅×奥行×高さ(mm):307×213×367●外径φ10巻取容量(m):54●巻取制限重量(kg):4.0●一次側継手:-●二次側継手:-<br><br><font color=red>【注意】<br>●機種ごとに巻き取り制限重量があります。</font><br><br>【質量】　2.6KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2439　ページ■商品コード：trs3704688　●本体寸法幅×奥行×高さ(mm):307×213×367●外径φ10巻取容量(m):54●巻取制限重量(kg):4.0●一次側継手:-●二次側継手:-,ハタヤ　カラリール　T1：工具箱　楽天市場店,ハタヤ　カラリール　T1,【業務用】 オレンジブック2017掲載。ハタヤ　カラリール　T1[rn]
30-10918,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs11/trs3274667.jpg?fitin=700:700,5341.6000,,花・ガーデン・DIY > DIY・工具 > その他,ハタヤ　コードリール　三相２００Ｖアース付　２０Ａ　１０ｍ　JT3102M,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）ハタヤリミテッド</b><br><br>【特長】<br>●小型で軽量、手軽に使えるコンパクトタイプです。●コンセント2個付のうち、1個は逆配線仕様としてあります。コンセントを差しかえるだけでモーターの回転を逆にできるので、配線のやり直しが不要で大変便利です。<br><br>【用途】<br>●現場での機械などの試運転、展示会などの仮設電源に最適です。<br><br>【仕様】<br>●電線仕様長さ(m):10●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):7●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:VCT●コンセント1個のみ逆配線仕様<br><br>【材質／仕上】<br>●円盤:鉄<br><br>【質量】　3.7KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2438　ページ■商品コード：trs3274667　●電線仕様長さ(m):10●電線仕様太さ(mm[[の2乗]]):2.0●電線仕様芯数(C):4●定格電流(A):7●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:2●温度センサー:-●通電ランプ:○●接地端子:-●2P・3P兼用プラグ:-●三相200V●電線種:VCT●コンセント1個のみ逆配線仕様,ハタヤ　コードリール　三相２００Ｖアース付　２０Ａ　１０ｍ　JT3102M：工具箱　楽天市場店,ハタヤ　コードリール　三相２００Ｖアース付　２０Ａ　１０ｍ　JT3102M,【業務用】 オレンジブック2017掲載。ハタヤ　コードリール　三相２００Ｖアース付　２０Ａ　１０ｍ　JT3102M[rn]
30-10919,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs11/trs3272567.jpg?fitin=700:700,29331.2000,,花・ガーデン・DIY > DIY・工具 > その他,日動　電工ドラム　防雨防塵型三相２００Ｖ　３．５ｓｑ電線アース付　３０ｍ　DNWE330F20A,【業務用】 オレンジブック2017掲載,<b>メーカー／日動工業（株）</b><br><br>【特長】<br>●防雨・防じん構造のため、野外作業に最適です。●アース付なので安全です。<br><br>【用途】<br>●工場・発電所・プラント設備・建設工事。<br><br>【仕様】<br>●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):3.5●電線仕様芯数(C):4●定格電流(A):7●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:-●プラグ形状:防雨4P20A アース付250V●三相200V●電線種:SVCT●限度電流:19A●ケーブルとドラムを同時に止める「ドラムストッパー」付●コンセント形状:キャップ付防雨4P20A●電源ランプ付●側板直径:320mm●側板色:水色●電線色:黒●アース付<br><br><font color=red>【注意】<br>●屋外使用の際、接続する機器側のプラグも規定の防水プラグを使用して下さい。（形状が合わない場合、防雨・防塵になりません）</font><br><br>【質量】　12.7KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2439　ページ■商品コード：trs3272567　●電線仕様長さ(m):30●電線仕様太さ(mm[[の2乗]]):3.5●電線仕様芯数(C):4●定格電流(A):7●コンセント仕様定格:3P・20A・250V アース付●コンセント仕様形状:[[四芯]]●コンセント仕様個数:3●温度センサー:-●通電ランプ:○●接地端子:○●2P・3P兼用プラグ:-●プラグ形状:防雨4P20A アース付250V●三相200V●電線種:SVCT●限度電流:19A●ケーブルとドラムを同時に止める「ドラムストッパー」付●コンセント形状:キャップ付防雨4P20A●電源ランプ付●側板直径:320mm●側板色:水色●電線色:黒●アース付,日動　電工ドラム　防雨防塵型三相２００Ｖ　３．５ｓｑ電線アース付　３０ｍ　DNWE330F20A：工具箱　楽天市場店,日動　電工ドラム　防雨防塵型三相２００Ｖ　３．５ｓｑ電線アース付　３０ｍ　DNWE330F20A,【業務用】 オレンジブック2017掲載。日動　電工ドラム　防雨防塵型三相２００Ｖ　３．５ｓｑ電線アース付　３０ｍ　DNWE330F20A[rn]
30-10920,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,97293.6000,,花・ガーデン・DIY > DIY・工具 > その他,象印　ＳＡ型プレントロリ式電気チェーンブロック０．５ｔ　SAP00560　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／象印チェンブロック（株）</b><br><br>【特長】<br>●上下共外れ止め付で玉掛けの容易なふところの大きなフックです。●下フックはベアリングでなめらかに回転します。●チェーンバケットは特殊強化プラスチックで耐久性があります。●過負荷防止機能（トルコン）付タイプも別途あります。<br><br>【仕様】<br>●定格荷重(t):0.50●標準揚程(m):6●フック間最小距離(mm):670(575)●時間定格(min):25●巻上速度(m/min)50Hz:3.5●巻上速度(m/min)60Hz:4.1●電源:単相100V●電源コード:5m●1速形●操作電圧:24V●2点押ボタン式●JIS規格品（JIS B 8815）●プレーントロリー結合型●トロリー:手動走行式●適用横行レール幅(mm):(70-100-125)<br><br>【材質／仕上】<br>●ロードチェーン:特殊合金鋼<br><br><font color=red>【注意】<br>●フック間最小距離の( )は本体フックを外し直接トロリーに取り付けた場合の数置です</font><br><br>【質量】　54KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2772　ページ≪メーカー直送品≫■商品コード：trs4608135　●定格荷重(t):0.50●標準揚程(m):6●フック間最小距離(mm):670(575)●時間定格(min):25●巻上速度(m/min)50Hz:3.5●巻上速度(m/min)60Hz:4.1●電源:単相100V●電源コード:5m●1速形●操作電圧:24V●2点押ボタン式●JIS規格品（JIS B 8815）●プレーントロリー結合型●トロリー:手動走行式●適用横行レール幅(mm):(70-100-125),象印　ＳＡ型プレントロリ式電気チェーンブロック０．５ｔ　SAP00560　　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,象印　ＳＡ型プレントロリ式電気チェーンブロック０．５ｔ　SAP00560　　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。象印　ＳＡ型プレントロリ式電気チェーンブロック０．５ｔ　SAP00560　　【代引き不可・配送時間指定不可】[rn]
30-10921,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs30/trs4579534.jpg?fitin=700:700,146066.4000,,花・ガーデン・DIY > DIY・工具 > その他,キトー　セレクト電気チェーンブロック２速シリンダ　２４０ｋｇ（ＳＤ）ｘ１．８ｍ　EDC24SD,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）キトー</b><br><br>【特長】<br>●パワーとスピードを兼ね備えた小容量タイプです。●デッドスペースを最小限にしたショートヘッドタイプです。●メカニカルブレーキ付です。●上限リミットスイッチ・過巻防止装置付です。●シリンダスイッチ操作により高速・低速の２段階速度で昇降します。●強力ロードチェンを使用しています（特殊防錆処理の合金鋼焼き入れチェン）。<br><br>【用途】<br>●微速付なので型合わせ・組み立てなどの精密作業に威力を発揮します。●フック、専用吊り具のワンタッチ交換による作業の能率化。<br><br>【仕様】<br>●定格荷重(t):0.24●標準揚程(m):1.8●フック間最小距離(mm):960●時間定格(min):25●巻上速度(m/min)低速:3.5～8.1●巻上速度(m/min)高速:3.5～13.5●モータ出力(kW):0.6●電源:単相100V●電源コード:5m●2速シリンダ形<br><br>【材質／仕上】<br>●ロードチェーン:ニッケルメッキ特殊合金鋼<br><br>【質量】　18.5KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2764　ページ≪メーカー在庫品≫■商品コード：trs4579534　●定格荷重(t):0.24●標準揚程(m):1.8●フック間最小距離(mm):960●時間定格(min):25●巻上速度(m/min)低速:3.5～8.1●巻上速度(m/min)高速:3.5～13.5●モータ出力(kW):0.6●電源:単相100V●電源コード:5m●2速シリンダ形,キトー　セレクト電気チェーンブロック２速シリンダ　２４０ｋｇ（ＳＤ）ｘ１．８ｍ　EDC24SD：工具箱　楽天市場店,キトー　セレクト電気チェーンブロック２速シリンダ　２４０ｋｇ（ＳＤ）ｘ１．８ｍ　EDC24SD,【業務用】 オレンジブック2017掲載。キトー　セレクト電気チェーンブロック２速シリンダ　２４０ｋｇ（ＳＤ）ｘ１．８ｍ　EDC24SD[rn]
30-10922,http://tshop.r10s.jp/kougubako/cabinet/orange2017/trs05/trs2422115.jpg?fitin=700:700,69504.0000,,花・ガーデン・DIY > DIY・工具 > その他,象印　三相２００Ｖ小型電気チェーンブロック１５０ＫＧ　ACK1530,【業務用】 オレンジブック2017掲載,<b>メーカー／象印チェンブロック（株）</b><br><br>【特長】<br>●小型軽量ながら強力なパワー（0.55kW）本格的なタイプです。●メカニカルブレーキ・モーターブレーキのダブルブレーキと過巻防止装置付の安全対策をしています。●ロードチェーンは特殊強力チェーンでサビ対策も万全です。●過負荷防止機能付です。●作業条件に合わせた豊富なアクセサリー群があります。<br><br>【仕様】<br>●定格荷重(t):0.15●標準揚程(m):3●フック間最小距離(mm):315●時間定格(min):30●巻上速度(m/min)50Hz:9.0●巻上速度(m/min)60Hz:11.0●モータ出力(kW):0.55●電源:三相200V●電源コード:5m●1速形●操作電圧:24V●2点押ボタン式●JIS規格品（JIS B 8815）●揚程増価格(メーカー希望小売価格)ロードチェン(1m):\2000●揚程増価格(メーカー希望小売価格)押釦コード(1m):\1700<br><br>【材質／仕上】<br>●ロードチェーン:特殊合金鋼<br><br>【質量】　18KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2769　ページ■商品コード：trs2422115　●定格荷重(t):0.15●標準揚程(m):3●フック間最小距離(mm):315●時間定格(min):30●巻上速度(m/min)50Hz:9.0●巻上速度(m/min)60Hz:11.0●モータ出力(kW):0.55●電源:三相200V●電源コード:5m●1速形●操作電圧:24V●2点押ボタン式●JIS規格品（JIS B 8815）●揚程増価格(メーカー希望小売価格)ロードチェン(1m):\2000●揚程増価格(メーカー希望小売価格)押釦コード(1m):\1700,象印　三相２００Ｖ小型電気チェーンブロック１５０ＫＧ　ACK1530：工具箱　楽天市場店,象印　三相２００Ｖ小型電気チェーンブロック１５０ＫＧ　ACK1530,【業務用】 オレンジブック2017掲載。象印　三相２００Ｖ小型電気チェーンブロック１５０ＫＧ　ACK1530[rn]
30-10923,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,132004.8000,,花・ガーデン・DIY > DIY・工具 > その他,キトー　セレクト電気チェーンブロック２速　単相２００Ｖ４８０ｋｇ（ＳＴ）ｘ３ｍ　EDX48ST　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載,<b>メーカー／（株）キトー</b><br><br>【特長】<br>●商用電源（単相200Ｖ）でよりパワフルに使えます。●デッドスペースを最小限にしたショートヘッドタイプです。●メカニカルブレーキ、上限リミットスイッチ、過巻防止装置付です。<br><br>【仕様】<br>●定格荷重(t):0.48●標準揚程(m):3●フック間最小距離(mm):520●時間定格(min):20●巻上速度(m/min)低速:2.0●巻上速度(m/min)高速:5●電源:単相200Ｖ●電源コード:5ｍ●２速形●操作電圧:200V●２点押ボタン式<br><br>【材質／仕上】<br>●ロードチェーン:ニッケルメッキ特殊合金鋼<br><br>【質量】　21KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2766　ページ≪メーカー直送品≫■商品コード：trs4579593　●定格荷重(t):0.48●標準揚程(m):3●フック間最小距離(mm):520●時間定格(min):20●巻上速度(m/min)低速:2.0●巻上速度(m/min)高速:5●電源:単相200Ｖ●電源コード:5ｍ●２速形●操作電圧:200V●２点押ボタン式,キトー　セレクト電気チェーンブロック２速　単相２００Ｖ４８０ｋｇ（ＳＴ）ｘ３ｍ　EDX48ST　【代引き不可・配送時間指定不可】：工具箱　楽天市場店,キトー　セレクト電気チェーンブロック２速　単相２００Ｖ４８０ｋｇ（ＳＴ）ｘ３ｍ　EDX48ST　【代引き不可・配送時間指定不可】,【業務用】 オレンジブック2017掲載。キトー　セレクト電気チェーンブロック２速　単相２００Ｖ４８０ｋｇ（ＳＴ）ｘ３ｍ　EDX48ST　【代引き不可・配送時間指定不可】[rn]
30-10924,http://tshop.r10s.jp/kougubako/cabinet/default/orangebook.jpg?fitin=700:700,50167.2000,,花・ガーデン・DIY > DIY・工具 > その他,象印　ベータ型小型電気チェンブロック　定格荷重１２５ＫＧ　揚程３Ｍ　BSK1230,【業務用】 オレンジブック2017掲載,<b>メーカー／象印チェンブロック（株）</b><br><br>【特長】<br>●コンパクトで軽量タイプで、フック間最小距離がクラス最小です。●過負荷防止機能付です。●V級表面硬化チェーンの3.1mmを使用しています。<br><br>【仕様】<br>●定格荷重(t):0.125●標準揚程(m):3●フック間最小距離(mm):280●時間定格(min):25●巻上速度(m/min):6.5●モータ出力(kW):0.18●電源:単相100V●電源コード:3m●1速形●操作電圧:100V●2点押ボタン式●JIS規格品（JIS B 8815）<br><br>【材質／仕上】<br>●ロードチェーン:V級表面硬化チェーン<br><br>【質量】　7.2KG<br><br>【原産国】　日本<br><br>【2017　オレンジブック掲載】　4 2762　ページ■商品コード：trs3419207　●定格荷重(t):0.125●標準揚程(m):3●フック間最小距離(mm):280●時間定格(min):25●巻上速度(m/min):6.5●モータ出力(kW):0.18●電源:単相100V●電源コード:3m●1速形●操作電圧:100V●2点押ボタン式●JIS規格品（JIS B 8815）,象印　ベータ型小型電気チェンブロック　定格荷重１２５ＫＧ　揚程３Ｍ　BSK1230：工具箱　楽天市場店,象印　ベータ型小型電気チェンブロック　定格荷重１２５ＫＧ　揚程３Ｍ　BSK1230,【業務用】 オレンジブック2017掲載。象印　ベータ型小型電気チェンブロック　定格荷重１２５ＫＧ　揚程３Ｍ　BSK1230[rn]
